* Measurement data measured by REW V5.20.13
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), R, volume: 0,250
* Format: 256k Log Swept Sine, 1 sweep at -12,0 dBFS with no timing reference
* Dated: 23:08:14 27-02-2024
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Godmod 500bd foam notip R
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 84.581 120.6824
1.015000 84.407 119.7738
1.030000 84.228 118.8618
1.044000 84.054 118.0072
1.060000 83.848 117.0264
1.075000 83.648 116.1025
1.090000 83.439 115.1742
1.106000 83.211 114.1999
1.120000 83.018 113.4754
1.138000 82.782 112.7261
1.150000 82.630 112.3234
1.172000 82.358 111.7440
1.180000 82.260 111.5734
1.206000 81.941 111.1133
1.220000 81.766 110.8962
1.241000 81.494 110.5622
1.250000 81.373 110.4032
1.265000 81.163 110.0994
1.280000 80.940 109.7282
1.315000 80.363 108.4772
1.320000 80.273 108.2426
1.340000 79.888 107.1319
1.360000 79.463 105.7068
1.380000 78.992 103.9154
1.400000 78.470 101.7057
1.430000 77.581 97.4934
1.450000 76.909 94.0110
1.475000 75.956 88.7898
1.500000 74.751 82.4298
1.525000 73.308 75.0308
1.550000 71.676 66.7471
1.575000 69.906 57.7330
1.600000 68.047 48.1429
1.625000 66.150 38.1310
1.650000 64.264 27.8516
1.675000 62.441 17.4590
1.700000 60.728 7.1075
1.725000 59.178 -3.0486
1.750000 57.839 -12.8550
1.775000 56.762 -22.1574
1.800000 55.997 -30.8015
1.825000 55.594 -38.6331
1.850000 55.597 -45.7300
1.875000 55.992 -52.5686
1.900000 56.728 -59.1674
1.925000 57.753 -65.5229
1.950000 59.016 -71.6317
1.975000 60.465 -77.4900
2.000000 62.049 -83.0943
2.030000 64.054 -89.4792
2.060000 66.090 -95.4872
2.090000 68.067 -101.1121
2.120000 69.897 -106.3476
2.140000 70.991 -109.6187
2.180000 72.757 -115.6262
2.200000 73.378 -118.3577
2.240000 74.299 -122.9943
2.270000 74.810 -125.7498
2.300000 75.185 -127.9803
2.330000 75.445 -129.7701
2.360000 75.608 -131.2037
2.400000 75.706 -132.7068
2.430000 75.715 -133.6372
2.470000 75.677 -134.7759
2.500000 75.634 -135.6628
2.540000 75.595 -137.0496
2.580000 75.605 -138.8137
2.620000 75.586 -140.7245
2.650000 75.540 -142.1753
2.690000 75.435 -144.0850
2.720000 75.324 -145.4662
2.760000 75.134 -147.1918
2.800000 74.896 -148.7297
2.850000 74.532 -150.2972
2.900000 74.095 -151.3612
2.950000 73.571 -151.8782
3.000000 72.855 -152.3448
3.040000 72.170 -152.6292
3.070000 71.616 -152.7049
3.110000 70.853 -152.5178
3.150000 70.099 -151.8819
3.200000 69.228 -150.2570
3.250000 68.506 -147.4720
3.300000 68.009 -143.2674
3.350000 67.695 -136.7963
3.400000 67.498 -128.1556
3.450000 67.413 -118.1861
3.500000 67.435 -107.7286
3.550000 67.558 -97.6238
3.600000 67.776 -88.7125
3.650000 68.086 -81.8354
3.700000 68.526 -77.3650
3.750000 69.168 -74.4453
3.820000 70.290 -72.3492
3.870000 71.162 -71.8804
3.950000 72.499 -72.1091
4.000000 73.195 -72.4117
4.060000 73.811 -72.6636
4.120000 74.293 -73.5469
4.180000 74.676 -75.0001
4.250000 75.020 -77.1225
4.310000 75.245 -79.0563
4.370000 75.421 -80.8639
4.440000 75.570 -82.7084
4.500000 75.626 -84.3831
4.550000 75.625 -85.8092
4.620000 75.563 -87.7515
4.680000 75.463 -89.2724
4.750000 75.304 -90.7574
4.820000 75.089 -91.9656
4.870000 74.886 -92.7641
4.940000 74.554 -93.6994
5.000000 74.242 -94.2457
5.080000 73.821 -94.4633
5.150000 73.469 -94.0385
5.220000 73.077 -92.9711
5.300000 72.601 -91.1358
5.380000 72.159 -88.8736
5.450000 71.855 -86.7320
5.520000 71.669 -84.5457
5.600000 71.583 -81.5078
5.700000 71.613 -77.3346
5.800000 71.743 -73.6446
5.900000 71.932 -71.3074
6.000000 72.248 -70.0668
6.080000 72.549 -69.6694
6.150000 72.801 -69.6940
6.220000 73.006 -70.0156
6.300000 73.183 -70.8429
6.400000 73.366 -72.6182
6.500000 73.492 -74.8691
6.600000 73.545 -77.2242
6.700000 73.513 -79.7792
6.800000 73.409 -82.5851
6.900000 73.251 -85.3815
7.000000 73.051 -87.9547
7.100000 72.784 -90.4738
7.200000 72.476 -92.8562
7.300000 72.166 -94.9348
7.400000 71.863 -96.5962
7.500000 71.538 -97.9188
7.620000 71.186 -99.1486
7.750000 70.928 -100.0905
7.880000 70.774 -100.4590
8.000000 70.728 -100.7185
8.120000 70.794 -101.2955
8.250000 71.002 -102.0787
8.380000 71.282 -103.1681
8.500000 71.558 -104.6313
8.620000 71.879 -106.5057
8.750000 72.227 -108.7574
8.850000 72.466 -110.5397
9.000000 72.801 -113.4499
9.120000 73.041 -115.7252
9.250000 73.261 -117.9518
9.380000 73.444 -120.0347
9.500000 73.595 -121.7059
9.620000 73.733 -123.0518
9.750000 73.863 -124.2020
9.880000 73.997 -125.0800
10.000000 74.132 -125.6258
10.150000 74.308 -125.9897
10.300000 74.503 -126.2319
10.440000 74.707 -126.3239
10.600000 74.948 -126.3791
10.750000 75.173 -126.5001
10.900000 75.396 -126.6406
11.060000 75.611 -126.8161
11.200000 75.781 -127.0013
11.380000 75.972 -127.1959
11.500000 76.080 -127.2825
11.720000 76.249 -127.3556
11.800000 76.304 -127.3424
12.060000 76.459 -127.1955
12.200000 76.535 -127.0975
12.410000 76.638 -126.9387
12.500000 76.676 -126.8965
12.650000 76.734 -126.8547
12.800000 76.779 -126.8434
13.150000 76.828 -126.9376
13.200000 76.830 -126.9512
13.400000 76.819 -127.0024
13.600000 76.797 -127.0356
13.800000 76.769 -127.0324
14.000000 76.745 -127.0727
14.300000 76.723 -127.2727
14.500000 76.717 -127.6054
14.750000 76.705 -128.2661
15.000000 76.681 -129.1923
15.250000 76.635 -130.2832
15.500000 76.578 -131.4184
15.750000 76.518 -132.5362
16.000000 76.474 -133.5782
16.250000 76.462 -134.6014
16.500000 76.482 -135.6431
16.750000 76.535 -136.7702
17.000000 76.605 -137.9758
17.250000 76.685 -139.2181
17.500000 76.764 -140.4336
17.750000 76.845 -141.5263
18.000000 76.930 -142.4739
18.250000 77.024 -143.2546
18.500000 77.129 -143.9083
18.750000 77.241 -144.4659
19.000000 77.357 -144.9557
19.250000 77.468 -145.3892
19.500000 77.570 -145.7541
19.750000 77.662 -146.0432
20.000000 77.745 -146.2501
20.299999 77.833 -146.4179
20.600000 77.911 -146.5325
20.900000 77.975 -146.6316
21.200001 78.023 -146.7344
21.400000 78.046 -146.8020
21.799999 78.072 -146.9398
22.000000 78.079 -147.0222
22.400000 78.086 -147.2634
22.700001 78.082 -147.5552
23.000000 78.068 -147.9538
23.299999 78.041 -148.4222
23.600000 78.005 -148.9167
24.000000 77.959 -149.5744
24.299999 77.937 -150.0828
24.700001 77.931 -150.8495
25.000000 77.939 -151.5227
25.400000 77.955 -152.5168
25.799999 77.971 -153.4982
26.200001 77.995 -154.3566
26.500000 78.026 -154.9127
26.900000 78.087 -155.5846
27.200001 78.141 -156.0702
27.600000 78.212 -156.6968
28.000000 78.274 -157.2537
28.500000 78.338 -157.7893
29.000000 78.392 -158.1685
29.500000 78.437 -158.4700
30.000000 78.468 -158.7585
30.400000 78.483 -159.0069
30.700001 78.487 -159.2134
31.100000 78.482 -159.5167
31.500000 78.469 -159.8404
32.000000 78.448 -160.2615
32.500000 78.432 -160.7330
33.000000 78.422 -161.3027
33.500000 78.413 -161.9468
34.000000 78.407 -162.5824
34.500000 78.413 -163.1762
35.000000 78.435 -163.7674
35.500000 78.463 -164.3731
36.000000 78.486 -164.9397
36.500000 78.508 -165.4170
37.000000 78.531 -165.8179
37.500000 78.554 -166.1815
38.200001 78.577 -166.6491
38.700001 78.586 -166.9551
39.500000 78.592 -167.4445
40.000000 78.590 -167.7703
40.599998 78.586 -168.1932
41.200001 78.577 -168.6523
41.799999 78.566 -169.1114
42.500000 78.560 -169.6131
43.099998 78.565 -170.0542
43.700001 78.572 -170.5301
44.400002 78.575 -171.0741
45.000000 78.573 -171.4756
45.500000 78.575 -171.7587
46.200001 78.586 -172.1283
46.799999 78.602 -172.4992
47.500000 78.612 -173.0359
48.200001 78.601 -173.6171
48.700001 78.579 -173.9834
49.400002 78.543 -174.3134
50.000000 78.536 -174.4697
50.799999 78.560 -174.8539
51.500000 78.556 -175.3601
52.200001 78.532 -175.6687
53.000000 78.544 -175.9658
53.799999 78.541 -176.5980
54.500000 78.489 -177.0272
55.200001 78.457 -177.1812
56.000000 78.462 -177.5220
57.000000 78.432 -178.1929
58.000000 78.405 -178.5260
59.000000 78.428 -179.0662
60.000000 78.383 -179.7137
60.799999 78.355 -179.7816
61.500000 78.380 -179.9682
62.200001 78.378 179.5051
63.000000 78.310 179.0801
64.000000 78.264 179.0412
65.000000 78.272 178.6078
66.000000 78.201 177.9914
67.000000 78.129 178.1691
68.000000 78.195 178.0604
69.000000 78.140 177.3558
70.000000 78.074 177.8301
71.000000 78.176 177.8279
72.000000 78.184 177.1247
73.000000 78.148 176.7841
74.000000 78.138 176.6761
75.000000 78.196 176.3421
76.199997 78.170 175.4089
77.500000 78.117 175.1326
78.800003 78.078 174.8994
80.000000 78.109 174.6031
81.199997 78.050 173.9297
82.500000 78.021 173.8334
83.800003 77.991 173.5107
85.000000 78.021 173.4772
86.199997 78.037 172.8912
87.500000 78.014 172.4983
88.500000 77.996 172.1775
90.000000 77.975 171.8815
91.199997 77.987 171.5425
92.500000 77.981 170.8976
93.800003 77.940 170.4255
95.000000 77.911 169.9161
96.199997 77.855 169.5410
97.500000 77.817 169.3240
98.800003 77.840 169.0515
100.000000 77.800 168.3604
101.500000 77.740 168.3547
103.000000 77.717 167.9272
104.400002 77.674 167.6129
106.000000 77.617 167.1344
107.500000 77.571 166.7727
109.000000 77.515 166.3375
110.599998 77.475 166.0547
112.000000 77.433 165.7412
113.800003 77.355 165.2914
115.000000 77.303 165.1995
117.199997 77.237 164.8063
118.000000 77.197 164.5866
120.599998 77.079 164.3372
122.000000 77.044 164.1628
124.099998 76.999 163.9536
125.000000 76.963 163.8395
126.500000 76.918 163.9957
128.000000 76.937 163.9932
131.500000 76.977 163.2733
132.000000 76.975 163.2366
134.000000 77.013 163.1337
136.000000 76.999 163.0529
138.000000 76.910 162.8438
140.000000 76.791 162.3801
143.000000 76.670 161.5067
145.000000 76.647 161.2641
147.500000 76.626 161.2176
150.000000 76.553 160.8755
152.500000 76.436 160.3880
155.000000 76.353 160.0074
157.500000 76.282 160.0374
160.000000 76.205 160.0314
162.500000 76.135 159.7976
165.000000 76.079 159.6236
167.500000 76.008 159.5564
170.000000 75.950 159.5291
172.500000 75.884 159.5071
175.000000 75.832 159.5151
177.500000 75.801 159.5177
180.000000 75.761 159.4578
182.500000 75.739 159.2618
185.000000 75.711 159.0992
187.500000 75.681 158.7321
190.000000 75.642 158.4669
192.500000 75.590 158.2240
195.000000 75.548 158.0087
197.500000 75.472 157.8199
200.000000 75.415 157.6663
203.000000 75.341 157.3958
206.000000 75.273 157.1781
209.000000 75.191 157.0037
212.000000 75.123 156.9445
214.000000 75.073 156.7833
218.000000 74.994 156.6639
220.000000 74.936 156.6137
224.000000 74.839 156.5410
227.000000 74.771 156.4491
230.000000 74.706 156.5002
233.000000 74.640 156.3460
236.000000 74.574 156.3111
240.000000 74.491 156.2494
243.000000 74.436 156.3286
247.000000 74.333 156.2473
250.000000 74.252 156.2714
254.000000 74.186 156.2001
258.000000 74.101 156.2287
262.000000 74.007 156.0901
265.000000 73.966 156.1793
269.000000 73.881 156.2588
272.000000 73.819 156.2487
276.000000 73.742 156.2404
280.000000 73.659 156.3499
285.000000 73.573 156.3955
290.000000 73.477 156.5518
295.000000 73.385 156.6234
300.000000 73.312 156.7496
304.000000 73.237 156.8880
307.000000 73.184 156.8689
311.000000 73.100 157.1564
315.000000 73.031 157.1230
