* Measurement data measured by REW V5.20.13
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0,250
* Format: 256k Log Swept Sine, 1 sweep at -12,0 dBFS with no timing reference
* Dated: 16:28:23 09-11-2023
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Hi-fri Barcelona L
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 76.980 -136.6281
20.600000 77.067 -137.2402
20.900000 77.140 -137.7657
21.200001 77.206 -138.2788
21.400000 77.247 -138.6218
21.799999 77.320 -139.3177
22.000000 77.354 -139.6736
22.400000 77.416 -140.4035
22.700001 77.459 -140.9673
23.000000 77.501 -141.5451
23.299999 77.541 -142.1344
23.600000 77.580 -142.7310
24.000000 77.632 -143.5291
24.299999 77.671 -144.1235
24.700001 77.726 -144.9078
25.000000 77.769 -145.4915
25.400000 77.827 -146.2666
25.799999 77.885 -147.0344
26.200001 77.941 -147.7816
26.500000 77.981 -148.3186
26.900000 78.033 -148.9975
27.200001 78.072 -149.4816
27.600000 78.124 -150.1057
28.000000 78.176 -150.7217
28.500000 78.235 -151.4936
29.000000 78.285 -152.2577
29.500000 78.327 -152.9931
30.000000 78.364 -153.6913
30.400000 78.394 -154.2351
30.700001 78.417 -154.6454
31.100000 78.448 -155.2098
31.500000 78.477 -155.7984
32.000000 78.509 -156.5535
32.500000 78.536 -157.2953
33.000000 78.562 -158.0014
33.500000 78.592 -158.6871
34.000000 78.626 -159.3818
34.500000 78.657 -160.0854
35.000000 78.683 -160.7655
35.500000 78.707 -161.3955
36.000000 78.733 -161.9877
36.500000 78.760 -162.5710
37.000000 78.785 -163.1512
37.500000 78.805 -163.7114
38.200001 78.833 -164.4619
38.700001 78.853 -165.0080
39.500000 78.874 -165.9134
40.000000 78.881 -166.4549
40.599998 78.891 -167.0664
41.200001 78.906 -167.6871
41.799999 78.920 -168.3432
42.500000 78.930 -169.1069
43.099998 78.938 -169.7267
43.700001 78.947 -170.3248
44.400002 78.959 -170.9960
45.000000 78.972 -171.5519
45.500000 78.986 -172.0334
46.200001 78.997 -172.7448
46.799999 78.993 -173.2976
47.500000 78.996 -173.7986
48.200001 79.025 -174.3408
48.700001 79.046 -174.8722
49.400002 79.041 -175.7041
50.000000 79.010 -176.2634
50.799999 78.985 -176.7246
51.500000 78.997 -177.1274
52.200001 79.015 -177.6854
53.000000 79.017 -178.3927
53.799999 79.008 -179.0089
54.500000 79.008 -179.5021
55.200001 79.012 179.9606
56.000000 79.006 179.3263
57.000000 78.993 178.6248
58.000000 78.988 177.9449
59.000000 78.981 177.2526
60.000000 78.969 176.5785
60.799999 78.960 176.0808
61.500000 78.957 175.6337
62.200001 78.949 175.1618
63.000000 78.934 174.6830
64.000000 78.933 174.1141
65.000000 78.926 173.4186
66.000000 78.904 172.8203
67.000000 78.895 172.2593
68.000000 78.880 171.6676
69.000000 78.866 171.1374
70.000000 78.853 170.5723
71.000000 78.832 170.0549
72.000000 78.818 169.5538
73.000000 78.803 169.0336
74.000000 78.790 168.5124
75.000000 78.771 167.9779
76.199997 78.757 167.4052
77.500000 78.736 166.6697
78.800003 78.713 166.0715
80.000000 78.695 165.4199
81.199997 78.663 164.8436
82.500000 78.631 164.2762
83.800003 78.609 163.7488
85.000000 78.584 163.1881
86.199997 78.549 162.7025
87.500000 78.520 162.2117
88.500000 78.495 161.8130
90.000000 78.457 161.3052
91.199997 78.429 160.9285
92.500000 78.406 160.6087
93.800003 78.398 160.3267
95.000000 78.403 160.0389
96.199997 78.421 159.6945
97.500000 78.436 159.1179
98.800003 78.429 158.5708
100.000000 78.434 158.0448
101.500000 78.421 157.2741
103.000000 78.389 156.5945
104.400002 78.361 156.0642
106.000000 78.343 155.4654
107.500000 78.315 154.8506
109.000000 78.284 154.3261
110.599998 78.255 153.7310
112.000000 78.224 153.2576
113.800003 78.188 152.6318
115.000000 78.167 152.2460
117.199997 78.124 151.5179
118.000000 78.114 151.2576
120.599998 78.065 150.4481
122.000000 78.033 150.0259
124.099998 78.003 149.3760
125.000000 77.984 149.1205
126.500000 77.956 148.6694
128.000000 77.935 148.2247
131.500000 77.874 147.2025
132.000000 77.863 147.0690
134.000000 77.830 146.5699
136.000000 77.795 145.9962
138.000000 77.750 145.4956
140.000000 77.717 145.0318
143.000000 77.664 144.3616
145.000000 77.638 143.9181
147.500000 77.626 143.3832
150.000000 77.623 142.7248
152.500000 77.593 142.0297
155.000000 77.567 141.3180
157.500000 77.533 140.6019
160.000000 77.489 139.9881
162.500000 77.434 139.3148
165.000000 77.401 138.7046
167.500000 77.365 138.0776
170.000000 77.321 137.5291
172.500000 77.288 136.9803
175.000000 77.255 136.4456
177.500000 77.212 135.9562
180.000000 77.178 135.3880
182.500000 77.141 134.8517
185.000000 77.094 134.3451
187.500000 77.062 133.8302
190.000000 77.036 133.3271
192.500000 77.004 132.8590
195.000000 76.967 132.3534
197.500000 76.936 131.9064
200.000000 76.891 131.4545
203.000000 76.868 130.9461
206.000000 76.830 130.3187
209.000000 76.800 129.7504
212.000000 76.760 129.2610
214.000000 76.732 128.9432
218.000000 76.688 128.2433
220.000000 76.663 127.8625
224.000000 76.614 127.2916
227.000000 76.588 126.7621
230.000000 76.563 126.3413
233.000000 76.534 125.8362
236.000000 76.500 125.3427
240.000000 76.454 124.7912
243.000000 76.431 124.3285
247.000000 76.397 123.7458
250.000000 76.376 123.3822
254.000000 76.337 122.8007
258.000000 76.299 122.1982
262.000000 76.261 121.6403
265.000000 76.237 121.1815
269.000000 76.198 120.7370
272.000000 76.184 120.3746
276.000000 76.168 119.8411
280.000000 76.125 119.3508
285.000000 76.100 118.6711
290.000000 76.071 118.1049
295.000000 76.036 117.4823
300.000000 76.022 116.9564
304.000000 75.997 116.5567
307.000000 75.986 116.1401
311.000000 75.963 115.6556
315.000000 75.957 115.2676
320.000000 75.924 114.7908
325.000000 75.906 114.2510
330.000000 75.898 113.7214
335.000000 75.881 113.2437
340.000000 75.868 112.6912
345.000000 75.854 112.1984
350.000000 75.850 111.7130
355.000000 75.833 111.2275
360.000000 75.832 110.8341
365.000000 75.818 110.3900
370.000000 75.819 109.9986
375.000000 75.805 109.5482
382.000000 75.807 108.9595
387.000000 75.810 108.4957
395.000000 75.814 107.8321
400.000000 75.807 107.5562
406.000000 75.828 107.0179
412.000000 75.839 106.5834
418.000000 75.852 106.0572
425.000000 75.872 105.5052
431.000000 75.882 105.0889
437.000000 75.897 104.7171
444.000000 75.920 104.1988
450.000000 75.960 103.7067
455.000000 75.959 103.3743
462.000000 75.994 102.9102
468.000000 76.016 102.5725
475.000000 76.046 101.9875
482.000000 76.086 101.6029
487.000000 76.102 101.3271
494.000000 76.145 100.7934
500.000000 76.167 100.3686
508.000000 76.219 99.8854
515.000000 76.266 99.5000
522.000000 76.311 98.9445
530.000000 76.357 98.4766
538.000000 76.412 98.0439
545.000000 76.465 97.5455
552.000000 76.519 97.1274
560.000000 76.575 96.5822
570.000000 76.649 96.0119
580.000000 76.723 95.4657
590.000000 76.816 94.8083
600.000000 76.895 94.2417
608.000000 76.966 93.7675
615.000000 77.018 93.2511
622.000000 77.088 92.8612
630.000000 77.155 92.3793
640.000000 77.248 91.7687
650.000000 77.350 91.1867
660.000000 77.443 90.4694
670.000000 77.528 89.8789
680.000000 77.627 89.2556
690.000000 77.716 88.5829
700.000000 77.821 87.8347
710.000000 77.913 87.2371
720.000000 78.018 86.5957
730.000000 78.113 85.9078
740.000000 78.228 85.2346
750.000000 78.322 84.5099
762.000000 78.436 83.6950
775.000000 78.567 82.7657
788.000000 78.692 81.8577
800.000000 78.814 80.9194
812.000000 78.934 80.0638
825.000000 79.060 79.0342
838.000000 79.166 78.1115
850.000000 79.286 77.1511
862.000000 79.400 76.1552
875.000000 79.512 75.1085
885.000000 79.588 74.2408
900.000000 79.711 72.9234
912.000000 79.815 71.8618
925.000000 79.906 70.7538
938.000000 79.995 69.5656
950.000000 80.066 68.3541
962.000000 80.120 67.3082
975.000000 80.177 66.0651
988.000000 80.219 64.9580
1000.000000 80.228 63.8526
1015.000000 80.275 62.7345
1030.000000 80.313 61.5420
1044.000000 80.334 60.6164
1060.000000 80.364 59.6517
1075.000000 80.394 58.7286
1090.000000 80.440 57.8602
1106.000000 80.484 56.9680
1120.000000 80.536 56.1256
1138.000000 80.588 55.0023
1150.000000 80.634 54.2378
1172.000000 80.700 52.9157
1180.000000 80.723 52.3897
1206.000000 80.775 50.7365
1220.000000 80.818 49.7831
1241.000000 80.844 48.4323
1250.000000 80.851 47.8243
1265.000000 80.880 46.9296
1280.000000 80.895 46.0494
1315.000000 80.915 43.9042
1320.000000 80.921 43.6002
1340.000000 80.926 42.4631
1360.000000 80.918 41.4435
1380.000000 80.917 40.2269
1400.000000 80.915 39.2561
1430.000000 80.897 37.6386
1450.000000 80.886 36.5876
1475.000000 80.862 35.3590
1500.000000 80.814 34.1816
1525.000000 80.769 32.9570
1550.000000 80.728 31.9866
1575.000000 80.667 31.0008
1600.000000 80.611 29.9916
1625.000000 80.555 29.2929
1650.000000 80.507 28.6190
1675.000000 80.463 27.8988
1700.000000 80.434 27.2402
1725.000000 80.397 26.6428
1750.000000 80.363 26.0365
1775.000000 80.332 25.3502
1800.000000 80.297 24.7552
1825.000000 80.257 24.2156
1850.000000 80.236 23.6560
1875.000000 80.185 23.2128
1900.000000 80.170 22.7081
1925.000000 80.132 22.2169
1950.000000 80.108 21.7791
1975.000000 80.079 21.3475
2000.000000 80.007 20.8443
2030.000000 79.998 20.4889
2060.000000 79.975 20.0154
2090.000000 79.925 19.6003
2120.000000 79.895 19.2271
2140.000000 79.863 18.9811
2180.000000 79.813 18.6309
2200.000000 79.783 18.4899
2240.000000 79.722 18.1505
2270.000000 79.672 18.1063
2300.000000 79.640 18.0995
2330.000000 79.596 18.2755
2360.000000 79.581 18.6238
2400.000000 79.604 19.1005
2430.000000 79.657 19.4955
2470.000000 79.785 19.6517
2500.000000 79.874 19.5588
2540.000000 79.948 19.2728
2580.000000 80.037 19.1072
2620.000000 80.105 18.9766
2650.000000 80.153 18.8463
2690.000000 80.257 18.7390
2720.000000 80.341 18.5851
2760.000000 80.477 18.5174
2800.000000 80.615 18.1290
2850.000000 80.800 17.5424
2900.000000 80.975 16.6549
2950.000000 81.125 15.5215
3000.000000 81.235 14.4629
3040.000000 81.323 13.3413
3070.000000 81.376 12.5242
3110.000000 81.420 11.5900
3150.000000 81.444 10.5515
3200.000000 81.457 9.4330
3250.000000 81.462 8.3840
3300.000000 81.444 7.6595
3350.000000 81.436 6.9794
3400.000000 81.430 6.5278
3450.000000 81.451 6.2546
3500.000000 81.508 5.8196
3550.000000 81.593 5.3843
3600.000000 81.671 4.8723
3650.000000 81.775 4.2819
3700.000000 81.871 3.6298
3750.000000 81.954 2.6002
3820.000000 82.091 1.1006
3870.000000 82.151 -0.0447
3950.000000 82.237 -2.2164
4000.000000 82.288 -3.4309
4060.000000 82.272 -5.4935
4120.000000 82.254 -7.5264
4180.000000 82.188 -9.6543
4250.000000 82.039 -12.2028
4310.000000 81.805 -14.3857
4370.000000 81.520 -16.2792
4440.000000 81.080 -18.1703
4500.000000 80.644 -19.1605
4550.000000 80.269 -19.5406
4620.000000 79.684 -19.2455
4680.000000 79.196 -18.3949
4750.000000 78.660 -16.4849
4820.000000 78.173 -13.8916
4870.000000 77.855 -11.4420
4940.000000 77.540 -7.4723
5000.000000 77.329 -3.4628
5080.000000 77.276 1.9996
5150.000000 77.382 7.1766
5220.000000 77.687 12.1507
5300.000000 78.227 17.2623
5380.000000 78.937 21.3889
5450.000000 79.705 24.1747
5520.000000 80.543 25.6854
5600.000000 81.566 25.9778
5700.000000 82.862 23.5272
5800.000000 83.973 17.0679
5900.000000 84.167 7.4967
6000.000000 83.781 2.2894
6080.000000 83.517 -0.7508
6150.000000 83.223 -2.8868
6220.000000 82.885 -4.2156
6300.000000 82.503 -4.8635
6400.000000 82.077 -4.7540
6500.000000 81.721 -3.6764
