* Measurement data measured by REW V5.20.13
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), R, volume: 0,250
* Format: 256k Log Swept Sine, 1 sweep at -12,0 dBFS with no timing reference
* Dated: 16:29:32 09-11-2023
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Hi-fri Barcelona R
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 78.748 -137.4711
20.600000 78.834 -138.0546
20.900000 78.905 -138.5548
21.200001 78.968 -139.0375
21.400000 79.007 -139.3578
21.799999 79.078 -140.0067
22.000000 79.111 -140.3403
22.400000 79.172 -141.0312
22.700001 79.214 -141.5687
23.000000 79.255 -142.1188
23.299999 79.294 -142.6775
23.600000 79.333 -143.2415
24.000000 79.387 -143.9991
24.299999 79.429 -144.5706
24.700001 79.486 -145.3371
25.000000 79.530 -145.9137
25.400000 79.589 -146.6795
25.799999 79.646 -147.4314
26.200001 79.702 -148.1571
26.500000 79.743 -148.6791
26.900000 79.796 -149.3436
27.200001 79.835 -149.8202
27.600000 79.886 -150.4316
28.000000 79.935 -151.0221
28.500000 79.993 -151.7411
29.000000 80.046 -152.4504
29.500000 80.093 -153.1564
30.000000 80.134 -153.8559
30.400000 80.162 -154.4047
30.700001 80.182 -154.8086
31.100000 80.208 -155.3412
31.500000 80.235 -155.8750
32.000000 80.268 -156.5537
32.500000 80.301 -157.2427
33.000000 80.332 -157.9287
33.500000 80.365 -158.6071
34.000000 80.398 -159.2853
34.500000 80.429 -159.9656
35.000000 80.457 -160.6318
35.500000 80.481 -161.2605
36.000000 80.505 -161.8464
36.500000 80.531 -162.4071
37.000000 80.557 -162.9657
37.500000 80.580 -163.5281
38.200001 80.607 -164.2995
38.700001 80.623 -164.8250
39.500000 80.651 -165.6482
40.000000 80.670 -166.1814
40.599998 80.690 -166.8475
41.200001 80.704 -167.5154
41.799999 80.715 -168.1568
42.500000 80.729 -168.8644
43.099998 80.745 -169.4541
43.700001 80.762 -170.0531
44.400002 80.778 -170.7592
45.000000 80.786 -171.3247
45.500000 80.795 -171.7603
46.200001 80.815 -172.3999
46.799999 80.825 -173.0218
47.500000 80.815 -173.6902
48.200001 80.811 -174.1928
48.700001 80.825 -174.5587
49.400002 80.848 -175.2358
50.000000 80.848 -175.8691
50.799999 80.836 -176.5712
51.500000 80.835 -177.1284
52.200001 80.835 -177.7035
53.000000 80.832 -178.3018
53.799999 80.838 -178.8935
54.500000 80.839 -179.4374
55.200001 80.837 -179.9609
56.000000 80.834 179.4030
57.000000 80.803 178.6721
58.000000 80.795 178.1647
59.000000 80.808 177.4168
60.000000 80.785 176.6747
60.799999 80.780 176.1959
61.500000 80.782 175.6946
62.200001 80.771 175.1748
63.000000 80.754 174.6818
64.000000 80.746 174.1164
65.000000 80.741 173.4984
66.000000 80.729 172.8689
67.000000 80.713 172.2885
68.000000 80.701 171.6947
69.000000 80.681 171.0957
70.000000 80.662 170.5396
71.000000 80.645 169.9740
72.000000 80.627 169.4287
73.000000 80.610 168.9094
74.000000 80.595 168.3961
75.000000 80.576 167.8932
76.199997 80.556 167.3812
77.500000 80.540 166.7929
78.800003 80.526 166.2349
80.000000 80.512 165.6674
81.199997 80.505 165.1078
82.500000 80.483 164.4106
83.800003 80.469 163.8367
85.000000 80.457 163.2145
86.199997 80.441 162.6289
87.500000 80.416 161.9705
88.500000 80.395 161.5253
90.000000 80.364 160.8281
91.199997 80.341 160.2797
92.500000 80.303 159.6628
93.800003 80.266 159.1807
95.000000 80.245 158.7246
96.199997 80.216 158.2635
97.500000 80.200 157.8079
98.800003 80.165 157.2635
100.000000 80.146 156.9276
101.500000 80.123 156.3210
103.000000 80.105 155.7946
104.400002 80.086 155.2446
106.000000 80.058 154.5894
107.500000 80.037 153.9897
109.000000 79.996 153.3928
110.599998 79.968 152.7748
112.000000 79.929 152.2453
113.800003 79.888 151.6420
115.000000 79.863 151.2065
117.199997 79.804 150.4816
118.000000 79.786 150.2130
120.599998 79.720 149.3494
122.000000 79.686 148.9285
124.099998 79.634 148.3042
125.000000 79.620 148.0120
126.500000 79.575 147.5674
128.000000 79.537 147.1340
131.500000 79.445 146.2239
132.000000 79.436 146.0961
134.000000 79.380 145.6005
136.000000 79.339 145.1727
138.000000 79.313 144.7790
140.000000 79.290 144.2224
143.000000 79.240 143.4064
145.000000 79.203 142.9053
147.500000 79.151 142.2530
150.000000 79.098 141.6301
152.500000 79.051 140.9980
155.000000 78.994 140.4390
157.500000 78.949 139.8040
160.000000 78.889 139.2732
162.500000 78.843 138.6936
165.000000 78.797 138.1650
167.500000 78.758 137.6911
170.000000 78.707 137.2083
172.500000 78.654 136.6808
175.000000 78.605 136.1582
177.500000 78.563 135.7186
180.000000 78.522 135.2075
182.500000 78.484 134.7424
185.000000 78.430 134.3623
187.500000 78.388 133.8475
190.000000 78.349 133.3954
192.500000 78.308 132.9482
195.000000 78.270 132.5481
197.500000 78.222 132.0969
200.000000 78.190 131.6240
203.000000 78.147 131.1980
206.000000 78.105 130.7623
209.000000 78.063 130.2971
212.000000 78.017 129.7998
214.000000 77.986 129.5306
218.000000 77.926 128.9611
220.000000 77.905 128.6120
224.000000 77.858 128.0816
227.000000 77.809 127.6329
230.000000 77.777 127.2021
233.000000 77.738 126.7608
236.000000 77.694 126.3477
240.000000 77.666 125.9313
243.000000 77.620 125.4515
247.000000 77.574 124.9715
250.000000 77.536 124.6474
254.000000 77.500 124.1244
258.000000 77.471 123.6336
262.000000 77.423 123.1701
265.000000 77.404 122.7786
269.000000 77.369 122.3239
272.000000 77.329 122.0280
276.000000 77.310 121.5306
280.000000 77.275 121.1605
285.000000 77.231 120.6014
290.000000 77.190 120.0861
295.000000 77.168 119.5598
300.000000 77.125 119.0961
304.000000 77.109 118.6674
307.000000 77.090 118.3823
311.000000 77.070 118.0203
315.000000 77.048 117.6398
320.000000 77.009 117.1965
325.000000 76.997 116.7860
330.000000 76.977 116.3011
335.000000 76.945 115.9021
340.000000 76.925 115.4326
345.000000 76.915 115.0544
350.000000 76.903 114.6534
355.000000 76.894 114.2806
360.000000 76.887 113.8021
365.000000 76.874 113.4860
370.000000 76.863 113.0917
375.000000 76.857 112.7916
382.000000 76.849 112.1397
387.000000 76.836 111.8843
395.000000 76.845 111.2689
400.000000 76.838 110.8122
406.000000 76.847 110.5128
412.000000 76.843 110.0758
418.000000 76.861 109.7171
425.000000 76.857 109.2164
431.000000 76.869 108.8716
437.000000 76.891 108.4766
444.000000 76.900 108.0385
450.000000 76.913 107.6942
455.000000 76.931 107.3581
462.000000 76.949 106.9242
468.000000 76.967 106.5729
475.000000 77.002 106.2088
482.000000 77.012 105.8108
487.000000 77.038 105.5017
494.000000 77.078 105.0294
500.000000 77.115 104.7542
508.000000 77.141 104.2944
515.000000 77.180 103.9393
522.000000 77.229 103.5367
530.000000 77.284 103.0241
538.000000 77.321 102.5806
545.000000 77.355 102.2820
552.000000 77.416 101.8745
560.000000 77.467 101.4981
570.000000 77.533 100.9177
580.000000 77.614 100.4037
590.000000 77.683 99.9132
600.000000 77.767 99.2914
608.000000 77.822 98.9250
615.000000 77.890 98.5033
622.000000 77.963 98.0563
630.000000 78.016 97.7125
640.000000 78.106 97.1261
650.000000 78.199 96.6245
660.000000 78.288 96.0542
670.000000 78.377 95.5114
680.000000 78.473 94.9127
690.000000 78.573 94.3743
700.000000 78.672 93.7782
710.000000 78.776 93.2493
720.000000 78.876 92.6221
730.000000 78.971 92.0010
740.000000 79.085 91.4411
750.000000 79.180 90.8085
762.000000 79.310 90.0957
775.000000 79.440 89.1814
788.000000 79.571 88.4008
800.000000 79.689 87.6894
812.000000 79.816 86.7855
825.000000 79.953 85.9279
838.000000 80.098 85.0143
850.000000 80.214 84.1658
862.000000 80.334 83.3441
875.000000 80.454 82.3791
885.000000 80.563 81.6283
900.000000 80.707 80.4632
912.000000 80.818 79.5670
925.000000 80.946 78.5218
938.000000 81.064 77.4928
950.000000 81.168 76.4144
962.000000 81.283 75.4527
975.000000 81.386 74.2218
988.000000 81.490 73.0781
1000.000000 81.586 72.0674
1015.000000 81.676 70.4814
1030.000000 81.774 68.9418
1044.000000 81.836 67.5786
1060.000000 81.896 65.9534
1075.000000 81.926 64.4422
1090.000000 81.946 62.9138
1106.000000 81.938 61.4605
1120.000000 81.925 60.2994
1138.000000 81.895 58.8769
1150.000000 81.868 58.0306
1172.000000 81.826 56.6714
1180.000000 81.807 56.2220
1206.000000 81.783 54.9250
1220.000000 81.777 54.2234
1241.000000 81.774 53.2994
1250.000000 81.776 52.9061
1265.000000 81.775 52.1824
1280.000000 81.782 51.5122
1315.000000 81.789 49.9215
1320.000000 81.794 49.7015
1340.000000 81.795 48.7285
1360.000000 81.783 47.8468
1380.000000 81.784 47.0732
1400.000000 81.782 46.2668
1430.000000 81.767 44.9980
1450.000000 81.741 44.2983
1475.000000 81.731 43.3944
1500.000000 81.716 42.5373
1525.000000 81.709 41.8161
1550.000000 81.691 41.1057
1575.000000 81.681 40.3950
1600.000000 81.688 39.5462
1625.000000 81.679 38.9456
1650.000000 81.675 38.2935
1675.000000 81.658 37.6595
1700.000000 81.656 37.0717
1725.000000 81.655 36.4803
1750.000000 81.647 35.8724
1775.000000 81.652 35.2904
1800.000000 81.653 34.8662
1825.000000 81.665 34.3260
1850.000000 81.654 33.8005
1875.000000 81.657 33.2126
1900.000000 81.673 32.7737
1925.000000 81.666 32.2944
1950.000000 81.667 31.8566
1975.000000 81.683 31.4185
2000.000000 81.690 30.8636
2030.000000 81.678 30.4865
2060.000000 81.686 30.0961
2090.000000 81.696 29.6887
2120.000000 81.705 29.2188
2140.000000 81.709 28.9833
2180.000000 81.716 28.5049
2200.000000 81.728 28.2553
2240.000000 81.751 27.8632
2270.000000 81.763 27.6396
2300.000000 81.782 27.4592
2330.000000 81.805 27.3004
2360.000000 81.833 27.2274
2400.000000 81.922 27.3065
2430.000000 82.020 27.2018
2470.000000 82.213 26.9768
2500.000000 82.347 26.3349
2540.000000 82.498 25.2820
2580.000000 82.606 24.0538
2620.000000 82.689 22.7492
2650.000000 82.716 21.8018
2690.000000 82.728 20.7035
2720.000000 82.737 19.9525
2760.000000 82.723 19.0833
2800.000000 82.734 18.3363
2850.000000 82.720 17.5918
2900.000000 82.754 17.1120
2950.000000 82.797 16.5625
3000.000000 82.881 16.2285
3040.000000 82.989 15.5958
3070.000000 83.089 15.1346
3110.000000 83.211 14.2914
3150.000000 83.331 13.1869
3200.000000 83.449 11.3258
3250.000000 83.483 9.3482
3300.000000 83.432 7.2905
3350.000000 83.324 5.5226
3400.000000 83.167 4.2328
3450.000000 83.011 3.4437
3500.000000 82.857 2.9905
3550.000000 82.750 2.7785
3600.000000 82.671 2.7705
3650.000000 82.621 2.7970
3700.000000 82.612 2.7767
3750.000000 82.619 2.7278
3820.000000 82.630 2.5452
3870.000000 82.650 2.4576
3950.000000 82.700 2.0887
4000.000000 82.756 2.0236
4060.000000 82.830 1.6661
4120.000000 82.925 1.1220
4180.000000 83.012 0.3881
4250.000000 83.111 -0.8379
4310.000000 83.177 -1.9403
4370.000000 83.208 -3.3849
4440.000000 83.190 -5.0993
4500.000000 83.130 -6.6899
4550.000000 83.022 -7.9126
4620.000000 82.813 -9.4557
4680.000000 82.574 -10.5851
4750.000000 82.257 -11.1838
4820.000000 81.903 -11.2128
4870.000000 81.661 -10.6972
4940.000000 81.342 -9.6000
5000.000000 81.105 -8.2593
5080.000000 80.863 -5.3701
5150.000000 80.771 -2.6164
5220.000000 80.812 0.6044
5300.000000 81.068 4.2947
5380.000000 81.517 7.3649
5450.000000 82.057 9.2382
5520.000000 82.744 9.8723
5600.000000 83.548 8.5819
5700.000000 84.360 4.0146
5800.000000 84.755 -3.0424
5900.000000 84.515 -10.3582
6000.000000 83.798 -15.3728
6080.000000 83.162 -17.0552
6150.000000 82.632 -17.4246
6220.000000 82.136 -17.0861
6300.000000 81.663 -15.9111
6400.000000 81.209 -13.7919
6500.000000 80.867 -11.0040
