* Measurement data measured by REW V5.20.13
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0,000
* Format: 256k Log Swept Sine, 1 sweep at -12,0 dBFS with no timing reference
* Dated: 12:37:11 04-01-2024
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Hi-fri Barcelona v2 clear L
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 78.068 121.6203
1.015000 77.883 120.6991
1.030000 77.692 119.7691
1.044000 77.506 118.8929
1.060000 77.285 117.8807
1.075000 77.068 116.9208
1.090000 76.843 115.9495
1.106000 76.592 114.9246
1.120000 76.365 114.1689
1.138000 76.065 113.3992
1.150000 75.859 112.9928
1.172000 75.469 112.4217
1.180000 75.324 112.2576
1.206000 74.838 111.8235
1.220000 74.569 111.6199
1.241000 74.154 111.2989
1.250000 73.972 111.1411
1.265000 73.664 110.8312
1.280000 73.351 110.4411
1.315000 72.596 109.0800
1.320000 72.486 108.8206
1.340000 72.038 107.5833
1.360000 71.581 105.9828
1.380000 71.115 103.9604
1.400000 70.639 101.4572
1.430000 69.910 96.6720
1.450000 69.413 92.7092
1.475000 68.772 86.7450
1.500000 68.030 79.3242
1.525000 67.190 70.5645
1.550000 66.276 60.6841
1.575000 65.312 49.9013
1.600000 64.321 38.4344
1.625000 63.328 26.5016
1.650000 62.357 14.3212
1.675000 61.430 2.1113
1.700000 60.573 -9.9098
1.725000 59.810 -21.5238
1.750000 59.163 -32.5124
1.775000 58.658 -42.6574
1.800000 58.318 -51.7406
1.825000 58.167 -59.5438
1.850000 58.232 -66.0748
1.875000 58.520 -71.8035
1.900000 59.002 -76.8220
1.925000 59.648 -81.2022
1.950000 60.430 -85.0160
1.975000 61.317 -88.3353
2.000000 62.280 -91.2320
2.030000 63.494 -94.2514
2.060000 64.725 -96.8900
2.090000 65.921 -99.2721
2.120000 67.031 -101.5217
2.140000 67.698 -103.0093
2.180000 68.791 -106.1208
2.200000 69.187 -107.8158
2.240000 69.797 -110.9918
2.270000 70.153 -113.0449
2.300000 70.433 -114.8517
2.330000 70.646 -116.4442
2.360000 70.802 -117.8544
2.400000 70.938 -119.5064
2.430000 70.998 -120.6158
2.470000 71.041 -121.9831
2.500000 71.058 -122.9660
2.540000 71.079 -124.2809
2.580000 71.110 -125.6597
2.620000 71.101 -127.0486
2.650000 71.062 -128.0627
2.690000 70.972 -129.3451
2.720000 70.880 -130.2322
2.760000 70.729 -131.2826
2.800000 70.553 -132.1440
2.850000 70.307 -132.8923
2.900000 70.043 -133.2010
2.950000 69.765 -133.0030
3.000000 69.406 -132.3683
3.040000 69.068 -131.5760
3.070000 68.798 -130.8230
3.110000 68.432 -129.6160
3.150000 68.075 -128.1870
3.200000 67.673 -126.1050
3.250000 67.355 -123.7144
3.300000 67.157 -121.0338
3.350000 67.067 -117.7019
3.400000 67.053 -113.6536
3.450000 67.106 -109.1807
3.500000 67.217 -104.5749
3.550000 67.377 -100.1280
3.600000 67.578 -96.1317
3.650000 67.811 -92.8778
3.700000 68.091 -90.4712
3.750000 68.458 -88.5767
3.820000 69.068 -86.6409
3.870000 69.535 -85.6860
3.950000 70.261 -84.7285
4.000000 70.658 -84.3902
4.060000 71.045 -84.2150
4.120000 71.388 -84.5454
4.180000 71.695 -85.2960
4.250000 72.006 -86.5131
4.310000 72.232 -87.6861
4.370000 72.419 -88.8288
4.440000 72.584 -90.0627
4.500000 72.677 -91.2536
4.550000 72.723 -92.3086
4.620000 72.747 -93.7999
4.680000 72.736 -95.0167
4.750000 72.695 -96.2672
4.820000 72.618 -97.3438
4.870000 72.531 -98.0803
4.940000 72.377 -99.0201
5.000000 72.227 -99.6979
5.080000 72.017 -100.3458
5.150000 71.838 -100.6070
5.220000 71.637 -100.5736
5.300000 71.388 -100.2401
5.380000 71.148 -99.6658
5.450000 70.971 -99.0271
5.520000 70.843 -98.2907
5.600000 70.739 -97.1263
5.700000 70.661 -95.3956
5.800000 70.644 -93.7714
5.900000 70.695 -92.6353
6.000000 70.836 -91.7827
6.080000 70.990 -91.3063
6.150000 71.133 -91.0915
6.220000 71.265 -91.1084
6.300000 71.409 -91.4609
6.400000 71.600 -92.3394
6.500000 71.780 -93.5463
6.600000 71.923 -94.9138
6.700000 72.026 -96.5161
6.800000 72.098 -98.3538
6.900000 72.144 -100.2460
7.000000 72.163 -102.0433
7.100000 72.147 -103.8589
7.200000 72.108 -105.6425
7.300000 72.063 -107.2870
7.400000 72.015 -108.7298
7.500000 71.954 -110.0261
7.620000 71.888 -111.3978
7.750000 71.855 -112.6469
7.880000 71.852 -113.6020
8.000000 71.881 -114.3654
8.120000 71.953 -115.1368
8.250000 72.079 -115.9025
8.380000 72.235 -116.7040
8.500000 72.395 -117.5777
8.620000 72.580 -118.5456
8.750000 72.784 -119.6637
8.850000 72.932 -120.5664
9.000000 73.150 -122.0228
9.120000 73.314 -123.1770
9.250000 73.473 -124.3512
9.380000 73.616 -125.4845
9.500000 73.738 -126.4307
9.620000 73.853 -127.2415
9.750000 73.966 -127.9957
9.880000 74.079 -128.6302
10.000000 74.186 -129.0968
10.150000 74.320 -129.5381
10.300000 74.460 -129.9114
10.440000 74.598 -130.1868
10.600000 74.758 -130.4657
10.750000 74.907 -130.7424
10.900000 75.054 -131.0155
11.060000 75.199 -131.3142
11.200000 75.318 -131.5850
11.380000 75.456 -131.9131
11.500000 75.539 -132.1137
11.720000 75.674 -132.4441
11.800000 75.719 -132.5471
12.060000 75.852 -132.8370
12.200000 75.918 -132.9859
12.410000 76.008 -133.2067
12.500000 76.044 -133.3155
12.650000 76.099 -133.5121
12.800000 76.148 -133.7286
13.150000 76.232 -134.3198
13.200000 76.241 -134.4081
13.400000 76.268 -134.7704
13.600000 76.288 -135.1364
13.800000 76.302 -135.4969
14.000000 76.317 -135.8804
14.300000 76.343 -136.5215
14.500000 76.365 -137.0364
14.750000 76.391 -137.7906
15.000000 76.415 -138.6657
15.250000 76.429 -139.6183
15.500000 76.439 -140.5877
15.750000 76.447 -141.5404
16.000000 76.463 -142.4393
16.250000 76.493 -143.3032
16.500000 76.539 -144.1493
16.750000 76.602 -145.0109
17.000000 76.674 -145.9003
17.250000 76.752 -146.8064
17.500000 76.830 -147.7101
17.750000 76.905 -148.5660
18.000000 76.979 -149.3553
18.250000 77.051 -150.0583
18.500000 77.124 -150.6765
18.750000 77.199 -151.2226
19.000000 77.276 -151.7088
19.250000 77.353 -152.1561
19.500000 77.428 -152.5760
19.750000 77.500 -152.9783
20.000000 77.567 -153.3754
20.299999 77.636 -153.8520
20.600000 77.691 -154.3286
20.900000 77.730 -154.7949
21.200001 77.753 -155.2290
21.400000 77.762 -155.4895
21.799999 77.771 -155.9497
22.000000 77.776 -156.1651
22.400000 77.790 -156.6254
22.700001 77.804 -157.0459
23.000000 77.815 -157.5534
23.299999 77.821 -158.1263
23.600000 77.820 -158.7308
24.000000 77.816 -159.5393
24.299999 77.817 -160.1369
24.700001 77.830 -160.9445
25.000000 77.847 -161.5763
25.400000 77.874 -162.4485
25.799999 77.904 -163.3085
26.200001 77.937 -164.1104
26.500000 77.966 -164.6703
26.900000 78.012 -165.3804
27.200001 78.047 -165.8974
27.600000 78.090 -166.5609
28.000000 78.125 -167.1667
28.500000 78.160 -167.8141
29.000000 78.190 -168.3672
29.500000 78.216 -168.8820
30.000000 78.235 -169.3939
30.400000 78.244 -169.8135
30.700001 78.248 -170.1404
31.100000 78.249 -170.5963
31.500000 78.245 -171.0667
32.000000 78.235 -171.6507
32.500000 78.230 -172.2256
33.000000 78.234 -172.8250
33.500000 78.246 -173.4711
34.000000 78.259 -174.1385
34.500000 78.277 -174.7917
35.000000 78.301 -175.4347
35.500000 78.329 -176.0923
36.000000 78.350 -176.7555
36.500000 78.363 -177.3774
37.000000 78.370 -177.9217
37.500000 78.379 -178.4078
38.200001 78.395 -179.1081
38.700001 78.397 -179.6661
39.500000 78.368 179.4811
40.000000 78.345 179.0629
40.599998 78.334 178.6196
41.200001 78.341 178.0848
41.799999 78.344 177.4336
42.500000 78.336 176.6749
43.099998 78.331 176.0987
43.700001 78.337 175.5316
44.400002 78.349 174.8008
45.000000 78.348 174.1376
45.500000 78.336 173.6315
46.200001 78.320 173.0460
46.799999 78.319 172.5633
47.500000 78.315 171.8933
48.200001 78.288 171.2547
48.700001 78.268 170.9137
49.400002 78.266 170.4712
50.000000 78.275 169.9542
50.799999 78.262 169.1616
51.500000 78.237 168.5716
52.200001 78.218 168.0355
53.000000 78.196 167.3985
53.799999 78.169 166.7926
54.500000 78.148 166.2726
55.200001 78.125 165.7421
56.000000 78.099 165.1667
57.000000 78.074 164.4467
58.000000 78.045 163.7527
59.000000 78.025 163.0949
60.000000 77.997 162.3842
60.799999 77.965 161.8835
61.500000 77.940 161.4763
62.200001 77.916 161.0524
63.000000 77.885 160.5430
64.000000 77.839 159.9389
65.000000 77.808 159.3895
66.000000 77.783 158.7163
67.000000 77.746 158.1102
68.000000 77.726 157.4887
69.000000 77.676 156.8221
70.000000 77.629 156.4417
71.000000 77.614 155.9422
72.000000 77.574 155.3802
73.000000 77.548 154.9126
74.000000 77.520 154.2925
75.000000 77.474 153.7701
76.199997 77.441 153.2314
77.500000 77.406 152.5028
78.800003 77.347 151.8385
80.000000 77.309 151.3691
81.199997 77.287 150.7112
82.500000 77.224 150.0028
83.800003 77.172 149.5029
85.000000 77.139 149.0173
86.199997 77.102 148.4374
87.500000 77.047 147.8353
88.500000 77.005 147.4151
90.000000 76.953 146.8095
91.199997 76.908 146.2672
92.500000 76.853 145.7610
93.800003 76.805 145.2704
95.000000 76.762 144.8089
96.199997 76.722 144.3638
97.500000 76.678 143.8208
98.800003 76.632 143.4511
100.000000 76.612 142.9109
101.500000 76.534 142.3554
103.000000 76.466 141.8694
104.400002 76.428 141.4466
106.000000 76.352 140.8190
107.500000 76.308 140.3580
109.000000 76.254 139.8534
110.599998 76.204 139.3886
112.000000 76.153 138.9257
113.800003 76.081 138.3526
115.000000 76.030 138.0945
117.199997 75.955 137.4502
118.000000 75.932 137.2727
120.599998 75.846 136.5408
122.000000 75.803 136.1544
124.099998 75.730 135.6334
125.000000 75.705 135.4273
126.500000 75.653 135.0400
128.000000 75.617 134.6523
131.500000 75.500 133.7567
132.000000 75.484 133.6536
134.000000 75.442 133.1453
136.000000 75.385 132.6449
138.000000 75.342 132.1606
140.000000 75.274 131.6295
143.000000 75.175 130.9344
145.000000 75.142 130.4203
147.500000 75.058 129.8318
150.000000 74.980 129.2167
152.500000 74.893 128.7704
155.000000 74.845 128.1179
157.500000 74.761 127.6599
160.000000 74.688 127.1265
162.500000 74.608 126.6497
165.000000 74.546 126.1878
167.500000 74.472 125.7539
170.000000 74.408 125.2335
172.500000 74.336 124.8883
175.000000 74.278 124.3872
177.500000 74.212 124.0052
180.000000 74.145 123.6794
182.500000 74.073 123.1749
185.000000 74.018 122.7376
187.500000 73.957 122.2915
190.000000 73.895 121.9269
192.500000 73.832 121.6261
195.000000 73.769 121.2991
197.500000 73.712 120.9412
200.000000 73.661 120.6138
203.000000 73.585 120.2410
206.000000 73.527 119.8541
209.000000 73.446 119.4875
212.000000 73.385 119.1526
214.000000 73.345 118.9456
218.000000 73.250 118.4481
220.000000 73.222 118.3437
224.000000 73.134 118.0029
227.000000 73.059 117.7228
230.000000 73.027 117.5256
233.000000 72.989 117.4197
236.000000 72.936 117.3112
240.000000 72.911 116.9918
243.000000 72.908 116.7323
247.000000 72.865 116.3325
250.000000 72.840 115.8458
254.000000 72.824 115.3523
258.000000 72.759 114.8860
262.000000 72.720 114.4022
265.000000 72.685 114.0896
269.000000 72.619 113.6564
272.000000 72.575 113.3236
276.000000 72.533 112.9914
280.000000 72.470 112.6465
285.000000 72.391 112.1332
290.000000 72.360 111.7662
295.000000 72.298 111.5590
300.000000 72.250 111.1262
304.000000 72.206 110.7292
307.000000 72.185 110.5390
311.000000 72.140 110.2998
315.000000 72.102 110.0936
320.000000 72.069 109.8027
325.000000 72.021 109.5470
