* Measurement data measured by REW V5.20.13
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), R, volume: 0,000
* Format: 256k Log Swept Sine, 1 sweep at -12,0 dBFS with no timing reference
* Dated: 12:40:33 04-01-2024
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Hi-fri Barcelona v2 clear R
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 84.175 120.3190
1.015000 83.981 119.3662
1.030000 83.779 118.4022
1.044000 83.583 117.4916
1.060000 83.348 116.4370
1.075000 83.117 115.4341
1.090000 82.876 114.4163
1.106000 82.607 113.3395
1.120000 82.356 112.5453
1.138000 82.015 111.7362
1.150000 81.777 111.3087
1.172000 81.319 110.7070
1.180000 81.147 110.5335
1.206000 80.567 110.0720
1.220000 80.243 109.8534
1.241000 79.747 109.5064
1.250000 79.530 109.3353
1.265000 79.166 108.9991
1.280000 78.798 108.5763
1.315000 77.930 107.1053
1.320000 77.805 106.8254
1.340000 77.309 105.4929
1.360000 76.816 103.7723
1.380000 76.329 101.6014
1.400000 75.851 98.9176
1.430000 75.157 93.7939
1.450000 74.714 89.5550
1.475000 74.179 83.1752
1.500000 73.602 75.1978
1.525000 72.982 65.7490
1.550000 72.333 55.0738
1.575000 71.668 43.4171
1.600000 71.003 31.0240
1.625000 70.351 18.1394
1.650000 69.727 5.0082
1.675000 69.145 -8.1246
1.700000 68.620 -21.0140
1.725000 68.165 -33.4150
1.750000 67.796 -45.0828
1.775000 67.526 -55.7723
1.800000 67.369 -65.2385
1.825000 67.341 -73.2367
1.850000 67.464 -79.7494
1.875000 67.755 -85.2517
1.900000 68.194 -89.8640
1.925000 68.756 -93.6866
1.950000 69.420 -96.8200
1.975000 70.162 -99.3644
2.000000 70.961 -101.4202
2.030000 71.961 -103.3838
2.060000 72.971 -104.9618
2.090000 73.949 -106.3278
2.120000 74.859 -107.6553
2.140000 75.407 -108.6045
2.180000 76.312 -110.8884
2.200000 76.645 -112.3226
2.240000 77.169 -115.1817
2.270000 77.479 -117.1218
2.300000 77.727 -118.9074
2.330000 77.919 -120.5568
2.360000 78.064 -122.0887
2.400000 78.196 -123.9803
2.430000 78.259 -125.3096
2.470000 78.309 -126.9982
2.500000 78.330 -128.2257
2.540000 78.352 -129.8455
2.580000 78.376 -131.4826
2.620000 78.365 -133.1237
2.650000 78.330 -134.3351
2.690000 78.249 -135.8977
2.720000 78.165 -137.0119
2.760000 78.026 -138.3937
2.800000 77.858 -139.6263
2.850000 77.615 -140.9065
2.900000 77.341 -141.8361
2.950000 77.037 -142.3771
3.000000 76.651 -142.7061
3.040000 76.290 -142.8120
3.070000 76.000 -142.7762
3.110000 75.601 -142.5463
3.150000 75.201 -142.0757
3.200000 74.725 -141.0946
3.250000 74.304 -139.6123
3.300000 73.969 -137.5573
3.350000 73.686 -134.6044
3.400000 73.423 -130.7675
3.450000 73.195 -126.3550
3.500000 73.014 -121.6750
3.550000 72.895 -117.0359
3.600000 72.850 -112.7460
3.650000 72.893 -109.1133
3.700000 73.051 -106.1947
3.750000 73.341 -103.5515
3.820000 73.902 -100.3149
3.870000 74.364 -98.3630
3.950000 75.104 -95.9215
4.000000 75.510 -94.8543
4.060000 75.900 -94.1100
4.120000 76.259 -94.0891
4.180000 76.596 -94.6476
4.250000 76.950 -95.7902
4.310000 77.211 -96.9837
4.370000 77.424 -98.1842
4.440000 77.604 -99.5135
4.500000 77.706 -100.8650
4.550000 77.756 -102.1039
4.620000 77.781 -103.9139
4.680000 77.765 -105.4457
4.750000 77.709 -107.0935
4.820000 77.607 -108.6087
4.870000 77.499 -109.7019
4.940000 77.309 -111.1826
5.000000 77.119 -112.3441
5.080000 76.841 -113.6353
5.150000 76.587 -114.4365
5.220000 76.292 -114.9845
5.300000 75.918 -115.3381
5.380000 75.541 -115.3999
5.450000 75.238 -115.2139
5.520000 74.981 -114.7822
5.600000 74.711 -113.8059
5.700000 74.413 -112.1344
5.800000 74.193 -110.4409
5.900000 74.088 -109.1544
6.000000 74.112 -107.9588
6.080000 74.192 -107.1504
6.150000 74.282 -106.6839
6.220000 74.373 -106.5513
6.300000 74.484 -106.8655
6.400000 74.661 -107.8087
6.500000 74.841 -109.2015
6.600000 74.981 -110.8719
6.700000 75.080 -112.9252
6.800000 75.153 -115.3410
6.900000 75.196 -117.8744
7.000000 75.206 -120.3268
7.100000 75.176 -122.8646
7.200000 75.119 -125.3975
7.300000 75.051 -127.7513
7.400000 74.975 -129.8382
7.500000 74.880 -131.7558
7.620000 74.771 -133.7796
7.750000 74.697 -135.5368
7.880000 74.654 -136.8061
8.000000 74.655 -137.7241
8.120000 74.717 -138.5334
8.250000 74.852 -139.1752
8.380000 75.032 -139.7842
8.500000 75.228 -140.4943
8.620000 75.463 -141.2743
8.750000 75.727 -142.1992
8.850000 75.917 -142.9877
9.000000 76.201 -144.3128
9.120000 76.412 -145.3780
9.250000 76.610 -146.4643
9.380000 76.783 -147.5245
9.500000 76.925 -148.3938
9.620000 77.049 -149.1073
9.750000 77.165 -149.7420
9.880000 77.272 -150.2366
10.000000 77.368 -150.5509
10.150000 77.481 -150.7765
10.300000 77.594 -150.9197
10.440000 77.701 -150.9680
10.600000 77.817 -150.9714
10.750000 77.918 -150.9802
10.900000 78.010 -150.9695
11.060000 78.091 -150.9242
11.200000 78.146 -150.8618
11.380000 78.204 -150.7077
11.500000 78.233 -150.5407
11.720000 78.279 -150.1568
11.800000 78.297 -149.9958
12.060000 78.358 -149.4409
12.200000 78.396 -149.2226
12.410000 78.454 -149.0078
12.500000 78.473 -148.9950
12.650000 78.502 -149.0805
12.800000 78.514 -149.2573
13.150000 78.456 -149.9610
13.200000 78.439 -150.0564
13.400000 78.342 -150.4305
13.600000 78.230 -150.6726
13.800000 78.107 -150.7188
14.000000 78.010 -150.6549
14.300000 77.926 -150.4581
14.500000 77.928 -150.4909
14.750000 77.967 -150.9116
15.000000 78.032 -151.8236
15.250000 78.079 -153.1816
15.500000 78.094 -154.7452
15.750000 78.076 -156.3544
16.000000 78.035 -157.7589
16.250000 78.006 -158.8757
16.500000 78.005 -159.7164
16.750000 78.058 -160.3564
17.000000 78.161 -160.9862
17.250000 78.303 -161.6812
17.500000 78.465 -162.5285
17.750000 78.620 -163.4912
18.000000 78.756 -164.5057
18.250000 78.864 -165.4987
18.500000 78.941 -166.3600
18.750000 78.993 -167.0452
19.000000 79.024 -167.5132
19.250000 79.046 -167.7521
19.500000 79.067 -167.7988
19.750000 79.094 -167.6879
20.000000 79.132 -167.5099
20.299999 79.191 -167.3190
20.600000 79.253 -167.2482
20.900000 79.303 -167.3530
21.200001 79.326 -167.6154
21.400000 79.322 -167.8302
21.799999 79.276 -168.2645
22.000000 79.241 -168.4525
22.400000 79.169 -168.7677
22.700001 79.125 -169.0244
23.000000 79.094 -169.3865
23.299999 79.068 -169.8912
23.600000 79.041 -170.5216
24.000000 79.000 -171.4786
24.299999 78.967 -172.2059
24.700001 78.933 -173.1201
25.000000 78.922 -173.7514
25.400000 78.931 -174.5359
25.799999 78.966 -175.2841
26.200001 79.020 -176.0183
26.500000 79.065 -176.5595
26.900000 79.121 -177.2434
27.200001 79.157 -177.6925
27.600000 79.196 -178.1603
28.000000 79.234 -178.4752
28.500000 79.289 -178.7772
29.000000 79.339 -179.1714
29.500000 79.353 -179.6889
30.000000 79.322 179.8207
30.400000 79.281 179.5178
30.700001 79.251 179.3217
31.100000 79.216 179.0321
31.500000 79.185 178.6646
32.000000 79.145 178.1077
32.500000 79.107 177.5072
33.000000 79.083 176.8868
33.500000 79.076 176.2256
34.000000 79.082 175.5231
34.500000 79.094 174.8077
35.000000 79.106 174.1154
35.500000 79.112 173.5078
36.000000 79.117 173.0434
36.500000 79.128 172.7032
37.000000 79.148 172.3821
37.500000 79.162 172.0089
38.200001 79.153 171.4747
38.700001 79.132 171.1578
39.500000 79.102 170.6616
40.000000 79.083 170.2848
40.599998 79.056 169.7795
41.200001 79.032 169.2397
41.799999 79.010 168.6597
42.500000 78.986 167.9625
43.099998 78.965 167.4022
43.700001 78.950 166.8967
44.400002 78.939 166.3456
45.000000 78.931 165.8751
45.500000 78.920 165.4965
46.200001 78.902 165.0151
46.799999 78.889 164.6151
47.500000 78.870 164.1155
48.200001 78.846 163.6295
48.700001 78.831 163.3025
49.400002 78.817 162.8289
50.000000 78.806 162.3958
50.799999 78.791 161.7783
51.500000 78.764 161.2283
52.200001 78.725 160.8063
53.000000 78.701 160.4475
53.799999 78.690 159.9144
54.500000 78.653 159.3748
55.200001 78.606 158.9940
56.000000 78.583 158.6356
57.000000 78.569 157.9050
58.000000 78.514 157.2217
59.000000 78.490 156.8390
60.000000 78.489 156.1974
60.799999 78.450 155.6401
61.500000 78.404 155.3131
62.200001 78.373 155.0625
63.000000 78.356 154.6816
64.000000 78.324 153.9855
65.000000 78.270 153.3279
66.000000 78.225 152.7892
67.000000 78.197 152.3228
68.000000 78.181 151.7924
69.000000 78.140 151.3040
70.000000 78.113 150.9669
71.000000 78.085 150.4131
72.000000 78.023 149.9204
73.000000 77.975 149.4919
74.000000 77.927 149.0488
75.000000 77.901 148.5856
76.199997 77.843 147.8884
77.500000 77.792 147.4688
78.800003 77.756 146.8671
80.000000 77.706 146.3602
81.199997 77.662 145.9055
82.500000 77.617 145.3148
83.800003 77.550 144.7767
85.000000 77.502 144.3832
86.199997 77.459 143.8458
87.500000 77.393 143.3732
88.500000 77.369 143.0037
90.000000 77.303 142.3452
91.199997 77.258 141.9837
92.500000 77.218 141.5526
93.800003 77.163 140.9750
95.000000 77.089 140.6397
96.199997 77.050 140.2759
97.500000 76.996 139.7936
98.800003 76.943 139.3156
100.000000 76.889 139.0150
101.500000 76.848 138.5214
103.000000 76.778 138.1685
104.400002 76.744 137.7669
106.000000 76.677 137.2482
107.500000 76.621 136.8766
109.000000 76.567 136.4340
110.599998 76.504 135.9557
112.000000 76.451 135.6520
113.800003 76.395 135.1348
115.000000 76.365 134.8092
117.199997 76.282 134.3076
118.000000 76.258 134.0565
120.599998 76.174 133.3536
122.000000 76.117 133.0616
124.099998 76.046 132.5764
125.000000 76.037 132.3782
126.500000 75.973 131.9024
128.000000 75.949 131.5981
131.500000 75.829 130.7702
132.000000 75.808 130.6947
134.000000 75.762 130.1809
136.000000 75.682 129.8156
138.000000 75.609 129.3055
140.000000 75.569 128.8586
143.000000 75.481 128.2722
145.000000 75.420 128.0346
147.500000 75.334 127.4699
150.000000 75.282 126.9259
152.500000 75.210 126.5311
155.000000 75.127 126.0852
157.500000 75.065 125.5480
160.000000 75.036 125.1575
162.500000 74.950 124.8481
165.000000 74.882 124.1280
167.500000 74.822 123.7814
170.000000 74.764 123.2194
172.500000 74.705 122.8893
175.000000 74.635 122.5483
177.500000 74.591 121.9960
180.000000 74.522 121.5742
182.500000 74.468 121.2079
185.000000 74.413 120.8548
187.500000 74.348 120.3428
190.000000 74.294 120.0212
192.500000 74.237 119.7303
195.000000 74.177 119.2859
197.500000 74.109 118.9620
200.000000 74.060 118.6074
203.000000 73.985 118.2607
206.000000 73.910 117.7752
209.000000 73.872 117.3654
212.000000 73.800 117.0562
214.000000 73.759 116.8875
218.000000 73.666 116.3239
220.000000 73.642 116.1876
224.000000 73.557 115.6688
227.000000 73.489 115.3680
230.000000 73.434 115.0457
233.000000 73.383 114.7820
236.000000 73.337 114.4923
240.000000 73.260 114.1833
243.000000 73.224 113.8301
247.000000 73.140 113.3870
250.000000 73.100 113.2105
254.000000 73.022 112.8604
258.000000 72.976 112.5125
262.000000 72.906 112.2764
265.000000 72.861 112.1352
269.000000 72.840 111.6880
272.000000 72.779 111.4991
276.000000 72.730 111.2333
280.000000 72.670 111.1209
285.000000 72.601 110.7253
290.000000 72.575 110.3755
295.000000 72.509 110.1917
300.000000 72.479 110.0199
304.000000 72.428 109.7496
307.000000 72.404 109.5689
311.000000 72.384 109.4139
315.000000 72.364 109.2280
320.000000 72.357 109.0700
325.000000 72.330 108.6201
330.000000 72.307 108.4477
