* Measurement data measured by REW V5.20.13
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0,000
* Format: 256k Log Swept Sine, 1 sweep at -12,0 dBFS with no timing reference
* Dated: 12:56:41 04-01-2024
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Hifri Barcelona v2 purple L
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 76.709 121.8103
1.015000 76.525 120.9216
1.030000 76.334 120.0296
1.044000 76.149 119.1938
1.060000 75.928 118.2342
1.075000 75.712 117.3303
1.090000 75.487 116.4218
1.106000 75.238 115.4770
1.120000 75.017 114.8298
1.138000 74.729 114.2531
1.150000 74.535 114.0043
1.172000 74.172 113.7718
1.180000 74.038 113.7437
1.206000 73.591 113.7859
1.220000 73.344 113.8526
1.241000 72.962 113.9430
1.250000 72.795 113.9602
1.265000 72.509 113.9359
1.280000 72.215 113.8187
1.315000 71.496 113.0129
1.320000 71.389 112.8204
1.340000 70.950 111.8115
1.360000 70.491 110.3662
1.380000 70.013 108.4124
1.400000 69.512 105.8775
1.430000 68.718 100.8275
1.450000 68.157 96.5236
1.475000 67.407 89.9139
1.500000 66.509 81.5152
1.525000 65.468 71.4727
1.550000 64.317 60.0585
1.575000 63.087 47.5448
1.600000 61.812 34.2041
1.625000 60.524 20.3085
1.650000 59.255 6.1302
1.675000 58.038 -8.0585
1.700000 56.904 -21.9854
1.725000 55.887 -35.3781
1.750000 55.019 -47.9645
1.775000 54.332 -59.4724
1.800000 53.859 -69.6294
1.825000 53.631 -78.1633
1.850000 53.684 -85.0555
1.875000 54.018 -90.8349
1.900000 54.596 -95.6349
1.925000 55.381 -99.5666
1.950000 56.337 -102.7413
1.975000 57.425 -105.2701
2.000000 58.609 -107.2644
2.030000 60.102 -109.1083
2.060000 61.616 -110.5347
2.090000 63.084 -111.7357
2.120000 64.443 -112.9035
2.140000 65.256 -113.7584
2.180000 66.576 -115.9080
2.200000 67.044 -117.3129
2.240000 67.748 -120.1267
2.270000 68.144 -122.0234
2.300000 68.442 -123.7591
2.330000 68.653 -125.3538
2.360000 68.792 -126.8276
2.400000 68.886 -128.6391
2.430000 68.904 -129.9084
2.470000 68.884 -131.5200
2.500000 68.853 -132.6939
2.540000 68.813 -134.2508
2.580000 68.794 -135.8460
2.620000 68.741 -137.5260
2.650000 68.670 -138.8100
2.690000 68.534 -140.4984
2.720000 68.403 -141.7090
2.760000 68.191 -143.1931
2.800000 67.938 -144.4651
2.850000 67.567 -145.6511
2.900000 67.140 -146.2615
2.950000 66.646 -146.2106
3.000000 65.980 -145.8178
3.040000 65.347 -145.2591
3.070000 64.837 -144.6605
3.110000 64.142 -143.5780
3.150000 63.463 -142.1188
3.200000 62.692 -139.6795
3.250000 62.075 -136.4540
3.300000 61.685 -132.3282
3.350000 61.503 -126.5957
3.400000 61.467 -119.2530
3.450000 61.555 -110.9485
3.500000 61.746 -102.3309
3.550000 62.019 -94.0484
3.600000 62.351 -86.7494
3.650000 62.721 -81.0825
3.700000 63.154 -77.3433
3.750000 63.726 -74.8846
3.820000 64.678 -73.0966
3.870000 65.402 -72.6791
3.950000 66.504 -72.8444
4.000000 67.084 -73.0991
4.060000 67.613 -73.3378
4.120000 68.037 -74.1279
4.180000 68.382 -75.4119
4.250000 68.697 -77.2813
4.310000 68.905 -78.9854
4.370000 69.066 -80.5836
4.440000 69.199 -82.2291
4.500000 69.245 -83.7356
4.550000 69.242 -85.0220
4.620000 69.181 -86.7721
4.680000 69.086 -88.1338
4.750000 68.937 -89.4428
4.820000 68.737 -90.4799
4.870000 68.547 -91.1537
4.940000 68.238 -91.9206
5.000000 67.950 -92.3367
5.080000 67.562 -92.4157
5.150000 67.242 -91.9154
5.220000 66.888 -90.8183
5.300000 66.460 -88.9913
5.380000 66.067 -86.7658
5.450000 65.798 -84.6661
5.520000 65.639 -82.5243
5.600000 65.572 -79.5844
5.700000 65.615 -75.5597
5.800000 65.755 -71.9576
5.900000 65.958 -69.5600
6.000000 66.283 -68.1254
6.080000 66.593 -67.5067
6.150000 66.857 -67.3050
6.220000 67.082 -67.3825
6.300000 67.292 -67.9017
6.400000 67.526 -69.2330
6.500000 67.716 -71.0036
6.600000 67.843 -72.8729
6.700000 67.900 -74.9212
6.800000 67.897 -77.2008
6.900000 67.852 -79.4879
7.000000 67.777 -81.5958
7.100000 67.651 -83.6513
7.200000 67.495 -85.6130
7.300000 67.338 -87.3762
7.400000 67.190 -88.8653
7.500000 67.031 -90.1270
7.620000 66.864 -91.4192
7.750000 66.757 -92.6086
7.880000 66.714 -93.4826
8.000000 66.731 -94.2273
8.120000 66.810 -95.1189
8.250000 66.972 -96.1479
8.380000 67.177 -97.3095
8.500000 67.382 -98.5910
8.620000 67.616 -100.0608
8.750000 67.876 -101.7392
8.850000 68.064 -103.0359
9.000000 68.341 -105.0710
9.120000 68.553 -106.6415
9.250000 68.769 -108.1822
9.380000 68.973 -109.6111
9.500000 69.157 -110.7907
9.620000 69.341 -111.7994
9.750000 69.537 -112.7233
9.880000 69.737 -113.5306
10.000000 69.928 -114.1779
10.150000 70.171 -114.8565
10.300000 70.411 -115.4969
10.440000 70.637 -116.0627
10.600000 70.884 -116.6703
10.750000 71.097 -117.2272
10.900000 71.294 -117.7514
11.060000 71.481 -118.2183
11.200000 71.624 -118.5570
11.380000 71.791 -118.8572
11.500000 71.892 -118.9529
11.720000 72.064 -118.9741
11.800000 72.127 -118.9390
12.060000 72.330 -118.7045
12.200000 72.442 -118.5909
12.410000 72.609 -118.4434
12.500000 72.676 -118.4213
12.650000 72.786 -118.4352
12.800000 72.885 -118.4978
13.150000 73.063 -118.8168
13.200000 73.083 -118.8667
13.400000 73.146 -119.0747
13.600000 73.196 -119.2714
13.800000 73.236 -119.4375
14.000000 73.276 -119.6252
14.300000 73.338 -119.9856
14.500000 73.382 -120.3508
14.750000 73.431 -120.9626
15.000000 73.470 -121.7436
15.250000 73.493 -122.6277
15.500000 73.507 -123.5396
15.750000 73.517 -124.4414
16.000000 73.537 -125.3005
16.250000 73.575 -126.1545
16.500000 73.633 -127.0264
16.750000 73.711 -127.9557
17.000000 73.801 -128.9380
17.250000 73.898 -129.9511
17.500000 73.998 -130.9611
17.750000 74.102 -131.9214
18.000000 74.211 -132.8226
18.250000 74.325 -133.6559
18.500000 74.444 -134.4366
18.750000 74.565 -135.1694
19.000000 74.684 -135.8583
19.250000 74.797 -136.4919
19.500000 74.905 -137.0626
19.750000 75.008 -137.5666
20.000000 75.107 -138.0137
20.299999 75.219 -138.5088
20.600000 75.323 -138.9886
20.900000 75.414 -139.4720
21.200001 75.485 -139.9480
21.400000 75.522 -140.2415
21.799999 75.578 -140.7537
22.000000 75.603 -140.9780
22.400000 75.653 -141.4159
22.700001 75.694 -141.8038
23.000000 75.732 -142.2897
23.299999 75.761 -142.8636
23.600000 75.780 -143.4871
24.000000 75.794 -144.3279
24.299999 75.805 -144.9371
24.700001 75.830 -145.7387
25.000000 75.860 -146.3621
25.400000 75.910 -147.2411
25.799999 75.967 -148.1444
26.200001 76.032 -149.0279
26.500000 76.088 -149.6768
26.900000 76.171 -150.5524
27.200001 76.232 -151.2307
27.600000 76.302 -152.1365
28.000000 76.351 -152.9461
28.500000 76.398 -153.6744
29.000000 76.463 -154.1273
29.500000 76.562 -154.5877
30.000000 76.661 -155.3092
30.400000 76.709 -156.0322
30.700001 76.721 -156.5614
31.100000 76.718 -157.1308
31.500000 76.719 -157.5341
32.000000 76.754 -158.0025
32.500000 76.816 -158.7293
33.000000 76.857 -159.7642
33.500000 76.852 -160.8412
34.000000 76.823 -161.6694
34.500000 76.817 -162.2310
35.000000 76.852 -162.7321
35.500000 76.915 -163.3648
36.000000 76.979 -164.1544
36.500000 77.028 -165.0327
37.000000 77.054 -165.9129
37.500000 77.057 -166.7000
38.200001 77.045 -167.4832
38.700001 77.057 -167.8530
39.500000 77.126 -168.6070
40.000000 77.162 -169.3133
40.599998 77.167 -170.1678
41.200001 77.167 -170.7651
41.799999 77.209 -171.3029
42.500000 77.275 -172.3332
43.099998 77.271 -173.3613
43.700001 77.233 -174.0072
44.400002 77.243 -174.4165
45.000000 77.287 -175.0159
45.500000 77.293 -175.6598
46.200001 77.266 -176.3084
46.799999 77.273 -176.6692
47.500000 77.305 -177.3825
48.200001 77.287 -178.2540
48.700001 77.256 -178.6954
49.400002 77.246 -179.1190
50.000000 77.269 -179.5871
50.799999 77.299 179.5325
51.500000 77.299 178.6940
52.200001 77.284 177.9609
53.000000 77.278 177.2442
53.799999 77.277 176.4510
54.500000 77.257 175.7609
55.200001 77.236 175.2268
56.000000 77.241 174.6257
57.000000 77.238 173.5908
58.000000 77.188 172.7963
59.000000 77.201 172.2715
60.000000 77.230 171.2708
60.799999 77.203 170.4836
61.500000 77.177 169.9414
62.200001 77.151 169.4236
63.000000 77.120 168.9343
64.000000 77.113 168.3131
65.000000 77.093 167.4657
66.000000 77.055 166.7599
67.000000 77.037 166.0787
68.000000 77.012 165.3482
69.000000 76.990 164.7247
70.000000 76.987 163.9852
71.000000 76.942 163.1442
72.000000 76.898 162.6740
73.000000 76.894 162.0138
74.000000 76.843 161.3294
75.000000 76.827 160.9151
76.199997 76.813 159.9759
77.500000 76.746 159.1699
78.800003 76.691 158.4150
80.000000 76.648 157.8782
81.199997 76.628 157.1756
82.500000 76.575 156.4348
83.800003 76.538 155.8331
85.000000 76.497 155.1525
86.199997 76.437 154.6585
87.500000 76.404 154.0939
88.500000 76.368 153.6154
90.000000 76.320 152.8818
91.199997 76.266 152.3749
92.500000 76.229 151.8949
93.800003 76.192 151.3604
95.000000 76.157 150.7868
96.199997 76.099 150.3509
97.500000 76.084 149.8842
98.800003 76.045 149.4697
100.000000 76.074 148.9233
101.500000 75.998 148.0220
103.000000 75.944 147.4593
104.400002 75.879 147.0049
106.000000 75.847 146.3865
107.500000 75.780 145.6901
109.000000 75.748 145.1254
110.599998 75.674 144.5923
112.000000 75.654 144.0256
113.800003 75.585 143.5769
115.000000 75.570 142.9787
117.199997 75.475 142.3739
118.000000 75.461 142.0396
120.599998 75.380 141.2479
122.000000 75.331 140.7921
124.099998 75.293 140.2244
125.000000 75.262 139.9226
126.500000 75.234 139.5178
128.000000 75.198 138.9941
131.500000 75.140 138.0661
132.000000 75.126 137.8764
134.000000 75.076 137.3038
136.000000 75.015 136.7098
138.000000 74.957 135.9581
140.000000 74.925 135.3407
143.000000 74.841 134.4283
145.000000 74.786 133.7478
147.500000 74.706 133.0335
150.000000 74.649 132.4019
152.500000 74.568 131.6741
155.000000 74.487 131.0374
157.500000 74.421 130.3051
160.000000 74.338 129.7159
162.500000 74.269 129.0575
165.000000 74.201 128.4772
167.500000 74.141 127.9708
170.000000 74.072 127.3567
172.500000 73.984 126.8632
175.000000 73.923 126.2849
177.500000 73.865 125.7425
180.000000 73.794 125.2642
182.500000 73.729 124.7927
185.000000 73.650 124.3852
187.500000 73.601 123.9131
190.000000 73.529 123.5231
192.500000 73.472 123.0166
195.000000 73.411 122.5343
197.500000 73.345 122.0869
200.000000 73.277 121.6083
203.000000 73.213 121.1371
206.000000 73.138 120.7457
209.000000 73.090 120.1601
212.000000 73.032 119.7332
214.000000 72.992 119.4607
218.000000 72.913 118.9013
220.000000 72.858 118.5412
224.000000 72.770 118.0236
227.000000 72.707 117.6071
230.000000 72.663 117.2377
233.000000 72.597 116.7904
236.000000 72.524 116.4121
240.000000 72.452 116.0054
243.000000 72.406 115.6321
247.000000 72.340 115.1999
250.000000 72.317 114.9632
254.000000 72.208 114.4955
258.000000 72.182 113.9756
262.000000 72.114 113.6461
265.000000 72.056 113.3543
269.000000 71.971 112.8290
272.000000 71.959 112.5237
276.000000 71.902 112.2132
280.000000 71.849 111.7173
285.000000 71.782 111.3378
290.000000 71.700 110.9742
295.000000 71.677 110.4869
300.000000 71.631 110.1902
304.000000 71.559 109.7199
307.000000 71.516 109.5062
311.000000 71.476 109.2421
315.000000 71.437 108.8588
320.000000 71.399 108.4953
