* Measurement data measured by REW V5.20.13
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), R, volume: 0,000
* Format: 256k Log Swept Sine, 1 sweep at -12,0 dBFS with no timing reference
* Dated: 13:09:45 04-01-2024
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Hi-fri Barcelona v2 purple R
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 84.776 119.8934
1.015000 84.603 118.9715
1.030000 84.423 118.0460
1.044000 84.250 117.1788
1.060000 84.044 116.1835
1.075000 83.844 115.2459
1.090000 83.635 114.3037
1.106000 83.407 113.3149
1.120000 83.214 112.5796
1.138000 82.978 111.8191
1.150000 82.826 111.4103
1.172000 82.554 110.8222
1.180000 82.456 110.6490
1.206000 82.137 110.1819
1.220000 81.962 109.9614
1.241000 81.689 109.6221
1.250000 81.568 109.4606
1.265000 81.357 109.1520
1.280000 81.135 108.7750
1.315000 80.557 107.5043
1.320000 80.467 107.2661
1.340000 80.082 106.1381
1.360000 79.657 104.6909
1.380000 79.187 102.8717
1.400000 78.665 100.6279
1.430000 77.777 96.3507
1.450000 77.106 92.8147
1.475000 76.155 87.5126
1.500000 74.953 81.0477
1.525000 73.512 73.5218
1.550000 71.883 65.0931
1.575000 70.117 55.9201
1.600000 68.261 46.1615
1.625000 66.368 35.9755
1.650000 64.487 25.5206
1.675000 62.667 14.9554
1.700000 60.959 4.4382
1.725000 59.412 -5.8724
1.750000 58.078 -15.8180
1.775000 57.005 -25.2401
1.800000 56.243 -33.9803
1.825000 55.844 -41.8802
1.850000 55.850 -49.0138
1.875000 56.249 -55.8587
1.900000 56.988 -62.4377
1.925000 58.017 -68.7517
1.950000 59.283 -74.8014
1.975000 60.735 -80.5875
2.000000 62.322 -86.1107
2.030000 64.331 -92.3927
2.060000 66.370 -98.2986
2.090000 68.351 -103.8297
2.120000 70.185 -108.9871
2.140000 71.281 -112.2186
2.180000 73.053 -118.1866
2.200000 73.676 -120.9226
2.240000 74.603 -125.5965
2.270000 75.117 -128.3968
2.300000 75.496 -130.6853
2.330000 75.760 -132.5458
2.360000 75.926 -134.0618
2.400000 76.030 -135.6918
2.430000 76.043 -136.7291
2.470000 76.010 -138.0242
2.500000 75.973 -139.0379
2.540000 75.941 -140.6050
2.580000 75.959 -142.5566
2.620000 75.952 -144.6344
2.650000 75.917 -146.2015
2.690000 75.828 -148.2682
2.720000 75.730 -149.7778
2.760000 75.556 -151.7020
2.800000 75.332 -153.4858
2.850000 74.979 -155.4526
2.900000 74.544 -157.0491
2.950000 74.012 -158.2921
3.000000 73.302 -159.8868
3.040000 72.627 -161.2928
3.070000 72.079 -162.2768
3.110000 71.318 -163.3159
3.150000 70.552 -163.8386
3.200000 69.635 -163.4258
3.250000 68.821 -161.4218
3.300000 68.172 -157.3861
3.350000 67.604 -150.3592
3.400000 67.057 -140.5714
3.450000 66.566 -129.0508
3.500000 66.171 -116.8258
3.550000 65.908 -104.9247
3.600000 65.815 -94.3758
3.650000 65.929 -86.2073
3.700000 66.320 -80.8420
3.750000 67.036 -77.1815
3.820000 68.402 -74.2636
3.870000 69.504 -73.3447
3.950000 71.209 -73.0566
4.000000 72.085 -73.1440
4.060000 72.825 -73.2481
4.120000 73.386 -74.1841
4.180000 73.821 -75.8510
4.250000 74.200 -78.3482
4.310000 74.442 -80.6442
4.370000 74.632 -82.7903
4.440000 74.797 -84.9626
4.500000 74.859 -86.9300
4.550000 74.857 -88.6110
4.620000 74.783 -90.9214
4.680000 74.662 -92.7634
4.750000 74.466 -94.6231
4.820000 74.202 -96.2417
4.870000 73.958 -97.3781
4.940000 73.556 -98.7960
5.000000 73.173 -99.7161
5.080000 72.636 -100.2939
5.150000 72.159 -99.9895
5.220000 71.598 -98.9411
5.300000 70.896 -97.0011
5.380000 70.229 -94.4373
5.450000 69.757 -91.8198
5.520000 69.453 -88.8956
5.600000 69.274 -84.5167
5.700000 69.234 -78.2634
5.800000 69.343 -72.6076
5.900000 69.561 -68.9631
6.000000 69.985 -66.9178
6.080000 70.401 -66.1126
6.150000 70.752 -65.9102
6.220000 71.031 -66.0911
6.300000 71.264 -66.8969
6.400000 71.497 -68.8942
6.500000 71.652 -71.5170
6.600000 71.713 -74.2579
6.700000 71.667 -77.2234
6.800000 71.529 -80.5009
6.900000 71.319 -83.7838
7.000000 71.052 -86.8243
7.100000 70.699 -89.8385
7.200000 70.291 -92.7012
7.300000 69.874 -95.1792
7.400000 69.453 -97.1284
7.500000 68.995 -98.6657
7.620000 68.491 -100.0227
7.750000 68.113 -100.8730
7.880000 67.870 -100.8558
8.000000 67.781 -100.7134
8.120000 67.859 -101.0322
8.250000 68.147 -101.6030
8.380000 68.535 -102.6165
8.500000 68.914 -104.2195
8.620000 69.353 -106.4227
8.750000 69.828 -109.1219
8.850000 70.149 -111.2539
9.000000 70.596 -114.7651
9.120000 70.912 -117.5099
9.250000 71.198 -120.1767
9.380000 71.429 -122.6606
9.500000 71.615 -124.6283
9.620000 71.775 -126.1787
9.750000 71.917 -127.4630
9.880000 72.057 -128.3754
10.000000 72.197 -128.8485
10.150000 72.375 -129.0007
10.300000 72.581 -128.9600
10.440000 72.803 -128.7070
10.600000 73.072 -128.3398
10.750000 73.333 -128.0916
10.900000 73.600 -127.8742
11.060000 73.862 -127.7224
11.200000 74.075 -127.6657
11.380000 74.320 -127.5992
11.500000 74.460 -127.5451
11.720000 74.684 -127.4127
11.800000 74.756 -127.3370
12.060000 74.959 -127.0310
12.200000 75.055 -126.8614
12.410000 75.180 -126.6103
12.500000 75.225 -126.5268
12.650000 75.291 -126.4176
12.800000 75.342 -126.3326
13.150000 75.397 -126.2120
13.200000 75.399 -126.1908
13.400000 75.392 -126.0872
13.600000 75.377 -125.9656
13.800000 75.360 -125.8118
14.000000 75.352 -125.7415
14.300000 75.361 -125.8684
14.500000 75.375 -126.2375
14.750000 75.383 -127.0217
15.000000 75.371 -128.1447
15.250000 75.326 -129.4608
15.500000 75.262 -130.8109
15.750000 75.191 -132.1110
16.000000 75.140 -133.2792
16.250000 75.127 -134.3855
16.500000 75.159 -135.4828
16.750000 75.236 -136.6669
17.000000 75.339 -137.9609
17.250000 75.459 -139.3310
17.500000 75.581 -140.7210
17.750000 75.700 -142.0168
18.000000 75.817 -143.1742
18.250000 75.934 -144.1468
18.500000 76.055 -144.9360
18.750000 76.181 -145.5648
19.000000 76.311 -146.0550
19.250000 76.443 -146.4448
19.500000 76.574 -146.7620
19.750000 76.703 -147.0313
20.000000 76.825 -147.2931
20.299999 76.954 -147.6248
20.600000 77.055 -147.9800
20.900000 77.122 -148.3294
21.200001 77.153 -148.6066
21.400000 77.160 -148.7187
21.799999 77.165 -148.7985
22.000000 77.170 -148.8145
22.400000 77.198 -148.9720
22.700001 77.223 -149.3304
23.000000 77.233 -149.9306
23.299999 77.214 -150.6784
23.600000 77.170 -151.4505
24.000000 77.094 -152.3529
24.299999 77.051 -152.9037
24.700001 77.040 -153.5808
25.000000 77.069 -154.1646
25.400000 77.142 -155.1354
25.799999 77.231 -156.2917
26.200001 77.322 -157.5298
26.500000 77.388 -158.4619
26.900000 77.468 -159.6672
27.200001 77.515 -160.5028
27.600000 77.559 -161.4470
28.000000 77.589 -162.1113
28.500000 77.631 -162.5540
29.000000 77.700 -162.7961
29.500000 77.784 -163.0984
30.000000 77.856 -163.5692
30.400000 77.893 -164.0568
30.700001 77.907 -164.4771
31.100000 77.906 -165.0904
31.500000 77.884 -165.7222
32.000000 77.836 -166.4485
32.500000 77.792 -167.0605
33.000000 77.777 -167.6455
33.500000 77.794 -168.3449
34.000000 77.827 -169.2296
34.500000 77.852 -170.2375
35.000000 77.859 -171.2138
35.500000 77.854 -171.9801
36.000000 77.865 -172.4834
36.500000 77.909 -172.8635
37.000000 77.976 -173.3351
37.500000 78.035 -173.9603
38.200001 78.074 -174.8842
38.700001 78.079 -175.4637
39.500000 78.073 -176.3242
40.000000 78.061 -176.8363
40.599998 78.047 -177.4124
41.200001 78.043 -178.0347
41.799999 78.036 -178.7457
42.500000 78.016 -179.5335
43.099998 78.010 179.9058
43.700001 78.024 179.3254
44.400002 78.042 178.5150
45.000000 78.039 177.8045
45.500000 78.029 177.2991
46.200001 78.027 176.6901
46.799999 78.037 176.1046
47.500000 78.035 175.2980
48.200001 78.009 174.5598
48.700001 77.991 174.1288
49.400002 77.980 173.5674
50.000000 77.975 173.0943
50.799999 77.980 172.4980
51.500000 77.997 171.8755
52.200001 77.991 171.1325
53.000000 77.950 170.4144
53.799999 77.918 169.8831
54.500000 77.903 169.3419
55.200001 77.877 168.7196
56.000000 77.837 168.0875
57.000000 77.812 167.3275
58.000000 77.789 166.4832
59.000000 77.765 165.7410
60.000000 77.752 165.0536
60.799999 77.742 164.4855
61.500000 77.725 163.9619
62.200001 77.700 163.4507
63.000000 77.666 162.8847
64.000000 77.618 162.2143
65.000000 77.585 161.5955
66.000000 77.558 160.9040
67.000000 77.533 160.2885
68.000000 77.518 159.6230
69.000000 77.483 158.9784
70.000000 77.451 158.4227
71.000000 77.418 157.7923
72.000000 77.371 157.1476
73.000000 77.320 156.5660
74.000000 77.280 156.0451
75.000000 77.252 155.4911
76.199997 77.216 154.7888
77.500000 77.162 154.0624
78.800003 77.107 153.4679
80.000000 77.055 152.8830
81.199997 77.011 152.4314
82.500000 76.978 151.7491
83.800003 76.922 151.1636
85.000000 76.883 150.6495
86.199997 76.840 150.1307
87.500000 76.797 149.5278
88.500000 76.753 149.0738
90.000000 76.703 148.5269
91.199997 76.675 148.0605
92.500000 76.641 147.5500
93.800003 76.605 146.9983
95.000000 76.558 146.5003
96.199997 76.522 146.0317
97.500000 76.484 145.4517
98.800003 76.445 144.8836
100.000000 76.408 144.4384
101.500000 76.369 143.8790
103.000000 76.324 143.3379
104.400002 76.277 142.8311
106.000000 76.232 142.2086
107.500000 76.186 141.6401
109.000000 76.137 141.0672
110.599998 76.088 140.4475
112.000000 76.039 139.9706
113.800003 75.986 139.2954
115.000000 75.943 138.8132
117.199997 75.874 138.1717
118.000000 75.840 137.8814
120.599998 75.749 137.0850
122.000000 75.710 136.6485
124.099998 75.638 135.9965
125.000000 75.611 135.7113
126.500000 75.564 135.3402
128.000000 75.527 134.8985
131.500000 75.424 133.9248
132.000000 75.407 133.7993
134.000000 75.362 133.2196
136.000000 75.313 132.6142
138.000000 75.269 132.1263
140.000000 75.219 131.4706
143.000000 75.139 130.5580
145.000000 75.072 130.0187
147.500000 75.006 129.1387
150.000000 74.930 128.4692
152.500000 74.846 127.9097
155.000000 74.770 127.2346
157.500000 74.682 126.5958
160.000000 74.604 126.0159
162.500000 74.533 125.4404
165.000000 74.449 124.9802
167.500000 74.376 124.4532
170.000000 74.282 123.8519
172.500000 74.219 123.3278
175.000000 74.155 122.8214
177.500000 74.076 122.3926
180.000000 74.006 122.0466
182.500000 73.945 121.5482
185.000000 73.868 121.0432
187.500000 73.807 120.6290
190.000000 73.740 120.2554
192.500000 73.688 119.7961
195.000000 73.623 119.4602
197.500000 73.561 119.0861
200.000000 73.511 118.6280
203.000000 73.427 118.2447
206.000000 73.375 117.6917
209.000000 73.306 117.2889
212.000000 73.231 116.9709
214.000000 73.187 116.6028
218.000000 73.111 116.1524
220.000000 73.059 115.8391
224.000000 72.973 115.2533
227.000000 72.915 114.9642
230.000000 72.857 114.6193
233.000000 72.802 114.2572
236.000000 72.760 113.9725
240.000000 72.688 113.4512
243.000000 72.639 113.1732
247.000000 72.574 112.7263
250.000000 72.501 112.4139
254.000000 72.465 111.9437
258.000000 72.400 111.6367
262.000000 72.327 111.1760
265.000000 72.303 110.7510
269.000000 72.242 110.5185
272.000000 72.202 110.2171
276.000000 72.138 109.9222
280.000000 72.085 109.4626
285.000000 72.048 109.0966
290.000000 71.967 108.5797
295.000000 71.913 108.2740
300.000000 71.873 107.8846
304.000000 71.812 107.6129
307.000000 71.778 107.3269
311.000000 71.707 107.1873
315.000000 71.704 106.8021
320.000000 71.680 106.5389
