* Measurement data measured by REW V5.20.13
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0,250
* Format: 256k Log Swept Sine, 1 sweep at -12,0 dBFS with no timing reference
* Dated: 23:44:53 05-02-2024
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Hidizs MP145 Red L
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 75.677 124.2730
1.015000 75.478 123.3092
1.030000 75.272 122.3193
1.044000 75.070 121.3700
1.060000 74.829 120.2528
1.075000 74.593 119.1717
1.090000 74.347 118.0560
1.106000 74.070 116.8445
1.120000 73.807 115.8695
1.138000 73.442 114.7411
1.150000 73.182 114.0531
1.172000 72.678 112.8910
1.180000 72.487 112.4914
1.206000 71.841 111.2337
1.220000 71.481 110.5586
1.241000 70.928 109.5095
1.250000 70.688 109.0359
1.265000 70.286 108.2004
1.280000 69.883 107.2918
1.315000 68.951 104.7865
1.320000 68.820 104.3749
1.340000 68.303 102.5678
1.360000 67.804 100.4718
1.380000 67.327 98.0447
1.400000 66.878 95.2440
1.430000 66.266 90.2500
1.450000 65.907 86.3303
1.475000 65.517 80.6525
1.500000 65.152 73.7715
1.525000 64.802 65.7751
1.550000 64.472 56.8516
1.575000 64.165 47.1895
1.600000 63.885 36.9770
1.625000 63.634 26.4027
1.650000 63.416 15.6547
1.675000 63.235 4.9216
1.700000 63.093 -5.6085
1.725000 62.995 -15.7471
1.750000 62.943 -25.3057
1.775000 62.942 -34.0962
1.800000 62.993 -41.9301
1.825000 63.102 -48.6191
1.850000 63.283 -54.1554
1.875000 63.565 -58.9155
1.900000 63.934 -62.9882
1.925000 64.377 -66.4466
1.950000 64.879 -69.3637
1.975000 65.428 -71.8125
2.000000 66.009 -73.8660
2.030000 66.730 -75.9111
2.060000 67.454 -77.6183
2.090000 68.156 -79.1138
2.120000 68.814 -80.5236
2.140000 69.216 -81.4782
2.180000 69.901 -83.5910
2.200000 70.170 -84.8215
2.240000 70.614 -87.1757
2.270000 70.891 -88.7050
2.300000 71.127 -90.0536
2.330000 71.327 -91.2416
2.360000 71.495 -92.2887
2.400000 71.681 -93.5002
2.430000 71.797 -94.2961
2.470000 71.932 -95.2449
2.500000 72.025 -95.8978
2.540000 72.149 -96.7281
2.580000 72.278 -97.5411
2.620000 72.379 -98.2451
2.650000 72.433 -98.6878
2.690000 72.484 -99.1695
2.720000 72.509 -99.4527
2.760000 72.529 -99.7314
2.800000 72.542 -99.9028
2.850000 72.556 -99.9759
2.900000 72.580 -99.9037
2.950000 72.624 -99.6847
3.000000 72.662 -99.2223
3.040000 72.686 -98.6934
3.070000 72.703 -98.2239
3.110000 72.727 -97.5248
3.150000 72.756 -96.7699
3.200000 72.805 -95.7938
3.250000 72.874 -94.8367
3.300000 72.970 -93.9566
3.350000 73.094 -93.0609
3.400000 73.242 -92.0893
3.450000 73.408 -91.0888
3.500000 73.587 -90.1066
3.550000 73.775 -89.1898
3.600000 73.967 -88.3856
3.650000 74.158 -87.7409
3.700000 74.351 -87.2732
3.750000 74.557 -86.9285
3.820000 74.859 -86.6287
3.870000 75.077 -86.5311
3.950000 75.414 -86.5483
4.000000 75.609 -86.6512
4.060000 75.821 -86.8672
4.120000 76.022 -87.2437
4.180000 76.211 -87.7532
4.250000 76.415 -88.4609
4.310000 76.574 -89.1171
4.370000 76.717 -89.7757
4.440000 76.859 -90.5337
4.500000 76.961 -91.2451
4.550000 77.033 -91.8667
4.620000 77.117 -92.7475
4.680000 77.177 -93.4815
4.750000 77.236 -94.2730
4.820000 77.280 -94.9920
4.870000 77.298 -95.4883
4.940000 77.312 -96.1493
5.000000 77.315 -96.6748
5.080000 77.317 -97.3005
5.150000 77.321 -97.7622
5.220000 77.319 -98.1340
5.300000 77.310 -98.4698
5.380000 77.302 -98.7399
5.450000 77.303 -98.9464
5.520000 77.315 -99.1398
5.600000 77.337 -99.2929
5.700000 77.376 -99.4228
5.800000 77.428 -99.5733
5.900000 77.495 -99.8262
6.000000 77.580 -100.1332
6.080000 77.658 -100.4222
6.150000 77.728 -100.7219
6.220000 77.796 -101.0776
6.300000 77.874 -101.5637
6.400000 77.975 -102.2731
6.500000 78.074 -103.0618
6.600000 78.163 -103.8939
6.700000 78.242 -104.7933
6.800000 78.313 -105.7542
6.900000 78.377 -106.7221
7.000000 78.433 -107.6513
7.100000 78.479 -108.5746
7.200000 78.518 -109.4792
7.300000 78.557 -110.3363
7.400000 78.598 -111.1260
7.500000 78.635 -111.8619
7.620000 78.684 -112.6899
7.750000 78.751 -113.5309
7.880000 78.828 -114.2943
8.000000 78.909 -114.9746
8.120000 79.001 -115.6724
8.250000 79.114 -116.4252
8.380000 79.233 -117.1980
8.500000 79.346 -117.9543
8.620000 79.462 -118.7456
8.750000 79.587 -119.6219
8.850000 79.678 -120.3027
9.000000 79.810 -121.3505
9.120000 79.910 -122.1745
9.250000 80.011 -123.0274
9.380000 80.104 -123.8535
9.500000 80.187 -124.5716
9.620000 80.267 -125.2329
9.750000 80.349 -125.8951
9.880000 80.431 -126.5093
10.000000 80.507 -127.0303
10.150000 80.603 -127.6252
10.300000 80.700 -128.1936
10.440000 80.792 -128.6967
10.600000 80.897 -129.2555
10.750000 80.993 -129.7819
10.900000 81.087 -130.3031
11.060000 81.180 -130.8532
11.200000 81.256 -131.3315
11.380000 81.346 -131.9255
11.500000 81.401 -132.3053
11.720000 81.492 -132.9681
11.800000 81.524 -133.1956
12.060000 81.617 -133.8944
12.200000 81.665 -134.2553
12.410000 81.733 -134.7809
12.500000 81.761 -135.0092
12.650000 81.806 -135.3909
12.800000 81.848 -135.7783
13.150000 81.933 -136.7170
13.200000 81.943 -136.8528
13.400000 81.981 -137.4013
13.600000 82.014 -137.9487
13.800000 82.043 -138.4908
14.000000 82.071 -139.0320
14.300000 82.111 -139.8486
14.500000 82.138 -140.4102
14.750000 82.173 -141.1416
15.000000 82.207 -141.9082
15.250000 82.239 -142.7022
15.500000 82.268 -143.5037
15.750000 82.296 -144.3005
16.000000 82.325 -145.0763
16.250000 82.357 -145.8316
16.500000 82.393 -146.5696
16.750000 82.434 -147.2984
17.000000 82.478 -148.0233
17.250000 82.524 -148.7424
17.500000 82.570 -149.4518
17.750000 82.615 -150.1391
18.000000 82.659 -150.7989
18.250000 82.702 -151.4256
18.500000 82.744 -152.0190
18.750000 82.785 -152.5813
19.000000 82.825 -153.1149
19.250000 82.862 -153.6224
19.500000 82.898 -154.1048
19.750000 82.930 -154.5635
20.000000 82.961 -155.0016
20.299999 82.994 -155.5078
20.600000 83.024 -156.0010
20.900000 83.049 -156.4893
21.200001 83.070 -156.9763
21.400000 83.081 -157.2993
21.799999 83.097 -157.9403
22.000000 83.102 -158.2592
22.400000 83.111 -158.9005
22.700001 83.116 -159.3932
23.000000 83.120 -159.9011
23.299999 83.122 -160.4215
23.600000 83.122 -160.9479
24.000000 83.123 -161.6494
24.299999 83.125 -162.1724
24.700001 83.131 -162.8696
25.000000 83.138 -163.3954
25.400000 83.149 -164.0974
25.799999 83.161 -164.7870
26.200001 83.175 -165.4508
26.500000 83.186 -165.9298
26.900000 83.203 -166.5465
27.200001 83.215 -166.9943
27.600000 83.229 -167.5690
28.000000 83.241 -168.1123
28.500000 83.253 -168.7475
29.000000 83.262 -169.3497
29.500000 83.265 -169.9314
30.000000 83.263 -170.4917
30.400000 83.259 -170.9275
30.700001 83.256 -171.2540
31.100000 83.251 -171.7003
31.500000 83.243 -172.1626
32.000000 83.231 -172.7504
32.500000 83.216 -173.3281
33.000000 83.203 -173.8932
33.500000 83.193 -174.4613
34.000000 83.185 -175.0383
34.500000 83.176 -175.6073
35.000000 83.167 -176.1483
35.500000 83.161 -176.6611
36.000000 83.157 -177.1652
36.500000 83.153 -177.6764
37.000000 83.144 -178.1855
37.500000 83.129 -178.6649
38.200001 83.106 -179.2641
38.700001 83.091 -179.6711
39.500000 83.067 179.6509
40.000000 83.047 179.2316
40.599998 83.025 178.7527
41.200001 83.005 178.2645
41.799999 82.984 177.7489
42.500000 82.952 177.1749
43.099998 82.926 176.7372
43.700001 82.906 176.3036
44.400002 82.882 175.7828
45.000000 82.860 175.3545
45.500000 82.844 175.0011
46.200001 82.821 174.4793
46.799999 82.797 174.0423
47.500000 82.772 173.5728
48.200001 82.752 173.0579
48.700001 82.731 172.6765
49.400002 82.698 172.2538
50.000000 82.690 171.9337
50.799999 82.684 171.2702
51.500000 82.634 170.6445
52.200001 82.569 170.3305
53.000000 82.537 170.0986
53.799999 82.512 169.6501
54.500000 82.469 169.2746
55.200001 82.432 168.9645
56.000000 82.395 168.5523
57.000000 82.344 168.0413
58.000000 82.303 167.5084
59.000000 82.255 166.9734
60.000000 82.212 166.4930
60.799999 82.177 166.1036
61.500000 82.142 165.7884
62.200001 82.108 165.5027
63.000000 82.070 165.1860
64.000000 82.023 164.7673
65.000000 81.973 164.3421
66.000000 81.921 163.9147
67.000000 81.868 163.5206
68.000000 81.820 163.1491
69.000000 81.771 162.7779
70.000000 81.725 162.4399
71.000000 81.678 162.0817
72.000000 81.626 161.7466
73.000000 81.576 161.4071
74.000000 81.522 161.0860
75.000000 81.473 160.7927
76.199997 81.414 160.4023
77.500000 81.349 160.0423
78.800003 81.287 159.6548
80.000000 81.224 159.3298
81.199997 81.166 159.0338
82.500000 81.099 158.6986
83.800003 81.036 158.4011
85.000000 80.978 158.0944
86.199997 80.918 157.8175
87.500000 80.855 157.5405
88.500000 80.812 157.3304
90.000000 80.745 156.9636
91.199997 80.679 156.7075
92.500000 80.619 156.5226
93.800003 80.557 156.2383
95.000000 80.495 156.0825
96.199997 80.448 155.8782
97.500000 80.388 155.6074
98.800003 80.321 155.4183
100.000000 80.274 155.2554
101.500000 80.198 155.0176
103.000000 80.134 154.8423
104.400002 80.069 154.6803
106.000000 79.999 154.4186
107.500000 79.930 154.2753
109.000000 79.861 154.0944
110.599998 79.793 153.9424
112.000000 79.733 153.7960
113.800003 79.659 153.5848
115.000000 79.603 153.4831
117.199997 79.514 153.3425
118.000000 79.485 153.2875
120.599998 79.374 153.0151
122.000000 79.315 152.9131
124.099998 79.226 152.8066
125.000000 79.196 152.7580
126.500000 79.134 152.6727
128.000000 79.075 152.5731
131.500000 78.936 152.4307
132.000000 78.921 152.4274
134.000000 78.839 152.2682
136.000000 78.767 152.2709
138.000000 78.691 152.2034
140.000000 78.604 152.1076
143.000000 78.503 152.0282
145.000000 78.428 151.9949
147.500000 78.348 151.9823
150.000000 78.255 152.0162
152.500000 78.167 151.9849
155.000000 78.088 152.0396
157.500000 77.998 151.9806
160.000000 77.902 152.0549
162.500000 77.823 152.2178
165.000000 77.745 152.2659
167.500000 77.642 152.2500
170.000000 77.569 152.3818
172.500000 77.481 152.5645
175.000000 77.403 152.7140
177.500000 77.331 152.8802
180.000000 77.247 153.1115
182.500000 77.180 153.3730
185.000000 77.112 153.7526
187.500000 77.077 154.0453
190.000000 77.050 154.4282
192.500000 77.027 154.6497
195.000000 77.010 154.6866
197.500000 77.002 154.6716
200.000000 76.982 154.7454
203.000000 76.927 154.5231
206.000000 76.890 154.9251
209.000000 76.791 154.3435
212.000000 76.734 154.4255
214.000000 76.695 154.4839
218.000000 76.594 154.5895
220.000000 76.561 154.5241
224.000000 76.460 154.7070
227.000000 76.399 154.8909
230.000000 76.344 154.9449
233.000000 76.290 155.0749
236.000000 76.215 155.2471
240.000000 76.136 155.4297
243.000000 76.091 155.5037
247.000000 75.988 155.6927
250.000000 75.926 155.9951
254.000000 75.874 156.1761
258.000000 75.787 156.5151
262.000000 75.726 156.6374
265.000000 75.674 156.8394
269.000000 75.620 157.1409
272.000000 75.565 157.3015
276.000000 75.508 157.5373
280.000000 75.433 157.8570
285.000000 75.358 158.1829
290.000000 75.294 158.5170
295.000000 75.217 158.7951
300.000000 75.152 159.1398
304.000000 75.101 159.4395
307.000000 75.068 159.6003
311.000000 75.009 159.8791
315.000000 74.965 160.1428
320.000000 74.894 160.5373
325.000000 74.814 160.8436
