* Measurement data measured by REW V5.20.13
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), R, volume: 0,250
* Format: 256k Log Swept Sine, 1 sweep at -12,0 dBFS with no timing reference
* Dated: 23:34:50 05-02-2024
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Hidizs MP145 Red R
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 84.140 122.0518
1.015000 83.960 121.1452
1.030000 83.772 120.2316
1.044000 83.590 119.3719
1.060000 83.373 118.3805
1.075000 83.162 117.4420
1.090000 82.942 116.4940
1.106000 82.698 115.4957
1.120000 82.481 114.7611
1.138000 82.197 114.0151
1.150000 82.005 113.6229
1.172000 81.645 113.0757
1.180000 81.511 112.9198
1.206000 81.067 112.5122
1.220000 80.821 112.3233
1.241000 80.441 112.0266
1.250000 80.274 111.8802
1.265000 79.991 111.5913
1.280000 79.701 111.2251
1.315000 78.993 109.9338
1.320000 78.888 109.6862
1.340000 78.459 108.5023
1.360000 78.014 106.9653
1.380000 77.551 105.0178
1.400000 77.071 102.6022
1.430000 76.314 97.9755
1.450000 75.784 94.1381
1.475000 75.081 88.3595
1.500000 74.247 81.1878
1.525000 73.285 72.7373
1.550000 72.226 63.2136
1.575000 71.098 52.8222
1.600000 69.930 41.7688
1.625000 68.752 30.2589
1.650000 67.593 18.4982
1.675000 66.481 6.6921
1.700000 65.447 -4.9537
1.725000 64.519 -16.2335
1.750000 63.727 -26.9419
1.775000 63.099 -36.8733
1.800000 62.665 -45.8220
1.825000 62.454 -53.5825
1.850000 62.497 -60.1767
1.875000 62.794 -66.0758
1.900000 63.312 -71.3574
1.925000 64.018 -76.0783
1.950000 64.879 -80.2954
1.975000 65.861 -84.0657
2.000000 66.930 -87.4460
2.030000 68.282 -91.0677
2.060000 69.653 -94.3080
2.090000 70.986 -97.2653
2.120000 72.223 -100.0379
2.140000 72.966 -101.8322
2.180000 74.177 -105.4222
2.200000 74.613 -107.2737
2.240000 75.279 -110.6458
2.270000 75.664 -112.7721
2.300000 75.963 -114.5984
2.330000 76.187 -116.1652
2.360000 76.348 -117.5132
2.400000 76.484 -119.0405
2.430000 76.540 -120.0360
2.470000 76.576 -121.2409
2.500000 76.589 -122.1053
2.540000 76.608 -123.2827
2.580000 76.644 -124.5612
2.620000 76.638 -125.8536
2.650000 76.600 -126.7912
2.690000 76.509 -127.9652
2.720000 76.415 -128.7658
2.760000 76.262 -129.6930
2.800000 76.085 -130.4215
2.850000 75.840 -130.9888
2.900000 75.585 -131.0982
2.950000 75.323 -130.6748
3.000000 74.985 -129.7456
3.040000 74.667 -128.6795
3.070000 74.414 -127.7099
3.110000 74.072 -126.2126
3.150000 73.743 -124.5071
3.200000 73.378 -122.1245
3.250000 73.100 -119.5139
3.300000 72.947 -116.7267
3.350000 72.912 -113.4105
3.400000 72.963 -109.4742
3.450000 73.087 -105.1855
3.500000 73.269 -100.8118
3.550000 73.496 -96.6207
3.600000 73.753 -92.8795
3.650000 74.026 -89.8560
3.700000 74.328 -87.6572
3.750000 74.701 -85.9929
3.820000 75.301 -84.3979
3.870000 75.753 -83.6829
3.950000 76.449 -83.0688
4.000000 76.829 -82.9006
4.060000 77.202 -82.8672
4.120000 77.529 -83.2833
4.180000 77.820 -84.0768
4.250000 78.111 -85.3043
4.310000 78.321 -86.4653
4.370000 78.495 -87.5884
4.440000 78.647 -88.7953
4.500000 78.729 -89.9434
4.550000 78.768 -90.9504
4.620000 78.784 -92.3610
4.680000 78.769 -93.5003
4.750000 78.726 -94.6569
4.820000 78.650 -95.6308
4.870000 78.565 -96.2815
4.940000 78.416 -97.0934
5.000000 78.273 -97.6627
5.080000 78.077 -98.1820
5.150000 77.916 -98.3565
5.220000 77.739 -98.2402
5.300000 77.522 -97.8220
5.380000 77.318 -97.1950
5.450000 77.171 -96.5535
5.520000 77.071 -95.8702
5.600000 77.001 -94.8381
5.700000 76.966 -93.3487
5.800000 76.983 -92.0073
5.900000 77.051 -91.1595
6.000000 77.194 -90.6401
6.080000 77.340 -90.4435
6.150000 77.472 -90.4611
6.220000 77.592 -90.6804
6.300000 77.717 -91.2258
6.400000 77.876 -92.3113
6.500000 78.020 -93.6882
6.600000 78.126 -95.1897
6.700000 78.192 -96.8860
6.800000 78.227 -98.7805
6.900000 78.235 -100.6999
7.000000 78.218 -102.5014
7.100000 78.166 -104.2924
7.200000 78.092 -106.0260
7.300000 78.015 -107.6014
7.400000 77.939 -108.9556
7.500000 77.852 -110.1387
7.620000 77.760 -111.3605
7.750000 77.707 -112.4495
7.880000 77.692 -113.2326
8.000000 77.716 -113.8503
8.120000 77.787 -114.5133
8.250000 77.919 -115.1929
8.380000 78.084 -115.9426
8.500000 78.251 -116.8045
8.620000 78.444 -117.7962
8.750000 78.656 -118.9633
8.850000 78.807 -119.9118
9.000000 79.029 -121.4603
9.120000 79.193 -122.6948
9.250000 79.350 -123.9524
9.380000 79.489 -125.1712
9.500000 79.607 -126.1926
9.620000 79.716 -127.0718
9.750000 79.823 -127.8948
9.880000 79.929 -128.5925
10.000000 80.029 -129.1118
10.150000 80.154 -129.6121
10.300000 80.285 -130.0387
10.440000 80.414 -130.3589
10.600000 80.564 -130.6823
10.750000 80.702 -130.9944
10.900000 80.839 -131.2964
11.060000 80.973 -131.6167
11.200000 81.082 -131.8984
11.380000 81.209 -132.2320
11.500000 81.284 -132.4298
11.720000 81.408 -132.7498
11.800000 81.450 -132.8491
12.060000 81.574 -133.1298
12.200000 81.635 -133.2839
12.410000 81.721 -133.5251
12.500000 81.754 -133.6485
12.650000 81.804 -133.8785
12.800000 81.846 -134.1338
13.150000 81.908 -134.8257
13.200000 81.913 -134.9265
13.400000 81.923 -135.3337
13.600000 81.923 -135.7290
13.800000 81.918 -136.0990
14.000000 81.915 -136.4785
14.300000 81.918 -137.0951
14.500000 81.927 -137.5955
14.750000 81.940 -138.3454
15.000000 81.952 -139.2362
15.250000 81.955 -140.2245
15.500000 81.952 -141.2401
15.750000 81.946 -142.2442
16.000000 81.948 -143.1914
16.250000 81.963 -144.1001
16.500000 81.996 -144.9877
16.750000 82.046 -145.8896
17.000000 82.106 -146.8167
17.250000 82.172 -147.7550
17.500000 82.237 -148.6810
17.750000 82.301 -149.5462
18.000000 82.364 -150.3352
18.250000 82.429 -151.0322
18.500000 82.497 -151.6516
18.750000 82.566 -152.2099
19.000000 82.636 -152.7225
19.250000 82.703 -153.2015
19.500000 82.764 -153.6439
19.750000 82.819 -154.0485
20.000000 82.866 -154.4120
20.299999 82.915 -154.8056
20.600000 82.956 -155.1691
20.900000 82.987 -155.5212
21.200001 83.008 -155.8732
21.400000 83.016 -156.1067
21.799999 83.021 -156.5704
22.000000 83.020 -156.8056
22.400000 83.014 -157.3071
22.700001 83.009 -157.7381
23.000000 83.001 -158.2317
23.299999 82.988 -158.7762
23.600000 82.971 -159.3489
24.000000 82.948 -160.1227
24.299999 82.937 -160.7027
24.700001 82.933 -161.4935
25.000000 82.938 -162.1146
25.400000 82.951 -162.9747
25.799999 82.967 -163.8258
26.200001 82.985 -164.6155
26.500000 83.003 -165.1559
26.900000 83.034 -165.8172
27.200001 83.059 -166.2808
27.600000 83.094 -166.8615
28.000000 83.125 -167.3923
28.500000 83.157 -167.9821
29.000000 83.180 -168.5152
29.500000 83.193 -169.0182
30.000000 83.193 -169.4985
30.400000 83.187 -169.8758
30.700001 83.180 -170.1663
31.100000 83.167 -170.5772
31.500000 83.150 -171.0153
32.000000 83.125 -171.5837
32.500000 83.101 -172.1682
33.000000 83.083 -172.7904
33.500000 83.068 -173.4571
34.000000 83.053 -174.1273
34.500000 83.039 -174.7502
35.000000 83.033 -175.3195
35.500000 83.036 -175.8654
36.000000 83.040 -176.4051
36.500000 83.040 -176.9207
37.000000 83.035 -177.3795
37.500000 83.029 -177.7743
38.200001 83.026 -178.2957
38.700001 83.023 -178.7142
39.500000 82.998 -179.4444
40.000000 82.973 -179.8665
40.599998 82.945 179.6613
41.200001 82.924 179.1550
41.799999 82.901 178.6106
42.500000 82.872 177.9968
43.099998 82.851 177.4960
43.700001 82.832 177.0017
44.400002 82.809 176.4532
45.000000 82.790 176.0131
45.500000 82.774 175.6575
46.200001 82.751 175.1741
46.799999 82.730 174.7669
47.500000 82.703 174.2964
48.200001 82.675 173.8474
48.700001 82.657 173.5199
49.400002 82.629 173.0238
50.000000 82.595 172.6365
50.799999 82.560 172.2524
51.500000 82.549 171.8681
52.200001 82.528 171.3538
53.000000 82.479 170.8228
53.799999 82.433 170.4229
54.500000 82.400 170.0524
55.200001 82.365 169.6535
56.000000 82.325 169.2133
57.000000 82.281 168.6427
58.000000 82.233 168.0652
59.000000 82.183 167.5912
60.000000 82.146 167.1613
60.799999 82.113 166.7790
61.500000 82.076 166.4753
62.200001 82.040 166.2153
63.000000 82.003 165.8771
64.000000 81.945 165.4278
65.000000 81.893 165.0278
66.000000 81.844 164.5720
67.000000 81.793 164.1759
68.000000 81.750 163.7785
69.000000 81.701 163.3965
70.000000 81.653 163.0656
71.000000 81.606 162.7018
72.000000 81.550 162.3593
73.000000 81.500 162.0603
74.000000 81.455 161.7106
75.000000 81.402 161.3698
76.199997 81.342 161.0383
77.500000 81.281 160.6530
78.800003 81.217 160.2926
80.000000 81.155 159.9388
81.199997 81.097 159.6450
82.500000 81.037 159.2557
83.800003 80.971 158.9586
85.000000 80.918 158.6770
86.199997 80.856 158.4006
87.500000 80.791 158.1476
88.500000 80.746 157.9308
90.000000 80.672 157.5824
91.199997 80.616 157.3526
92.500000 80.556 157.0899
93.800003 80.490 156.8568
95.000000 80.430 156.6712
96.199997 80.373 156.4742
97.500000 80.312 156.2545
98.800003 80.252 156.0233
100.000000 80.195 155.8408
101.500000 80.133 155.6370
103.000000 80.056 155.4303
104.400002 80.000 155.2796
106.000000 79.919 155.0603
107.500000 79.850 154.8546
109.000000 79.777 154.7569
110.599998 79.711 154.5559
112.000000 79.649 154.4388
113.800003 79.564 154.2883
115.000000 79.519 154.2076
117.199997 79.412 153.9919
118.000000 79.373 153.9890
120.599998 79.268 153.7831
122.000000 79.211 153.7526
124.099998 79.121 153.6636
125.000000 79.093 153.6377
126.500000 79.016 153.5460
128.000000 78.966 153.5663
131.500000 78.810 153.5028
132.000000 78.791 153.5040
134.000000 78.705 153.5350
136.000000 78.640 153.6238
138.000000 78.564 153.7868
140.000000 78.492 153.9767
143.000000 78.442 154.2496
145.000000 78.406 154.3109
147.500000 78.380 154.2313
150.000000 78.346 154.0142
152.500000 78.289 153.7961
155.000000 78.222 153.5268
157.500000 78.136 153.4349
160.000000 78.056 153.3455
162.500000 77.970 153.2788
165.000000 77.893 153.2389
167.500000 77.811 153.2392
170.000000 77.740 153.2798
172.500000 77.656 153.2703
175.000000 77.585 153.3101
177.500000 77.506 153.3843
180.000000 77.448 153.5034
182.500000 77.385 153.5769
185.000000 77.320 153.6389
187.500000 77.264 153.7231
190.000000 77.198 153.8031
192.500000 77.147 153.7954
195.000000 77.077 153.8748
197.500000 77.028 153.8790
200.000000 76.965 154.0028
203.000000 76.880 154.0543
206.000000 76.757 154.4412
209.000000 76.733 154.3141
212.000000 76.675 154.4445
214.000000 76.624 154.5218
218.000000 76.531 154.7047
220.000000 76.484 154.7177
224.000000 76.392 155.0345
227.000000 76.321 155.1831
230.000000 76.260 155.4376
233.000000 76.204 155.7380
236.000000 76.157 155.9791
240.000000 76.085 156.2178
243.000000 76.059 156.4354
247.000000 75.988 156.5977
250.000000 75.942 156.7720
254.000000 75.881 156.8795
258.000000 75.808 156.9645
262.000000 75.770 157.3268
265.000000 75.715 157.5478
269.000000 75.658 157.7564
272.000000 75.612 157.8582
276.000000 75.541 158.0819
280.000000 75.482 158.3275
285.000000 75.406 158.5856
290.000000 75.321 159.0023
295.000000 75.245 159.3483
300.000000 75.176 159.7662
304.000000 75.137 160.0812
307.000000 75.107 160.3648
311.000000 75.052 160.7266
315.000000 75.043 161.0071
320.000000 74.983 161.3780
325.000000 74.920 161.5845
