* Measurement data measured by REW V5.20.13
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0,250
* Format: 256k Log Swept Sine, 1 sweep at -12,0 dBFS with no timing reference
* Dated: 22:55:24 05-02-2024
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Hidizs MP145 Rosegold L
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 75.535 123.4557
1.015000 75.333 122.4603
1.030000 75.123 121.4349
1.044000 74.919 120.4486
1.060000 74.674 119.2841
1.075000 74.435 118.1537
1.090000 74.184 116.9834
1.106000 73.903 115.7064
1.120000 73.634 114.6624
1.138000 73.260 113.4292
1.150000 72.993 112.6625
1.172000 72.473 111.3404
1.180000 72.276 110.8783
1.206000 71.609 109.4047
1.220000 71.236 108.6074
1.241000 70.666 107.3700
1.250000 70.418 106.8148
1.265000 70.004 105.8432
1.280000 69.589 104.7996
1.315000 68.632 101.9915
1.320000 68.497 101.5388
1.340000 67.971 99.5749
1.360000 67.465 97.3366
1.380000 66.985 94.7851
1.400000 66.536 91.8813
1.430000 65.935 86.7800
1.450000 65.591 82.8252
1.475000 65.228 77.1503
1.500000 64.904 70.3246
1.525000 64.609 62.4300
1.550000 64.344 53.6481
1.575000 64.111 44.1607
1.600000 63.911 34.1497
1.625000 63.744 23.7968
1.650000 63.611 13.2837
1.675000 63.514 2.7923
1.700000 63.454 -7.4959
1.725000 63.431 -17.3988
1.750000 63.448 -26.7348
1.775000 63.504 -35.3222
1.800000 63.600 -42.9791
1.825000 63.739 -49.5239
1.850000 63.935 -54.9468
1.875000 64.218 -59.6068
1.900000 64.577 -63.5910
1.925000 65.000 -66.9715
1.950000 65.474 -69.8205
1.975000 65.988 -72.2100
2.000000 66.530 -74.2121
2.030000 67.199 -76.2049
2.060000 67.869 -77.8681
2.090000 68.518 -79.3266
2.120000 69.126 -80.7047
2.140000 69.499 -81.6404
2.180000 70.135 -83.7186
2.200000 70.386 -84.9324
2.240000 70.804 -87.2660
2.270000 71.066 -88.7926
2.300000 71.288 -90.1476
2.330000 71.477 -91.3493
2.360000 71.637 -92.4157
2.400000 71.812 -93.6583
2.430000 71.922 -94.4792
2.470000 72.050 -95.4604
2.500000 72.138 -96.1346
2.540000 72.253 -96.9856
2.580000 72.371 -97.8081
2.620000 72.462 -98.5176
2.650000 72.510 -98.9631
2.690000 72.552 -99.4468
2.720000 72.571 -99.7302
2.760000 72.584 -100.0074
2.800000 72.589 -100.1751
2.850000 72.595 -100.2406
2.900000 72.612 -100.1572
2.950000 72.650 -99.9229
3.000000 72.681 -99.4379
3.040000 72.702 -98.8865
3.070000 72.716 -98.3984
3.110000 72.737 -97.6731
3.150000 72.764 -96.8917
3.200000 72.811 -95.8839
3.250000 72.878 -94.8989
3.300000 72.973 -93.9972
3.350000 73.098 -93.0840
3.400000 73.248 -92.0966
3.450000 73.416 -91.0828
3.500000 73.599 -90.0902
3.550000 73.790 -89.1664
3.600000 73.986 -88.3591
3.650000 74.180 -87.7161
3.700000 74.375 -87.2556
3.750000 74.583 -86.9246
3.820000 74.888 -86.6520
3.870000 75.107 -86.5774
3.950000 75.446 -86.6333
4.000000 75.642 -86.7593
4.060000 75.854 -87.0005
4.120000 76.053 -87.4041
4.180000 76.241 -87.9419
4.250000 76.442 -88.6815
4.310000 76.599 -89.3623
4.370000 76.737 -90.0409
4.440000 76.875 -90.8159
4.500000 76.972 -91.5393
4.550000 77.040 -92.1687
4.620000 77.119 -93.0555
4.680000 77.173 -93.7887
4.750000 77.226 -94.5712
4.820000 77.264 -95.2715
4.870000 77.278 -95.7495
4.940000 77.284 -96.3781
5.000000 77.282 -96.8699
5.080000 77.278 -97.4421
5.150000 77.279 -97.8489
5.220000 77.274 -98.1541
5.300000 77.264 -98.4027
5.380000 77.257 -98.5803
5.450000 77.259 -98.7066
5.520000 77.276 -98.8242
5.600000 77.306 -98.8862
5.700000 77.359 -98.9018
5.800000 77.427 -98.9524
5.900000 77.513 -99.1331
6.000000 77.620 -99.3890
6.080000 77.717 -99.6520
6.150000 77.804 -99.9408
6.220000 77.888 -100.2979
6.300000 77.985 -100.8022
6.400000 78.109 -101.5581
6.500000 78.230 -102.4138
6.600000 78.338 -103.3272
6.700000 78.434 -104.3256
6.800000 78.519 -105.4029
6.900000 78.595 -106.4962
7.000000 78.660 -107.5537
7.100000 78.711 -108.6153
7.200000 78.753 -109.6626
7.300000 78.791 -110.6571
7.400000 78.827 -111.5760
7.500000 78.857 -112.4394
7.620000 78.893 -113.4059
7.750000 78.942 -114.3652
7.880000 78.997 -115.2190
8.000000 79.056 -115.9551
8.120000 79.127 -116.6768
8.250000 79.215 -117.4189
8.380000 79.311 -118.1524
8.500000 79.405 -118.8514
8.620000 79.505 -119.5606
8.750000 79.615 -120.3338
8.850000 79.698 -120.9321
9.000000 79.820 -121.8424
9.120000 79.916 -122.5553
9.250000 80.014 -123.2943
9.380000 80.109 -124.0090
9.500000 80.194 -124.6327
9.620000 80.279 -125.2110
9.750000 80.368 -125.7936
9.880000 80.457 -126.3411
10.000000 80.542 -126.8139
10.150000 80.648 -127.3646
10.300000 80.755 -127.9037
10.440000 80.856 -128.3943
10.600000 80.970 -128.9507
10.750000 81.072 -129.4828
10.900000 81.171 -130.0177
11.060000 81.269 -130.5837
11.200000 81.347 -131.0781
11.380000 81.440 -131.6908
11.500000 81.495 -132.0809
11.720000 81.586 -132.7573
11.800000 81.617 -132.9872
12.060000 81.710 -133.6863
12.200000 81.757 -134.0420
12.410000 81.823 -134.5538
12.500000 81.851 -134.7747
12.650000 81.895 -135.1416
12.800000 81.937 -135.5126
13.150000 82.024 -136.4116
13.200000 82.035 -136.5420
13.400000 82.075 -137.0699
13.600000 82.111 -137.5997
13.800000 82.142 -138.1278
14.000000 82.172 -138.6580
14.300000 82.214 -139.4621
14.500000 82.243 -140.0156
14.750000 82.278 -140.7334
15.000000 82.312 -141.4808
15.250000 82.344 -142.2483
15.500000 82.375 -143.0193
15.750000 82.406 -143.7855
16.000000 82.439 -144.5374
16.250000 82.476 -145.2818
16.500000 82.516 -146.0230
16.750000 82.560 -146.7694
17.000000 82.605 -147.5168
17.250000 82.649 -148.2557
17.500000 82.690 -148.9724
17.750000 82.731 -149.6470
18.000000 82.771 -150.2766
18.250000 82.812 -150.8582
18.500000 82.856 -151.4071
18.750000 82.902 -151.9356
19.000000 82.949 -152.4553
19.250000 82.993 -152.9734
19.500000 83.033 -153.4831
19.750000 83.067 -153.9788
20.000000 83.095 -154.4469
20.299999 83.124 -154.9675
20.600000 83.149 -155.4469
20.900000 83.172 -155.8994
21.200001 83.194 -156.3468
21.400000 83.207 -156.6521
21.799999 83.229 -157.2838
22.000000 83.237 -157.6093
22.400000 83.246 -158.2685
22.700001 83.248 -158.7601
23.000000 83.248 -159.2450
23.299999 83.250 -159.7270
23.600000 83.252 -160.2134
24.000000 83.260 -160.8808
24.299999 83.267 -161.4008
24.700001 83.277 -162.1160
25.000000 83.284 -162.6575
25.400000 83.294 -163.3666
25.799999 83.304 -164.0432
26.200001 83.317 -164.6835
26.500000 83.329 -165.1459
26.900000 83.348 -165.7474
27.200001 83.362 -166.1890
27.600000 83.378 -166.7593
28.000000 83.392 -167.2971
28.500000 83.404 -167.9164
29.000000 83.416 -168.4936
29.500000 83.424 -169.0575
30.000000 83.428 -169.6254
30.400000 83.426 -170.0800
30.700001 83.422 -170.4177
31.100000 83.415 -170.8638
31.500000 83.407 -171.3109
32.000000 83.396 -171.8830
32.500000 83.382 -172.4652
33.000000 83.366 -173.0298
33.500000 83.354 -173.5645
34.000000 83.349 -174.1012
34.500000 83.347 -174.6763
35.000000 83.336 -175.2601
35.500000 83.318 -175.7645
36.000000 83.306 -176.1548
36.500000 83.312 -176.5134
37.000000 83.329 -176.9631
37.500000 83.336 -177.5235
38.200001 83.313 -178.3081
38.700001 83.285 -178.7583
39.500000 83.251 -179.3594
40.000000 83.236 -179.7529
40.599998 83.218 179.7305
41.200001 83.192 179.2069
41.799999 83.165 178.7256
42.500000 83.141 178.2039
43.099998 83.127 177.7156
43.700001 83.105 177.2014
44.400002 83.072 176.6982
45.000000 83.055 176.3446
45.500000 83.051 175.9964
46.200001 83.032 175.4028
46.799999 82.996 174.9647
47.500000 82.966 174.6229
48.200001 82.963 174.1971
48.700001 82.954 173.7589
49.400002 82.909 173.1606
50.000000 82.864 172.8281
50.799999 82.830 172.4738
51.500000 82.807 172.0612
52.200001 82.772 171.6629
53.000000 82.738 171.2733
53.799999 82.706 170.8074
54.500000 82.664 170.4190
55.200001 82.627 170.1207
56.000000 82.600 169.7225
57.000000 82.549 169.1351
58.000000 82.501 168.6753
59.000000 82.456 168.1190
60.000000 82.396 167.7841
60.799999 82.392 167.5182
61.500000 82.376 166.9941
62.200001 82.309 166.5804
63.000000 82.253 166.5419
64.000000 82.262 166.1774
65.000000 82.198 165.5323
66.000000 82.141 165.3182
67.000000 82.111 164.8695
68.000000 82.047 164.5299
69.000000 82.018 164.2529
70.000000 81.971 163.7606
71.000000 81.903 163.4593
72.000000 81.859 163.2111
73.000000 81.816 162.8762
74.000000 81.772 162.5418
75.000000 81.726 162.1931
76.199997 81.671 161.7762
77.500000 81.595 161.3203
78.800003 81.524 161.0599
80.000000 81.478 160.7377
81.199997 81.415 160.3746
82.500000 81.353 160.1088
83.800003 81.302 159.7611
85.000000 81.241 159.4062
86.199997 81.170 159.1571
87.500000 81.105 158.9474
88.500000 81.060 158.7963
90.000000 80.998 158.4805
91.199997 80.939 158.2874
92.500000 80.886 158.0588
93.800003 80.829 157.8616
95.000000 80.787 157.6156
96.199997 80.731 157.3497
97.500000 80.675 157.0979
98.800003 80.613 156.8805
100.000000 80.563 156.6676
101.500000 80.483 156.5135
103.000000 80.429 156.3522
104.400002 80.363 156.1822
106.000000 80.292 155.9913
107.500000 80.231 155.8508
109.000000 80.162 155.6360
110.599998 80.095 155.5140
112.000000 80.029 155.3239
113.800003 79.949 155.2295
115.000000 79.895 155.1010
117.199997 79.810 154.9387
118.000000 79.773 154.8539
120.599998 79.675 154.6247
122.000000 79.611 154.5382
124.099998 79.542 154.4323
125.000000 79.503 154.3941
126.500000 79.452 154.3392
128.000000 79.391 154.2642
131.500000 79.254 154.1030
132.000000 79.233 154.0983
134.000000 79.174 153.9883
136.000000 79.094 153.9203
138.000000 79.032 153.8454
140.000000 78.954 153.8439
143.000000 78.843 153.8581
145.000000 78.772 153.7465
147.500000 78.677 153.7904
150.000000 78.590 153.7128
152.500000 78.512 153.6744
155.000000 78.423 153.8210
157.500000 78.344 153.8162
160.000000 78.263 153.7917
162.500000 78.180 153.8065
165.000000 78.120 153.9300
167.500000 78.045 153.9844
170.000000 77.964 154.0230
172.500000 77.893 154.0378
175.000000 77.831 154.1237
177.500000 77.753 154.1324
180.000000 77.683 154.3159
182.500000 77.619 154.4229
185.000000 77.549 154.5661
187.500000 77.485 154.7293
190.000000 77.412 154.7497
192.500000 77.351 154.8531
195.000000 77.274 155.0358
197.500000 77.282 155.3232
200.000000 77.160 155.3864
203.000000 77.080 155.4975
206.000000 76.982 155.6870
209.000000 76.911 155.8698
212.000000 76.852 156.0423
214.000000 76.816 156.0333
218.000000 76.725 156.3245
220.000000 76.668 156.5443
224.000000 76.589 157.0059
227.000000 76.548 157.1248
230.000000 76.518 157.2695
233.000000 76.473 157.5443
236.000000 76.396 157.8968
240.000000 76.336 158.0522
243.000000 76.293 158.3816
247.000000 76.236 158.7381
250.000000 76.176 158.9839
254.000000 76.145 159.5057
258.000000 76.119 159.9686
262.000000 76.061 160.5463
265.000000 76.024 160.7071
269.000000 75.952 160.7553
272.000000 75.926 160.7846
276.000000 75.900 160.8605
280.000000 75.865 161.0796
285.000000 75.787 161.4765
290.000000 75.701 161.6933
295.000000 75.640 161.8431
300.000000 75.574 162.1885
304.000000 75.519 162.4807
307.000000 75.481 162.6519
311.000000 75.427 162.9174
315.000000 75.376 163.1791
320.000000 75.328 163.5816
325.000000 75.260 163.9650
