* Measurement data measured by REW V5.20.13
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), R, volume: 0,250
* Format: 256k Log Swept Sine, 1 sweep at -12,0 dBFS with no timing reference
* Dated: 22:57:55 05-02-2024
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Hidizs MP145 Rosegold R
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 84.125 121.8081
1.015000 83.944 120.8935
1.030000 83.755 119.9711
1.044000 83.571 119.1026
1.060000 83.354 118.1002
1.075000 83.141 117.1504
1.090000 82.919 116.1902
1.106000 82.673 115.1776
1.120000 82.453 114.4289
1.138000 82.164 113.6628
1.150000 81.967 113.2560
1.172000 81.597 112.6798
1.180000 81.459 112.5127
1.206000 81.001 112.0669
1.220000 80.747 111.8566
1.241000 80.356 111.5267
1.250000 80.185 111.3659
1.265000 79.893 111.0526
1.280000 79.596 110.6620
1.315000 78.873 109.3143
1.320000 78.766 109.0588
1.340000 78.332 107.8438
1.360000 77.883 106.2769
1.380000 77.421 104.3011
1.400000 76.943 101.8592
1.430000 76.198 97.1975
1.450000 75.681 93.3405
1.475000 75.002 87.5413
1.500000 74.203 80.3492
1.525000 73.288 71.8778
1.550000 72.284 62.3334
1.575000 71.217 51.9223
1.600000 70.117 40.8509
1.625000 69.008 29.3254
1.650000 67.920 17.5521
1.675000 66.878 5.7372
1.700000 65.909 -5.9129
1.725000 65.042 -17.1919
1.750000 64.304 -27.8936
1.775000 63.720 -37.8116
1.800000 63.319 -46.7398
1.825000 63.128 -54.4717
1.850000 63.175 -61.0266
1.875000 63.464 -66.8715
1.900000 63.964 -72.0861
1.925000 64.642 -76.7297
1.950000 65.466 -80.8615
1.975000 66.406 -84.5406
2.000000 67.428 -87.8264
2.030000 68.719 -91.3335
2.060000 70.029 -94.4619
2.090000 71.303 -97.3137
2.120000 72.484 -99.9914
2.140000 73.194 -101.7304
2.180000 74.353 -105.2340
2.200000 74.771 -107.0568
2.240000 75.411 -110.3962
2.270000 75.783 -112.5152
2.300000 76.073 -114.3462
2.330000 76.291 -115.9279
2.360000 76.450 -117.2986
2.400000 76.584 -118.8646
2.430000 76.642 -119.8926
2.470000 76.680 -121.1410
2.500000 76.694 -122.0356
2.540000 76.712 -123.2456
2.580000 76.744 -124.5448
2.620000 76.733 -125.8556
2.650000 76.692 -126.8069
2.690000 76.597 -127.9992
2.720000 76.500 -128.8130
2.760000 76.344 -129.7571
2.800000 76.164 -130.5010
2.850000 75.916 -131.0850
2.900000 75.655 -131.2075
2.950000 75.388 -130.7931
3.000000 75.043 -129.8707
3.040000 74.720 -128.8086
3.070000 74.462 -127.8409
3.110000 74.114 -126.3443
3.150000 73.779 -124.6370
3.200000 73.408 -122.2481
3.250000 73.125 -119.6262
3.300000 72.967 -116.8218
3.350000 72.930 -113.4778
3.400000 72.980 -109.5033
3.450000 73.103 -105.1701
3.500000 73.286 -100.7499
3.550000 73.514 -96.5144
3.600000 73.772 -92.7354
3.650000 74.047 -89.6845
3.700000 74.351 -87.4709
3.750000 74.726 -85.8005
3.820000 75.331 -84.2078
3.870000 75.786 -83.4999
3.950000 76.487 -82.9019
4.000000 76.870 -82.7440
4.060000 77.245 -82.7216
4.120000 77.573 -83.1514
4.180000 77.864 -83.9610
4.250000 78.156 -85.2091
4.310000 78.366 -86.3882
4.370000 78.539 -87.5286
4.440000 78.690 -88.7542
4.500000 78.771 -89.9190
4.550000 78.809 -90.9399
4.620000 78.823 -92.3694
4.680000 78.805 -93.5238
4.750000 78.759 -94.6957
4.820000 78.679 -95.6834
4.870000 78.591 -96.3443
4.940000 78.438 -97.1692
5.000000 78.290 -97.7467
5.080000 78.088 -98.2701
5.150000 77.921 -98.4395
5.220000 77.737 -98.3114
5.300000 77.512 -97.8723
5.380000 77.300 -97.2168
5.450000 77.147 -96.5441
5.520000 77.043 -95.8228
5.600000 76.969 -94.7337
5.700000 76.931 -93.1608
5.800000 76.947 -91.7371
5.900000 77.017 -90.8216
6.000000 77.165 -90.2410
6.080000 77.318 -90.0009
6.150000 77.456 -89.9871
6.220000 77.581 -90.1833
6.300000 77.712 -90.7131
6.400000 77.881 -91.7925
6.500000 78.033 -93.1765
6.600000 78.148 -94.6958
6.700000 78.222 -96.4213
6.800000 78.264 -98.3566
6.900000 78.278 -100.3271
7.000000 78.265 -102.1893
7.100000 78.217 -104.0532
7.200000 78.146 -105.8686
7.300000 78.069 -107.5299
7.400000 77.990 -108.9749
7.500000 77.897 -110.2584
7.620000 77.795 -111.5953
7.750000 77.727 -112.7827
7.880000 77.690 -113.6485
8.000000 77.692 -114.3128
8.120000 77.740 -114.9757
8.250000 77.847 -115.6074
8.380000 77.988 -116.2686
8.500000 78.140 -117.0149
8.620000 78.320 -117.8530
8.750000 78.525 -118.8343
8.850000 78.676 -119.6373
9.000000 78.905 -120.9481
9.120000 79.083 -121.9995
9.250000 79.261 -123.0810
9.380000 79.429 -124.1372
9.500000 79.578 -125.0429
9.620000 79.722 -125.8500
9.750000 79.872 -126.6357
9.880000 80.020 -127.3503
10.000000 80.158 -127.9429
10.150000 80.331 -128.6020
10.300000 80.500 -129.2406
10.440000 80.658 -129.8173
10.600000 80.829 -130.4623
10.750000 80.974 -131.0786
10.900000 81.107 -131.6882
11.060000 81.228 -132.2912
11.200000 81.315 -132.7880
11.380000 81.409 -133.3285
11.500000 81.459 -133.6128
11.720000 81.533 -133.9967
11.800000 81.559 -134.0871
12.060000 81.634 -134.2367
12.200000 81.678 -134.2797
12.410000 81.746 -134.3111
12.500000 81.775 -134.3482
12.650000 81.825 -134.4306
12.800000 81.872 -134.5507
13.150000 81.955 -135.0189
13.200000 81.963 -135.0973
13.400000 81.987 -135.4433
13.600000 82.000 -135.8033
13.800000 82.003 -136.1599
14.000000 82.006 -136.5275
14.300000 82.012 -137.1185
14.500000 82.021 -137.5850
14.750000 82.035 -138.2785
15.000000 82.048 -139.1012
15.250000 82.054 -140.0237
15.500000 82.055 -140.9846
15.750000 82.053 -141.9487
16.000000 82.057 -142.8716
16.250000 82.072 -143.7641
16.500000 82.103 -144.6384
16.750000 82.148 -145.5227
17.000000 82.203 -146.4255
17.250000 82.264 -147.3345
17.500000 82.326 -148.2291
17.750000 82.387 -149.0673
18.000000 82.449 -149.8367
18.250000 82.513 -150.5242
18.500000 82.579 -151.1429
18.750000 82.648 -151.7068
19.000000 82.717 -152.2284
19.250000 82.782 -152.7156
19.500000 82.842 -153.1645
19.750000 82.895 -153.5728
20.000000 82.942 -153.9387
20.299999 82.992 -154.3354
20.600000 83.033 -154.7035
20.900000 83.067 -155.0627
21.200001 83.089 -155.4231
21.400000 83.099 -155.6618
21.799999 83.106 -156.1331
22.000000 83.106 -156.3702
22.400000 83.103 -156.8714
22.700001 83.100 -157.2991
23.000000 83.093 -157.7875
23.299999 83.081 -158.3242
23.600000 83.065 -158.8856
24.000000 83.043 -159.6375
24.299999 83.032 -160.1958
24.700001 83.029 -160.9538
25.000000 83.036 -161.5520
25.400000 83.052 -162.3921
25.799999 83.070 -163.2405
26.200001 83.089 -164.0415
26.500000 83.105 -164.5920
26.900000 83.132 -165.2592
27.200001 83.154 -165.7178
27.600000 83.186 -166.2830
28.000000 83.217 -166.8004
28.500000 83.250 -167.3910
29.000000 83.273 -167.9361
29.500000 83.283 -168.4364
30.000000 83.283 -168.8875
30.400000 83.280 -169.2355
30.700001 83.278 -169.5114
31.100000 83.272 -169.9215
31.500000 83.260 -170.3780
32.000000 83.235 -170.9753
32.500000 83.207 -171.5613
33.000000 83.184 -172.1353
33.500000 83.170 -172.7209
34.000000 83.164 -173.3338
34.500000 83.163 -173.9735
35.000000 83.160 -174.6192
35.500000 83.151 -175.2184
36.000000 83.142 -175.7247
36.500000 83.140 -176.1532
37.000000 83.144 -176.5731
37.500000 83.147 -177.0230
38.200001 83.134 -177.6431
38.700001 83.119 -178.0370
39.500000 83.095 -178.6561
40.000000 83.077 -179.0717
40.599998 83.051 -179.5737
41.200001 83.025 179.9355
41.799999 83.003 179.4321
42.500000 82.976 178.8255
43.099998 82.950 178.3270
43.700001 82.926 177.8674
44.400002 82.900 177.3606
45.000000 82.877 176.9396
45.500000 82.856 176.6085
46.200001 82.826 176.1758
46.799999 82.801 175.8132
47.500000 82.770 175.4169
48.200001 82.744 175.0752
48.700001 82.736 174.8224
49.400002 82.728 174.3972
50.000000 82.717 174.0074
50.799999 82.703 173.5015
51.500000 82.690 173.0266
52.200001 82.666 172.5551
53.000000 82.633 172.0805
53.799999 82.599 171.6111
54.500000 82.563 171.2078
55.200001 82.526 170.8395
56.000000 82.489 170.4246
57.000000 82.447 169.8800
58.000000 82.405 169.3083
59.000000 82.358 168.8034
60.000000 82.320 168.3497
60.799999 82.287 167.9653
61.500000 82.250 167.6624
62.200001 82.215 167.3950
63.000000 82.178 167.0645
64.000000 82.125 166.6213
65.000000 82.073 166.2025
66.000000 82.024 165.7834
67.000000 81.979 165.3830
68.000000 81.936 164.9909
69.000000 81.893 164.6412
70.000000 81.848 164.2890
71.000000 81.797 163.9659
72.000000 81.746 163.6776
73.000000 81.701 163.3728
74.000000 81.651 163.0237
75.000000 81.600 162.7548
76.199997 81.554 162.3632
77.500000 81.482 161.9657
78.800003 81.426 161.6098
80.000000 81.366 161.2660
81.199997 81.314 160.9088
82.500000 81.244 160.5738
83.800003 81.188 160.2658
85.000000 81.130 159.9963
86.199997 81.075 159.7421
87.500000 81.016 159.4659
88.500000 80.967 159.2440
90.000000 80.901 158.9516
91.199997 80.840 158.7123
92.500000 80.785 158.5476
93.800003 80.729 158.2734
95.000000 80.667 158.0520
96.199997 80.609 157.8464
97.500000 80.548 157.5930
98.800003 80.495 157.4563
100.000000 80.464 157.1306
101.500000 80.370 156.9523
103.000000 80.328 156.7797
104.400002 80.256 156.6484
106.000000 80.189 156.4252
107.500000 80.124 156.3128
109.000000 80.062 156.1109
110.599998 79.991 155.9593
112.000000 79.937 155.8010
113.800003 79.856 155.6797
115.000000 79.811 155.5529
117.199997 79.714 155.3840
118.000000 79.684 155.3285
120.599998 79.583 155.1078
122.000000 79.530 155.0023
124.099998 79.446 154.8399
125.000000 79.408 154.8537
126.500000 79.353 154.7465
128.000000 79.292 154.7053
131.500000 79.161 154.4585
132.000000 79.143 154.4411
134.000000 79.072 154.3693
136.000000 78.995 154.3563
138.000000 78.931 154.3643
140.000000 78.858 154.3148
143.000000 78.755 154.2193
145.000000 78.684 154.2593
147.500000 78.594 154.1895
150.000000 78.509 154.1091
152.500000 78.433 154.1335
155.000000 78.363 154.1497
157.500000 78.280 154.2039
160.000000 78.198 154.1553
162.500000 78.120 154.2325
165.000000 78.060 154.2280
167.500000 77.984 154.3780
170.000000 77.904 154.3920
172.500000 77.839 154.3746
175.000000 77.768 154.4341
177.500000 77.711 154.5024
180.000000 77.637 154.6711
182.500000 77.567 154.7198
185.000000 77.490 154.8061
187.500000 77.423 154.8732
190.000000 77.364 155.0099
192.500000 77.301 155.1043
195.000000 77.239 155.1496
197.500000 77.186 155.2596
200.000000 77.116 155.4755
203.000000 77.038 155.5688
206.000000 76.966 155.7307
209.000000 76.888 155.8650
212.000000 76.824 156.1060
214.000000 76.779 156.1630
218.000000 76.701 156.4216
220.000000 76.663 156.4980
224.000000 76.564 156.8100
227.000000 76.510 157.0462
230.000000 76.442 157.2224
233.000000 76.373 157.4371
236.000000 76.322 157.6562
240.000000 76.241 157.9252
243.000000 76.182 158.2957
247.000000 76.110 158.6628
250.000000 76.055 158.8784
254.000000 75.992 159.3941
258.000000 75.938 159.7609
262.000000 75.908 160.2110
265.000000 75.890 160.5017
269.000000 75.862 160.7812
272.000000 75.844 160.9894
276.000000 75.812 161.1758
280.000000 75.774 161.2650
285.000000 75.728 161.4922
290.000000 75.657 161.6614
295.000000 75.592 161.9719
300.000000 75.523 162.1632
304.000000 75.473 162.3961
307.000000 75.440 162.5767
311.000000 75.378 162.8003
315.000000 75.330 163.0091
320.000000 75.282 163.4183
325.000000 75.218 163.6921
