* Measurement data measured by REW V5.20.13
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0,250
* Format: 256k Log Swept Sine, 1 sweep at -12,0 dBFS with no timing reference
* Dated: 23:53:21 05-02-2024
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Hidizs MP145 Silver L
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 75.618 124.2440
1.015000 75.419 123.2760
1.030000 75.210 122.2810
1.044000 75.008 121.3260
1.060000 74.765 120.2012
1.075000 74.527 119.1118
1.090000 74.279 117.9866
1.106000 73.999 116.7634
1.120000 73.734 115.7765
1.138000 73.364 114.6306
1.150000 73.101 113.9296
1.172000 72.590 112.7415
1.180000 72.396 112.3317
1.206000 71.740 111.0388
1.220000 71.374 110.3437
1.241000 70.814 109.2633
1.250000 70.570 108.7761
1.265000 70.162 107.9175
1.280000 69.753 106.9855
1.315000 68.808 104.4257
1.320000 68.676 104.0064
1.340000 68.154 102.1689
1.360000 67.650 100.0436
1.380000 67.170 97.5884
1.400000 66.719 94.7614
1.430000 66.109 89.7320
1.450000 65.753 85.7919
1.475000 65.371 80.0927
1.500000 65.019 73.1910
1.525000 64.687 65.1744
1.550000 64.378 56.2314
1.575000 64.095 46.5508
1.600000 63.841 36.3213
1.625000 63.618 25.7318
1.650000 63.429 14.9708
1.675000 63.276 4.2272
1.700000 63.162 -6.3105
1.725000 63.090 -16.4533
1.750000 63.062 -26.0127
1.775000 63.080 -34.7999
1.800000 63.148 -42.6261
1.825000 63.268 -49.3027
1.850000 63.457 -54.8205
1.875000 63.741 -59.5538
1.900000 64.109 -63.5926
1.925000 64.548 -67.0111
1.950000 65.045 -69.8834
1.975000 65.586 -72.2840
2.000000 66.157 -74.2868
2.030000 66.865 -76.2699
2.060000 67.575 -77.9156
2.090000 68.264 -79.3520
2.120000 68.910 -80.7075
2.140000 69.304 -81.6295
2.180000 69.977 -83.6887
2.200000 70.241 -84.8993
2.240000 70.679 -87.2245
2.270000 70.953 -88.7389
2.300000 71.186 -90.0778
2.330000 71.383 -91.2601
2.360000 71.549 -92.3050
2.400000 71.732 -93.5173
2.430000 71.847 -94.3154
2.470000 71.981 -95.2679
2.500000 72.073 -95.9230
2.540000 72.194 -96.7538
2.580000 72.321 -97.5633
2.620000 72.420 -98.2631
2.650000 72.474 -98.7027
2.690000 72.523 -99.1805
2.720000 72.547 -99.4611
2.760000 72.567 -99.7367
2.800000 72.578 -99.9056
2.850000 72.592 -99.9764
2.900000 72.616 -99.9030
2.950000 72.660 -99.6840
3.000000 72.697 -99.2218
3.040000 72.722 -98.6934
3.070000 72.740 -98.2246
3.110000 72.765 -97.5271
3.150000 72.795 -96.7749
3.200000 72.844 -95.8039
3.250000 72.914 -94.8544
3.300000 73.011 -93.9849
3.350000 73.136 -93.1032
3.400000 73.285 -92.1485
3.450000 73.451 -91.1674
3.500000 73.631 -90.2065
3.550000 73.820 -89.3122
3.600000 74.012 -88.5311
3.650000 74.203 -87.9099
3.700000 74.395 -87.4660
3.750000 74.600 -87.1470
3.820000 74.900 -86.8853
3.870000 75.116 -86.8154
3.950000 75.449 -86.8758
4.000000 75.642 -87.0040
4.060000 75.850 -87.2479
4.120000 76.046 -87.6522
4.180000 76.231 -88.1889
4.250000 76.429 -88.9257
4.310000 76.583 -89.6037
4.370000 76.719 -90.2798
4.440000 76.854 -91.0529
4.500000 76.948 -91.7750
4.550000 77.014 -92.4032
4.620000 77.090 -93.2881
4.680000 77.142 -94.0191
4.750000 77.192 -94.7978
4.820000 77.201 -95.4933
4.870000 77.205 -95.9675
4.940000 77.213 -96.5901
5.000000 77.220 -97.0756
5.080000 77.228 -97.6374
5.150000 77.229 -98.0326
5.220000 77.226 -98.3229
5.300000 77.221 -98.5518
5.380000 77.216 -98.7083
5.450000 77.213 -98.8169
5.520000 77.220 -98.9182
5.600000 77.252 -98.9595
5.700000 77.308 -98.9496
5.800000 77.381 -98.9816
5.900000 77.472 -99.1572
6.000000 77.587 -99.4179
6.080000 77.690 -99.6919
6.150000 77.782 -99.9967
6.220000 77.872 -100.3764
6.300000 77.974 -100.9162
6.400000 78.105 -101.7294
6.500000 78.232 -102.6525
6.600000 78.345 -103.6391
6.700000 78.443 -104.7204
6.800000 78.529 -105.8889
6.900000 78.603 -107.0727
7.000000 78.664 -108.2134
7.100000 78.708 -109.3586
7.200000 78.742 -110.4837
7.300000 78.770 -111.5399
7.400000 78.794 -112.4999
7.500000 78.811 -113.3894
7.620000 78.830 -114.3625
7.750000 78.864 -115.2899
7.880000 78.905 -116.0683
8.000000 78.954 -116.7118
8.120000 79.021 -117.3289
8.250000 79.111 -117.9319
8.380000 79.216 -118.5300
8.500000 79.323 -119.1294
8.620000 79.443 -119.7508
8.750000 79.577 -120.4613
8.850000 79.679 -121.0466
9.000000 79.834 -121.9869
9.120000 79.955 -122.7620
9.250000 80.076 -123.6095
9.380000 80.190 -124.4760
9.500000 80.288 -125.2557
9.620000 80.379 -125.9992
9.750000 80.468 -126.7777
9.880000 80.552 -127.5057
10.000000 80.625 -128.1222
10.150000 80.709 -128.8289
10.300000 80.792 -129.4703
10.440000 80.868 -130.0037
10.600000 80.953 -130.5602
10.750000 81.034 -131.0443
10.900000 81.115 -131.4915
11.060000 81.200 -131.9568
11.200000 81.274 -132.3502
11.380000 81.366 -132.8524
11.500000 81.425 -133.1885
11.720000 81.528 -133.8065
11.800000 81.563 -134.0336
12.060000 81.667 -134.7771
12.200000 81.717 -135.1794
12.410000 81.783 -135.7835
12.500000 81.809 -136.0399
12.650000 81.847 -136.4653
12.800000 81.881 -136.8845
13.150000 81.945 -137.8278
13.200000 81.953 -137.9590
13.400000 81.983 -138.4721
13.600000 82.011 -138.9800
13.800000 82.040 -139.4850
14.000000 82.069 -140.0067
14.300000 82.115 -140.8316
14.500000 82.146 -141.4244
14.750000 82.182 -142.2071
15.000000 82.214 -143.0297
15.250000 82.242 -143.8669
15.500000 82.267 -144.6971
15.750000 82.292 -145.5092
16.000000 82.320 -146.2955
16.250000 82.353 -147.0667
16.500000 82.391 -147.8295
16.750000 82.433 -148.5945
17.000000 82.477 -149.3593
17.250000 82.521 -150.1161
17.500000 82.564 -150.8529
17.750000 82.605 -151.5517
18.000000 82.646 -152.2078
18.250000 82.686 -152.8165
18.500000 82.728 -153.3851
18.750000 82.771 -153.9216
19.000000 82.815 -154.4337
19.250000 82.858 -154.9303
19.500000 82.900 -155.4141
19.750000 82.938 -155.8873
20.000000 82.973 -156.3513
20.299999 83.010 -156.8972
20.600000 83.041 -157.4319
20.900000 83.066 -157.9555
21.200001 83.084 -158.4665
21.400000 83.094 -158.8000
21.799999 83.108 -159.4561
22.000000 83.114 -159.7840
22.400000 83.124 -160.4537
22.700001 83.129 -160.9759
23.000000 83.131 -161.5137
23.299999 83.130 -162.0555
23.600000 83.128 -162.5915
24.000000 83.128 -163.2908
24.299999 83.132 -163.8119
24.700001 83.143 -164.5225
25.000000 83.154 -165.0755
25.400000 83.168 -165.8301
25.799999 83.180 -166.5719
26.200001 83.190 -167.2693
26.500000 83.199 -167.7585
26.900000 83.214 -168.3744
27.200001 83.227 -168.8179
27.600000 83.244 -169.3910
28.000000 83.259 -169.9425
28.500000 83.275 -170.6040
29.000000 83.286 -171.2473
29.500000 83.289 -171.8763
30.000000 83.284 -172.4755
30.400000 83.278 -172.9294
30.700001 83.273 -173.2623
31.100000 83.268 -173.7146
31.500000 83.263 -174.1901
32.000000 83.254 -174.8174
32.500000 83.241 -175.4572
33.000000 83.225 -176.0806
33.500000 83.210 -176.6758
34.000000 83.200 -177.2502
34.500000 83.196 -177.8236
35.000000 83.193 -178.4085
35.500000 83.187 -178.9919
36.000000 83.178 -179.5437
36.500000 83.167 179.9506
37.000000 83.160 179.4735
37.500000 83.153 178.9968
38.200001 83.141 178.3128
38.700001 83.126 177.8262
39.500000 83.095 177.0833
40.000000 83.075 176.6443
40.599998 83.053 176.1305
41.200001 83.031 175.6157
41.799999 83.010 175.1052
42.500000 82.986 174.5239
43.099998 82.966 174.0239
43.700001 82.944 173.5271
44.400002 82.918 172.9756
45.000000 82.898 172.5012
45.500000 82.879 172.0856
46.200001 82.845 171.5239
46.799999 82.820 171.0814
47.500000 82.795 170.5032
48.200001 82.751 169.9182
48.700001 82.717 169.6429
49.400002 82.712 169.3676
50.000000 82.738 168.8593
50.799999 82.706 167.8311
51.500000 82.610 167.3588
52.200001 82.566 167.3647
53.000000 82.587 167.0889
53.799999 82.570 166.4705
54.500000 82.528 166.0893
55.200001 82.501 165.7472
56.000000 82.464 165.2648
57.000000 82.412 164.7563
58.000000 82.375 164.1378
59.000000 82.312 163.5290
60.000000 82.263 163.0793
60.799999 82.232 162.6791
61.500000 82.200 162.3269
62.200001 82.169 161.9982
63.000000 82.135 161.6201
64.000000 82.089 161.1362
65.000000 82.041 160.6691
66.000000 81.994 160.2044
67.000000 81.947 159.7508
68.000000 81.901 159.3062
69.000000 81.852 158.8622
70.000000 81.800 158.4604
71.000000 81.753 158.0844
72.000000 81.704 157.6873
73.000000 81.653 157.3173
74.000000 81.604 156.9530
75.000000 81.555 156.5930
76.199997 81.500 156.1843
77.500000 81.440 155.6932
78.800003 81.372 155.2769
80.000000 81.320 154.8796
81.199997 81.260 154.4977
82.500000 81.205 154.0647
83.800003 81.130 153.6680
85.000000 81.078 153.3857
86.199997 81.023 153.0191
87.500000 80.961 152.6685
88.500000 80.912 152.4000
90.000000 80.845 152.0213
91.199997 80.789 151.7179
92.500000 80.729 151.4256
93.800003 80.670 151.1371
95.000000 80.611 150.8624
96.199997 80.556 150.6269
97.500000 80.492 150.3188
98.800003 80.441 150.0525
100.000000 80.375 149.7052
101.500000 80.311 149.5301
103.000000 80.240 149.2439
104.400002 80.197 149.0355
106.000000 80.115 148.7093
107.500000 80.053 148.4678
109.000000 79.983 148.2455
110.599998 79.918 147.9451
112.000000 79.858 147.7340
113.800003 79.783 147.4905
115.000000 79.732 147.3355
117.199997 79.650 147.0923
118.000000 79.613 146.9794
120.599998 79.496 146.6401
122.000000 79.453 146.4995
124.099998 79.367 146.2563
125.000000 79.330 146.0808
126.500000 79.262 146.0110
128.000000 79.207 145.8575
131.500000 79.069 145.5663
132.000000 79.049 145.5279
134.000000 78.979 145.4061
136.000000 78.904 145.2184
138.000000 78.829 145.0253
140.000000 78.751 144.9926
143.000000 78.652 144.7417
145.000000 78.573 144.6181
147.500000 78.491 144.4490
150.000000 78.420 144.3690
152.500000 78.327 144.2642
155.000000 78.244 144.2051
157.500000 78.167 144.1410
160.000000 78.078 144.0937
162.500000 78.000 143.9802
165.000000 77.926 143.9212
167.500000 77.844 143.8910
170.000000 77.765 143.9100
172.500000 77.689 143.9561
175.000000 77.628 143.9156
177.500000 77.556 143.8998
180.000000 77.485 143.9745
182.500000 77.430 143.9825
185.000000 77.359 144.1476
187.500000 77.290 144.1179
190.000000 77.238 144.1103
192.500000 77.188 144.2549
195.000000 77.121 144.2863
197.500000 77.079 144.3695
200.000000 77.048 144.3767
203.000000 76.970 144.2723
206.000000 76.959 144.5160
209.000000 76.853 144.3202
212.000000 76.819 144.3625
214.000000 76.782 144.4058
218.000000 76.696 144.4473
220.000000 76.638 144.4417
224.000000 76.580 144.5229
227.000000 76.522 144.7225
230.000000 76.468 144.6861
233.000000 76.420 144.7155
236.000000 76.376 144.7333
240.000000 76.309 144.7949
243.000000 76.264 144.8176
247.000000 76.188 144.6770
250.000000 76.137 144.8449
254.000000 76.057 144.9659
258.000000 75.985 144.9425
262.000000 75.921 145.0301
265.000000 75.862 145.0852
269.000000 75.808 145.1544
272.000000 75.761 145.2038
276.000000 75.707 145.4783
280.000000 75.628 145.5797
285.000000 75.550 145.7652
290.000000 75.488 145.9616
295.000000 75.406 146.1540
300.000000 75.342 146.3712
304.000000 75.293 146.6561
307.000000 75.241 146.8441
311.000000 75.211 147.1840
315.000000 75.175 147.3402
320.000000 75.151 147.4934
325.000000 75.121 147.7993
