* Measurement data measured by REW V5.20.13
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), R, volume: 0,250
* Format: 256k Log Swept Sine, 1 sweep at -12,0 dBFS with no timing reference
* Dated: 00:08:45 06-02-2024
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Hidizs MP145 Silver R
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 84.203 121.8422
1.015000 84.023 120.9331
1.030000 83.837 120.0172
1.044000 83.656 119.1556
1.060000 83.442 118.1624
1.075000 83.232 117.2224
1.090000 83.014 116.2732
1.106000 82.772 115.2736
1.120000 82.558 114.5352
1.138000 82.280 113.7805
1.150000 82.092 113.3804
1.172000 81.741 112.8155
1.180000 81.611 112.6523
1.206000 81.180 112.2193
1.220000 80.941 112.0163
1.241000 80.573 111.6987
1.250000 80.412 111.5438
1.265000 80.136 111.2415
1.280000 79.853 110.8636
1.315000 79.160 109.5540
1.320000 79.057 109.3051
1.340000 78.634 108.1196
1.360000 78.193 106.5882
1.380000 77.732 104.6545
1.400000 77.251 102.2622
1.430000 76.486 97.6902
1.450000 75.946 93.9045
1.475000 75.225 88.2112
1.500000 74.362 81.1650
1.525000 73.364 72.8774
1.550000 72.260 63.5466
1.575000 71.082 53.3704
1.600000 69.861 42.5472
1.625000 68.626 31.2749
1.650000 67.410 19.7516
1.675000 66.242 8.1755
1.700000 65.154 -3.2556
1.725000 64.175 -14.3434
1.750000 63.338 -24.8899
1.775000 62.673 -34.6970
1.800000 62.210 -43.5667
1.825000 61.980 -51.3009
1.850000 62.015 -57.9280
1.875000 62.314 -63.9167
1.900000 62.842 -69.3371
1.925000 63.566 -74.2383
1.950000 64.450 -78.6697
1.975000 65.460 -82.6805
2.000000 66.560 -86.3201
2.030000 67.952 -90.2668
2.060000 69.364 -93.8349
2.090000 70.737 -97.1096
2.120000 72.011 -100.1760
2.140000 72.776 -102.1466
2.180000 74.022 -106.0245
2.200000 74.469 -107.9801
2.240000 75.151 -111.5048
2.270000 75.545 -113.7115
2.300000 75.850 -115.5939
2.330000 76.078 -117.1969
2.360000 76.241 -118.5656
2.400000 76.376 -120.1040
2.430000 76.430 -121.1012
2.470000 76.464 -122.3077
2.500000 76.473 -123.1786
2.540000 76.489 -124.3802
2.580000 76.522 -125.7081
2.620000 76.513 -127.0636
2.650000 76.472 -128.0533
2.690000 76.377 -129.3006
2.720000 76.279 -130.1571
2.760000 76.120 -131.1572
2.800000 75.934 -131.9539
2.850000 75.676 -132.5944
2.900000 75.404 -132.7574
2.950000 75.120 -132.3648
3.000000 74.750 -131.4650
3.040000 74.402 -130.4202
3.070000 74.124 -129.4620
3.110000 73.748 -127.9697
3.150000 73.386 -126.2531
3.200000 72.982 -123.8264
3.250000 72.673 -121.1291
3.300000 72.497 -118.2029
3.350000 72.448 -114.6650
3.400000 72.492 -110.4283
3.450000 72.613 -105.7908
3.500000 72.797 -101.0501
3.550000 73.030 -96.5043
3.600000 73.296 -92.4509
3.650000 73.580 -89.1879
3.700000 73.897 -86.8357
3.750000 74.292 -85.0735
3.820000 74.930 -83.4123
3.870000 75.411 -82.6864
3.950000 76.152 -82.0891
4.000000 76.555 -81.9365
4.060000 76.949 -81.9168
4.120000 77.293 -82.3676
4.180000 77.596 -83.2149
4.250000 77.900 -84.5204
4.310000 78.118 -85.7532
4.370000 78.298 -86.9454
4.440000 78.458 -88.2249
4.500000 78.544 -89.4371
4.550000 78.586 -90.4987
4.620000 78.604 -91.9873
4.680000 78.588 -93.1940
4.750000 78.544 -94.4289
4.820000 78.465 -95.4827
4.870000 78.377 -96.1933
4.940000 78.223 -97.0896
5.000000 78.073 -97.7289
5.080000 77.866 -98.3333
5.150000 77.693 -98.5710
5.220000 77.500 -98.5152
5.300000 77.264 -98.1603
5.380000 77.037 -97.5815
5.450000 76.871 -96.9627
5.520000 76.753 -96.2774
5.600000 76.659 -95.2126
5.700000 76.594 -93.6481
5.800000 76.584 -92.2096
5.900000 76.631 -91.2557
6.000000 76.758 -90.6061
6.080000 76.895 -90.2955
6.150000 77.020 -90.2151
6.220000 77.133 -90.3451
6.300000 77.253 -90.8001
6.400000 77.409 -91.7806
6.500000 77.550 -93.0604
6.600000 77.656 -94.4711
6.700000 77.720 -96.0852
6.800000 77.755 -97.9048
6.900000 77.763 -99.7525
7.000000 77.748 -101.4814
7.100000 77.699 -103.1994
7.200000 77.629 -104.8620
7.300000 77.558 -106.3709
7.400000 77.491 -107.6618
7.500000 77.415 -108.7825
7.620000 77.338 -109.9424
7.750000 77.306 -110.9946
7.880000 77.315 -111.7674
8.000000 77.363 -112.4009
8.120000 77.456 -113.1098
8.250000 77.611 -113.8758
8.380000 77.797 -114.7310
8.500000 77.980 -115.6961
8.620000 78.184 -116.8044
8.750000 78.406 -118.0954
8.850000 78.562 -119.1274
9.000000 78.788 -120.7919
9.120000 78.953 -122.1046
9.250000 79.111 -123.4260
9.380000 79.248 -124.6898
9.500000 79.365 -125.7379
9.620000 79.474 -126.6286
9.750000 79.581 -127.4472
9.880000 79.688 -128.1321
10.000000 79.791 -128.6334
10.150000 79.921 -129.1029
10.300000 80.060 -129.5044
10.440000 80.198 -129.8059
10.600000 80.358 -130.1165
10.750000 80.506 -130.4303
10.900000 80.652 -130.7440
11.060000 80.794 -131.0833
11.200000 80.909 -131.3886
11.380000 81.041 -131.7516
11.500000 81.118 -131.9671
11.720000 81.244 -132.3117
11.800000 81.286 -132.4150
12.060000 81.409 -132.6942
12.200000 81.471 -132.8382
12.410000 81.557 -133.0543
12.500000 81.590 -133.1668
12.650000 81.643 -133.3760
12.800000 81.688 -133.6126
13.150000 81.758 -134.2803
13.200000 81.764 -134.3800
13.400000 81.778 -134.7908
13.600000 81.783 -135.1967
13.800000 81.779 -135.5835
14.000000 81.776 -135.9776
14.300000 81.778 -136.6074
14.500000 81.785 -137.1043
14.750000 81.798 -137.8393
15.000000 81.810 -138.7064
15.250000 81.818 -139.6736
15.500000 81.822 -140.6824
15.750000 81.826 -141.7005
16.000000 81.836 -142.6894
16.250000 81.860 -143.6628
16.500000 81.898 -144.6315
16.750000 81.949 -145.6200
17.000000 82.007 -146.6250
17.250000 82.069 -147.6271
17.500000 82.130 -148.5968
17.750000 82.190 -149.4875
18.000000 82.251 -150.2880
18.250000 82.315 -150.9877
18.500000 82.384 -151.6091
18.750000 82.457 -152.1721
19.000000 82.531 -152.6949
19.250000 82.602 -153.1902
19.500000 82.668 -153.6532
19.750000 82.727 -154.0811
20.000000 82.778 -154.4687
20.299999 82.832 -154.8922
20.600000 82.877 -155.2876
20.900000 82.913 -155.6762
21.200001 82.939 -156.0719
21.400000 82.949 -156.3385
21.799999 82.957 -156.8729
22.000000 82.956 -157.1416
22.400000 82.949 -157.6959
22.700001 82.941 -158.1486
23.000000 82.932 -158.6498
23.299999 82.921 -159.1969
23.600000 82.908 -159.7769
24.000000 82.891 -160.5798
24.299999 82.884 -161.1961
24.700001 82.883 -162.0414
25.000000 82.888 -162.6955
25.400000 82.901 -163.5810
25.799999 82.919 -164.4459
26.200001 82.943 -165.2579
26.500000 82.964 -165.8273
26.900000 82.998 -166.5390
27.200001 83.025 -167.0396
27.600000 83.060 -167.6592
28.000000 83.091 -168.2202
28.500000 83.125 -168.8548
29.000000 83.148 -169.4415
29.500000 83.156 -169.9725
30.000000 83.154 -170.4322
30.400000 83.153 -170.7818
30.700001 83.154 -171.0678
31.100000 83.152 -171.5132
31.500000 83.141 -172.0226
32.000000 83.113 -172.6780
32.500000 83.080 -173.2820
33.000000 83.058 -173.8443
33.500000 83.050 -174.4249
34.000000 83.054 -175.0579
34.500000 83.061 -175.7345
35.000000 83.068 -176.4320
35.500000 83.070 -177.1159
36.000000 83.065 -177.7432
36.500000 83.057 -178.2903
37.000000 83.050 -178.7702
37.500000 83.043 -179.2094
38.200001 83.033 -179.7877
38.700001 83.025 179.8017
39.500000 83.011 179.0918
40.000000 82.996 178.6198
40.599998 82.974 178.0504
41.200001 82.952 177.4809
41.799999 82.931 176.9057
42.500000 82.907 176.2358
43.099998 82.886 175.6756
43.700001 82.863 175.1503
44.400002 82.839 174.5906
45.000000 82.822 174.1210
45.500000 82.806 173.7213
46.200001 82.778 173.1863
46.799999 82.755 172.7659
47.500000 82.733 172.2538
48.200001 82.707 171.6894
48.700001 82.683 171.2958
49.400002 82.647 170.8116
50.000000 82.625 170.4340
50.799999 82.603 169.8988
51.500000 82.578 169.4133
52.200001 82.550 168.9769
53.000000 82.522 168.4982
53.799999 82.490 167.9783
54.500000 82.455 167.5356
55.200001 82.419 167.1157
56.000000 82.382 166.6328
57.000000 82.338 166.0157
58.000000 82.293 165.3961
59.000000 82.250 164.8488
60.000000 82.213 164.3322
60.799999 82.182 163.9050
61.500000 82.148 163.5367
62.200001 82.110 163.2083
63.000000 82.071 162.8575
64.000000 82.026 162.3551
65.000000 81.975 161.8379
66.000000 81.924 161.3515
67.000000 81.879 160.9102
68.000000 81.839 160.4531
69.000000 81.791 160.0331
70.000000 81.749 159.6626
71.000000 81.702 159.2381
72.000000 81.648 158.8570
73.000000 81.600 158.4716
74.000000 81.548 158.0817
75.000000 81.503 157.7245
76.199997 81.447 157.2482
77.500000 81.382 156.7958
78.800003 81.318 156.3688
80.000000 81.261 155.9979
81.199997 81.206 155.6054
82.500000 81.142 155.2184
83.800003 81.091 154.8304
85.000000 81.034 154.4187
86.199997 80.968 154.0612
87.500000 80.906 153.7341
88.500000 80.860 153.4337
90.000000 80.785 153.0585
91.199997 80.733 152.7578
92.500000 80.667 152.4532
93.800003 80.608 152.1729
95.000000 80.548 151.8858
96.199997 80.493 151.6122
97.500000 80.430 151.2684
98.800003 80.368 151.0276
100.000000 80.325 150.7580
101.500000 80.236 150.4547
103.000000 80.172 150.2861
104.400002 80.093 150.0313
106.000000 80.016 149.8224
107.500000 79.942 149.6101
109.000000 79.875 149.4229
110.599998 79.803 149.2406
112.000000 79.741 149.1143
113.800003 79.667 149.0144
115.000000 79.627 148.9498
117.199997 79.553 148.8424
118.000000 79.526 148.7709
120.599998 79.450 148.6117
122.000000 79.400 148.5147
124.099998 79.348 148.2909
125.000000 79.324 148.2361
126.500000 79.295 148.0385
128.000000 79.249 147.8814
131.500000 79.161 147.3641
132.000000 79.144 147.2741
134.000000 79.078 147.0092
136.000000 79.005 146.7569
138.000000 78.941 146.5116
140.000000 78.866 146.2267
143.000000 78.755 146.0067
145.000000 78.681 145.8002
147.500000 78.598 145.6297
150.000000 78.510 145.4541
152.500000 78.423 145.2929
155.000000 78.337 145.1443
157.500000 78.265 145.0508
160.000000 78.170 144.9257
162.500000 78.094 144.8373
165.000000 78.007 144.7982
167.500000 77.931 144.7372
170.000000 77.855 144.6904
172.500000 77.786 144.7028
175.000000 77.715 144.6868
177.500000 77.634 144.7132
180.000000 77.576 144.7540
182.500000 77.519 144.7222
185.000000 77.458 144.8053
187.500000 77.398 144.7780
190.000000 77.351 144.7310
192.500000 77.284 144.7340
195.000000 77.242 144.6586
197.500000 77.187 144.6595
200.000000 77.119 144.6392
203.000000 77.040 144.6179
206.000000 76.972 144.6712
209.000000 76.909 144.7048
212.000000 76.839 144.7320
214.000000 76.782 144.8302
218.000000 76.702 144.8349
220.000000 76.661 144.9134
224.000000 76.594 145.0547
227.000000 76.536 145.0949
230.000000 76.472 145.1732
233.000000 76.412 145.2457
236.000000 76.358 145.4297
240.000000 76.282 145.6075
243.000000 76.242 145.6536
247.000000 76.191 145.8393
250.000000 76.152 146.0123
254.000000 76.095 146.1946
258.000000 76.046 146.2282
262.000000 76.008 146.3509
265.000000 75.968 146.4384
269.000000 75.918 146.5077
272.000000 75.890 146.6284
276.000000 75.838 146.6888
280.000000 75.803 146.8011
285.000000 75.759 146.8384
290.000000 75.700 146.9412
295.000000 75.629 146.9086
300.000000 75.568 146.8744
304.000000 75.501 146.9623
307.000000 75.471 147.2546
311.000000 75.448 147.2650
315.000000 75.407 147.2760
320.000000 75.345 147.4847
325.000000 75.300 147.5424
