* Measurement data measured by REW V5.20.13
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0,250
* Format: 256k Log Swept Sine, 1 sweep at -12,0 dBFS with no timing reference
* Dated: 10:59:20 25-02-2024
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Hidizs MP145 nofoam L
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 76.640 120.5028
1.015000 76.455 119.5276
1.030000 76.262 118.5375
1.044000 76.075 117.5989
1.060000 75.852 116.5079
1.075000 75.634 115.4660
1.090000 75.408 114.4044
1.106000 75.155 113.2694
1.120000 74.924 112.3828
1.138000 74.613 111.3968
1.150000 74.397 110.8201
1.172000 73.985 109.8918
1.180000 73.831 109.5858
1.206000 73.313 108.6587
1.220000 73.026 108.1758
1.241000 72.584 107.4286
1.250000 72.391 107.0883
1.265000 72.066 106.4785
1.280000 71.737 105.7980
1.315000 70.955 103.8239
1.320000 70.843 103.4869
1.340000 70.390 101.9718
1.360000 69.936 100.1541
1.380000 69.482 97.9866
1.400000 69.030 95.4220
1.430000 68.358 90.7273
1.450000 67.918 86.9634
1.475000 67.371 81.4303
1.500000 66.765 74.6973
1.525000 66.100 66.8593
1.550000 65.392 58.0951
1.575000 64.658 48.5836
1.600000 63.914 38.5038
1.625000 63.177 28.0346
1.650000 62.463 17.3548
1.675000 61.789 6.6435
1.700000 61.170 -3.9206
1.725000 60.624 -14.1584
1.750000 60.167 -23.8910
1.775000 59.815 -32.9397
1.800000 59.585 -41.1253
1.825000 59.494 -48.2692
1.850000 59.563 -54.3909
1.875000 59.803 -59.9019
1.900000 60.192 -64.8694
1.925000 60.708 -69.3422
1.950000 61.328 -73.3694
1.975000 62.029 -77.0000
2.000000 62.789 -80.2829
2.030000 63.746 -83.8324
2.060000 64.715 -87.0366
2.090000 65.658 -89.9799
2.120000 66.535 -92.7472
2.140000 67.063 -94.5360
2.180000 67.934 -98.0920
2.200000 68.253 -99.9074
2.240000 68.756 -103.2351
2.270000 69.056 -105.3683
2.300000 69.299 -107.2282
2.330000 69.491 -108.8486
2.360000 69.639 -110.2630
2.400000 69.780 -111.8868
2.430000 69.851 -112.9518
2.470000 69.914 -114.2321
2.500000 69.945 -115.1311
2.540000 69.979 -116.3123
2.580000 70.013 -117.5323
2.620000 70.002 -118.7089
2.650000 69.962 -119.5303
2.690000 69.873 -120.5205
2.720000 69.784 -121.1683
2.760000 69.644 -121.8822
2.800000 69.485 -122.3978
2.850000 69.277 -122.7190
2.900000 69.071 -122.6273
2.950000 68.878 -122.0593
3.000000 68.636 -120.9524
3.040000 68.411 -119.7278
3.070000 68.235 -118.6442
3.110000 68.001 -117.0187
3.150000 67.781 -115.2322
3.200000 67.548 -112.8482
3.250000 67.387 -110.3868
3.300000 67.328 -107.9426
3.350000 67.372 -105.2372
3.400000 67.495 -102.1546
3.450000 67.682 -98.8782
3.500000 67.918 -95.5911
3.550000 68.185 -92.4768
3.600000 68.470 -89.7186
3.650000 68.755 -87.4996
3.700000 69.049 -85.8996
3.750000 69.388 -84.7294
3.820000 69.913 -83.6841
3.870000 70.299 -83.2783
3.950000 70.892 -83.0519
4.000000 71.219 -83.0798
4.060000 71.549 -83.2434
4.120000 71.843 -83.7631
4.180000 72.105 -84.5822
4.250000 72.372 -85.7776
4.310000 72.566 -86.8888
4.370000 72.729 -87.9700
4.440000 72.875 -89.1516
4.500000 72.959 -90.2602
4.550000 73.004 -91.2250
4.620000 73.033 -92.5733
4.680000 73.034 -93.6663
4.750000 73.014 -94.7899
4.820000 72.965 -95.7505
4.870000 72.904 -96.3928
4.940000 72.794 -97.2035
5.000000 72.686 -97.7901
5.080000 72.539 -98.3727
5.150000 72.420 -98.6532
5.220000 72.288 -98.6925
5.300000 72.128 -98.4997
5.380000 71.977 -98.1335
5.450000 71.870 -97.7370
5.520000 71.801 -97.3078
5.600000 71.757 -96.6183
5.700000 71.743 -95.5938
5.800000 71.771 -94.6762
5.900000 71.843 -94.1332
6.000000 71.974 -93.8297
6.080000 72.106 -93.7523
6.150000 72.226 -93.8347
6.220000 72.337 -94.0813
6.300000 72.457 -94.6016
6.400000 72.613 -95.5734
6.500000 72.757 -96.7807
6.600000 72.871 -98.0939
6.700000 72.952 -99.5732
6.800000 73.009 -101.2171
6.900000 73.043 -102.8796
7.000000 73.056 -104.4403
7.100000 73.040 -105.9886
7.200000 73.005 -107.4865
7.300000 72.967 -108.8512
7.400000 72.929 -110.0299
7.500000 72.882 -111.0633
7.620000 72.834 -112.1391
7.750000 72.819 -113.1151
7.880000 72.833 -113.8421
8.000000 72.875 -114.4275
8.120000 72.954 -115.0501
8.250000 73.081 -115.6930
8.380000 73.234 -116.3943
8.500000 73.387 -117.1817
8.620000 73.558 -118.0756
8.750000 73.746 -119.1243
8.850000 73.880 -119.9782
9.000000 74.076 -121.3696
9.120000 74.221 -122.4850
9.250000 74.359 -123.6345
9.380000 74.481 -124.7591
9.500000 74.584 -125.7134
9.620000 74.679 -126.5508
9.750000 74.771 -127.3531
9.880000 74.861 -128.0480
10.000000 74.946 -128.5809
10.150000 75.051 -129.1186
10.300000 75.161 -129.5858
10.440000 75.271 -129.9476
10.600000 75.398 -130.3190
10.750000 75.517 -130.6699
10.900000 75.637 -131.0085
11.060000 75.756 -131.3722
11.200000 75.854 -131.6941
11.380000 75.970 -132.0904
11.500000 76.039 -132.3397
11.720000 76.154 -132.7667
11.800000 76.193 -132.9086
12.060000 76.307 -133.3353
12.200000 76.363 -133.5606
12.410000 76.440 -133.8978
12.500000 76.470 -134.0537
12.650000 76.517 -134.3264
12.800000 76.557 -134.6136
13.150000 76.623 -135.3427
13.200000 76.630 -135.4478
13.400000 76.649 -135.8704
13.600000 76.661 -136.2856
13.800000 76.669 -136.6847
14.000000 76.678 -137.0936
14.300000 76.696 -137.7466
14.500000 76.713 -138.2491
14.750000 76.734 -138.9679
15.000000 76.754 -139.7883
15.250000 76.767 -140.6764
15.500000 76.775 -141.5810
15.750000 76.781 -142.4738
16.000000 76.792 -143.3226
16.250000 76.814 -144.1416
16.500000 76.849 -144.9435
16.750000 76.896 -145.7537
17.000000 76.950 -146.5788
17.250000 77.008 -147.4085
17.500000 77.066 -148.2255
17.750000 77.124 -148.9958
18.000000 77.181 -149.7093
18.250000 77.239 -150.3554
18.500000 77.299 -150.9443
18.750000 77.360 -151.4860
19.000000 77.421 -151.9898
19.250000 77.479 -152.4614
19.500000 77.532 -152.8989
19.750000 77.581 -153.3015
20.000000 77.625 -153.6706
20.299999 77.672 -154.0821
20.600000 77.712 -154.4734
20.900000 77.744 -154.8576
21.200001 77.766 -155.2377
21.400000 77.776 -155.4842
21.799999 77.788 -155.9586
22.000000 77.791 -156.1919
22.400000 77.798 -156.6781
22.700001 77.803 -157.0913
23.000000 77.806 -157.5646
23.299999 77.805 -158.0869
23.600000 77.798 -158.6336
24.000000 77.786 -159.3608
24.299999 77.779 -159.8903
24.700001 77.781 -160.5889
25.000000 77.790 -161.1275
25.400000 77.809 -161.8778
25.799999 77.830 -162.6434
26.200001 77.851 -163.3813
26.500000 77.867 -163.8958
26.900000 77.890 -164.5203
27.200001 77.908 -164.9432
27.600000 77.935 -165.4519
28.000000 77.964 -165.9092
28.500000 78.000 -166.4409
29.000000 78.032 -166.9699
29.500000 78.051 -167.5052
30.000000 78.055 -168.0213
30.400000 78.051 -168.4106
30.700001 78.046 -168.6952
31.100000 78.038 -169.0808
31.500000 78.028 -169.4852
32.000000 78.015 -170.0238
32.500000 78.000 -170.5973
33.000000 77.984 -171.1933
33.500000 77.966 -171.7827
34.000000 77.953 -172.3330
34.500000 77.948 -172.8447
35.000000 77.954 -173.3493
35.500000 77.966 -173.8729
36.000000 77.976 -174.4119
36.500000 77.980 -174.9439
37.000000 77.976 -175.4355
37.500000 77.966 -175.8542
38.200001 77.957 -176.3325
38.700001 77.960 -176.6863
39.500000 77.954 -177.3990
40.000000 77.934 -177.8563
40.599998 77.903 -178.3217
41.200001 77.882 -178.7398
41.799999 77.868 -179.1904
42.500000 77.852 -179.7478
43.099998 77.840 179.7823
43.700001 77.829 179.3029
44.400002 77.810 178.7390
45.000000 77.788 178.3055
45.500000 77.771 177.9918
46.200001 77.756 177.5632
46.799999 77.743 177.1508
47.500000 77.717 176.6682
48.200001 77.690 176.2609
48.700001 77.679 175.9727
49.400002 77.665 175.4865
50.000000 77.641 175.0517
50.799999 77.602 174.5834
51.500000 77.576 174.2197
52.200001 77.550 173.8472
53.000000 77.521 173.4499
53.799999 77.495 173.0150
54.500000 77.463 172.6219
55.200001 77.431 172.2973
56.000000 77.409 171.8915
57.000000 77.367 171.2747
58.000000 77.321 170.8366
59.000000 77.298 170.3763
60.000000 77.260 169.8814
60.799999 77.226 169.5460
61.500000 77.193 169.2726
62.200001 77.160 169.0373
63.000000 77.130 168.7502
64.000000 77.087 168.2845
65.000000 77.033 167.8651
66.000000 76.990 167.4554
67.000000 76.946 167.0184
68.000000 76.903 166.6266
69.000000 76.856 166.2609
70.000000 76.810 165.9916
71.000000 76.775 165.6685
72.000000 76.722 165.3282
73.000000 76.674 165.0556
74.000000 76.620 164.7503
75.000000 76.576 164.5760
76.199997 76.543 164.1966
77.500000 76.484 163.8182
78.800003 76.429 163.5025
80.000000 76.388 163.2208
81.199997 76.335 162.9121
82.500000 76.299 162.6152
83.800003 76.239 162.1687
85.000000 76.182 161.9214
86.199997 76.134 161.6595
87.500000 76.084 161.3163
88.500000 76.036 161.0966
90.000000 75.981 160.7457
91.199997 75.921 160.4731
92.500000 75.866 160.2579
93.800003 75.804 160.0037
95.000000 75.752 159.8441
96.199997 75.701 159.5930
97.500000 75.643 159.4020
98.800003 75.590 159.1596
100.000000 75.543 159.0484
101.500000 75.499 158.7766
103.000000 75.423 158.5951
104.400002 75.380 158.4333
106.000000 75.300 158.2099
107.500000 75.238 157.9625
109.000000 75.173 157.8431
110.599998 75.112 157.5966
112.000000 75.062 157.3998
113.800003 74.995 157.2217
115.000000 74.944 157.0363
117.199997 74.858 156.9272
118.000000 74.818 156.8467
120.599998 74.718 156.7062
122.000000 74.672 156.5654
124.099998 74.577 156.4498
125.000000 74.558 156.3585
126.500000 74.494 156.2632
128.000000 74.454 156.2031
131.500000 74.323 156.0309
132.000000 74.306 156.0212
134.000000 74.235 155.9097
136.000000 74.161 155.8064
138.000000 74.081 155.7287
140.000000 74.018 155.6301
143.000000 73.923 155.5777
145.000000 73.848 155.5764
147.500000 73.782 155.4583
150.000000 73.705 155.5370
152.500000 73.614 155.5129
155.000000 73.530 155.4750
157.500000 73.458 155.4232
160.000000 73.381 155.4406
162.500000 73.318 155.5236
165.000000 73.242 155.4967
167.500000 73.171 155.5143
170.000000 73.091 155.7050
172.500000 73.019 155.6919
175.000000 72.941 155.6166
177.500000 72.871 155.6886
180.000000 72.820 155.7148
182.500000 72.759 155.8288
185.000000 72.680 155.8789
187.500000 72.625 156.0050
190.000000 72.554 156.1511
192.500000 72.494 156.1641
195.000000 72.436 156.2978
197.500000 72.385 156.3126
200.000000 72.322 156.4121
203.000000 72.265 156.5495
206.000000 72.171 156.6900
209.000000 72.111 156.9648
212.000000 72.046 156.9391
214.000000 72.005 157.0987
218.000000 71.918 157.3843
220.000000 71.879 157.4367
224.000000 71.786 157.5586
227.000000 71.727 157.6932
230.000000 71.683 157.9710
233.000000 71.617 158.1483
236.000000 71.560 158.2531
240.000000 71.489 158.4839
243.000000 71.420 158.7497
247.000000 71.363 158.9901
250.000000 71.300 159.1729
254.000000 71.235 159.4478
258.000000 71.166 159.6524
262.000000 71.110 160.0682
265.000000 71.079 160.3290
269.000000 70.979 160.4147
272.000000 70.941 160.6450
276.000000 70.905 160.7873
280.000000 70.821 161.1219
285.000000 70.754 161.5351
290.000000 70.688 161.8501
295.000000 70.628 162.1377
300.000000 70.555 162.7062
304.000000 70.519 162.6923
307.000000 70.463 163.0088
311.000000 70.434 163.3815
315.000000 70.371 163.6676
320.000000 70.314 163.8835
325.000000 70.265 164.4128
