* Measurement data measured by REW V5.20.13
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0,250
* Format: 256k Log Swept Sine, 1 sweep at -12,0 dBFS with no timing reference
* Dated: 23:32:24 22-02-2024
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Hidizs MP145 noscrew L
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 75.994 120.3271
1.015000 75.799 119.3182
1.030000 75.596 118.2878
1.044000 75.399 117.3051
1.060000 75.164 116.1553
1.075000 74.934 115.0497
1.090000 74.693 113.9156
1.106000 74.424 112.6923
1.120000 74.172 111.7170
1.138000 73.826 110.6015
1.150000 73.582 109.9297
1.172000 73.111 108.8109
1.180000 72.932 108.4309
1.206000 72.332 107.2484
1.220000 71.998 106.6198
1.241000 71.485 105.6459
1.250000 71.263 105.2060
1.265000 70.888 104.4276
1.280000 70.511 103.5765
1.315000 69.633 101.2010
1.320000 69.508 100.8069
1.340000 69.014 99.0654
1.360000 68.530 97.0265
1.380000 68.061 94.6452
1.400000 67.609 91.8768
1.430000 66.973 86.9003
1.450000 66.583 82.9679
1.475000 66.133 77.2452
1.500000 65.678 70.3056
1.525000 65.212 62.2407
1.550000 64.744 53.2379
1.575000 64.280 43.4841
1.600000 63.829 33.1666
1.625000 63.400 22.4725
1.650000 62.999 11.5889
1.675000 62.636 0.7029
1.700000 62.317 -9.9983
1.725000 62.051 -20.3275
1.750000 61.846 -30.0977
1.775000 61.709 -39.1217
1.800000 61.650 -47.2124
1.825000 61.674 -54.1827
1.850000 61.802 -60.0335
1.875000 62.054 -65.1560
1.900000 62.415 -69.6330
1.925000 62.866 -73.5306
1.950000 63.393 -76.9147
1.975000 63.977 -79.8514
2.000000 64.602 -82.4066
2.030000 65.382 -85.0625
2.060000 66.168 -87.3783
2.090000 66.930 -89.4682
2.120000 67.640 -91.4463
2.140000 68.069 -92.7592
2.180000 68.784 -95.5234
2.200000 69.052 -97.0398
2.240000 69.481 -99.9175
2.270000 69.740 -101.8103
2.300000 69.952 -103.4994
2.330000 70.122 -105.0065
2.360000 70.256 -106.3530
2.400000 70.386 -107.9362
2.430000 70.456 -108.9923
2.470000 70.521 -110.2664
2.500000 70.557 -111.1494
2.540000 70.597 -112.2712
2.580000 70.634 -113.3668
2.620000 70.631 -114.3832
2.650000 70.600 -115.0725
2.690000 70.528 -115.8798
2.720000 70.455 -116.3911
2.760000 70.340 -116.9327
2.800000 70.212 -117.2971
2.850000 70.047 -117.4754
2.900000 69.893 -117.3120
2.950000 69.758 -116.7598
3.000000 69.593 -115.7280
3.040000 69.442 -114.6006
3.070000 69.325 -113.6119
3.110000 69.171 -112.1431
3.150000 69.030 -110.5485
3.200000 68.888 -108.4549
3.250000 68.803 -106.3415
3.300000 68.796 -104.3048
3.350000 68.869 -102.1266
3.400000 69.005 -99.6979
3.450000 69.193 -97.1506
3.500000 69.419 -94.6165
3.550000 69.669 -92.2278
3.600000 69.932 -90.1163
3.650000 70.193 -88.4141
3.700000 70.459 -87.1781
3.750000 70.760 -86.2719
3.820000 71.218 -85.4649
3.870000 71.553 -85.1593
3.950000 72.068 -85.0198
4.000000 72.356 -85.0835
4.060000 72.651 -85.2860
4.120000 72.919 -85.7910
4.180000 73.162 -86.5488
4.250000 73.412 -87.6375
4.310000 73.598 -88.6472
4.370000 73.756 -89.6366
4.440000 73.902 -90.7321
4.500000 73.991 -91.7594
4.550000 74.043 -92.6537
4.620000 74.087 -93.9066
4.680000 74.104 -94.9277
4.750000 74.106 -95.9880
4.820000 74.082 -96.9058
4.870000 74.044 -97.5230
4.940000 73.967 -98.3116
5.000000 73.890 -98.8959
5.080000 73.784 -99.5080
5.150000 73.700 -99.8527
5.220000 73.606 -99.9967
5.300000 73.489 -99.9627
5.380000 73.380 -99.7824
5.450000 73.305 -99.5588
5.520000 73.259 -99.3054
5.600000 73.235 -98.8517
5.700000 73.237 -98.1458
5.800000 73.275 -97.5146
5.900000 73.349 -97.1702
6.000000 73.473 -96.9991
6.080000 73.595 -96.9876
6.150000 73.706 -97.0976
6.220000 73.811 -97.3434
6.300000 73.927 -97.8196
6.400000 74.079 -98.6736
6.500000 74.224 -99.7215
6.600000 74.344 -100.8640
6.700000 74.437 -102.1522
6.800000 74.511 -103.5814
6.900000 74.566 -105.0294
7.000000 74.603 -106.3956
7.100000 74.615 -107.7550
7.200000 74.611 -109.0755
7.300000 74.603 -110.2876
7.400000 74.594 -111.3476
7.500000 74.576 -112.2899
7.620000 74.560 -113.2859
7.750000 74.570 -114.2077
7.880000 74.601 -114.9261
8.000000 74.652 -115.5136
8.120000 74.729 -116.1202
8.250000 74.845 -116.7414
8.380000 74.980 -117.3991
8.500000 75.114 -118.1089
8.620000 75.263 -118.8941
8.750000 75.426 -119.8029
8.850000 75.543 -120.5383
9.000000 75.715 -121.7244
9.120000 75.844 -122.6732
9.250000 75.968 -123.6540
9.380000 76.081 -124.6137
9.500000 76.177 -125.4334
9.620000 76.268 -126.1608
9.750000 76.358 -126.8658
9.880000 76.447 -127.4888
10.000000 76.531 -127.9815
10.150000 76.636 -128.4998
10.300000 76.745 -128.9702
10.440000 76.852 -129.3578
10.600000 76.976 -129.7748
10.750000 77.091 -130.1749
10.900000 77.205 -130.5711
11.060000 77.318 -130.9973
11.200000 77.411 -131.3756
11.380000 77.521 -131.8449
11.500000 77.587 -132.1432
11.720000 77.696 -132.6584
11.800000 77.732 -132.8312
12.060000 77.841 -133.3524
12.200000 77.895 -133.6208
12.410000 77.970 -134.0128
12.500000 78.000 -134.1877
12.650000 78.048 -134.4857
12.800000 78.091 -134.7937
13.150000 78.170 -135.5615
13.200000 78.179 -135.6729
13.400000 78.210 -136.1230
13.600000 78.235 -136.5714
13.800000 78.256 -137.0120
14.000000 78.277 -137.4615
14.300000 78.310 -138.1665
14.500000 78.334 -138.6850
14.750000 78.363 -139.3968
15.000000 78.391 -140.1794
15.250000 78.413 -141.0070
15.500000 78.431 -141.8427
15.750000 78.449 -142.6664
16.000000 78.470 -143.4565
16.250000 78.499 -144.2253
16.500000 78.537 -144.9822
16.750000 78.584 -145.7462
17.000000 78.634 -146.5190
17.250000 78.687 -147.2907
17.500000 78.740 -148.0458
17.750000 78.791 -148.7574
18.000000 78.843 -149.4189
18.250000 78.895 -150.0235
18.500000 78.950 -150.5826
18.750000 79.006 -151.1057
19.000000 79.062 -151.6016
19.250000 79.115 -152.0752
19.500000 79.165 -152.5243
19.750000 79.211 -152.9475
20.000000 79.252 -153.3445
20.299999 79.297 -153.7949
20.600000 79.335 -154.2277
20.900000 79.367 -154.6526
21.200001 79.391 -155.0723
21.400000 79.403 -155.3455
21.799999 79.419 -155.8746
22.000000 79.425 -156.1346
22.400000 79.437 -156.6669
22.700001 79.446 -157.1017
23.000000 79.453 -157.5817
23.299999 79.456 -158.0983
23.600000 79.455 -158.6321
24.000000 79.450 -159.3385
24.299999 79.448 -159.8523
24.700001 79.453 -160.5267
25.000000 79.463 -161.0405
25.400000 79.483 -161.7475
25.799999 79.504 -162.4642
26.200001 79.525 -163.1580
26.500000 79.541 -163.6477
26.900000 79.564 -164.2531
27.200001 79.583 -164.6740
27.600000 79.609 -165.1985
28.000000 79.635 -165.6921
28.500000 79.665 -166.2839
29.000000 79.687 -166.8560
29.500000 79.697 -167.3921
30.000000 79.700 -167.8766
30.400000 79.701 -168.2447
30.700001 79.702 -168.5283
31.100000 79.702 -168.9347
31.500000 79.698 -169.3711
32.000000 79.687 -169.9293
32.500000 79.673 -170.4762
33.000000 79.664 -171.0222
33.500000 79.659 -171.5884
34.000000 79.656 -172.1703
34.500000 79.652 -172.7433
35.000000 79.649 -173.2881
35.500000 79.647 -173.7959
36.000000 79.648 -174.2701
36.500000 79.651 -174.7265
37.000000 79.653 -175.1797
37.500000 79.650 -175.6230
38.200001 79.640 -176.1962
38.700001 79.632 -176.5826
39.500000 79.616 -177.2206
40.000000 79.601 -177.6205
40.599998 79.584 -178.0855
41.200001 79.570 -178.5680
41.799999 79.553 -179.0801
42.500000 79.527 -179.6452
43.099998 79.510 179.9269
43.700001 79.500 179.4959
44.400002 79.487 178.9567
45.000000 79.470 178.5106
45.500000 79.454 178.1745
46.200001 79.436 177.7269
46.799999 79.421 177.3318
47.500000 79.400 176.8725
48.200001 79.379 176.4333
48.700001 79.365 176.1154
49.400002 79.345 175.6445
50.000000 79.323 175.2369
50.799999 79.287 174.7421
51.500000 79.257 174.3746
52.200001 79.233 174.0337
53.000000 79.210 173.6109
53.799999 79.180 173.1744
54.500000 79.154 172.8105
55.200001 79.128 172.4286
56.000000 79.092 171.9914
57.000000 79.051 171.5077
58.000000 79.016 170.9964
59.000000 78.977 170.5153
60.000000 78.943 170.0710
60.799999 78.913 169.6969
61.500000 78.881 169.3923
62.200001 78.850 169.1212
63.000000 78.815 168.8018
64.000000 78.768 168.4001
65.000000 78.728 168.0256
66.000000 78.689 167.5512
67.000000 78.636 167.1241
68.000000 78.589 166.7987
69.000000 78.555 166.4785
70.000000 78.521 166.0847
71.000000 78.468 165.7115
72.000000 78.423 165.4469
73.000000 78.385 165.1170
74.000000 78.338 164.7802
75.000000 78.291 164.4798
76.199997 78.238 164.1483
77.500000 78.183 163.7468
78.800003 78.120 163.3972
80.000000 78.068 163.0701
81.199997 78.015 162.7779
82.500000 77.965 162.4157
83.800003 77.904 162.0735
85.000000 77.851 161.8226
86.199997 77.802 161.5356
87.500000 77.737 161.2715
88.500000 77.702 161.1013
90.000000 77.634 160.7017
91.199997 77.579 160.5177
92.500000 77.521 160.2742
93.800003 77.472 160.0684
95.000000 77.413 159.7923
96.199997 77.355 159.6361
97.500000 77.301 159.4154
98.800003 77.245 159.2175
100.000000 77.196 159.0233
101.500000 77.131 158.8158
103.000000 77.077 158.5778
104.400002 77.006 158.3593
106.000000 76.945 158.2187
107.500000 76.886 158.0192
109.000000 76.824 157.8375
110.599998 76.752 157.6493
112.000000 76.694 157.5687
113.800003 76.625 157.3291
115.000000 76.580 157.2020
117.199997 76.479 157.0016
118.000000 76.453 156.9746
120.599998 76.353 156.7250
122.000000 76.298 156.6795
124.099998 76.217 156.5171
125.000000 76.183 156.4844
126.500000 76.125 156.4409
128.000000 76.073 156.3163
131.500000 75.934 156.1191
132.000000 75.909 156.1252
134.000000 75.842 156.0607
136.000000 75.768 155.9158
138.000000 75.700 155.8844
140.000000 75.621 155.9436
143.000000 75.510 155.8616
145.000000 75.445 155.8607
147.500000 75.357 155.8549
150.000000 75.256 155.8187
152.500000 75.158 155.7943
155.000000 75.075 155.8936
157.500000 74.978 156.0464
160.000000 74.872 156.2353
162.500000 74.798 156.5698
165.000000 74.746 157.0832
167.500000 74.736 157.5319
170.000000 74.746 157.7247
172.500000 74.745 157.5951
175.000000 74.722 157.2913
177.500000 74.660 157.0738
180.000000 74.602 156.9357
182.500000 74.535 156.8660
185.000000 74.450 156.8093
187.500000 74.376 156.8107
190.000000 74.310 156.8729
192.500000 74.240 156.8472
195.000000 74.170 156.8952
197.500000 74.116 156.9503
200.000000 74.043 157.0579
203.000000 73.977 157.0692
206.000000 73.910 157.0982
209.000000 73.840 157.3344
212.000000 73.774 157.4271
214.000000 73.731 157.4738
218.000000 73.644 157.6307
220.000000 73.596 157.8339
224.000000 73.503 157.9873
227.000000 73.448 158.2014
230.000000 73.393 158.4030
233.000000 73.332 158.5117
236.000000 73.259 158.7521
240.000000 73.182 158.8221
243.000000 73.122 159.0133
247.000000 73.059 159.4695
250.000000 73.010 159.5756
254.000000 72.917 159.8188
258.000000 72.849 160.0963
262.000000 72.799 160.3300
265.000000 72.735 160.5753
269.000000 72.663 160.8942
272.000000 72.618 161.0020
276.000000 72.549 161.4717
280.000000 72.482 161.6102
285.000000 72.408 162.0186
290.000000 72.337 162.5576
295.000000 72.250 162.8864
300.000000 72.227 163.5382
304.000000 72.188 163.8505
307.000000 72.151 164.1103
311.000000 72.107 164.4324
315.000000 72.094 164.6390
320.000000 72.027 164.8443
325.000000 71.986 165.2744
