* Measurement data measured by REW V5.20.13
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), R, volume: 0,250
* Format: 256k Log Swept Sine, 1 sweep at -12,0 dBFS with no timing reference
* Dated: 23:38:11 22-02-2024
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Hidizs MP145 noscrew R
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 86.861 122.4175
1.015000 86.684 121.5561
1.030000 86.500 120.6944
1.044000 86.322 119.8896
1.060000 86.111 118.9693
1.075000 85.904 118.1059
1.090000 85.690 117.2419
1.106000 85.454 116.2809
1.120000 85.253 115.2000
1.138000 85.004 113.4694
1.150000 84.843 112.1340
1.172000 84.551 109.3857
1.180000 84.445 108.3099
1.206000 84.099 104.6307
1.220000 83.909 102.5868
1.241000 83.613 99.5277
1.250000 83.482 98.2427
1.265000 83.254 96.1677
1.280000 83.016 94.2110
1.315000 82.402 90.3308
1.320000 82.307 89.8766
1.340000 81.905 88.3697
1.360000 81.464 87.4300
1.380000 80.981 87.1525
1.400000 80.451 87.6325
1.430000 79.556 89.9809
1.450000 78.887 92.7709
1.475000 77.945 97.8748
1.500000 76.760 105.3984
1.525000 75.343 115.1485
1.550000 73.744 126.7455
1.575000 72.012 139.8098
1.600000 70.197 153.9618
1.625000 68.346 168.8218
1.650000 66.510 -175.9898
1.675000 64.736 -160.8527
1.700000 63.076 -146.1463
1.725000 61.577 -132.2505
1.750000 60.288 -119.5448
1.775000 59.259 -108.4088
1.800000 58.539 -99.2221
1.825000 58.176 -92.3644
1.850000 58.217 -87.9289
1.875000 58.651 -85.3118
1.900000 59.426 -84.2840
1.925000 60.491 -84.6400
1.950000 61.793 -86.1741
1.975000 63.281 -88.6809
2.000000 64.903 -91.9547
2.030000 66.952 -96.6062
2.060000 69.029 -101.7110
2.090000 71.044 -106.9138
2.120000 72.908 -111.8595
2.140000 74.022 -114.8383
2.180000 75.822 -119.5581
2.200000 76.455 -121.0946
2.240000 77.393 -123.5604
2.270000 77.906 -125.2768
2.300000 78.278 -126.8922
2.330000 78.531 -128.4182
2.360000 78.683 -129.8664
2.400000 78.765 -131.6965
2.430000 78.762 -133.0084
2.470000 78.710 -134.6989
2.500000 78.662 -135.9378
2.540000 78.622 -137.5731
2.580000 78.642 -139.2196
2.620000 78.635 -140.9228
2.650000 78.598 -142.2166
2.690000 78.508 -143.9232
2.720000 78.411 -145.1618
2.760000 78.244 -146.7179
2.800000 78.036 -148.1187
2.850000 77.721 -149.5750
2.900000 77.350 -150.6119
2.950000 76.914 -151.1918
3.000000 76.339 -151.7236
3.040000 75.795 -152.0723
3.070000 75.355 -152.2191
3.110000 74.747 -152.1763
3.150000 74.139 -151.7632
3.200000 73.418 -150.5639
3.250000 72.789 -148.4113
3.300000 72.304 -145.0939
3.350000 71.907 -139.9937
3.400000 71.551 -133.1994
3.450000 71.253 -125.3362
3.500000 71.033 -117.0292
3.550000 70.907 -108.9036
3.600000 70.895 -101.5845
3.650000 71.015 -95.6972
3.700000 71.312 -91.4568
3.750000 71.824 -88.1305
3.820000 72.786 -84.7280
3.870000 73.560 -83.0340
3.950000 74.766 -81.2744
4.000000 75.400 -80.5859
4.060000 75.961 -80.1086
4.120000 76.420 -80.4747
4.180000 76.806 -81.5373
4.250000 77.171 -83.3232
4.310000 77.418 -85.0355
4.370000 77.611 -86.6512
4.440000 77.769 -88.2920
4.500000 77.833 -89.8498
4.550000 77.840 -91.2176
4.620000 77.788 -93.1296
4.680000 77.696 -94.6643
4.750000 77.542 -96.2019
4.820000 77.329 -97.5082
4.870000 77.128 -98.4150
4.940000 76.797 -99.5432
5.000000 76.481 -100.2815
5.080000 76.042 -100.7745
5.150000 75.658 -100.5981
5.220000 75.218 -99.8537
5.300000 74.672 -98.4378
5.380000 74.151 -96.5562
5.450000 73.771 -94.6399
5.520000 73.508 -92.5143
5.600000 73.317 -89.3553
5.700000 73.204 -84.8455
5.800000 73.208 -80.7334
5.900000 73.316 -77.9920
6.000000 73.593 -76.2636
6.080000 73.881 -75.4594
6.150000 74.129 -75.1697
6.220000 74.331 -75.2596
6.300000 74.507 -75.9339
6.400000 74.701 -77.6275
6.500000 74.842 -79.8965
6.600000 74.906 -82.3458
6.700000 74.882 -85.0795
6.800000 74.786 -88.1503
6.900000 74.633 -91.2766
7.000000 74.433 -94.2298
7.100000 74.164 -97.2043
7.200000 73.850 -100.0920
7.300000 73.529 -102.6875
7.400000 73.206 -104.8753
7.500000 72.855 -106.7644
7.620000 72.467 -108.6307
7.750000 72.168 -110.0912
7.880000 71.964 -110.8369
8.000000 71.879 -111.3181
8.120000 71.929 -111.9678
8.250000 72.142 -112.6418
8.380000 72.444 -113.5421
8.500000 72.759 -114.8403
8.620000 73.137 -116.5183
8.750000 73.556 -118.5622
8.850000 73.846 -120.2158
9.000000 74.265 -122.9637
9.120000 74.569 -125.1295
9.250000 74.849 -127.2584
9.380000 75.085 -129.2665
9.500000 75.278 -130.8732
9.620000 75.449 -132.1542
9.750000 75.605 -133.2386
9.880000 75.758 -134.0349
10.000000 75.903 -134.4834
10.150000 76.083 -134.7035
10.300000 76.280 -134.7729
10.440000 76.482 -134.6710
10.600000 76.720 -134.4898
10.750000 76.944 -134.3884
10.900000 77.167 -134.3045
11.060000 77.381 -134.2633
11.200000 77.551 -134.2764
11.380000 77.741 -134.2738
11.500000 77.847 -134.2466
11.720000 78.010 -134.1364
11.800000 78.061 -134.0620
12.060000 78.201 -133.7369
12.200000 78.269 -133.5502
12.410000 78.356 -133.2700
12.500000 78.388 -133.1817
12.650000 78.434 -133.0701
12.800000 78.468 -133.0012
13.150000 78.489 -133.0176
13.200000 78.486 -133.0257
13.400000 78.456 -133.0706
13.600000 78.413 -133.1112
13.800000 78.361 -133.1254
14.000000 78.314 -133.1859
14.300000 78.257 -133.4203
14.500000 78.231 -133.7827
14.750000 78.197 -134.5003
15.000000 78.157 -135.5106
15.250000 78.099 -136.7173
15.500000 78.032 -137.9879
15.750000 77.964 -139.2510
16.000000 77.915 -140.4297
16.250000 77.902 -141.5717
16.500000 77.928 -142.7129
16.750000 77.992 -143.9231
17.000000 78.077 -145.2044
17.250000 78.175 -146.5169
17.500000 78.273 -147.7986
17.750000 78.371 -148.9459
18.000000 78.470 -149.9316
18.250000 78.576 -150.7281
18.500000 78.689 -151.3744
18.750000 78.808 -151.9065
19.000000 78.929 -152.3575
19.250000 79.043 -152.7481
19.500000 79.146 -153.0695
19.750000 79.236 -153.3171
20.000000 79.314 -153.4865
20.299999 79.395 -153.6169
20.600000 79.460 -153.7068
20.900000 79.510 -153.7974
21.200001 79.538 -153.9077
21.400000 79.544 -153.9836
21.799999 79.534 -154.1305
22.000000 79.522 -154.2078
22.400000 79.493 -154.4184
22.700001 79.470 -154.6883
23.000000 79.443 -155.0945
23.299999 79.407 -155.6185
23.600000 79.364 -156.2159
24.000000 79.305 -157.0569
24.299999 79.271 -157.7011
24.700001 79.250 -158.6097
25.000000 79.253 -159.3579
25.400000 79.271 -160.4373
25.799999 79.298 -161.5256
26.200001 79.332 -162.5186
26.500000 79.365 -163.1702
26.900000 79.421 -163.9202
27.200001 79.470 -164.4088
27.600000 79.537 -164.9724
28.000000 79.602 -165.4391
28.500000 79.675 -165.9117
29.000000 79.730 -166.3160
29.500000 79.759 -166.6697
30.000000 79.764 -166.9604
30.400000 79.758 -167.1736
30.700001 79.749 -167.3536
31.100000 79.732 -167.6509
31.500000 79.706 -168.0110
32.000000 79.667 -168.5154
32.500000 79.633 -169.0780
33.000000 79.607 -169.7375
33.500000 79.585 -170.4764
34.000000 79.567 -171.2020
34.500000 79.564 -171.8656
35.000000 79.580 -172.5100
35.500000 79.603 -173.1666
36.000000 79.620 -173.7791
36.500000 79.632 -174.2812
37.000000 79.645 -174.6814
37.500000 79.658 -175.0354
38.200001 79.667 -175.5091
38.700001 79.664 -175.8407
39.500000 79.644 -176.3835
40.000000 79.624 -176.7282
40.599998 79.603 -177.1606
41.200001 79.585 -177.6591
41.799999 79.564 -178.2144
42.500000 79.537 -178.8476
43.099998 79.519 -179.3475
43.700001 79.507 -179.8193
44.400002 79.499 179.6569
45.000000 79.493 179.2112
45.500000 79.484 178.8415
46.200001 79.465 178.3597
46.799999 79.446 177.9781
47.500000 79.423 177.5319
48.200001 79.399 177.0920
48.700001 79.384 176.7786
49.400002 79.364 176.3257
50.000000 79.347 175.9527
50.799999 79.333 175.4660
51.500000 79.319 174.9723
52.200001 79.285 174.5048
53.000000 79.241 174.1527
53.799999 79.215 173.8247
54.500000 79.189 173.4356
55.200001 79.150 173.0722
56.000000 79.119 172.7176
57.000000 79.090 172.0427
58.000000 79.024 171.5219
59.000000 79.018 171.1944
60.000000 78.990 170.5295
60.799999 78.944 170.3240
61.500000 78.945 170.1479
62.200001 78.931 169.6727
63.000000 78.856 169.2574
64.000000 78.810 169.1593
65.000000 78.804 168.5358
66.000000 78.721 167.9590
67.000000 78.692 167.8033
68.000000 78.687 167.2128
69.000000 78.616 166.7789
70.000000 78.582 166.6606
71.000000 78.561 166.2705
72.000000 78.504 165.8465
73.000000 78.443 165.5694
74.000000 78.404 165.3193
75.000000 78.369 164.9153
76.199997 78.302 164.5252
77.500000 78.250 164.2271
78.800003 78.204 163.8695
80.000000 78.152 163.4553
81.199997 78.092 163.1379
82.500000 78.040 162.8095
83.800003 77.985 162.4614
85.000000 77.930 162.2321
86.199997 77.887 161.9863
87.500000 77.831 161.6448
88.500000 77.779 161.4136
90.000000 77.718 161.1523
91.199997 77.674 160.8813
92.500000 77.617 160.6428
93.800003 77.567 160.4024
95.000000 77.511 160.1536
96.199997 77.454 159.9305
97.500000 77.399 159.7044
98.800003 77.346 159.4411
100.000000 77.299 159.3116
101.500000 77.244 159.0427
103.000000 77.177 158.9083
104.400002 77.118 158.7140
106.000000 77.050 158.5043
107.500000 76.996 158.3361
109.000000 76.934 158.0672
110.599998 76.872 157.9510
112.000000 76.814 157.7809
113.800003 76.741 157.5607
115.000000 76.691 157.4802
117.199997 76.609 157.2624
118.000000 76.582 157.1944
120.599998 76.483 156.9439
122.000000 76.429 156.7588
124.099998 76.350 156.6259
125.000000 76.311 156.5375
126.500000 76.254 156.5734
128.000000 76.213 156.3911
131.500000 76.067 156.3055
132.000000 76.054 156.3203
134.000000 75.988 156.1979
136.000000 75.912 156.0994
138.000000 75.853 155.9085
140.000000 75.776 155.8996
143.000000 75.675 155.7358
145.000000 75.611 155.7310
147.500000 75.532 155.6132
150.000000 75.452 155.6657
152.500000 75.366 155.6324
155.000000 75.286 155.6165
157.500000 75.214 155.5555
160.000000 75.135 155.6277
162.500000 75.059 155.5794
165.000000 74.982 155.7043
167.500000 74.917 155.6316
170.000000 74.842 155.7392
172.500000 74.763 155.7514
175.000000 74.691 155.9088
177.500000 74.626 155.8930
180.000000 74.551 155.8905
182.500000 74.490 155.8889
185.000000 74.413 156.0815
187.500000 74.346 156.0412
190.000000 74.284 156.1676
192.500000 74.219 156.3891
195.000000 74.170 156.4380
197.500000 74.097 156.5960
200.000000 74.026 156.6309
203.000000 73.973 156.6423
206.000000 73.937 156.6287
209.000000 73.843 157.0604
212.000000 73.742 157.2919
214.000000 73.709 157.2803
218.000000 73.608 157.5586
220.000000 73.543 157.8697
224.000000 73.475 158.1833
227.000000 73.409 158.4432
230.000000 73.365 158.7030
233.000000 73.313 159.1410
236.000000 73.278 159.3682
240.000000 73.239 159.7364
243.000000 73.207 159.9458
247.000000 73.195 160.0739
250.000000 73.161 160.1219
254.000000 73.111 160.1489
258.000000 73.056 160.1625
262.000000 72.978 160.3684
265.000000 72.940 160.3717
269.000000 72.865 160.5283
272.000000 72.821 160.7923
276.000000 72.735 160.9854
280.000000 72.694 161.2466
285.000000 72.589 161.5109
290.000000 72.527 161.7530
295.000000 72.445 162.0442
300.000000 72.373 162.4011
304.000000 72.317 162.7089
307.000000 72.274 162.8521
311.000000 72.214 163.2314
315.000000 72.175 163.3925
320.000000 72.117 163.8358
