* Measurement data measured by REW V5.20.13
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), R, volume: 0,250
* Format: 256k Log Swept Sine, 1 sweep at -12,0 dBFS with no timing reference
* Dated: 14:35:47 13-07-2024
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: ISN H60 L
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 85.400 121.3387
1.015000 85.269 120.5009
1.030000 85.134 119.6681
1.044000 85.005 118.8957
1.060000 84.854 118.0190
1.075000 84.709 117.2034
1.090000 84.561 116.3941
1.106000 84.399 115.5363
1.120000 84.255 114.7782
1.138000 84.069 113.7924
1.150000 83.944 113.1296
1.172000 83.712 111.9069
1.180000 83.626 111.4608
1.206000 83.343 110.0101
1.220000 83.187 109.2310
1.241000 82.948 108.0695
1.250000 82.844 107.5754
1.265000 82.668 106.7584
1.280000 82.488 105.9513
1.315000 82.052 104.1173
1.320000 81.988 103.8619
1.340000 81.726 102.8602
1.360000 81.456 101.8932
1.380000 81.177 100.9655
1.400000 80.887 100.0819
1.430000 80.434 98.8490
1.450000 80.118 98.0954
1.475000 79.705 97.2179
1.500000 79.260 96.2484
1.525000 78.787 95.1839
1.550000 78.288 94.0678
1.575000 77.769 92.9432
1.600000 77.234 91.8533
1.625000 76.688 90.8413
1.650000 76.135 89.9505
1.675000 75.580 89.2241
1.700000 75.028 88.7052
1.725000 74.483 88.4372
1.750000 73.949 88.4632
1.775000 73.432 88.8264
1.800000 72.936 89.5700
1.825000 72.466 90.7373
1.850000 72.008 92.4350
1.875000 71.530 94.7858
1.900000 71.037 97.7020
1.925000 70.537 101.0879
1.950000 70.037 104.8477
1.975000 69.545 108.8858
2.000000 69.068 113.1066
2.030000 68.527 118.2778
2.060000 68.032 123.4088
2.090000 67.597 128.3343
2.120000 67.234 132.8889
2.140000 67.039 135.6376
2.180000 66.779 140.2242
2.200000 66.722 141.9667
2.240000 66.786 144.8127
2.270000 66.977 146.5733
2.300000 67.269 148.0258
2.330000 67.640 149.1818
2.360000 68.069 150.0526
2.400000 68.698 150.7895
2.430000 69.185 151.0389
2.470000 69.814 150.9887
2.500000 70.245 150.6787
2.540000 70.727 149.9238
2.580000 71.067 148.7697
2.620000 71.337 146.9768
2.650000 71.510 145.2291
2.690000 71.709 142.4463
2.720000 71.837 140.0776
2.760000 71.986 136.6287
2.800000 72.117 132.9447
2.850000 72.267 128.1702
2.900000 72.415 123.4000
2.950000 72.570 118.7787
3.000000 72.707 113.9181
3.040000 72.800 109.8307
3.070000 72.864 106.6814
3.110000 72.941 102.4098
3.150000 73.015 98.1004
3.200000 73.106 92.7350
3.250000 73.201 87.4830
3.300000 73.308 82.4387
3.350000 73.427 77.4806
3.400000 73.554 72.5144
3.450000 73.684 67.5925
3.500000 73.812 62.7673
3.550000 73.934 58.0912
3.600000 74.045 53.6166
3.650000 74.141 49.3959
3.700000 74.221 45.4287
3.750000 74.295 41.6248
3.820000 74.385 36.6024
3.870000 74.435 33.2579
3.950000 74.483 28.3819
4.000000 74.489 25.6619
4.060000 74.465 22.7444
4.120000 74.401 20.1374
4.180000 74.308 17.8581
4.250000 74.176 15.6555
4.310000 74.056 14.1955
4.370000 73.943 13.1643
4.440000 73.815 12.5809
4.500000 73.677 12.6697
4.550000 73.556 13.0838
4.620000 73.402 14.0549
4.680000 73.311 15.1313
4.750000 73.284 16.5177
4.820000 73.359 18.1629
4.870000 73.460 19.6683
4.940000 73.656 22.0145
5.000000 73.864 24.0415
5.080000 74.180 26.4227
5.150000 74.479 27.9102
5.220000 74.837 28.9991
5.300000 75.303 29.8984
5.380000 75.783 30.4617
5.450000 76.176 30.7055
5.520000 76.516 30.7240
5.600000 76.875 30.3339
5.700000 77.285 29.3909
5.800000 77.633 28.2446
5.900000 77.902 27.1634
6.000000 78.090 25.9331
6.080000 78.193 24.9086
6.150000 78.254 24.0800
6.220000 78.294 23.3943
6.300000 78.305 22.7685
6.400000 78.262 22.1230
6.500000 78.185 21.7140
6.600000 78.105 21.6330
6.700000 78.011 21.9465
6.800000 77.901 22.5767
6.900000 77.806 23.4047
7.000000 77.755 24.3470
7.100000 77.738 25.5514
7.200000 77.748 26.8655
7.300000 77.783 28.0623
7.400000 77.851 29.0301
7.500000 77.955 29.8975
7.620000 78.093 30.7223
7.750000 78.221 31.2209
7.880000 78.344 31.2939
8.000000 78.436 31.1354
8.120000 78.482 30.8677
8.250000 78.488 30.3613
8.380000 78.457 29.8117
8.500000 78.394 29.4067
8.620000 78.294 29.0293
8.750000 78.169 28.7208
8.850000 78.072 28.6090
9.000000 77.909 28.6258
9.120000 77.787 28.7182
9.250000 77.678 28.8673
9.380000 77.585 29.0939
9.500000 77.516 29.2416
9.620000 77.467 29.2673
9.750000 77.433 29.2073
9.880000 77.405 29.0021
10.000000 77.381 28.6445
10.150000 77.356 28.0152
10.300000 77.323 27.2657
10.440000 77.283 26.4344
10.600000 77.231 25.4216
10.750000 77.177 24.4852
10.900000 77.121 23.5414
11.060000 77.073 22.5846
11.200000 77.040 21.7901
11.380000 77.016 20.7906
11.500000 77.015 20.1366
11.720000 77.037 18.9433
11.800000 77.052 18.4991
12.060000 77.122 17.0478
12.200000 77.165 16.2830
12.410000 77.238 15.1757
12.500000 77.270 14.7457
12.650000 77.325 14.0784
12.800000 77.384 13.4864
13.150000 77.546 12.4433
13.200000 77.572 12.3194
13.400000 77.686 11.8954
13.600000 77.806 11.5165
13.800000 77.929 11.1551
14.000000 78.044 10.8120
14.300000 78.191 10.3506
14.500000 78.264 10.1350
14.750000 78.336 10.0236
15.000000 78.392 10.1027
15.250000 78.445 10.3432
15.500000 78.499 10.6394
15.750000 78.555 10.9271
16.000000 78.603 11.1144
16.250000 78.630 11.2092
16.500000 78.634 11.2342
16.750000 78.610 11.2442
17.000000 78.569 11.2838
17.250000 78.516 11.3469
17.500000 78.464 11.4174
17.750000 78.415 11.4223
18.000000 78.369 11.3326
18.250000 78.323 11.1166
18.500000 78.273 10.7900
18.750000 78.219 10.3820
19.000000 78.163 9.9196
19.250000 78.112 9.4311
19.500000 78.069 8.9128
19.750000 78.038 8.3631
20.000000 78.018 7.7720
20.299999 78.008 7.0241
20.600000 78.009 6.2635
20.900000 78.022 5.5301
21.200001 78.047 4.8563
21.400000 78.072 4.4416
21.799999 78.136 3.6842
22.000000 78.172 3.3405
22.400000 78.243 2.7381
22.700001 78.293 2.3925
23.000000 78.340 2.1613
23.299999 78.386 2.0293
23.600000 78.433 1.9587
24.000000 78.491 1.8955
24.299999 78.523 1.8440
24.700001 78.544 1.7835
25.000000 78.543 1.7664
25.400000 78.529 1.7833
25.799999 78.507 1.7920
26.200001 78.479 1.7237
26.500000 78.451 1.6068
26.900000 78.405 1.3787
27.200001 78.367 1.1691
27.600000 78.318 0.8427
28.000000 78.276 0.4509
28.500000 78.234 -0.1266
29.000000 78.206 -0.7492
29.500000 78.199 -1.3836
30.000000 78.209 -2.0359
30.400000 78.221 -2.5463
30.700001 78.229 -2.8879
31.100000 78.241 -3.2476
31.500000 78.258 -3.4992
32.000000 78.291 -3.7323
32.500000 78.324 -3.9531
33.000000 78.342 -4.1598
33.500000 78.345 -4.3169
34.000000 78.337 -4.4362
34.500000 78.321 -4.5597
35.000000 78.297 -4.7101
35.500000 78.270 -4.9046
36.000000 78.240 -5.1623
36.500000 78.206 -5.4693
37.000000 78.173 -5.7795
37.500000 78.150 -6.0852
38.200001 78.138 -6.5911
38.700001 78.131 -7.0088
39.500000 78.114 -7.5754
40.000000 78.111 -7.8389
40.599998 78.115 -8.1317
41.200001 78.117 -8.4157
41.799999 78.114 -8.6716
42.500000 78.104 -8.9565
43.099998 78.088 -9.1924
43.700001 78.071 -9.4192
44.400002 78.051 -9.7248
45.000000 78.028 -10.0145
45.500000 78.008 -10.2301
46.200001 77.991 -10.5335
46.799999 77.978 -10.8814
47.500000 77.940 -11.2753
48.200001 77.900 -11.4449
48.700001 77.893 -11.5055
49.400002 77.903 -11.7752
50.000000 77.891 -12.1566
50.799999 77.849 -12.5387
51.500000 77.829 -12.7913
52.200001 77.812 -13.1631
53.000000 77.774 -13.5291
53.799999 77.757 -13.7796
54.500000 77.747 -14.1030
55.200001 77.721 -14.3742
56.000000 77.704 -14.5637
57.000000 77.679 -14.9696
58.000000 77.625 -15.2078
59.000000 77.603 -15.4762
60.000000 77.564 -15.9254
60.799999 77.532 -16.2169
61.500000 77.512 -16.4996
62.200001 77.489 -16.7973
63.000000 77.458 -17.0477
64.000000 77.438 -17.2688
65.000000 77.413 -17.6287
66.000000 77.357 -17.8542
67.000000 77.327 -18.0833
68.000000 77.251 -18.5206
69.000000 77.182 -18.4661
70.000000 77.202 -18.7342
71.000000 77.162 -19.3651
72.000000 77.114 -19.6310
73.000000 77.085 -19.9023
74.000000 77.055 -20.1127
75.000000 77.023 -20.3757
76.199997 76.965 -20.5612
77.500000 76.907 -20.7386
78.800003 76.863 -20.8859
80.000000 76.797 -21.1861
81.199997 76.758 -21.1017
82.500000 76.760 -21.5647
83.800003 76.713 -21.8350
85.000000 76.726 -22.1829
86.199997 76.693 -22.7150
87.500000 76.634 -22.9571
88.500000 76.598 -23.0353
90.000000 76.572 -23.1712
91.199997 76.528 -23.6308
92.500000 76.452 -23.8588
93.800003 76.397 -24.0993
95.000000 76.369 -24.2142
96.199997 76.344 -24.5832
97.500000 76.292 -24.7797
98.800003 76.248 -25.1654
100.000000 76.164 -25.2882
101.500000 76.128 -25.3991
103.000000 76.067 -25.6562
104.400002 76.038 -25.8910
106.000000 75.955 -26.1453
107.500000 75.906 -26.3245
109.000000 75.868 -26.5098
110.599998 75.782 -26.8287
112.000000 75.760 -26.9741
113.800003 75.679 -26.8721
115.000000 75.646 -27.0400
117.199997 75.563 -26.8916
118.000000 75.528 -26.8444
120.599998 75.454 -27.0061
122.000000 75.444 -27.1735
124.099998 75.404 -27.4363
125.000000 75.399 -27.7247
126.500000 75.338 -27.9800
128.000000 75.308 -28.0021
131.500000 75.224 -28.3920
132.000000 75.203 -28.4732
134.000000 75.135 -28.6312
136.000000 75.081 -28.8490
138.000000 75.025 -29.0016
140.000000 74.939 -29.2180
143.000000 74.841 -29.4112
145.000000 74.780 -29.6241
147.500000 74.697 -29.9095
150.000000 74.621 -29.9256
152.500000 74.551 -30.0866
155.000000 74.482 -30.1937
157.500000 74.416 -30.2214
160.000000 74.327 -30.4022
162.500000 74.262 -30.4547
165.000000 74.187 -30.4233
167.500000 74.100 -30.5320
170.000000 74.036 -30.6502
172.500000 73.961 -30.7250
175.000000 73.907 -30.6945
177.500000 73.823 -30.7812
180.000000 73.773 -30.7397
182.500000 73.715 -30.8679
185.000000 73.639 -30.8416
187.500000 73.571 -30.8932
190.000000 73.504 -30.9059
192.500000 73.436 -30.8986
195.000000 73.388 -30.8912
197.500000 73.332 -30.8461
200.000000 73.246 -30.7325
203.000000 73.178 -30.7004
206.000000 73.108 -30.8009
209.000000 73.038 -30.7642
212.000000 72.996 -30.8029
214.000000 72.954 -30.6406
218.000000 72.847 -30.5936
220.000000 72.797 -30.4791
224.000000 72.722 -30.2827
227.000000 72.663 -30.3616
230.000000 72.601 -30.1559
233.000000 72.523 -30.1619
236.000000 72.454 -30.0980
240.000000 72.397 -29.9121
243.000000 72.338 -29.7482
247.000000 72.255 -29.6583
250.000000 72.200 -29.4549
254.000000 72.116 -29.3734
258.000000 72.042 -29.1594
262.000000 71.990 -29.0754
265.000000 71.956 -28.7921
269.000000 71.882 -28.6898
272.000000 71.842 -28.4990
276.000000 71.798 -28.3364
280.000000 71.740 -28.0918
285.000000 71.644 -27.9603
290.000000 71.586 -27.7935
295.000000 71.494 -27.4933
300.000000 71.478 -27.1460
304.000000 71.400 -26.9917
307.000000 71.365 -26.8830
311.000000 71.315 -26.8515
315.000000 71.260 -26.5208
320.000000 71.201 -26.3194
325.000000 71.149 -25.9442
330.000000 71.080 -25.7780
335.000000 71.026 -25.7181
340.000000 70.971 -25.0702
345.000000 70.934 -24.8828
