* Measurement data measured by REW V5.20.13
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), R, volume: 0,250
* Format: 256k Log Swept Sine, 1 sweep at -12,0 dBFS with no timing reference
* Dated: 14:32:19 13-07-2024
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: ISN H60 R
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 85.189 122.1213
1.015000 85.049 121.3047
1.030000 84.905 120.4943
1.044000 84.768 119.7440
1.060000 84.606 118.8941
1.075000 84.451 118.1053
1.090000 84.291 117.3245
1.106000 84.116 116.4977
1.120000 83.962 115.7611
1.138000 83.763 114.7945
1.150000 83.629 114.1403
1.172000 83.381 112.9265
1.180000 83.290 112.4820
1.206000 82.988 111.0334
1.220000 82.822 110.2550
1.241000 82.567 109.0963
1.250000 82.456 108.6048
1.265000 82.267 107.7949
1.280000 82.073 106.9992
1.315000 81.602 105.2152
1.320000 81.533 104.9703
1.340000 81.247 104.0202
1.360000 80.950 103.1228
1.380000 80.641 102.2854
1.400000 80.319 101.5152
1.430000 79.809 100.5020
1.450000 79.451 99.9320
1.475000 78.976 99.3258
1.500000 78.446 98.6414
1.525000 77.863 97.8720
1.550000 77.238 97.0662
1.575000 76.580 96.2725
1.600000 75.899 95.5396
1.625000 75.206 94.9160
1.650000 74.510 94.4502
1.675000 73.822 94.1908
1.700000 73.151 94.1864
1.725000 72.507 94.4856
1.750000 71.902 95.1369
1.775000 71.344 96.1889
1.800000 70.843 97.6901
1.825000 70.411 99.6891
1.850000 70.042 102.3441
1.875000 69.706 105.8691
1.900000 69.402 110.1409
1.925000 69.129 115.0232
1.950000 68.888 120.3798
1.975000 68.678 126.0744
2.000000 68.499 131.9708
2.030000 68.325 139.1210
2.060000 68.196 146.1302
2.090000 68.110 152.7629
2.120000 68.067 158.7836
2.140000 68.063 162.3413
2.180000 68.112 168.0477
2.200000 68.165 170.0595
2.240000 68.389 172.8239
2.270000 68.663 174.0542
2.300000 69.008 174.6533
2.330000 69.407 174.7036
2.360000 69.844 174.2875
2.400000 70.457 173.1493
2.430000 70.916 171.9649
2.470000 71.498 170.1010
2.500000 71.888 168.5965
2.540000 72.316 166.6046
2.580000 72.609 164.7414
2.620000 72.818 162.5775
2.650000 72.935 160.7066
2.690000 73.045 157.9245
2.720000 73.099 155.6513
2.760000 73.140 152.4143
2.800000 73.155 148.9908
2.850000 73.152 144.5305
2.900000 73.144 139.9663
2.950000 73.142 135.3676
3.000000 73.106 130.5124
3.040000 73.052 126.4366
3.070000 73.001 123.2906
3.110000 72.923 119.0044
3.150000 72.840 114.6453
3.200000 72.737 109.1463
3.250000 72.649 103.6543
3.300000 72.585 98.2351
3.350000 72.542 92.7387
3.400000 72.508 87.0905
3.450000 72.483 81.3814
3.500000 72.463 75.7024
3.550000 72.447 70.1444
3.600000 72.432 64.7985
3.650000 72.416 59.7556
3.700000 72.404 55.0081
3.750000 72.403 50.3884
3.820000 72.411 44.2050
3.870000 72.415 40.0525
3.950000 72.397 33.9911
4.000000 72.361 30.6370
4.060000 72.282 27.0906
4.120000 72.163 23.9309
4.180000 72.018 21.1816
4.250000 71.829 18.5637
4.310000 71.666 16.8857
4.370000 71.515 15.7863
4.440000 71.346 15.3615
4.500000 71.168 15.8243
4.550000 71.014 16.6715
4.620000 70.828 18.3554
4.680000 70.729 20.0683
4.750000 70.727 22.1316
4.820000 70.878 24.4036
4.870000 71.063 26.4046
4.940000 71.403 29.4495
5.000000 71.746 32.0216
5.080000 72.237 34.9547
5.150000 72.667 36.6714
5.220000 73.152 37.7333
5.300000 73.759 38.3819
5.380000 74.371 38.5722
5.450000 74.864 38.4811
5.520000 75.286 38.2257
5.600000 75.714 37.5045
5.700000 76.185 36.1167
5.800000 76.578 34.5535
5.900000 76.883 33.1419
6.000000 77.094 31.6431
6.080000 77.206 30.4424
6.150000 77.272 29.4899
6.220000 77.316 28.7107
6.300000 77.330 28.0184
6.400000 77.285 27.3472
6.500000 77.205 26.9664
6.600000 77.127 26.9569
6.700000 77.039 27.4053
6.800000 76.937 28.2227
6.900000 76.856 29.2474
7.000000 76.828 30.3613
7.100000 76.843 31.7402
7.200000 76.890 33.2174
7.300000 76.964 34.5375
7.400000 77.067 35.5667
7.500000 77.210 36.4457
7.620000 77.391 37.2469
7.750000 77.554 37.7029
7.880000 77.703 37.6954
8.000000 77.812 37.4607
8.120000 77.869 37.1476
8.250000 77.880 36.6109
8.380000 77.850 36.0593
8.500000 77.788 35.6896
8.620000 77.687 35.3811
8.750000 77.561 35.1705
8.850000 77.466 35.1453
9.000000 77.311 35.3224
9.120000 77.197 35.5403
9.250000 77.102 35.8020
9.380000 77.027 36.1285
9.500000 76.973 36.3428
9.620000 76.938 36.3995
9.750000 76.920 36.3403
9.880000 76.905 36.1140
10.000000 76.888 35.7180
10.150000 76.868 35.0164
10.300000 76.834 34.1932
10.440000 76.788 33.2910
10.600000 76.726 32.2005
10.750000 76.661 31.2036
10.900000 76.592 30.2068
11.060000 76.531 29.1987
11.200000 76.487 28.3653
11.380000 76.451 27.3120
11.500000 76.445 26.6180
11.720000 76.459 25.3406
11.800000 76.472 24.8602
12.060000 76.540 23.2748
12.200000 76.584 22.4297
12.410000 76.659 21.1928
12.500000 76.693 20.7065
12.650000 76.752 19.9434
12.800000 76.817 19.2550
13.150000 76.994 17.9878
13.200000 77.023 17.8324
13.400000 77.148 17.2820
13.600000 77.278 16.7824
13.800000 77.412 16.3066
14.000000 77.536 15.8626
14.300000 77.697 15.2783
14.500000 77.780 15.0041
14.750000 77.866 14.8398
15.000000 77.936 14.8849
15.250000 78.006 15.0968
15.500000 78.078 15.3624
15.750000 78.150 15.6148
16.000000 78.212 15.7633
16.250000 78.252 15.8242
16.500000 78.264 15.8242
16.750000 78.247 15.8236
17.000000 78.212 15.8653
17.250000 78.165 15.9401
17.500000 78.118 16.0274
17.750000 78.075 16.0488
18.000000 78.033 15.9734
18.250000 77.992 15.7679
18.500000 77.945 15.4466
18.750000 77.895 15.0364
19.000000 77.842 14.5625
19.250000 77.793 14.0497
19.500000 77.751 13.4952
19.750000 77.719 12.8985
20.000000 77.697 12.2556
20.299999 77.683 11.4476
20.600000 77.680 10.6349
20.900000 77.689 9.8594
21.200001 77.715 9.1486
21.400000 77.741 8.7073
21.799999 77.811 7.8869
22.000000 77.851 7.5066
22.400000 77.931 6.8261
22.700001 77.987 6.4258
23.000000 78.040 6.1478
23.299999 78.093 5.9758
23.600000 78.147 5.8688
24.000000 78.215 5.7586
24.299999 78.253 5.6745
24.700001 78.280 5.5805
25.000000 78.283 5.5502
25.400000 78.273 5.5658
25.799999 78.255 5.5840
26.200001 78.230 5.5273
26.500000 78.204 5.4190
26.900000 78.159 5.2044
27.200001 78.123 5.0074
27.600000 78.076 4.6969
28.000000 78.038 4.3065
28.500000 78.002 3.6902
29.000000 77.975 2.9881
29.500000 77.962 2.2736
30.000000 77.965 1.5852
30.400000 77.976 1.0768
30.700001 77.988 0.7384
31.100000 78.011 0.3565
31.500000 78.041 0.0366
32.000000 78.082 -0.3275
32.500000 78.111 -0.6605
33.000000 78.123 -0.8973
33.500000 78.125 -1.0109
34.000000 78.128 -1.0861
34.500000 78.127 -1.2282
35.000000 78.111 -1.4472
35.500000 78.082 -1.6898
36.000000 78.049 -1.9340
36.500000 78.020 -2.2066
37.000000 77.997 -2.5331
37.500000 77.978 -2.9099
38.200001 77.959 -3.4769
38.700001 77.950 -3.8792
39.500000 77.946 -4.5076
40.000000 77.941 -4.8826
40.599998 77.928 -5.2431
41.200001 77.917 -5.4571
41.799999 77.921 -5.6306
42.500000 77.927 -5.9474
43.099998 77.915 -6.2736
43.700001 77.892 -6.5630
44.400002 77.864 -6.8686
45.000000 77.843 -7.1306
45.500000 77.829 -7.3571
46.200001 77.813 -7.7187
46.799999 77.795 -8.0553
47.500000 77.768 -8.4020
48.200001 77.742 -8.6907
48.700001 77.722 -8.8630
49.400002 77.700 -9.0436
50.000000 77.691 -9.2089
50.799999 77.676 -9.5392
51.500000 77.649 -9.8098
52.200001 77.632 -10.0096
53.000000 77.630 -10.3197
53.799999 77.621 -10.7174
54.500000 77.607 -11.0103
55.200001 77.599 -11.2668
56.000000 77.591 -11.5972
57.000000 77.562 -12.0028
58.000000 77.524 -12.3490
59.000000 77.480 -12.7023
60.000000 77.437 -13.0549
60.799999 77.406 -13.3786
61.500000 77.379 -13.6747
62.200001 77.352 -13.9493
63.000000 77.327 -14.2316
64.000000 77.296 -14.5540
65.000000 77.269 -14.7599
66.000000 77.251 -15.0551
67.000000 77.194 -15.2656
68.000000 77.192 -15.3005
69.000000 77.175 -15.9862
70.000000 77.063 -16.2963
71.000000 77.032 -16.2728
72.000000 76.997 -16.6319
73.000000 76.940 -16.7469
74.000000 76.905 -16.8810
75.000000 76.855 -16.9323
76.199997 76.821 -16.8967
77.500000 76.815 -16.6892
78.800003 76.850 -17.2300
80.000000 76.749 -17.3366
81.199997 76.782 -17.2122
82.500000 76.770 -17.7704
83.800003 76.732 -18.0833
85.000000 76.728 -18.3121
86.199997 76.727 -18.7160
87.500000 76.712 -19.0958
88.500000 76.687 -19.3648
90.000000 76.661 -19.6956
91.199997 76.623 -20.1000
92.500000 76.570 -20.4950
93.800003 76.531 -20.8462
95.000000 76.486 -21.2842
96.199997 76.443 -21.4797
97.500000 76.396 -21.8816
98.800003 76.333 -21.8150
100.000000 76.338 -22.1004
101.500000 76.257 -22.4678
103.000000 76.186 -22.7203
104.400002 76.148 -22.7451
106.000000 76.086 -23.0182
107.500000 76.034 -23.3172
109.000000 75.976 -23.4590
110.599998 75.930 -23.5865
112.000000 75.926 -23.9122
113.800003 75.873 -24.1096
115.000000 75.838 -24.3854
117.199997 75.752 -24.6483
118.000000 75.714 -24.6952
120.599998 75.635 -24.9051
122.000000 75.602 -25.1836
124.099998 75.517 -25.3798
125.000000 75.496 -25.4981
126.500000 75.445 -25.7218
128.000000 75.391 -25.8039
131.500000 75.287 -26.1108
132.000000 75.271 -26.1606
134.000000 75.202 -26.3788
136.000000 75.124 -26.4967
138.000000 75.064 -26.5974
140.000000 74.995 -26.6891
143.000000 74.925 -26.8720
145.000000 74.884 -26.9309
147.500000 74.808 -27.1142
150.000000 74.714 -27.3036
152.500000 74.625 -27.3390
155.000000 74.548 -27.5370
157.500000 74.481 -27.5890
160.000000 74.396 -27.6598
162.500000 74.316 -27.6827
165.000000 74.220 -27.5580
167.500000 74.141 -27.5610
170.000000 74.068 -27.2482
172.500000 74.020 -27.1171
175.000000 73.977 -26.9956
177.500000 73.971 -26.9421
180.000000 73.940 -26.9333
182.500000 73.912 -26.9996
185.000000 73.877 -27.0837
187.500000 73.825 -27.1477
190.000000 73.781 -27.2135
192.500000 73.737 -27.3002
195.000000 73.681 -27.3351
197.500000 73.628 -27.4857
200.000000 73.571 -27.4289
203.000000 73.502 -27.5146
206.000000 73.439 -27.6220
209.000000 73.369 -27.6224
212.000000 73.296 -27.5850
214.000000 73.259 -27.6349
218.000000 73.176 -27.5481
220.000000 73.154 -27.4569
224.000000 73.053 -27.4813
227.000000 73.001 -27.3607
230.000000 72.934 -27.3174
233.000000 72.875 -27.2375
236.000000 72.822 -27.1706
240.000000 72.747 -26.9447
243.000000 72.711 -26.8971
247.000000 72.640 -26.8173
250.000000 72.582 -26.7039
254.000000 72.503 -26.5363
258.000000 72.450 -26.3725
262.000000 72.390 -26.2988
265.000000 72.333 -26.1480
269.000000 72.281 -26.0174
272.000000 72.242 -25.8102
276.000000 72.176 -25.6060
280.000000 72.117 -25.5748
285.000000 72.049 -25.2346
290.000000 71.991 -25.1672
295.000000 71.925 -25.0089
300.000000 71.863 -24.6776
304.000000 71.805 -24.5784
307.000000 71.786 -24.4173
311.000000 71.766 -24.2068
315.000000 71.685 -23.9917
320.000000 71.652 -23.7984
325.000000 71.585 -23.5011
330.000000 71.528 -23.3921
335.000000 71.475 -23.1190
340.000000 71.412 -22.9118
345.000000 71.405 -22.7538
