* Measurement data measured by REW V5.20.13
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0,250
* Format: 256k Log Swept Sine, 1 sweep at -12,0 dBFS with no timing reference
* Dated: 13:54:03 16-10-2023
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: ISN Neo 5 L
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 83.453 8.8979
20.600000 83.466 8.6102
20.900000 83.469 8.3811
21.200001 83.468 8.1570
21.400000 83.465 7.9991
21.799999 83.455 7.6536
22.000000 83.447 7.4638
22.400000 83.429 7.0541
22.700001 83.413 6.7276
23.000000 83.397 6.3898
23.299999 83.383 6.0414
23.600000 83.370 5.6823
24.000000 83.357 5.1872
24.299999 83.350 4.8074
24.700001 83.343 4.2997
25.000000 83.339 3.9271
25.400000 83.336 3.4513
25.799999 83.336 3.0055
26.200001 83.339 2.5891
26.500000 83.343 2.2931
26.900000 83.349 1.9170
27.200001 83.353 1.6471
27.600000 83.357 1.3032
28.000000 83.357 0.9774
28.500000 83.354 0.5933
29.000000 83.346 0.2275
29.500000 83.334 -0.1302
30.000000 83.318 -0.4869
30.400000 83.303 -0.7731
30.700001 83.292 -0.9890
31.100000 83.277 -1.2820
31.500000 83.263 -1.5868
32.000000 83.246 -1.9911
32.500000 83.230 -2.4159
33.000000 83.212 -2.8395
33.500000 83.196 -3.2429
34.000000 83.184 -3.6257
34.500000 83.176 -4.0023
35.000000 83.169 -4.3780
35.500000 83.160 -4.7395
36.000000 83.150 -5.0701
36.500000 83.140 -5.3717
37.000000 83.131 -5.6637
37.500000 83.121 -5.9617
38.200001 83.101 -6.3849
38.700001 83.082 -6.6805
39.500000 83.050 -7.1438
40.000000 83.030 -7.4357
40.599998 83.007 -7.7927
41.200001 82.985 -8.1609
41.799999 82.964 -8.5397
42.500000 82.940 -8.9816
43.099998 82.921 -9.3480
43.700001 82.903 -9.6968
44.400002 82.883 -10.0770
45.000000 82.869 -10.3935
45.500000 82.856 -10.6659
46.200001 82.833 -11.0413
46.799999 82.809 -11.3198
47.500000 82.786 -11.6297
48.200001 82.761 -11.9983
48.700001 82.734 -12.2572
49.400002 82.694 -12.5121
50.000000 82.678 -12.6978
50.799999 82.668 -13.1203
51.500000 82.638 -13.5695
52.200001 82.599 -13.8908
53.000000 82.573 -14.1902
53.799999 82.552 -14.5778
54.500000 82.525 -14.9151
55.200001 82.500 -15.2223
56.000000 82.469 -15.5797
57.000000 82.427 -15.9864
58.000000 82.391 -16.3889
59.000000 82.349 -16.7971
60.000000 82.311 -17.1667
60.799999 82.283 -17.4956
61.500000 82.253 -17.7827
62.200001 82.222 -18.0392
63.000000 82.190 -18.3206
64.000000 82.152 -18.6928
65.000000 82.110 -19.0693
66.000000 82.067 -19.4260
67.000000 82.026 -19.7660
68.000000 81.986 -20.1138
69.000000 81.944 -20.4470
70.000000 81.903 -20.7671
71.000000 81.861 -21.0725
72.000000 81.823 -21.3856
73.000000 81.779 -21.7186
74.000000 81.733 -21.9982
75.000000 81.694 -22.3014
76.199997 81.638 -22.6840
77.500000 81.581 -23.0253
78.800003 81.526 -23.4244
80.000000 81.468 -23.7198
81.199997 81.422 -24.0346
82.500000 81.362 -24.3801
83.800003 81.308 -24.7312
85.000000 81.247 -25.0207
86.199997 81.200 -25.2850
87.500000 81.140 -25.6270
88.500000 81.096 -25.8468
90.000000 81.027 -26.2010
91.199997 80.975 -26.4537
92.500000 80.911 -26.7536
93.800003 80.853 -26.9414
95.000000 80.808 -27.2140
96.199997 80.749 -27.4594
97.500000 80.693 -27.7146
98.800003 80.629 -27.9549
100.000000 80.579 -28.1562
101.500000 80.510 -28.4520
103.000000 80.441 -28.7004
104.400002 80.373 -28.9322
106.000000 80.306 -29.1765
107.500000 80.234 -29.3900
109.000000 80.170 -29.6234
110.599998 80.098 -29.8227
112.000000 80.029 -30.0252
113.800003 79.945 -30.2285
115.000000 79.884 -30.3398
117.199997 79.788 -30.5745
118.000000 79.751 -30.6524
120.599998 79.635 -30.9298
122.000000 79.574 -31.0196
124.099998 79.488 -31.1920
125.000000 79.446 -31.2367
126.500000 79.386 -31.3298
128.000000 79.320 -31.4387
131.500000 79.184 -31.6598
132.000000 79.162 -31.7100
134.000000 79.077 -31.8274
136.000000 78.997 -31.8773
138.000000 78.910 -32.0679
140.000000 78.833 -32.1356
143.000000 78.709 -32.2866
145.000000 78.624 -32.3351
147.500000 78.521 -32.4138
150.000000 78.429 -32.5693
152.500000 78.329 -32.5775
155.000000 78.229 -32.5347
157.500000 78.128 -32.5469
160.000000 78.035 -32.5703
162.500000 77.942 -32.5554
165.000000 77.838 -32.5011
167.500000 77.750 -32.4538
170.000000 77.653 -32.3970
172.500000 77.570 -32.3214
175.000000 77.474 -32.2503
177.500000 77.381 -32.1875
180.000000 77.292 -32.0589
182.500000 77.203 -31.8839
185.000000 77.109 -31.7194
187.500000 77.011 -31.5269
190.000000 76.929 -31.2737
192.500000 76.840 -30.9480
195.000000 76.767 -30.6443
197.500000 76.714 -30.2746
200.000000 76.684 -29.8423
203.000000 76.636 -29.6923
206.000000 76.577 -29.5804
209.000000 76.526 -29.4590
212.000000 76.461 -29.3976
214.000000 76.403 -29.3068
218.000000 76.303 -29.1642
220.000000 76.254 -29.0312
224.000000 76.161 -28.8055
227.000000 76.093 -28.5800
230.000000 76.011 -28.3741
233.000000 75.949 -28.2195
236.000000 75.877 -27.9639
240.000000 75.790 -27.6508
243.000000 75.733 -27.3638
247.000000 75.657 -27.0185
250.000000 75.602 -26.8381
254.000000 75.522 -26.4392
258.000000 75.443 -26.0484
262.000000 75.363 -25.7041
265.000000 75.312 -25.4202
269.000000 75.238 -25.0965
272.000000 75.195 -24.7897
276.000000 75.129 -24.4640
280.000000 75.068 -24.1299
285.000000 74.988 -23.5793
290.000000 74.904 -23.0730
295.000000 74.836 -22.5637
300.000000 74.770 -22.0720
304.000000 74.706 -21.6743
307.000000 74.672 -21.2753
311.000000 74.615 -20.8008
315.000000 74.582 -20.2444
320.000000 74.543 -19.5841
325.000000 74.543 -19.1288
330.000000 74.528 -18.8044
335.000000 74.507 -18.5352
340.000000 74.476 -18.1034
345.000000 74.443 -17.8901
350.000000 74.404 -17.5917
355.000000 74.355 -17.1620
360.000000 74.317 -16.8998
365.000000 74.281 -16.4396
370.000000 74.246 -16.1695
375.000000 74.226 -15.7431
382.000000 74.164 -15.2403
387.000000 74.137 -14.9156
395.000000 74.105 -14.3276
400.000000 74.074 -14.0817
406.000000 74.039 -13.6630
412.000000 74.009 -13.1934
418.000000 73.979 -12.7694
425.000000 73.932 -12.4321
431.000000 73.911 -12.0452
437.000000 73.892 -11.7265
444.000000 73.835 -11.2096
450.000000 73.819 -10.9204
455.000000 73.792 -10.5988
462.000000 73.763 -10.2595
468.000000 73.740 -9.8096
475.000000 73.699 -9.4092
482.000000 73.671 -8.9302
487.000000 73.648 -8.5837
494.000000 73.621 -8.2585
500.000000 73.615 -7.7814
508.000000 73.561 -7.3643
515.000000 73.536 -6.8498
522.000000 73.520 -6.5514
530.000000 73.496 -6.1280
538.000000 73.478 -5.4915
545.000000 73.456 -5.0981
552.000000 73.439 -4.7996
560.000000 73.399 -4.3554
570.000000 73.375 -3.7375
580.000000 73.348 -3.1349
590.000000 73.299 -2.6845
600.000000 73.242 -1.8728
608.000000 73.239 -1.5354
615.000000 73.229 -0.9886
622.000000 73.179 -0.5178
630.000000 73.177 -0.0182
640.000000 73.153 0.6510
650.000000 73.149 1.3245
660.000000 73.132 2.0326
670.000000 73.106 2.5722
680.000000 73.110 3.2683
690.000000 73.095 3.8444
700.000000 73.112 4.5310
710.000000 73.086 5.0335
720.000000 73.086 5.6190
730.000000 73.085 6.2828
740.000000 73.092 6.9501
750.000000 73.107 7.4525
762.000000 73.079 8.3015
775.000000 73.106 8.9966
788.000000 73.119 9.9442
800.000000 73.124 10.7027
812.000000 73.125 11.3200
825.000000 73.153 12.1979
838.000000 73.186 12.9837
850.000000 73.222 13.6728
862.000000 73.245 14.4789
875.000000 73.299 15.2844
885.000000 73.331 15.8045
900.000000 73.351 16.7695
912.000000 73.410 17.3675
925.000000 73.459 18.1666
938.000000 73.547 18.9369
950.000000 73.576 19.4801
962.000000 73.648 20.2444
975.000000 73.727 20.8808
988.000000 73.800 21.4115
1000.000000 73.846 22.5009
1015.000000 73.974 22.6895
1030.000000 74.061 23.2572
1044.000000 74.160 23.7615
1060.000000 74.235 24.3591
1075.000000 74.343 24.7617
1090.000000 74.440 25.1544
1106.000000 74.548 25.6997
1120.000000 74.634 25.9542
1138.000000 74.742 26.4492
1150.000000 74.797 26.6716
1172.000000 74.924 27.1020
1180.000000 75.004 27.1831
1206.000000 75.136 27.5061
1220.000000 75.199 27.7161
1241.000000 75.304 28.0189
1250.000000 75.354 28.1350
1265.000000 75.414 28.2853
1280.000000 75.497 28.4568
1315.000000 75.661 28.8605
1320.000000 75.683 29.0058
1340.000000 75.769 29.0700
1360.000000 75.853 29.2421
1380.000000 75.928 29.5015
1400.000000 75.992 29.6594
1430.000000 76.129 30.1260
1450.000000 76.203 30.1641
1475.000000 76.326 30.3873
1500.000000 76.415 30.6884
1525.000000 76.525 30.9205
1550.000000 76.629 31.2151
1575.000000 76.742 31.4220
1600.000000 76.853 31.5254
1625.000000 76.954 31.8247
1650.000000 77.058 31.8988
1675.000000 77.192 32.0534
1700.000000 77.316 32.1744
1725.000000 77.437 32.2864
1750.000000 77.561 32.3155
1775.000000 77.692 32.4038
1800.000000 77.804 32.3366
1825.000000 77.937 32.3285
1850.000000 78.069 32.1525
1875.000000 78.192 32.0665
1900.000000 78.322 31.8524
1925.000000 78.446 31.6816
1950.000000 78.562 31.4628
1975.000000 78.690 31.0532
2000.000000 78.838 30.5420
2030.000000 78.954 30.2866
2060.000000 79.093 29.7517
2090.000000 79.223 29.0677
2120.000000 79.346 28.4350
2140.000000 79.418 27.9394
2180.000000 79.566 26.9253
2200.000000 79.653 26.4113
2240.000000 79.761 25.1905
2270.000000 79.836 24.2538
2300.000000 79.895 23.4452
2330.000000 79.961 22.3932
2360.000000 80.000 21.4313
2400.000000 80.016 20.1280
2430.000000 80.027 19.2024
2470.000000 80.022 18.0097
2500.000000 79.999 17.0977
2540.000000 79.968 15.9551
2580.000000 79.918 14.8936
2620.000000 79.856 13.9409
2650.000000 79.803 13.1629
2690.000000 79.714 12.4707
2720.000000 79.654 11.8977
2760.000000 79.549 11.1991
2800.000000 79.443 10.7175
2850.000000 79.289 10.1715
2900.000000 79.165 9.8671
2950.000000 79.029 9.6009
3000.000000 78.870 10.0321
3040.000000 78.835 9.9965
3070.000000 78.779 10.1075
3110.000000 78.709 10.2973
3150.000000 78.681 10.4266
3200.000000 78.638 10.7868
3250.000000 78.582 11.1204
3300.000000 78.549 11.3137
3350.000000 78.513 11.7607
3400.000000 78.508 12.1838
3450.000000 78.520 12.6484
3500.000000 78.528 13.1083
3550.000000 78.546 13.6352
3600.000000 78.606 14.1308
3650.000000 78.668 14.6491
3700.000000 78.772 14.9372
3750.000000 78.877 15.2493
3820.000000 79.044 15.4960
3870.000000 79.169 15.6296
3950.000000 79.385 15.3438
4000.000000 79.582 14.8988
4060.000000 79.746 14.6796
4120.000000 79.933 14.0860
4180.000000 80.141 13.1261
4250.000000 80.355 11.7840
4310.000000 80.510 10.0684
4370.000000 80.656 8.1746
4440.000000 80.763 5.6694
4500.000000 80.791 3.2139
4550.000000 80.738 1.1690
4620.000000 80.601 -1.6646
4680.000000 80.404 -3.9347
4750.000000 80.109 -6.2935
4820.000000 79.730 -7.9853
4870.000000 79.440 -8.8606
4940.000000 79.015 -9.3646
5000.000000 78.665 -9.8001
5080.000000 78.228 -8.9147
5150.000000 77.917 -7.8187
5220.000000 77.666 -6.0746
5300.000000 77.479 -4.1239
5380.000000 77.406 -1.7332
5450.000000 77.513 -0.1335
5520.000000 77.698 1.3697
5600.000000 78.061 2.1048
5700.000000 78.593 1.0258
5800.000000 79.023 -3.1109
