* Measurement data measured by REW V5.20.13
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), R, volume: 0,250
* Format: 256k Log Swept Sine, 1 sweep at -12,0 dBFS with no timing reference
* Dated: 13:44:15 16-10-2023
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: ISN Neo 5 R
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 83.479 8.8195
20.600000 83.493 8.5565
20.900000 83.498 8.3519
21.200001 83.498 8.1544
21.400000 83.496 8.0151
21.799999 83.488 7.7070
22.000000 83.482 7.5353
22.400000 83.466 7.1597
22.700001 83.452 6.8568
23.000000 83.437 6.5412
23.299999 83.424 6.2145
23.600000 83.413 5.8764
24.000000 83.401 5.4092
24.299999 83.395 5.0503
24.700001 83.389 4.5698
25.000000 83.387 4.2158
25.400000 83.386 3.7610
25.799999 83.389 3.3306
26.200001 83.394 2.9261
26.500000 83.399 2.6398
26.900000 83.405 2.2810
27.200001 83.410 2.0286
27.600000 83.415 1.7120
28.000000 83.419 1.4140
28.500000 83.420 1.0599
29.000000 83.417 0.7180
29.500000 83.409 0.3805
30.000000 83.397 0.0397
30.400000 83.385 -0.2372
30.700001 83.374 -0.4464
31.100000 83.359 -0.7257
31.500000 83.344 -1.0063
32.000000 83.328 -1.3651
32.500000 83.314 -1.7404
33.000000 83.302 -2.1284
33.500000 83.290 -2.5149
34.000000 83.281 -2.8888
34.500000 83.275 -3.2523
35.000000 83.272 -3.6124
35.500000 83.267 -3.9686
36.000000 83.261 -4.3121
36.500000 83.253 -4.6356
37.000000 83.242 -4.9373
37.500000 83.228 -5.2174
38.200001 83.208 -5.5762
38.700001 83.195 -5.8224
39.500000 83.175 -6.2488
40.000000 83.160 -6.5415
40.599998 83.139 -6.8950
41.200001 83.117 -7.2337
41.799999 83.099 -7.5754
42.500000 83.080 -7.9973
43.099998 83.061 -8.3491
43.700001 83.044 -8.6675
44.400002 83.030 -9.0334
45.000000 83.018 -9.3689
45.500000 83.004 -9.6376
46.200001 82.985 -9.9687
46.799999 82.973 -10.2555
47.500000 82.954 -10.6316
48.200001 82.925 -10.9605
48.700001 82.909 -11.1479
49.400002 82.899 -11.4559
50.000000 82.884 -11.8058
50.799999 82.844 -12.2158
51.500000 82.816 -12.4514
52.200001 82.802 -12.7233
53.000000 82.779 -13.1028
53.799999 82.749 -13.4195
54.500000 82.731 -13.6954
55.200001 82.709 -14.0139
56.000000 82.676 -14.3566
57.000000 82.638 -14.7427
58.000000 82.603 -15.1193
59.000000 82.573 -15.5148
60.000000 82.540 -15.9354
60.799999 82.512 -16.2536
61.500000 82.487 -16.5371
62.200001 82.458 -16.8046
63.000000 82.428 -17.0713
64.000000 82.395 -17.4240
65.000000 82.357 -17.7747
66.000000 82.326 -18.1050
67.000000 82.292 -18.4922
68.000000 82.253 -18.8298
69.000000 82.220 -19.1663
70.000000 82.181 -19.5209
71.000000 82.143 -19.8319
72.000000 82.102 -20.1616
73.000000 82.059 -20.4208
74.000000 82.031 -20.7159
75.000000 81.991 -21.0813
76.199997 81.939 -21.4233
77.500000 81.891 -21.8122
78.800003 81.838 -22.2178
80.000000 81.783 -22.5346
81.199997 81.741 -22.8301
82.500000 81.688 -23.2365
83.800003 81.633 -23.5554
85.000000 81.588 -23.8802
86.199997 81.538 -24.1875
87.500000 81.486 -24.5026
88.500000 81.445 -24.7388
90.000000 81.385 -25.0803
91.199997 81.334 -25.3862
92.500000 81.275 -25.6783
93.800003 81.217 -25.9729
95.000000 81.166 -26.2095
96.199997 81.121 -26.4953
97.500000 81.060 -26.7779
98.800003 81.014 -27.0283
100.000000 80.961 -27.3231
101.500000 80.896 -27.5762
103.000000 80.831 -27.8991
104.400002 80.767 -28.1198
106.000000 80.701 -28.3967
107.500000 80.636 -28.6674
109.000000 80.573 -28.9062
110.599998 80.504 -29.1835
112.000000 80.442 -29.4038
113.800003 80.364 -29.6730
115.000000 80.313 -29.8345
117.199997 80.218 -30.1656
118.000000 80.181 -30.2876
120.599998 80.059 -30.5645
122.000000 80.001 -30.7815
124.099998 79.908 -30.9961
125.000000 79.869 -31.1532
126.500000 79.799 -31.2816
128.000000 79.730 -31.4502
131.500000 79.576 -31.7203
132.000000 79.556 -31.7954
134.000000 79.460 -31.9849
136.000000 79.365 -32.1870
138.000000 79.278 -32.2547
140.000000 79.181 -32.4252
143.000000 79.048 -32.5474
145.000000 78.953 -32.6020
147.500000 78.822 -32.6786
150.000000 78.713 -32.5290
152.500000 78.615 -32.4460
155.000000 78.527 -32.3934
157.500000 78.446 -32.3170
160.000000 78.366 -32.2658
162.500000 78.287 -32.2882
165.000000 78.201 -32.2802
167.500000 78.112 -32.3695
170.000000 78.022 -32.4133
172.500000 77.936 -32.4093
175.000000 77.844 -32.4014
177.500000 77.748 -32.3447
180.000000 77.659 -32.2783
182.500000 77.561 -32.2056
185.000000 77.478 -32.0421
187.500000 77.384 -31.9383
190.000000 77.297 -31.7547
192.500000 77.214 -31.5603
195.000000 77.140 -31.3824
197.500000 77.074 -31.1052
200.000000 76.986 -30.9749
203.000000 76.905 -30.8499
206.000000 76.835 -30.6772
209.000000 76.744 -30.4759
212.000000 76.659 -30.2751
214.000000 76.604 -30.1723
218.000000 76.491 -29.8611
220.000000 76.442 -29.6819
224.000000 76.328 -29.4453
227.000000 76.242 -29.1997
230.000000 76.175 -28.9467
233.000000 76.096 -28.6350
236.000000 76.012 -28.4014
240.000000 75.925 -27.9919
243.000000 75.844 -27.7014
247.000000 75.753 -27.2516
250.000000 75.671 -27.0528
254.000000 75.598 -26.4911
258.000000 75.521 -25.9903
262.000000 75.440 -25.4875
265.000000 75.380 -25.1094
269.000000 75.313 -24.5510
272.000000 75.274 -24.2881
276.000000 75.225 -23.7280
280.000000 75.169 -23.3197
285.000000 75.105 -22.7781
290.000000 75.048 -22.1451
295.000000 74.982 -21.6673
300.000000 74.916 -21.1579
304.000000 74.890 -20.7790
307.000000 74.849 -20.4739
311.000000 74.817 -20.1617
315.000000 74.767 -19.6603
320.000000 74.727 -19.1859
325.000000 74.682 -18.6092
330.000000 74.637 -18.1311
335.000000 74.604 -17.6662
340.000000 74.578 -17.0299
345.000000 74.524 -16.5532
350.000000 74.487 -16.2335
355.000000 74.471 -15.7281
360.000000 74.439 -15.3127
365.000000 74.409 -14.8658
370.000000 74.383 -14.3580
375.000000 74.363 -13.9173
382.000000 74.327 -13.3387
387.000000 74.310 -12.9062
395.000000 74.291 -12.3159
400.000000 74.281 -11.7106
406.000000 74.249 -11.4133
412.000000 74.243 -11.0245
418.000000 74.206 -10.5695
425.000000 74.208 -10.1375
431.000000 74.181 -9.6546
437.000000 74.170 -9.3069
444.000000 74.148 -8.7954
450.000000 74.143 -8.5194
455.000000 74.115 -8.1571
462.000000 74.094 -7.6986
468.000000 74.089 -7.3341
475.000000 74.060 -6.8985
482.000000 74.038 -6.4846
487.000000 74.037 -6.1545
494.000000 74.009 -5.7902
500.000000 73.989 -5.3654
508.000000 73.980 -4.9736
515.000000 73.963 -4.4549
522.000000 73.951 -3.9444
530.000000 73.916 -3.5522
538.000000 73.915 -3.0765
545.000000 73.895 -2.5702
552.000000 73.914 -2.1304
560.000000 73.881 -1.6836
570.000000 73.901 -0.9817
580.000000 73.878 -0.4478
590.000000 73.880 0.0038
600.000000 73.879 0.5461
608.000000 73.860 0.9153
615.000000 73.866 1.4993
622.000000 73.855 1.7567
630.000000 73.864 2.1230
640.000000 73.844 2.7832
650.000000 73.852 3.2545
660.000000 73.838 3.7562
670.000000 73.824 4.3043
680.000000 73.839 4.8540
690.000000 73.835 5.3966
700.000000 73.830 5.8719
710.000000 73.821 6.3024
720.000000 73.829 6.9299
730.000000 73.818 7.5161
740.000000 73.836 8.0262
750.000000 73.831 8.6697
762.000000 73.849 9.1804
775.000000 73.869 9.9023
788.000000 73.875 10.6924
800.000000 73.880 11.3473
812.000000 73.902 12.0038
825.000000 73.949 12.7198
838.000000 73.968 13.5363
850.000000 74.002 14.1447
862.000000 74.031 14.7353
875.000000 74.082 15.5093
885.000000 74.110 16.0528
900.000000 74.168 16.8824
912.000000 74.219 17.6067
925.000000 74.289 18.2118
938.000000 74.349 18.8569
950.000000 74.407 19.3953
962.000000 74.460 19.9750
975.000000 74.554 20.5111
988.000000 74.620 21.0495
1000.000000 74.678 21.8731
1015.000000 74.794 22.0416
1030.000000 74.888 22.6269
1044.000000 74.958 22.9199
1060.000000 75.091 23.3577
1075.000000 75.178 23.7629
1090.000000 75.278 24.0585
1106.000000 75.364 24.3417
1120.000000 75.457 24.6799
1138.000000 75.571 25.0133
1150.000000 75.643 25.1339
1172.000000 75.770 25.3085
1180.000000 75.790 25.2834
1206.000000 75.954 25.6256
1220.000000 76.023 25.6748
1241.000000 76.110 25.7634
1250.000000 76.146 25.8758
1265.000000 76.223 25.8515
1280.000000 76.282 25.9218
1315.000000 76.418 26.1013
1320.000000 76.451 26.1036
1340.000000 76.504 26.2719
1360.000000 76.580 26.2221
1380.000000 76.659 26.2847
1400.000000 76.714 26.4185
1430.000000 76.819 26.5321
1450.000000 76.902 26.6855
1475.000000 76.964 26.8040
1500.000000 77.076 26.9936
1525.000000 77.150 27.2147
1550.000000 77.235 27.1712
1575.000000 77.321 27.2637
1600.000000 77.420 27.4170
1625.000000 77.499 27.4151
1650.000000 77.578 27.4873
1675.000000 77.685 27.4359
1700.000000 77.764 27.5361
1725.000000 77.859 27.6017
1750.000000 77.953 27.6342
1775.000000 78.054 27.5343
1800.000000 78.140 27.4943
1825.000000 78.234 27.3228
1850.000000 78.339 27.2699
1875.000000 78.419 27.2480
1900.000000 78.500 26.9526
1925.000000 78.616 26.8120
1950.000000 78.710 26.6222
1975.000000 78.806 26.3015
2000.000000 78.917 25.8554
2030.000000 78.995 25.7317
2060.000000 79.094 25.3903
2090.000000 79.190 24.8515
2120.000000 79.281 24.2960
2140.000000 79.352 23.9334
2180.000000 79.451 23.1784
2200.000000 79.484 22.8140
2240.000000 79.588 21.9257
2270.000000 79.640 21.1656
2300.000000 79.687 20.6128
2330.000000 79.727 19.7471
2360.000000 79.761 19.1607
2400.000000 79.789 18.0862
2430.000000 79.786 17.4612
2470.000000 79.784 16.5677
2500.000000 79.774 15.9555
2540.000000 79.758 15.2159
2580.000000 79.736 14.4676
2620.000000 79.693 13.7867
2650.000000 79.670 13.3285
2690.000000 79.617 12.6254
2720.000000 79.564 12.2590
2760.000000 79.500 11.6993
2800.000000 79.434 11.3457
2850.000000 79.351 10.9783
2900.000000 79.269 10.5389
2950.000000 79.188 10.3358
3000.000000 79.065 10.5027
3040.000000 79.018 10.2245
3070.000000 78.979 10.2651
3110.000000 78.909 10.3899
3150.000000 78.846 10.6842
3200.000000 78.791 11.0474
3250.000000 78.769 11.6057
3300.000000 78.775 12.1841
3350.000000 78.792 12.4331
3400.000000 78.817 12.8910
3450.000000 78.857 12.9948
3500.000000 78.899 13.4981
3550.000000 78.955 13.6893
3600.000000 79.033 13.9669
3650.000000 79.103 14.3620
3700.000000 79.192 14.5074
3750.000000 79.305 14.5903
3820.000000 79.462 14.8165
3870.000000 79.594 14.8447
3950.000000 79.827 14.4877
4000.000000 79.969 13.4229
4060.000000 80.169 13.4205
4120.000000 80.356 12.6808
4180.000000 80.525 11.4893
4250.000000 80.720 9.7903
4310.000000 80.881 8.0910
4370.000000 80.983 5.9795
4440.000000 81.060 3.2844
4500.000000 81.040 0.9144
4550.000000 80.970 -1.2039
4620.000000 80.789 -4.0105
4680.000000 80.557 -6.3100
4750.000000 80.209 -8.4578
4820.000000 79.807 -10.1136
4870.000000 79.487 -10.8999
4940.000000 79.056 -11.3342
5000.000000 78.660 -11.5484
5080.000000 78.179 -10.7267
5150.000000 77.828 -9.6268
5220.000000 77.494 -7.9924
5300.000000 77.215 -5.7122
5380.000000 77.069 -3.1641
5450.000000 77.060 -0.7713
5520.000000 77.119 1.4499
5600.000000 77.348 3.5095
5700.000000 77.819 4.8822
5800.000000 78.343 4.3522
