* Measurement data measured by REW V5.20.13
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0,250
* Format: 256k Log Swept Sine, 1 sweep at -12,0 dBFS with no timing reference
* Dated: 22:25:22 21-09-2023
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Ikko OH10 L
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 84.615 5.2682
20.600000 84.606 4.9551
20.900000 84.592 4.6699
21.200001 84.580 4.3727
21.400000 84.573 4.1640
21.799999 84.562 3.7253
22.000000 84.557 3.5003
22.400000 84.549 3.0564
22.700001 84.544 2.7428
23.000000 84.538 2.4532
23.299999 84.533 2.1849
23.600000 84.528 1.9298
24.000000 84.521 1.5954
24.299999 84.514 1.3402
24.700001 84.502 0.9924
25.000000 84.491 0.7309
25.400000 84.475 0.3900
25.799999 84.461 0.0622
26.200001 84.450 -0.2573
26.500000 84.443 -0.4966
26.900000 84.434 -0.8182
27.200001 84.426 -1.0592
27.600000 84.415 -1.3736
28.000000 84.402 -1.6735
28.500000 84.387 -2.0291
29.000000 84.374 -2.3776
29.500000 84.360 -2.7294
30.000000 84.345 -3.0801
30.400000 84.330 -3.3534
30.700001 84.319 -3.5540
31.100000 84.305 -3.8203
31.500000 84.291 -4.0907
32.000000 84.273 -4.4336
32.500000 84.254 -4.7684
33.000000 84.238 -5.0818
33.500000 84.224 -5.3788
34.000000 84.212 -5.6758
34.500000 84.197 -5.9784
35.000000 84.178 -6.2753
35.500000 84.155 -6.5544
36.000000 84.133 -6.8194
36.500000 84.114 -7.0863
37.000000 84.098 -7.3673
37.500000 84.082 -7.6592
38.200001 84.057 -8.0531
38.700001 84.037 -8.2983
39.500000 84.006 -8.6326
40.000000 83.991 -8.8530
40.599998 83.972 -9.1732
41.200001 83.947 -9.5287
41.799999 83.920 -9.8553
42.500000 83.895 -10.1784
43.099998 83.877 -10.4486
43.700001 83.856 -10.7266
44.400002 83.825 -11.0397
45.000000 83.800 -11.3065
45.500000 83.782 -11.5382
46.200001 83.757 -11.8490
46.799999 83.737 -12.0785
47.500000 83.716 -12.3439
48.200001 83.685 -12.6390
48.700001 83.656 -12.8399
49.400002 83.618 -13.0867
50.000000 83.598 -13.3175
50.799999 83.574 -13.6905
51.500000 83.547 -13.9912
52.200001 83.521 -14.2392
53.000000 83.492 -14.5400
53.799999 83.457 -14.8377
54.500000 83.429 -15.0573
55.200001 83.405 -15.3019
56.000000 83.369 -15.6174
57.000000 83.318 -15.9417
58.000000 83.283 -16.2688
59.000000 83.248 -16.5929
60.000000 83.212 -16.8882
60.799999 83.176 -17.1599
61.500000 83.142 -17.3887
62.200001 83.111 -17.5976
63.000000 83.080 -17.8232
64.000000 83.042 -18.0874
65.000000 83.000 -18.3869
66.000000 82.952 -18.6802
67.000000 82.906 -18.9564
68.000000 82.856 -19.2426
69.000000 82.811 -19.5016
70.000000 82.770 -19.8002
71.000000 82.719 -20.0656
72.000000 82.664 -20.2831
73.000000 82.604 -20.4969
74.000000 82.542 -20.7194
75.000000 82.475 -20.8946
76.199997 82.395 -20.9116
77.500000 82.318 -20.6756
78.800003 82.305 -20.3269
80.000000 82.344 -20.4679
81.199997 82.351 -20.8107
82.500000 82.340 -21.2012
83.800003 82.300 -21.6402
85.000000 82.259 -21.9568
86.199997 82.214 -22.2486
87.500000 82.161 -22.5588
88.500000 82.122 -22.7907
90.000000 82.055 -23.0740
91.199997 82.018 -23.2721
92.500000 81.959 -23.5416
93.800003 81.909 -23.7065
95.000000 81.856 -23.9581
96.199997 81.811 -24.1113
97.500000 81.767 -24.3000
98.800003 81.708 -24.5039
100.000000 81.664 -24.6389
101.500000 81.608 -24.8371
103.000000 81.540 -25.0066
104.400002 81.491 -25.1793
106.000000 81.427 -25.3597
107.500000 81.366 -25.5063
109.000000 81.310 -25.6783
110.599998 81.253 -25.8340
112.000000 81.201 -25.9586
113.800003 81.134 -26.1480
115.000000 81.087 -26.2203
117.199997 81.007 -26.3808
118.000000 80.973 -26.4412
120.599998 80.877 -26.6191
122.000000 80.831 -26.6599
124.099998 80.747 -26.8082
125.000000 80.728 -26.8606
126.500000 80.666 -26.9766
128.000000 80.616 -27.0624
131.500000 80.489 -27.2047
132.000000 80.472 -27.2396
134.000000 80.411 -27.3097
136.000000 80.336 -27.3721
138.000000 80.272 -27.4127
140.000000 80.202 -27.4747
143.000000 80.093 -27.5176
145.000000 80.027 -27.5850
147.500000 79.944 -27.5333
150.000000 79.857 -27.6899
152.500000 79.795 -27.6443
155.000000 79.713 -27.6021
157.500000 79.621 -27.6357
160.000000 79.558 -27.5656
162.500000 79.475 -27.5290
165.000000 79.411 -27.4398
167.500000 79.341 -27.3774
170.000000 79.275 -27.3793
172.500000 79.217 -27.3912
175.000000 79.143 -27.2748
177.500000 79.075 -27.2497
180.000000 79.000 -27.2130
182.500000 78.947 -27.2002
185.000000 78.873 -27.0959
187.500000 78.814 -27.0516
190.000000 78.742 -26.9606
192.500000 78.681 -26.8918
195.000000 78.608 -26.9005
197.500000 78.556 -26.7630
200.000000 78.497 -26.6987
203.000000 78.404 -26.5100
206.000000 78.342 -26.3563
209.000000 78.264 -26.1709
212.000000 78.178 -26.0886
214.000000 78.150 -25.9936
218.000000 78.056 -25.7861
220.000000 78.010 -25.6599
224.000000 77.916 -25.4127
227.000000 77.856 -25.3000
230.000000 77.789 -25.1094
233.000000 77.722 -24.9724
236.000000 77.653 -24.7233
240.000000 77.571 -24.5012
243.000000 77.512 -24.3062
247.000000 77.426 -24.1256
250.000000 77.361 -23.8533
254.000000 77.306 -23.5026
258.000000 77.225 -23.2908
262.000000 77.146 -23.0591
265.000000 77.091 -22.7654
269.000000 77.018 -22.5269
272.000000 76.964 -22.2591
276.000000 76.897 -21.8935
280.000000 76.825 -21.5999
285.000000 76.735 -21.1976
290.000000 76.650 -20.8620
295.000000 76.563 -20.4029
300.000000 76.477 -19.8980
304.000000 76.419 -19.5971
307.000000 76.379 -19.2767
311.000000 76.325 -19.0145
315.000000 76.241 -18.6470
320.000000 76.167 -18.0590
325.000000 76.095 -17.5780
330.000000 76.027 -16.9272
335.000000 75.968 -16.3435
340.000000 75.912 -15.7648
345.000000 75.873 -15.0651
350.000000 75.844 -14.4178
355.000000 75.825 -13.9399
360.000000 75.791 -13.4238
365.000000 75.796 -13.0765
370.000000 75.764 -12.6396
375.000000 75.742 -12.2463
382.000000 75.693 -11.7070
387.000000 75.659 -11.3462
395.000000 75.592 -10.8587
400.000000 75.557 -10.4142
406.000000 75.491 -10.0163
412.000000 75.465 -9.5555
418.000000 75.410 -9.1772
425.000000 75.359 -8.5809
431.000000 75.317 -8.0787
437.000000 75.260 -7.5969
444.000000 75.225 -7.0411
450.000000 75.185 -6.5918
455.000000 75.150 -6.1788
462.000000 75.092 -5.5081
468.000000 75.060 -5.0786
475.000000 75.029 -4.4594
482.000000 74.991 -3.8786
487.000000 74.959 -3.4747
494.000000 74.920 -2.8640
500.000000 74.867 -2.3188
508.000000 74.844 -1.5512
515.000000 74.818 -1.1037
522.000000 74.785 -0.4871
530.000000 74.748 0.0697
538.000000 74.713 0.8828
545.000000 74.684 1.4429
552.000000 74.673 2.1768
560.000000 74.646 2.7791
570.000000 74.624 3.5931
580.000000 74.581 4.3926
590.000000 74.561 5.2573
600.000000 74.529 6.1140
608.000000 74.504 6.7431
615.000000 74.513 7.3561
622.000000 74.485 7.9706
630.000000 74.475 8.6484
640.000000 74.478 9.4874
650.000000 74.461 10.3291
660.000000 74.439 11.2219
670.000000 74.453 12.0015
680.000000 74.432 12.8450
690.000000 74.445 13.6500
700.000000 74.442 14.6247
710.000000 74.449 15.4539
720.000000 74.429 16.1576
730.000000 74.465 17.0322
740.000000 74.476 17.9045
750.000000 74.478 18.7376
762.000000 74.499 19.7674
775.000000 74.539 20.7615
788.000000 74.557 22.0263
800.000000 74.606 22.9802
812.000000 74.628 23.9587
825.000000 74.695 25.0244
838.000000 74.724 26.0274
850.000000 74.762 27.0103
862.000000 74.840 27.9429
875.000000 74.921 29.0226
885.000000 74.936 29.7288
900.000000 75.043 30.9548
912.000000 75.115 31.7897
925.000000 75.167 32.7157
938.000000 75.277 33.6126
950.000000 75.363 34.5099
962.000000 75.457 35.2303
975.000000 75.550 36.0897
988.000000 75.647 36.8442
1000.000000 75.676 37.4318
1015.000000 75.864 38.5048
1030.000000 75.972 39.3600
1044.000000 76.083 40.0858
1060.000000 76.226 40.8949
1075.000000 76.355 41.4012
1090.000000 76.486 42.1478
1106.000000 76.620 42.8077
1120.000000 76.742 43.2363
1138.000000 76.889 43.9163
1150.000000 76.987 44.2286
1172.000000 77.154 45.0049
1180.000000 77.224 45.2225
1206.000000 77.434 45.9625
1220.000000 77.530 46.2432
1241.000000 77.692 46.7564
1250.000000 77.771 47.0131
1265.000000 77.862 47.3853
1280.000000 77.970 47.7125
1315.000000 78.211 48.4237
1320.000000 78.239 48.4952
1340.000000 78.368 48.9248
1360.000000 78.505 49.3414
1380.000000 78.642 49.7291
1400.000000 78.773 50.1096
1430.000000 78.967 50.8217
1450.000000 79.110 51.2499
1475.000000 79.293 51.8403
1500.000000 79.481 52.2502
1525.000000 79.676 52.5992
1550.000000 79.839 52.8945
1575.000000 80.007 53.1916
1600.000000 80.203 53.4088
1625.000000 80.361 53.7620
1650.000000 80.543 54.0413
1675.000000 80.729 54.3712
1700.000000 80.901 54.6035
1725.000000 81.076 54.7389
1750.000000 81.270 54.9753
1775.000000 81.453 55.1412
1800.000000 81.646 55.2891
1825.000000 81.840 55.3707
1850.000000 82.039 55.4532
1875.000000 82.240 55.4804
1900.000000 82.459 55.4974
1925.000000 82.675 55.3865
1950.000000 82.887 55.1243
1975.000000 83.104 54.7622
2000.000000 83.283 54.5882
2030.000000 83.563 53.8667
2060.000000 83.802 53.2976
2090.000000 84.032 52.5876
2120.000000 84.267 51.7730
2140.000000 84.416 51.1895
2180.000000 84.693 49.9233
2200.000000 84.826 49.1734
2240.000000 85.077 47.6904
2270.000000 85.252 46.4793
2300.000000 85.409 45.2559
2330.000000 85.551 43.9428
2360.000000 85.694 42.6468
2400.000000 85.846 40.7113
2430.000000 85.935 39.2348
2470.000000 86.016 37.3382
2500.000000 86.064 36.0169
2540.000000 86.118 34.3590
2580.000000 86.165 32.7939
2620.000000 86.206 31.2403
2650.000000 86.233 30.0955
2690.000000 86.261 28.4983
2720.000000 86.281 27.2792
2760.000000 86.279 25.6806
2800.000000 86.268 23.9491
2850.000000 86.205 21.9930
2900.000000 86.109 20.2286
2950.000000 85.987 18.6885
3000.000000 85.860 17.4924
3040.000000 85.765 16.5218
3070.000000 85.704 15.9117
3110.000000 85.616 15.3163
3150.000000 85.551 14.7222
3200.000000 85.471 14.1597
3250.000000 85.427 13.5487
3300.000000 85.397 12.8458
3350.000000 85.372 12.1234
3400.000000 85.342 11.4048
3450.000000 85.315 10.5829
3500.000000 85.279 9.7670
3550.000000 85.242 8.9728
3600.000000 85.206 8.3553
3650.000000 85.191 7.7412
3700.000000 85.208 7.1934
3750.000000 85.252 6.5089
3820.000000 85.365 4.9775
3870.000000 85.444 3.4237
3950.000000 85.511 0.3037
4000.000000 85.525 -1.9804
4060.000000 85.443 -4.8925
4120.000000 85.316 -8.1022
4180.000000 85.119 -11.6198
4250.000000 84.712 -16.0019
4310.000000 84.212 -19.7486
4370.000000 83.524 -23.1798
4440.000000 82.418 -26.3413
4500.000000 81.229 -27.4844
4550.000000 80.041 -26.1682
4620.000000 78.336 -19.2916
4680.000000 77.435 -7.5718
4750.000000 77.884 7.1861
4820.000000 79.302 15.0232
4870.000000 80.325 16.0204
4940.000000 81.359 13.7839
5000.000000 81.877 10.6298
5080.000000 82.097 5.5914
5150.000000 82.021 2.0685
5220.000000 81.804 -0.7255
5300.000000 81.421 -2.6023
5380.000000 81.019 -3.6029
5450.000000 80.682 -3.9502
5520.000000 80.363 -3.7375
5600.000000 80.005 -3.3564
5700.000000 79.611 -2.3609
5800.000000 79.229 -0.7250
