* Measurement data measured by REW V5.20.13
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), R, volume: 0,250
* Format: 256k Log Swept Sine, 1 sweep at -12,0 dBFS with no timing reference
* Dated: 20:56:52 27-09-2023
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: IKKO OH2 R
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 71.929 -136.2587
20.600000 71.996 -136.6844
20.900000 72.056 -137.0534
21.200001 72.111 -137.4388
21.400000 72.144 -137.7140
21.799999 72.199 -138.3015
22.000000 72.221 -138.6059
22.400000 72.256 -139.2103
22.700001 72.278 -139.6450
23.000000 72.301 -140.0628
23.299999 72.328 -140.4773
23.600000 72.359 -140.9028
24.000000 72.404 -141.5028
24.299999 72.439 -141.9757
24.700001 72.483 -142.6166
25.000000 72.515 -143.0855
25.400000 72.557 -143.6765
25.799999 72.602 -144.2266
26.200001 72.649 -144.7496
26.500000 72.685 -145.1329
26.900000 72.730 -145.6334
27.200001 72.762 -145.9937
27.600000 72.800 -146.4404
28.000000 72.836 -146.8415
28.500000 72.882 -147.3016
29.000000 72.929 -147.7743
29.500000 72.970 -148.2916
30.000000 72.997 -148.8158
30.400000 73.013 -149.1968
30.700001 73.024 -149.4543
31.100000 73.045 -149.7877
31.500000 73.071 -150.1519
32.000000 73.102 -150.6818
32.500000 73.121 -151.2366
33.000000 73.132 -151.7141
33.500000 73.151 -152.1040
34.000000 73.185 -152.5031
34.500000 73.221 -152.9788
35.000000 73.244 -153.4711
35.500000 73.257 -153.8696
36.000000 73.279 -154.1691
36.500000 73.313 -154.4761
37.000000 73.347 -154.8694
37.500000 73.366 -155.2977
38.200001 73.374 -155.7736
38.700001 73.386 -156.0293
39.500000 73.419 -156.5288
40.000000 73.432 -156.9078
40.599998 73.436 -157.3215
41.200001 73.444 -157.6572
41.799999 73.464 -157.9984
42.500000 73.490 -158.4654
43.099998 73.507 -158.8699
43.700001 73.523 -159.2490
44.400002 73.541 -159.6876
45.000000 73.548 -160.0276
45.500000 73.555 -160.2433
46.200001 73.581 -160.5217
46.799999 73.606 -160.8691
47.500000 73.611 -161.3172
48.200001 73.607 -161.6018
48.700001 73.619 -161.7783
49.400002 73.639 -162.1904
50.000000 73.629 -162.5645
50.799999 73.614 -162.7592
51.500000 73.649 -162.9179
52.200001 73.684 -163.3612
53.000000 73.679 -163.8571
53.799999 73.677 -164.1121
54.500000 73.692 -164.3665
55.200001 73.696 -164.6515
56.000000 73.699 -164.8908
57.000000 73.716 -165.2010
58.000000 73.726 -165.5842
59.000000 73.726 -165.9657
60.000000 73.723 -166.2904
60.799999 73.726 -166.5428
61.500000 73.731 -166.7544
62.200001 73.742 -166.9729
63.000000 73.755 -167.3037
64.000000 73.747 -167.6560
65.000000 73.760 -167.8500
66.000000 73.779 -168.2392
67.000000 73.768 -168.5401
68.000000 73.775 -168.7867
69.000000 73.765 -169.1042
70.000000 73.759 -169.2848
71.000000 73.762 -169.5731
72.000000 73.754 -169.8117
73.000000 73.763 -170.0714
74.000000 73.758 -170.3719
75.000000 73.762 -170.5751
76.199997 73.762 -170.9082
77.500000 73.768 -171.1027
78.800003 73.774 -171.4855
80.000000 73.766 -171.7281
81.199997 73.761 -172.0152
82.500000 73.755 -172.2447
83.800003 73.763 -172.5279
85.000000 73.761 -172.8235
86.199997 73.757 -173.0541
87.500000 73.755 -173.2952
88.500000 73.752 -173.4784
90.000000 73.751 -173.7240
91.199997 73.749 -174.0251
92.500000 73.733 -174.2278
93.800003 73.732 -174.4468
95.000000 73.732 -174.5911
96.199997 73.735 -174.8646
97.500000 73.723 -175.0341
98.800003 73.711 -175.3158
100.000000 73.698 -175.3573
101.500000 73.706 -175.7246
103.000000 73.686 -175.9280
104.400002 73.672 -176.1479
106.000000 73.679 -176.2487
107.500000 73.671 -176.5996
109.000000 73.651 -176.7623
110.599998 73.639 -176.9575
112.000000 73.632 -177.0828
113.800003 73.641 -177.4290
115.000000 73.622 -177.5620
117.199997 73.609 -177.8311
118.000000 73.608 -177.8732
120.599998 73.586 -178.3056
122.000000 73.574 -178.3737
124.099998 73.564 -178.5929
125.000000 73.569 -178.7066
126.500000 73.551 -178.9615
128.000000 73.539 -179.0234
131.500000 73.510 -179.4138
132.000000 73.511 -179.4434
134.000000 73.506 -179.6668
136.000000 73.478 -179.8161
138.000000 73.467 -179.9766
140.000000 73.443 179.7110
143.000000 73.424 179.4833
145.000000 73.393 179.1929
147.500000 73.376 178.9070
150.000000 73.381 178.9140
152.500000 73.350 178.7061
155.000000 73.333 178.5500
157.500000 73.306 178.3378
160.000000 73.289 178.1363
162.500000 73.278 177.9836
165.000000 73.255 177.7940
167.500000 73.219 177.5776
170.000000 73.192 177.3889
172.500000 73.177 177.2872
175.000000 73.158 177.2007
177.500000 73.120 176.9947
180.000000 73.100 176.9213
182.500000 73.088 176.6966
185.000000 73.062 176.7532
187.500000 73.031 176.5239
190.000000 73.009 176.3347
192.500000 72.976 176.3179
195.000000 72.954 176.2074
197.500000 72.918 175.9642
200.000000 72.899 175.9279
203.000000 72.893 175.8322
206.000000 72.850 175.7170
209.000000 72.831 175.6256
212.000000 72.797 175.5741
214.000000 72.772 175.5334
218.000000 72.718 175.4902
220.000000 72.718 175.2644
224.000000 72.681 175.2803
227.000000 72.657 175.2640
230.000000 72.605 175.1369
233.000000 72.580 175.1146
236.000000 72.561 175.0810
240.000000 72.524 175.0079
243.000000 72.487 174.9821
247.000000 72.465 174.9865
250.000000 72.417 174.9119
254.000000 72.402 174.8545
258.000000 72.375 174.9074
262.000000 72.324 174.8902
265.000000 72.298 174.8990
269.000000 72.275 174.8319
272.000000 72.253 174.8811
276.000000 72.224 174.8278
280.000000 72.218 174.8387
285.000000 72.187 174.6871
290.000000 72.132 174.7996
295.000000 72.069 174.7714
300.000000 72.066 174.5826
304.000000 72.013 174.6457
307.000000 71.969 174.8272
311.000000 71.981 174.5258
315.000000 71.903 174.6735
320.000000 71.865 174.6189
325.000000 71.841 174.6874
330.000000 71.815 174.6980
335.000000 71.762 174.7788
340.000000 71.727 174.8502
345.000000 71.646 174.4849
350.000000 71.680 174.7748
355.000000 71.578 174.9007
360.000000 71.547 175.0457
365.000000 71.503 175.1852
370.000000 71.466 175.3558
375.000000 71.434 175.4669
382.000000 71.361 175.5616
387.000000 71.339 175.7411
395.000000 71.278 175.7015
400.000000 71.227 175.9743
406.000000 71.170 176.1003
412.000000 71.127 176.3610
418.000000 71.098 176.5261
425.000000 71.044 176.7268
431.000000 71.009 176.8708
437.000000 70.953 177.1583
444.000000 70.926 177.3253
450.000000 70.874 177.4177
455.000000 70.835 177.6408
462.000000 70.805 177.8425
468.000000 70.773 178.0615
475.000000 70.705 178.5511
482.000000 70.694 178.5461
487.000000 70.616 178.7567
494.000000 70.612 179.3423
500.000000 70.583 179.5860
508.000000 70.532 179.7335
515.000000 70.478 -179.9602
522.000000 70.371 -179.2031
530.000000 70.433 -179.1623
538.000000 70.380 -178.6968
545.000000 70.366 -178.3726
552.000000 70.361 -178.7710
560.000000 70.302 -177.6912
570.000000 70.276 -177.0999
580.000000 70.253 -176.3944
590.000000 70.251 -176.2387
600.000000 70.271 -175.7700
608.000000 70.300 -175.5029
615.000000 70.303 -175.6375
622.000000 70.324 -175.9295
630.000000 70.211 -176.7935
640.000000 69.917 -176.8683
650.000000 69.701 -175.7334
660.000000 69.623 -174.3453
670.000000 69.539 -173.1220
680.000000 69.558 -171.9376
690.000000 69.528 -170.5317
700.000000 69.527 -170.1856
710.000000 69.510 -169.5526
720.000000 69.520 -168.7414
730.000000 69.519 -168.2093
740.000000 69.500 -167.4040
750.000000 69.497 -166.3220
762.000000 69.486 -165.7492
775.000000 69.522 -164.6737
788.000000 69.507 -163.6768
800.000000 69.564 -162.8454
812.000000 69.555 -161.8398
825.000000 69.578 -160.9417
838.000000 69.613 -159.9866
850.000000 69.627 -158.8933
862.000000 69.715 -158.0441
875.000000 69.732 -157.1730
885.000000 69.813 -156.4609
900.000000 69.881 -155.3073
912.000000 69.908 -154.4993
925.000000 69.987 -153.7047
938.000000 70.053 -152.7754
950.000000 70.124 -151.5660
962.000000 70.223 -151.0901
975.000000 70.346 -150.1276
988.000000 70.415 -149.4573
1000.000000 70.523 -149.3022
1015.000000 70.671 -147.8453
1030.000000 70.742 -147.2268
1044.000000 70.915 -146.3651
1060.000000 71.045 -145.8147
1075.000000 71.136 -145.4496
1090.000000 71.313 -144.1288
1106.000000 71.472 -143.9869
1120.000000 71.590 -143.4272
1138.000000 71.754 -143.0161
1150.000000 71.902 -142.8044
1172.000000 72.095 -142.1855
1180.000000 72.173 -141.9592
1206.000000 72.416 -141.5614
1220.000000 72.541 -141.3856
1241.000000 72.699 -141.0697
1250.000000 72.806 -140.9946
1265.000000 72.940 -140.8548
1280.000000 73.050 -140.8017
1315.000000 73.349 -140.6383
1320.000000 73.421 -140.4420
1340.000000 73.564 -140.4725
1360.000000 73.707 -140.3851
1380.000000 73.847 -140.4240
1400.000000 74.008 -140.5790
1430.000000 74.228 -140.5750
1450.000000 74.363 -140.6381
1475.000000 74.572 -140.4440
1500.000000 74.735 -140.8043
1525.000000 74.923 -140.7566
1550.000000 75.086 -140.9662
1575.000000 75.250 -141.1109
1600.000000 75.415 -141.3836
1625.000000 75.609 -141.6071
1650.000000 75.788 -141.8772
1675.000000 75.984 -142.1417
1700.000000 76.136 -142.5501
1725.000000 76.308 -142.8748
1750.000000 76.503 -143.3893
1775.000000 76.667 -143.8983
1800.000000 76.847 -144.3672
1825.000000 77.021 -144.9269
1850.000000 77.214 -145.5859
1875.000000 77.361 -146.2755
1900.000000 77.528 -147.0980
1925.000000 77.724 -147.8666
1950.000000 77.878 -148.6811
1975.000000 78.026 -149.7545
2000.000000 78.169 -150.4545
2030.000000 78.359 -151.9809
2060.000000 78.516 -153.4558
2090.000000 78.648 -154.9523
2120.000000 78.775 -156.4296
2140.000000 78.860 -157.4793
2180.000000 78.981 -159.6797
2200.000000 79.030 -160.8475
2240.000000 79.105 -163.1936
2270.000000 79.137 -164.8985
2300.000000 79.149 -166.5844
2330.000000 79.146 -168.2651
2360.000000 79.104 -169.9023
2400.000000 79.053 -172.0808
2430.000000 78.980 -173.4908
2470.000000 78.876 -175.3528
2500.000000 78.763 -176.6501
2540.000000 78.638 -178.3663
2580.000000 78.489 -179.7119
2620.000000 78.311 179.1610
2650.000000 78.199 178.1241
2690.000000 78.015 177.2178
2720.000000 77.884 176.5398
2760.000000 77.706 175.9089
2800.000000 77.526 175.2921
2850.000000 77.311 174.6762
2900.000000 77.143 174.3708
2950.000000 76.958 174.1184
3000.000000 76.827 173.6827
3040.000000 76.648 174.1692
3070.000000 76.556 174.2029
3110.000000 76.474 174.3899
3150.000000 76.384 174.4028
3200.000000 76.300 174.8143
3250.000000 76.203 174.9932
3300.000000 76.165 175.5995
3350.000000 76.135 175.9705
3400.000000 76.107 176.4044
3450.000000 76.092 176.7281
3500.000000 76.123 177.3659
3550.000000 76.178 177.6170
3600.000000 76.229 177.9627
3650.000000 76.310 178.1482
3700.000000 76.411 178.3486
3750.000000 76.538 178.4420
3820.000000 76.733 178.4521
3870.000000 76.907 178.4019
3950.000000 77.199 177.8978
4000.000000 77.418 177.3133
4060.000000 77.682 176.2168
4120.000000 77.933 174.8217
4180.000000 78.201 173.0411
4250.000000 78.504 170.2704
4310.000000 78.707 167.5667
4370.000000 78.894 164.3930
4440.000000 78.999 160.1036
4500.000000 78.972 155.9393
4550.000000 78.911 152.6266
4620.000000 78.658 147.9184
4680.000000 78.372 143.9573
4750.000000 77.895 139.9855
4820.000000 77.330 136.4754
4870.000000 76.893 134.5092
4940.000000 76.271 132.2587
5000.000000 75.695 130.9242
5080.000000 74.942 129.5835
5150.000000 74.310 128.8647
5220.000000 73.672 129.1228
5300.000000 73.030 129.3164
5380.000000 72.367 130.2044
5450.000000 71.837 131.2957
5520.000000 71.381 132.5296
5600.000000 70.841 134.1478
5700.000000 70.248 136.4282
