* Measurement data measured by REW V5.20.13
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0,250
* Format: 256k Log Swept Sine, 1 sweep at -12,0 dBFS with no timing reference
* Dated: 23:48:27 21-09-2023
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: KZ LingLong L
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 84.277 162.9745
20.600000 84.232 162.4890
20.900000 84.183 162.0502
21.200001 84.136 161.6054
21.400000 84.107 161.3012
21.799999 84.051 160.6759
22.000000 84.025 160.3581
22.400000 83.970 159.7248
22.700001 83.927 159.2635
23.000000 83.883 158.8222
23.299999 83.838 158.4021
23.600000 83.793 158.0010
24.000000 83.733 157.4903
24.299999 83.689 157.1216
24.700001 83.632 156.6464
25.000000 83.591 156.3018
25.400000 83.537 155.8565
25.799999 83.481 155.4237
26.200001 83.423 154.9991
26.500000 83.377 154.6845
26.900000 83.313 154.2691
27.200001 83.263 153.9596
27.600000 83.197 153.5472
28.000000 83.134 153.1323
28.500000 83.060 152.6107
29.000000 82.992 152.0975
29.500000 82.925 151.6080
30.000000 82.857 151.1529
30.400000 82.800 150.8156
30.700001 82.756 150.5772
31.100000 82.698 150.2726
31.500000 82.641 149.9717
32.000000 82.572 149.5804
32.500000 82.504 149.1666
33.000000 82.432 148.7583
33.500000 82.357 148.3899
34.000000 82.284 148.0611
34.500000 82.215 147.7326
35.000000 82.146 147.3798
35.500000 82.074 147.0249
36.000000 82.002 146.7049
36.500000 81.935 146.4179
37.000000 81.871 146.1288
37.500000 81.803 145.8265
38.200001 81.697 145.4464
38.700001 81.622 145.2303
39.500000 81.520 144.8659
40.000000 81.460 144.5870
40.599998 81.381 144.2578
41.200001 81.301 143.9867
41.799999 81.224 143.7383
42.500000 81.134 143.4329
43.099998 81.055 143.1908
43.700001 80.983 142.9751
44.400002 80.909 142.7068
45.000000 80.843 142.4624
45.500000 80.787 142.2754
46.200001 80.707 142.0240
46.799999 80.634 141.7867
47.500000 80.539 141.5383
48.200001 80.447 141.3773
48.700001 80.392 141.2666
49.400002 80.319 141.0478
50.000000 80.250 140.8636
50.799999 80.157 140.7208
51.500000 80.084 140.5858
52.200001 80.000 140.3837
53.000000 79.892 140.2178
53.799999 79.806 140.1082
54.500000 79.744 139.9337
55.200001 79.671 139.7602
56.000000 79.585 139.6650
57.000000 79.486 139.4953
58.000000 79.372 139.2773
59.000000 79.269 139.2208
60.000000 79.186 139.0875
60.799999 79.106 138.9263
61.500000 79.033 138.8562
62.200001 78.971 138.8062
63.000000 78.898 138.6975
64.000000 78.795 138.5996
65.000000 78.704 138.5321
66.000000 78.613 138.4316
67.000000 78.524 138.4106
68.000000 78.445 138.3466
69.000000 78.359 138.2603
70.000000 78.273 138.1940
71.000000 78.184 138.1257
72.000000 78.100 138.1029
73.000000 78.017 138.0795
74.000000 77.927 138.1125
75.000000 77.852 138.1267
76.199997 77.757 138.0212
77.500000 77.655 138.0905
78.800003 77.559 138.0929
80.000000 77.474 138.0858
81.199997 77.380 138.0930
82.500000 77.288 138.1654
83.800003 77.189 138.1423
85.000000 77.101 138.2570
86.199997 77.028 138.2520
87.500000 76.936 138.2305
88.500000 76.870 138.3175
90.000000 76.761 138.4608
91.199997 76.689 138.4833
92.500000 76.612 138.4662
93.800003 76.525 138.5731
95.000000 76.454 138.7353
96.199997 76.386 138.6985
97.500000 76.291 138.7705
98.800003 76.226 138.8868
100.000000 76.160 138.9081
101.500000 76.066 139.1039
103.000000 75.985 139.2331
104.400002 75.917 139.3304
106.000000 75.822 139.4469
107.500000 75.737 139.5761
109.000000 75.650 139.6635
110.599998 75.581 139.8653
112.000000 75.507 140.0253
113.800003 75.413 140.1462
115.000000 75.361 140.2731
117.199997 75.246 140.4561
118.000000 75.202 140.5595
120.599998 75.095 140.7375
122.000000 75.023 140.9576
124.099998 74.938 141.1102
125.000000 74.898 141.2509
126.500000 74.819 141.4247
128.000000 74.770 141.5229
131.500000 74.614 141.9546
132.000000 74.594 141.9978
134.000000 74.521 142.1763
136.000000 74.444 142.4263
138.000000 74.356 142.6143
140.000000 74.295 142.7487
143.000000 74.171 143.1401
145.000000 74.095 143.3174
147.500000 74.030 143.5876
150.000000 73.926 143.9380
152.500000 73.860 144.1705
155.000000 73.778 144.4818
157.500000 73.682 144.8394
160.000000 73.605 145.0994
162.500000 73.532 145.3618
165.000000 73.456 145.6755
167.500000 73.383 145.8521
170.000000 73.316 146.2828
172.500000 73.252 146.5630
175.000000 73.165 146.9223
177.500000 73.115 147.1859
180.000000 73.048 147.3387
182.500000 72.973 147.7410
185.000000 72.919 148.0175
187.500000 72.856 148.2980
190.000000 72.775 148.5473
192.500000 72.721 148.7979
195.000000 72.672 149.1196
197.500000 72.619 149.4462
200.000000 72.551 149.6878
203.000000 72.503 150.0016
206.000000 72.421 150.3340
209.000000 72.365 150.7700
212.000000 72.322 150.9711
214.000000 72.282 151.2672
218.000000 72.199 151.7978
220.000000 72.162 151.9861
224.000000 72.072 152.4003
227.000000 72.026 152.7791
230.000000 71.973 153.0520
233.000000 71.931 153.4722
236.000000 71.875 153.6565
240.000000 71.800 154.1412
243.000000 71.739 154.4257
247.000000 71.677 154.8058
250.000000 71.636 155.2036
254.000000 71.589 155.7495
258.000000 71.512 156.0923
262.000000 71.469 156.6152
265.000000 71.437 156.8222
269.000000 71.360 157.2368
272.000000 71.332 157.5883
276.000000 71.263 158.0630
280.000000 71.222 158.3370
285.000000 71.152 159.0886
290.000000 71.107 159.5259
295.000000 71.007 160.0400
300.000000 70.958 160.5258
304.000000 70.913 160.9919
307.000000 70.886 161.1165
311.000000 70.837 161.7258
315.000000 70.774 162.0012
320.000000 70.725 162.6371
325.000000 70.651 163.1642
330.000000 70.584 163.7901
335.000000 70.521 164.6042
340.000000 70.485 165.1467
345.000000 70.403 166.0783
350.000000 70.366 167.0552
355.000000 70.327 167.9216
360.000000 70.378 169.0403
365.000000 70.441 169.9727
370.000000 70.522 170.4219
375.000000 70.613 170.5435
382.000000 70.647 170.4650
387.000000 70.644 170.3946
395.000000 70.590 170.4901
400.000000 70.567 170.8298
406.000000 70.529 171.0974
412.000000 70.464 171.5719
418.000000 70.430 171.8971
425.000000 70.370 172.2658
431.000000 70.362 172.6094
437.000000 70.307 173.3075
444.000000 70.280 173.7237
450.000000 70.257 174.1562
455.000000 70.233 174.5206
462.000000 70.196 175.0043
468.000000 70.170 175.4066
475.000000 70.130 175.9777
482.000000 70.130 176.5364
487.000000 70.081 177.1366
494.000000 70.051 177.5840
500.000000 70.036 178.0122
508.000000 70.013 178.7688
515.000000 69.985 179.1540
522.000000 69.975 179.7531
530.000000 69.962 -179.6010
538.000000 69.904 -179.1016
545.000000 69.918 -178.5669
552.000000 69.913 -177.9554
560.000000 69.856 -177.4709
570.000000 69.871 -176.6071
580.000000 69.868 -175.8450
590.000000 69.851 -175.0969
600.000000 69.850 -174.4534
608.000000 69.866 -173.7331
615.000000 69.809 -173.2636
622.000000 69.817 -172.6105
630.000000 69.833 -172.0996
640.000000 69.822 -171.3388
650.000000 69.796 -170.5658
660.000000 69.814 -169.9497
670.000000 69.829 -169.1070
680.000000 69.841 -168.3066
690.000000 69.856 -167.5490
700.000000 69.842 -166.8508
710.000000 69.859 -166.0969
720.000000 69.899 -165.4335
730.000000 69.951 -164.6031
740.000000 69.955 -164.0245
750.000000 69.967 -163.1342
762.000000 70.026 -162.3958
775.000000 70.080 -161.4521
788.000000 70.157 -160.7272
800.000000 70.258 -160.6623
812.000000 70.142 -161.6503
825.000000 69.915 -158.7501
838.000000 70.022 -156.6978
850.000000 70.169 -155.7076
862.000000 70.262 -154.9035
875.000000 70.321 -153.9672
885.000000 70.384 -153.4165
900.000000 70.526 -152.4141
912.000000 70.598 -151.7171
925.000000 70.695 -150.9839
938.000000 70.797 -150.3193
950.000000 70.879 -149.8990
962.000000 70.976 -149.1585
975.000000 71.052 -148.5851
988.000000 71.151 -148.0128
1000.000000 71.251 -146.9322
1015.000000 71.268 -146.3106
1030.000000 71.372 -145.4743
1044.000000 71.539 -144.6650
1060.000000 71.672 -143.8648
1075.000000 71.829 -143.3600
1090.000000 71.977 -142.8597
1106.000000 72.138 -142.3604
1120.000000 72.277 -141.9627
1138.000000 72.443 -141.6142
1150.000000 72.534 -141.3583
1172.000000 72.741 -140.9791
1180.000000 72.806 -140.8394
1206.000000 73.003 -140.3913
1220.000000 73.088 -140.4495
1241.000000 73.241 -140.2274
1250.000000 73.330 -140.0641
1265.000000 73.431 -140.0108
1280.000000 73.535 -139.7693
1315.000000 73.772 -139.5580
1320.000000 73.814 -139.4968
1340.000000 73.946 -139.4171
1360.000000 74.065 -139.3438
1380.000000 74.200 -139.2454
1400.000000 74.331 -139.2916
1430.000000 74.489 -139.0392
1450.000000 74.604 -138.9805
1475.000000 74.721 -138.8131
1500.000000 74.908 -138.6729
1525.000000 75.038 -138.4493
1550.000000 75.197 -138.4909
1575.000000 75.328 -138.4460
1600.000000 75.460 -138.2110
1625.000000 75.622 -138.2773
1650.000000 75.775 -138.3649
1675.000000 75.928 -138.2478
1700.000000 76.060 -138.2071
1725.000000 76.241 -138.3622
1750.000000 76.382 -138.5110
1775.000000 76.534 -138.4834
1800.000000 76.714 -138.5107
1825.000000 76.877 -138.6502
1850.000000 77.021 -138.9609
1875.000000 77.204 -139.2496
1900.000000 77.360 -139.6098
1925.000000 77.521 -139.7741
1950.000000 77.685 -140.1765
1975.000000 77.848 -140.6279
2000.000000 78.083 -141.3047
2030.000000 78.200 -141.7778
2060.000000 78.409 -142.4610
2090.000000 78.600 -143.3070
2120.000000 78.767 -144.1917
2140.000000 78.886 -144.7721
2180.000000 79.112 -146.1713
2200.000000 79.205 -146.8127
2240.000000 79.426 -148.5025
2270.000000 79.558 -149.8695
2300.000000 79.707 -151.1448
2330.000000 79.810 -152.6128
2360.000000 79.919 -154.0648
2400.000000 80.039 -156.1161
2430.000000 80.092 -157.5625
2470.000000 80.152 -159.7742
2500.000000 80.186 -161.2748
2540.000000 80.207 -163.3362
2580.000000 80.167 -165.4607
2620.000000 80.120 -167.5868
2650.000000 80.055 -169.0297
2690.000000 79.962 -170.8811
2720.000000 79.867 -172.2826
2760.000000 79.731 -173.9891
2800.000000 79.570 -175.4550
2850.000000 79.346 -177.1171
2900.000000 79.082 -178.4785
2950.000000 78.825 -179.4684
3000.000000 78.611 179.7278
3040.000000 78.424 -179.9000
3070.000000 78.376 -179.9536
3110.000000 78.322 179.8178
3150.000000 78.257 179.2690
3200.000000 78.127 178.2317
3250.000000 78.006 177.3935
3300.000000 77.825 176.5267
3350.000000 77.641 175.8955
3400.000000 77.451 175.5643
3450.000000 77.278 175.2028
3500.000000 77.105 175.0954
3550.000000 76.928 174.8809
3600.000000 76.736 174.5963
3650.000000 76.549 174.9904
3700.000000 76.377 174.8773
3750.000000 76.232 175.2401
3820.000000 76.058 175.6764
3870.000000 75.930 176.1511
3950.000000 75.769 176.8945
4000.000000 75.477 177.0529
4060.000000 75.503 177.4594
4120.000000 75.450 177.9627
4180.000000 75.336 178.5353
4250.000000 75.251 179.1748
4310.000000 75.182 179.5054
4370.000000 75.084 -179.9954
4440.000000 75.028 -179.0839
4500.000000 74.960 -178.6829
4550.000000 74.908 -178.1153
4620.000000 74.883 -177.5850
4680.000000 74.837 -176.9841
4750.000000 74.780 -176.5204
4820.000000 74.780 -175.7673
4870.000000 74.748 -175.4639
4940.000000 74.725 -175.3513
5000.000000 74.673 -175.1661
5080.000000 74.680 -174.0083
5150.000000 74.673 -173.4398
5220.000000 74.637 -173.0195
5300.000000 74.627 -172.4103
5380.000000 74.702 -171.8739
5450.000000 74.647 -171.4284
5520.000000 74.646 -171.3446
5600.000000 74.664 -170.7924
5700.000000 74.716 -170.1582
5800.000000 74.702 -169.9770
5900.000000 74.716 -169.7883
6000.000000 74.672 -169.9290
6080.000000 74.542 -169.7272
6150.000000 74.484 -169.4606
6220.000000 74.336 -168.6626
