* Measurement data measured by REW V5.20.13
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), R, volume: 0,250
* Format: 256k Log Swept Sine, 1 sweep at -12,0 dBFS with no timing reference
* Dated: 23:52:38 21-09-2023
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: KZ LingLong R
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 84.475 166.0835
20.600000 84.438 165.5813
20.900000 84.396 165.1288
21.200001 84.354 164.6704
21.400000 84.328 164.3579
21.799999 84.276 163.7204
22.000000 84.251 163.3998
22.400000 84.201 162.7697
22.700001 84.165 162.3160
23.000000 84.128 161.8818
23.299999 84.091 161.4626
23.600000 84.055 161.0528
24.000000 84.004 160.5143
24.299999 83.964 160.1158
24.700001 83.909 159.5975
25.000000 83.867 159.2230
25.400000 83.813 158.7439
25.799999 83.762 158.2804
26.200001 83.713 157.8210
26.500000 83.676 157.4748
26.900000 83.625 157.0121
27.200001 83.585 156.6688
27.600000 83.529 156.2232
28.000000 83.471 155.7957
28.500000 83.401 155.2830
29.000000 83.335 154.7814
29.500000 83.270 154.2822
30.000000 83.205 153.7912
30.400000 83.152 153.4143
30.700001 83.111 153.1445
31.100000 83.057 152.8001
31.500000 83.003 152.4657
32.000000 82.938 152.0469
32.500000 82.873 151.6215
33.000000 82.806 151.2015
33.500000 82.739 150.8027
34.000000 82.673 150.4289
34.500000 82.608 150.0710
35.000000 82.543 149.7208
35.500000 82.478 149.3769
36.000000 82.413 149.0412
36.500000 82.348 148.7141
37.000000 82.284 148.3959
37.500000 82.221 148.0871
38.200001 82.133 147.6637
38.700001 82.071 147.3614
39.500000 81.969 146.8924
40.000000 81.905 146.6252
40.599998 81.830 146.3276
41.200001 81.757 146.0340
41.799999 81.684 145.7414
42.500000 81.599 145.4189
43.099998 81.531 145.1521
43.700001 81.464 144.8763
44.400002 81.381 144.5594
45.000000 81.306 144.3158
45.500000 81.244 144.1252
46.200001 81.159 143.8598
46.799999 81.090 143.6483
47.500000 81.016 143.4247
48.200001 80.942 143.1769
48.700001 80.879 142.9948
49.400002 80.779 142.8175
50.000000 80.704 142.7303
50.799999 80.634 142.5075
51.500000 80.575 142.1780
52.200001 80.500 141.9173
53.000000 80.414 141.7696
53.799999 80.331 141.6017
54.500000 80.252 141.4191
55.200001 80.175 141.2665
56.000000 80.098 141.0993
57.000000 79.998 140.8723
58.000000 79.896 140.6900
59.000000 79.799 140.5277
60.000000 79.704 140.3865
60.799999 79.628 140.2668
61.500000 79.562 140.1447
62.200001 79.496 140.0227
63.000000 79.420 139.9171
64.000000 79.329 139.8485
65.000000 79.243 139.7334
66.000000 79.147 139.6030
67.000000 79.058 139.5170
68.000000 78.969 139.4084
69.000000 78.882 139.3463
70.000000 78.802 139.2644
71.000000 78.721 139.2284
72.000000 78.643 139.1727
73.000000 78.557 139.1033
74.000000 78.479 139.0568
75.000000 78.396 139.0072
76.199997 78.302 139.0280
77.500000 78.204 138.9074
78.800003 78.105 138.8879
80.000000 78.020 138.9348
81.199997 77.928 138.9713
82.500000 77.828 138.9434
83.800003 77.738 138.9270
85.000000 77.663 138.9046
86.199997 77.570 138.9230
87.500000 77.488 138.9941
88.500000 77.427 138.9492
90.000000 77.316 139.0255
91.199997 77.242 139.0712
92.500000 77.158 139.0821
93.800003 77.091 139.1953
95.000000 77.008 139.2261
96.199997 76.932 139.3224
97.500000 76.862 139.2424
98.800003 76.781 139.3638
100.000000 76.707 139.5609
101.500000 76.627 139.6464
103.000000 76.536 139.6144
104.400002 76.470 139.8037
106.000000 76.370 139.8495
107.500000 76.298 139.9715
109.000000 76.221 140.0916
110.599998 76.133 140.2061
112.000000 76.063 140.2887
113.800003 75.972 140.4753
115.000000 75.909 140.5589
117.199997 75.809 140.7057
118.000000 75.765 140.7475
120.599998 75.638 141.0126
122.000000 75.569 141.1361
124.099998 75.501 141.2818
125.000000 75.455 141.3712
126.500000 75.392 141.5315
128.000000 75.324 141.6672
131.500000 75.170 142.0100
132.000000 75.153 142.0569
134.000000 75.070 142.3003
136.000000 74.989 142.4792
138.000000 74.920 142.7093
140.000000 74.841 142.8458
143.000000 74.732 143.1862
145.000000 74.660 143.3824
147.500000 74.574 143.5943
150.000000 74.509 143.7903
152.500000 74.393 144.1954
155.000000 74.329 144.4737
157.500000 74.232 144.7691
160.000000 74.157 144.9762
162.500000 74.082 145.2270
165.000000 74.003 145.4977
167.500000 73.928 145.9408
170.000000 73.858 146.0652
172.500000 73.795 146.3286
175.000000 73.706 146.6557
177.500000 73.646 146.8856
180.000000 73.560 147.0943
182.500000 73.515 147.3975
185.000000 73.458 147.6524
187.500000 73.400 147.9906
190.000000 73.332 148.2744
192.500000 73.265 148.5587
195.000000 73.210 148.7906
197.500000 73.153 149.0991
200.000000 73.117 149.2852
203.000000 73.037 149.7430
206.000000 72.970 150.0227
209.000000 72.905 150.2924
212.000000 72.854 150.5582
214.000000 72.796 150.8264
218.000000 72.732 151.3582
220.000000 72.697 151.5123
224.000000 72.620 151.8384
227.000000 72.556 152.1766
230.000000 72.504 152.4651
233.000000 72.466 152.8297
236.000000 72.408 153.1746
240.000000 72.343 153.6430
243.000000 72.296 153.9836
247.000000 72.218 154.2856
250.000000 72.174 154.7347
254.000000 72.105 155.0456
258.000000 72.054 155.4158
262.000000 71.985 155.9160
265.000000 71.947 156.1938
269.000000 71.893 156.6667
272.000000 71.851 156.8475
276.000000 71.802 157.2823
280.000000 71.757 157.6245
285.000000 71.688 158.1194
290.000000 71.625 158.6726
295.000000 71.571 159.1826
300.000000 71.516 159.6209
304.000000 71.459 159.8880
307.000000 71.430 160.3979
311.000000 71.372 160.7243
315.000000 71.336 161.0627
320.000000 71.263 161.5810
325.000000 71.240 162.0361
330.000000 71.158 162.5075
335.000000 71.108 163.0181
340.000000 71.052 163.5970
345.000000 70.977 163.9206
350.000000 70.913 164.5820
355.000000 70.851 165.2604
360.000000 70.755 165.8394
365.000000 70.704 166.6078
370.000000 70.688 167.8332
375.000000 70.663 169.0173
382.000000 70.791 170.4695
387.000000 70.935 170.7002
395.000000 70.976 170.4369
400.000000 70.983 170.4419
406.000000 70.945 170.4586
412.000000 70.871 170.8410
418.000000 70.838 171.1860
425.000000 70.827 171.4976
431.000000 70.743 171.8432
437.000000 70.716 172.3312
444.000000 70.675 172.7281
450.000000 70.659 173.1611
455.000000 70.624 173.5823
462.000000 70.591 174.0493
468.000000 70.534 174.5210
475.000000 70.509 175.0446
482.000000 70.491 175.5714
487.000000 70.469 175.9887
494.000000 70.426 176.5098
500.000000 70.409 176.8941
508.000000 70.396 177.5374
515.000000 70.380 177.9986
522.000000 70.346 178.6586
530.000000 70.319 179.0887
538.000000 70.296 179.7499
545.000000 70.285 -179.6316
552.000000 70.249 -179.2191
560.000000 70.254 -178.4059
570.000000 70.226 -177.6769
580.000000 70.210 -177.0995
590.000000 70.221 -176.2175
600.000000 70.176 -175.5109
608.000000 70.178 -174.8724
615.000000 70.137 -174.3664
622.000000 70.170 -173.8131
630.000000 70.158 -173.3707
640.000000 70.169 -172.4164
650.000000 70.139 -171.6809
660.000000 70.146 -171.1116
670.000000 70.159 -170.2721
680.000000 70.112 -169.6094
690.000000 70.148 -168.7672
700.000000 70.159 -168.0350
710.000000 70.156 -167.4374
720.000000 70.166 -166.4753
730.000000 70.174 -165.9462
740.000000 70.214 -165.2009
750.000000 70.252 -164.3353
762.000000 70.278 -163.4451
775.000000 70.351 -162.5248
788.000000 70.392 -161.9589
800.000000 70.376 -161.9170
812.000000 70.248 -160.1996
825.000000 70.328 -158.8649
838.000000 70.408 -158.0023
850.000000 70.465 -157.1129
862.000000 70.532 -156.3807
875.000000 70.614 -155.3179
885.000000 70.656 -154.6972
900.000000 70.751 -153.6035
912.000000 70.795 -152.9171
925.000000 70.872 -151.9566
938.000000 70.949 -151.2542
950.000000 71.004 -150.2546
962.000000 71.127 -149.3895
975.000000 71.263 -148.6093
988.000000 71.398 -147.7689
1000.000000 71.508 -148.0379
1015.000000 71.636 -146.4523
1030.000000 71.742 -146.0496
1044.000000 71.900 -145.4237
1060.000000 72.056 -144.9273
1075.000000 72.137 -144.4637
1090.000000 72.266 -144.0230
1106.000000 72.426 -143.5566
1120.000000 72.572 -143.1960
1138.000000 72.702 -142.7571
1150.000000 72.814 -142.2833
1172.000000 72.976 -142.0545
1180.000000 73.047 -141.9040
1206.000000 73.227 -141.5771
1220.000000 73.366 -141.4200
1241.000000 73.501 -141.2306
1250.000000 73.564 -141.1862
1265.000000 73.654 -141.0292
1280.000000 73.759 -140.8312
1315.000000 73.981 -140.6438
1320.000000 74.027 -140.6326
1340.000000 74.122 -140.5044
1360.000000 74.243 -140.4376
1380.000000 74.375 -140.2347
1400.000000 74.457 -140.1786
1430.000000 74.650 -139.9549
1450.000000 74.766 -139.7404
1475.000000 74.902 -139.5648
1500.000000 75.033 -139.5807
1525.000000 75.160 -139.3089
1550.000000 75.314 -139.2379
1575.000000 75.447 -139.1964
1600.000000 75.596 -139.2903
1625.000000 75.729 -138.9301
1650.000000 75.884 -138.8456
1675.000000 76.026 -138.8138
1700.000000 76.173 -138.7013
1725.000000 76.332 -138.6730
1750.000000 76.472 -138.6745
1775.000000 76.600 -138.8389
1800.000000 76.788 -138.7754
1825.000000 76.952 -138.8707
1850.000000 77.105 -139.1379
1875.000000 77.266 -139.2724
1900.000000 77.432 -139.3535
1925.000000 77.577 -139.7435
1950.000000 77.735 -139.9269
1975.000000 77.903 -140.3992
2000.000000 78.065 -140.2782
2030.000000 78.260 -141.2706
2060.000000 78.462 -141.7659
2090.000000 78.634 -142.5718
2120.000000 78.844 -143.4403
2140.000000 78.956 -143.9711
2180.000000 79.193 -145.1866
2200.000000 79.294 -145.8394
2240.000000 79.518 -147.2218
2270.000000 79.671 -148.4256
2300.000000 79.801 -149.6418
2330.000000 79.938 -150.9926
2360.000000 80.052 -152.3406
2400.000000 80.181 -154.0833
2430.000000 80.266 -155.6183
2470.000000 80.359 -157.6213
2500.000000 80.382 -159.1338
2540.000000 80.444 -161.1867
2580.000000 80.436 -163.2159
2620.000000 80.406 -165.1766
2650.000000 80.372 -166.6638
2690.000000 80.302 -168.5537
2720.000000 80.232 -169.8789
2760.000000 80.118 -171.6732
2800.000000 79.963 -173.1866
2850.000000 79.758 -174.8139
2900.000000 79.512 -176.1906
2950.000000 79.276 -176.8688
3000.000000 79.081 -177.6340
3040.000000 78.984 -177.1903
3070.000000 78.956 -177.3771
3110.000000 78.957 -178.0753
3150.000000 78.914 -179.0583
3200.000000 78.784 179.7862
3250.000000 78.644 178.6030
3300.000000 78.467 177.7819
3350.000000 78.289 177.0868
3400.000000 78.128 176.5467
3450.000000 77.933 176.0930
3500.000000 77.769 175.5070
3550.000000 77.614 175.3812
3600.000000 77.428 175.0532
3650.000000 77.223 174.8121
3700.000000 77.048 175.0969
3750.000000 76.878 175.2845
3820.000000 76.695 175.9278
3870.000000 76.584 176.2551
3950.000000 76.400 176.6208
4000.000000 76.392 177.0387
4060.000000 76.224 177.2849
4120.000000 76.127 177.6770
4180.000000 76.056 177.9510
4250.000000 75.951 178.5048
4310.000000 75.901 178.6674
4370.000000 75.852 179.0766
4440.000000 75.771 179.4498
4500.000000 75.723 179.8388
4550.000000 75.694 179.9364
4620.000000 75.608 -179.7848
4680.000000 75.581 -179.5129
4750.000000 75.524 -179.0137
4820.000000 75.502 -178.6946
4870.000000 75.443 -178.6096
4940.000000 75.402 -178.0338
5000.000000 75.434 -177.7891
5080.000000 75.356 -177.5562
5150.000000 75.322 -177.6379
5220.000000 75.281 -177.1588
5300.000000 75.254 -176.9694
5380.000000 75.232 -176.9304
5450.000000 75.158 -176.7227
5520.000000 75.113 -176.6821
5600.000000 75.072 -176.3804
5700.000000 74.998 -176.3887
5800.000000 74.925 -176.3959
5900.000000 74.835 -176.2343
6000.000000 74.690 -176.7972
6080.000000 74.527 -176.2540
6150.000000 74.361 -175.5596
6220.000000 74.157 -174.3394
