* Measurement data measured by REW V5.20.13
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), R, volume: 0,250
* Format: 256k Log Swept Sine, 1 sweep at -12,0 dBFS with no timing reference
* Dated: 20:37:12 26-11-2023
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Shure R
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 79.691 -144.9345
20.600000 79.746 -145.5084
20.900000 79.788 -145.9892
21.200001 79.823 -146.4424
21.400000 79.844 -146.7381
21.799999 79.884 -147.3318
22.000000 79.903 -147.6394
22.400000 79.939 -148.2932
22.700001 79.964 -148.8214
23.000000 79.986 -149.3754
23.299999 80.004 -149.9394
23.600000 80.021 -150.4986
24.000000 80.042 -151.2211
24.299999 80.061 -151.7464
24.700001 80.092 -152.4388
25.000000 80.117 -152.9614
25.400000 80.152 -153.6607
25.799999 80.183 -154.3404
26.200001 80.213 -154.9733
26.500000 80.235 -155.4118
26.900000 80.268 -155.9596
27.200001 80.295 -156.3598
27.600000 80.332 -156.9013
28.000000 80.365 -157.4627
28.500000 80.393 -158.1679
29.000000 80.405 -158.8100
29.500000 80.415 -159.3516
30.000000 80.433 -159.8554
30.400000 80.453 -160.3066
30.700001 80.465 -160.6866
31.100000 80.472 -161.2078
31.500000 80.472 -161.6871
32.000000 80.479 -162.2123
32.500000 80.500 -162.7810
33.000000 80.515 -163.4700
33.500000 80.504 -164.1132
34.000000 80.496 -164.5287
34.500000 80.526 -164.8933
35.000000 80.571 -165.5182
35.500000 80.571 -166.2941
36.000000 80.532 -166.7495
36.500000 80.534 -166.8323
37.000000 80.602 -167.1578
37.500000 80.640 -168.0354
38.200001 80.538 -168.9277
38.700001 80.501 -168.6869
39.500000 80.669 -169.1833
40.000000 80.669 -170.4842
40.599998 80.490 -171.1388
41.200001 80.472 -170.3685
41.799999 80.675 -170.7454
42.500000 80.665 -172.9357
43.099998 80.441 -173.1759
43.700001 80.474 -172.2528
44.400002 80.681 -173.2177
45.000000 80.589 -174.6482
45.500000 80.472 -174.5739
46.200001 80.552 -174.3668
46.799999 80.552 -175.4717
47.500000 80.384 -175.1594
48.200001 80.629 -174.3877
48.700001 80.823 -176.2057
49.400002 80.466 -179.0100
50.000000 80.078 -176.8402
50.799999 80.669 -174.3772
51.500000 80.970 -178.8125
52.200001 80.364 178.8017
53.000000 80.185 -177.2599
53.799999 80.753 -178.2728
54.500000 80.579 178.5037
55.200001 80.188 179.2956
56.000000 80.405 -178.8389
57.000000 80.646 178.5710
58.000000 80.333 177.2026
59.000000 80.248 178.3199
60.000000 80.427 178.0202
60.799999 80.446 176.8078
61.500000 80.364 176.0765
62.200001 80.276 175.8646
63.000000 80.235 176.0081
64.000000 80.304 175.9210
65.000000 80.357 174.9405
66.000000 80.282 173.8023
67.000000 80.119 173.4416
68.000000 80.062 174.0387
69.000000 80.181 174.0607
70.000000 80.250 172.8915
71.000000 80.155 171.6976
72.000000 79.997 171.3755
73.000000 79.927 171.7888
74.000000 79.990 171.9410
75.000000 80.056 171.3261
76.199997 80.041 170.3557
77.500000 79.976 169.5737
78.800003 79.886 169.0336
80.000000 79.827 168.8622
81.199997 79.801 168.5847
82.500000 79.769 168.1683
83.800003 79.732 167.7577
85.000000 79.700 167.3882
86.199997 79.673 167.0365
87.500000 79.637 166.6179
88.500000 79.605 166.3595
90.000000 79.562 165.9542
91.199997 79.520 165.5964
92.500000 79.474 165.1859
93.800003 79.421 164.8213
95.000000 79.384 164.5148
96.199997 79.340 164.2724
97.500000 79.301 163.9800
98.800003 79.232 163.7079
100.000000 79.172 163.3790
101.500000 79.092 162.8555
103.000000 79.025 162.1520
104.400002 79.008 161.5944
106.000000 78.995 161.0096
107.500000 78.989 160.7365
109.000000 78.921 160.7370
110.599998 78.854 160.6683
112.000000 78.758 160.4250
113.800003 78.643 159.8845
115.000000 78.620 159.4728
117.199997 78.568 158.8979
118.000000 78.545 158.7531
120.599998 78.442 158.5261
122.000000 78.365 158.3376
124.099998 78.257 157.8729
125.000000 78.220 157.6622
126.500000 78.182 157.3592
128.000000 78.117 157.1700
131.500000 77.967 156.7106
132.000000 77.936 156.6231
134.000000 77.865 156.4134
136.000000 77.775 156.0216
138.000000 77.682 155.9132
140.000000 77.589 155.6280
143.000000 77.439 155.3580
145.000000 77.353 155.1291
147.500000 77.236 154.9418
150.000000 77.101 154.7912
152.500000 76.952 154.5865
155.000000 76.835 154.5265
157.500000 76.668 154.5718
160.000000 76.532 154.5494
162.500000 76.405 154.9399
165.000000 76.206 155.2555
167.500000 76.108 155.7570
170.000000 75.936 156.5227
172.500000 75.911 157.1875
175.000000 75.867 158.3256
177.500000 75.930 158.8075
180.000000 75.958 159.2421
182.500000 76.019 158.9743
185.000000 75.973 158.7952
187.500000 75.988 158.5792
190.000000 75.928 158.1664
192.500000 75.845 158.1738
195.000000 75.786 158.0932
197.500000 75.727 157.8483
200.000000 75.645 157.8282
203.000000 75.542 157.9839
206.000000 75.461 158.0639
209.000000 75.358 158.0751
212.000000 75.266 158.2000
214.000000 75.215 158.3606
218.000000 75.106 158.6744
220.000000 75.050 158.8679
224.000000 74.946 159.0840
227.000000 74.869 159.4048
230.000000 74.776 159.6576
233.000000 74.706 159.9451
236.000000 74.650 160.2280
240.000000 74.551 160.6955
243.000000 74.494 161.0015
247.000000 74.415 161.5361
250.000000 74.349 162.0582
254.000000 74.295 162.2217
258.000000 74.210 162.7776
262.000000 74.148 163.3292
265.000000 74.117 163.6617
269.000000 74.060 164.0890
272.000000 74.027 164.5206
276.000000 73.980 165.0220
280.000000 73.905 165.5372
285.000000 73.882 166.1724
290.000000 73.814 166.8350
295.000000 73.754 167.3616
300.000000 73.747 167.8901
304.000000 73.691 168.3764
307.000000 73.657 168.8853
311.000000 73.635 169.2943
315.000000 73.605 169.9767
320.000000 73.594 170.6017
325.000000 73.590 171.3338
330.000000 73.583 171.8428
335.000000 73.590 172.4886
340.000000 73.590 172.9338
345.000000 73.605 173.4498
350.000000 73.593 173.8791
355.000000 73.608 174.2743
360.000000 73.599 174.6330
365.000000 73.617 175.0153
370.000000 73.618 175.3807
375.000000 73.635 175.7790
382.000000 73.612 176.3953
387.000000 73.631 176.6939
395.000000 73.623 177.2965
400.000000 73.628 177.6545
406.000000 73.629 177.9889
412.000000 73.649 178.4219
418.000000 73.646 178.8116
425.000000 73.675 179.2896
431.000000 73.679 179.5810
437.000000 73.675 179.9141
444.000000 73.689 -179.5880
450.000000 73.673 -179.3982
455.000000 73.709 -179.0863
462.000000 73.699 -178.5942
468.000000 73.709 -178.3264
475.000000 73.690 -177.7777
482.000000 73.744 -177.3795
487.000000 73.747 -177.0461
494.000000 73.778 -176.7391
500.000000 73.809 -176.4936
508.000000 73.842 -176.0773
515.000000 73.867 -175.7132
522.000000 73.871 -175.6617
530.000000 73.887 -175.3704
538.000000 73.891 -174.9364
545.000000 73.905 -174.6248
552.000000 73.915 -174.4702
560.000000 73.934 -174.0199
570.000000 73.934 -173.6605
580.000000 73.956 -173.2249
590.000000 73.982 -172.9491
600.000000 73.992 -172.5908
608.000000 74.001 -172.0671
615.000000 74.023 -171.7962
622.000000 74.041 -171.4737
630.000000 74.040 -171.2372
640.000000 74.082 -170.8632
650.000000 74.090 -170.3547
660.000000 74.113 -170.0645
670.000000 74.139 -169.5948
680.000000 74.147 -169.1503
690.000000 74.190 -168.8102
700.000000 74.184 -168.3549
710.000000 74.204 -168.0492
720.000000 74.260 -167.5540
730.000000 74.274 -167.0781
740.000000 74.293 -166.6944
750.000000 74.318 -166.2057
762.000000 74.344 -165.7861
775.000000 74.380 -165.1938
788.000000 74.444 -164.5961
800.000000 74.495 -164.2390
812.000000 74.538 -163.6156
825.000000 74.578 -163.0268
838.000000 74.654 -162.5894
850.000000 74.698 -161.9415
862.000000 74.746 -161.5244
875.000000 74.808 -160.9915
885.000000 74.875 -160.5967
900.000000 74.958 -160.0046
912.000000 75.028 -159.4167
925.000000 75.120 -159.0220
938.000000 75.187 -158.6164
950.000000 75.293 -158.0657
962.000000 75.366 -157.7822
975.000000 75.459 -157.3240
988.000000 75.557 -157.0033
1000.000000 75.676 -156.3848
1015.000000 75.761 -156.2513
1030.000000 75.894 -155.9154
1044.000000 76.022 -155.7232
1060.000000 76.144 -155.4171
1075.000000 76.269 -155.1346
1090.000000 76.407 -154.9846
1106.000000 76.540 -154.9480
1120.000000 76.632 -154.8719
1138.000000 76.807 -154.7601
1150.000000 76.884 -154.8187
1172.000000 77.059 -154.8857
1180.000000 77.129 -154.8714
1206.000000 77.333 -155.2229
1220.000000 77.427 -155.2959
1241.000000 77.580 -155.5365
1250.000000 77.648 -155.5165
1265.000000 77.733 -155.7415
1280.000000 77.815 -156.0282
1315.000000 78.030 -156.7101
1320.000000 78.077 -156.7674
1340.000000 78.168 -157.0516
1360.000000 78.280 -157.4373
1380.000000 78.366 -157.9211
1400.000000 78.458 -158.2367
1430.000000 78.591 -158.8947
1450.000000 78.684 -159.2172
1475.000000 78.769 -159.7350
1500.000000 78.850 -160.1635
1525.000000 78.933 -160.6115
1550.000000 79.032 -161.0069
1575.000000 79.116 -161.5271
1600.000000 79.177 -161.8804
1625.000000 79.257 -162.2739
1650.000000 79.332 -162.7295
1675.000000 79.410 -163.1144
1700.000000 79.474 -163.5604
1725.000000 79.548 -163.9480
1750.000000 79.617 -164.3070
1775.000000 79.689 -164.6992
1800.000000 79.762 -165.0539
1825.000000 79.823 -165.4298
1850.000000 79.892 -165.8310
1875.000000 79.975 -166.1639
1900.000000 80.041 -166.5510
1925.000000 80.126 -166.9648
1950.000000 80.192 -167.3837
1975.000000 80.265 -167.9481
2000.000000 80.372 -168.2847
2030.000000 80.426 -168.9081
2060.000000 80.493 -169.5578
2090.000000 80.569 -170.0838
2120.000000 80.645 -170.6972
2140.000000 80.690 -171.0618
2180.000000 80.798 -171.8712
2200.000000 80.849 -172.2546
2240.000000 80.943 -173.2536
2270.000000 81.018 -174.0204
2300.000000 81.058 -174.7461
2330.000000 81.133 -175.3993
2360.000000 81.190 -176.1391
2400.000000 81.258 -177.1026
2430.000000 81.302 -177.8850
2470.000000 81.362 -178.8892
2500.000000 81.402 -179.6268
2540.000000 81.443 179.3094
2580.000000 81.497 178.1602
2620.000000 81.523 177.0546
2650.000000 81.549 176.2990
2690.000000 81.557 175.2008
2720.000000 81.575 174.3192
2760.000000 81.568 173.3056
2800.000000 81.562 172.2001
2850.000000 81.546 170.8167
2900.000000 81.500 169.5282
2950.000000 81.443 168.2609
3000.000000 81.416 166.9191
3040.000000 81.320 166.1851
3070.000000 81.264 165.4803
3110.000000 81.206 164.7407
3150.000000 81.143 164.0093
3200.000000 81.077 163.2789
3250.000000 80.993 162.2054
3300.000000 80.898 161.1335
3350.000000 80.771 160.1055
3400.000000 80.646 159.3226
3450.000000 80.485 158.5839
3500.000000 80.339 157.9857
3550.000000 80.169 157.4077
3600.000000 79.995 157.1546
3650.000000 79.827 157.0347
3700.000000 79.671 157.0345
3750.000000 79.505 157.1586
3820.000000 79.307 157.3564
3870.000000 79.174 157.7655
3950.000000 79.023 158.4926
4000.000000 78.912 159.2326
4060.000000 78.864 159.8956
4120.000000 78.829 160.4958
4180.000000 78.844 161.3946
4250.000000 78.891 162.0027
4310.000000 78.953 162.5536
4370.000000 79.021 162.8792
4440.000000 79.150 163.0264
4500.000000 79.237 163.0054
4550.000000 79.323 162.6521
4620.000000 79.427 162.3163
4680.000000 79.489 161.9379
4750.000000 79.555 161.3355
4820.000000 79.607 160.6679
4870.000000 79.635 160.0656
4940.000000 79.628 159.1595
5000.000000 79.635 158.5648
5080.000000 79.588 158.0568
5150.000000 79.538 157.4777
5220.000000 79.543 157.1328
5300.000000 79.493 156.4881
5380.000000 79.466 155.8063
5450.000000 79.419 155.4150
5520.000000 79.338 154.9590
5600.000000 79.251 154.4715
5700.000000 79.144 154.0819
5800.000000 79.019 153.9382
5900.000000 78.880 154.0769
6000.000000 78.768 154.0885
6080.000000 78.638 154.1541
