* Measurement data measured by REW V5.20.13
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), R, volume: 0,250
* Format: 256k Log Swept Sine, 1 sweep at -12,0 dBFS with no timing reference
* Dated: 22:53:16 04-06-2024
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Kefine Delci L
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 83.757 122.5664
1.015000 83.560 121.6615
1.030000 83.353 120.7470
1.044000 83.151 119.8841
1.060000 82.910 118.8861
1.075000 82.673 117.9380
1.090000 82.424 116.9771
1.106000 82.145 115.9654
1.120000 81.884 115.2426
1.138000 81.525 114.5456
1.150000 81.272 114.2039
1.172000 80.784 113.7778
1.180000 80.600 113.6730
1.206000 79.978 113.4473
1.220000 79.631 113.3608
1.241000 79.098 113.2136
1.250000 78.866 113.1275
1.265000 78.476 112.9303
1.280000 78.083 112.6413
1.315000 77.162 111.4501
1.320000 77.031 111.2054
1.340000 76.509 109.9977
1.360000 75.997 108.3733
1.380000 75.496 106.2646
1.400000 75.011 103.6040
1.430000 74.320 98.4304
1.450000 73.891 94.0941
1.475000 73.387 87.5064
1.500000 72.863 79.1815
1.525000 72.313 69.2566
1.550000 71.749 58.0005
1.575000 71.183 45.6817
1.600000 70.625 32.5692
1.625000 70.087 18.9318
1.650000 69.579 5.0380
1.675000 69.114 -8.8433
1.700000 68.702 -22.4434
1.725000 68.354 -35.4934
1.750000 68.082 -47.7247
1.775000 67.897 -58.8685
1.800000 67.811 -68.6561
1.825000 67.833 -76.8187
1.850000 67.988 -83.3260
1.875000 68.295 -88.6766
1.900000 68.736 -93.0098
1.925000 69.290 -96.4441
1.950000 69.936 -99.0984
1.975000 70.653 -101.0912
2.000000 71.420 -102.5414
2.030000 72.378 -103.7323
2.060000 73.342 -104.5177
2.090000 74.277 -105.1026
2.120000 75.147 -105.6923
2.140000 75.672 -106.1892
2.180000 76.546 -107.7059
2.200000 76.872 -108.8435
2.240000 77.390 -111.2147
2.270000 77.698 -112.8458
2.300000 77.946 -114.3628
2.330000 78.142 -115.7762
2.360000 78.293 -117.0969
2.400000 78.437 -118.7323
2.430000 78.512 -119.8785
2.470000 78.581 -121.3203
2.500000 78.620 -122.3506
2.540000 78.669 -123.6769
2.580000 78.725 -124.9710
2.620000 78.745 -126.2320
2.650000 78.734 -127.1424
2.690000 78.688 -128.2905
2.720000 78.633 -129.0895
2.760000 78.537 -130.0538
2.800000 78.422 -130.8811
2.850000 78.259 -131.6875
2.900000 78.087 -132.1987
2.950000 77.909 -132.3759
3.000000 77.683 -132.2536
3.040000 77.471 -131.9583
3.070000 77.301 -131.6270
3.110000 77.068 -131.0450
3.150000 76.839 -130.3103
3.200000 76.573 -129.1895
3.250000 76.352 -127.8585
3.300000 76.195 -126.3314
3.350000 76.090 -124.4004
3.400000 76.016 -122.0252
3.450000 75.974 -119.3719
3.500000 75.965 -116.6064
3.550000 75.990 -113.8948
3.600000 76.051 -111.4030
3.650000 76.148 -109.2971
3.700000 76.292 -107.6081
3.750000 76.501 -106.1008
3.820000 76.870 -104.2948
3.870000 77.162 -103.2362
3.950000 77.628 -101.9723
4.000000 77.890 -101.4672
4.060000 78.156 -101.1880
4.120000 78.409 -101.3451
4.180000 78.652 -101.8585
4.250000 78.912 -102.7737
4.310000 79.106 -103.7140
4.370000 79.264 -104.6920
4.440000 79.399 -105.8457
4.500000 79.477 -107.0137
4.550000 79.518 -108.0803
4.620000 79.543 -109.6404
4.680000 79.536 -110.9693
4.750000 79.499 -112.4185
4.820000 79.425 -113.7711
4.870000 79.345 -114.7499
4.940000 79.203 -116.0883
5.000000 79.061 -117.1597
5.080000 78.854 -118.4013
5.150000 78.665 -119.2464
5.220000 78.448 -119.9045
5.300000 78.172 -120.4576
5.380000 77.893 -120.8015
5.450000 77.668 -120.9332
5.520000 77.475 -120.8955
5.600000 77.268 -120.5259
5.700000 77.036 -119.7482
5.800000 76.860 -118.9266
5.900000 76.765 -118.3317
6.000000 76.758 -117.7399
6.080000 76.797 -117.3437
6.150000 76.850 -117.1577
6.220000 76.908 -117.2078
6.300000 76.988 -117.5848
6.400000 77.126 -118.4211
6.500000 77.271 -119.5835
6.600000 77.390 -120.9882
6.700000 77.485 -122.7188
6.800000 77.565 -124.7421
6.900000 77.623 -126.8725
7.000000 77.651 -128.9613
7.100000 77.647 -131.1422
7.200000 77.619 -133.3341
7.300000 77.579 -135.3884
7.400000 77.526 -137.2339
7.500000 77.452 -138.9560
7.620000 77.361 -140.7946
7.750000 77.289 -142.4064
7.880000 77.229 -143.6081
8.000000 77.202 -144.4798
8.120000 77.223 -145.2089
8.250000 77.296 -145.7490
8.380000 77.409 -146.2283
8.500000 77.544 -146.7722
8.620000 77.717 -147.3411
8.750000 77.919 -148.0327
8.850000 78.068 -148.6606
9.000000 78.299 -149.7496
9.120000 78.473 -150.6610
9.250000 78.635 -151.6440
9.380000 78.778 -152.6532
9.500000 78.893 -153.5137
9.620000 78.989 -154.2588
9.750000 79.072 -154.9728
9.880000 79.146 -155.5560
10.000000 79.208 -155.9503
10.150000 79.277 -156.2812
10.300000 79.348 -156.5007
10.440000 79.419 -156.5849
10.600000 79.502 -156.6191
10.750000 79.583 -156.6548
10.900000 79.665 -156.6768
11.060000 79.743 -156.7354
11.200000 79.805 -156.8165
11.380000 79.871 -156.9317
11.500000 79.903 -157.0148
11.720000 79.944 -157.1607
11.800000 79.954 -157.2015
12.060000 79.968 -157.3100
12.200000 79.970 -157.3628
12.410000 79.964 -157.4466
12.500000 79.960 -157.5034
12.650000 79.950 -157.6193
12.800000 79.934 -157.7708
13.150000 79.871 -158.2917
13.200000 79.859 -158.3772
13.400000 79.801 -158.7510
13.600000 79.736 -159.1402
13.800000 79.665 -159.5283
14.000000 79.599 -159.9315
14.300000 79.513 -160.5882
14.500000 79.471 -161.1163
14.750000 79.430 -161.9197
15.000000 79.398 -162.8926
15.250000 79.364 -164.0014
15.500000 79.329 -165.1555
15.750000 79.292 -166.2989
16.000000 79.264 -167.3516
16.250000 79.254 -168.3118
16.500000 79.265 -169.1939
16.750000 79.300 -170.0381
17.000000 79.352 -170.8791
17.250000 79.412 -171.7118
17.500000 79.473 -172.5236
17.750000 79.530 -173.2592
18.000000 79.582 -173.8972
18.250000 79.630 -174.4140
18.500000 79.679 -174.8235
18.750000 79.728 -175.1506
19.000000 79.776 -175.4188
19.250000 79.819 -175.6550
19.500000 79.853 -175.8603
19.750000 79.878 -176.0366
20.000000 79.893 -176.1807
20.299999 79.901 -176.3251
20.600000 79.897 -176.4608
20.900000 79.883 -176.6149
21.200001 79.856 -176.8052
21.400000 79.831 -176.9488
21.799999 79.767 -177.2642
22.000000 79.731 -177.4358
22.400000 79.659 -177.8273
22.700001 79.608 -178.2003
23.000000 79.560 -178.6696
23.299999 79.510 -179.2241
23.600000 79.459 -179.8296
24.000000 79.393 179.3463
24.299999 79.353 178.7435
24.700001 79.320 177.9474
25.000000 79.310 177.3327
25.400000 79.309 176.4845
25.799999 79.312 175.6597
26.200001 79.317 174.9375
26.500000 79.325 174.4850
26.900000 79.342 173.9847
27.200001 79.358 173.6627
27.600000 79.378 173.2841
28.000000 79.391 172.9648
28.500000 79.396 172.6478
29.000000 79.388 172.3752
29.500000 79.363 172.0991
30.000000 79.319 171.8188
30.400000 79.276 171.5917
30.700001 79.242 171.4044
31.100000 79.195 171.1039
31.500000 79.146 170.7374
32.000000 79.081 170.2180
32.500000 79.018 169.6732
33.000000 78.967 169.1016
33.500000 78.926 168.4890
34.000000 78.892 167.8707
34.500000 78.863 167.3024
35.000000 78.842 166.7971
35.500000 78.829 166.3375
36.000000 78.815 165.9209
36.500000 78.799 165.5577
37.000000 78.779 165.2422
37.500000 78.754 164.9585
38.200001 78.710 164.5930
38.700001 78.673 164.3275
39.500000 78.604 163.8397
40.000000 78.553 163.5211
40.599998 78.493 163.1508
41.200001 78.441 162.7556
41.799999 78.393 162.3206
42.500000 78.341 161.8109
43.099998 78.300 161.3778
43.700001 78.258 160.9540
44.400002 78.205 160.5483
45.000000 78.168 160.2621
45.500000 78.140 159.9903
46.200001 78.083 159.5945
46.799999 78.026 159.4042
47.500000 77.995 159.2861
48.200001 77.995 158.8513
48.700001 77.969 158.3129
49.400002 77.869 157.6894
50.000000 77.780 157.5599
50.799999 77.731 157.5093
51.500000 77.702 157.1859
52.200001 77.643 156.8556
53.000000 77.580 156.6471
53.799999 77.530 156.3430
54.500000 77.473 156.0336
55.200001 77.415 155.7664
56.000000 77.358 155.4277
57.000000 77.285 154.9525
58.000000 77.208 154.5296
59.000000 77.139 154.1931
60.000000 77.073 153.9211
60.799999 77.030 153.7061
61.500000 76.980 153.4296
62.200001 76.910 153.2504
63.000000 76.850 153.1564
64.000000 76.762 152.8132
65.000000 76.674 153.0032
66.000000 76.714 152.6655
67.000000 76.595 151.6679
68.000000 76.447 151.8009
69.000000 76.384 151.7293
70.000000 76.279 151.7442
71.000000 76.238 151.7752
72.000000 76.166 151.4353
73.000000 76.082 151.3502
74.000000 76.030 151.2540
75.000000 75.981 151.0930
76.199997 75.906 150.9655
77.500000 75.860 150.9363
78.800003 75.767 150.7086
80.000000 75.715 150.7701
81.199997 75.640 150.4008
82.500000 75.550 150.3675
83.800003 75.469 150.1340
85.000000 75.391 150.0683
86.199997 75.304 149.9863
87.500000 75.232 150.0076
88.500000 75.172 150.0141
90.000000 75.128 150.0835
91.199997 75.074 150.0401
92.500000 75.040 150.1726
93.800003 75.002 150.0862
95.000000 74.954 150.0945
96.199997 74.919 150.0035
97.500000 74.876 149.7744
98.800003 74.807 149.5767
100.000000 74.780 149.4934
101.500000 74.707 149.1012
103.000000 74.645 148.9973
104.400002 74.570 148.7626
106.000000 74.493 148.6469
107.500000 74.428 148.5153
109.000000 74.353 148.4149
110.599998 74.283 148.3685
112.000000 74.211 148.2476
113.800003 74.120 148.3349
115.000000 74.078 148.2558
117.199997 73.959 148.1527
118.000000 73.920 148.1565
120.599998 73.824 148.2291
122.000000 73.753 148.1471
124.099998 73.689 148.0570
125.000000 73.637 148.0844
126.500000 73.582 148.0949
128.000000 73.517 148.0784
131.500000 73.379 148.1372
132.000000 73.363 148.1316
134.000000 73.289 148.1205
136.000000 73.196 148.0456
138.000000 73.135 148.0900
140.000000 73.052 148.1123
143.000000 72.928 148.2277
145.000000 72.853 148.1660
147.500000 72.719 148.3160
150.000000 72.675 148.3109
152.500000 72.568 148.6383
155.000000 72.470 148.8178
157.500000 72.392 148.8804
160.000000 72.347 149.0441
162.500000 72.265 149.1431
165.000000 72.176 149.1675
167.500000 72.099 149.3438
170.000000 72.034 149.4922
172.500000 71.938 149.7596
175.000000 71.863 149.9584
177.500000 71.812 149.9828
180.000000 71.740 150.1191
182.500000 71.697 150.2321
185.000000 71.625 150.4559
187.500000 71.536 150.6998
190.000000 71.467 150.8107
192.500000 71.395 150.9854
195.000000 71.356 151.1364
197.500000 71.286 151.4203
200.000000 71.230 151.5929
203.000000 71.158 151.7506
206.000000 71.088 152.0764
209.000000 71.006 152.3026
212.000000 70.948 152.4907
214.000000 70.887 152.6772
218.000000 70.843 152.9944
220.000000 70.779 153.2134
224.000000 70.679 153.4916
227.000000 70.634 153.8428
230.000000 70.570 153.8986
233.000000 70.506 154.0856
236.000000 70.469 154.3925
240.000000 70.393 154.8574
243.000000 70.335 155.0456
247.000000 70.242 155.2924
250.000000 70.194 155.4728
254.000000 70.128 155.8987
258.000000 70.047 156.3472
262.000000 69.999 156.7836
265.000000 69.950 157.0341
269.000000 69.892 157.2133
272.000000 69.854 157.5618
276.000000 69.791 157.9298
280.000000 69.729 158.2629
285.000000 69.655 158.7172
290.000000 69.579 159.2165
295.000000 69.527 159.6712
300.000000 69.487 159.9448
304.000000 69.428 160.4111
307.000000 69.399 160.7122
311.000000 69.364 161.1653
315.000000 69.305 161.2635
320.000000 69.227 161.9161
325.000000 69.193 162.0776
330.000000 69.175 162.6271
335.000000 69.120 163.0230
340.000000 69.064 163.6130
