* Measurement data measured by REW V5.20.13
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), R, volume: 0,250
* Format: 256k Log Swept Sine, 1 sweep at -12,0 dBFS with no timing reference
* Dated: 22:56:42 04-06-2024
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Kefine Delci R
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 83.999 122.0665
1.015000 83.809 121.1584
1.030000 83.610 120.2420
1.044000 83.416 119.3789
1.060000 83.186 118.3823
1.075000 82.959 117.4375
1.090000 82.723 116.4818
1.106000 82.459 115.4772
1.120000 82.215 114.7582
1.138000 81.887 114.0623
1.150000 81.659 113.7194
1.172000 81.223 113.2886
1.180000 81.059 113.1815
1.206000 80.509 112.9477
1.220000 80.203 112.8572
1.241000 79.732 112.7061
1.250000 79.527 112.6193
1.265000 79.180 112.4229
1.280000 78.829 112.1377
1.315000 77.996 110.9698
1.320000 77.876 110.7304
1.340000 77.393 109.5499
1.360000 76.909 107.9633
1.380000 76.426 105.9044
1.400000 75.946 103.3070
1.430000 75.235 98.2565
1.450000 74.769 94.0234
1.475000 74.192 87.5943
1.500000 73.551 79.4908
1.525000 72.846 69.8466
1.550000 72.095 58.9182
1.575000 71.316 46.9621
1.600000 70.527 34.2348
1.625000 69.746 20.9929
1.650000 68.991 7.4929
1.675000 68.280 -6.0087
1.700000 67.631 -19.2553
1.725000 67.062 -31.9903
1.750000 66.592 -43.9573
1.775000 66.238 -54.8997
1.800000 66.018 -64.5610
1.825000 65.951 -72.6848
1.850000 66.061 -79.2518
1.875000 66.362 -84.7580
1.900000 66.830 -89.3298
1.925000 67.439 -93.0731
1.950000 68.164 -96.0936
1.975000 68.978 -98.4972
2.000000 69.857 -100.3897
2.030000 70.960 -102.1350
2.060000 72.075 -103.4795
2.090000 73.158 -104.6060
2.120000 74.163 -105.6974
2.140000 74.769 -106.4957
2.180000 75.768 -108.5061
2.200000 76.134 -109.8231
2.240000 76.707 -112.4624
2.270000 77.043 -114.2401
2.300000 77.311 -115.8640
2.330000 77.517 -117.3514
2.360000 77.672 -118.7195
2.400000 77.814 -120.3882
2.430000 77.882 -121.5455
2.470000 77.940 -122.9958
2.500000 77.969 -124.0363
2.540000 78.007 -125.3937
2.580000 78.056 -126.7505
2.620000 78.068 -128.0904
2.650000 78.048 -129.0641
2.690000 77.987 -130.2973
2.720000 77.919 -131.1576
2.760000 77.804 -132.1950
2.800000 77.666 -133.0804
2.850000 77.471 -133.9290
2.900000 77.263 -134.4376
2.950000 77.045 -134.5598
3.000000 76.765 -134.3545
3.040000 76.504 -133.9735
3.070000 76.294 -133.5641
3.110000 76.007 -132.8570
3.150000 75.725 -131.9695
3.200000 75.399 -130.6130
3.250000 75.128 -128.9899
3.300000 74.939 -127.1069
3.350000 74.814 -124.7046
3.400000 74.730 -121.7418
3.450000 74.686 -118.4315
3.500000 74.684 -114.9865
3.550000 74.723 -111.6197
3.600000 74.803 -108.5440
3.650000 74.925 -105.9722
3.700000 75.103 -103.9549
3.750000 75.360 -102.2072
3.820000 75.811 -100.1816
3.870000 76.166 -99.0305
3.950000 76.729 -97.6909
4.000000 77.041 -97.1615
4.060000 77.350 -96.8662
4.120000 77.638 -97.0686
4.180000 77.907 -97.6776
4.250000 78.190 -98.7390
4.310000 78.398 -99.8097
4.370000 78.567 -100.9000
4.440000 78.709 -102.1496
4.500000 78.789 -103.3977
4.550000 78.827 -104.5287
4.620000 78.844 -106.1701
4.680000 78.827 -107.5555
4.750000 78.776 -109.0490
4.820000 78.686 -110.4241
4.870000 78.591 -111.4107
4.940000 78.425 -112.7446
5.000000 78.261 -113.7936
5.080000 78.024 -114.9720
5.150000 77.811 -115.7241
5.220000 77.565 -116.2509
5.300000 77.256 -116.6153
5.380000 76.946 -116.7395
5.450000 76.699 -116.6622
5.520000 76.491 -116.4033
5.600000 76.275 -115.7309
5.700000 76.041 -114.5387
5.800000 75.870 -113.3379
5.900000 75.791 -112.4703
6.000000 75.813 -111.6829
6.080000 75.881 -111.1777
6.150000 75.957 -110.9333
6.220000 76.035 -110.9612
6.300000 76.133 -111.3690
6.400000 76.288 -112.3240
6.500000 76.445 -113.6543
6.600000 76.570 -115.2333
6.700000 76.661 -117.1522
6.800000 76.730 -119.3861
6.900000 76.773 -121.7267
7.000000 76.783 -124.0059
7.100000 76.756 -126.3707
7.200000 76.703 -128.7357
7.300000 76.638 -130.9419
7.400000 76.560 -132.9120
7.500000 76.461 -134.7367
7.620000 76.343 -136.6709
7.750000 76.249 -138.3503
7.880000 76.173 -139.5739
8.000000 76.139 -140.4510
8.120000 76.162 -141.1934
8.250000 76.246 -141.7422
8.380000 76.376 -142.2450
8.500000 76.530 -142.8440
8.620000 76.727 -143.4944
8.750000 76.953 -144.2910
8.850000 77.119 -145.0071
9.000000 77.374 -146.2495
9.120000 77.565 -147.2818
9.250000 77.742 -148.3800
9.380000 77.897 -149.4957
9.500000 78.022 -150.4383
9.620000 78.127 -151.2440
9.750000 78.219 -152.0036
9.880000 78.302 -152.6159
10.000000 78.373 -153.0211
10.150000 78.454 -153.3468
10.300000 78.539 -153.5568
10.440000 78.625 -153.6267
10.600000 78.724 -153.6451
10.750000 78.821 -153.6743
10.900000 78.918 -153.6940
11.060000 79.011 -153.7522
11.200000 79.084 -153.8359
11.380000 79.162 -153.9494
11.500000 79.202 -154.0265
11.720000 79.254 -154.1521
11.800000 79.268 -154.1816
12.060000 79.293 -154.2429
12.200000 79.302 -154.2690
12.410000 79.306 -154.3130
12.500000 79.306 -154.3560
12.650000 79.302 -154.4530
12.800000 79.293 -154.5901
13.150000 79.239 -155.0967
13.200000 79.228 -155.1808
13.400000 79.172 -155.5505
13.600000 79.107 -155.9341
13.800000 79.035 -156.3126
14.000000 78.968 -156.7062
14.300000 78.880 -157.3519
14.500000 78.838 -157.8826
14.750000 78.795 -158.7031
15.000000 78.760 -159.7083
15.250000 78.723 -160.8583
15.500000 78.684 -162.0543
15.750000 78.644 -163.2367
16.000000 78.613 -164.3225
16.250000 78.604 -165.3170
16.500000 78.620 -166.2387
16.750000 78.662 -167.1352
17.000000 78.721 -168.0400
17.250000 78.789 -168.9436
17.500000 78.857 -169.8263
17.750000 78.919 -170.6230
18.000000 78.976 -171.3102
18.250000 79.031 -171.8626
18.500000 79.088 -172.2997
18.750000 79.144 -172.6502
19.000000 79.200 -172.9411
19.250000 79.250 -173.1993
19.500000 79.290 -173.4215
19.750000 79.320 -173.6064
20.000000 79.338 -173.7456
20.299999 79.350 -173.8695
20.600000 79.352 -173.9754
20.900000 79.345 -174.1021
21.200001 79.326 -174.2788
21.400000 79.305 -174.4229
21.799999 79.246 -174.7544
22.000000 79.210 -174.9363
22.400000 79.136 -175.3388
22.700001 79.082 -175.7072
23.000000 79.032 -176.1651
23.299999 78.981 -176.7121
23.600000 78.930 -177.3214
24.000000 78.865 -178.1728
24.299999 78.823 -178.8056
24.700001 78.787 -179.6365
25.000000 78.775 179.7363
25.400000 78.775 178.8884
25.799999 78.785 178.0618
26.200001 78.801 177.3097
26.500000 78.817 176.8120
26.900000 78.841 176.2348
27.200001 78.859 175.8608
27.600000 78.880 175.4405
28.000000 78.894 175.1132
28.500000 78.904 174.8047
29.000000 78.904 174.5256
29.500000 78.884 174.2267
30.000000 78.842 173.9269
30.400000 78.797 173.6929
30.700001 78.762 173.5045
31.100000 78.713 173.2075
31.500000 78.662 172.8522
32.000000 78.595 172.3546
32.500000 78.533 171.8223
33.000000 78.484 171.2379
33.500000 78.444 170.5999
34.000000 78.409 169.9672
34.500000 78.382 169.3911
35.000000 78.367 168.8584
35.500000 78.356 168.3495
36.000000 78.340 167.8990
36.500000 78.322 167.5446
37.000000 78.305 167.2603
37.500000 78.287 166.9901
38.200001 78.250 166.6099
38.700001 78.215 166.3505
39.500000 78.153 165.9035
40.000000 78.109 165.5835
40.599998 78.052 165.1876
41.200001 77.997 164.8054
41.799999 77.952 164.4218
42.500000 77.913 163.9099
43.099998 77.876 163.3976
43.700001 77.827 162.9266
44.400002 77.771 162.5418
45.000000 77.742 162.2358
45.500000 77.716 161.9058
46.200001 77.661 161.4634
46.799999 77.619 161.2206
47.500000 77.601 160.8271
48.200001 77.560 160.1131
48.700001 77.489 159.6450
49.400002 77.376 159.4481
50.000000 77.334 159.5341
50.799999 77.333 159.3209
51.500000 77.301 158.8678
52.200001 77.239 158.5939
53.000000 77.188 158.3863
53.799999 77.132 158.0429
54.500000 77.071 157.7839
55.200001 77.019 157.5091
56.000000 76.951 157.1096
57.000000 76.869 156.7202
58.000000 76.800 156.2759
59.000000 76.738 155.9763
60.000000 76.690 155.4211
60.799999 76.577 155.0775
61.500000 76.492 155.2791
62.200001 76.479 155.4304
63.000000 76.463 155.0919
64.000000 76.368 154.6911
65.000000 76.297 154.5309
66.000000 76.242 154.2469
67.000000 76.180 153.9492
68.000000 76.115 153.7552
69.000000 76.061 153.5657
70.000000 75.987 153.3695
71.000000 75.925 153.2933
72.000000 75.866 153.0261
73.000000 75.788 152.8383
74.000000 75.733 152.6862
75.000000 75.674 152.4558
76.199997 75.605 152.2737
77.500000 75.510 152.0309
78.800003 75.432 152.0535
80.000000 75.342 151.7178
81.199997 75.244 151.9247
82.500000 75.208 151.7480
83.800003 75.138 151.6825
85.000000 75.092 151.5422
86.199997 75.041 151.4541
87.500000 74.972 151.2905
88.500000 74.934 151.2662
90.000000 74.861 150.9369
91.199997 74.795 150.8879
92.500000 74.729 150.8100
93.800003 74.671 150.7750
95.000000 74.606 150.7237
96.199997 74.558 150.7483
97.500000 74.512 150.6209
98.800003 74.459 150.4911
100.000000 74.407 150.3864
101.500000 74.343 150.3016
103.000000 74.277 150.2663
104.400002 74.216 150.1400
106.000000 74.143 150.0824
107.500000 74.080 149.9113
109.000000 74.012 149.7936
110.599998 73.929 149.7204
112.000000 73.885 149.6516
113.800003 73.806 149.5492
115.000000 73.749 149.4557
117.199997 73.655 149.4366
118.000000 73.616 149.3939
120.599998 73.502 149.2979
122.000000 73.455 149.4424
124.099998 73.372 149.1799
125.000000 73.327 149.2584
126.500000 73.272 149.4507
128.000000 73.225 149.2763
131.500000 73.051 149.2384
132.000000 73.035 149.1966
134.000000 72.967 149.3299
136.000000 72.883 149.2676
138.000000 72.809 149.3226
140.000000 72.729 149.3887
143.000000 72.608 149.3726
145.000000 72.545 149.4884
147.500000 72.417 149.5657
150.000000 72.332 149.7964
152.500000 72.246 149.7641
155.000000 72.187 149.8409
157.500000 72.102 150.0483
160.000000 72.006 150.2272
162.500000 71.937 150.2781
165.000000 71.857 150.2333
167.500000 71.776 150.4544
170.000000 71.670 150.7490
172.500000 71.586 151.1080
175.000000 71.524 151.4722
177.500000 71.486 151.6602
180.000000 71.436 151.8599
182.500000 71.388 152.0341
185.000000 71.335 152.1745
187.500000 71.292 152.2924
190.000000 71.205 152.3889
192.500000 71.161 152.5969
195.000000 71.117 152.7654
197.500000 71.061 152.9810
200.000000 71.009 153.2491
203.000000 70.911 153.3106
206.000000 70.849 153.5416
209.000000 70.779 153.6338
212.000000 70.713 153.9272
214.000000 70.681 154.1447
218.000000 70.589 154.3823
220.000000 70.501 154.4593
224.000000 70.473 154.7083
227.000000 70.416 154.9787
230.000000 70.364 155.2988
233.000000 70.301 155.5096
236.000000 70.227 155.7978
240.000000 70.174 155.9770
243.000000 70.110 156.3817
247.000000 70.056 156.5807
250.000000 69.987 156.7743
254.000000 69.938 157.3405
258.000000 69.853 157.7126
262.000000 69.818 157.9472
265.000000 69.793 158.2788
269.000000 69.690 158.6833
272.000000 69.672 158.7524
276.000000 69.587 159.2184
280.000000 69.558 159.5835
285.000000 69.467 160.1159
290.000000 69.394 160.5892
295.000000 69.383 160.9599
300.000000 69.332 161.2854
304.000000 69.298 161.7953
307.000000 69.265 161.8463
311.000000 69.208 162.4301
315.000000 69.196 162.6911
320.000000 69.128 163.0133
325.000000 69.102 163.4754
330.000000 69.026 163.8146
335.000000 68.990 164.0830
340.000000 68.923 164.4467
