* Measurement data measured by REW V5.20.13
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0,250
* Format: 256k Log Swept Sine, 1 sweep at -12,0 dBFS with no timing reference
* Dated: 10:24:35 09-10-2023
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Kotori Dauntless L
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 80.355 24.4231
20.600000 80.375 23.9716
20.900000 80.384 23.6036
21.200001 80.388 23.2536
21.400000 80.389 23.0187
21.799999 80.385 22.5336
22.000000 80.381 22.2801
22.400000 80.369 21.7537
22.700001 80.357 21.3485
23.000000 80.346 20.9387
23.299999 80.335 20.5238
23.600000 80.326 20.1018
24.000000 80.317 19.5273
24.299999 80.311 19.0918
24.700001 80.305 18.5170
25.000000 80.301 18.1005
25.400000 80.297 17.5729
25.799999 80.297 17.0765
26.200001 80.298 16.6060
26.500000 80.298 16.2697
26.900000 80.297 15.8493
27.200001 80.294 15.5619
27.600000 80.290 15.2202
28.000000 80.286 14.9162
28.500000 80.283 14.5522
29.000000 80.278 14.1673
29.500000 80.263 13.7675
30.000000 80.238 13.3975
30.400000 80.216 13.1401
30.700001 80.201 12.9619
31.100000 80.185 12.7188
31.500000 80.172 12.4497
32.000000 80.153 12.0804
32.500000 80.130 11.7179
33.000000 80.109 11.3941
33.500000 80.096 11.0877
34.000000 80.088 10.7589
34.500000 80.077 10.4112
35.000000 80.060 10.0908
35.500000 80.041 9.8361
36.000000 80.025 9.6415
36.500000 80.013 9.4776
37.000000 80.005 9.3184
37.500000 79.999 9.1462
38.200001 79.987 8.8582
38.700001 79.970 8.6310
39.500000 79.930 8.3224
40.000000 79.907 8.1723
40.599998 79.885 7.9832
41.200001 79.863 7.7619
41.799999 79.838 7.5559
42.500000 79.814 7.3715
43.099998 79.803 7.2141
43.700001 79.793 7.0283
44.400002 79.777 6.8297
45.000000 79.766 6.7066
45.500000 79.762 6.5912
46.200001 79.752 6.3391
46.799999 79.721 6.1163
47.500000 79.672 6.0637
48.200001 79.651 6.1716
48.700001 79.656 6.1599
49.400002 79.653 5.9516
50.000000 79.628 5.7974
50.799999 79.605 5.7595
51.500000 79.607 5.6505
52.200001 79.597 5.4306
53.000000 79.571 5.2646
53.799999 79.554 5.1591
54.500000 79.536 5.0567
55.200001 79.517 5.0090
56.000000 79.504 4.9746
57.000000 79.489 4.8827
58.000000 79.473 4.7931
59.000000 79.451 4.6374
60.000000 79.416 4.5974
60.799999 79.405 4.6332
61.500000 79.403 4.6033
62.200001 79.397 4.5210
63.000000 79.380 4.4413
64.000000 79.358 4.4159
65.000000 79.340 4.4108
66.000000 79.326 4.4074
67.000000 79.314 4.3626
68.000000 79.293 4.3088
69.000000 79.278 4.3009
70.000000 79.264 4.2427
71.000000 79.248 4.2627
72.000000 79.248 4.2595
73.000000 79.237 4.2128
74.000000 79.228 4.2797
75.000000 79.230 4.2858
76.199997 79.218 4.2543
77.500000 79.199 4.2495
78.800003 79.180 4.2788
80.000000 79.171 4.2826
81.199997 79.164 4.2763
82.500000 79.160 4.2504
83.800003 79.149 4.2137
85.000000 79.128 4.2577
86.199997 79.108 4.3748
87.500000 79.091 4.4959
88.500000 79.074 4.5336
90.000000 79.052 4.6728
91.199997 79.047 4.6587
92.500000 79.044 4.6725
93.800003 79.039 4.5926
95.000000 79.040 4.6777
96.199997 79.047 4.5960
97.500000 79.032 4.6578
98.800003 79.031 4.7037
100.000000 79.027 4.7795
101.500000 79.024 4.8009
103.000000 79.018 4.8785
104.400002 79.017 4.9475
106.000000 79.013 4.9573
107.500000 79.001 5.0545
109.000000 78.996 5.1216
110.599998 78.996 5.1876
112.000000 78.994 5.2274
113.800003 78.988 5.2512
115.000000 78.983 5.3758
117.199997 78.985 5.4895
118.000000 78.987 5.5409
120.599998 78.982 5.6731
122.000000 78.979 5.7231
124.099998 78.975 5.7986
125.000000 78.973 5.8453
126.500000 78.971 5.9270
128.000000 78.982 5.9751
131.500000 78.978 6.1469
132.000000 78.980 6.1726
134.000000 78.978 6.2684
136.000000 78.980 6.3440
138.000000 78.976 6.4208
140.000000 78.977 6.4954
143.000000 78.985 6.6488
145.000000 78.990 6.6920
147.500000 78.987 6.7874
150.000000 78.997 6.9275
152.500000 78.997 7.0548
155.000000 79.009 7.1547
157.500000 79.003 7.2777
160.000000 79.011 7.3819
162.500000 79.014 7.4753
165.000000 79.026 7.6010
167.500000 79.032 7.7079
170.000000 79.035 7.8250
172.500000 79.040 7.9380
175.000000 79.045 7.9700
177.500000 79.054 8.1206
180.000000 79.061 8.2123
182.500000 79.061 8.3173
185.000000 79.065 8.3998
187.500000 79.076 8.4463
190.000000 79.080 8.5990
192.500000 79.083 8.6779
195.000000 79.081 8.7714
197.500000 79.082 8.9006
200.000000 79.090 8.9371
203.000000 79.077 9.1340
206.000000 79.079 9.2764
209.000000 79.071 9.4813
212.000000 79.063 9.7741
214.000000 79.059 9.9891
218.000000 79.054 10.5772
220.000000 79.072 11.0333
224.000000 79.158 11.8481
227.000000 79.276 12.2038
230.000000 79.384 12.1299
233.000000 79.459 11.9746
236.000000 79.504 11.7326
240.000000 79.548 11.4692
243.000000 79.572 11.3148
247.000000 79.595 11.2066
250.000000 79.618 11.1932
254.000000 79.628 11.0671
258.000000 79.649 11.0447
262.000000 79.667 10.9916
265.000000 79.679 10.9499
269.000000 79.700 10.9428
272.000000 79.705 10.9520
276.000000 79.734 10.9697
280.000000 79.759 10.9276
285.000000 79.781 10.9678
290.000000 79.804 10.9447
295.000000 79.831 10.9046
300.000000 79.859 10.9003
304.000000 79.870 10.8506
307.000000 79.888 10.8491
311.000000 79.908 10.8363
315.000000 79.929 10.7842
320.000000 79.949 10.7521
325.000000 79.973 10.6986
330.000000 79.999 10.6449
335.000000 80.017 10.5529
340.000000 80.041 10.5290
345.000000 80.057 10.4679
350.000000 80.077 10.3258
355.000000 80.102 10.2485
360.000000 80.106 10.1687
365.000000 80.135 10.0619
370.000000 80.142 9.9179
375.000000 80.166 9.8785
382.000000 80.174 9.6813
387.000000 80.188 9.5570
395.000000 80.204 9.3519
400.000000 80.211 9.2924
406.000000 80.217 9.1191
412.000000 80.221 8.9413
418.000000 80.225 8.7519
425.000000 80.221 8.5623
431.000000 80.216 8.4588
437.000000 80.206 8.1995
444.000000 80.201 8.0818
450.000000 80.184 7.8853
455.000000 80.169 7.7913
462.000000 80.141 7.6909
468.000000 80.125 7.5638
475.000000 80.100 7.5528
482.000000 80.064 7.5509
487.000000 80.063 7.5588
494.000000 80.045 7.7357
500.000000 80.057 7.8054
508.000000 80.092 7.8033
515.000000 80.115 7.5199
522.000000 80.113 7.2779
530.000000 80.099 6.9680
538.000000 80.077 6.6825
545.000000 80.033 6.4242
552.000000 79.996 6.2572
560.000000 79.953 6.0636
570.000000 79.884 5.8717
580.000000 79.819 5.7718
590.000000 79.750 5.7098
600.000000 79.698 5.7036
608.000000 79.621 5.6551
615.000000 79.577 5.6532
622.000000 79.532 5.7157
630.000000 79.477 5.7854
640.000000 79.395 5.9069
650.000000 79.332 6.0266
660.000000 79.259 6.1540
670.000000 79.175 6.3823
680.000000 79.107 6.5991
690.000000 79.036 6.8521
700.000000 78.975 7.1508
710.000000 78.899 7.4196
720.000000 78.836 7.8007
730.000000 78.762 8.1244
740.000000 78.699 8.4289
750.000000 78.631 8.7931
762.000000 78.542 9.3920
775.000000 78.443 10.0127
788.000000 78.369 10.8544
800.000000 78.312 11.5559
812.000000 78.250 12.3298
825.000000 78.208 13.0922
838.000000 78.183 14.0330
850.000000 78.141 14.7391
862.000000 78.110 15.5069
875.000000 78.091 16.2954
885.000000 78.087 16.9541
900.000000 78.072 17.9531
912.000000 78.052 18.6828
925.000000 78.055 19.5117
938.000000 78.057 20.3243
950.000000 78.076 21.1102
962.000000 78.084 21.8567
975.000000 78.101 22.6673
988.000000 78.130 23.4844
1000.000000 78.172 23.9622
1015.000000 78.196 25.0228
1030.000000 78.247 25.8608
1044.000000 78.279 26.6095
1060.000000 78.329 27.4166
1075.000000 78.389 28.1790
1090.000000 78.445 28.9207
1106.000000 78.493 29.6487
1120.000000 78.557 30.2495
1138.000000 78.626 31.0168
1150.000000 78.670 31.4595
1172.000000 78.766 32.2233
1180.000000 78.794 32.5919
1206.000000 78.881 33.4836
1220.000000 78.941 33.9661
1241.000000 79.020 34.6565
1250.000000 79.044 34.9134
1265.000000 79.103 35.4745
1280.000000 79.150 35.9245
1315.000000 79.267 37.0692
1320.000000 79.279 37.2275
1340.000000 79.366 37.9434
1360.000000 79.422 38.5182
1380.000000 79.495 39.1678
1400.000000 79.562 39.8246
1430.000000 79.653 40.8680
1450.000000 79.733 41.4503
1475.000000 79.837 42.2986
1500.000000 79.937 43.0773
1525.000000 80.039 43.9723
1550.000000 80.150 44.7792
1575.000000 80.261 45.6404
1600.000000 80.371 46.4927
1625.000000 80.503 47.2455
1650.000000 80.636 48.0609
1675.000000 80.771 48.7865
1700.000000 80.917 49.5102
1725.000000 81.062 50.3404
1750.000000 81.223 50.9950
1775.000000 81.388 51.6710
1800.000000 81.547 52.2676
1825.000000 81.722 52.9235
1850.000000 81.911 53.4499
1875.000000 82.084 54.0080
1900.000000 82.283 54.4653
1925.000000 82.475 54.9192
1950.000000 82.672 55.2539
1975.000000 82.881 55.5715
2000.000000 83.096 56.0015
2030.000000 83.354 56.0275
2060.000000 83.622 56.1226
2090.000000 83.891 56.0618
2120.000000 84.154 55.9217
2140.000000 84.336 55.8325
2180.000000 84.695 55.2442
2200.000000 84.879 54.9570
2240.000000 85.229 54.0650
2270.000000 85.483 53.2081
2300.000000 85.731 52.2767
2330.000000 85.953 51.1757
2360.000000 86.178 49.8594
2400.000000 86.439 47.9558
2430.000000 86.611 46.4323
2470.000000 86.800 44.1800
2500.000000 86.914 42.4560
2540.000000 87.021 39.9732
2580.000000 87.080 37.5279
2620.000000 87.088 35.1273
2650.000000 87.063 33.3378
2690.000000 86.985 31.1315
2720.000000 86.907 29.6046
2760.000000 86.766 27.7102
2800.000000 86.592 26.0819
2850.000000 86.357 24.4148
2900.000000 86.093 23.2066
2950.000000 85.826 22.5494
3000.000000 85.609 22.1888
3040.000000 85.462 22.2324
3070.000000 85.361 22.1581
3110.000000 85.237 21.9696
3150.000000 85.110 21.9271
3200.000000 84.943 21.9870
3250.000000 84.782 22.1661
3300.000000 84.619 22.5160
3350.000000 84.495 23.0526
3400.000000 84.382 23.7388
3450.000000 84.267 24.4712
3500.000000 84.198 25.2623
3550.000000 84.140 26.1905
3600.000000 84.089 27.0706
3650.000000 84.073 27.9588
3700.000000 84.073 28.7325
3750.000000 84.063 29.4078
3820.000000 83.974 30.7542
3870.000000 83.976 32.3405
3950.000000 84.101 34.6319
4000.000000 84.237 36.1163
4060.000000 84.377 37.3398
4120.000000 84.579 38.6216
4180.000000 84.801 39.9543
4250.000000 85.100 41.3550
4310.000000 85.403 42.3429
4370.000000 85.740 43.1613
4440.000000 86.173 43.7740
4500.000000 86.598 43.9887
4550.000000 86.946 43.8288
4620.000000 87.472 43.1484
4680.000000 87.929 42.0234
4750.000000 88.462 40.0295
4820.000000 88.976 37.1475
4870.000000 89.310 34.5462
4940.000000 89.689 30.1204
5000.000000 89.915 25.6546
5080.000000 90.004 19.1362
5150.000000 89.882 13.3763
5220.000000 89.590 8.0560
5300.000000 89.078 2.8288
5380.000000 88.455 -1.1488
5450.000000 87.861 -3.6454
5520.000000 87.245 -5.2646
5600.000000 86.565 -6.3184
5700.000000 85.773 -6.4277
5800.000000 85.065 -5.7036
5900.000000 84.428 -4.3823
6000.000000 83.844 -2.7229
6080.000000 83.407 -0.9325
6150.000000 83.043 0.8646
6220.000000 82.721 2.9005
6300.000000 82.415 5.6592
6400.000000 82.139 9.3828
6500.000000 81.958 13.2597
6600.000000 81.882 17.2554
6700.000000 81.909 21.1310
6800.000000 82.042 24.8581
6900.000000 82.245 28.5767
7000.000000 82.564 32.2183
7100.000000 82.955 35.6422
