* Measurement data measured by REW V5.20.13
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), R, volume: 0,250
* Format: 256k Log Swept Sine, 1 sweep at -12,0 dBFS with no timing reference
* Dated: 10:26:27 09-10-2023
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Kotori Dauntless R
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 80.290 -156.7474
20.600000 80.310 -157.0945
20.900000 80.320 -157.3715
21.200001 80.326 -157.6350
21.400000 80.327 -157.8142
21.799999 80.326 -158.1935
22.000000 80.323 -158.3976
22.400000 80.313 -158.8342
22.700001 80.303 -159.1798
23.000000 80.291 -159.5328
23.299999 80.279 -159.8862
23.600000 80.268 -160.2359
24.000000 80.257 -160.6928
24.299999 80.252 -161.0295
24.700001 80.252 -161.4752
25.000000 80.255 -161.8107
25.400000 80.261 -162.2599
25.799999 80.268 -162.7019
26.200001 80.272 -163.1178
26.500000 80.273 -163.4010
26.900000 80.274 -163.7326
27.200001 80.275 -163.9492
27.600000 80.278 -164.2066
28.000000 80.281 -164.4454
28.500000 80.283 -164.7358
29.000000 80.280 -165.0198
29.500000 80.271 -165.2911
30.000000 80.259 -165.5500
30.400000 80.248 -165.7540
30.700001 80.239 -165.9088
31.100000 80.228 -166.1211
31.500000 80.217 -166.3431
32.000000 80.204 -166.6357
32.500000 80.191 -166.9374
33.000000 80.178 -167.2291
33.500000 80.167 -167.4956
34.000000 80.161 -167.7403
34.500000 80.160 -167.9826
35.000000 80.160 -168.2317
35.500000 80.158 -168.4718
36.000000 80.153 -168.6769
36.500000 80.148 -168.8406
37.000000 80.146 -168.9822
37.500000 80.144 -169.1255
38.200001 80.138 -169.3397
38.700001 80.130 -169.4925
39.500000 80.112 -169.7262
40.000000 80.100 -169.8686
40.599998 80.085 -170.0359
41.200001 80.072 -170.1988
41.799999 80.061 -170.3587
42.500000 80.052 -170.5440
43.099998 80.047 -170.7034
43.700001 80.041 -170.8587
44.400002 80.035 -171.0188
45.000000 80.031 -171.1393
45.500000 80.029 -171.2419
46.200001 80.020 -171.3846
46.799999 80.010 -171.4775
47.500000 80.002 -171.5661
48.200001 79.994 -171.6992
48.700001 79.983 -171.8113
49.400002 79.962 -171.9167
50.000000 79.951 -171.9587
50.799999 79.948 -172.0536
51.500000 79.944 -172.1913
52.200001 79.938 -172.3235
53.000000 79.932 -172.4575
53.799999 79.925 -172.5777
54.500000 79.920 -172.6685
55.200001 79.912 -172.7501
56.000000 79.903 -172.8029
57.000000 79.902 -172.8535
58.000000 79.897 -172.9803
59.000000 79.884 -173.0627
60.000000 79.877 -173.1388
60.799999 79.869 -173.2034
61.500000 79.864 -173.2468
62.200001 79.860 -173.3040
63.000000 79.852 -173.3648
64.000000 79.846 -173.4031
65.000000 79.843 -173.4879
66.000000 79.831 -173.5525
67.000000 79.826 -173.5599
68.000000 79.826 -173.6180
69.000000 79.821 -173.6888
70.000000 79.813 -173.7527
71.000000 79.803 -173.7812
72.000000 79.798 -173.7902
73.000000 79.795 -173.8350
74.000000 79.788 -173.8717
75.000000 79.783 -173.9068
76.199997 79.776 -173.9273
77.500000 79.775 -173.9448
78.800003 79.772 -173.9891
80.000000 79.768 -174.0084
81.199997 79.762 -174.0458
82.500000 79.758 -174.0465
83.800003 79.752 -174.1148
85.000000 79.744 -174.1219
86.199997 79.737 -174.1431
87.500000 79.740 -174.1152
88.500000 79.742 -174.1674
90.000000 79.736 -174.1816
91.199997 79.732 -174.1661
92.500000 79.729 -174.1467
93.800003 79.727 -174.0906
95.000000 79.732 -174.1227
96.199997 79.725 -174.1492
97.500000 79.719 -174.1784
98.800003 79.714 -174.1592
100.000000 79.712 -174.1610
101.500000 79.719 -174.1287
103.000000 79.713 -174.1927
104.400002 79.713 -174.1246
106.000000 79.716 -174.1454
107.500000 79.710 -174.1052
109.000000 79.718 -174.1292
110.599998 79.703 -174.0993
112.000000 79.705 -174.0675
113.800003 79.713 -174.0458
115.000000 79.706 -174.0735
117.199997 79.712 -174.0062
118.000000 79.709 -173.9996
120.599998 79.712 -173.9445
122.000000 79.708 -173.9533
124.099998 79.710 -173.9326
125.000000 79.705 -173.9222
126.500000 79.712 -173.8696
128.000000 79.709 -173.8396
131.500000 79.710 -173.7864
132.000000 79.711 -173.7691
134.000000 79.714 -173.7812
136.000000 79.717 -173.7865
138.000000 79.715 -173.7313
140.000000 79.720 -173.7010
143.000000 79.726 -173.5916
145.000000 79.732 -173.5723
147.500000 79.725 -173.5863
150.000000 79.734 -173.5509
152.500000 79.736 -173.4638
155.000000 79.736 -173.4358
157.500000 79.739 -173.4244
160.000000 79.748 -173.3621
162.500000 79.755 -173.3127
165.000000 79.751 -173.2488
167.500000 79.754 -173.2549
170.000000 79.750 -173.2279
172.500000 79.755 -173.1512
175.000000 79.756 -173.1225
177.500000 79.760 -173.1059
180.000000 79.761 -173.0623
182.500000 79.754 -172.9963
185.000000 79.760 -172.9523
187.500000 79.759 -172.9465
190.000000 79.754 -172.8640
192.500000 79.747 -172.7984
195.000000 79.734 -172.7285
197.500000 79.731 -172.6520
200.000000 79.717 -172.5807
203.000000 79.670 -172.2236
206.000000 79.651 -171.8111
209.000000 79.663 -171.1400
212.000000 79.731 -170.4078
214.000000 79.816 -170.1001
218.000000 79.981 -170.2157
220.000000 80.033 -170.4028
224.000000 80.091 -170.8952
227.000000 80.106 -171.1521
230.000000 80.114 -171.3364
233.000000 80.121 -171.4743
236.000000 80.121 -171.5768
240.000000 80.137 -171.6686
243.000000 80.134 -171.7235
247.000000 80.147 -171.8005
250.000000 80.163 -171.8383
254.000000 80.157 -171.8266
258.000000 80.169 -171.8501
262.000000 80.178 -171.9066
265.000000 80.184 -171.9220
269.000000 80.196 -171.9792
272.000000 80.209 -172.0063
276.000000 80.213 -171.9640
280.000000 80.223 -172.0049
285.000000 80.237 -171.9960
290.000000 80.241 -172.0425
295.000000 80.257 -172.1174
300.000000 80.259 -172.0979
304.000000 80.280 -172.1797
307.000000 80.290 -172.2232
311.000000 80.294 -172.2376
315.000000 80.307 -172.2899
320.000000 80.315 -172.3293
325.000000 80.324 -172.4146
330.000000 80.333 -172.4435
335.000000 80.339 -172.5142
340.000000 80.343 -172.5708
345.000000 80.345 -172.7031
350.000000 80.347 -172.8254
355.000000 80.361 -172.7848
360.000000 80.363 -172.9273
365.000000 80.370 -172.9855
370.000000 80.363 -173.0531
375.000000 80.361 -173.1639
382.000000 80.363 -173.2442
387.000000 80.369 -173.4007
395.000000 80.352 -173.5122
400.000000 80.346 -173.6213
406.000000 80.333 -173.6908
412.000000 80.327 -173.8065
418.000000 80.315 -173.8932
425.000000 80.297 -173.9930
431.000000 80.274 -174.0918
437.000000 80.255 -174.1854
444.000000 80.226 -174.3061
450.000000 80.197 -174.3496
455.000000 80.171 -174.3605
462.000000 80.121 -174.2262
468.000000 80.074 -174.1765
475.000000 80.026 -173.8070
482.000000 80.024 -173.2268
487.000000 80.047 -172.8245
494.000000 80.153 -172.5690
500.000000 80.240 -172.7667
508.000000 80.272 -173.3826
515.000000 80.257 -173.7912
522.000000 80.226 -174.2415
530.000000 80.181 -174.5100
538.000000 80.144 -174.7511
545.000000 80.087 -174.8263
552.000000 80.052 -175.0438
560.000000 79.998 -175.0819
570.000000 79.930 -175.0664
580.000000 79.865 -175.0578
590.000000 79.796 -175.0292
600.000000 79.726 -175.0312
608.000000 79.678 -174.9720
615.000000 79.627 -174.8969
622.000000 79.581 -174.7484
630.000000 79.525 -174.7077
640.000000 79.456 -174.4608
650.000000 79.383 -174.2968
660.000000 79.321 -174.0478
670.000000 79.256 -173.8240
680.000000 79.192 -173.5388
690.000000 79.121 -173.1986
700.000000 79.070 -172.9041
710.000000 78.997 -172.4735
720.000000 78.938 -172.1451
730.000000 78.869 -171.7109
740.000000 78.824 -171.2779
750.000000 78.769 -170.7915
762.000000 78.701 -170.2608
775.000000 78.636 -169.5427
788.000000 78.570 -168.8318
800.000000 78.529 -168.1604
812.000000 78.480 -167.5252
825.000000 78.446 -166.7013
838.000000 78.411 -165.9507
850.000000 78.381 -165.1986
862.000000 78.367 -164.4692
875.000000 78.341 -163.7262
885.000000 78.317 -163.1082
900.000000 78.315 -162.2170
912.000000 78.298 -161.4658
925.000000 78.305 -160.5664
938.000000 78.313 -159.8847
950.000000 78.330 -159.0833
962.000000 78.335 -158.2445
975.000000 78.356 -157.5429
988.000000 78.380 -156.7766
1000.000000 78.422 -156.1720
1015.000000 78.458 -155.1264
1030.000000 78.497 -154.3975
1044.000000 78.540 -153.6643
1060.000000 78.586 -152.8283
1075.000000 78.653 -152.1346
1090.000000 78.715 -151.4681
1106.000000 78.761 -150.7062
1120.000000 78.823 -150.1682
1138.000000 78.890 -149.4291
1150.000000 78.930 -149.0496
1172.000000 79.022 -148.1700
1180.000000 79.057 -147.8704
1206.000000 79.150 -147.0061
1220.000000 79.200 -146.5202
1241.000000 79.279 -145.9289
1250.000000 79.316 -145.5985
1265.000000 79.359 -145.1659
1280.000000 79.418 -144.6271
1315.000000 79.532 -143.5801
1320.000000 79.542 -143.4111
1340.000000 79.607 -142.7459
1360.000000 79.667 -142.2349
1380.000000 79.747 -141.5746
1400.000000 79.816 -140.9027
1430.000000 79.897 -139.9297
1450.000000 79.985 -139.3621
1475.000000 80.068 -138.5385
1500.000000 80.174 -137.6623
1525.000000 80.261 -136.9525
1550.000000 80.375 -136.0907
1575.000000 80.475 -135.2774
1600.000000 80.589 -134.4842
1625.000000 80.723 -133.6628
1650.000000 80.841 -132.9270
1675.000000 80.966 -132.1331
1700.000000 81.108 -131.4248
1725.000000 81.257 -130.6978
1750.000000 81.403 -129.9646
1775.000000 81.560 -129.2900
1800.000000 81.725 -128.7084
1825.000000 81.901 -128.0655
1850.000000 82.069 -127.5002
1875.000000 82.234 -127.0092
1900.000000 82.434 -126.5617
1925.000000 82.617 -126.1042
1950.000000 82.815 -125.7516
1975.000000 83.010 -125.4209
2000.000000 83.219 -124.9481
2030.000000 83.468 -124.9155
2060.000000 83.712 -124.8765
2090.000000 83.978 -124.8722
2120.000000 84.240 -124.9150
2140.000000 84.411 -125.0895
2180.000000 84.766 -125.4969
2200.000000 84.931 -125.8747
2240.000000 85.270 -126.6508
2270.000000 85.524 -127.4295
2300.000000 85.760 -128.3338
2330.000000 85.979 -129.4106
2360.000000 86.195 -130.5793
2400.000000 86.446 -132.4161
2430.000000 86.623 -133.8103
2470.000000 86.809 -135.9569
2500.000000 86.924 -137.6324
2540.000000 87.035 -139.9318
2580.000000 87.099 -142.2763
2620.000000 87.112 -144.6157
2650.000000 87.094 -146.3072
2690.000000 87.023 -148.4461
2720.000000 86.953 -149.9490
2760.000000 86.824 -151.7860
2800.000000 86.664 -153.3374
2850.000000 86.442 -154.9979
2900.000000 86.193 -156.1943
2950.000000 85.935 -156.8316
3000.000000 85.728 -157.2671
3040.000000 85.584 -157.2390
3070.000000 85.482 -157.2936
3110.000000 85.366 -157.4255
3150.000000 85.240 -157.5698
3200.000000 85.061 -157.5235
3250.000000 84.893 -157.2819
3300.000000 84.743 -156.9606
3350.000000 84.617 -156.3223
3400.000000 84.488 -155.6729
3450.000000 84.397 -154.9104
3500.000000 84.311 -154.1239
3550.000000 84.253 -153.1941
3600.000000 84.211 -152.2506
3650.000000 84.176 -151.3529
3700.000000 84.174 -150.3544
3750.000000 84.171 -149.6133
3820.000000 84.138 -148.2593
3870.000000 84.127 -146.8812
3950.000000 84.230 -144.5178
4000.000000 84.377 -143.2217
4060.000000 84.493 -141.5913
4120.000000 84.684 -140.1755
4180.000000 84.902 -138.6976
4250.000000 85.211 -137.1978
4310.000000 85.517 -136.0501
4370.000000 85.864 -135.1700
4440.000000 86.310 -134.4294
4500.000000 86.722 -134.1558
4550.000000 87.083 -134.0999
4620.000000 87.618 -134.4826
4680.000000 88.099 -135.4147
4750.000000 88.666 -137.1610
4820.000000 89.242 -139.8638
4870.000000 89.581 -142.5073
4940.000000 89.973 -147.4940
