* Measurement data measured by REW V5.20.13
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), R, volume: 0,250
* Format: 256k Log Swept Sine, 1 sweep at -12,0 dBFS with no timing reference
* Dated: 21:19:15 05-06-2024
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Kotori Vampire 75ohm L
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 85.165 125.5689
1.015000 85.029 124.8372
1.030000 84.889 124.1151
1.044000 84.756 123.4503
1.060000 84.600 122.7021
1.075000 84.450 122.0126
1.090000 84.296 121.3352
1.106000 84.128 120.6230
1.120000 83.979 119.9886
1.138000 83.784 119.1555
1.150000 83.652 118.5917
1.172000 83.407 117.5471
1.180000 83.316 117.1652
1.206000 83.015 115.9249
1.220000 82.850 115.2618
1.241000 82.597 114.2805
1.250000 82.486 113.8667
1.265000 82.300 113.1888
1.280000 82.110 112.5283
1.315000 81.652 111.0730
1.320000 81.585 110.8766
1.340000 81.312 110.1250
1.360000 81.033 109.4331
1.380000 80.746 108.8086
1.400000 80.451 108.2592
1.430000 79.993 107.5925
1.450000 79.677 107.2643
1.475000 79.268 106.9854
1.500000 78.820 106.7536
1.525000 78.334 106.5581
1.550000 77.818 106.4159
1.575000 77.280 106.3438
1.600000 76.727 106.3587
1.625000 76.167 106.4773
1.650000 75.607 106.7165
1.675000 75.055 107.0932
1.700000 74.518 107.6242
1.725000 74.003 108.3264
1.750000 73.519 109.2166
1.775000 73.073 110.3116
1.800000 72.672 111.6283
1.825000 72.325 113.1835
1.850000 72.027 115.0757
1.875000 71.761 117.4657
1.900000 71.523 120.2830
1.925000 71.312 123.4475
1.950000 71.128 126.8792
1.975000 70.970 130.4980
2.000000 70.836 134.2241
2.030000 70.707 138.7243
2.060000 70.610 143.1255
2.090000 70.543 147.2894
2.120000 70.506 151.0778
2.140000 70.496 153.3266
2.180000 70.510 156.9753
2.200000 70.534 158.2950
2.240000 70.658 160.2174
2.270000 70.822 161.1845
2.300000 71.034 161.7850
2.330000 71.283 162.0549
2.360000 71.557 162.0304
2.400000 71.944 161.6021
2.430000 72.235 161.0310
2.470000 72.604 160.0051
2.500000 72.851 159.0842
2.540000 73.120 157.7229
2.580000 73.303 156.2520
2.620000 73.434 154.4338
2.650000 73.508 152.8265
2.690000 73.578 150.3987
2.720000 73.613 148.3917
2.760000 73.639 145.5079
2.800000 73.647 142.4326
2.850000 73.640 138.3957
2.900000 73.623 134.2360
2.950000 73.601 130.0180
3.000000 73.550 125.5259
3.040000 73.487 121.7299
3.070000 73.431 118.7879
3.110000 73.348 114.7664
3.150000 73.260 110.6640
3.200000 73.154 105.4753
3.250000 73.058 100.2827
3.300000 72.985 95.1532
3.350000 72.930 89.9396
3.400000 72.883 84.5670
3.450000 72.844 79.1232
3.500000 72.810 73.6963
3.550000 72.779 68.3743
3.600000 72.751 63.2453
3.650000 72.723 58.3971
3.700000 72.699 53.8210
3.750000 72.687 49.3527
3.820000 72.681 43.3495
3.870000 72.674 39.3039
3.950000 72.645 33.3782
4.000000 72.606 30.0881
4.060000 72.526 26.6002
4.120000 72.414 23.4849
4.180000 72.278 20.7601
4.250000 72.104 18.1353
4.310000 71.954 16.4123
4.370000 71.814 15.2235
4.440000 71.656 14.6212
4.500000 71.492 14.8568
4.550000 71.350 15.4785
4.620000 71.177 16.8194
4.680000 71.082 18.2394
4.750000 71.071 19.9961
4.820000 71.193 21.9939
4.870000 71.347 23.7918
4.940000 71.634 26.5617
5.000000 71.926 28.9252
5.080000 72.352 31.6501
5.150000 72.733 33.2791
5.220000 73.173 34.3531
5.300000 73.730 35.1034
5.380000 74.295 35.4448
5.450000 74.753 35.4902
5.520000 75.144 35.3477
5.600000 75.546 34.7609
5.700000 75.993 33.5544
5.800000 76.366 32.1686
5.900000 76.653 30.9131
6.000000 76.849 29.5546
6.080000 76.951 28.4582
6.150000 77.009 27.5920
6.220000 77.046 26.8952
6.300000 77.052 26.2910
6.400000 76.997 25.7206
6.500000 76.908 25.4332
6.600000 76.822 25.5132
6.700000 76.724 26.0456
6.800000 76.613 26.9417
6.900000 76.524 28.0429
7.000000 76.486 29.2342
7.100000 76.491 30.6896
7.200000 76.529 32.2427
7.300000 76.593 33.6388
7.400000 76.687 34.7451
7.500000 76.820 35.7018
7.620000 76.991 36.5956
7.750000 77.143 37.1492
7.880000 77.281 37.2376
8.000000 77.379 37.0882
8.120000 77.427 36.8557
8.250000 77.428 36.4025
8.380000 77.387 35.9279
8.500000 77.315 35.6219
8.620000 77.204 35.3708
8.750000 77.066 35.2144
8.850000 76.961 35.2242
9.000000 76.790 35.4425
9.120000 76.661 35.6882
9.250000 76.547 35.9768
9.380000 76.452 36.3252
9.500000 76.378 36.5638
9.620000 76.320 36.6523
9.750000 76.276 36.6330
9.880000 76.233 36.4580
10.000000 76.191 36.1224
10.150000 76.139 35.5109
10.300000 76.075 34.7924
10.440000 76.003 34.0039
10.600000 75.915 33.0518
10.750000 75.832 32.1882
10.900000 75.748 31.3263
11.060000 75.678 30.4431
11.200000 75.631 29.7059
11.380000 75.597 28.7435
11.500000 75.594 28.0844
11.720000 75.619 26.8290
11.800000 75.636 26.3432
12.060000 75.717 24.7006
12.200000 75.766 23.8170
12.410000 75.847 22.5162
12.500000 75.883 22.0101
12.650000 75.945 21.2202
12.800000 76.012 20.5191
13.150000 76.195 19.2945
13.200000 76.225 19.1526
13.400000 76.356 18.6764
13.600000 76.496 18.2736
13.800000 76.642 17.9156
14.000000 76.782 17.5986
14.300000 76.973 17.2120
14.500000 77.079 17.0601
14.750000 77.196 17.0193
15.000000 77.297 17.1473
15.250000 77.392 17.3953
15.500000 77.481 17.6759
15.750000 77.559 17.9437
16.000000 77.617 18.1495
16.250000 77.648 18.3318
16.500000 77.653 18.5170
16.750000 77.634 18.7548
17.000000 77.605 19.0350
17.250000 77.573 19.3175
17.500000 77.545 19.5420
17.750000 77.515 19.6252
18.000000 77.479 19.5601
18.250000 77.430 19.3417
18.500000 77.365 19.0382
18.750000 77.292 18.6890
19.000000 77.214 18.3302
19.250000 77.146 17.9612
19.500000 77.091 17.5489
19.750000 77.051 17.0704
20.000000 77.021 16.5031
20.299999 76.994 15.7581
20.600000 76.973 15.0183
20.900000 76.962 14.3724
21.200001 76.975 13.8713
21.400000 77.002 13.5962
21.799999 77.098 13.0992
22.000000 77.161 12.8408
22.400000 77.296 12.2776
22.700001 77.389 11.8746
23.000000 77.470 11.5703
23.299999 77.545 11.3982
23.600000 77.619 11.3345
24.000000 77.719 11.3287
24.299999 77.788 11.3107
24.700001 77.856 11.2370
25.000000 77.882 11.1722
25.400000 77.886 11.1289
25.799999 77.865 11.1574
26.200001 77.831 11.2186
26.500000 77.803 11.2439
26.900000 77.762 11.2069
27.200001 77.729 11.1083
27.600000 77.682 10.8801
28.000000 77.632 10.5671
28.500000 77.572 10.1300
29.000000 77.533 9.6977
29.500000 77.532 9.2254
30.000000 77.560 8.6380
30.400000 77.588 8.1146
30.700001 77.609 7.7420
31.100000 77.638 7.3286
31.500000 77.676 7.0115
32.000000 77.733 6.6765
32.500000 77.785 6.3508
33.000000 77.816 6.0899
33.500000 77.829 5.9696
34.000000 77.839 5.9576
34.500000 77.848 5.9377
35.000000 77.850 5.8387
35.500000 77.837 5.6716
36.000000 77.811 5.4818
36.500000 77.782 5.2902
37.000000 77.759 5.0746
37.500000 77.744 4.7980
38.200001 77.727 4.3259
38.700001 77.719 3.9992
39.500000 77.729 3.4890
40.000000 77.737 3.1120
40.599998 77.728 2.7034
41.200001 77.711 2.5330
41.799999 77.721 2.5063
42.500000 77.752 2.3206
43.099998 77.755 2.0544
43.700001 77.740 1.8880
44.400002 77.734 1.7612
45.000000 77.734 1.5549
45.500000 77.723 1.3396
46.200001 77.696 1.0954
46.799999 77.676 0.9626
47.500000 77.664 0.8499
48.200001 77.666 0.7201
48.700001 77.673 0.5647
49.400002 77.673 0.2389
50.000000 77.655 -0.0509
50.799999 77.622 -0.3030
51.500000 77.608 -0.4763
52.200001 77.598 -0.7353
53.000000 77.575 -1.0214
53.799999 77.561 -1.1921
54.500000 77.562 -1.3664
55.200001 77.559 -1.5673
56.000000 77.550 -1.7429
57.000000 77.534 -1.9599
58.000000 77.503 -2.1128
59.000000 77.484 -2.2624
60.000000 77.451 -2.5709
60.799999 77.416 -2.7072
61.500000 77.409 -2.8122
62.200001 77.406 -3.0501
63.000000 77.384 -3.2982
64.000000 77.372 -3.4235
65.000000 77.366 -3.6579
66.000000 77.342 -3.7734
67.000000 77.333 -3.9187
68.000000 77.300 -4.1286
69.000000 77.273 -4.2563
70.000000 77.248 -4.4923
71.000000 77.214 -4.6499
72.000000 77.196 -4.8026
73.000000 77.174 -4.9557
74.000000 77.158 -5.1064
75.000000 77.129 -5.2642
76.199997 77.109 -5.3603
77.500000 77.068 -5.5830
78.800003 77.047 -5.6069
80.000000 77.019 -5.8311
81.199997 76.980 -5.9066
82.500000 76.941 -6.0137
83.800003 76.918 -6.1144
85.000000 76.890 -6.3619
86.199997 76.852 -6.5602
87.500000 76.809 -6.6197
88.500000 76.794 -6.6450
90.000000 76.760 -6.7422
91.199997 76.725 -6.8621
92.500000 76.683 -6.8898
93.800003 76.655 -7.0507
95.000000 76.613 -7.1110
96.199997 76.594 -7.1459
97.500000 76.557 -7.2286
98.800003 76.526 -7.2097
100.000000 76.488 -7.2636
101.500000 76.442 -7.2287
103.000000 76.406 -7.2582
104.400002 76.361 -7.3473
106.000000 76.327 -7.2361
107.500000 76.283 -7.2690
109.000000 76.254 -7.1425
110.599998 76.207 -7.0422
112.000000 76.194 -6.8237
113.800003 76.160 -6.7361
115.000000 76.158 -6.6187
117.199997 76.118 -6.4966
118.000000 76.108 -6.4351
120.599998 76.127 -6.2569
122.000000 76.104 -6.1718
124.099998 76.103 -6.0142
125.000000 76.113 -6.0184
126.500000 76.117 -6.0068
128.000000 76.127 -6.0898
131.500000 76.122 -6.2554
132.000000 76.129 -6.1972
134.000000 76.137 -6.5405
136.000000 76.120 -6.5845
138.000000 76.091 -6.7614
140.000000 76.077 -7.0090
143.000000 76.028 -7.2921
145.000000 76.003 -7.3681
147.500000 75.963 -7.5233
150.000000 75.908 -7.6248
152.500000 75.857 -7.7730
155.000000 75.807 -7.8823
157.500000 75.759 -7.8186
160.000000 75.690 -7.6812
162.500000 75.646 -7.7923
165.000000 75.616 -7.6416
167.500000 75.619 -7.4385
170.000000 75.583 -7.3805
172.500000 75.559 -7.3143
175.000000 75.526 -7.2704
177.500000 75.492 -7.3382
180.000000 75.478 -7.2781
182.500000 75.445 -7.3160
185.000000 75.410 -7.2473
187.500000 75.374 -7.3006
190.000000 75.360 -7.2658
192.500000 75.329 -7.2110
195.000000 75.271 -7.3045
197.500000 75.256 -7.2413
200.000000 75.219 -7.2525
203.000000 75.196 -7.1848
206.000000 75.148 -7.1131
209.000000 75.112 -7.0125
212.000000 75.061 -7.0961
214.000000 75.047 -6.9733
218.000000 75.004 -6.8400
220.000000 74.991 -6.7838
224.000000 74.924 -6.6592
227.000000 74.902 -6.5481
230.000000 74.867 -6.4777
233.000000 74.838 -6.4015
236.000000 74.808 -6.3066
240.000000 74.761 -6.1450
243.000000 74.730 -6.1052
247.000000 74.689 -5.9080
250.000000 74.678 -5.7924
254.000000 74.623 -5.6641
258.000000 74.589 -5.5688
262.000000 74.545 -5.3661
265.000000 74.512 -5.2514
269.000000 74.484 -5.1258
272.000000 74.472 -4.9178
276.000000 74.420 -4.7569
280.000000 74.398 -4.6340
285.000000 74.352 -4.3887
290.000000 74.333 -4.0975
295.000000 74.271 -3.8509
300.000000 74.239 -3.7215
304.000000 74.217 -3.4692
307.000000 74.201 -3.4013
311.000000 74.165 -3.1879
315.000000 74.151 -2.9826
320.000000 74.140 -2.8834
325.000000 74.096 -2.6101
330.000000 74.086 -2.5195
335.000000 74.032 -2.4299
340.000000 74.023 -2.1419
345.000000 73.984 -2.0025
350.000000 73.958 -1.8488
355.000000 73.915 -1.7629
