* Measurement data measured by REW V5.20.13
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), R, volume: 0,250
* Format: 256k Log Swept Sine, 1 sweep at -12,0 dBFS with no timing reference
* Dated: 10:49:56 19-05-2024
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Kotori Vampire L
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 85.641 123.7438
1.015000 85.518 122.9498
1.030000 85.393 122.1610
1.044000 85.274 121.4298
1.060000 85.135 120.6006
1.075000 85.002 119.8296
1.090000 84.866 119.0652
1.106000 84.718 118.2560
1.120000 84.586 117.5441
1.138000 84.415 116.6227
1.150000 84.299 116.0056
1.172000 84.083 114.8713
1.180000 84.003 114.4585
1.206000 83.740 113.1192
1.220000 83.595 112.4013
1.241000 83.374 111.3317
1.250000 83.278 110.8768
1.265000 83.115 110.1245
1.280000 82.950 109.3805
1.315000 82.553 107.6851
1.320000 82.495 107.4483
1.340000 82.259 106.5164
1.360000 82.018 105.6117
1.380000 81.770 104.7375
1.400000 81.517 103.8971
1.430000 81.124 102.7068
1.450000 80.854 101.9650
1.475000 80.506 101.0912
1.500000 80.140 100.1941
1.525000 79.758 99.2706
1.550000 79.361 98.3406
1.575000 78.952 97.4242
1.600000 78.533 96.5414
1.625000 78.106 95.7124
1.650000 77.674 94.9572
1.675000 77.238 94.2957
1.700000 76.800 93.7481
1.725000 76.364 93.3344
1.750000 75.931 93.0746
1.775000 75.503 92.9888
1.800000 75.083 93.0971
1.825000 74.673 93.4194
1.850000 74.263 93.9971
1.875000 73.830 94.8709
1.900000 73.379 96.0054
1.925000 72.917 97.3622
1.950000 72.450 98.9031
1.975000 71.983 100.5899
2.000000 71.524 102.3844
2.030000 70.992 104.6259
2.060000 70.489 106.9013
2.090000 70.028 109.1445
2.120000 69.619 111.2893
2.140000 69.381 112.6319
2.180000 69.000 115.0196
2.200000 68.865 116.0273
2.240000 68.709 118.0303
2.270000 68.681 119.5989
2.300000 68.717 121.1749
2.330000 68.807 122.7138
2.360000 68.940 124.1712
2.400000 69.165 125.9107
2.430000 69.356 127.0049
2.470000 69.619 128.0986
2.500000 69.809 128.5875
2.540000 70.032 128.7126
2.580000 70.204 128.1425
2.620000 70.374 126.8695
2.650000 70.508 125.5113
2.690000 70.693 123.2446
2.720000 70.834 121.2586
2.760000 71.025 118.3114
2.800000 71.216 115.1158
2.850000 71.451 110.9280
2.900000 71.679 106.7115
2.950000 71.894 102.6020
3.000000 72.101 98.1947
3.040000 72.263 94.4360
3.070000 72.382 91.5195
3.110000 72.539 87.5475
3.150000 72.695 83.5338
3.200000 72.887 78.5471
3.250000 73.078 73.7005
3.300000 73.269 69.1066
3.350000 73.465 64.6493
3.400000 73.667 60.2200
3.450000 73.869 55.8573
3.500000 74.066 51.5996
3.550000 74.253 47.4857
3.600000 74.424 43.5540
3.650000 74.575 39.8430
3.700000 74.704 36.3540
3.750000 74.822 33.0226
3.820000 74.963 28.6407
3.870000 75.046 25.7287
3.950000 75.143 21.4810
4.000000 75.179 19.1022
4.060000 75.193 16.5355
4.120000 75.169 14.2358
4.180000 75.114 12.2176
4.250000 75.024 10.2518
4.310000 74.937 8.9287
4.370000 74.852 7.9658
4.440000 74.752 7.3543
4.500000 74.638 7.3067
4.550000 74.534 7.5500
4.620000 74.398 8.2324
4.680000 74.311 9.0506
4.750000 74.272 10.1684
4.820000 74.309 11.5684
4.870000 74.370 12.8742
4.940000 74.495 14.9396
5.000000 74.635 16.7556
5.080000 74.861 18.9498
5.150000 75.091 20.4094
5.220000 75.380 21.6052
5.300000 75.765 22.7440
5.380000 76.169 23.6157
5.450000 76.504 24.1399
5.520000 76.798 24.4151
5.600000 77.118 24.3411
5.700000 77.493 23.8209
5.800000 77.818 23.0825
5.900000 78.068 22.3513
6.000000 78.247 21.4331
6.080000 78.349 20.6338
6.150000 78.411 19.9813
6.220000 78.452 19.4497
6.300000 78.466 18.9718
6.400000 78.430 18.4722
6.500000 78.361 18.1694
6.600000 78.287 18.1591
6.700000 78.195 18.4948
6.800000 78.086 19.1068
6.900000 77.989 19.9027
7.000000 77.928 20.8202
7.100000 77.894 21.9851
7.200000 77.881 23.2608
7.300000 77.893 24.4472
7.400000 77.934 25.4498
7.500000 78.009 26.3839
7.620000 78.112 27.3217
7.750000 78.209 27.9759
7.880000 78.305 28.2500
8.000000 78.376 28.2932
8.120000 78.407 28.2206
8.250000 78.403 27.9310
8.380000 78.365 27.5892
8.500000 78.299 27.3555
8.620000 78.200 27.1353
8.750000 78.077 26.9782
8.850000 77.981 26.9661
9.000000 77.823 27.1050
9.120000 77.702 27.2809
9.250000 77.593 27.5102
9.380000 77.499 27.8032
9.500000 77.427 28.0140
9.620000 77.373 28.1113
9.750000 77.332 28.1333
9.880000 77.298 28.0207
10.000000 77.269 27.7622
10.150000 77.238 27.2704
10.300000 77.202 26.6648
10.440000 77.161 25.9769
10.600000 77.111 25.1265
10.750000 77.063 24.3320
10.900000 77.015 23.5216
11.060000 76.977 22.6858
11.200000 76.953 21.9792
11.380000 76.940 21.0732
11.500000 76.945 20.4669
11.720000 76.976 19.3467
11.800000 76.993 18.9287
12.060000 77.065 17.5625
12.200000 77.107 16.8578
12.410000 77.176 15.8581
12.500000 77.207 15.4829
12.650000 77.261 14.9195
12.800000 77.320 14.4398
13.150000 77.491 13.6777
13.200000 77.519 13.5915
13.400000 77.644 13.3125
13.600000 77.777 13.0549
13.800000 77.916 12.7844
14.000000 78.044 12.5047
14.300000 78.207 12.0923
14.500000 78.287 11.8918
14.750000 78.361 11.7995
15.000000 78.413 11.9089
15.250000 78.460 12.2069
15.500000 78.507 12.5848
15.750000 78.556 12.9742
16.000000 78.600 13.2698
16.250000 78.624 13.4704
16.500000 78.624 13.5979
16.750000 78.595 13.7101
17.000000 78.547 13.8636
17.250000 78.490 14.0534
17.500000 78.435 14.2642
17.750000 78.389 14.3978
18.000000 78.349 14.4049
18.250000 78.311 14.2314
18.500000 78.262 13.8861
18.750000 78.198 13.4303
19.000000 78.116 12.9227
19.250000 78.024 12.4816
19.500000 77.934 12.1564
19.750000 77.858 11.9818
20.000000 77.817 11.9587
20.299999 77.827 11.9548
20.600000 77.905 11.9188
20.900000 78.040 11.6420
21.200001 78.205 11.0385
21.400000 78.313 10.4703
21.799999 78.497 9.0962
22.000000 78.563 8.4004
22.400000 78.642 7.2484
22.700001 78.677 6.7327
23.000000 78.716 6.5344
23.299999 78.775 6.5258
23.600000 78.855 6.5563
24.000000 78.969 6.4705
24.299999 79.034 6.2821
24.700001 79.073 5.9821
25.000000 79.067 5.8349
25.400000 79.030 5.8194
25.799999 78.988 5.9488
26.200001 78.948 6.0853
26.500000 78.920 6.1369
26.900000 78.880 6.1252
27.200001 78.852 6.0572
27.600000 78.821 5.8652
28.000000 78.799 5.5080
28.500000 78.770 4.8256
29.000000 78.727 4.0444
29.500000 78.683 3.3573
30.000000 78.663 2.8081
30.400000 78.668 2.4198
30.700001 78.680 2.1462
31.100000 78.700 1.8237
31.500000 78.727 1.5704
32.000000 78.768 1.3379
32.500000 78.812 1.1393
33.000000 78.846 0.9453
33.500000 78.862 0.7881
34.000000 78.863 0.6959
34.500000 78.856 0.6412
35.000000 78.847 0.5631
35.500000 78.833 0.4115
36.000000 78.810 0.1871
36.500000 78.778 -0.0670
37.000000 78.747 -0.3132
37.500000 78.725 -0.5671
38.200001 78.709 -1.0017
38.700001 78.700 -1.3425
39.500000 78.689 -1.7950
40.000000 78.693 -2.0319
40.599998 78.701 -2.3211
41.200001 78.702 -2.5869
41.799999 78.697 -2.7868
42.500000 78.690 -2.9757
43.099998 78.682 -3.1528
43.700001 78.669 -3.3445
44.400002 78.649 -3.5702
45.000000 78.633 -3.7745
45.500000 78.619 -3.9642
46.200001 78.598 -4.2199
46.799999 78.583 -4.3611
47.500000 78.589 -4.5020
48.200001 78.602 -4.7992
48.700001 78.592 -5.0455
49.400002 78.562 -5.1757
50.000000 78.561 -5.1274
50.799999 78.597 -5.3135
51.500000 78.598 -5.7482
52.200001 78.565 -6.0834
53.000000 78.540 -6.3293
53.799999 78.522 -6.6974
54.500000 78.487 -6.9886
55.200001 78.463 -7.1116
56.000000 78.469 -7.3025
57.000000 78.454 -7.7902
58.000000 78.410 -7.9873
59.000000 78.395 -8.2251
60.000000 78.330 -8.4853
60.799999 78.297 -8.4657
61.500000 78.281 -8.6610
62.200001 78.230 -8.8888
63.000000 78.181 -8.9129
64.000000 78.155 -9.0342
65.000000 78.176 -9.1783
66.000000 78.181 -10.0094
67.000000 78.126 -9.7443
68.000000 78.385 -10.4287
69.000000 78.197 -12.9714
70.000000 77.873 -11.2860
71.000000 78.085 -10.2702
72.000000 78.034 -10.8142
73.000000 77.978 -9.9971
74.000000 78.015 -9.9464
75.000000 77.942 -10.0918
76.199997 77.921 -9.9076
77.500000 77.866 -10.4304
78.800003 77.889 -10.2712
80.000000 77.862 -10.8574
81.199997 77.923 -10.6000
82.500000 77.905 -11.1609
83.800003 78.101 -11.3151
85.000000 77.958 -13.5447
86.199997 77.772 -12.5102
87.500000 77.867 -12.5917
88.500000 77.853 -12.7159
90.000000 77.860 -13.1561
91.199997 77.800 -13.3470
92.500000 77.785 -13.5251
93.800003 77.746 -13.8943
95.000000 77.727 -14.2032
96.199997 77.674 -14.5319
97.500000 77.657 -14.7090
98.800003 77.560 -15.0293
100.000000 77.539 -14.7154
101.500000 77.494 -15.1447
103.000000 77.437 -15.1768
104.400002 77.366 -15.2332
106.000000 77.341 -15.0269
107.500000 77.335 -15.0304
109.000000 77.358 -15.1808
110.599998 77.323 -15.5524
112.000000 77.319 -15.6303
113.800003 77.276 -16.0362
115.000000 77.241 -16.0726
117.199997 77.181 -16.3092
118.000000 77.156 -16.3303
120.599998 77.100 -16.5140
122.000000 77.065 -16.6717
124.099998 77.030 -16.6982
125.000000 77.024 -16.8000
126.500000 76.997 -17.0370
128.000000 76.973 -17.0671
131.500000 76.904 -17.5474
132.000000 76.889 -17.6185
134.000000 76.833 -17.7687
136.000000 76.769 -17.9167
138.000000 76.713 -18.0817
140.000000 76.681 -18.0695
143.000000 76.610 -18.2306
145.000000 76.549 -18.1781
147.500000 76.496 -18.2293
150.000000 76.453 -18.3342
152.500000 76.412 -18.3381
155.000000 76.382 -18.2943
157.500000 76.332 -18.3213
160.000000 76.291 -18.3833
162.500000 76.257 -18.4575
165.000000 76.230 -18.5326
167.500000 76.210 -18.6144
170.000000 76.160 -18.7141
172.500000 76.121 -18.8835
175.000000 76.086 -18.9913
177.500000 76.050 -19.1437
180.000000 76.010 -19.2337
182.500000 75.964 -19.2894
185.000000 75.916 -19.3437
187.500000 75.873 -19.3727
190.000000 75.819 -19.4875
192.500000 75.786 -19.5574
195.000000 75.738 -19.5673
197.500000 75.706 -19.5232
200.000000 75.665 -19.5546
203.000000 75.606 -19.5481
206.000000 75.554 -19.6044
209.000000 75.505 -19.5422
212.000000 75.463 -19.5622
214.000000 75.434 -19.5944
218.000000 75.382 -19.4270
220.000000 75.352 -19.4512
224.000000 75.299 -19.3419
227.000000 75.271 -19.3596
230.000000 75.246 -19.2932
233.000000 75.218 -19.1968
236.000000 75.197 -19.2670
240.000000 75.149 -19.2538
243.000000 75.132 -19.3929
247.000000 75.101 -19.5071
250.000000 75.062 -19.5769
254.000000 75.006 -19.6701
258.000000 74.964 -19.5577
262.000000 74.905 -19.6381
265.000000 74.857 -19.7356
269.000000 74.825 -19.7230
272.000000 74.784 -19.6932
276.000000 74.732 -19.7552
280.000000 74.700 -19.7741
285.000000 74.619 -19.6085
290.000000 74.574 -19.7377
295.000000 74.508 -19.7291
300.000000 74.451 -19.7068
304.000000 74.412 -19.5912
307.000000 74.378 -19.6023
311.000000 74.335 -19.5121
315.000000 74.286 -19.4655
320.000000 74.237 -19.3853
325.000000 74.182 -19.4589
330.000000 74.130 -19.2855
335.000000 74.085 -19.2256
340.000000 74.040 -19.1510
345.000000 73.991 -19.0937
350.000000 73.929 -19.0888
