* Measurement data measured by REW V5.20.13
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), R, volume: 0,250
* Format: 256k Log Swept Sine, 1 sweep at -12,0 dBFS with no timing reference
* Dated: 11:02:46 19-05-2024
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Kotori Vampire R
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 86.816 124.5404
1.015000 86.687 123.7615
1.030000 86.556 122.9883
1.044000 86.430 122.2721
1.060000 86.283 121.4605
1.075000 86.142 120.7066
1.090000 85.997 119.9600
1.106000 85.840 119.1699
1.120000 85.700 118.4730
1.138000 85.518 117.5682
1.150000 85.396 116.9609
1.172000 85.168 115.8424
1.180000 85.084 115.4349
1.206000 84.806 114.1117
1.220000 84.653 113.4023
1.241000 84.419 112.3463
1.250000 84.317 111.8976
1.265000 84.144 111.1565
1.280000 83.969 110.4253
1.315000 83.545 108.7671
1.320000 83.483 108.5366
1.340000 83.230 107.6334
1.360000 82.970 106.7632
1.380000 82.702 105.9301
1.400000 82.426 105.1381
1.430000 81.997 104.0364
1.450000 81.699 103.3655
1.475000 81.313 102.5904
1.500000 80.903 101.7666
1.525000 80.470 100.8906
1.550000 80.018 99.9924
1.575000 79.550 99.1022
1.600000 79.068 98.2500
1.625000 78.577 97.4659
1.650000 78.079 96.7801
1.675000 77.579 96.2225
1.700000 77.078 95.8233
1.725000 76.581 95.6127
1.750000 76.091 95.6206
1.775000 75.611 95.8771
1.800000 75.144 96.4124
1.825000 74.694 97.2565
1.850000 74.250 98.4815
1.875000 73.783 100.1684
1.900000 73.298 102.2574
1.925000 72.804 104.6836
1.950000 72.307 107.3822
1.975000 71.813 110.2881
2.000000 71.330 113.3366
2.030000 70.775 117.0915
2.060000 70.257 120.8459
2.090000 69.788 124.4877
2.120000 69.381 127.9047
2.140000 69.150 130.0024
2.180000 68.800 133.6157
2.200000 68.688 135.0671
2.240000 68.612 137.6887
2.270000 68.672 139.5367
2.300000 68.814 141.2559
2.330000 69.022 142.8216
2.360000 69.280 144.2091
2.400000 69.673 145.7391
2.430000 69.984 146.6147
2.470000 70.391 147.3726
2.500000 70.668 147.6019
2.540000 70.970 147.4083
2.580000 71.169 146.5813
2.620000 71.322 145.0350
2.650000 71.418 143.4461
2.690000 71.528 140.8362
2.720000 71.599 138.5658
2.760000 71.682 135.2022
2.800000 71.757 131.5472
2.850000 71.845 126.7228
2.900000 71.939 121.7989
2.950000 72.043 116.9034
3.000000 72.135 111.5913
3.040000 72.200 107.0342
3.070000 72.246 103.4858
3.110000 72.307 98.6400
3.150000 72.371 93.7314
3.200000 72.461 87.6204
3.250000 72.570 81.6724
3.300000 72.704 76.0307
3.350000 72.871 70.5307
3.400000 73.066 65.0321
3.450000 73.279 59.5978
3.500000 73.499 54.2909
3.550000 73.718 49.1745
3.600000 73.923 44.3116
3.650000 74.107 39.7652
3.700000 74.268 35.5493
3.750000 74.425 31.5777
3.820000 74.633 26.4218
3.870000 74.765 23.0286
3.950000 74.936 18.1028
4.000000 75.011 15.3398
4.060000 75.061 12.3389
4.120000 75.065 9.6562
4.180000 75.033 7.3101
4.250000 74.963 5.0310
4.310000 74.886 3.4983
4.370000 74.804 2.3798
4.440000 74.696 1.6540
4.500000 74.561 1.5653
4.550000 74.434 1.8155
4.620000 74.262 2.5718
4.680000 74.146 3.5147
4.750000 74.084 4.8515
4.820000 74.110 6.5851
4.870000 74.164 8.2162
4.940000 74.286 10.8087
5.000000 74.429 13.0977
5.080000 74.669 15.8768
5.150000 74.923 17.7414
5.220000 75.251 19.2855
5.300000 75.696 20.7774
5.380000 76.163 21.9482
5.450000 76.551 22.6846
5.520000 76.889 23.1194
5.600000 77.253 23.1461
5.700000 77.680 22.6629
5.800000 78.048 21.9182
5.900000 78.330 21.1871
6.000000 78.531 20.2409
6.080000 78.643 19.4066
6.150000 78.710 18.7277
6.220000 78.754 18.1850
6.300000 78.766 17.7088
6.400000 78.721 17.2194
6.500000 78.637 16.9534
6.600000 78.548 17.0250
6.700000 78.438 17.4960
6.800000 78.308 18.2847
6.900000 78.192 19.2860
7.000000 78.120 20.4302
7.100000 78.081 21.8666
7.200000 78.069 23.4297
7.300000 78.085 24.8788
7.400000 78.137 26.0986
7.500000 78.230 27.2270
7.620000 78.357 28.3565
7.750000 78.474 29.1488
7.880000 78.589 29.4835
8.000000 78.673 29.5439
8.120000 78.709 29.4742
8.250000 78.703 29.1544
8.380000 78.657 28.7767
8.500000 78.577 28.5272
8.620000 78.458 28.2965
8.750000 78.309 28.1466
8.850000 78.193 28.1630
9.000000 77.999 28.3783
9.120000 77.852 28.6308
9.250000 77.718 28.9551
9.380000 77.602 29.3598
9.500000 77.512 29.6605
9.620000 77.443 29.8224
9.750000 77.390 29.8959
9.880000 77.344 29.8012
10.000000 77.304 29.5202
10.150000 77.260 28.9577
10.300000 77.207 28.2486
10.440000 77.147 27.4285
10.600000 77.074 26.4080
10.750000 77.000 25.4516
10.900000 76.925 24.4742
11.060000 76.859 23.4768
11.200000 76.812 22.6418
11.380000 76.776 21.5851
11.500000 76.770 20.8903
11.720000 76.789 19.6165
11.800000 76.805 19.1410
12.060000 76.885 17.5834
12.200000 76.937 16.7622
12.410000 77.026 15.5737
12.500000 77.067 15.1141
12.650000 77.136 14.4026
12.800000 77.212 13.7768
13.150000 77.413 12.7048
13.200000 77.445 12.5823
13.400000 77.583 12.1787
13.600000 77.727 11.8399
13.800000 77.876 11.5372
14.000000 78.014 11.2681
14.300000 78.195 10.9442
14.500000 78.290 10.8359
14.750000 78.387 10.8727
15.000000 78.465 11.1132
15.250000 78.539 11.5227
15.500000 78.612 11.9920
15.750000 78.683 12.4553
16.000000 78.743 12.8203
16.250000 78.780 13.0963
16.500000 78.791 13.3058
16.750000 78.772 13.5029
17.000000 78.735 13.7254
17.250000 78.687 13.9620
17.500000 78.636 14.1896
17.750000 78.589 14.3301
18.000000 78.542 14.3546
18.250000 78.492 14.2322
18.500000 78.436 13.9830
18.750000 78.375 13.6381
19.000000 78.311 13.2264
19.250000 78.251 12.7763
19.500000 78.201 12.2844
19.750000 78.162 11.7496
20.000000 78.137 11.1639
20.299999 78.123 10.4138
20.600000 78.123 9.6450
20.900000 78.139 8.9001
21.200001 78.172 8.2116
21.400000 78.204 7.7860
21.799999 78.285 7.0087
22.000000 78.330 6.6603
22.400000 78.422 6.0685
22.700001 78.489 5.7528
23.000000 78.555 5.5672
23.299999 78.621 5.4870
23.600000 78.689 5.4667
24.000000 78.771 5.4643
24.299999 78.817 5.4644
24.700001 78.850 5.4889
25.000000 78.856 5.5650
25.400000 78.848 5.7411
25.799999 78.835 5.9253
26.200001 78.816 6.0181
26.500000 78.794 6.0030
26.900000 78.754 5.8886
27.200001 78.718 5.7564
27.600000 78.671 5.5311
28.000000 78.632 5.2298
28.500000 78.600 4.7137
29.000000 78.581 4.0640
29.500000 78.575 3.3469
30.000000 78.577 2.6453
30.400000 78.583 2.1601
30.700001 78.592 1.8693
31.100000 78.615 1.5823
31.500000 78.651 1.3699
32.000000 78.707 1.1213
32.500000 78.752 0.8688
33.000000 78.774 0.6926
33.500000 78.783 0.6402
34.000000 78.789 0.6411
34.500000 78.788 0.5976
35.000000 78.775 0.4938
35.500000 78.750 0.3606
36.000000 78.721 0.1999
36.500000 78.692 -0.0056
37.000000 78.666 -0.2517
37.500000 78.648 -0.5287
38.200001 78.634 -0.9834
38.700001 78.627 -1.3386
39.500000 78.616 -1.8166
40.000000 78.617 -2.0344
40.599998 78.626 -2.2650
41.200001 78.634 -2.4976
41.799999 78.632 -2.7178
42.500000 78.617 -2.9124
43.099998 78.600 -3.0060
43.700001 78.591 -3.0916
44.400002 78.584 -3.2812
45.000000 78.569 -3.5008
45.500000 78.552 -3.6528
46.200001 78.537 -3.7801
46.799999 78.544 -3.8806
47.500000 78.566 -4.1327
48.200001 78.569 -4.5160
48.700001 78.553 -4.7454
49.400002 78.528 -4.8915
50.000000 78.523 -4.9610
50.799999 78.529 -5.1809
51.500000 78.522 -5.4611
52.200001 78.506 -5.7165
53.000000 78.494 -5.9241
53.799999 78.504 -6.1715
54.500000 78.509 -6.5269
55.200001 78.488 -6.8443
56.000000 78.463 -7.0154
57.000000 78.448 -7.1957
58.000000 78.430 -7.4125
59.000000 78.404 -7.7684
60.000000 78.347 -8.0865
60.799999 78.319 -8.2240
61.500000 78.309 -8.4486
62.200001 78.289 -8.7270
63.000000 78.261 -8.9233
64.000000 78.248 -9.1057
65.000000 78.234 -9.3362
66.000000 78.214 -9.5840
67.000000 78.168 -9.8314
68.000000 78.119 -9.8928
69.000000 78.095 -9.9617
70.000000 78.075 -10.1421
71.000000 78.043 -10.2936
72.000000 78.027 -10.3362
73.000000 78.011 -10.5278
74.000000 77.968 -10.5952
75.000000 77.947 -10.5791
76.199997 77.925 -10.6875
77.500000 77.898 -10.8347
78.800003 77.881 -10.8977
80.000000 77.886 -10.9753
81.199997 77.890 -11.2069
82.500000 77.847 -11.2587
83.800003 77.867 -11.2334
85.000000 77.851 -11.4559
86.199997 77.856 -11.5824
87.500000 77.843 -11.9089
88.500000 77.833 -12.1032
90.000000 77.813 -12.4432
91.199997 77.780 -12.7283
92.500000 77.762 -12.8736
93.800003 77.744 -13.2908
95.000000 77.705 -13.5045
96.199997 77.686 -13.7226
97.500000 77.642 -13.9807
98.800003 77.610 -14.1232
100.000000 77.569 -14.3972
101.500000 77.516 -14.4122
103.000000 77.517 -14.7892
104.400002 77.429 -15.0271
106.000000 77.410 -14.9125
107.500000 77.368 -15.0626
109.000000 77.333 -15.2019
110.599998 77.284 -15.2469
112.000000 77.240 -15.3139
113.800003 77.194 -15.5722
115.000000 77.144 -15.3128
117.199997 77.122 -15.6542
118.000000 77.107 -15.5718
120.599998 77.071 -15.7353
122.000000 77.044 -15.8715
124.099998 76.996 -15.9479
125.000000 76.963 -16.0229
126.500000 76.942 -15.9323
128.000000 76.911 -16.0793
131.500000 76.862 -15.9942
132.000000 76.860 -16.0500
134.000000 76.805 -16.0769
136.000000 76.786 -16.1133
138.000000 76.753 -16.0289
140.000000 76.734 -16.1556
143.000000 76.697 -16.2371
145.000000 76.684 -16.3841
147.500000 76.652 -16.4025
150.000000 76.612 -16.4635
152.500000 76.607 -16.5278
155.000000 76.586 -16.6057
157.500000 76.561 -16.7250
160.000000 76.535 -16.8869
162.500000 76.514 -17.0548
165.000000 76.498 -17.1925
167.500000 76.465 -17.3768
170.000000 76.445 -17.5365
172.500000 76.406 -17.7313
175.000000 76.365 -17.9741
177.500000 76.333 -18.0747
180.000000 76.300 -18.3023
182.500000 76.254 -18.3960
185.000000 76.209 -18.5528
187.500000 76.175 -18.7421
190.000000 76.150 -18.8148
192.500000 76.095 -18.9192
195.000000 76.056 -19.0828
197.500000 76.016 -19.1907
200.000000 75.979 -19.2793
203.000000 75.936 -19.2745
206.000000 75.879 -19.3715
209.000000 75.832 -19.5072
212.000000 75.796 -19.5727
214.000000 75.765 -19.5748
218.000000 75.703 -19.7929
220.000000 75.653 -19.6902
224.000000 75.617 -19.7457
227.000000 75.567 -19.6420
230.000000 75.488 -19.7552
233.000000 75.442 -20.0034
236.000000 75.447 -20.3087
240.000000 75.369 -20.1988
243.000000 75.382 -20.2150
247.000000 75.241 -20.0195
250.000000 75.240 -19.3385
254.000000 75.276 -19.9128
258.000000 75.211 -20.3040
262.000000 75.077 -19.2861
265.000000 75.186 -19.7078
269.000000 74.999 -20.0564
272.000000 74.957 -19.7819
276.000000 74.999 -19.9162
280.000000 74.914 -20.3048
285.000000 74.871 -19.9903
290.000000 74.799 -20.0917
295.000000 74.761 -20.1975
300.000000 74.688 -20.0781
304.000000 74.647 -20.2461
307.000000 74.634 -20.2080
311.000000 74.567 -20.0225
315.000000 74.520 -20.1019
320.000000 74.481 -19.8730
325.000000 74.425 -20.0396
330.000000 74.367 -19.9855
335.000000 74.304 -20.0892
340.000000 74.225 -19.9440
345.000000 74.211 -19.7541
350.000000 74.112 -19.9138
