* Measurement data measured by REW V5.20.13
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), R, volume: 0,250
* Format: 256k Log Swept Sine, 1 sweep at -12,0 dBFS with no timing reference
* Dated: 13:40:51 28-07-2024
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: MP145 Rosegold Balance R
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 83.953 122.5433
1.015000 83.768 121.6319
1.030000 83.576 120.7108
1.044000 83.389 119.8418
1.060000 83.167 118.8367
1.075000 82.949 117.8821
1.090000 82.722 116.9147
1.106000 82.470 115.8917
1.120000 82.241 115.1320
1.138000 81.936 114.3492
1.150000 81.726 113.9297
1.172000 81.329 113.3273
1.180000 81.180 113.1497
1.206000 80.683 112.6669
1.220000 80.406 112.4348
1.241000 79.981 112.0700
1.250000 79.796 111.8934
1.265000 79.481 111.5530
1.280000 79.161 111.1341
1.315000 78.395 109.7166
1.320000 78.283 109.4507
1.340000 77.831 108.1934
1.360000 77.373 106.5831
1.380000 76.907 104.5630
1.400000 76.436 102.0760
1.430000 75.719 97.3458
1.450000 75.236 93.4428
1.475000 74.619 87.5836
1.500000 73.912 80.3078
1.525000 73.118 71.7293
1.550000 72.259 62.0608
1.575000 71.355 51.5145
1.600000 70.430 40.3033
1.625000 69.505 28.6393
1.650000 68.602 16.7353
1.675000 67.744 4.8037
1.700000 66.951 -6.9431
1.725000 66.247 -18.2925
1.750000 65.653 -29.0319
1.775000 65.190 -38.9490
1.800000 64.882 -47.8312
1.825000 64.749 -55.4660
1.850000 64.819 -61.8630
1.875000 65.099 -67.4830
1.900000 65.561 -72.4147
1.925000 66.178 -76.7268
1.950000 66.922 -80.4878
1.975000 67.766 -83.7666
2.000000 68.681 -86.6316
2.030000 69.835 -89.6203
2.060000 71.005 -92.2307
2.090000 72.141 -94.5817
2.120000 73.197 -96.7918
2.140000 73.833 -98.2455
2.180000 74.876 -101.2638
2.200000 75.255 -102.8963
2.240000 75.844 -105.9356
2.270000 76.189 -107.8824
2.300000 76.463 -109.5786
2.330000 76.673 -111.0553
2.360000 76.830 -112.3436
2.400000 76.972 -113.8222
2.430000 77.039 -114.7920
2.470000 77.095 -115.9587
2.500000 77.123 -116.7794
2.540000 77.159 -117.8604
2.580000 77.207 -118.9810
2.620000 77.213 -120.0705
2.650000 77.184 -120.8364
2.690000 77.110 -121.7652
2.720000 77.032 -122.3763
2.760000 76.905 -123.0533
2.800000 76.759 -123.5454
2.850000 76.563 -123.8550
2.900000 76.369 -123.7710
2.950000 76.184 -123.2319
3.000000 75.949 -122.1975
3.040000 75.730 -121.0574
3.070000 75.556 -120.0473
3.110000 75.325 -118.5275
3.150000 75.105 -116.8480
3.200000 74.869 -114.5878
3.250000 74.702 -112.2249
3.300000 74.632 -109.8388
3.350000 74.656 -107.1599
3.400000 74.752 -104.0858
3.450000 74.908 -100.8004
3.500000 75.109 -97.4874
3.550000 75.344 -94.3306
3.600000 75.598 -91.5138
3.650000 75.859 -89.2209
3.700000 76.135 -87.5260
3.750000 76.460 -86.2306
3.820000 76.970 -84.9748
3.870000 77.349 -84.4056
3.950000 77.932 -83.9192
4.000000 78.255 -83.7996
4.060000 78.581 -83.8113
4.120000 78.873 -84.1917
4.180000 79.136 -84.8800
4.250000 79.405 -85.9318
4.310000 79.603 -86.9262
4.370000 79.769 -87.8955
4.440000 79.918 -88.9522
4.500000 80.005 -89.9609
4.550000 80.053 -90.8469
4.620000 80.087 -92.0904
4.680000 80.091 -93.0975
4.750000 80.076 -94.1240
4.820000 80.032 -94.9902
4.870000 79.975 -95.5676
4.940000 79.871 -96.2912
5.000000 79.768 -96.8068
5.080000 79.628 -97.3007
5.150000 79.515 -97.5094
5.220000 79.390 -97.4821
5.300000 79.237 -97.2196
5.380000 79.094 -96.7902
5.450000 78.994 -96.3435
5.520000 78.931 -95.8691
5.600000 78.892 -95.1370
5.700000 78.884 -94.0686
5.800000 78.918 -93.1104
5.900000 78.993 -92.5236
6.000000 79.127 -92.1772
6.080000 79.260 -92.0656
6.150000 79.380 -92.1165
6.220000 79.491 -92.3289
6.300000 79.612 -92.8060
6.400000 79.767 -93.7196
6.500000 79.912 -94.8661
6.600000 80.027 -96.1186
6.700000 80.110 -97.5357
6.800000 80.168 -99.1161
6.900000 80.205 -100.7179
7.000000 80.222 -102.2235
7.100000 80.210 -103.7197
7.200000 80.180 -105.1703
7.300000 80.147 -106.4954
7.400000 80.115 -107.6445
7.500000 80.074 -108.6567
7.620000 80.033 -109.7168
7.750000 80.024 -110.6878
7.880000 80.043 -111.4254
8.000000 80.089 -112.0255
8.120000 80.170 -112.6601
8.250000 80.298 -113.3179
8.380000 80.450 -114.0289
8.500000 80.602 -114.8140
8.620000 80.772 -115.6971
8.750000 80.959 -116.7263
8.850000 81.094 -117.5596
9.000000 81.291 -118.9094
9.120000 81.439 -119.9883
9.250000 81.583 -121.0986
9.380000 81.712 -122.1819
9.500000 81.822 -123.1020
9.620000 81.926 -123.9118
9.750000 82.028 -124.6892
9.880000 82.130 -125.3673
10.000000 82.225 -125.8940
10.150000 82.345 -126.4341
10.300000 82.468 -126.9121
10.440000 82.589 -127.2928
10.600000 82.728 -127.6914
10.750000 82.858 -128.0693
10.900000 82.986 -128.4372
11.060000 83.114 -128.8303
11.200000 83.219 -129.1769
11.380000 83.343 -129.6020
11.500000 83.417 -129.8687
11.720000 83.540 -130.3230
11.800000 83.581 -130.4731
12.060000 83.703 -130.9197
12.200000 83.763 -131.1498
12.410000 83.845 -131.4870
12.500000 83.878 -131.6402
12.650000 83.928 -131.9041
12.800000 83.973 -132.1803
13.150000 84.053 -132.8802
13.200000 84.061 -132.9823
13.400000 84.089 -133.3956
13.600000 84.111 -133.8097
13.800000 84.128 -134.2184
14.000000 84.145 -134.6437
14.300000 84.172 -135.3298
14.500000 84.193 -135.8522
14.750000 84.217 -136.5870
15.000000 84.239 -137.4115
15.250000 84.256 -138.2942
15.500000 84.268 -139.1925
15.750000 84.281 -140.0835
16.000000 84.298 -140.9432
16.250000 84.326 -141.7857
16.500000 84.365 -142.6211
16.750000 84.415 -143.4691
17.000000 84.471 -144.3291
17.250000 84.529 -145.1885
17.500000 84.588 -146.0283
17.750000 84.647 -146.8183
18.000000 84.707 -147.5517
18.250000 84.768 -148.2218
18.500000 84.831 -148.8412
18.750000 84.894 -149.4184
19.000000 84.957 -149.9615
19.250000 85.015 -150.4712
19.500000 85.068 -150.9424
19.750000 85.116 -151.3721
20.000000 85.159 -151.7598
20.299999 85.206 -152.1853
20.600000 85.248 -152.5865
20.900000 85.284 -152.9835
21.200001 85.311 -153.3868
21.400000 85.323 -153.6566
21.799999 85.338 -154.1929
22.000000 85.342 -154.4606
22.400000 85.346 -155.0095
22.700001 85.347 -155.4547
23.000000 85.347 -155.9441
23.299999 85.343 -156.4729
23.600000 85.337 -157.0262
24.000000 85.326 -157.7766
24.299999 85.321 -158.3389
24.700001 85.321 -159.0945
25.000000 85.328 -159.6740
25.400000 85.342 -160.4623
25.799999 85.360 -161.2452
26.200001 85.382 -161.9945
26.500000 85.400 -162.5267
26.900000 85.428 -163.1973
27.200001 85.450 -163.6721
27.600000 85.478 -164.2643
28.000000 85.504 -164.8037
28.500000 85.533 -165.4115
29.000000 85.555 -165.9745
29.500000 85.568 -166.5082
30.000000 85.572 -167.0104
30.400000 85.570 -167.3993
30.700001 85.568 -167.6971
31.100000 85.562 -168.1170
31.500000 85.551 -168.5615
32.000000 85.532 -169.1265
32.500000 85.513 -169.6842
33.000000 85.501 -170.2581
33.500000 85.495 -170.8809
34.000000 85.489 -171.5460
34.500000 85.479 -172.2058
35.000000 85.466 -172.8126
35.500000 85.456 -173.3432
36.000000 85.454 -173.8107
36.500000 85.459 -174.2545
37.000000 85.466 -174.7111
37.500000 85.469 -175.1814
38.200001 85.462 -175.8150
38.700001 85.451 -176.2362
39.500000 85.430 -176.8904
40.000000 85.414 -177.2937
40.599998 85.396 -177.7780
41.200001 85.379 -178.2875
41.799999 85.359 -178.8179
42.500000 85.332 -179.4148
43.099998 85.313 -179.9026
43.700001 85.297 179.6034
44.400002 85.274 179.0335
45.000000 85.253 178.5878
45.500000 85.238 178.2390
46.200001 85.222 177.7255
46.799999 85.202 177.2438
47.500000 85.163 176.7335
48.200001 85.128 176.3640
48.700001 85.116 176.1212
49.400002 85.111 175.6632
50.000000 85.093 175.1885
50.799999 85.049 174.6561
51.500000 85.017 174.3029
52.200001 84.992 173.9283
53.000000 84.956 173.4939
53.799999 84.922 173.1177
54.500000 84.898 172.7435
55.200001 84.867 172.3210
56.000000 84.827 171.8957
57.000000 84.792 171.3544
58.000000 84.748 170.7690
59.000000 84.709 170.3021
60.000000 84.675 169.7855
60.799999 84.635 169.4069
61.500000 84.600 169.1447
62.200001 84.572 168.8889
63.000000 84.540 168.5361
64.000000 84.486 168.0659
65.000000 84.434 167.6996
66.000000 84.396 167.2603
67.000000 84.345 166.8179
68.000000 84.302 166.4722
69.000000 84.263 166.0732
70.000000 84.214 165.7275
71.000000 84.169 165.4005
72.000000 84.120 165.0678
73.000000 84.074 164.7633
74.000000 84.029 164.4246
75.000000 83.981 164.1198
76.199997 83.932 163.7462
77.500000 83.867 163.3354
78.800003 83.805 163.0301
80.000000 83.754 162.6940
81.199997 83.697 162.3804
82.500000 83.637 162.0630
83.800003 83.582 161.7574
85.000000 83.527 161.4516
86.199997 83.467 161.1744
87.500000 83.406 160.9193
88.500000 83.364 160.7024
90.000000 83.303 160.3827
91.199997 83.249 160.1081
92.500000 83.191 159.8983
93.800003 83.138 159.6857
95.000000 83.083 159.4691
96.199997 83.028 159.2970
97.500000 82.973 159.0671
98.800003 82.916 158.8498
100.000000 82.861 158.6642
101.500000 82.799 158.4875
103.000000 82.736 158.2962
104.400002 82.679 158.1052
106.000000 82.604 157.8975
107.500000 82.548 157.7553
109.000000 82.491 157.5726
110.599998 82.427 157.3578
112.000000 82.371 157.2746
113.800003 82.299 157.0696
115.000000 82.251 157.0186
117.199997 82.168 156.8238
118.000000 82.131 156.7412
120.599998 82.034 156.5664
122.000000 81.974 156.4963
124.099998 81.904 156.2916
125.000000 81.864 156.2800
126.500000 81.819 156.2276
128.000000 81.761 156.1047
131.500000 81.636 155.9920
132.000000 81.619 155.9580
134.000000 81.547 155.9177
136.000000 81.472 155.8258
138.000000 81.410 155.7607
140.000000 81.345 155.7339
143.000000 81.240 155.6911
145.000000 81.173 155.6193
147.500000 81.088 155.6017
150.000000 81.022 155.7164
152.500000 80.946 155.5950
155.000000 80.857 155.6412
157.500000 80.780 155.6142
160.000000 80.710 155.6750
162.500000 80.637 155.6763
165.000000 80.565 155.7017
167.500000 80.511 155.7647
170.000000 80.427 155.8456
172.500000 80.351 155.9261
175.000000 80.288 156.0055
177.500000 80.220 156.0198
180.000000 80.164 156.1352
182.500000 80.095 156.2193
185.000000 80.042 156.2592
187.500000 79.972 156.3220
190.000000 79.913 156.4643
192.500000 79.853 156.5797
195.000000 79.793 156.6881
197.500000 79.733 156.8546
200.000000 79.666 156.9446
203.000000 79.608 157.0522
206.000000 79.547 157.2599
209.000000 79.488 157.4067
212.000000 79.415 157.5002
214.000000 79.379 157.6224
218.000000 79.294 157.8550
220.000000 79.259 157.9662
224.000000 79.173 158.1727
227.000000 79.114 158.4034
230.000000 79.049 158.5310
233.000000 78.997 158.7441
236.000000 78.956 158.9271
240.000000 78.878 159.2451
243.000000 78.814 159.4292
247.000000 78.750 159.7145
250.000000 78.696 159.8140
254.000000 78.637 160.2068
258.000000 78.552 160.5634
262.000000 78.505 160.8141
265.000000 78.450 160.9618
269.000000 78.391 161.4011
272.000000 78.359 161.6619
276.000000 78.278 161.9763
280.000000 78.244 162.4267
285.000000 78.179 162.9438
290.000000 78.127 163.3748
295.000000 78.090 163.7804
300.000000 78.077 164.0433
304.000000 78.040 164.3346
307.000000 78.021 164.4051
311.000000 77.980 164.7333
315.000000 77.931 164.9333
320.000000 77.874 165.3183
325.000000 77.833 165.6687
