* Measurement data measured by REW V5.20.13
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), R, volume: 0,250
* Format: 256k Log Swept Sine, 1 sweep at -12,0 dBFS with no timing reference
* Dated: 23:22:13 28-07-2024
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: MP145 Rosegold New L
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 83.688 125.3603
1.015000 83.499 124.5017
1.030000 83.302 123.6343
1.044000 83.111 122.8163
1.060000 82.883 121.8705
1.075000 82.659 120.9725
1.090000 82.425 120.0628
1.106000 82.164 119.1051
1.120000 81.924 118.4187
1.138000 81.601 117.7528
1.150000 81.376 117.4236
1.172000 80.948 117.0073
1.180000 80.787 116.9027
1.206000 80.247 116.6702
1.220000 79.947 116.5778
1.241000 79.485 116.4233
1.250000 79.283 116.3356
1.265000 78.943 116.1397
1.280000 78.598 115.8584
1.315000 77.779 114.7206
1.320000 77.661 114.4886
1.340000 77.186 113.3476
1.360000 76.709 111.8185
1.380000 76.232 109.8382
1.400000 75.756 107.3436
1.430000 75.050 102.4998
1.450000 74.586 98.4439
1.475000 74.009 92.2889
1.500000 73.366 84.5392
1.525000 72.657 75.3222
1.550000 71.900 64.8814
1.575000 71.113 53.4605
1.600000 70.315 41.3035
1.625000 69.523 28.6539
1.650000 68.758 15.7554
1.675000 68.036 2.8518
1.700000 67.376 -9.8132
1.725000 66.798 -21.9958
1.750000 66.318 -33.4523
1.775000 65.956 -43.9391
1.800000 65.730 -53.2123
1.825000 65.658 -61.0284
1.850000 65.766 -67.3760
1.875000 66.065 -72.7398
1.900000 66.532 -77.2356
1.925000 67.140 -80.9588
1.950000 67.864 -84.0048
1.975000 68.678 -86.4688
2.000000 69.558 -88.4465
2.030000 70.663 -90.3118
2.060000 71.782 -91.7788
2.090000 72.869 -93.0124
2.120000 73.880 -94.1772
2.140000 74.491 -94.9971
2.180000 75.500 -96.9604
2.200000 75.874 -98.1983
2.240000 76.459 -100.6121
2.270000 76.807 -102.1815
2.300000 77.085 -103.5672
2.330000 77.304 -104.7897
2.360000 77.473 -105.8694
2.400000 77.635 -107.1226
2.430000 77.722 -107.9491
2.470000 77.808 -108.9391
2.500000 77.862 -109.6242
2.540000 77.939 -110.5000
2.580000 78.032 -111.3670
2.620000 78.090 -112.1639
2.650000 78.105 -112.6973
2.690000 78.093 -113.3131
2.720000 78.065 -113.6971
2.760000 78.010 -114.0960
2.800000 77.941 -114.3549
2.850000 77.848 -114.4639
2.900000 77.763 -114.3131
2.950000 77.695 -113.8710
3.000000 77.604 -113.0673
3.040000 77.515 -112.1945
3.070000 77.443 -111.4298
3.110000 77.348 -110.2929
3.150000 77.261 -109.0553
3.200000 77.175 -107.4226
3.250000 77.130 -105.7614
3.300000 77.139 -104.1417
3.350000 77.203 -102.3987
3.400000 77.310 -100.4522
3.450000 77.451 -98.4035
3.500000 77.619 -96.3535
3.550000 77.806 -94.4036
3.600000 78.006 -92.6548
3.650000 78.211 -91.2082
3.700000 78.426 -90.0997
3.750000 78.671 -89.2119
3.820000 79.048 -88.2918
3.870000 79.326 -87.8376
3.950000 79.757 -87.4062
4.000000 80.001 -87.2895
4.060000 80.255 -87.3000
4.120000 80.491 -87.5821
4.180000 80.710 -88.0895
4.250000 80.942 -88.8710
4.310000 81.116 -89.6219
4.370000 81.265 -90.3724
4.440000 81.403 -91.2224
4.500000 81.491 -92.0476
4.550000 81.546 -92.7805
4.620000 81.598 -93.8228
4.680000 81.624 -94.6820
4.750000 81.636 -95.5808
4.820000 81.626 -96.3667
4.870000 81.600 -96.9039
4.940000 81.543 -97.6019
5.000000 81.483 -98.1304
5.080000 81.399 -98.7023
5.150000 81.331 -99.0472
5.220000 81.253 -99.2321
5.300000 81.155 -99.2861
5.380000 81.062 -99.2230
5.450000 80.997 -99.1134
5.520000 80.955 -98.9774
5.600000 80.928 -98.6867
5.700000 80.920 -98.2097
5.800000 80.942 -97.7936
5.900000 80.995 -97.6105
6.000000 81.091 -97.5610
6.080000 81.186 -97.6250
6.150000 81.275 -97.7863
6.220000 81.360 -98.0702
6.300000 81.456 -98.5680
6.400000 81.584 -99.4159
6.500000 81.708 -100.4417
6.600000 81.811 -101.5681
6.700000 81.892 -102.8429
6.800000 81.958 -104.2565
6.900000 82.008 -105.6982
7.000000 82.041 -107.0775
7.100000 82.052 -108.4667
7.200000 82.049 -109.8298
7.300000 82.041 -111.0946
7.400000 82.033 -112.2188
7.500000 82.015 -113.2400
7.620000 81.999 -114.3349
7.750000 82.009 -115.3517
7.880000 82.037 -116.1597
8.000000 82.086 -116.8198
8.120000 82.166 -117.4803
8.250000 82.285 -118.1372
8.380000 82.428 -118.8268
8.500000 82.574 -119.5736
8.620000 82.739 -120.3940
8.750000 82.923 -121.3622
8.850000 83.057 -122.1717
9.000000 83.258 -123.5041
9.120000 83.408 -124.6029
9.250000 83.552 -125.7879
9.380000 83.679 -126.9930
9.500000 83.783 -128.0513
9.620000 83.871 -129.0255
9.750000 83.950 -130.0127
9.880000 84.019 -130.8836
10.000000 84.074 -131.5629
10.150000 84.132 -132.2655
10.300000 84.191 -132.8121
10.440000 84.245 -133.1666
10.600000 84.311 -133.4437
10.750000 84.382 -133.6073
10.900000 84.461 -133.6814
11.060000 84.553 -133.7444
11.200000 84.642 -133.7728
11.380000 84.761 -133.8346
11.500000 84.843 -133.9033
11.720000 84.992 -134.0919
11.800000 85.044 -134.1902
12.060000 85.203 -134.6022
12.200000 85.277 -134.8778
12.410000 85.372 -135.3508
12.500000 85.405 -135.5598
12.650000 85.452 -135.9263
12.800000 85.487 -136.2899
13.150000 85.535 -137.0685
13.200000 85.539 -137.1691
13.400000 85.550 -137.5373
13.600000 85.560 -137.8779
13.800000 85.571 -138.1926
14.000000 85.587 -138.5349
14.300000 85.619 -139.1302
14.500000 85.643 -139.6250
14.750000 85.669 -140.3439
15.000000 85.687 -141.1625
15.250000 85.693 -142.0232
15.500000 85.694 -142.8757
15.750000 85.693 -143.6955
16.000000 85.698 -144.4651
16.250000 85.714 -145.2145
16.500000 85.742 -145.9616
16.750000 85.781 -146.7363
17.000000 85.823 -147.5358
17.250000 85.866 -148.3419
17.500000 85.907 -149.1271
17.750000 85.945 -149.8482
18.000000 85.983 -150.4952
18.250000 86.026 -151.0583
18.500000 86.075 -151.5602
18.750000 86.129 -152.0232
19.000000 86.189 -152.4682
19.250000 86.248 -152.9153
19.500000 86.305 -153.3624
19.750000 86.356 -153.8081
20.000000 86.400 -154.2409
20.299999 86.443 -154.7355
20.600000 86.476 -155.1996
20.900000 86.501 -155.6349
21.200001 86.518 -156.0475
21.400000 86.526 -156.3139
21.799999 86.536 -156.8370
22.000000 86.539 -157.1015
22.400000 86.542 -157.6554
22.700001 86.542 -158.1053
23.000000 86.538 -158.5874
23.299999 86.531 -159.0916
23.600000 86.522 -159.6058
24.000000 86.512 -160.2956
24.299999 86.508 -160.8197
24.700001 86.510 -161.5444
25.000000 86.515 -162.1132
25.400000 86.523 -162.8911
25.799999 86.529 -163.6483
26.200001 86.536 -164.3435
26.500000 86.545 -164.8180
26.900000 86.564 -165.4016
27.200001 86.581 -165.8172
27.600000 86.605 -166.3536
28.000000 86.627 -166.8665
28.500000 86.648 -167.4596
29.000000 86.662 -167.9933
29.500000 86.669 -168.4810
30.000000 86.673 -168.9523
30.400000 86.672 -169.3406
30.700001 86.670 -169.6466
31.100000 86.661 -170.0732
31.500000 86.647 -170.5094
32.000000 86.625 -171.0498
32.500000 86.605 -171.5889
33.000000 86.590 -172.1520
33.500000 86.576 -172.7448
34.000000 86.562 -173.3405
34.500000 86.550 -173.9091
35.000000 86.541 -174.4419
35.500000 86.537 -174.9429
36.000000 86.536 -175.4204
36.500000 86.538 -175.8881
37.000000 86.538 -176.3556
37.500000 86.532 -176.8096
38.200001 86.516 -177.3813
38.700001 86.505 -177.7555
39.500000 86.486 -178.3828
40.000000 86.469 -178.7949
40.599998 86.444 -179.2791
41.200001 86.420 -179.7500
41.799999 86.397 179.7776
42.500000 86.371 179.2238
43.099998 86.350 178.7527
43.700001 86.329 178.2955
44.400002 86.305 177.7976
45.000000 86.288 177.3919
45.500000 86.275 177.0517
46.200001 86.256 176.5712
46.799999 86.238 176.1633
47.500000 86.215 175.6927
48.200001 86.190 175.2425
48.700001 86.174 174.9337
49.400002 86.153 174.4808
50.000000 86.131 174.0654
50.799999 86.089 173.5667
51.500000 86.056 173.2235
52.200001 86.033 172.8712
53.000000 86.003 172.3989
53.799999 85.961 171.9651
54.500000 85.929 171.6315
55.200001 85.901 171.2693
56.000000 85.865 170.8498
57.000000 85.828 170.3604
58.000000 85.792 169.8275
59.000000 85.751 169.3672
60.000000 85.718 168.9177
60.799999 85.682 168.5488
61.500000 85.648 168.2687
62.200001 85.618 167.9892
63.000000 85.579 167.6320
64.000000 85.524 167.2231
65.000000 85.481 166.8163
66.000000 85.434 166.3559
67.000000 85.388 166.0038
68.000000 85.357 165.6306
69.000000 85.313 165.2403
70.000000 85.268 164.9577
71.000000 85.231 164.6558
72.000000 85.185 164.3177
73.000000 85.135 164.0126
74.000000 85.088 163.7009
75.000000 85.042 163.3809
76.199997 84.985 162.9908
77.500000 84.926 162.6321
78.800003 84.873 162.2285
80.000000 84.815 161.8796
81.199997 84.760 161.5901
82.500000 84.707 161.2880
83.800003 84.652 160.9720
85.000000 84.599 160.7263
86.199997 84.548 160.4634
87.500000 84.489 160.1934
88.500000 84.447 159.9743
90.000000 84.380 159.6578
91.199997 84.332 159.3970
92.500000 84.273 159.1221
93.800003 84.217 158.8741
95.000000 84.158 158.6649
96.199997 84.109 158.4947
97.500000 84.054 158.2822
98.800003 84.006 158.0392
100.000000 83.946 157.8710
101.500000 83.895 157.6790
103.000000 83.827 157.4843
104.400002 83.775 157.3440
106.000000 83.717 157.1078
107.500000 83.651 156.9120
109.000000 83.587 156.7210
110.599998 83.513 156.5841
112.000000 83.466 156.4208
113.800003 83.395 156.2195
115.000000 83.353 156.0605
117.199997 83.269 155.8438
118.000000 83.235 155.7775
120.599998 83.140 155.5992
122.000000 83.085 155.5197
124.099998 83.003 155.3435
125.000000 82.965 155.2331
126.500000 82.903 155.3005
128.000000 82.855 155.1469
131.500000 82.721 155.0159
132.000000 82.701 154.9997
134.000000 82.634 154.9319
136.000000 82.562 154.8309
138.000000 82.505 154.7623
140.000000 82.435 154.6405
143.000000 82.334 154.5712
145.000000 82.270 154.5504
147.500000 82.188 154.5169
150.000000 82.100 154.5547
152.500000 82.023 154.4824
155.000000 81.947 154.4944
157.500000 81.873 154.5063
160.000000 81.792 154.5203
162.500000 81.708 154.5097
165.000000 81.640 154.5889
167.500000 81.563 154.6200
170.000000 81.482 154.7121
172.500000 81.402 154.8556
175.000000 81.337 154.9916
177.500000 81.284 155.1930
180.000000 81.222 155.4087
182.500000 81.162 155.4513
185.000000 81.117 155.4881
187.500000 81.060 155.5432
190.000000 81.000 155.6057
192.500000 80.927 155.6478
195.000000 80.882 155.6995
197.500000 80.821 155.8370
200.000000 80.738 156.0037
203.000000 80.686 156.2171
206.000000 80.632 156.4137
209.000000 80.569 156.5951
212.000000 80.530 156.7610
214.000000 80.494 156.8064
218.000000 80.434 157.0452
220.000000 80.389 157.0332
224.000000 80.310 157.2151
227.000000 80.240 157.3104
230.000000 80.181 157.4467
233.000000 80.135 157.6384
236.000000 80.071 157.8369
240.000000 79.986 158.0144
243.000000 79.934 158.2267
247.000000 79.870 158.3733
250.000000 79.830 158.5772
254.000000 79.753 158.8546
258.000000 79.690 159.1915
262.000000 79.617 159.4469
265.000000 79.568 159.6558
269.000000 79.504 159.9609
272.000000 79.473 160.1670
276.000000 79.397 160.4149
280.000000 79.348 160.7121
285.000000 79.274 161.1357
290.000000 79.202 161.4862
295.000000 79.139 161.8452
300.000000 79.085 162.2027
304.000000 79.042 162.5553
307.000000 78.997 162.6660
311.000000 78.947 163.0128
315.000000 78.901 163.3949
320.000000 78.840 163.7437
325.000000 78.788 164.1690
