* Measurement data measured by REW V5.20.13
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), R, volume: 0,250
* Format: 256k Log Swept Sine, 1 sweep at -12,0 dBFS with no timing reference
* Dated: 23:24:24 28-07-2024
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: MP145 Rosegold New R
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 83.552 123.9855
1.015000 83.363 123.0898
1.030000 83.165 122.1826
1.044000 82.973 121.3247
1.060000 82.744 120.3301
1.075000 82.519 119.3828
1.090000 82.284 118.4203
1.106000 82.023 117.4003
1.120000 81.781 116.6447
1.138000 81.453 115.8697
1.150000 81.226 115.4566
1.172000 80.789 114.8673
1.180000 80.625 114.6948
1.206000 80.075 114.2279
1.220000 79.768 114.0033
1.241000 79.297 113.6474
1.250000 79.091 113.4735
1.265000 78.745 113.1356
1.280000 78.394 112.7162
1.315000 77.565 111.2833
1.320000 77.445 111.0133
1.340000 76.968 109.7340
1.360000 76.491 108.0920
1.380000 76.016 106.0292
1.400000 75.547 103.4874
1.430000 74.857 98.6494
1.450000 74.410 94.6557
1.475000 73.861 88.6557
1.500000 73.259 81.1728
1.525000 72.602 72.3246
1.550000 71.907 62.3372
1.575000 71.189 51.4364
1.600000 70.466 39.8487
1.625000 69.752 27.7999
1.650000 69.064 15.5162
1.675000 68.419 3.2237
1.700000 67.831 -8.8516
1.725000 67.319 -20.4834
1.750000 66.897 -31.4458
1.775000 66.581 -41.5127
1.800000 66.389 -50.4578
1.825000 66.336 -58.0553
1.850000 66.445 -64.3002
1.875000 66.731 -69.6535
1.900000 67.170 -74.2190
1.925000 67.740 -78.0808
1.950000 68.416 -81.3233
1.975000 69.176 -84.0305
2.000000 69.995 -86.2869
2.030000 71.024 -88.5179
2.060000 72.064 -90.3665
2.090000 73.075 -91.9781
2.120000 74.016 -93.4984
2.140000 74.585 -94.5331
2.180000 75.527 -96.8472
2.200000 75.876 -98.2100
2.240000 76.427 -100.8221
2.270000 76.756 -102.5166
2.300000 77.021 -104.0101
2.330000 77.231 -105.3255
2.360000 77.395 -106.4859
2.400000 77.554 -107.8319
2.430000 77.639 -108.7203
2.470000 77.725 -109.7874
2.500000 77.778 -110.5295
2.540000 77.849 -111.4851
2.580000 77.932 -112.4405
2.620000 77.978 -113.3265
2.650000 77.984 -113.9248
2.690000 77.961 -114.6238
2.720000 77.925 -115.0669
2.760000 77.857 -115.5390
2.800000 77.776 -115.8638
2.850000 77.668 -116.0425
2.900000 77.566 -115.9451
2.950000 77.482 -115.5378
3.000000 77.371 -114.7517
3.040000 77.264 -113.8817
3.070000 77.179 -113.1131
3.110000 77.066 -111.9633
3.150000 76.962 -110.7048
3.200000 76.856 -109.0356
3.250000 76.794 -107.3277
3.300000 76.791 -105.6522
3.350000 76.847 -103.8327
3.400000 76.948 -101.7865
3.450000 77.086 -99.6238
3.500000 77.253 -97.4548
3.550000 77.442 -95.3898
3.600000 77.644 -93.5390
3.650000 77.853 -92.0126
3.700000 78.072 -90.8497
3.750000 78.325 -89.9227
3.820000 78.716 -88.9685
3.870000 79.004 -88.5020
3.950000 79.452 -88.0663
4.000000 79.705 -87.9533
4.060000 79.968 -87.9736
4.120000 80.211 -88.2790
4.180000 80.437 -88.8207
4.250000 80.675 -89.6511
4.310000 80.854 -90.4467
4.370000 81.007 -91.2402
4.440000 81.149 -92.1364
4.500000 81.239 -93.0035
4.550000 81.294 -93.7724
4.620000 81.346 -94.8648
4.680000 81.371 -95.7653
4.750000 81.383 -96.7082
4.820000 81.371 -97.5339
4.870000 81.343 -98.0986
4.940000 81.282 -98.8326
5.000000 81.219 -99.3888
5.080000 81.130 -99.9912
5.150000 81.058 -100.3554
5.220000 80.976 -100.5535
5.300000 80.872 -100.6155
5.380000 80.773 -100.5535
5.450000 80.702 -100.4395
5.520000 80.657 -100.2939
5.600000 80.625 -99.9837
5.700000 80.612 -99.4723
5.800000 80.630 -99.0166
5.900000 80.680 -98.7941
6.000000 80.774 -98.7019
6.080000 80.870 -98.7299
6.150000 80.958 -98.8594
6.220000 81.043 -99.1122
6.300000 81.140 -99.5758
6.400000 81.269 -100.3812
6.500000 81.393 -101.3645
6.600000 81.498 -102.4477
6.700000 81.580 -103.6775
6.800000 81.648 -105.0455
6.900000 81.700 -106.4426
7.000000 81.723 -107.7797
7.100000 81.730 -109.1258
7.200000 81.738 -110.4488
7.300000 81.744 -111.6816
7.400000 81.739 -112.7845
7.500000 81.726 -113.7919
7.620000 81.714 -114.8831
7.750000 81.724 -115.9176
7.880000 81.751 -116.7691
8.000000 81.795 -117.4775
8.120000 81.863 -118.1841
8.250000 81.965 -118.8997
8.380000 82.085 -119.6298
8.500000 82.205 -120.3777
8.620000 82.340 -121.1752
8.750000 82.489 -122.0775
8.850000 82.598 -122.7973
9.000000 82.760 -123.9368
9.120000 82.883 -124.8403
9.250000 83.004 -125.7723
9.380000 83.116 -126.6786
9.500000 83.213 -127.4526
9.620000 83.305 -128.1418
9.750000 83.399 -128.8107
9.880000 83.492 -129.4056
10.000000 83.579 -129.8812
10.150000 83.689 -130.3883
10.300000 83.802 -130.8559
10.440000 83.911 -131.2494
10.600000 84.036 -131.6795
10.750000 84.150 -132.0955
10.900000 84.262 -132.5114
11.060000 84.371 -132.9583
11.200000 84.459 -133.3554
11.380000 84.560 -133.8451
11.500000 84.619 -134.1543
11.720000 84.713 -134.6806
11.800000 84.744 -134.8531
12.060000 84.831 -135.3597
12.200000 84.874 -135.6096
12.410000 84.932 -135.9621
12.500000 84.955 -136.1181
12.650000 84.992 -136.3799
12.800000 85.025 -136.6520
13.150000 85.085 -137.3492
13.200000 85.092 -137.4533
13.400000 85.113 -137.8819
13.600000 85.128 -138.3201
13.800000 85.138 -138.7623
14.000000 85.147 -139.2182
14.300000 85.161 -139.9373
14.500000 85.172 -140.4617
14.750000 85.185 -141.1771
15.000000 85.198 -141.9596
15.250000 85.208 -142.7888
15.500000 85.216 -143.6316
15.750000 85.224 -144.4693
16.000000 85.237 -145.2801
16.250000 85.259 -146.0724
16.500000 85.290 -146.8539
16.750000 85.330 -147.6409
17.000000 85.376 -148.4353
17.250000 85.424 -149.2275
17.500000 85.472 -150.0027
17.750000 85.519 -150.7324
18.000000 85.565 -151.4083
18.250000 85.612 -152.0216
18.500000 85.660 -152.5814
18.750000 85.709 -153.0977
19.000000 85.757 -153.5796
19.250000 85.802 -154.0333
19.500000 85.843 -154.4546
19.750000 85.877 -154.8403
20.000000 85.907 -155.1837
20.299999 85.937 -155.5444
20.600000 85.964 -155.8600
20.900000 85.988 -156.1496
21.200001 86.010 -156.4352
21.400000 86.024 -156.6337
21.799999 86.049 -157.0656
22.000000 86.059 -157.3070
22.400000 86.076 -157.8535
22.700001 86.084 -158.3224
23.000000 86.086 -158.8354
23.299999 86.082 -159.3757
23.600000 86.075 -159.9267
24.000000 86.065 -160.6603
24.299999 86.060 -161.2088
24.700001 86.060 -161.9498
25.000000 86.064 -162.5173
25.400000 86.072 -163.2789
25.799999 86.081 -164.0148
26.200001 86.094 -164.6983
26.500000 86.107 -165.1749
26.900000 86.129 -165.7727
27.200001 86.146 -166.1997
27.600000 86.169 -166.7402
28.000000 86.189 -167.2405
28.500000 86.209 -167.8089
29.000000 86.222 -168.3348
29.500000 86.228 -168.8340
30.000000 86.225 -169.3075
30.400000 86.219 -169.6769
30.700001 86.213 -169.9603
31.100000 86.204 -170.3610
31.500000 86.191 -170.7879
32.000000 86.170 -171.3368
32.500000 86.148 -171.8802
33.000000 86.131 -172.4263
33.500000 86.120 -172.9941
34.000000 86.111 -173.5779
34.500000 86.104 -174.1506
35.000000 86.098 -174.6953
35.500000 86.096 -175.2115
36.000000 86.095 -175.7034
36.500000 86.093 -176.1713
37.000000 86.089 -176.6137
37.500000 86.081 -177.0300
38.200001 86.067 -177.5764
38.700001 86.055 -177.9536
39.500000 86.030 -178.5577
40.000000 86.013 -178.9383
40.599998 85.992 -179.4034
41.200001 85.971 -179.8816
41.799999 85.949 179.6397
42.500000 85.926 179.0905
43.099998 85.908 178.6186
43.700001 85.889 178.1559
44.400002 85.868 177.6471
45.000000 85.850 177.2224
45.500000 85.832 176.8735
46.200001 85.803 176.4297
46.799999 85.783 176.0893
47.500000 85.764 175.6561
48.200001 85.738 175.1775
48.700001 85.714 174.8647
49.400002 85.686 174.4898
50.000000 85.671 174.1536
50.799999 85.648 173.6264
51.500000 85.616 173.1905
52.200001 85.585 172.8303
53.000000 85.557 172.4107
53.799999 85.522 171.9691
54.500000 85.488 171.6298
55.200001 85.460 171.2883
56.000000 85.424 170.8632
57.000000 85.376 170.3901
58.000000 85.338 169.9024
59.000000 85.294 169.4198
60.000000 85.256 168.9833
60.799999 85.223 168.6042
61.500000 85.188 168.3094
62.200001 85.158 168.0474
63.000000 85.127 167.7158
64.000000 85.079 167.3166
65.000000 85.043 166.9720
66.000000 85.010 166.5295
67.000000 84.956 166.1293
68.000000 84.912 165.8636
69.000000 84.871 165.4990
70.000000 84.810 165.2379
71.000000 84.782 165.0067
72.000000 84.736 164.5055
73.000000 84.665 164.2304
74.000000 84.635 163.9931
75.000000 84.598 163.5980
76.199997 84.546 163.2312
77.500000 84.490 162.8474
78.800003 84.429 162.5511
80.000000 84.378 162.2683
81.199997 84.323 161.9811
82.500000 84.266 161.6712
83.800003 84.208 161.3483
85.000000 84.154 161.1022
86.199997 84.106 160.8386
87.500000 84.049 160.5774
88.500000 84.011 160.3573
90.000000 83.944 160.0562
91.199997 83.900 159.7744
92.500000 83.830 159.5451
93.800003 83.786 159.3713
95.000000 83.738 159.1312
96.199997 83.688 158.9064
97.500000 83.630 158.6981
98.800003 83.583 158.5186
100.000000 83.537 158.2847
101.500000 83.467 158.1115
103.000000 83.413 157.9362
104.400002 83.359 157.7510
106.000000 83.291 157.4969
107.500000 83.225 157.3656
109.000000 83.167 157.1980
110.599998 83.099 157.0300
112.000000 83.046 156.9189
113.800003 82.981 156.7303
115.000000 82.936 156.5967
117.199997 82.857 156.4439
118.000000 82.830 156.4090
120.599998 82.722 156.1922
122.000000 82.679 156.0672
124.099998 82.594 155.8938
125.000000 82.563 155.8026
126.500000 82.500 155.7518
128.000000 82.457 155.6963
131.500000 82.337 155.5472
132.000000 82.321 155.5334
134.000000 82.251 155.4347
136.000000 82.182 155.3698
138.000000 82.111 155.3183
140.000000 82.045 155.2955
143.000000 81.942 155.1877
145.000000 81.877 155.1259
147.500000 81.807 155.0776
150.000000 81.730 155.0691
152.500000 81.650 155.0763
155.000000 81.570 155.0896
157.500000 81.500 155.0925
160.000000 81.434 155.0119
162.500000 81.353 155.0941
165.000000 81.280 155.1572
167.500000 81.203 155.1765
170.000000 81.131 155.1848
172.500000 81.064 155.2043
175.000000 81.001 155.3169
177.500000 80.931 155.3558
180.000000 80.863 155.4408
182.500000 80.808 155.4709
185.000000 80.743 155.6263
187.500000 80.683 155.7305
190.000000 80.623 155.8608
192.500000 80.565 155.8531
195.000000 80.489 156.0107
197.500000 80.428 156.1016
200.000000 80.361 156.2652
203.000000 80.303 156.4431
206.000000 80.249 156.5844
209.000000 80.205 156.8451
212.000000 80.149 156.9517
214.000000 80.095 157.0168
218.000000 79.998 157.2337
220.000000 79.961 157.3118
224.000000 79.885 157.5851
227.000000 79.817 157.8448
230.000000 79.794 158.0629
233.000000 79.732 158.1850
236.000000 79.661 158.2365
240.000000 79.622 158.5870
243.000000 79.543 158.5612
247.000000 79.485 158.9502
250.000000 79.428 159.5080
254.000000 79.389 159.4962
258.000000 79.300 159.6869
262.000000 79.253 159.8867
265.000000 79.213 160.0992
269.000000 79.144 160.4062
272.000000 79.089 160.5093
276.000000 79.038 160.9724
280.000000 78.984 161.1840
285.000000 78.901 161.4788
290.000000 78.851 161.7633
295.000000 78.790 162.1534
300.000000 78.721 162.5162
304.000000 78.671 162.7555
307.000000 78.633 163.0427
311.000000 78.586 163.3481
315.000000 78.541 163.5690
320.000000 78.488 163.9713
325.000000 78.430 164.3900
