* Measurement data measured by REW V5.20.13
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), R, volume: 0,250
* Format: 256k Log Swept Sine, 1 sweep at -12,0 dBFS with no timing reference
* Dated: 23:15:18 28-07-2024
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: MP145 Silver New L
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 83.435 126.1087
1.015000 83.247 125.2685
1.030000 83.050 124.4206
1.044000 82.859 123.6217
1.060000 82.631 122.6992
1.075000 82.407 121.8244
1.090000 82.174 120.9393
1.106000 81.913 120.0103
1.120000 81.674 119.3552
1.138000 81.351 118.7386
1.150000 81.128 118.4470
1.172000 80.701 118.1077
1.180000 80.541 118.0334
1.206000 80.003 117.9049
1.220000 79.704 117.8710
1.241000 79.244 117.8055
1.250000 79.044 117.7560
1.265000 78.705 117.6226
1.280000 78.361 117.4021
1.315000 77.544 116.3940
1.320000 77.426 116.1786
1.340000 76.951 115.0981
1.360000 76.474 113.6180
1.380000 75.996 111.6733
1.400000 75.518 109.1987
1.430000 74.808 104.3508
1.450000 74.340 100.2663
1.475000 73.755 94.0411
1.500000 73.102 86.1695
1.525000 72.379 76.7831
1.550000 71.605 66.1339
1.575000 70.799 54.4740
1.600000 69.981 42.0557
1.625000 69.169 29.1311
1.650000 68.383 15.9523
1.675000 67.641 2.7714
1.700000 66.963 -10.1594
1.725000 66.368 -22.5879
1.750000 65.874 -34.2620
1.775000 65.501 -44.9297
1.800000 65.268 -54.3386
1.825000 65.193 -62.2369
1.850000 65.304 -68.6094
1.875000 65.610 -73.9507
1.900000 66.087 -78.3829
1.925000 66.710 -82.0072
1.950000 67.451 -84.9248
1.975000 68.285 -87.2369
2.000000 69.186 -89.0447
2.030000 70.318 -90.6910
2.060000 71.464 -91.9317
2.090000 72.577 -92.9418
2.120000 73.614 -93.8961
2.140000 74.240 -94.5878
2.180000 75.275 -96.3373
2.200000 75.659 -97.4955
2.240000 76.261 -99.7786
2.270000 76.618 -101.2638
2.300000 76.904 -102.5757
2.330000 77.130 -103.7333
2.360000 77.304 -104.7556
2.400000 77.473 -105.9413
2.430000 77.564 -106.7221
2.470000 77.658 -107.6551
2.500000 77.719 -108.2983
2.540000 77.806 -109.1170
2.580000 77.913 -109.9223
2.620000 77.985 -110.6529
2.650000 78.012 -111.1354
2.690000 78.017 -111.6844
2.720000 78.002 -112.0208
2.760000 77.965 -112.3620
2.800000 77.915 -112.5729
2.850000 77.846 -112.6401
2.900000 77.786 -112.4737
2.950000 77.745 -112.0475
3.000000 77.684 -111.2876
3.040000 77.621 -110.4672
3.070000 77.570 -109.7510
3.110000 77.502 -108.6897
3.150000 77.441 -107.5390
3.200000 77.385 -106.0282
3.250000 77.364 -104.5009
3.300000 77.392 -103.0245
3.350000 77.468 -101.4522
3.400000 77.581 -99.7086
3.450000 77.724 -97.8812
3.500000 77.891 -96.0576
3.550000 78.076 -94.3253
3.600000 78.270 -92.7721
3.650000 78.469 -91.4853
3.700000 78.676 -90.4955
3.750000 78.909 -89.7005
3.820000 79.265 -88.8743
3.870000 79.527 -88.4662
3.950000 79.932 -88.0819
4.000000 80.162 -87.9833
4.060000 80.405 -88.0062
4.120000 80.631 -88.2774
4.180000 80.842 -88.7544
4.250000 81.066 -89.4853
4.310000 81.235 -90.1876
4.370000 81.382 -90.8921
4.440000 81.519 -91.6946
4.500000 81.609 -92.4739
4.550000 81.667 -93.1664
4.620000 81.724 -94.1525
4.680000 81.756 -94.9676
4.750000 81.777 -95.8245
4.820000 81.777 -96.5783
4.870000 81.759 -97.0949
4.940000 81.716 -97.7698
5.000000 81.668 -98.2858
5.080000 81.600 -98.8548
5.150000 81.546 -99.2134
5.220000 81.483 -99.4292
5.300000 81.402 -99.5350
5.380000 81.325 -99.5356
5.450000 81.271 -99.4867
5.520000 81.238 -99.4131
5.600000 81.218 -99.2091
5.700000 81.215 -98.8514
5.800000 81.237 -98.5419
5.900000 81.289 -98.4298
6.000000 81.377 -98.4269
6.080000 81.464 -98.5115
6.150000 81.546 -98.6764
6.220000 81.624 -98.9486
6.300000 81.715 -99.4106
6.400000 81.835 -100.1827
6.500000 81.953 -101.1110
6.600000 82.053 -102.1314
6.700000 82.136 -103.2850
6.800000 82.206 -104.5628
6.900000 82.262 -105.8700
7.000000 82.304 -107.1289
7.100000 82.328 -108.4005
7.200000 82.340 -109.6556
7.300000 82.348 -110.8341
7.400000 82.355 -111.9012
7.500000 82.355 -112.8881
7.620000 82.358 -113.9702
7.750000 82.381 -115.0104
7.880000 82.418 -115.8902
8.000000 82.468 -116.6300
8.120000 82.540 -117.3590
8.250000 82.642 -118.0965
8.380000 82.760 -118.8390
8.500000 82.879 -119.5817
8.620000 83.011 -120.3596
8.750000 83.158 -121.2339
8.850000 83.267 -121.9310
9.000000 83.432 -123.0280
9.120000 83.558 -123.9037
9.250000 83.685 -124.8218
9.380000 83.804 -125.7255
9.500000 83.907 -126.5123
9.620000 84.005 -127.2339
9.750000 84.104 -127.9567
9.880000 84.200 -128.6160
10.000000 84.288 -129.1607
10.150000 84.394 -129.7652
10.300000 84.500 -130.3178
10.440000 84.599 -130.7817
10.600000 84.709 -131.2721
10.750000 84.808 -131.7134
10.900000 84.905 -132.1298
11.060000 85.000 -132.5539
11.200000 85.078 -132.9083
11.380000 85.170 -133.3335
11.500000 85.226 -133.5952
11.720000 85.320 -134.0380
11.800000 85.352 -134.1873
12.060000 85.448 -134.6388
12.200000 85.496 -134.8793
12.410000 85.562 -135.2403
12.500000 85.588 -135.4052
12.650000 85.629 -135.6911
12.800000 85.665 -135.9909
13.150000 85.727 -136.7495
13.200000 85.733 -136.8605
13.400000 85.753 -137.3111
13.600000 85.767 -137.7622
13.800000 85.776 -138.2073
14.000000 85.785 -138.6609
14.300000 85.799 -139.3696
14.500000 85.812 -139.8870
14.750000 85.829 -140.5965
15.000000 85.845 -141.3779
15.250000 85.858 -142.2126
15.500000 85.869 -143.0665
15.750000 85.879 -143.9195
16.000000 85.893 -144.7463
16.250000 85.914 -145.5493
16.500000 85.943 -146.3336
16.750000 85.982 -147.1115
17.000000 86.027 -147.8889
17.250000 86.076 -148.6611
17.500000 86.127 -149.4204
17.750000 86.178 -150.1472
18.000000 86.228 -150.8326
18.250000 86.277 -151.4675
18.500000 86.326 -152.0497
18.750000 86.373 -152.5813
19.000000 86.420 -153.0650
19.250000 86.465 -153.5072
19.500000 86.509 -153.9158
19.750000 86.550 -154.2982
20.000000 86.588 -154.6693
20.299999 86.628 -155.1112
20.600000 86.658 -155.5530
20.900000 86.676 -155.9871
21.200001 86.683 -156.3931
21.400000 86.683 -156.6393
21.799999 86.680 -157.0900
22.000000 86.680 -157.3145
22.400000 86.686 -157.8259
22.700001 86.689 -158.3044
23.000000 86.684 -158.8630
23.299999 86.667 -159.4487
23.600000 86.643 -160.0077
24.000000 86.614 -160.6683
24.299999 86.609 -161.1393
24.700001 86.628 -161.8638
25.000000 86.649 -162.5557
25.400000 86.659 -163.6557
25.799999 86.626 -164.7400
26.200001 86.561 -165.5103
26.500000 86.518 -165.7907
26.900000 86.506 -165.8558
27.200001 86.541 -165.8569
27.600000 86.633 -166.0485
28.000000 86.731 -166.5702
28.500000 86.801 -167.4753
29.000000 86.811 -168.2300
29.500000 86.807 -168.6659
30.000000 86.826 -168.9984
30.400000 86.850 -169.3746
30.700001 86.861 -169.7412
31.100000 86.855 -170.2727
31.500000 86.831 -170.7640
32.000000 86.794 -171.2600
32.500000 86.770 -171.6948
33.000000 86.757 -172.1820
33.500000 86.748 -172.7434
34.000000 86.736 -173.3293
34.500000 86.725 -173.9043
35.000000 86.718 -174.4711
35.500000 86.711 -175.0304
36.000000 86.702 -175.5620
36.500000 86.693 -176.0469
37.000000 86.685 -176.4887
37.500000 86.680 -176.9086
38.200001 86.672 -177.5005
38.700001 86.661 -177.9306
39.500000 86.632 -178.5757
40.000000 86.613 -178.9406
40.599998 86.595 -179.3851
41.200001 86.576 -179.8716
41.799999 86.552 179.6391
42.500000 86.524 179.1131
43.099998 86.505 178.6682
43.700001 86.486 178.2137
44.400002 86.462 177.7100
45.000000 86.444 177.2978
45.500000 86.429 176.9462
46.200001 86.405 176.4593
46.799999 86.382 176.0720
47.500000 86.358 175.6222
48.200001 86.331 175.1615
48.700001 86.309 174.8585
49.400002 86.284 174.4755
50.000000 86.269 174.1202
50.799999 86.242 173.5812
51.500000 86.207 173.1592
52.200001 86.176 172.8134
53.000000 86.148 172.3883
53.799999 86.112 171.9356
54.500000 86.079 171.5862
55.200001 86.053 171.2231
56.000000 86.019 170.7604
57.000000 85.971 170.2408
58.000000 85.931 169.7420
59.000000 85.888 169.2555
60.000000 85.846 168.8370
60.799999 85.816 168.5072
61.500000 85.789 168.2090
62.200001 85.759 167.9017
63.000000 85.720 167.5533
64.000000 85.668 167.1613
65.000000 85.625 166.7817
66.000000 85.584 166.3673
67.000000 85.541 165.9677
68.000000 85.497 165.5944
69.000000 85.453 165.2499
70.000000 85.409 164.9199
71.000000 85.364 164.5896
72.000000 85.316 164.2590
73.000000 85.268 163.9423
74.000000 85.225 163.6333
75.000000 85.183 163.2987
76.199997 85.128 162.9278
77.500000 85.072 162.5483
78.800003 85.011 162.2225
80.000000 84.963 161.9272
81.199997 84.911 161.6057
82.500000 84.853 161.2839
83.800003 84.794 160.9547
85.000000 84.736 160.6948
86.199997 84.683 160.4496
87.500000 84.630 160.1718
88.500000 84.587 159.9131
90.000000 84.523 159.6044
91.199997 84.469 159.3155
92.500000 84.411 159.1383
93.800003 84.361 158.9070
95.000000 84.309 158.6858
96.199997 84.252 158.5026
97.500000 84.200 158.2745
98.800003 84.143 158.1158
100.000000 84.105 157.8551
101.500000 84.028 157.6812
103.000000 83.973 157.4898
104.400002 83.921 157.3588
106.000000 83.852 157.0984
107.500000 83.791 156.9093
109.000000 83.729 156.7452
110.599998 83.664 156.5292
112.000000 83.610 156.4199
113.800003 83.543 156.2444
115.000000 83.492 156.1067
117.199997 83.410 155.9495
118.000000 83.377 155.8693
120.599998 83.284 155.6873
122.000000 83.230 155.6531
124.099998 83.138 155.5348
125.000000 83.127 155.5779
126.500000 83.057 155.2326
128.000000 83.000 155.2836
131.500000 82.875 155.0457
132.000000 82.859 155.0299
134.000000 82.790 154.9658
136.000000 82.725 154.8741
138.000000 82.654 154.7952
140.000000 82.586 154.7523
143.000000 82.486 154.7315
145.000000 82.416 154.6714
147.500000 82.330 154.6499
150.000000 82.253 154.6116
152.500000 82.164 154.6165
155.000000 82.088 154.6041
157.500000 82.014 154.5150
160.000000 81.945 154.5706
162.500000 81.868 154.6595
165.000000 81.785 154.6529
167.500000 81.712 154.6872
170.000000 81.648 154.8205
172.500000 81.570 154.8243
175.000000 81.495 154.9403
177.500000 81.428 155.0645
180.000000 81.373 155.1325
182.500000 81.303 155.2171
185.000000 81.243 155.4196
187.500000 81.161 155.5042
190.000000 81.084 155.6703
192.500000 81.040 155.6209
195.000000 81.000 155.9481
197.500000 80.958 156.0572
200.000000 80.902 156.1792
203.000000 80.839 156.3130
206.000000 80.771 156.4687
209.000000 80.719 156.5826
212.000000 80.658 156.7242
214.000000 80.618 156.8740
218.000000 80.537 157.0042
220.000000 80.490 157.1219
224.000000 80.415 157.3270
227.000000 80.358 157.4116
230.000000 80.307 157.5736
233.000000 80.248 157.7964
236.000000 80.200 157.9502
240.000000 80.122 158.1975
243.000000 80.059 158.3986
247.000000 79.986 158.6695
250.000000 79.916 158.9721
254.000000 79.866 159.1593
258.000000 79.808 159.4134
262.000000 79.740 159.6581
265.000000 79.691 159.9214
269.000000 79.636 160.1920
272.000000 79.596 160.3751
276.000000 79.537 160.7655
280.000000 79.466 161.0151
285.000000 79.407 161.4000
290.000000 79.327 161.7746
295.000000 79.271 162.0915
300.000000 79.194 162.5681
304.000000 79.149 162.9155
307.000000 79.117 163.0851
311.000000 79.058 163.4307
315.000000 79.028 163.8016
320.000000 78.967 164.1487
325.000000 78.912 164.5287
