* Measurement data measured by REW V5.20.13
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), R, volume: 0,250
* Format: 256k Log Swept Sine, 1 sweep at -12,0 dBFS with no timing reference
* Dated: 23:19:04 28-07-2024
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: MP145 Silver New R
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 83.560 124.9503
1.015000 83.372 124.0832
1.030000 83.175 123.2071
1.044000 82.984 122.3806
1.060000 82.756 121.4246
1.075000 82.533 120.5167
1.090000 82.299 119.5966
1.106000 82.039 118.6269
1.120000 81.800 117.9272
1.138000 81.477 117.2404
1.150000 81.254 116.8952
1.172000 80.827 116.4458
1.180000 80.666 116.3283
1.206000 80.128 116.0514
1.220000 79.829 115.9341
1.241000 79.369 115.7418
1.250000 79.168 115.6381
1.265000 78.829 115.4158
1.280000 78.486 115.1091
1.315000 77.669 113.9182
1.320000 77.551 113.6795
1.340000 77.078 112.5146
1.360000 76.602 110.9669
1.380000 76.126 108.9745
1.400000 75.652 106.4751
1.430000 74.947 101.6399
1.450000 74.484 97.6018
1.475000 73.907 91.4850
1.500000 73.264 83.7986
1.525000 72.555 74.6678
1.550000 71.797 64.3320
1.575000 71.009 53.0308
1.600000 70.210 41.0040
1.625000 69.418 28.4911
1.650000 68.651 15.7316
1.675000 67.928 2.9652
1.700000 67.267 -9.5686
1.725000 66.686 -21.6301
1.750000 66.205 -32.9797
1.775000 65.841 -43.3779
1.800000 65.613 -52.5850
1.825000 65.539 -60.3616
1.850000 65.645 -66.6984
1.875000 65.942 -72.0760
1.900000 66.406 -76.6067
1.925000 67.011 -80.3830
1.950000 67.731 -83.4972
1.975000 68.543 -86.0414
2.000000 69.419 -88.1080
2.030000 70.520 -90.0874
2.060000 71.634 -91.6715
2.090000 72.718 -93.0196
2.120000 73.725 -94.2912
2.140000 74.334 -95.1752
2.180000 75.340 -97.2430
2.200000 75.712 -98.5181
2.240000 76.296 -100.9886
2.270000 76.642 -102.5910
2.300000 76.920 -104.0027
2.330000 77.139 -105.2453
2.360000 77.307 -106.3404
2.400000 77.469 -107.6085
2.430000 77.556 -108.4435
2.470000 77.643 -109.4432
2.500000 77.697 -110.1358
2.540000 77.774 -111.0239
2.580000 77.866 -111.9077
2.620000 77.923 -112.7210
2.650000 77.937 -113.2656
2.690000 77.925 -113.8952
2.720000 77.897 -114.2888
2.760000 77.840 -114.6993
2.800000 77.770 -114.9689
2.850000 77.676 -115.0899
2.900000 77.590 -114.9501
2.950000 77.522 -114.5179
3.000000 77.430 -113.7216
3.040000 77.341 -112.8532
3.070000 77.269 -112.0911
3.110000 77.174 -110.9571
3.150000 77.086 -109.7222
3.200000 77.000 -108.0930
3.250000 76.954 -106.4360
3.300000 76.964 -104.8221
3.350000 77.029 -103.0859
3.400000 77.136 -101.1465
3.450000 77.278 -99.1052
3.500000 77.448 -97.0632
3.550000 77.637 -95.1219
3.600000 77.838 -93.3826
3.650000 78.044 -91.9464
3.700000 78.260 -90.8495
3.750000 78.506 -89.9750
3.820000 78.884 -89.0751
3.870000 79.162 -88.6360
3.950000 79.594 -88.2283
4.000000 79.837 -88.1255
4.060000 80.092 -88.1511
4.120000 80.328 -88.4478
4.180000 80.548 -88.9692
4.250000 80.779 -89.7663
4.310000 80.953 -90.5296
4.370000 81.102 -91.2916
4.440000 81.240 -92.1537
4.500000 81.328 -92.9880
4.550000 81.383 -93.7278
4.620000 81.435 -94.7788
4.680000 81.461 -95.6450
4.750000 81.474 -96.5516
4.820000 81.465 -97.3447
4.870000 81.439 -97.8862
4.940000 81.382 -98.5897
5.000000 81.323 -99.1228
5.080000 81.240 -99.7015
5.150000 81.174 -100.0535
5.220000 81.097 -100.2465
5.300000 81.001 -100.3102
5.380000 80.910 -100.2575
5.450000 80.846 -100.1575
5.520000 80.805 -100.0317
5.600000 80.779 -99.7549
5.700000 80.771 -99.2963
5.800000 80.792 -98.8958
5.900000 80.844 -98.7219
6.000000 80.937 -98.6779
6.080000 81.031 -98.7428
6.150000 81.117 -98.9010
6.220000 81.200 -99.1772
6.300000 81.293 -99.6600
6.400000 81.418 -100.4812
6.500000 81.538 -101.4729
6.600000 81.638 -102.5594
6.700000 81.718 -103.7859
6.800000 81.782 -105.1443
6.900000 81.832 -106.5288
7.000000 81.854 -107.8525
7.100000 81.860 -109.1827
7.200000 81.868 -110.4881
7.300000 81.873 -111.7034
7.400000 81.869 -112.7899
7.500000 81.856 -113.7806
7.620000 81.846 -114.8529
7.750000 81.858 -115.8693
7.880000 81.889 -116.7046
8.000000 81.936 -117.4004
8.120000 82.008 -118.0973
8.250000 82.114 -118.8050
8.380000 82.239 -119.5314
8.500000 82.364 -120.2806
8.620000 82.503 -121.0832
8.750000 82.657 -121.9971
8.850000 82.770 -122.7310
9.000000 82.938 -123.8995
9.120000 83.065 -124.8325
9.250000 83.189 -125.8035
9.380000 83.303 -126.7562
9.500000 83.401 -127.5752
9.620000 83.493 -128.3109
9.750000 83.583 -129.0326
9.880000 83.672 -129.6744
10.000000 83.754 -130.1858
10.150000 83.854 -130.7290
10.300000 83.957 -131.2136
10.440000 84.057 -131.6048
10.600000 84.170 -132.0140
10.750000 84.276 -132.3916
10.900000 84.381 -132.7535
11.060000 84.486 -133.1378
11.200000 84.572 -133.4733
11.380000 84.674 -133.8894
11.500000 84.736 -134.1556
11.720000 84.837 -134.6189
11.800000 84.871 -134.7767
12.060000 84.970 -135.2599
12.200000 85.018 -135.5121
12.410000 85.082 -135.8838
12.500000 85.107 -136.0494
12.650000 85.146 -136.3313
12.800000 85.179 -136.6224
13.150000 85.237 -137.3442
13.200000 85.243 -137.4491
13.400000 85.261 -137.8730
13.600000 85.274 -138.2983
13.800000 85.283 -138.7198
14.000000 85.292 -139.1543
14.300000 85.308 -139.8437
14.500000 85.321 -140.3545
14.750000 85.337 -141.0598
15.000000 85.352 -141.8393
15.250000 85.363 -142.6693
15.500000 85.372 -143.5141
15.750000 85.380 -144.3535
16.000000 85.393 -145.1642
16.250000 85.415 -145.9550
16.500000 85.446 -146.7337
16.750000 85.486 -147.5168
17.000000 85.532 -148.3071
17.250000 85.581 -149.0957
17.500000 85.629 -149.8685
17.750000 85.677 -150.5980
18.000000 85.725 -151.2752
18.250000 85.773 -151.8909
18.500000 85.822 -152.4517
18.750000 85.872 -152.9669
19.000000 85.923 -153.4449
19.250000 85.971 -153.8945
19.500000 86.016 -154.3165
19.750000 86.057 -154.7121
20.000000 86.094 -155.0830
20.299999 86.133 -155.5034
20.600000 86.164 -155.9060
20.900000 86.188 -156.3000
21.200001 86.204 -156.6892
21.400000 86.210 -156.9443
21.799999 86.215 -157.4450
22.000000 86.215 -157.6945
22.400000 86.213 -158.2098
22.700001 86.210 -158.6296
23.000000 86.206 -159.0891
23.299999 86.199 -159.5819
23.600000 86.190 -160.0942
24.000000 86.177 -160.7861
24.299999 86.170 -161.3047
24.700001 86.169 -162.0037
25.000000 86.173 -162.5413
25.400000 86.184 -163.2735
25.799999 86.196 -163.9990
26.200001 86.211 -164.6888
26.500000 86.224 -165.1743
26.900000 86.245 -165.7809
27.200001 86.261 -166.2088
27.600000 86.283 -166.7440
28.000000 86.302 -167.2363
28.500000 86.323 -167.7962
29.000000 86.338 -168.3156
29.500000 86.345 -168.8107
30.000000 86.344 -169.2855
30.400000 86.338 -169.6588
30.700001 86.332 -169.9434
31.100000 86.322 -170.3382
31.500000 86.308 -170.7500
32.000000 86.288 -171.2761
32.500000 86.269 -171.8096
33.000000 86.254 -172.3643
33.500000 86.242 -172.9453
34.000000 86.230 -173.5291
34.500000 86.220 -174.0869
35.000000 86.214 -174.6139
35.500000 86.213 -175.1219
36.000000 86.212 -175.6162
36.500000 86.211 -176.0905
37.000000 86.206 -176.5362
37.500000 86.199 -176.9507
38.200001 86.187 -177.4934
38.700001 86.176 -177.8759
39.500000 86.152 -178.4950
40.000000 86.134 -178.8725
40.599998 86.113 -179.3212
41.200001 86.094 -179.7932
41.799999 86.072 179.7188
42.500000 86.045 179.1749
43.099998 86.025 178.7333
43.700001 86.008 178.2935
44.400002 85.987 177.7869
45.000000 85.969 177.3700
45.500000 85.952 177.0342
46.200001 85.929 176.5802
46.799999 85.909 176.1988
47.500000 85.884 175.7487
48.200001 85.855 175.3094
48.700001 85.835 175.0139
49.400002 85.811 174.6079
50.000000 85.791 174.2468
50.799999 85.762 173.7641
51.500000 85.735 173.3665
52.200001 85.707 172.9828
53.000000 85.673 172.5524
53.799999 85.637 172.1536
54.500000 85.608 171.8132
55.200001 85.580 171.4459
56.000000 85.544 171.0233
57.000000 85.501 170.5244
58.000000 85.461 170.0073
59.000000 85.418 169.5422
60.000000 85.379 169.1183
60.799999 85.348 168.7812
61.500000 85.318 168.4899
62.200001 85.285 168.2159
63.000000 85.248 167.9284
64.000000 85.206 167.5353
65.000000 85.158 167.1199
66.000000 85.113 166.7461
67.000000 85.072 166.3544
68.000000 85.028 165.9819
69.000000 84.986 165.6455
70.000000 84.945 165.3195
71.000000 84.902 164.9942
72.000000 84.857 164.6849
73.000000 84.814 164.3708
74.000000 84.767 164.0560
75.000000 84.721 163.7834
76.199997 84.670 163.4426
77.500000 84.613 163.0943
78.800003 84.555 162.7341
80.000000 84.500 162.4314
81.199997 84.452 162.1376
82.500000 84.395 161.7663
83.800003 84.333 161.4923
85.000000 84.285 161.2550
86.199997 84.233 160.9894
87.500000 84.175 160.7317
88.500000 84.133 160.5278
90.000000 84.068 160.2171
91.199997 84.022 160.0004
92.500000 83.968 159.7201
93.800003 83.907 159.5122
95.000000 83.853 159.3575
96.199997 83.806 159.2033
97.500000 83.756 159.0005
98.800003 83.708 158.7856
100.000000 83.661 158.5557
101.500000 83.597 158.3555
103.000000 83.542 158.1429
104.400002 83.486 157.9618
106.000000 83.417 157.7601
107.500000 83.352 157.6204
109.000000 83.299 157.4983
110.599998 83.241 157.2624
112.000000 83.179 157.0997
113.800003 83.109 156.9785
115.000000 83.063 156.8848
117.199997 82.975 156.7254
118.000000 82.946 156.6935
120.599998 82.838 156.4353
122.000000 82.812 156.3431
124.099998 82.763 156.2715
125.000000 82.724 155.9834
126.500000 82.638 156.1023
128.000000 82.585 156.0096
131.500000 82.466 155.8341
132.000000 82.449 155.7980
134.000000 82.386 155.7249
136.000000 82.315 155.7018
138.000000 82.242 155.6621
140.000000 82.180 155.5699
143.000000 82.078 155.5378
145.000000 82.009 155.4500
147.500000 81.925 155.4548
150.000000 81.863 155.3804
152.500000 81.781 155.4226
155.000000 81.699 155.4641
157.500000 81.631 155.5228
160.000000 81.555 155.4949
162.500000 81.472 155.4702
165.000000 81.411 155.5115
167.500000 81.333 155.5597
170.000000 81.262 155.6385
172.500000 81.192 155.7228
175.000000 81.129 155.8498
177.500000 81.049 155.9408
180.000000 81.007 156.0720
182.500000 80.955 156.0407
185.000000 80.895 156.1510
187.500000 80.848 156.2667
190.000000 80.769 156.3344
192.500000 80.720 156.3569
195.000000 80.661 156.4644
197.500000 80.601 156.8008
200.000000 80.525 156.9340
203.000000 80.468 156.9159
206.000000 80.390 157.0166
209.000000 80.330 157.2265
212.000000 80.256 157.4966
214.000000 80.220 157.5092
218.000000 80.163 157.8888
220.000000 80.130 157.9529
224.000000 80.043 158.1512
227.000000 80.006 158.3260
230.000000 79.965 158.3738
233.000000 79.894 158.6281
236.000000 79.826 158.7730
240.000000 79.775 158.9748
243.000000 79.727 159.2681
247.000000 79.623 159.5223
250.000000 79.510 159.8802
254.000000 79.543 159.7636
258.000000 79.488 160.1990
262.000000 79.395 160.3605
265.000000 79.359 160.4859
269.000000 79.300 160.7814
272.000000 79.246 160.9905
276.000000 79.190 161.3488
280.000000 79.135 161.5702
285.000000 79.066 161.8919
290.000000 78.992 162.1893
295.000000 78.922 162.6682
300.000000 78.880 163.0496
304.000000 78.810 163.2698
307.000000 78.781 163.5748
311.000000 78.733 163.9158
315.000000 78.684 164.2283
320.000000 78.639 164.5923
325.000000 78.573 165.0170
