* Measurement data measured by REW V5.20.13
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), R, volume: 0,250
* Format: 256k Log Swept Sine, 1 sweep at -12,0 dBFS with no timing reference
* Dated: 00:58:35 29-07-2024
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: MP145 no filter New L
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 83.468 127.1527
1.015000 83.284 126.3436
1.030000 83.092 125.5296
1.044000 82.906 124.7649
1.060000 82.684 123.8849
1.075000 82.466 123.0534
1.090000 82.240 122.2152
1.106000 81.987 121.3415
1.120000 81.759 120.7451
1.138000 81.456 120.2180
1.150000 81.249 119.9938
1.172000 80.856 119.7918
1.180000 80.710 119.7711
1.206000 80.220 119.8272
1.220000 79.948 119.8974
1.241000 79.530 119.9914
1.250000 79.346 120.0106
1.265000 79.036 119.9913
1.280000 78.719 119.8831
1.315000 77.956 119.1226
1.320000 77.845 118.9402
1.340000 77.392 117.9836
1.360000 76.929 116.6125
1.380000 76.456 114.7584
1.400000 75.974 112.3531
1.430000 75.233 107.5619
1.450000 74.728 103.4792
1.475000 74.074 97.2095
1.500000 73.316 89.2347
1.525000 72.454 79.6925
1.550000 71.514 68.8429
1.575000 70.521 56.9464
1.600000 69.501 44.2633
1.625000 68.478 31.0539
1.650000 67.478 17.5785
1.675000 66.525 4.0975
1.700000 65.646 -9.1290
1.725000 64.864 -21.8404
1.750000 64.206 -33.7765
1.775000 63.696 -44.6771
1.800000 63.359 -54.2816
1.825000 63.222 -62.3301
1.850000 63.312 -68.8077
1.875000 63.636 -74.2272
1.900000 64.163 -78.7138
1.925000 64.864 -82.3713
1.950000 65.706 -85.3036
1.975000 66.659 -87.6143
2.000000 67.693 -89.4074
2.030000 68.995 -91.0218
2.060000 70.314 -92.2196
2.090000 71.598 -93.1799
2.120000 72.792 -94.0823
2.140000 73.512 -94.7402
2.180000 74.697 -96.4304
2.200000 75.132 -97.5656
2.240000 75.808 -99.7967
2.270000 76.204 -101.2328
2.300000 76.518 -102.4884
2.330000 76.761 -103.5843
2.360000 76.946 -104.5410
2.400000 77.120 -105.6357
2.430000 77.211 -106.3478
2.470000 77.302 -107.1914
2.500000 77.363 -107.7713
2.540000 77.456 -108.5134
2.580000 77.577 -109.2534
2.620000 77.666 -109.9223
2.650000 77.703 -110.3596
2.690000 77.722 -110.8507
2.720000 77.717 -111.1459
2.760000 77.692 -111.4358
2.800000 77.654 -111.6002
2.850000 77.600 -111.6173
2.900000 77.555 -111.4113
2.950000 77.530 -110.9574
3.000000 77.485 -110.1811
3.040000 77.436 -109.3549
3.070000 77.395 -108.6384
3.110000 77.341 -107.5814
3.150000 77.294 -106.4400
3.200000 77.253 -104.9473
3.250000 77.246 -103.4441
3.300000 77.284 -101.9967
3.350000 77.368 -100.4654
3.400000 77.488 -98.7765
3.450000 77.635 -97.0121
3.500000 77.806 -95.2549
3.550000 77.992 -93.5869
3.600000 78.188 -92.0907
3.650000 78.386 -90.8485
3.700000 78.593 -89.8891
3.750000 78.824 -89.1166
3.820000 79.174 -88.3107
3.870000 79.430 -87.9102
3.950000 79.827 -87.5284
4.000000 80.053 -87.4266
4.060000 80.292 -87.4410
4.120000 80.515 -87.6947
4.180000 80.724 -88.1468
4.250000 80.945 -88.8427
4.310000 81.112 -89.5129
4.370000 81.257 -90.1861
4.440000 81.394 -90.9540
4.500000 81.484 -91.7013
4.550000 81.542 -92.3661
4.620000 81.601 -93.3135
4.680000 81.634 -94.0972
4.750000 81.658 -94.9212
4.820000 81.661 -95.6459
4.870000 81.645 -96.1426
4.940000 81.606 -96.7917
5.000000 81.562 -97.2889
5.080000 81.499 -97.8391
5.150000 81.449 -98.1889
5.220000 81.391 -98.4027
5.300000 81.315 -98.5133
5.380000 81.243 -98.5253
5.450000 81.193 -98.4910
5.520000 81.163 -98.4361
5.600000 81.145 -98.2622
5.700000 81.143 -97.9508
5.800000 81.166 -97.6892
5.900000 81.215 -97.6191
6.000000 81.298 -97.6570
6.080000 81.381 -97.7726
6.150000 81.458 -97.9618
6.220000 81.532 -98.2543
6.300000 81.617 -98.7339
6.400000 81.730 -99.5214
6.500000 81.840 -100.4598
6.600000 81.933 -101.4874
6.700000 82.009 -102.6440
6.800000 82.073 -103.9208
6.900000 82.124 -105.2259
7.000000 82.161 -106.4840
7.100000 82.180 -107.7542
7.200000 82.189 -109.0082
7.300000 82.194 -110.1877
7.400000 82.198 -111.2587
7.500000 82.196 -112.2514
7.620000 82.197 -113.3441
7.750000 82.218 -114.4018
7.880000 82.255 -115.3051
8.000000 82.305 -116.0716
8.120000 82.376 -116.8328
8.250000 82.478 -117.6115
8.380000 82.597 -118.4004
8.500000 82.715 -119.1899
8.620000 82.847 -120.0192
8.750000 82.993 -120.9515
8.850000 83.101 -121.6937
9.000000 83.262 -122.8613
9.120000 83.385 -123.7915
9.250000 83.507 -124.7641
9.380000 83.620 -125.7194
9.500000 83.717 -126.5460
9.620000 83.808 -127.2975
9.750000 83.899 -128.0436
9.880000 83.987 -128.7135
10.000000 84.068 -129.2544
10.150000 84.166 -129.8384
10.300000 84.266 -130.3579
10.440000 84.361 -130.7767
10.600000 84.469 -131.2096
10.750000 84.571 -131.5980
10.900000 84.672 -131.9623
11.060000 84.775 -132.3456
11.200000 84.861 -132.6755
11.380000 84.964 -133.0881
11.500000 85.027 -133.3558
11.720000 85.133 -133.8303
11.800000 85.168 -133.9965
12.060000 85.271 -134.5184
12.200000 85.320 -134.7951
12.410000 85.386 -135.2069
12.500000 85.411 -135.3873
12.650000 85.449 -135.6919
12.800000 85.482 -136.0018
13.150000 85.538 -136.7478
13.200000 85.544 -136.8551
13.400000 85.563 -137.2852
13.600000 85.577 -137.7174
13.800000 85.588 -138.1491
14.000000 85.599 -138.5979
14.300000 85.617 -139.3158
14.500000 85.630 -139.8467
14.750000 85.645 -140.5737
15.000000 85.659 -141.3693
15.250000 85.668 -142.2097
15.500000 85.675 -143.0629
15.750000 85.682 -143.9110
16.000000 85.693 -144.7337
16.250000 85.712 -145.5373
16.500000 85.739 -146.3270
16.750000 85.775 -147.1146
17.000000 85.816 -147.9001
17.250000 85.860 -148.6757
17.500000 85.906 -149.4291
17.750000 85.954 -150.1406
18.000000 86.002 -150.8056
18.250000 86.052 -151.4197
18.500000 86.104 -151.9926
18.750000 86.156 -152.5313
19.000000 86.207 -153.0424
19.250000 86.255 -153.5282
19.500000 86.299 -153.9854
19.750000 86.337 -154.4119
20.000000 86.371 -154.8058
20.299999 86.405 -155.2444
20.600000 86.434 -155.6577
20.900000 86.457 -156.0597
21.200001 86.473 -156.4597
21.400000 86.479 -156.7258
21.799999 86.484 -157.2556
22.000000 86.483 -157.5214
22.400000 86.479 -158.0663
22.700001 86.474 -158.5011
23.000000 86.468 -158.9689
23.299999 86.459 -159.4663
23.600000 86.449 -159.9834
24.000000 86.436 -160.6858
24.299999 86.428 -161.2152
24.700001 86.425 -161.9286
25.000000 86.427 -162.4749
25.400000 86.435 -163.2158
25.799999 86.445 -163.9500
26.200001 86.458 -164.6497
26.500000 86.469 -165.1427
26.900000 86.487 -165.7578
27.200001 86.501 -166.1912
27.600000 86.521 -166.7352
28.000000 86.538 -167.2393
28.500000 86.556 -167.8133
29.000000 86.567 -168.3364
29.500000 86.573 -168.8264
30.000000 86.573 -169.3030
30.400000 86.569 -169.6899
30.700001 86.564 -169.9902
31.100000 86.553 -170.4064
31.500000 86.539 -170.8346
32.000000 86.517 -171.3740
32.500000 86.497 -171.9175
33.000000 86.481 -172.4797
33.500000 86.467 -173.0627
34.000000 86.454 -173.6460
34.500000 86.444 -174.2092
35.000000 86.438 -174.7510
35.500000 86.435 -175.2764
36.000000 86.432 -175.7817
36.500000 86.428 -176.2607
37.000000 86.421 -176.7120
37.500000 86.413 -177.1359
38.200001 86.397 -177.6885
38.700001 86.385 -178.0713
39.500000 86.362 -178.7019
40.000000 86.343 -179.1010
40.599998 86.320 -179.5733
41.200001 86.297 179.9515
41.799999 86.276 179.4678
42.500000 86.250 178.9108
43.099998 86.230 178.4482
43.700001 86.210 177.9965
44.400002 86.188 177.4882
45.000000 86.168 177.0690
45.500000 86.152 176.7255
46.200001 86.127 176.2530
46.799999 86.104 175.8629
47.500000 86.077 175.4201
48.200001 86.051 174.9659
48.700001 86.031 174.6315
49.400002 85.998 174.1848
50.000000 85.971 173.8506
50.799999 85.945 173.4233
51.500000 85.924 173.0055
52.200001 85.895 172.5898
53.000000 85.861 172.1656
53.799999 85.829 171.7423
54.500000 85.799 171.3658
55.200001 85.767 171.0021
56.000000 85.733 170.5815
57.000000 85.688 170.0543
58.000000 85.646 169.5598
59.000000 85.607 169.0789
60.000000 85.566 168.6339
60.799999 85.533 168.3029
61.500000 85.503 168.0121
62.200001 85.471 167.7242
63.000000 85.432 167.4054
64.000000 85.384 167.0110
65.000000 85.340 166.5920
66.000000 85.291 166.1586
67.000000 85.246 165.7893
68.000000 85.209 165.3965
69.000000 85.162 165.0287
70.000000 85.122 164.7290
71.000000 85.080 164.3655
72.000000 85.030 164.0699
73.000000 84.991 163.7495
74.000000 84.939 163.3776
75.000000 84.888 163.1157
76.199997 84.838 162.7632
77.500000 84.781 162.4072
78.800003 84.724 162.0256
80.000000 84.669 161.7288
81.199997 84.616 161.3952
82.500000 84.550 161.0951
83.800003 84.494 160.7759
85.000000 84.434 160.5255
86.199997 84.384 160.2605
87.500000 84.321 159.9675
88.500000 84.275 159.7498
90.000000 84.199 159.4727
91.199997 84.151 159.2705
92.500000 84.086 159.0187
93.800003 84.028 158.8742
95.000000 83.975 158.6797
96.199997 83.918 158.5439
97.500000 83.861 158.4301
98.800003 83.807 158.2943
100.000000 83.756 158.2820
101.500000 83.721 158.0425
103.000000 83.659 157.9665
104.400002 83.625 157.6054
106.000000 83.558 157.4325
107.500000 83.499 157.1634
109.000000 83.425 157.1679
110.599998 83.404 157.0452
112.000000 83.351 156.8976
113.800003 83.282 156.6076
115.000000 83.225 156.5278
117.199997 83.145 156.6439
118.000000 83.128 156.6156
120.599998 83.047 156.1314
122.000000 82.994 156.0108
124.099998 82.915 155.8872
125.000000 82.876 156.0767
126.500000 82.899 155.8377
128.000000 82.805 155.6044
131.500000 82.666 155.2907
132.000000 82.651 155.2807
134.000000 82.581 155.1570
136.000000 82.526 155.1254
138.000000 82.450 154.9980
140.000000 82.375 154.8943
143.000000 82.274 154.7751
145.000000 82.207 154.7114
147.500000 82.130 154.6838
150.000000 82.043 154.6784
152.500000 81.968 154.6789
155.000000 81.879 154.6153
157.500000 81.808 154.6627
160.000000 81.726 154.6617
162.500000 81.658 154.6581
165.000000 81.574 154.8151
167.500000 81.508 154.7496
170.000000 81.437 154.8361
172.500000 81.370 154.8507
175.000000 81.297 154.9155
177.500000 81.233 154.9921
180.000000 81.163 155.0597
182.500000 81.098 155.1462
185.000000 81.025 155.2119
187.500000 80.968 155.2974
190.000000 80.900 155.4263
192.500000 80.840 155.5048
195.000000 80.777 155.6371
197.500000 80.718 155.7943
200.000000 80.642 155.8852
203.000000 80.576 155.9926
206.000000 80.511 156.1853
209.000000 80.435 156.3852
212.000000 80.362 156.5293
214.000000 80.316 156.6179
218.000000 80.220 156.9171
220.000000 80.172 157.0897
224.000000 80.075 157.3590
227.000000 79.995 157.6535
230.000000 79.916 158.0861
233.000000 79.842 158.5676
236.000000 79.785 159.0450
240.000000 79.750 159.9972
243.000000 79.777 160.4292
247.000000 79.851 160.5873
250.000000 79.788 160.4654
254.000000 79.775 160.3709
258.000000 79.704 160.2581
262.000000 79.647 160.4659
265.000000 79.587 160.5453
269.000000 79.504 160.7647
272.000000 79.464 160.9540
276.000000 79.410 161.2274
280.000000 79.348 161.3484
285.000000 79.266 161.7572
290.000000 79.203 162.0428
295.000000 79.135 162.4324
300.000000 79.064 162.8176
304.000000 79.012 163.1332
307.000000 78.986 163.3831
311.000000 78.940 163.6429
315.000000 78.885 164.0136
320.000000 78.832 164.3397
325.000000 78.766 164.7107
