* Measurement data measured by REW V5.20.13
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), R, volume: 0,250
* Format: 256k Log Swept Sine, 1 sweep at -12,0 dBFS with no timing reference
* Dated: 00:50:24 29-07-2024
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: MP145 no filter New R
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 83.532 126.0380
1.015000 83.346 125.2031
1.030000 83.152 124.3618
1.044000 82.964 123.5703
1.060000 82.740 122.6578
1.075000 82.520 121.7941
1.090000 82.291 120.9218
1.106000 82.035 120.0086
1.120000 81.803 119.3705
1.138000 81.493 118.7799
1.150000 81.279 118.5079
1.172000 80.874 118.2089
1.180000 80.722 118.1504
1.206000 80.215 118.0770
1.220000 79.933 118.0745
1.241000 79.499 118.0577
1.250000 79.309 118.0293
1.265000 78.988 117.9317
1.280000 78.661 117.7468
1.315000 77.879 116.8200
1.320000 77.765 116.6159
1.340000 77.304 115.5787
1.360000 76.837 114.1390
1.380000 76.362 112.2309
1.400000 75.883 109.7882
1.430000 75.155 104.9777
1.450000 74.665 100.9101
1.475000 74.040 94.6961
1.500000 73.323 86.8299
1.525000 72.517 77.4443
1.550000 71.644 66.7912
1.575000 70.727 55.1227
1.600000 69.788 42.6910
1.625000 68.850 29.7481
1.650000 67.935 16.5460
1.675000 67.067 3.3367
1.700000 66.267 -9.6278
1.725000 65.559 -22.0953
1.750000 64.965 -33.8137
1.775000 64.508 -44.5311
1.800000 64.210 -53.9954
1.825000 64.094 -61.9547
1.850000 64.188 -68.3970
1.875000 64.500 -73.8231
1.900000 65.002 -78.3530
1.925000 65.664 -82.0855
1.950000 66.459 -85.1192
1.975000 67.357 -87.5531
2.000000 68.329 -89.4859
2.030000 69.553 -91.2830
2.060000 70.793 -92.6714
2.090000 71.999 -93.8220
2.120000 73.120 -94.9055
2.140000 73.796 -95.6748
2.180000 74.911 -97.5538
2.200000 75.321 -98.7614
2.240000 75.958 -101.1176
2.270000 76.333 -102.6400
2.300000 76.632 -103.9760
2.330000 76.863 -105.1469
2.360000 77.039 -106.1740
2.400000 77.206 -107.3564
2.430000 77.292 -108.1304
2.470000 77.378 -109.0522
2.500000 77.433 -109.6886
2.540000 77.515 -110.5040
2.580000 77.620 -111.3167
2.620000 77.689 -112.0605
2.650000 77.713 -112.5545
2.690000 77.712 -113.1194
2.720000 77.692 -113.4670
2.760000 77.647 -113.8204
2.800000 77.589 -114.0385
2.850000 77.509 -114.1046
2.900000 77.437 -113.9219
2.950000 77.385 -113.4604
3.000000 77.310 -112.6478
3.040000 77.235 -111.7746
3.070000 77.174 -111.0136
3.110000 77.094 -109.8867
3.150000 77.021 -108.6647
3.200000 76.951 -107.0594
3.250000 76.919 -105.4339
3.300000 76.940 -103.8582
3.350000 77.013 -102.1751
3.400000 77.126 -100.3058
3.450000 77.272 -98.3450
3.500000 77.443 -96.3875
3.550000 77.633 -94.5281
3.600000 77.834 -92.8615
3.650000 78.040 -91.4826
3.700000 78.253 -90.4252
3.750000 78.495 -89.5797
3.820000 78.865 -88.7065
3.870000 79.137 -88.2778
3.950000 79.558 -87.8760
4.000000 79.796 -87.7718
4.060000 80.046 -87.7916
4.120000 80.278 -88.0723
4.180000 80.494 -88.5694
4.250000 80.721 -89.3318
4.310000 80.893 -90.0637
4.370000 81.040 -90.7957
4.440000 81.178 -91.6262
4.500000 81.266 -92.4316
4.550000 81.321 -93.1466
4.620000 81.374 -94.1637
4.680000 81.402 -95.0030
4.750000 81.417 -95.8831
4.820000 81.411 -96.6548
4.870000 81.387 -97.1825
4.940000 81.335 -97.8698
5.000000 81.279 -98.3927
5.080000 81.201 -98.9643
5.150000 81.138 -99.3178
5.220000 81.065 -99.5201
5.300000 80.973 -99.6025
5.380000 80.885 -99.5743
5.450000 80.823 -99.4984
5.520000 80.783 -99.3980
5.600000 80.756 -99.1572
5.700000 80.746 -98.7492
5.800000 80.763 -98.3960
5.900000 80.809 -98.2572
6.000000 80.895 -98.2402
6.080000 80.981 -98.3214
6.150000 81.061 -98.4897
6.220000 81.138 -98.7715
6.300000 81.225 -99.2541
6.400000 81.342 -100.0656
6.500000 81.454 -101.0419
6.600000 81.548 -102.1123
6.700000 81.623 -103.3204
6.800000 81.683 -104.6576
6.900000 81.729 -106.0227
7.000000 81.750 -107.3326
7.100000 81.756 -108.6517
7.200000 81.763 -109.9500
7.300000 81.768 -111.1649
7.400000 81.764 -112.2592
7.500000 81.753 -113.2647
7.620000 81.744 -114.3633
7.750000 81.758 -115.4191
7.880000 81.789 -116.3070
8.000000 81.835 -117.0580
8.120000 81.906 -117.8119
8.250000 82.009 -118.5872
8.380000 82.130 -119.3807
8.500000 82.250 -120.1868
8.620000 82.384 -121.0439
8.750000 82.531 -122.0108
8.850000 82.638 -122.7794
9.000000 82.796 -123.9918
9.120000 82.915 -124.9516
9.250000 83.031 -125.9420
9.380000 83.137 -126.9048
9.500000 83.228 -127.7243
9.620000 83.312 -128.4513
9.750000 83.396 -129.1537
9.880000 83.480 -129.7684
10.000000 83.558 -130.2472
10.150000 83.656 -130.7409
10.300000 83.758 -131.1755
10.440000 83.860 -131.5177
10.600000 83.978 -131.8765
10.750000 84.091 -132.2189
10.900000 84.204 -132.5557
11.060000 84.318 -132.9309
11.200000 84.414 -133.2735
11.380000 84.526 -133.7148
11.500000 84.593 -134.0089
11.720000 84.703 -134.5362
11.800000 84.738 -134.7185
12.060000 84.838 -135.2847
12.200000 84.885 -135.5729
12.410000 84.945 -135.9878
12.500000 84.968 -136.1654
12.650000 85.003 -136.4585
12.800000 85.033 -136.7531
13.150000 85.086 -137.4595
13.200000 85.091 -137.5620
13.400000 85.110 -137.9756
13.600000 85.124 -138.3969
13.800000 85.135 -138.8247
14.000000 85.146 -139.2735
14.300000 85.161 -139.9965
14.500000 85.171 -140.5303
14.750000 85.184 -141.2566
15.000000 85.194 -142.0451
15.250000 85.200 -142.8707
15.500000 85.206 -143.7041
15.750000 85.213 -144.5298
16.000000 85.226 -145.3330
16.250000 85.247 -146.1254
16.500000 85.279 -146.9146
16.750000 85.318 -147.7144
17.000000 85.361 -148.5204
17.250000 85.407 -149.3197
17.500000 85.451 -150.0936
17.750000 85.496 -150.8138
18.000000 85.541 -151.4740
18.250000 85.587 -152.0680
18.500000 85.637 -152.6095
18.750000 85.689 -153.1114
19.000000 85.742 -153.5852
19.250000 85.793 -154.0402
19.500000 85.839 -154.4744
19.750000 85.881 -154.8868
20.000000 85.917 -155.2735
20.299999 85.954 -155.7081
20.600000 85.983 -156.1183
20.900000 86.005 -156.5148
21.200001 86.020 -156.9063
21.400000 86.026 -157.1655
21.799999 86.030 -157.6815
22.000000 86.029 -157.9411
22.400000 86.023 -158.4759
22.700001 86.018 -158.9041
23.000000 86.010 -159.3642
23.299999 86.001 -159.8524
23.600000 85.991 -160.3594
24.000000 85.978 -161.0501
24.299999 85.971 -161.5749
24.700001 85.969 -162.2889
25.000000 85.972 -162.8380
25.400000 85.980 -163.5806
25.799999 85.990 -164.3092
26.200001 86.003 -164.9971
26.500000 86.016 -165.4802
26.900000 86.035 -166.0844
27.200001 86.051 -166.5115
27.600000 86.072 -167.0470
28.000000 86.090 -167.5407
28.500000 86.109 -168.1016
29.000000 86.121 -168.6177
29.500000 86.126 -169.1025
30.000000 86.123 -169.5615
30.400000 86.118 -169.9220
30.700001 86.113 -170.1994
31.100000 86.104 -170.5916
31.500000 86.093 -171.0105
32.000000 86.074 -171.5573
32.500000 86.054 -172.1133
33.000000 86.036 -172.6773
33.500000 86.022 -173.2516
34.000000 86.010 -173.8254
34.500000 86.002 -174.3848
35.000000 85.997 -174.9256
35.500000 85.994 -175.4469
36.000000 85.990 -175.9433
36.500000 85.986 -176.4092
37.000000 85.980 -176.8439
37.500000 85.972 -177.2502
38.200001 85.959 -177.7888
38.700001 85.948 -178.1742
39.500000 85.922 -178.8024
40.000000 85.902 -179.1813
40.599998 85.881 -179.6273
41.200001 85.862 179.8978
41.799999 85.840 179.3975
42.500000 85.811 178.8443
43.099998 85.790 178.4073
43.700001 85.774 177.9669
44.400002 85.753 177.4414
45.000000 85.731 177.0146
45.500000 85.711 176.6882
46.200001 85.685 176.2575
46.799999 85.665 175.8886
47.500000 85.640 175.4539
48.200001 85.615 175.0164
48.700001 85.598 174.6920
49.400002 85.569 174.2304
50.000000 85.540 173.8709
50.799999 85.509 173.4476
51.500000 85.488 173.0599
52.200001 85.461 172.6559
53.000000 85.426 172.2289
53.799999 85.391 171.8265
54.500000 85.361 171.4793
55.200001 85.331 171.1241
56.000000 85.296 170.6954
57.000000 85.249 170.1832
58.000000 85.208 169.6963
59.000000 85.166 169.2348
60.000000 85.130 168.8278
60.799999 85.102 168.4843
61.500000 85.072 168.1859
62.200001 85.040 167.9125
63.000000 85.004 167.5968
64.000000 84.954 167.1884
65.000000 84.904 166.8148
66.000000 84.862 166.4221
67.000000 84.819 166.0121
68.000000 84.773 165.6250
69.000000 84.726 165.2979
70.000000 84.686 165.0004
71.000000 84.645 164.6636
72.000000 84.597 164.3527
73.000000 84.554 164.0636
74.000000 84.510 163.7465
75.000000 84.463 163.4471
76.199997 84.408 163.1136
77.500000 84.350 162.7673
78.800003 84.292 162.4292
80.000000 84.239 162.1112
81.199997 84.182 161.8099
82.500000 84.126 161.5114
83.800003 84.069 161.2098
85.000000 84.018 160.9334
86.199997 83.957 160.6606
87.500000 83.900 160.4202
88.500000 83.852 160.2018
90.000000 83.788 159.9575
91.199997 83.737 159.7173
92.500000 83.677 159.5100
93.800003 83.618 159.3556
95.000000 83.569 159.1912
96.199997 83.515 159.0389
97.500000 83.463 158.8718
98.800003 83.417 158.7236
100.000000 83.372 158.4935
101.500000 83.310 158.3686
103.000000 83.259 158.1339
104.400002 83.197 157.9513
106.000000 83.136 157.8137
107.500000 83.072 157.5774
109.000000 83.014 157.5222
110.599998 82.952 157.3477
112.000000 82.903 157.1839
113.800003 82.834 157.0900
115.000000 82.788 156.9520
117.199997 82.697 156.8851
118.000000 82.677 156.8507
120.599998 82.588 156.6348
122.000000 82.552 156.5189
124.099998 82.508 156.6290
125.000000 82.515 156.1934
126.500000 82.366 156.1912
128.000000 82.356 156.2531
131.500000 82.226 156.2515
132.000000 82.213 156.2162
134.000000 82.140 156.1295
136.000000 82.090 156.0869
138.000000 82.031 156.0050
140.000000 81.970 155.9055
143.000000 81.881 155.8193
145.000000 81.816 155.8146
147.500000 81.742 155.7161
150.000000 81.673 155.7303
152.500000 81.610 155.6107
155.000000 81.538 155.5468
157.500000 81.461 155.5582
160.000000 81.383 155.5428
162.500000 81.304 155.5779
165.000000 81.241 155.5325
167.500000 81.161 155.4984
170.000000 81.089 155.5778
172.500000 81.027 155.5783
175.000000 80.960 155.6323
177.500000 80.892 155.6465
180.000000 80.824 155.7728
182.500000 80.764 155.8105
185.000000 80.692 155.9198
187.500000 80.630 156.0065
190.000000 80.564 156.0771
192.500000 80.502 156.2077
195.000000 80.437 156.2816
197.500000 80.379 156.4163
200.000000 80.322 156.5714
203.000000 80.246 156.6071
206.000000 80.174 156.7985
209.000000 80.110 156.9764
212.000000 80.048 157.1218
214.000000 80.000 157.1932
218.000000 79.915 157.4191
220.000000 79.869 157.5497
224.000000 79.779 157.7713
227.000000 79.713 158.0100
230.000000 79.650 158.2572
233.000000 79.587 158.4103
236.000000 79.524 158.6697
240.000000 79.429 159.0651
243.000000 79.370 159.3259
247.000000 79.308 159.7964
250.000000 79.239 160.3975
254.000000 79.196 160.6375
258.000000 79.168 161.0945
262.000000 79.133 161.6322
265.000000 79.114 161.8519
269.000000 79.119 162.1281
272.000000 79.134 162.4401
276.000000 79.067 162.3213
280.000000 79.027 162.4773
285.000000 78.947 162.6281
290.000000 78.901 162.8419
295.000000 78.827 163.0844
300.000000 78.748 163.4323
304.000000 78.694 163.6357
307.000000 78.666 163.7767
311.000000 78.608 164.0839
315.000000 78.561 164.3901
320.000000 78.501 164.7744
325.000000 78.438 165.1484
