* Measurement data measured by REW V5.20.13
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), R, volume: 0,250
* Format: 256k Log Swept Sine, 1 sweep at -12,0 dBFS with no timing reference
* Dated: 01:06:56 29-07-2024
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: MP145 no filter Old L
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 83.668 125.6225
1.015000 83.485 124.7825
1.030000 83.294 123.9365
1.044000 83.109 123.1412
1.060000 82.889 122.2249
1.075000 82.674 121.3582
1.090000 82.449 120.4836
1.106000 82.200 119.5679
1.120000 81.975 118.9240
1.138000 81.678 118.3205
1.150000 81.476 118.0372
1.172000 81.094 117.7129
1.180000 80.951 117.6440
1.206000 80.477 117.5346
1.220000 80.213 117.5121
1.241000 79.807 117.4660
1.250000 79.629 117.4257
1.265000 79.327 117.3096
1.280000 79.019 117.1088
1.315000 78.274 116.1577
1.320000 78.165 115.9519
1.340000 77.720 114.9140
1.360000 77.263 113.4838
1.380000 76.794 111.5971
1.400000 76.312 109.1895
1.430000 75.567 104.4605
1.450000 75.055 100.4689
1.475000 74.386 94.3801
1.500000 73.604 86.6969
1.525000 72.712 77.5484
1.550000 71.735 67.1758
1.575000 70.701 55.8203
1.600000 69.635 43.7231
1.625000 68.564 31.1255
1.650000 67.515 18.2686
1.675000 66.513 5.3937
1.700000 65.586 -7.2582
1.725000 64.759 -19.4456
1.750000 64.059 -30.9275
1.775000 63.513 -41.4626
1.800000 63.146 -50.8097
1.825000 62.985 -58.7277
1.850000 63.060 -65.2142
1.875000 63.375 -70.7664
1.900000 63.899 -75.4932
1.925000 64.601 -79.4824
1.950000 65.448 -82.8219
1.975000 66.409 -85.5993
2.000000 67.453 -87.9025
2.030000 68.769 -90.1640
2.060000 70.103 -92.0206
2.090000 71.401 -93.6242
2.120000 72.607 -95.1264
2.140000 73.334 -96.1464
2.180000 74.526 -98.4332
2.200000 74.961 -99.7869
2.240000 75.633 -102.3576
2.270000 76.025 -103.9937
2.300000 76.334 -105.4095
2.330000 76.571 -106.6317
2.360000 76.747 -107.6872
2.400000 76.909 -108.8815
2.430000 76.990 -109.6522
2.470000 77.065 -110.5642
2.500000 77.112 -111.1962
2.540000 77.184 -112.0206
2.580000 77.283 -112.8685
2.620000 77.345 -113.6574
2.650000 77.361 -114.1865
2.690000 77.349 -114.7973
2.720000 77.319 -115.1769
2.760000 77.260 -115.5670
2.800000 77.186 -115.8119
2.850000 77.085 -115.8923
2.900000 76.993 -115.6965
2.950000 76.920 -115.1889
3.000000 76.820 -114.2987
3.040000 76.722 -113.3445
3.070000 76.643 -112.5129
3.110000 76.539 -111.2808
3.150000 76.443 -109.9431
3.200000 76.348 -108.1814
3.250000 76.296 -106.3909
3.300000 76.304 -104.6455
3.350000 76.371 -102.7694
3.400000 76.485 -100.6775
3.450000 76.635 -98.4781
3.500000 76.815 -96.2798
3.550000 77.016 -94.1908
3.600000 77.229 -92.3196
3.650000 77.446 -90.7746
3.700000 77.673 -89.5957
3.750000 77.931 -88.6601
3.820000 78.327 -87.7025
3.870000 78.620 -87.2367
3.950000 79.071 -86.8017
4.000000 79.326 -86.6854
4.060000 79.591 -86.6954
4.120000 79.835 -86.9874
4.180000 80.061 -87.5137
4.250000 80.298 -88.3236
4.310000 80.476 -89.0999
4.370000 80.628 -89.8728
4.440000 80.769 -90.7430
4.500000 80.858 -91.5854
4.550000 80.912 -92.3324
4.620000 80.963 -93.3930
4.680000 80.987 -94.2657
4.750000 80.997 -95.1765
4.820000 80.985 -95.9701
4.870000 80.955 -96.5109
4.940000 80.894 -97.2112
5.000000 80.830 -97.7391
5.080000 80.741 -98.3064
5.150000 80.668 -98.6436
5.220000 80.586 -98.8161
5.300000 80.482 -98.8512
5.380000 80.383 -98.7663
5.450000 80.313 -98.6369
5.520000 80.268 -98.4813
5.600000 80.236 -98.1661
5.700000 80.224 -97.6564
5.800000 80.240 -97.2094
5.900000 80.289 -97.0012
6.000000 80.381 -96.9313
6.080000 80.474 -96.9813
6.150000 80.559 -97.1316
6.220000 80.641 -97.4056
6.300000 80.734 -97.8937
6.400000 80.858 -98.7320
6.500000 80.976 -99.7498
6.600000 81.075 -100.8686
6.700000 81.152 -102.1348
6.800000 81.214 -103.5403
6.900000 81.261 -104.9762
7.000000 81.291 -106.3536
7.100000 81.300 -107.7415
7.200000 81.295 -109.1076
7.300000 81.288 -110.3841
7.400000 81.279 -111.5314
7.500000 81.262 -112.5842
7.620000 81.247 -113.7300
7.750000 81.255 -114.8221
7.880000 81.281 -115.7302
8.000000 81.325 -116.4900
8.120000 81.395 -117.2469
8.250000 81.500 -118.0152
8.380000 81.624 -118.7986
8.500000 81.749 -119.5977
8.620000 81.891 -120.4471
8.750000 82.047 -121.4091
8.850000 82.162 -122.1786
9.000000 82.334 -123.3978
9.120000 82.465 -124.3695
9.250000 82.594 -125.3809
9.380000 82.713 -126.3721
9.500000 82.816 -127.2254
9.620000 82.912 -127.9944
9.750000 83.009 -128.7511
9.880000 83.103 -129.4270
10.000000 83.189 -129.9693
10.150000 83.296 -130.5501
10.300000 83.404 -131.0711
10.440000 83.507 -131.4953
10.600000 83.625 -131.9404
10.750000 83.734 -132.3493
10.900000 83.841 -132.7405
11.060000 83.948 -133.1525
11.200000 84.035 -133.5094
11.380000 84.138 -133.9492
11.500000 84.200 -134.2283
11.720000 84.301 -134.7105
11.800000 84.334 -134.8737
12.060000 84.431 -135.3699
12.200000 84.478 -135.6273
12.410000 84.541 -136.0052
12.500000 84.565 -136.1736
12.650000 84.602 -136.4602
12.800000 84.634 -136.7567
13.150000 84.688 -137.4961
13.200000 84.694 -137.6042
13.400000 84.710 -138.0429
13.600000 84.720 -138.4861
13.800000 84.727 -138.9289
14.000000 84.733 -139.3882
14.300000 84.744 -140.1214
14.500000 84.753 -140.6661
14.750000 84.765 -141.4181
15.000000 84.776 -142.2486
15.250000 84.783 -143.1323
15.500000 84.787 -144.0315
15.750000 84.792 -144.9252
16.000000 84.801 -145.7887
16.250000 84.819 -146.6305
16.500000 84.848 -147.4583
16.750000 84.887 -148.2885
17.000000 84.932 -149.1238
17.250000 84.980 -149.9548
17.500000 85.029 -150.7668
17.750000 85.078 -151.5324
18.000000 85.127 -152.2434
18.250000 85.176 -152.8914
18.500000 85.227 -153.4854
18.750000 85.279 -154.0348
19.000000 85.330 -154.5484
19.250000 85.378 -155.0327
19.500000 85.422 -155.4854
19.750000 85.460 -155.9057
20.000000 85.493 -156.2918
20.299999 85.527 -156.7194
20.600000 85.556 -157.1210
20.900000 85.578 -157.5128
21.200001 85.592 -157.9065
21.400000 85.598 -158.1711
21.799999 85.601 -158.7051
22.000000 85.599 -158.9764
22.400000 85.591 -159.5380
22.700001 85.583 -159.9900
23.000000 85.573 -160.4784
23.299999 85.562 -160.9994
23.600000 85.548 -161.5420
24.000000 85.531 -162.2800
24.299999 85.520 -162.8360
24.700001 85.514 -163.5835
25.000000 85.514 -164.1529
25.400000 85.520 -164.9205
25.799999 85.530 -165.6764
26.200001 85.543 -166.3955
26.500000 85.555 -166.9030
26.900000 85.574 -167.5376
27.200001 85.589 -167.9836
27.600000 85.608 -168.5383
28.000000 85.625 -169.0455
28.500000 85.644 -169.6216
29.000000 85.656 -170.1608
29.500000 85.660 -170.6830
30.000000 85.653 -171.1918
30.400000 85.642 -171.5924
30.700001 85.631 -171.8942
31.100000 85.613 -172.3043
31.500000 85.593 -172.7241
32.000000 85.568 -173.2603
32.500000 85.546 -173.8167
33.000000 85.528 -174.4070
33.500000 85.511 -175.0238
34.000000 85.495 -175.6356
34.500000 85.482 -176.2205
35.000000 85.474 -176.7816
35.500000 85.469 -177.3235
36.000000 85.463 -177.8364
36.500000 85.457 -178.3133
37.000000 85.450 -178.7634
37.500000 85.440 -179.1959
38.200001 85.421 -179.7676
38.700001 85.404 179.8434
39.500000 85.375 179.2098
40.000000 85.352 178.8033
40.599998 85.324 178.3197
41.200001 85.295 177.8394
41.799999 85.269 177.3565
42.500000 85.240 176.7981
43.099998 85.217 176.3255
43.700001 85.194 175.8580
44.400002 85.166 175.3348
45.000000 85.142 174.9127
45.500000 85.121 174.5722
46.200001 85.091 174.1060
46.799999 85.064 173.7188
47.500000 85.033 173.2791
48.200001 85.004 172.8304
48.700001 84.984 172.4898
49.400002 84.950 172.0024
50.000000 84.916 171.6264
50.799999 84.876 171.2032
51.500000 84.851 170.8290
52.200001 84.823 170.4246
53.000000 84.784 169.9883
53.799999 84.744 169.5938
54.500000 84.712 169.2405
55.200001 84.677 168.8651
56.000000 84.632 168.4503
57.000000 84.581 167.9808
58.000000 84.537 167.4874
59.000000 84.491 167.0060
60.000000 84.447 166.5589
60.799999 84.410 166.1991
61.500000 84.372 165.9041
62.200001 84.335 165.6385
63.000000 84.295 165.3309
64.000000 84.241 164.9207
65.000000 84.188 164.5406
66.000000 84.140 164.1299
67.000000 84.085 163.7504
68.000000 84.040 163.4305
69.000000 83.993 163.0616
70.000000 83.936 162.7711
71.000000 83.891 162.5146
72.000000 83.842 162.1838
73.000000 83.788 161.8774
74.000000 83.736 161.5739
75.000000 83.685 161.2896
76.199997 83.627 160.9483
77.500000 83.566 160.6056
78.800003 83.503 160.2464
80.000000 83.440 159.9547
81.199997 83.381 159.7026
82.500000 83.325 159.4044
83.800003 83.255 159.0839
85.000000 83.195 158.8984
86.199997 83.144 158.6422
87.500000 83.076 158.3732
88.500000 83.029 158.1721
90.000000 82.945 157.9317
91.199997 82.901 157.7975
92.500000 82.842 157.5630
93.800003 82.790 157.3699
95.000000 82.731 157.1470
96.199997 82.677 156.9922
97.500000 82.618 156.7943
98.800003 82.564 156.6347
100.000000 82.512 156.4586
101.500000 82.440 156.2646
103.000000 82.374 156.1246
104.400002 82.302 155.9188
106.000000 82.245 155.8347
107.500000 82.172 155.6442
109.000000 82.120 155.6032
110.599998 82.063 155.5424
112.000000 82.012 155.2490
113.800003 81.909 155.1836
115.000000 81.866 155.0870
117.199997 81.769 154.9661
118.000000 81.741 154.9177
120.599998 81.635 154.7824
122.000000 81.583 154.6700
124.099998 81.514 154.6146
125.000000 81.496 154.3843
126.500000 81.391 154.2943
128.000000 81.345 154.3982
131.500000 81.216 154.4160
132.000000 81.196 154.3965
134.000000 81.120 154.3446
136.000000 81.032 154.3091
138.000000 80.959 154.2690
140.000000 80.891 154.2869
143.000000 80.771 154.3051
145.000000 80.703 154.3136
147.500000 80.614 154.3729
150.000000 80.510 154.3890
152.500000 80.402 154.4251
155.000000 80.278 154.7150
157.500000 80.180 155.1285
160.000000 80.080 155.6590
162.500000 80.020 156.3273
165.000000 80.012 156.7841
167.500000 80.075 157.0950
170.000000 80.098 157.0804
172.500000 80.098 156.7667
175.000000 80.051 156.4651
177.500000 79.983 156.2715
180.000000 79.905 156.3275
182.500000 79.832 156.0783
185.000000 79.752 156.1989
187.500000 79.709 156.3674
190.000000 79.639 156.4643
192.500000 79.573 156.5248
195.000000 79.506 156.5403
197.500000 79.454 156.7668
200.000000 79.397 156.8535
203.000000 79.322 156.9947
206.000000 79.259 157.0917
209.000000 79.192 157.3502
212.000000 79.124 157.5258
214.000000 79.086 157.5344
218.000000 78.994 157.8870
220.000000 78.955 158.0097
224.000000 78.881 158.2931
227.000000 78.825 158.5081
230.000000 78.764 158.7124
233.000000 78.714 158.8951
236.000000 78.655 159.1363
240.000000 78.583 159.4423
243.000000 78.536 159.6239
247.000000 78.478 159.8615
250.000000 78.427 160.3503
254.000000 78.369 160.4744
258.000000 78.285 160.7622
262.000000 78.237 161.0811
265.000000 78.195 161.3187
269.000000 78.148 161.5711
272.000000 78.098 161.8320
276.000000 78.041 162.1346
280.000000 77.991 162.4346
285.000000 77.924 162.8934
290.000000 77.860 163.2028
295.000000 77.810 163.6131
300.000000 77.742 164.0157
304.000000 77.703 164.3369
307.000000 77.665 164.6222
311.000000 77.618 164.9828
315.000000 77.582 165.2662
320.000000 77.524 165.7135
325.000000 77.478 166.1156
