* Measurement data measured by REW V5.20.13
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), R, volume: 0,250
* Format: 256k Log Swept Sine, 1 sweep at -12,0 dBFS with no timing reference
* Dated: 01:25:13 29-07-2024
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: MP145 no filter Old R
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 83.857 124.4996
1.015000 83.676 123.6423
1.030000 83.487 122.7794
1.044000 83.305 121.9686
1.060000 83.088 121.0350
1.075000 82.876 120.1524
1.090000 82.655 119.2624
1.106000 82.410 118.3299
1.120000 82.192 117.6661
1.138000 81.907 117.0294
1.150000 81.715 116.7199
1.172000 81.354 116.3412
1.180000 81.220 116.2509
1.206000 80.776 116.0681
1.220000 80.529 116.0049
1.241000 80.149 115.8983
1.250000 79.982 115.8330
1.265000 79.698 115.6767
1.280000 79.407 115.4385
1.315000 78.696 114.4171
1.320000 78.591 114.2038
1.340000 78.159 113.1427
1.360000 77.711 111.7029
1.380000 77.244 109.8222
1.400000 76.758 107.4384
1.430000 75.992 102.7835
1.450000 75.454 98.8699
1.475000 74.740 92.9184
1.500000 73.888 85.4482
1.525000 72.905 76.5831
1.550000 71.821 66.5504
1.575000 70.664 55.5771
1.600000 69.467 43.8903
1.625000 68.259 31.7172
1.650000 67.070 19.2849
1.675000 65.930 6.8205
1.700000 64.870 -5.4489
1.725000 63.920 -17.2961
1.750000 63.110 -28.4941
1.775000 62.471 -38.8158
1.800000 62.031 -48.0339
1.825000 61.823 -55.9216
1.850000 61.877 -62.4884
1.875000 62.194 -68.2262
1.900000 62.740 -73.2301
1.925000 63.480 -77.5737
1.950000 64.380 -81.3307
1.975000 65.405 -84.5747
2.000000 66.521 -87.3794
2.030000 67.930 -90.2689
2.060000 69.359 -92.7593
2.090000 70.749 -94.9778
2.120000 72.039 -97.0518
2.140000 72.814 -98.4170
2.180000 74.081 -101.2754
2.200000 74.538 -102.8413
2.240000 75.237 -105.7390
2.270000 75.640 -107.5622
2.300000 75.952 -109.1228
2.330000 76.187 -110.4543
2.360000 76.356 -111.5904
2.400000 76.500 -112.8593
2.430000 76.564 -113.6703
2.470000 76.614 -114.6279
2.500000 76.641 -115.2970
2.540000 76.685 -116.1874
2.580000 76.757 -117.1337
2.620000 76.789 -118.0457
2.650000 76.779 -118.6755
2.690000 76.730 -119.4233
2.720000 76.670 -119.9015
2.760000 76.567 -120.4088
2.800000 76.446 -120.7446
2.850000 76.285 -120.8851
2.900000 76.130 -120.6700
2.950000 75.990 -120.0446
3.000000 75.810 -118.9505
3.040000 75.640 -117.7806
3.070000 75.506 -116.7602
3.110000 75.327 -115.2444
3.150000 75.159 -113.5916
3.200000 74.983 -111.3999
3.250000 74.867 -109.1491
3.300000 74.834 -106.9232
3.350000 74.884 -104.4881
3.400000 74.999 -101.7424
3.450000 75.165 -98.8379
3.500000 75.371 -95.9264
3.550000 75.605 -93.1597
3.600000 75.855 -90.6894
3.650000 76.108 -88.6675
3.700000 76.372 -87.1556
3.750000 76.677 -85.9904
3.820000 77.148 -84.8468
3.870000 77.496 -84.3190
3.950000 78.031 -83.8552
4.000000 78.328 -83.7355
4.060000 78.632 -83.7393
4.120000 78.905 -84.0768
4.180000 79.154 -84.6926
4.250000 79.409 -85.6373
4.310000 79.597 -86.5334
4.370000 79.755 -87.4099
4.440000 79.899 -88.3710
4.500000 79.984 -89.2925
4.550000 80.032 -90.1038
4.620000 80.068 -91.2443
4.680000 80.077 -92.1690
4.750000 80.068 -93.1119
4.820000 80.032 -93.9065
4.870000 79.984 -94.4354
4.940000 79.892 -95.0987
5.000000 79.802 -95.5734
5.080000 79.678 -96.0344
5.150000 79.579 -96.2403
5.220000 79.470 -96.2349
5.300000 79.336 -96.0221
5.380000 79.211 -95.6634
5.450000 79.123 -95.2906
5.520000 79.068 -94.8996
5.600000 79.035 -94.2907
5.700000 79.030 -93.4008
5.800000 79.061 -92.6141
5.900000 79.128 -92.1598
6.000000 79.247 -91.9215
6.080000 79.365 -91.8811
6.150000 79.471 -91.9812
6.220000 79.571 -92.2288
6.300000 79.679 -92.7249
6.400000 79.818 -93.6328
6.500000 79.948 -94.7554
6.600000 80.052 -95.9808
6.700000 80.127 -97.3630
6.800000 80.180 -98.8992
6.900000 80.214 -100.4595
7.000000 80.230 -101.9366
7.100000 80.220 -103.4102
7.200000 80.194 -104.8465
7.300000 80.166 -106.1716
7.400000 80.138 -107.3392
7.500000 80.103 -108.3859
7.620000 80.069 -109.5036
7.750000 80.064 -110.5530
7.880000 80.085 -111.3927
8.000000 80.130 -112.0918
8.120000 80.207 -112.8153
8.250000 80.327 -113.5666
8.380000 80.470 -114.3586
8.500000 80.613 -115.1982
8.620000 80.773 -116.1189
8.750000 80.950 -117.1752
8.850000 81.079 -118.0215
9.000000 81.268 -119.3740
9.120000 81.411 -120.4495
9.250000 81.551 -121.5569
9.380000 81.678 -122.6344
9.500000 81.788 -123.5520
9.620000 81.891 -124.3649
9.750000 81.994 -125.1499
9.880000 82.097 -125.8397
10.000000 82.192 -126.3817
10.150000 82.311 -126.9460
10.300000 82.434 -127.4480
10.440000 82.553 -127.8515
10.600000 82.690 -128.2741
10.750000 82.817 -128.6696
10.900000 82.942 -129.0516
11.060000 83.067 -129.4567
11.200000 83.169 -129.8107
11.380000 83.290 -130.2450
11.500000 83.362 -130.5181
11.720000 83.482 -130.9851
11.800000 83.522 -131.1408
12.060000 83.638 -131.6080
12.200000 83.695 -131.8498
12.410000 83.773 -132.2046
12.500000 83.803 -132.3645
12.650000 83.849 -132.6385
12.800000 83.889 -132.9232
13.150000 83.958 -133.6357
13.200000 83.965 -133.7392
13.400000 83.987 -134.1563
13.600000 84.003 -134.5740
13.800000 84.015 -134.9865
14.000000 84.026 -135.4169
14.300000 84.046 -136.1137
14.500000 84.062 -136.6459
14.750000 84.080 -137.3962
15.000000 84.096 -138.2397
15.250000 84.106 -139.1438
15.500000 84.112 -140.0636
15.750000 84.117 -140.9744
16.000000 84.128 -141.8495
16.250000 84.150 -142.7027
16.500000 84.184 -143.5458
16.750000 84.229 -144.4013
17.000000 84.282 -145.2733
17.250000 84.338 -146.1503
17.500000 84.394 -147.0142
17.750000 84.449 -147.8297
18.000000 84.503 -148.5850
18.250000 84.558 -149.2681
18.500000 84.615 -149.8867
18.750000 84.674 -150.4518
19.000000 84.733 -150.9738
19.250000 84.789 -151.4626
19.500000 84.843 -151.9189
19.750000 84.892 -152.3441
20.000000 84.936 -152.7398
20.299999 84.982 -153.1855
20.600000 85.021 -153.6115
20.900000 85.052 -154.0296
21.200001 85.073 -154.4449
21.400000 85.082 -154.7178
21.799999 85.089 -155.2526
22.000000 85.090 -155.5176
22.400000 85.088 -156.0612
22.700001 85.085 -156.5035
23.000000 85.080 -156.9908
23.299999 85.073 -157.5189
23.600000 85.063 -158.0732
24.000000 85.048 -158.8281
24.299999 85.040 -159.3951
24.700001 85.036 -160.1568
25.000000 85.040 -160.7401
25.400000 85.050 -161.5339
25.799999 85.065 -162.3237
26.200001 85.082 -163.0782
26.500000 85.097 -163.6089
26.900000 85.120 -164.2670
27.200001 85.139 -164.7259
27.600000 85.166 -165.2957
28.000000 85.192 -165.8230
28.500000 85.220 -166.4372
29.000000 85.239 -167.0166
29.500000 85.246 -167.5566
30.000000 85.244 -168.0491
30.400000 85.239 -168.4258
30.700001 85.235 -168.7158
31.100000 85.228 -169.1313
31.500000 85.216 -169.5806
32.000000 85.196 -170.1673
32.500000 85.175 -170.7590
33.000000 85.156 -171.3582
33.500000 85.141 -171.9727
34.000000 85.130 -172.5917
34.500000 85.122 -173.1980
35.000000 85.118 -173.7865
35.500000 85.116 -174.3550
36.000000 85.113 -174.8939
36.500000 85.109 -175.3941
37.000000 85.104 -175.8549
37.500000 85.098 -176.2820
38.200001 85.089 -176.8513
38.700001 85.080 -177.2680
39.500000 85.055 -177.9604
40.000000 85.032 -178.3720
40.599998 85.007 -178.8389
41.200001 84.986 -179.3259
41.799999 84.965 -179.8461
42.500000 84.935 179.5646
43.099998 84.913 179.0957
43.700001 84.896 178.6290
44.400002 84.874 178.0773
45.000000 84.852 177.6271
45.500000 84.833 177.2791
46.200001 84.811 176.8024
46.799999 84.791 176.3662
47.500000 84.759 175.8586
48.200001 84.724 175.4306
48.700001 84.707 175.1461
49.400002 84.690 174.6750
50.000000 84.666 174.2267
50.799999 84.621 173.7373
51.500000 84.593 173.3987
52.200001 84.573 173.0128
53.000000 84.539 172.5359
53.799999 84.498 172.1253
54.500000 84.468 171.7750
55.200001 84.437 171.3875
56.000000 84.396 170.9564
57.000000 84.351 170.4439
58.000000 84.306 169.9007
59.000000 84.260 169.4254
60.000000 84.220 168.9764
60.799999 84.186 168.6246
61.500000 84.154 168.3298
62.200001 84.120 168.0381
63.000000 84.078 167.7202
64.000000 84.029 167.3395
65.000000 83.983 166.9300
66.000000 83.936 166.5158
67.000000 83.893 166.1132
68.000000 83.847 165.7102
69.000000 83.796 165.3479
70.000000 83.745 165.0479
71.000000 83.702 164.7598
72.000000 83.656 164.4205
73.000000 83.606 164.1070
74.000000 83.560 163.7769
75.000000 83.508 163.4677
76.199997 83.454 163.1381
77.500000 83.392 162.7709
78.800003 83.335 162.4403
80.000000 83.276 162.1190
81.199997 83.225 161.8353
82.500000 83.162 161.4897
83.800003 83.105 161.2427
85.000000 83.052 160.9421
86.199997 82.993 160.6949
87.500000 82.929 160.3915
88.500000 82.877 160.2078
90.000000 82.812 159.9332
91.199997 82.762 159.7267
92.500000 82.706 159.4771
93.800003 82.651 159.3258
95.000000 82.602 159.0952
96.199997 82.542 158.9266
97.500000 82.486 158.7360
98.800003 82.429 158.5527
100.000000 82.379 158.3975
101.500000 82.322 158.1718
103.000000 82.242 157.9952
104.400002 82.202 157.8738
106.000000 82.118 157.5761
107.500000 82.067 157.4820
109.000000 82.001 157.2731
110.599998 81.943 157.1357
112.000000 81.875 157.0018
113.800003 81.802 156.9180
115.000000 81.755 156.8470
117.199997 81.672 156.6782
118.000000 81.635 156.5895
120.599998 81.533 156.4564
122.000000 81.482 156.3994
124.099998 81.403 156.2536
125.000000 81.378 156.1932
126.500000 81.305 156.0694
128.000000 81.245 156.1334
131.500000 81.121 155.9880
132.000000 81.098 155.9621
134.000000 81.024 155.8992
136.000000 80.945 155.9305
138.000000 80.871 155.8609
140.000000 80.789 155.9221
143.000000 80.668 155.9622
145.000000 80.596 155.9910
147.500000 80.483 156.3120
150.000000 80.393 156.6038
152.500000 80.303 156.8002
155.000000 80.272 157.4730
157.500000 80.360 157.5518
160.000000 80.340 157.3191
162.500000 80.270 156.9904
165.000000 80.195 156.7574
167.500000 80.117 156.8031
170.000000 80.059 156.8016
172.500000 79.985 156.7451
175.000000 79.913 156.7589
177.500000 79.839 156.8189
180.000000 79.770 156.8459
182.500000 79.708 156.9055
185.000000 79.640 157.0436
187.500000 79.580 157.1860
190.000000 79.508 157.2871
192.500000 79.450 157.3973
195.000000 79.382 157.4913
197.500000 79.334 157.6019
200.000000 79.267 157.7670
203.000000 79.200 157.9294
206.000000 79.138 158.0637
209.000000 79.078 158.2581
212.000000 79.008 158.4187
214.000000 78.964 158.5894
218.000000 78.883 158.7997
220.000000 78.846 158.8788
224.000000 78.778 159.2161
227.000000 78.706 159.3392
230.000000 78.644 159.5419
233.000000 78.589 159.8638
236.000000 78.532 160.0128
240.000000 78.451 160.4534
243.000000 78.403 160.6205
247.000000 78.327 160.9120
250.000000 78.285 161.2729
254.000000 78.219 161.6329
258.000000 78.158 162.1658
262.000000 78.107 162.6803
265.000000 78.086 162.9307
269.000000 78.038 163.0868
272.000000 77.963 163.3739
276.000000 77.975 164.0190
280.000000 77.969 164.0790
285.000000 77.915 164.2995
290.000000 77.864 164.5984
295.000000 77.815 164.9434
300.000000 77.762 165.2897
304.000000 77.699 165.4471
307.000000 77.671 165.5985
311.000000 77.623 165.9470
315.000000 77.569 166.1883
320.000000 77.526 166.5565
325.000000 77.467 166.9375
