* Measurement data measured by REW V5.20.13
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), R, volume: 0,250
* Format: 256k Log Swept Sine, 1 sweep at -12,0 dBFS with no timing reference
* Dated: 21:13:49 18-05-2024
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Meteor L
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 84.405 121.1321
1.015000 84.223 120.1937
1.030000 84.033 119.2450
1.044000 83.849 118.3498
1.060000 83.631 117.3140
1.075000 83.417 116.3299
1.090000 83.194 115.3324
1.106000 82.947 114.2753
1.120000 82.723 113.4779
1.138000 82.425 112.6355
1.150000 82.221 112.1704
1.172000 81.835 111.4744
1.180000 81.691 111.2602
1.206000 81.210 110.6518
1.220000 80.943 110.3496
1.241000 80.531 109.8791
1.250000 80.352 109.6577
1.265000 80.047 109.2444
1.280000 79.737 108.7557
1.315000 78.992 107.1947
1.320000 78.883 106.9112
1.340000 78.442 105.5924
1.360000 77.992 103.9372
1.380000 77.535 101.8917
1.400000 77.069 99.4018
1.430000 76.357 94.7158
1.450000 75.873 90.8788
1.475000 75.251 85.1519
1.500000 74.534 78.0922
1.525000 73.724 69.8074
1.550000 72.845 60.4954
1.575000 71.918 50.3540
1.600000 70.967 39.5811
1.625000 70.015 28.3746
1.650000 69.084 16.9321
1.675000 68.197 5.4516
1.700000 67.376 -5.8691
1.725000 66.646 -16.8322
1.750000 66.027 -27.2397
1.775000 65.544 -36.8940
1.800000 65.219 -45.5972
1.825000 65.075 -53.1514
1.850000 65.138 -59.5750
1.875000 65.414 -65.3164
1.900000 65.875 -70.4518
1.925000 66.493 -75.0380
1.950000 67.241 -79.1317
1.975000 68.090 -82.7895
2.000000 69.013 -86.0682
2.030000 70.177 -89.5820
2.060000 71.357 -92.7297
2.090000 72.506 -95.6091
2.120000 73.575 -98.3182
2.140000 74.219 -100.0782
2.180000 75.277 -103.6178
2.200000 75.664 -105.4534
2.240000 76.267 -108.8217
2.270000 76.625 -110.9705
2.300000 76.911 -112.8380
2.330000 77.135 -114.4623
2.360000 77.306 -115.8815
2.400000 77.466 -117.5208
2.430000 77.548 -118.6098
2.470000 77.623 -119.9469
2.500000 77.665 -120.9131
2.540000 77.720 -122.2248
2.580000 77.785 -123.6278
2.620000 77.812 -125.0141
2.650000 77.802 -126.0077
2.690000 77.752 -127.2513
2.720000 77.693 -128.1094
2.760000 77.588 -129.1341
2.800000 77.462 -129.9994
2.850000 77.282 -130.8192
2.900000 77.093 -131.3024
2.950000 76.898 -131.4064
3.000000 76.646 -131.1588
3.040000 76.408 -130.7293
3.070000 76.218 -130.2802
3.110000 75.957 -129.5217
3.150000 75.702 -128.5919
3.200000 75.410 -127.2074
3.250000 75.172 -125.5977
3.300000 75.014 -123.7849
3.350000 74.922 -121.5188
3.400000 74.874 -118.7468
3.450000 74.867 -115.6664
3.500000 74.899 -112.4751
3.550000 74.969 -109.3703
3.600000 75.075 -106.5495
3.650000 75.215 -104.2099
3.700000 75.401 -102.4020
3.750000 75.657 -100.8667
3.820000 76.095 -99.1362
3.870000 76.436 -98.1875
3.950000 76.975 -97.1430
4.000000 77.273 -96.7724
4.060000 77.570 -96.6333
4.120000 77.844 -96.9545
4.180000 78.100 -97.6541
4.250000 78.367 -98.7978
4.310000 78.562 -99.9298
4.370000 78.720 -101.0827
4.440000 78.851 -102.4115
4.500000 78.923 -103.7194
4.550000 78.955 -104.8961
4.620000 78.964 -106.5986
4.680000 78.941 -108.0373
4.750000 78.883 -109.5988
4.820000 78.786 -111.0487
4.870000 78.687 -112.0901
4.940000 78.515 -113.5030
5.000000 78.347 -114.6225
5.080000 78.103 -115.9003
5.150000 77.882 -116.7458
5.220000 77.628 -117.3759
5.300000 77.309 -117.8662
5.380000 76.988 -118.1176
5.450000 76.729 -118.1469
5.520000 76.508 -117.9860
5.600000 76.275 -117.4238
5.700000 76.015 -116.3628
5.800000 75.819 -115.2747
5.900000 75.717 -114.4891
6.000000 75.718 -113.7489
6.080000 75.768 -113.2664
6.150000 75.832 -113.0382
6.220000 75.898 -113.0849
6.300000 75.987 -113.5154
6.400000 76.134 -114.4929
6.500000 76.287 -115.8485
6.600000 76.408 -117.4657
6.700000 76.499 -119.4376
6.800000 76.570 -121.7346
6.900000 76.616 -124.1464
7.000000 76.629 -126.5036
7.100000 76.606 -128.9567
7.200000 76.558 -131.4162
7.300000 76.496 -133.7168
7.400000 76.422 -135.7801
7.500000 76.325 -137.7012
7.620000 76.209 -139.7439
7.750000 76.114 -141.5187
7.880000 76.036 -142.8208
8.000000 75.999 -143.7490
8.120000 76.019 -144.5131
8.250000 76.099 -145.0528
8.380000 76.226 -145.5240
8.500000 76.380 -146.0792
8.620000 76.578 -146.6670
8.750000 76.808 -147.3889
8.850000 76.977 -148.0511
9.000000 77.239 -149.2106
9.120000 77.436 -150.1798
9.250000 77.620 -151.2173
9.380000 77.782 -152.2784
9.500000 77.912 -153.1749
9.620000 78.022 -153.9385
9.750000 78.118 -154.6573
9.880000 78.205 -155.2315
10.000000 78.279 -155.6031
10.150000 78.363 -155.8894
10.300000 78.450 -156.0228
10.440000 78.537 -156.0516
10.600000 78.637 -156.0811
10.750000 78.734 -156.0797
10.900000 78.831 -156.0720
11.060000 78.924 -156.1046
11.200000 78.996 -156.1692
11.380000 79.072 -156.2603
11.500000 79.110 -156.3238
11.720000 79.159 -156.4254
11.800000 79.171 -156.4457
12.060000 79.192 -156.4768
12.200000 79.198 -156.4867
12.410000 79.201 -156.5075
12.500000 79.200 -156.5427
12.650000 79.196 -156.6286
12.800000 79.186 -156.7588
13.150000 79.134 -157.2695
13.200000 79.124 -157.3559
13.400000 79.069 -157.7402
13.600000 79.006 -158.1412
13.800000 78.936 -158.5382
14.000000 78.872 -158.9482
14.300000 78.792 -159.6141
14.500000 78.758 -160.1572
14.750000 78.729 -161.0006
15.000000 78.713 -162.0414
15.250000 78.697 -163.2475
15.500000 78.679 -164.5195
15.750000 78.661 -165.7952
16.000000 78.651 -166.9844
16.250000 78.659 -168.0793
16.500000 78.688 -169.0911
16.750000 78.743 -170.0571
17.000000 78.813 -171.0086
17.250000 78.892 -171.9379
17.500000 78.971 -172.8287
17.750000 79.045 -173.6243
18.000000 79.117 -174.3062
18.250000 79.186 -174.8545
18.500000 79.257 -175.2943
18.750000 79.329 -175.6567
19.000000 79.400 -175.9710
19.250000 79.464 -176.2652
19.500000 79.518 -176.5349
19.750000 79.560 -176.7780
20.000000 79.589 -176.9828
20.299999 79.612 -177.1905
20.600000 79.625 -177.3818
20.900000 79.629 -177.5929
21.200001 79.621 -177.8538
21.400000 79.609 -178.0565
21.799999 79.570 -178.5175
22.000000 79.546 -178.7725
22.400000 79.495 -179.3403
22.700001 79.459 -179.8454
23.000000 79.426 179.5568
23.299999 79.392 178.8763
23.600000 79.357 178.1472
24.000000 79.314 177.1636
24.299999 79.293 176.4484
24.700001 79.288 175.5131
25.000000 79.301 174.7964
25.400000 79.334 173.8032
25.799999 79.372 172.8114
26.200001 79.408 171.9053
26.500000 79.435 171.3163
26.900000 79.475 170.6509
27.200001 79.507 170.2194
27.600000 79.551 169.7008
28.000000 79.590 169.2243
28.500000 79.624 168.6687
29.000000 79.638 168.1351
29.500000 79.630 167.6147
30.000000 79.604 167.1139
30.400000 79.578 166.7110
30.700001 79.559 166.3847
31.100000 79.533 165.8889
31.500000 79.506 165.3211
32.000000 79.468 164.5493
32.500000 79.435 163.7534
33.000000 79.414 162.9340
33.500000 79.405 162.0808
34.000000 79.402 161.2225
34.500000 79.405 160.4009
35.000000 79.412 159.6295
35.500000 79.421 158.9130
36.000000 79.428 158.2632
36.500000 79.435 157.6716
37.000000 79.438 157.1012
37.500000 79.433 156.5389
38.200001 79.412 155.8073
38.700001 79.397 155.3036
39.500000 79.371 154.3646
40.000000 79.343 153.7184
40.599998 79.303 152.9879
41.200001 79.275 152.2900
41.799999 79.258 151.5421
42.500000 79.239 150.6287
43.099998 79.223 149.8691
43.700001 79.209 149.1176
44.400002 79.186 148.2713
45.000000 79.165 147.6104
45.500000 79.150 147.0740
46.200001 79.127 146.2961
46.799999 79.101 145.6481
47.500000 79.077 144.9284
48.200001 79.060 144.1004
48.700001 79.034 143.4441
49.400002 78.973 142.6660
50.000000 78.933 142.2186
50.799999 78.925 141.5658
51.500000 78.909 140.7484
52.200001 78.859 139.9963
53.000000 78.806 139.3218
53.799999 78.761 138.5847
54.500000 78.710 137.9740
55.200001 78.672 137.4436
56.000000 78.645 136.7763
57.000000 78.620 135.9583
58.000000 78.629 135.0591
59.000000 78.616 133.9594
60.000000 78.581 133.0432
60.799999 78.565 132.3134
61.500000 78.539 131.5818
62.200001 78.497 130.8829
63.000000 78.451 130.1682
64.000000 78.406 129.1699
65.000000 78.339 128.1190
66.000000 78.268 127.2631
67.000000 78.219 126.4560
68.000000 78.156 125.6363
69.000000 78.100 125.0153
70.000000 78.060 124.2428
71.000000 77.988 123.4618
72.000000 77.925 122.7859
73.000000 77.867 122.1734
74.000000 77.855 121.6149
75.000000 77.854 120.6670
76.199997 77.794 119.5900
77.500000 77.765 118.6086
78.800003 77.716 117.3403
80.000000 77.660 116.2957
81.199997 77.584 115.2764
82.500000 77.551 114.2038
83.800003 77.410 113.0299
85.000000 77.377 112.5596
86.199997 77.295 111.4404
87.500000 77.242 110.8329
88.500000 77.187 109.8997
90.000000 77.099 109.0761
91.199997 77.028 108.1847
92.500000 76.963 107.4321
93.800003 76.889 106.5173
95.000000 76.843 105.6739
96.199997 76.753 104.8325
97.500000 76.740 104.1340
98.800003 76.659 102.9558
100.000000 76.586 102.3912
101.500000 76.507 101.4860
103.000000 76.425 100.5396
104.400002 76.333 99.6870
106.000000 76.244 98.7425
107.500000 76.165 97.8977
109.000000 76.089 96.9424
110.599998 75.975 96.0973
112.000000 75.905 95.3524
113.800003 75.788 94.4409
115.000000 75.742 93.8868
117.199997 75.623 92.7036
118.000000 75.580 92.2935
120.599998 75.445 90.9705
122.000000 75.355 90.3809
124.099998 75.241 89.4231
125.000000 75.202 89.0932
126.500000 75.124 88.3925
128.000000 75.052 87.7247
131.500000 74.870 86.3033
132.000000 74.844 86.1253
134.000000 74.751 85.3105
136.000000 74.650 84.4041
138.000000 74.557 83.7022
140.000000 74.451 82.8803
143.000000 74.313 81.6797
145.000000 74.211 81.0985
147.500000 74.107 80.2427
150.000000 73.994 79.3871
152.500000 73.856 78.5127
155.000000 73.738 77.7714
157.500000 73.650 76.9280
160.000000 73.534 76.2729
162.500000 73.426 75.6695
165.000000 73.333 74.9667
167.500000 73.222 74.3906
170.000000 73.118 73.7047
172.500000 73.048 73.1544
175.000000 72.957 72.5947
177.500000 72.863 71.9458
180.000000 72.781 71.3299
182.500000 72.692 70.7618
185.000000 72.584 70.2304
187.500000 72.498 69.6807
190.000000 72.388 69.3555
192.500000 72.312 68.9501
195.000000 72.250 68.8096
197.500000 72.189 68.4567
200.000000 72.142 68.0715
203.000000 72.075 67.3972
206.000000 72.017 66.7609
209.000000 71.946 66.1628
212.000000 71.871 65.6726
214.000000 71.814 65.1838
218.000000 71.712 64.7639
220.000000 71.676 64.3318
224.000000 71.585 63.7886
227.000000 71.511 63.4811
230.000000 71.427 63.1212
233.000000 71.359 62.5898
236.000000 71.325 62.2697
240.000000 71.242 61.8523
243.000000 71.169 61.5869
247.000000 71.113 61.0273
250.000000 71.045 60.7866
254.000000 71.002 60.3104
258.000000 70.925 59.9508
262.000000 70.863 59.7573
265.000000 70.828 59.4470
269.000000 70.741 59.2461
272.000000 70.728 58.8782
276.000000 70.688 58.6356
280.000000 70.629 58.3698
285.000000 70.572 57.9685
290.000000 70.544 57.5574
295.000000 70.486 57.2584
300.000000 70.427 57.0567
304.000000 70.401 56.7458
307.000000 70.393 56.5092
311.000000 70.361 56.3058
315.000000 70.334 56.1342
320.000000 70.297 55.7055
325.000000 70.283 55.5463
330.000000 70.244 54.9588
335.000000 70.232 55.0014
340.000000 70.189 54.8425
