* Measurement data measured by REW V5.20.13
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), R, volume: 0,250
* Format: 256k Log Swept Sine, 1 sweep at -12,0 dBFS with no timing reference
* Dated: 21:27:37 18-05-2024
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Meteor R
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 84.440 121.2551
1.015000 84.261 120.3308
1.030000 84.074 119.3986
1.044000 83.893 118.5209
1.060000 83.679 117.5080
1.075000 83.469 116.5483
1.090000 83.251 115.5782
1.106000 83.009 114.5540
1.120000 82.793 113.7895
1.138000 82.511 112.9948
1.150000 82.320 112.5646
1.172000 81.962 111.9382
1.180000 81.829 111.7510
1.206000 81.387 111.2355
1.220000 81.142 110.9861
1.241000 80.765 110.5977
1.250000 80.599 110.4124
1.265000 80.318 110.0599
1.280000 80.030 109.6328
1.315000 79.327 108.2163
1.320000 79.223 107.9533
1.340000 78.798 106.7158
1.360000 78.357 105.1400
1.380000 77.899 103.1709
1.400000 77.424 100.7538
1.430000 76.678 96.1681
1.450000 76.155 92.3909
1.475000 75.464 86.7314
1.500000 74.644 79.7497
1.525000 73.700 71.5544
1.550000 72.660 62.3391
1.575000 71.554 52.2975
1.600000 70.410 41.6230
1.625000 69.255 30.5095
1.650000 68.120 19.1503
1.675000 67.031 7.7391
1.700000 66.018 -3.5306
1.725000 65.110 -14.4650
1.750000 64.334 -24.8707
1.775000 63.719 -34.5540
1.800000 63.294 -43.3214
1.825000 63.087 -50.9793
1.850000 63.128 -57.5561
1.875000 63.418 -63.5114
1.900000 63.924 -68.9131
1.925000 64.614 -73.8088
1.950000 65.456 -78.2461
1.975000 66.416 -82.2728
2.000000 67.461 -85.9364
2.030000 68.783 -89.9205
2.060000 70.126 -93.5328
2.090000 71.431 -96.8554
2.120000 72.644 -99.9708
2.140000 73.374 -101.9733
2.180000 74.566 -105.9090
2.200000 74.996 -107.8890
2.240000 75.659 -111.4610
2.270000 76.046 -113.7049
2.300000 76.351 -115.6262
2.330000 76.583 -117.2705
2.360000 76.755 -118.6829
2.400000 76.906 -120.2841
2.430000 76.977 -121.3323
2.470000 77.033 -122.6124
2.500000 77.060 -123.5433
2.540000 77.098 -124.8319
2.580000 77.153 -126.2521
2.620000 77.167 -127.6820
2.650000 77.146 -128.7184
2.690000 77.079 -130.0253
2.720000 77.004 -130.9310
2.760000 76.876 -132.0128
2.800000 76.724 -132.9201
2.850000 76.508 -133.7581
2.900000 76.277 -134.2063
2.950000 76.035 -134.2103
3.000000 75.722 -133.8266
3.040000 75.426 -133.2649
3.070000 75.189 -132.7010
3.110000 74.866 -131.7658
3.150000 74.550 -130.6296
3.200000 74.190 -128.9400
3.250000 73.899 -126.9674
3.300000 73.708 -124.7272
3.350000 73.604 -121.9066
3.400000 73.557 -118.4502
3.450000 73.565 -114.6108
3.500000 73.621 -110.6414
3.550000 73.722 -106.7949
3.600000 73.865 -103.3242
3.650000 74.043 -100.4822
3.700000 74.273 -98.3468
3.750000 74.586 -96.6070
3.820000 75.117 -94.7481
3.870000 75.528 -93.7880
3.950000 76.171 -92.7983
4.000000 76.523 -92.4703
4.060000 76.867 -92.3687
4.120000 77.176 -92.7757
4.180000 77.457 -93.6033
4.250000 77.745 -94.9241
4.310000 77.952 -96.2094
4.370000 78.118 -97.4968
4.440000 78.257 -98.9469
4.500000 78.329 -100.3522
4.550000 78.359 -101.6056
4.620000 78.360 -103.4054
4.680000 78.327 -104.9153
4.750000 78.255 -106.5420
4.820000 78.142 -108.0398
4.870000 78.029 -109.1084
4.940000 77.835 -110.5457
5.000000 77.644 -111.6694
5.080000 77.370 -112.9224
5.150000 77.123 -113.7118
5.220000 76.840 -114.2531
5.300000 76.484 -114.6076
5.380000 76.127 -114.6926
5.450000 75.841 -114.5562
5.520000 75.600 -114.2115
5.600000 75.348 -113.3863
5.700000 75.073 -111.9556
5.800000 74.869 -110.5234
5.900000 74.767 -109.4862
6.000000 74.781 -108.5573
6.080000 74.847 -107.9634
6.150000 74.923 -107.6707
6.220000 74.998 -107.6870
6.300000 75.091 -108.1349
6.400000 75.240 -109.2074
6.500000 75.389 -110.7026
6.600000 75.500 -112.4655
6.700000 75.571 -114.5980
6.800000 75.615 -117.0767
6.900000 75.630 -119.6660
7.000000 75.608 -122.1761
7.100000 75.545 -124.7759
7.200000 75.453 -127.3646
7.300000 75.348 -129.7567
7.400000 75.231 -131.8633
7.500000 75.090 -133.7908
7.620000 74.925 -135.7870
7.750000 74.794 -137.4305
7.880000 74.691 -138.5006
8.000000 74.645 -139.1843
8.120000 74.677 -139.7216
8.250000 74.794 -139.9991
8.380000 74.972 -140.2557
8.500000 75.182 -140.7127
8.620000 75.447 -141.2773
8.750000 75.751 -142.0448
8.850000 75.974 -142.7897
9.000000 76.315 -144.1631
9.120000 76.569 -145.3439
9.250000 76.808 -146.6266
9.380000 77.017 -147.9638
9.500000 77.185 -149.1191
9.620000 77.326 -150.1354
9.750000 77.449 -151.1292
9.880000 77.557 -151.9618
10.000000 77.645 -152.5523
10.150000 77.739 -153.0894
10.300000 77.832 -153.4703
10.440000 77.918 -153.6617
10.600000 78.016 -153.7784
10.750000 78.110 -153.8582
10.900000 78.204 -153.8924
11.060000 78.294 -153.9443
11.200000 78.367 -154.0001
11.380000 78.446 -154.0693
11.500000 78.488 -154.1142
11.720000 78.548 -154.1834
11.800000 78.564 -154.1977
12.060000 78.600 -154.2251
12.200000 78.613 -154.2477
12.410000 78.624 -154.3027
12.500000 78.625 -154.3546
12.650000 78.623 -154.4733
12.800000 78.613 -154.6355
13.150000 78.555 -155.2011
13.200000 78.543 -155.2928
13.400000 78.482 -155.6896
13.600000 78.413 -156.0979
13.800000 78.337 -156.4983
14.000000 78.268 -156.9196
14.300000 78.182 -157.6228
14.500000 78.141 -158.2098
14.750000 78.103 -159.1192
15.000000 78.074 -160.2320
15.250000 78.044 -161.4985
15.500000 78.012 -162.8120
15.750000 77.982 -164.1089
16.000000 77.964 -165.3041
16.250000 77.971 -166.4068
16.500000 78.005 -167.4371
16.750000 78.067 -168.4448
17.000000 78.145 -169.4584
17.250000 78.232 -170.4636
17.500000 78.317 -171.4339
17.750000 78.396 -172.2982
18.000000 78.470 -173.0343
18.250000 78.543 -173.6183
18.500000 78.618 -174.0797
18.750000 78.694 -174.4548
19.000000 78.771 -174.7773
19.250000 78.841 -175.0804
19.500000 78.900 -175.3606
19.750000 78.946 -175.6161
20.000000 78.979 -175.8347
20.299999 79.005 -176.0590
20.600000 79.017 -176.2643
20.900000 79.018 -176.4832
21.200001 79.005 -176.7410
21.400000 78.989 -176.9334
21.799999 78.943 -177.3557
22.000000 78.916 -177.5857
22.400000 78.862 -178.1048
22.700001 78.828 -178.5876
23.000000 78.796 -179.1845
23.299999 78.764 -179.8875
23.600000 78.730 179.3401
24.000000 78.685 178.2756
24.299999 78.659 177.4923
24.700001 78.644 176.4734
25.000000 78.647 175.7134
25.400000 78.665 174.7044
25.799999 78.690 173.7497
26.200001 78.721 172.9177
26.500000 78.749 172.3905
26.900000 78.794 171.7982
27.200001 78.831 171.4134
27.600000 78.881 170.9593
28.000000 78.925 170.5677
28.500000 78.974 170.1415
29.000000 79.011 169.7082
29.500000 79.031 169.2082
30.000000 79.027 168.6537
30.400000 79.012 168.1860
30.700001 78.998 167.8120
31.100000 78.977 167.2590
31.500000 78.953 166.6374
32.000000 78.920 165.7938
32.500000 78.892 164.9153
33.000000 78.876 164.0025
33.500000 78.869 163.0511
34.000000 78.867 162.1047
34.500000 78.871 161.2173
35.000000 78.882 160.3956
35.500000 78.897 159.6219
36.000000 78.909 158.8975
36.500000 78.915 158.2292
37.000000 78.916 157.6042
37.500000 78.906 157.0113
38.200001 78.879 156.2522
38.700001 78.858 155.7418
39.500000 78.826 154.8454
40.000000 78.802 154.2218
40.599998 78.770 153.4501
41.200001 78.742 152.6545
41.799999 78.715 151.8386
42.500000 78.684 150.9246
43.099998 78.664 150.1906
43.700001 78.648 149.4846
44.400002 78.633 148.7181
45.000000 78.627 148.0885
45.500000 78.623 147.5318
46.200001 78.606 146.7309
46.799999 78.584 146.1162
47.500000 78.572 145.4429
48.200001 78.570 144.6622
48.700001 78.560 144.0495
49.400002 78.538 143.2268
50.000000 78.521 142.5515
50.799999 78.497 141.5808
51.500000 78.454 140.7346
52.200001 78.403 140.0257
53.000000 78.358 139.2856
53.799999 78.318 138.4819
54.500000 78.283 137.7527
55.200001 78.248 136.9835
56.000000 78.202 136.1078
57.000000 78.158 135.1224
58.000000 78.124 134.0975
59.000000 78.086 133.1721
60.000000 78.054 132.2453
60.799999 78.017 131.5154
61.500000 77.984 130.8911
62.200001 77.946 130.2379
63.000000 77.898 129.5390
64.000000 77.858 128.6238
65.000000 77.806 127.6146
66.000000 77.763 126.7634
67.000000 77.735 125.8044
68.000000 77.686 124.8958
69.000000 77.644 124.0288
70.000000 77.582 123.1634
71.000000 77.538 122.4294
72.000000 77.503 121.4667
73.000000 77.445 120.5216
74.000000 77.392 119.6093
75.000000 77.332 118.7840
76.199997 77.281 117.7473
77.500000 77.179 116.7180
78.800003 77.131 115.7670
80.000000 77.047 114.7249
81.199997 76.992 113.8354
82.500000 76.909 112.7752
83.800003 76.853 111.8243
85.000000 76.772 110.8561
86.199997 76.706 110.0485
87.500000 76.632 109.0600
88.500000 76.578 108.3517
90.000000 76.492 107.2495
91.199997 76.431 106.4991
92.500000 76.363 105.5507
93.800003 76.285 104.7417
95.000000 76.215 103.9069
96.199997 76.142 103.1666
97.500000 76.063 102.3252
98.800003 75.998 101.5867
100.000000 75.919 100.7868
101.500000 75.842 100.0280
103.000000 75.743 99.1265
104.400002 75.688 98.3627
106.000000 75.602 97.4886
107.500000 75.546 96.5696
109.000000 75.469 95.8010
110.599998 75.388 94.7844
112.000000 75.317 94.0114
113.800003 75.206 92.9815
115.000000 75.147 92.3446
117.199997 75.032 91.2048
118.000000 74.992 90.7786
120.599998 74.839 89.4518
122.000000 74.759 88.7670
124.099998 74.658 87.8923
125.000000 74.614 87.4292
126.500000 74.518 86.7339
128.000000 74.441 86.1244
131.500000 74.310 84.6902
132.000000 74.281 84.4431
134.000000 74.181 83.7569
136.000000 74.103 82.9369
138.000000 74.010 81.9984
140.000000 73.942 81.1472
143.000000 73.792 79.9144
145.000000 73.705 79.1579
147.500000 73.594 78.1961
150.000000 73.477 77.3797
152.500000 73.343 76.5056
155.000000 73.254 75.6563
157.500000 73.134 74.7559
160.000000 73.047 73.9876
162.500000 72.937 73.1035
165.000000 72.831 72.4600
167.500000 72.711 71.7921
170.000000 72.626 71.2107
172.500000 72.529 70.6920
175.000000 72.439 70.0820
177.500000 72.368 69.5262
180.000000 72.305 69.0179
182.500000 72.266 68.3114
185.000000 72.199 67.6647
187.500000 72.129 66.9840
190.000000 72.063 66.1624
192.500000 72.003 65.5120
195.000000 71.894 64.8606
197.500000 71.827 64.1637
200.000000 71.730 63.6929
203.000000 71.639 62.8648
206.000000 71.567 62.2340
209.000000 71.471 61.6450
212.000000 71.367 61.2010
214.000000 71.333 60.9228
218.000000 71.213 60.1698
220.000000 71.144 59.7401
224.000000 71.047 59.2822
227.000000 70.950 58.7063
230.000000 70.893 58.2650
233.000000 70.822 58.0512
236.000000 70.742 57.8239
240.000000 70.645 57.3548
243.000000 70.608 57.1061
247.000000 70.551 57.0257
250.000000 70.511 56.6744
254.000000 70.508 56.2823
258.000000 70.517 55.7000
262.000000 70.484 55.0102
265.000000 70.442 54.6053
269.000000 70.366 54.1349
272.000000 70.334 53.7427
276.000000 70.284 53.2159
280.000000 70.229 52.7556
285.000000 70.194 52.1720
290.000000 70.126 51.7516
295.000000 70.085 51.2213
300.000000 70.035 50.8722
304.000000 70.005 50.5816
307.000000 69.970 50.2595
311.000000 69.935 49.9021
315.000000 69.921 49.6117
320.000000 69.881 49.0698
325.000000 69.837 48.6161
330.000000 69.817 48.5252
335.000000 69.810 48.1645
340.000000 69.766 47.7212
