* Measurement data measured by REW V5.20.13
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), R, volume: 0,250
* Format: 256k Log Swept Sine, 1 sweep at -12,0 dBFS with no timing reference
* Dated: 17:25:17 21-07-2024
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: MiM DM 2.5 300+300 Hana L
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 84.226 122.3804
1.015000 84.039 121.5095
1.030000 83.844 120.6364
1.044000 83.654 119.8194
1.060000 83.428 118.8829
1.075000 83.207 118.0021
1.090000 82.976 117.1183
1.106000 82.719 116.1331
1.120000 82.486 115.0255
1.138000 82.178 113.2532
1.150000 81.967 111.8859
1.172000 81.568 109.0717
1.180000 81.419 107.9700
1.206000 80.921 104.2007
1.220000 80.644 102.1057
1.241000 80.218 98.9676
1.250000 80.032 97.6483
1.265000 79.716 95.5163
1.280000 79.393 93.5031
1.315000 78.616 89.4972
1.320000 78.502 89.0261
1.340000 78.039 87.4552
1.360000 77.566 86.4585
1.380000 77.083 86.1326
1.400000 76.589 86.5742
1.430000 75.829 88.8876
1.450000 75.310 91.6716
1.475000 74.638 96.7895
1.500000 73.856 104.3454
1.525000 72.967 114.1434
1.550000 71.997 125.8029
1.575000 70.972 138.9427
1.600000 69.918 153.1821
1.625000 68.861 168.1400
1.650000 67.826 -176.5643
1.675000 66.841 -161.3118
1.700000 65.929 -146.4834
1.725000 65.119 -132.4600
1.750000 64.435 -119.6225
1.775000 63.903 -108.3517
1.800000 63.549 -99.0287
1.825000 63.400 -92.0341
1.850000 63.486 -87.4570
1.875000 63.814 -84.6819
1.900000 64.351 -83.4821
1.925000 65.067 -83.6548
1.950000 65.929 -84.9974
1.975000 66.906 -87.3073
2.000000 67.963 -90.3816
2.030000 69.295 -94.7946
2.060000 70.643 -99.6664
2.090000 71.950 -104.6468
2.120000 73.163 -109.3855
2.140000 73.890 -112.2375
2.180000 75.078 -116.7371
2.200000 75.507 -118.1830
2.240000 76.160 -120.5094
2.270000 76.535 -122.1525
2.300000 76.823 -123.7158
2.330000 77.036 -125.2060
2.360000 77.185 -126.6297
2.400000 77.303 -128.4362
2.430000 77.347 -129.7307
2.470000 77.365 -131.3892
2.500000 77.364 -132.5909
2.540000 77.364 -134.1497
2.580000 77.382 -135.6804
2.620000 77.367 -137.2390
2.650000 77.325 -138.4106
2.690000 77.232 -139.9399
2.720000 77.137 -141.0374
2.760000 76.978 -142.3983
2.800000 76.786 -143.6005
2.850000 76.505 -144.8110
2.900000 76.186 -145.6140
2.950000 75.825 -145.9586
3.000000 75.357 -146.0938
3.040000 74.918 -146.0423
3.070000 74.565 -145.8769
3.110000 74.079 -145.4459
3.150000 73.595 -144.7272
3.200000 73.025 -143.3458
3.250000 72.533 -141.3337
3.300000 72.160 -138.5880
3.350000 71.867 -134.6649
3.400000 71.617 -129.5884
3.450000 71.419 -123.7819
3.500000 71.284 -117.6686
3.550000 71.222 -111.6719
3.600000 71.242 -106.2153
3.650000 71.355 -101.7221
3.700000 71.592 -98.3156
3.750000 71.985 -95.4643
3.820000 72.713 -92.2783
3.870000 73.297 -90.5189
3.950000 74.217 -88.4778
4.000000 74.711 -87.6178
4.060000 75.169 -87.0120
4.120000 75.568 -87.1547
4.180000 75.921 -87.9052
4.250000 76.275 -89.2726
4.310000 76.527 -90.6294
4.370000 76.729 -91.9378
4.440000 76.898 -93.3080
4.500000 76.982 -94.6554
4.550000 77.012 -95.8627
4.620000 77.004 -97.5794
4.680000 76.956 -98.9805
4.750000 76.862 -100.4096
4.820000 76.719 -101.6404
4.870000 76.576 -102.4982
4.940000 76.334 -103.5935
5.000000 76.100 -104.3633
5.080000 75.772 -105.0282
5.150000 75.487 -105.1647
5.220000 75.161 -104.8941
5.300000 74.756 -104.1741
5.380000 74.365 -103.1008
5.450000 74.073 -101.9415
5.520000 73.859 -100.6006
5.600000 73.681 -98.5290
5.700000 73.539 -95.4961
5.800000 73.490 -92.6641
5.900000 73.541 -90.6821
6.000000 73.731 -89.2440
6.080000 73.943 -88.4481
6.150000 74.134 -88.0630
6.220000 74.301 -88.0122
6.300000 74.468 -88.4458
6.400000 74.678 -89.6581
6.500000 74.861 -91.3434
6.600000 74.986 -93.2123
6.700000 75.046 -95.3648
6.800000 75.055 -97.8224
6.900000 75.023 -100.3302
7.000000 74.953 -102.6797
7.100000 74.830 -105.0364
7.200000 74.673 -107.3190
7.300000 74.509 -109.3632
7.400000 74.342 -111.0730
7.500000 74.155 -112.5341
7.620000 73.948 -113.9703
7.750000 73.802 -115.1078
7.880000 73.714 -115.7154
8.000000 73.698 -116.0964
8.120000 73.766 -116.5533
8.250000 73.937 -116.9769
8.380000 74.166 -117.5306
8.500000 74.402 -118.3556
8.620000 74.681 -119.4210
8.750000 74.989 -120.7451
8.850000 75.205 -121.8532
9.000000 75.517 -123.7379
9.120000 75.744 -125.2495
9.250000 75.955 -126.7643
9.380000 76.135 -128.2251
9.500000 76.283 -129.4131
9.620000 76.415 -130.3784
9.750000 76.539 -131.2230
9.880000 76.661 -131.8706
10.000000 76.777 -132.2694
10.150000 76.923 -132.5340
10.300000 77.081 -132.6941
10.440000 77.243 -132.7282
10.600000 77.434 -132.7218
10.750000 77.613 -132.7620
10.900000 77.793 -132.8132
11.060000 77.967 -132.8997
11.200000 78.107 -133.0084
11.380000 78.267 -133.1305
11.500000 78.357 -133.1916
11.720000 78.501 -133.2549
11.800000 78.547 -133.2512
12.060000 78.677 -133.1718
12.200000 78.740 -133.1150
12.410000 78.824 -133.0221
12.500000 78.856 -133.0024
12.650000 78.904 -132.9910
12.800000 78.944 -133.0064
13.150000 78.993 -133.1567
13.200000 78.996 -133.1815
13.400000 78.996 -133.2875
13.600000 78.986 -133.3904
13.800000 78.970 -133.4758
14.000000 78.958 -133.5960
14.300000 78.950 -133.8816
14.500000 78.952 -134.2176
14.750000 78.953 -134.8188
15.000000 78.948 -135.6175
15.250000 78.929 -136.5404
15.500000 78.903 -137.4952
15.750000 78.876 -138.4336
16.000000 78.861 -139.3082
16.250000 78.871 -140.1596
16.500000 78.905 -141.0160
16.750000 78.963 -141.9286
17.000000 79.033 -142.8958
17.250000 79.109 -143.8877
17.500000 79.184 -144.8580
17.750000 79.258 -145.7336
18.000000 79.333 -146.4968
18.250000 79.413 -147.1301
18.500000 79.501 -147.6635
18.750000 79.593 -148.1215
19.000000 79.687 -148.5264
19.250000 79.776 -148.8882
19.500000 79.859 -149.1983
19.750000 79.933 -149.4519
20.000000 79.999 -149.6452
20.299999 80.071 -149.8213
20.600000 80.132 -149.9652
20.900000 80.182 -150.1063
21.200001 80.217 -150.2562
21.400000 80.232 -150.3533
21.799999 80.243 -150.5313
22.000000 80.244 -150.6167
22.400000 80.242 -150.8163
22.700001 80.240 -151.0384
23.000000 80.234 -151.3528
23.299999 80.222 -151.7474
23.600000 80.203 -152.1921
24.000000 80.176 -152.8161
24.299999 80.161 -153.2939
24.700001 80.155 -153.9634
25.000000 80.160 -154.5060
25.400000 80.177 -155.2737
25.799999 80.200 -156.0366
26.200001 80.231 -156.7379
26.500000 80.262 -157.2143
26.900000 80.313 -157.7952
27.200001 80.354 -158.1973
27.600000 80.409 -158.6826
28.000000 80.461 -159.0929
28.500000 80.519 -159.5009
29.000000 80.568 -159.8308
29.500000 80.603 -160.1045
30.000000 80.624 -160.3239
30.400000 80.636 -160.4871
30.700001 80.642 -160.6288
31.100000 80.646 -160.8659
31.500000 80.640 -161.1497
32.000000 80.623 -161.5244
32.500000 80.607 -161.8987
33.000000 80.600 -162.3121
33.500000 80.601 -162.7970
34.000000 80.605 -163.3239
34.500000 80.612 -163.8400
35.000000 80.625 -164.3238
35.500000 80.644 -164.7735
36.000000 80.667 -165.1849
36.500000 80.691 -165.5574
37.000000 80.714 -165.8964
37.500000 80.732 -166.2002
38.200001 80.750 -166.5640
38.700001 80.759 -166.8049
39.500000 80.763 -167.2034
40.000000 80.760 -167.4521
40.599998 80.756 -167.7619
41.200001 80.752 -168.1098
41.799999 80.746 -168.4698
42.500000 80.742 -168.8734
43.099998 80.746 -169.2371
43.700001 80.748 -169.6092
44.400002 80.750 -169.9979
45.000000 80.755 -170.3042
45.500000 80.759 -170.5599
46.200001 80.761 -170.9028
46.799999 80.762 -171.1908
47.500000 80.757 -171.5297
48.200001 80.749 -171.7975
48.700001 80.753 -171.9661
49.400002 80.770 -172.3192
50.000000 80.770 -172.7176
50.799999 80.747 -173.1121
51.500000 80.741 -173.3144
52.200001 80.746 -173.5712
53.000000 80.741 -173.8937
53.799999 80.734 -174.1490
54.500000 80.732 -174.4224
55.200001 80.717 -174.7228
56.000000 80.697 -174.9744
57.000000 80.694 -175.3486
58.000000 80.672 -175.7974
59.000000 80.657 -176.0810
60.000000 80.651 -176.4309
60.799999 80.630 -176.6614
61.500000 80.614 -176.7647
62.200001 80.607 -176.8593
63.000000 80.599 -177.0177
64.000000 80.580 -177.2245
65.000000 80.563 -177.3713
66.000000 80.564 -177.4818
67.000000 80.588 -177.6912
68.000000 80.601 -178.0452
69.000000 80.599 -178.3323
70.000000 80.605 -178.5846
71.000000 80.604 -178.9594
72.000000 80.572 -179.2787
73.000000 80.552 -179.4311
74.000000 80.546 -179.7067
75.000000 80.522 -179.9782
76.199997 80.504 179.7815
77.500000 80.477 179.4969
78.800003 80.449 179.3060
80.000000 80.431 179.2290
81.199997 80.446 179.0239
82.500000 80.428 178.6390
83.800003 80.412 178.4770
85.000000 80.407 178.3130
86.199997 80.402 178.1463
87.500000 80.382 177.9439
88.500000 80.366 177.8985
90.000000 80.351 177.7055
91.199997 80.334 177.7337
92.500000 80.362 177.6006
93.800003 80.361 177.3339
95.000000 80.368 177.1352
96.199997 80.370 176.8493
97.500000 80.360 176.5285
98.800003 80.348 176.3272
100.000000 80.350 176.0526
101.500000 80.316 175.7750
103.000000 80.306 175.5734
104.400002 80.284 175.3226
106.000000 80.260 175.1036
107.500000 80.249 174.8110
109.000000 80.212 174.5798
110.599998 80.191 174.4138
112.000000 80.171 174.1967
113.800003 80.142 174.0237
115.000000 80.125 173.8821
117.199997 80.100 173.5765
118.000000 80.083 173.4818
120.599998 80.040 173.2585
122.000000 80.012 173.1481
124.099998 79.987 172.9805
125.000000 79.972 172.9361
126.500000 79.948 172.7817
128.000000 79.911 172.7336
131.500000 79.852 172.6853
132.000000 79.847 172.6688
134.000000 79.829 172.7041
136.000000 79.809 172.7330
138.000000 79.827 172.7270
140.000000 79.824 172.6469
143.000000 79.830 172.4448
145.000000 79.818 172.1853
147.500000 79.803 171.9541
150.000000 79.792 171.6796
152.500000 79.776 171.4523
155.000000 79.755 171.2260
157.500000 79.723 171.0371
160.000000 79.689 170.8634
162.500000 79.654 170.7330
165.000000 79.624 170.5740
167.500000 79.598 170.4886
170.000000 79.574 170.4000
172.500000 79.559 170.4624
175.000000 79.549 170.4140
177.500000 79.558 170.2812
180.000000 79.542 170.0432
182.500000 79.534 169.9021
185.000000 79.512 169.6559
187.500000 79.484 169.5652
190.000000 79.461 169.3920
192.500000 79.432 169.2509
195.000000 79.408 169.1315
197.500000 79.376 169.0301
200.000000 79.355 168.9315
203.000000 79.326 168.8735
206.000000 79.305 168.7226
209.000000 79.275 168.6187
212.000000 79.253 168.5212
214.000000 79.240 168.4502
218.000000 79.199 168.3288
220.000000 79.181 168.2638
224.000000 79.144 168.1021
227.000000 79.121 168.0599
230.000000 79.092 168.0392
233.000000 79.068 168.0145
236.000000 79.044 167.9421
240.000000 79.012 167.8853
243.000000 79.002 167.9016
247.000000 78.975 167.7672
250.000000 78.962 167.6622
254.000000 78.933 167.6787
258.000000 78.901 167.5471
262.000000 78.872 167.5109
265.000000 78.854 167.4427
269.000000 78.831 167.3224
272.000000 78.813 167.3046
276.000000 78.780 167.1799
280.000000 78.749 167.1358
285.000000 78.715 167.0451
290.000000 78.684 166.9799
295.000000 78.646 166.9672
300.000000 78.606 166.8995
304.000000 78.587 166.9057
307.000000 78.566 166.8712
