* Measurement data measured by REW V5.20.13
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), R, volume: 0,250
* Format: 256k Log Swept Sine, 1 sweep at -12,0 dBFS with no timing reference
* Dated: 17:26:20 21-07-2024
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: MiM DM 2.5 300+300 Hana R
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 84.195 122.8175
1.015000 84.007 121.9580
1.030000 83.810 121.0971
1.044000 83.618 120.2921
1.060000 83.390 119.3703
1.075000 83.166 118.5041
1.090000 82.932 117.6358
1.106000 82.672 116.6692
1.120000 82.435 115.5846
1.138000 82.119 113.8514
1.150000 81.902 112.5153
1.172000 81.490 109.7670
1.180000 81.336 108.6915
1.206000 80.820 105.0133
1.220000 80.533 102.9696
1.241000 80.091 99.9093
1.250000 79.898 98.6230
1.265000 79.571 96.5447
1.280000 79.238 94.5827
1.315000 78.440 90.6808
1.320000 78.323 90.2223
1.340000 77.852 88.6942
1.360000 77.373 87.7266
1.380000 76.886 87.4138
1.400000 76.392 87.8500
1.430000 75.641 90.1152
1.450000 75.134 92.8367
1.475000 74.484 97.8356
1.500000 73.737 105.2063
1.525000 72.895 114.7581
1.550000 71.981 126.1213
1.575000 71.019 138.9265
1.600000 70.033 152.8040
1.625000 69.047 167.3842
1.650000 68.084 -177.7025
1.675000 67.170 -162.8256
1.700000 66.327 -148.3547
1.725000 65.580 -134.6595
1.750000 64.953 -122.1095
1.775000 64.469 -111.0743
1.800000 64.152 -101.9236
1.825000 64.026 -95.0267
1.850000 64.121 -90.4657
1.875000 64.445 -87.6353
1.900000 64.970 -86.3179
1.925000 65.663 -86.3202
1.950000 66.495 -87.4486
1.975000 67.435 -89.5097
2.000000 68.453 -92.3098
2.030000 69.733 -96.3733
2.060000 71.027 -100.8881
2.090000 72.283 -105.5199
2.120000 73.448 -109.9343
2.140000 74.147 -112.5914
2.180000 75.290 -116.7737
2.200000 75.704 -118.1064
2.240000 76.337 -120.2638
2.270000 76.701 -121.8128
2.300000 76.982 -123.3055
2.330000 77.191 -124.7443
2.360000 77.339 -126.1315
2.400000 77.458 -127.9054
2.430000 77.504 -129.1820
2.470000 77.526 -130.8173
2.500000 77.528 -131.9966
2.540000 77.531 -133.5110
2.580000 77.550 -134.9739
2.620000 77.535 -136.4578
2.650000 77.494 -137.5721
2.690000 77.402 -139.0235
2.720000 77.308 -140.0618
2.760000 77.152 -141.3430
2.800000 76.965 -142.4652
2.850000 76.693 -143.5757
2.900000 76.388 -144.2795
2.950000 76.047 -144.5216
3.000000 75.607 -144.5139
3.040000 75.193 -144.3275
3.070000 74.861 -144.0577
3.110000 74.405 -143.4939
3.150000 73.952 -142.6619
3.200000 73.421 -141.1866
3.250000 72.967 -139.1581
3.300000 72.629 -136.4994
3.350000 72.373 -132.7985
3.400000 72.164 -128.0621
3.450000 72.008 -122.6738
3.500000 71.912 -117.0169
3.550000 71.883 -111.4749
3.600000 71.927 -106.4312
3.650000 72.052 -102.2693
3.700000 72.284 -99.1002
3.750000 72.655 -96.4412
3.820000 73.333 -93.4631
3.870000 73.875 -91.8154
3.950000 74.729 -89.9037
4.000000 75.189 -89.1021
4.060000 75.622 -88.5451
4.120000 76.001 -88.6888
4.180000 76.341 -89.4023
4.250000 76.684 -90.6993
4.310000 76.930 -91.9901
4.370000 77.127 -93.2442
4.440000 77.292 -94.5746
4.500000 77.376 -95.8883
4.550000 77.408 -97.0681
4.620000 77.405 -98.7505
4.680000 77.363 -100.1288
4.750000 77.278 -101.5433
4.820000 77.145 -102.7697
4.870000 77.012 -103.6268
4.940000 76.785 -104.7290
5.000000 76.564 -105.5166
5.080000 76.256 -106.2293
5.150000 75.986 -106.4371
5.220000 75.678 -106.2682
5.300000 75.295 -105.6933
5.380000 74.924 -104.7856
5.450000 74.646 -103.7794
5.520000 74.438 -102.5952
5.600000 74.260 -100.7343
5.700000 74.111 -97.9847
5.800000 74.049 -95.4026
5.900000 74.086 -93.5825
6.000000 74.256 -92.2276
6.080000 74.450 -91.4602
6.150000 74.628 -91.0819
6.220000 74.786 -91.0287
6.300000 74.947 -91.4428
6.400000 75.154 -92.5960
6.500000 75.340 -94.2061
6.600000 75.471 -96.0076
6.700000 75.541 -98.0990
6.800000 75.566 -100.4952
6.900000 75.551 -102.9481
7.000000 75.498 -105.2551
7.100000 75.395 -107.5782
7.200000 75.259 -109.8367
7.300000 75.115 -111.8683
7.400000 74.967 -113.5808
7.500000 74.798 -115.0596
7.620000 74.610 -116.5261
7.750000 74.475 -117.6967
7.880000 74.393 -118.3483
8.000000 74.377 -118.7588
8.120000 74.441 -119.2125
8.250000 74.601 -119.6025
8.380000 74.817 -120.0993
8.500000 75.043 -120.8511
8.620000 75.313 -121.8190
8.750000 75.611 -123.0333
8.850000 75.822 -124.0664
9.000000 76.128 -125.8408
9.120000 76.352 -127.2779
9.250000 76.560 -128.7360
9.380000 76.737 -130.1600
9.500000 76.882 -131.3300
9.620000 77.009 -132.2947
9.750000 77.127 -133.1576
9.880000 77.240 -133.8301
10.000000 77.346 -134.2555
10.150000 77.477 -134.5591
10.300000 77.619 -134.7459
10.440000 77.764 -134.7928
10.600000 77.935 -134.7889
10.750000 78.098 -134.8158
10.900000 78.262 -134.8425
11.060000 78.424 -134.9026
11.200000 78.555 -134.9859
11.380000 78.705 -135.0833
11.500000 78.791 -135.1355
11.720000 78.928 -135.1962
11.800000 78.973 -135.1969
12.060000 79.097 -135.1485
12.200000 79.157 -135.1142
12.410000 79.236 -135.0622
12.500000 79.265 -135.0602
12.650000 79.310 -135.0793
12.800000 79.346 -135.1260
13.150000 79.388 -135.3515
13.200000 79.390 -135.3877
13.400000 79.385 -135.5413
13.600000 79.372 -135.6926
13.800000 79.351 -135.8274
14.000000 79.334 -135.9914
14.300000 79.317 -136.3289
14.500000 79.314 -136.6852
14.750000 79.309 -137.2978
15.000000 79.299 -138.0942
15.250000 79.278 -139.0082
15.500000 79.250 -139.9509
15.750000 79.222 -140.8756
16.000000 79.207 -141.7339
16.250000 79.214 -142.5635
16.500000 79.246 -143.3914
16.750000 79.301 -144.2685
17.000000 79.369 -145.1973
17.250000 79.443 -146.1505
17.500000 79.516 -147.0852
17.750000 79.586 -147.9289
18.000000 79.658 -148.6627
18.250000 79.733 -149.2676
18.500000 79.815 -149.7720
18.750000 79.903 -150.2022
19.000000 79.992 -150.5821
19.250000 80.078 -150.9267
19.500000 80.157 -151.2284
19.750000 80.227 -151.4827
20.000000 80.288 -151.6827
20.299999 80.352 -151.8682
20.600000 80.406 -152.0177
20.900000 80.449 -152.1585
21.200001 80.478 -152.3052
21.400000 80.488 -152.4019
21.799999 80.494 -152.5862
22.000000 80.492 -152.6776
22.400000 80.484 -152.8881
22.700001 80.477 -153.1104
23.000000 80.468 -153.4153
23.299999 80.454 -153.7956
23.600000 80.435 -154.2279
24.000000 80.409 -154.8468
24.299999 80.394 -155.3291
24.700001 80.386 -156.0051
25.000000 80.389 -156.5436
25.400000 80.401 -157.2882
25.799999 80.421 -158.0150
26.200001 80.451 -158.6820
26.500000 80.481 -159.1391
26.900000 80.529 -159.7010
27.200001 80.567 -160.0888
27.600000 80.618 -160.5502
28.000000 80.665 -160.9337
28.500000 80.720 -161.3187
29.000000 80.765 -161.6456
29.500000 80.793 -161.9239
30.000000 80.806 -162.1353
30.400000 80.813 -162.2811
30.700001 80.817 -162.4083
31.100000 80.819 -162.6327
31.500000 80.813 -162.9143
32.000000 80.795 -163.2963
32.500000 80.777 -163.6803
33.000000 80.767 -164.1022
33.500000 80.765 -164.5942
34.000000 80.763 -165.1196
34.500000 80.764 -165.6168
35.000000 80.774 -166.0671
35.500000 80.791 -166.4860
36.000000 80.813 -166.8829
36.500000 80.835 -167.2528
37.000000 80.853 -167.5854
37.500000 80.867 -167.8712
38.200001 80.883 -168.2072
38.700001 80.893 -168.4458
39.500000 80.896 -168.8732
40.000000 80.890 -169.1384
40.599998 80.882 -169.4490
41.200001 80.875 -169.7837
41.799999 80.868 -170.1295
42.500000 80.864 -170.5165
43.099998 80.866 -170.8633
43.700001 80.867 -171.2143
44.400002 80.867 -171.5670
45.000000 80.872 -171.8451
45.500000 80.875 -172.0976
46.200001 80.870 -172.4480
46.799999 80.862 -172.7073
47.500000 80.853 -173.0042
48.200001 80.839 -173.3013
48.700001 80.830 -173.4836
49.400002 80.827 -173.7189
50.000000 80.832 -173.9634
50.799999 80.837 -174.3497
51.500000 80.838 -174.6799
52.200001 80.838 -175.0033
53.000000 80.831 -175.3752
53.799999 80.814 -175.6656
54.500000 80.806 -175.8679
55.200001 80.803 -176.1329
56.000000 80.787 -176.4871
57.000000 80.762 -176.8345
58.000000 80.752 -177.1897
59.000000 80.735 -177.5894
60.000000 80.718 -177.8915
60.799999 80.708 -178.1699
61.500000 80.687 -178.4152
62.200001 80.663 -178.5709
63.000000 80.645 -178.7838
64.000000 80.600 -179.1159
65.000000 80.552 -179.2861
66.000000 80.503 -179.4640
67.000000 80.460 -179.4367
68.000000 80.418 -179.4127
69.000000 80.388 -178.8469
70.000000 80.486 -178.4695
71.000000 80.541 -178.7056
72.000000 80.598 -178.7573
73.000000 80.649 -179.2970
74.000000 80.632 -179.6223
75.000000 80.661 -179.8790
76.199997 80.647 179.5502
77.500000 80.623 179.2661
78.800003 80.603 178.9554
80.000000 80.598 178.7259
81.199997 80.594 178.3350
82.500000 80.574 178.0107
83.800003 80.565 177.6680
85.000000 80.546 177.4004
86.199997 80.528 177.1677
87.500000 80.515 176.9131
88.500000 80.497 176.6567
90.000000 80.468 176.3656
91.199997 80.449 176.1659
92.500000 80.437 175.9359
93.800003 80.414 175.6979
95.000000 80.390 175.5131
96.199997 80.360 175.3483
97.500000 80.339 175.2254
98.800003 80.314 174.9873
100.000000 80.289 174.9236
101.500000 80.262 174.7485
103.000000 80.241 174.7098
104.400002 80.218 174.6183
106.000000 80.195 174.4836
107.500000 80.188 174.4121
109.000000 80.178 174.2875
110.599998 80.163 174.0659
112.000000 80.161 174.0199
113.800003 80.141 173.8770
115.000000 80.142 173.7386
117.199997 80.121 173.6185
118.000000 80.115 173.5736
120.599998 80.123 173.3661
122.000000 80.118 173.1962
124.099998 80.114 172.8461
125.000000 80.104 172.7527
126.500000 80.095 172.5404
128.000000 80.078 172.3431
131.500000 80.032 171.9403
132.000000 80.029 171.8956
134.000000 79.998 171.6659
136.000000 79.982 171.4686
138.000000 79.958 171.3427
140.000000 79.930 171.1314
143.000000 79.891 170.8692
145.000000 79.863 170.7445
147.500000 79.834 170.6013
150.000000 79.794 170.4383
152.500000 79.766 170.2535
155.000000 79.738 170.1095
157.500000 79.695 170.0095
160.000000 79.669 169.8944
162.500000 79.646 169.8241
165.000000 79.622 169.7673
167.500000 79.603 169.7534
170.000000 79.589 169.6212
172.500000 79.570 169.5288
175.000000 79.560 169.3819
177.500000 79.541 169.2587
180.000000 79.520 169.1282
182.500000 79.498 168.9772
185.000000 79.479 168.8615
187.500000 79.452 168.7815
190.000000 79.427 168.6505
192.500000 79.400 168.5714
195.000000 79.377 168.4935
197.500000 79.357 168.4097
200.000000 79.340 168.3104
203.000000 79.305 168.1774
206.000000 79.288 168.0331
209.000000 79.265 167.9232
212.000000 79.239 167.8525
214.000000 79.221 167.7641
218.000000 79.185 167.6218
220.000000 79.168 167.5567
224.000000 79.127 167.4804
227.000000 79.102 167.4541
230.000000 79.083 167.3247
233.000000 79.048 167.2563
236.000000 79.029 167.2116
240.000000 78.992 167.1322
243.000000 78.970 167.0945
247.000000 78.933 166.9597
250.000000 78.919 166.8861
254.000000 78.881 166.8094
258.000000 78.848 166.7821
262.000000 78.822 166.7503
265.000000 78.792 166.7260
269.000000 78.765 166.6170
272.000000 78.745 166.6323
276.000000 78.713 166.5782
280.000000 78.676 166.5400
285.000000 78.644 166.4457
290.000000 78.604 166.3815
295.000000 78.572 166.3331
300.000000 78.543 166.3629
304.000000 78.504 166.3318
307.000000 78.489 166.2754
