* Measurement data measured by REW V5.20.13
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), R, volume: 0,250
* Format: 256k Log Swept Sine, 1 sweep at -12,0 dBFS with no timing reference
* Dated: 16:07:58 21-07-2024
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: MiM DM 2.5 300+300 Hana R
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 84.172 122.5841
1.015000 83.982 121.7186
1.030000 83.784 120.8512
1.044000 83.592 120.0398
1.060000 83.362 119.1100
1.075000 83.137 118.2359
1.090000 82.901 117.3591
1.106000 82.639 116.3825
1.120000 82.399 115.2866
1.138000 82.079 113.5356
1.150000 81.858 112.1857
1.172000 81.437 109.4090
1.180000 81.280 108.3224
1.206000 80.753 104.6055
1.220000 80.460 102.5401
1.241000 80.009 99.4466
1.250000 79.811 98.1462
1.265000 79.478 96.0446
1.280000 79.138 94.0601
1.315000 78.326 90.1101
1.320000 78.208 89.6454
1.340000 77.732 88.0952
1.360000 77.249 87.1097
1.380000 76.760 86.7843
1.400000 76.268 87.2139
1.430000 75.523 89.4823
1.450000 75.024 92.2159
1.475000 74.389 97.2432
1.500000 73.666 104.6621
1.525000 72.855 114.2800
1.550000 71.978 125.7243
1.575000 71.058 138.6223
1.600000 70.118 152.6011
1.625000 69.179 167.2879
1.650000 68.265 -177.6899
1.675000 67.399 -162.7053
1.700000 66.602 -148.1308
1.725000 65.897 -134.3394
1.750000 65.307 -121.7039
1.775000 64.854 -110.5968
1.800000 64.561 -101.3911
1.825000 64.450 -94.4594
1.850000 64.550 -89.8851
1.875000 64.871 -87.0589
1.900000 65.385 -85.7611
1.925000 66.061 -85.7962
1.950000 66.872 -86.9683
1.975000 67.786 -89.0819
2.000000 68.775 -91.9412
2.030000 70.018 -96.0813
2.060000 71.274 -100.6755
2.090000 72.493 -105.3855
2.120000 73.623 -109.8733
2.140000 74.303 -112.5748
2.180000 75.414 -116.8298
2.200000 75.816 -118.1887
2.240000 76.435 -120.3870
2.270000 76.791 -121.9608
2.300000 77.067 -123.4738
2.330000 77.273 -124.9294
2.360000 77.419 -126.3309
2.400000 77.539 -128.1207
2.430000 77.586 -129.4081
2.470000 77.610 -131.0577
2.500000 77.614 -132.2488
2.540000 77.617 -133.7815
2.580000 77.635 -135.2669
2.620000 77.619 -136.7733
2.650000 77.577 -137.9039
2.690000 77.484 -139.3770
2.720000 77.390 -140.4317
2.760000 77.234 -141.7356
2.800000 77.047 -142.8818
2.850000 76.775 -144.0252
2.900000 76.469 -144.7662
2.950000 76.126 -145.0518
3.000000 75.683 -145.0991
3.040000 75.269 -144.9633
3.070000 74.935 -144.7334
3.110000 74.477 -144.2234
3.150000 74.022 -143.4435
3.200000 73.487 -142.0272
3.250000 73.028 -140.0460
3.300000 72.682 -137.4179
3.350000 72.416 -133.7315
3.400000 72.194 -128.9978
3.450000 72.023 -123.6023
3.500000 71.912 -117.9306
3.550000 71.868 -112.3682
3.600000 71.901 -107.3007
3.650000 72.016 -103.1137
3.700000 72.244 -99.9160
3.750000 72.613 -97.2184
3.820000 73.294 -94.1760
3.870000 73.840 -92.4805
3.950000 74.700 -90.5002
4.000000 75.164 -89.6667
4.060000 75.599 -89.0883
4.120000 75.982 -89.2238
4.180000 76.326 -89.9389
4.250000 76.673 -91.2466
4.310000 76.922 -92.5511
4.370000 77.123 -93.8199
4.440000 77.292 -95.1674
4.500000 77.378 -96.4989
4.550000 77.413 -97.6959
4.620000 77.412 -99.4054
4.680000 77.372 -100.8097
4.750000 77.289 -102.2571
4.820000 77.158 -103.5197
4.870000 77.026 -104.4052
4.940000 76.800 -105.5500
5.000000 76.581 -106.3760
5.080000 76.272 -107.1414
5.150000 76.001 -107.3965
5.220000 75.691 -107.2809
5.300000 75.304 -106.7712
5.380000 74.928 -105.9254
5.450000 74.644 -104.9648
5.520000 74.431 -103.8130
5.600000 74.243 -101.9774
5.700000 74.081 -99.2450
5.800000 74.008 -96.6654
5.900000 74.037 -94.8326
6.000000 74.202 -93.4425
6.080000 74.394 -92.6379
6.150000 74.571 -92.2270
6.220000 74.728 -92.1464
6.300000 74.890 -92.5358
6.400000 75.102 -93.6613
6.500000 75.293 -95.2481
6.600000 75.429 -97.0317
6.700000 75.506 -99.1116
6.800000 75.538 -101.5016
6.900000 75.530 -103.9522
7.000000 75.486 -106.2595
7.100000 75.391 -108.5860
7.200000 75.264 -110.8513
7.300000 75.127 -112.8935
7.400000 74.987 -114.6206
7.500000 74.826 -116.1182
7.620000 74.647 -117.6113
7.750000 74.520 -118.8146
7.880000 74.444 -119.5062
8.000000 74.431 -119.9519
8.120000 74.495 -120.4321
8.250000 74.654 -120.8453
8.380000 74.866 -121.3547
8.500000 75.088 -122.1040
8.620000 75.352 -123.0570
8.750000 75.645 -124.2449
8.850000 75.851 -125.2514
9.000000 76.151 -126.9738
9.120000 76.371 -128.3632
9.250000 76.574 -129.7663
9.380000 76.748 -131.1299
9.500000 76.891 -132.2445
9.620000 77.019 -133.1554
9.750000 77.136 -133.9604
9.880000 77.251 -134.5823
10.000000 77.360 -134.9694
10.150000 77.496 -135.2349
10.300000 77.642 -135.3991
10.440000 77.791 -135.4407
10.600000 77.966 -135.4432
10.750000 78.130 -135.4867
10.900000 78.295 -135.5388
11.060000 78.455 -135.6244
11.200000 78.582 -135.7303
11.380000 78.727 -135.8494
11.500000 78.809 -135.9093
11.720000 78.938 -135.9724
11.800000 78.980 -135.9697
12.060000 79.096 -135.8974
12.200000 79.153 -135.8476
12.410000 79.230 -135.7707
12.500000 79.259 -135.7609
12.650000 79.303 -135.7700
12.800000 79.339 -135.8117
13.150000 79.383 -136.0494
13.200000 79.384 -136.0887
13.400000 79.379 -136.2597
13.600000 79.364 -136.4282
13.800000 79.341 -136.5772
14.000000 79.322 -136.7500
14.300000 79.302 -137.0909
14.500000 79.298 -137.4467
14.750000 79.294 -138.0651
15.000000 79.287 -138.8789
15.250000 79.268 -139.8284
15.500000 79.240 -140.8196
15.750000 79.208 -141.7993
16.000000 79.184 -142.7046
16.250000 79.180 -143.5544
16.500000 79.198 -144.3675
16.750000 79.240 -145.1851
17.000000 79.299 -146.0184
17.250000 79.368 -146.8518
17.500000 79.444 -147.6586
17.750000 79.524 -148.3925
18.000000 79.609 -149.0460
18.250000 79.701 -149.6121
18.500000 79.798 -150.1187
18.750000 79.897 -150.5801
19.000000 79.993 -151.0093
19.250000 80.081 -151.3995
19.500000 80.159 -151.7351
19.750000 80.226 -152.0059
20.000000 80.285 -152.2066
20.299999 80.348 -152.3838
20.600000 80.403 -152.5265
20.900000 80.448 -152.6707
21.200001 80.478 -152.8312
21.400000 80.489 -152.9389
21.799999 80.494 -153.1425
22.000000 80.491 -153.2405
22.400000 80.483 -153.4621
22.700001 80.476 -153.6975
23.000000 80.467 -154.0240
23.299999 80.452 -154.4297
23.600000 80.431 -154.8838
24.000000 80.401 -155.5154
24.299999 80.385 -155.9946
24.700001 80.377 -156.6626
25.000000 80.381 -157.2040
25.400000 80.396 -157.9702
25.799999 80.414 -158.7245
26.200001 80.440 -159.4004
26.500000 80.467 -159.8452
26.900000 80.514 -160.3753
27.200001 80.555 -160.7436
27.600000 80.610 -161.2015
28.000000 80.660 -161.6063
28.500000 80.712 -162.0186
29.000000 80.752 -162.3397
29.500000 80.778 -162.5919
30.000000 80.793 -162.7976
30.400000 80.799 -162.9613
30.700001 80.801 -163.1055
31.100000 80.797 -163.3405
31.500000 80.784 -163.6132
32.000000 80.760 -163.9702
32.500000 80.737 -164.3347
33.000000 80.722 -164.7364
33.500000 80.712 -165.1819
34.000000 80.709 -165.6338
34.500000 80.716 -166.0691
35.000000 80.735 -166.5024
35.500000 80.758 -166.9382
36.000000 80.783 -167.3489
36.500000 80.808 -167.7173
37.000000 80.831 -168.0553
37.500000 80.849 -168.3696
38.200001 80.864 -168.7479
38.700001 80.871 -168.9844
39.500000 80.873 -169.3727
40.000000 80.870 -169.6205
40.599998 80.866 -169.9285
41.200001 80.863 -170.2929
41.799999 80.854 -170.6990
42.500000 80.837 -171.1222
43.099998 80.831 -171.4280
43.700001 80.835 -171.7511
44.400002 80.840 -172.1713
45.000000 80.836 -172.5099
45.500000 80.832 -172.7466
46.200001 80.831 -173.0488
46.799999 80.830 -173.3391
47.500000 80.817 -173.6749
48.200001 80.802 -173.9136
48.700001 80.800 -174.0597
49.400002 80.806 -174.3371
50.000000 80.803 -174.6173
50.799999 80.794 -174.9200
51.500000 80.794 -175.1381
52.200001 80.798 -175.3959
53.000000 80.795 -175.7303
53.799999 80.782 -176.0230
54.500000 80.773 -176.2604
55.200001 80.765 -176.5383
56.000000 80.749 -176.8480
57.000000 80.742 -177.2436
58.000000 80.723 -177.7381
59.000000 80.698 -178.0027
60.000000 80.710 -178.3134
60.799999 80.700 -178.6994
61.500000 80.672 -178.9409
62.200001 80.651 -179.0818
63.000000 80.639 -179.3027
64.000000 80.604 -179.6807
65.000000 80.560 -179.8893
66.000000 80.544 179.9007
67.000000 80.513 179.5951
68.000000 80.477 179.4904
69.000000 80.462 179.3171
70.000000 80.414 179.1181
71.000000 80.371 179.0294
72.000000 80.299 178.9222
73.000000 80.258 179.2001
74.000000 80.247 179.0710
75.000000 80.166 179.4167
76.199997 80.267 -179.8156
77.500000 80.366 179.9702
78.800003 80.453 179.6969
80.000000 80.478 179.2522
81.199997 80.491 178.9357
82.500000 80.523 178.6831
83.800003 80.543 178.0353
85.000000 80.520 177.7449
86.199997 80.516 177.4770
87.500000 80.521 177.1735
88.500000 80.503 176.7645
90.000000 80.463 176.4634
91.199997 80.452 176.1643
92.500000 80.437 175.8262
93.800003 80.412 175.5572
95.000000 80.397 175.3933
96.199997 80.377 175.2075
97.500000 80.352 175.1109
98.800003 80.341 174.8208
100.000000 80.282 174.7586
101.500000 80.310 174.6490
103.000000 80.286 174.3216
104.400002 80.274 173.9966
106.000000 80.247 173.7931
107.500000 80.226 173.5588
109.000000 80.199 173.4411
110.599998 80.192 173.2088
112.000000 80.165 173.0710
113.800003 80.147 172.8616
115.000000 80.127 172.7996
117.199997 80.079 172.4715
118.000000 80.067 172.4668
120.599998 80.036 172.1481
122.000000 80.008 171.8853
124.099998 79.996 171.7178
125.000000 79.973 171.6627
126.500000 79.958 171.5975
128.000000 79.933 171.5256
131.500000 79.875 171.0791
132.000000 79.871 171.0399
134.000000 79.832 170.8426
136.000000 79.784 170.7447
138.000000 79.730 170.7043
140.000000 79.664 170.8532
143.000000 79.660 171.3768
145.000000 79.706 171.4960
147.500000 79.752 171.2345
150.000000 79.755 170.8033
152.500000 79.743 170.4421
155.000000 79.715 170.1607
157.500000 79.682 169.9291
160.000000 79.652 169.7231
162.500000 79.624 169.5923
165.000000 79.597 169.4658
167.500000 79.577 169.2731
170.000000 79.554 169.1782
172.500000 79.523 169.0558
175.000000 79.508 168.9023
177.500000 79.477 168.7586
180.000000 79.452 168.5983
182.500000 79.430 168.4943
185.000000 79.404 168.3882
187.500000 79.377 168.2222
190.000000 79.346 168.0987
192.500000 79.329 168.0079
195.000000 79.300 167.9273
197.500000 79.275 167.8262
200.000000 79.253 167.7218
203.000000 79.233 167.6456
206.000000 79.194 167.4776
209.000000 79.168 167.4167
212.000000 79.140 167.3340
214.000000 79.121 167.2811
218.000000 79.081 167.1409
220.000000 79.055 167.1142
224.000000 79.022 167.0007
227.000000 78.991 166.9286
230.000000 78.967 166.8339
233.000000 78.945 166.8112
236.000000 78.921 166.6975
240.000000 78.878 166.7092
243.000000 78.857 166.6148
247.000000 78.815 166.5309
250.000000 78.800 166.5243
254.000000 78.757 166.3461
258.000000 78.720 166.3837
262.000000 78.696 166.3893
265.000000 78.660 166.3527
269.000000 78.641 166.2518
272.000000 78.606 166.2254
276.000000 78.583 166.2634
280.000000 78.554 166.1521
285.000000 78.505 166.0734
290.000000 78.469 166.1281
295.000000 78.430 166.0484
300.000000 78.402 166.0567
304.000000 78.371 166.0609
307.000000 78.348 166.0588
311.000000 78.324 166.0382
