* Measurement data measured by REW V5.20.13
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), R, volume: 0,250
* Format: 256k Log Swept Sine, 1 sweep at -12,0 dBFS with no timing reference
* Dated: 17:36:11 21-07-2024
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: MiM DM 2.5 300+300 O2 T3 L
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 84.283 122.5542
1.015000 84.096 121.6891
1.030000 83.902 120.8223
1.044000 83.713 120.0117
1.060000 83.488 119.0831
1.075000 83.267 118.2104
1.090000 83.037 117.3354
1.106000 82.781 116.3608
1.120000 82.550 115.2663
1.138000 82.244 113.5159
1.150000 82.035 112.1661
1.172000 81.640 109.3888
1.180000 81.493 108.3018
1.206000 81.002 104.5834
1.220000 80.729 102.5172
1.241000 80.309 99.4229
1.250000 80.125 98.1223
1.265000 79.813 96.0208
1.280000 79.494 94.0369
1.315000 78.723 90.0915
1.320000 78.610 89.6279
1.340000 78.151 88.0830
1.360000 77.680 87.1051
1.380000 77.196 86.7898
1.400000 76.701 87.2323
1.430000 75.936 89.5259
1.450000 75.412 92.2807
1.475000 74.729 97.3408
1.500000 73.931 104.8060
1.525000 73.022 114.4829
1.550000 72.028 125.9964
1.575000 70.975 138.9708
1.600000 69.891 153.0308
1.625000 68.802 167.8009
1.650000 67.736 -177.0943
1.675000 66.719 -162.0302
1.700000 65.779 -147.3822
1.725000 64.941 -133.5258
1.750000 64.232 -120.8365
1.775000 63.681 -109.6895
1.800000 63.313 -100.4605
1.825000 63.155 -93.5247
1.850000 63.238 -88.9680
1.875000 63.569 -86.1809
1.900000 64.115 -84.9409
1.925000 64.844 -85.0492
1.950000 65.722 -86.3075
1.975000 66.717 -88.5170
2.000000 67.796 -91.4794
2.030000 69.155 -95.7482
2.060000 70.529 -100.4719
2.090000 71.864 -105.3074
2.120000 73.101 -109.9115
2.140000 73.843 -112.6830
2.180000 75.054 -117.0532
2.200000 75.490 -118.4545
2.240000 76.155 -120.7154
2.270000 76.535 -122.3225
2.300000 76.827 -123.8592
2.330000 77.042 -125.3307
2.360000 77.192 -126.7419
2.400000 77.310 -128.5386
2.430000 77.353 -129.8289
2.470000 77.370 -131.4828
2.500000 77.368 -132.6799
2.540000 77.368 -134.2277
2.580000 77.387 -135.7396
2.620000 77.373 -137.2783
2.650000 77.333 -138.4355
2.690000 77.241 -139.9462
2.720000 77.146 -141.0299
2.760000 76.988 -142.3728
2.800000 76.798 -143.5573
2.850000 76.519 -144.7455
2.900000 76.203 -145.5260
2.950000 75.846 -145.8467
3.000000 75.384 -145.9499
3.040000 74.950 -145.8690
3.070000 74.600 -145.6807
3.110000 74.119 -145.2205
3.150000 73.641 -144.4764
3.200000 73.078 -143.0725
3.250000 72.593 -141.0530
3.300000 72.226 -138.3198
3.350000 71.941 -134.4351
3.400000 71.699 -129.4193
3.450000 71.510 -123.6884
3.500000 71.383 -117.6585
3.550000 71.327 -111.7455
3.600000 71.352 -106.3653
3.650000 71.468 -101.9340
3.700000 71.704 -98.5728
3.750000 72.092 -95.7595
3.820000 72.809 -92.6166
3.870000 73.385 -90.8817
3.950000 74.291 -88.8706
4.000000 74.778 -88.0247
4.060000 75.230 -87.4311
4.120000 75.623 -87.5770
4.180000 75.972 -88.3234
4.250000 76.322 -89.6806
4.310000 76.571 -91.0274
4.370000 76.770 -92.3278
4.440000 76.935 -93.6928
4.500000 77.016 -95.0364
4.550000 77.045 -96.2407
4.620000 77.034 -97.9531
4.680000 76.984 -99.3505
4.750000 76.887 -100.7753
4.820000 76.742 -102.0022
4.870000 76.597 -102.8579
4.940000 76.352 -103.9503
5.000000 76.115 -104.7170
5.080000 75.785 -105.3754
5.150000 75.496 -105.5031
5.220000 75.167 -105.2213
5.300000 74.758 -104.4861
5.380000 74.363 -103.3951
5.450000 74.069 -102.2185
5.520000 73.853 -100.8581
5.600000 73.674 -98.7585
5.700000 73.532 -95.6867
5.800000 73.482 -92.8193
5.900000 73.534 -90.8129
6.000000 73.728 -89.3587
6.080000 73.942 -88.5547
6.150000 74.136 -88.1659
6.220000 74.305 -88.1139
6.300000 74.473 -88.5502
6.400000 74.686 -89.7722
6.500000 74.871 -91.4718
6.600000 74.997 -93.3568
6.700000 75.058 -95.5274
6.800000 75.069 -98.0058
6.900000 75.037 -100.5364
7.000000 74.967 -102.9101
7.100000 74.844 -105.2933
7.200000 74.686 -107.6039
7.300000 74.520 -109.6763
7.400000 74.352 -111.4147
7.500000 74.163 -112.9058
7.620000 73.953 -114.3761
7.750000 73.803 -115.5433
7.880000 73.710 -116.1752
8.000000 73.689 -116.5723
8.120000 73.753 -117.0367
8.250000 73.920 -117.4586
8.380000 74.145 -118.0053
8.500000 74.379 -118.8222
8.620000 74.657 -119.8759
8.750000 74.965 -121.1871
8.850000 75.180 -122.2873
9.000000 75.493 -124.1613
9.120000 75.721 -125.6663
9.250000 75.933 -127.1766
9.380000 76.114 -128.6353
9.500000 76.263 -129.8230
9.620000 76.396 -130.7896
9.750000 76.519 -131.6377
9.880000 76.641 -132.2892
10.000000 76.757 -132.6920
10.150000 76.902 -132.9619
10.300000 77.058 -133.1248
10.440000 77.218 -133.1595
10.600000 77.405 -133.1503
10.750000 77.582 -133.1831
10.900000 77.758 -133.2228
11.060000 77.929 -133.2922
11.200000 78.066 -133.3815
11.380000 78.223 -133.4752
11.500000 78.312 -133.5146
11.720000 78.454 -133.5363
11.800000 78.500 -133.5177
12.060000 78.630 -133.3915
12.200000 78.695 -133.3140
12.410000 78.781 -133.1962
12.500000 78.814 -133.1688
12.650000 78.864 -133.1489
12.800000 78.904 -133.1596
13.150000 78.955 -133.3118
13.200000 78.958 -133.3374
13.400000 78.957 -133.4482
13.600000 78.945 -133.5547
13.800000 78.927 -133.6411
14.000000 78.913 -133.7593
14.300000 78.900 -134.0361
14.500000 78.899 -134.3638
14.750000 78.898 -134.9543
15.000000 78.890 -135.7426
15.250000 78.869 -136.6562
15.500000 78.840 -137.6024
15.750000 78.810 -138.5329
16.000000 78.794 -139.4002
16.250000 78.802 -140.2460
16.500000 78.834 -141.0987
16.750000 78.891 -142.0098
17.000000 78.960 -142.9759
17.250000 79.034 -143.9656
17.500000 79.107 -144.9303
17.750000 79.180 -145.7952
18.000000 79.255 -146.5435
18.250000 79.335 -147.1592
18.500000 79.424 -147.6771
18.750000 79.519 -148.1241
19.000000 79.615 -148.5253
19.250000 79.707 -148.8911
19.500000 79.792 -149.2101
19.750000 79.866 -149.4752
20.000000 79.932 -149.6777
20.299999 80.001 -149.8585
20.600000 80.061 -149.9986
20.900000 80.108 -150.1285
21.200001 80.140 -150.2626
21.400000 80.153 -150.3480
21.799999 80.162 -150.4998
22.000000 80.161 -150.5704
22.400000 80.156 -150.7353
22.700001 80.152 -150.9267
23.000000 80.146 -151.2088
23.299999 80.134 -151.5731
23.600000 80.117 -151.9924
24.000000 80.091 -152.5931
24.299999 80.078 -153.0615
24.700001 80.073 -153.7271
25.000000 80.080 -154.2719
25.400000 80.098 -155.0498
25.799999 80.121 -155.8322
26.200001 80.152 -156.5614
26.500000 80.181 -157.0597
26.900000 80.227 -157.6624
27.200001 80.264 -158.0693
27.600000 80.313 -158.5421
28.000000 80.362 -158.9225
28.500000 80.421 -159.2891
29.000000 80.473 -159.5984
29.500000 80.508 -159.8752
30.000000 80.523 -160.0885
30.400000 80.526 -160.2078
30.700001 80.528 -160.2841
31.100000 80.529 -160.4017
31.500000 80.531 -160.5615
32.000000 80.534 -160.8412
32.500000 80.536 -161.2259
33.000000 80.536 -161.7120
33.500000 80.529 -162.2452
34.000000 80.522 -162.7470
34.500000 80.524 -163.1971
35.000000 80.541 -163.6371
35.500000 80.563 -164.0921
36.000000 80.584 -164.5295
36.500000 80.603 -164.9078
37.000000 80.621 -165.2184
37.500000 80.640 -165.4773
38.200001 80.667 -165.8057
38.700001 80.685 -166.0625
39.500000 80.693 -166.5067
40.000000 80.689 -166.7445
40.599998 80.689 -167.0047
41.200001 80.696 -167.3352
41.799999 80.695 -167.7304
42.500000 80.686 -168.1477
43.099998 80.685 -168.4554
43.700001 80.690 -168.7756
44.400002 80.697 -169.1649
45.000000 80.701 -169.4903
45.500000 80.702 -169.7498
46.200001 80.702 -170.0715
46.799999 80.708 -170.3227
47.500000 80.723 -170.6959
48.200001 80.725 -171.1764
48.700001 80.711 -171.4960
49.400002 80.686 -171.7908
50.000000 80.679 -171.9380
50.799999 80.692 -172.1697
51.500000 80.701 -172.4363
52.200001 80.704 -172.6708
53.000000 80.709 -172.9205
53.799999 80.708 -173.2111
54.500000 80.698 -173.4454
55.200001 80.689 -173.6653
56.000000 80.679 -173.9489
57.000000 80.667 -174.3185
58.000000 80.661 -174.6898
59.000000 80.660 -175.0650
60.000000 80.656 -175.4438
60.799999 80.645 -175.6964
61.500000 80.636 -175.8509
62.200001 80.635 -176.0115
63.000000 80.629 -176.2820
64.000000 80.601 -176.5885
65.000000 80.584 -176.8150
66.000000 80.568 -177.1209
67.000000 80.552 -177.3187
68.000000 80.553 -177.5313
69.000000 80.545 -177.7709
70.000000 80.536 -177.9993
71.000000 80.507 -178.2636
72.000000 80.472 -178.3622
73.000000 80.464 -178.4794
74.000000 80.453 -178.7458
75.000000 80.435 -179.0094
76.199997 80.407 -179.2936
77.500000 80.372 -179.4073
78.800003 80.366 -179.5097
80.000000 80.324 -179.5913
81.199997 80.323 -179.4204
82.500000 80.324 -179.5005
83.800003 80.343 -179.4326
85.000000 80.381 -179.5999
86.199997 80.404 -179.8859
87.500000 80.419 179.8090
88.500000 80.424 179.5349
90.000000 80.423 179.2055
91.199997 80.423 178.9103
92.500000 80.412 178.5876
93.800003 80.391 178.3035
95.000000 80.372 178.0524
96.199997 80.352 177.8064
97.500000 80.324 177.5260
98.800003 80.310 177.3439
100.000000 80.283 177.0603
101.500000 80.250 176.9469
103.000000 80.207 176.8061
104.400002 80.182 176.7302
106.000000 80.138 176.6639
107.500000 80.107 176.6119
109.000000 80.098 176.6585
110.599998 80.050 176.6517
112.000000 80.068 176.6641
113.800003 80.002 176.7848
115.000000 80.028 176.8911
117.199997 80.024 177.0133
118.000000 80.044 176.9936
120.599998 80.093 177.0749
122.000000 80.113 176.9495
124.099998 80.155 176.6100
125.000000 80.170 176.5217
126.500000 80.188 176.2177
128.000000 80.190 175.8632
131.500000 80.168 175.3368
132.000000 80.167 175.2656
134.000000 80.148 175.0354
136.000000 80.141 174.7266
138.000000 80.123 174.6186
140.000000 80.116 174.3350
143.000000 80.096 174.0154
145.000000 80.089 173.7205
147.500000 80.057 173.5541
150.000000 80.036 173.1781
152.500000 80.007 173.0076
155.000000 79.984 172.8047
157.500000 79.959 172.6147
160.000000 79.935 172.4179
162.500000 79.912 172.2435
165.000000 79.883 172.0945
167.500000 79.865 171.9487
170.000000 79.843 171.7688
172.500000 79.824 171.6541
175.000000 79.794 171.5478
177.500000 79.773 171.3185
180.000000 79.754 171.2435
182.500000 79.731 171.1098
185.000000 79.716 170.9366
187.500000 79.692 170.8550
190.000000 79.678 170.7968
192.500000 79.647 170.6075
195.000000 79.623 170.5205
197.500000 79.599 170.4453
200.000000 79.573 170.2876
203.000000 79.556 170.1933
206.000000 79.529 170.0984
209.000000 79.505 170.0062
212.000000 79.484 169.8861
214.000000 79.463 169.8764
218.000000 79.430 169.7523
220.000000 79.410 169.6857
224.000000 79.390 169.5543
227.000000 79.367 169.4798
230.000000 79.337 169.4153
233.000000 79.314 169.3275
236.000000 79.299 169.2405
240.000000 79.263 169.1439
243.000000 79.250 169.1301
247.000000 79.206 169.0380
250.000000 79.204 168.9831
254.000000 79.159 168.9630
258.000000 79.133 168.8726
262.000000 79.108 168.7928
265.000000 79.082 168.7011
269.000000 79.050 168.6948
272.000000 79.038 168.6172
276.000000 79.005 168.5832
280.000000 78.979 168.5117
285.000000 78.950 168.4955
290.000000 78.920 168.3925
295.000000 78.886 168.3653
300.000000 78.853 168.3336
304.000000 78.825 168.3652
