* Measurement data measured by REW V5.20.13
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), R, volume: 0,250
* Format: 256k Log Swept Sine, 1 sweep at -12,0 dBFS with no timing reference
* Dated: 15:48:52 21-07-2024
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: MiM DM 2.5 400 Hana R
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 83.869 123.9666
1.015000 83.671 123.1289
1.030000 83.463 122.2902
1.044000 83.261 121.5062
1.060000 83.018 120.6087
1.075000 82.779 119.7657
1.090000 82.529 118.9211
1.106000 82.248 117.9809
1.120000 81.985 116.9249
1.138000 81.625 115.2364
1.150000 81.372 113.9342
1.172000 80.885 111.2552
1.180000 80.701 110.2067
1.206000 80.080 106.6207
1.220000 79.734 104.6284
1.241000 79.202 101.6454
1.250000 78.970 100.3919
1.265000 78.580 98.3669
1.280000 78.186 96.4561
1.315000 77.262 92.6594
1.320000 77.130 92.2138
1.340000 76.605 90.7312
1.360000 76.086 89.7971
1.380000 75.577 89.5039
1.400000 75.082 89.9437
1.430000 74.372 92.1796
1.450000 73.925 94.8554
1.475000 73.395 99.7616
1.500000 72.836 106.9776
1.525000 72.242 116.3170
1.550000 71.628 127.4215
1.575000 71.005 139.9326
1.600000 70.388 153.4917
1.625000 69.788 167.7402
1.650000 69.218 -177.6803
1.675000 68.693 -163.1282
1.700000 68.223 -148.9621
1.725000 67.823 -135.5406
1.750000 67.506 -123.2222
1.775000 67.283 -112.3652
1.800000 67.168 -103.3284
1.825000 67.175 -96.4700
1.850000 67.326 -91.8647
1.875000 67.643 -88.9155
1.900000 68.104 -87.4146
1.925000 68.686 -87.1781
1.950000 69.369 -88.0219
1.975000 70.127 -89.7621
2.000000 70.941 -92.2147
2.030000 71.956 -95.8390
2.060000 72.979 -99.9062
2.090000 73.970 -104.0984
2.120000 74.889 -108.0975
2.140000 75.444 -110.4993
2.180000 76.360 -114.2449
2.200000 76.700 -115.4056
2.240000 77.230 -117.2798
2.270000 77.542 -118.6513
2.300000 77.789 -119.9909
2.330000 77.979 -121.2960
2.360000 78.120 -122.5641
2.400000 78.246 -124.1930
2.430000 78.304 -125.3649
2.470000 78.349 -126.8565
2.500000 78.369 -127.9187
2.540000 78.391 -129.2547
2.580000 78.420 -130.5043
2.620000 78.414 -131.7436
2.650000 78.380 -132.6598
2.690000 78.302 -133.8347
2.720000 78.222 -134.6613
2.760000 78.090 -135.6613
2.800000 77.935 -136.5118
2.850000 77.716 -137.3095
2.900000 77.479 -137.7466
2.950000 77.229 -137.7682
3.000000 76.910 -137.4685
3.040000 76.613 -137.0158
3.070000 76.375 -136.5504
3.110000 76.050 -135.7603
3.150000 75.730 -134.7741
3.200000 75.360 -133.2621
3.250000 75.051 -131.4352
3.300000 74.832 -129.2869
3.350000 74.684 -126.5298
3.400000 74.580 -123.1297
3.450000 74.521 -119.3298
3.500000 74.507 -115.3734
3.550000 74.541 -111.5038
3.600000 74.621 -107.9641
3.650000 74.750 -104.9976
3.700000 74.943 -102.6662
3.750000 75.225 -100.6508
3.820000 75.724 -98.3122
3.870000 76.119 -96.9720
3.950000 76.743 -95.3694
4.000000 77.088 -94.6893
4.060000 77.428 -94.2228
4.120000 77.740 -94.2930
4.180000 78.031 -94.7996
4.250000 78.335 -95.7588
4.310000 78.559 -96.7393
4.370000 78.744 -97.7206
4.440000 78.902 -98.8110
4.500000 78.993 -99.9160
4.550000 79.039 -100.9219
4.620000 79.066 -102.3743
4.680000 79.057 -103.5804
4.750000 79.018 -104.8391
4.820000 78.941 -105.9481
4.870000 78.855 -106.7280
4.940000 78.701 -107.7520
5.000000 78.550 -108.5185
5.080000 78.336 -109.3007
5.150000 78.150 -109.6885
5.220000 77.937 -109.8094
5.300000 77.672 -109.6765
5.380000 77.412 -109.3058
5.450000 77.215 -108.8284
5.520000 77.064 -108.2231
5.600000 76.926 -107.1887
5.700000 76.802 -105.5947
5.800000 76.740 -104.0710
5.900000 76.753 -102.9890
6.000000 76.861 -102.1282
6.080000 76.992 -101.6204
6.150000 77.116 -101.3769
6.220000 77.234 -101.3777
6.300000 77.365 -101.7264
6.400000 77.547 -102.6044
6.500000 77.721 -103.8229
6.600000 77.858 -105.2218
6.700000 77.955 -106.8829
6.800000 78.024 -108.7988
6.900000 78.065 -110.7747
7.000000 78.076 -112.6512
7.100000 78.049 -114.5558
7.200000 77.997 -116.4250
7.300000 77.937 -118.1312
7.400000 77.872 -119.6031
7.500000 77.790 -120.9085
7.620000 77.698 -122.2499
7.750000 77.641 -123.3931
7.880000 77.614 -124.1628
8.000000 77.625 -124.7137
8.120000 77.689 -125.2529
8.250000 77.815 -125.7235
8.380000 77.979 -126.2326
8.500000 78.151 -126.8760
8.620000 78.354 -127.6343
8.750000 78.580 -128.5595
8.850000 78.743 -129.3474
9.000000 78.983 -130.6834
9.120000 79.162 -131.7697
9.250000 79.330 -132.8910
9.380000 79.478 -133.9987
9.500000 79.600 -134.9248
9.620000 79.709 -135.7101
9.750000 79.812 -136.4380
9.880000 79.911 -137.0330
10.000000 80.003 -137.4443
10.150000 80.115 -137.7986
10.300000 80.234 -138.0682
10.440000 80.352 -138.2277
10.600000 80.491 -138.3670
10.750000 80.621 -138.5164
10.900000 80.752 -138.6635
11.060000 80.880 -138.8415
11.200000 80.983 -139.0179
11.380000 81.102 -139.2356
11.500000 81.170 -139.3701
11.720000 81.278 -139.5875
11.800000 81.313 -139.6494
12.060000 81.410 -139.8080
12.200000 81.457 -139.8846
12.410000 81.518 -139.9967
12.500000 81.542 -140.0605
12.650000 81.577 -140.1835
12.800000 81.606 -140.3295
13.150000 81.642 -140.7723
13.200000 81.644 -140.8398
13.400000 81.642 -141.1215
13.600000 81.632 -141.4028
13.800000 81.618 -141.6715
14.000000 81.605 -141.9565
14.300000 81.593 -142.4404
14.500000 81.594 -142.8528
14.750000 81.596 -143.4918
15.000000 81.598 -144.2706
15.250000 81.594 -145.1471
15.500000 81.584 -146.0525
15.750000 81.574 -146.9486
16.000000 81.571 -147.7903
16.250000 81.584 -148.5963
16.500000 81.614 -149.3838
16.750000 81.661 -150.1880
17.000000 81.719 -151.0180
17.250000 81.781 -151.8585
17.500000 81.843 -152.6841
17.750000 81.902 -153.4438
18.000000 81.960 -154.1223
18.250000 82.020 -154.7034
18.500000 82.082 -155.2030
18.750000 82.147 -155.6389
19.000000 82.212 -156.0274
19.250000 82.274 -156.3818
19.500000 82.330 -156.6998
19.750000 82.380 -156.9805
20.000000 82.422 -157.2221
20.299999 82.465 -157.4727
20.600000 82.498 -157.6955
20.900000 82.521 -157.9055
21.200001 82.532 -158.1071
21.400000 82.534 -158.2320
21.799999 82.528 -158.4582
22.000000 82.523 -158.5679
22.400000 82.516 -158.8199
22.700001 82.514 -159.0808
23.000000 82.510 -159.4300
23.299999 82.502 -159.8544
23.600000 82.489 -160.3239
24.000000 82.469 -160.9714
24.299999 82.458 -161.4563
24.700001 82.456 -162.1182
25.000000 82.463 -162.6453
25.400000 82.479 -163.3893
25.799999 82.497 -164.1348
26.200001 82.517 -164.8223
26.500000 82.535 -165.2827
26.900000 82.565 -165.8298
27.200001 82.591 -166.2017
27.600000 82.626 -166.6541
28.000000 82.659 -167.0529
28.500000 82.693 -167.4759
29.000000 82.720 -167.8412
29.500000 82.736 -168.1745
30.000000 82.740 -168.4855
30.400000 82.737 -168.7300
30.700001 82.733 -168.9232
31.100000 82.723 -169.2064
31.500000 82.708 -169.5186
32.000000 82.686 -169.9347
32.500000 82.665 -170.3745
33.000000 82.649 -170.8504
33.500000 82.635 -171.3568
34.000000 82.625 -171.8610
34.500000 82.622 -172.3457
35.000000 82.626 -172.8218
35.500000 82.631 -173.2869
36.000000 82.634 -173.7093
36.500000 82.637 -174.0698
37.000000 82.642 -174.3879
37.500000 82.646 -174.6910
38.200001 82.644 -175.0943
38.700001 82.637 -175.3611
39.500000 82.620 -175.7721
40.000000 82.607 -176.0280
40.599998 82.592 -176.3424
41.200001 82.580 -176.6808
41.799999 82.568 -177.0407
42.500000 82.556 -177.4706
43.099998 82.546 -177.8401
43.700001 82.535 -178.1877
44.400002 82.526 -178.5543
45.000000 82.520 -178.8719
45.500000 82.513 -179.1458
46.200001 82.496 -179.4969
46.799999 82.484 -179.7730
47.500000 82.470 179.8605
48.200001 82.446 179.4803
48.700001 82.426 179.2540
49.400002 82.407 178.9829
50.000000 82.400 178.7253
50.799999 82.388 178.3304
51.500000 82.371 178.0015
52.200001 82.353 177.7199
53.000000 82.334 177.4222
53.799999 82.314 177.1257
54.500000 82.295 176.8745
55.200001 82.275 176.6210
56.000000 82.252 176.3290
57.000000 82.225 175.9570
58.000000 82.199 175.5905
59.000000 82.179 175.2703
60.000000 82.161 174.9172
60.799999 82.140 174.6679
61.500000 82.123 174.4826
62.200001 82.106 174.2934
63.000000 82.084 174.0654
64.000000 82.054 173.7755
65.000000 82.024 173.5050
66.000000 82.001 173.2087
67.000000 81.972 172.9137
68.000000 81.950 172.6833
69.000000 81.929 172.3999
70.000000 81.896 172.1556
71.000000 81.869 171.9480
72.000000 81.834 171.6702
73.000000 81.790 171.4837
74.000000 81.763 171.3420
75.000000 81.744 171.1215
76.199997 81.716 170.8298
77.500000 81.684 170.5504
78.800003 81.656 170.2789
80.000000 81.617 170.0444
81.199997 81.592 169.9143
82.500000 81.561 169.6456
83.800003 81.515 169.4463
85.000000 81.478 169.3391
86.199997 81.443 169.1005
87.500000 81.386 168.9682
88.500000 81.352 168.8823
90.000000 81.318 168.8608
91.199997 81.298 168.7664
92.500000 81.280 168.7023
93.800003 81.258 168.6118
95.000000 81.240 168.4431
96.199997 81.213 168.3740
97.500000 81.207 168.1071
98.800003 81.183 167.9961
100.000000 81.179 167.6693
101.500000 81.125 167.7070
103.000000 81.132 167.4917
104.400002 81.091 167.4059
106.000000 81.065 167.1223
107.500000 81.024 166.9488
109.000000 80.973 166.8863
110.599998 80.971 166.7541
112.000000 80.935 166.6244
113.800003 80.893 166.4536
115.000000 80.872 166.4046
117.199997 80.833 166.2550
118.000000 80.815 166.2400
120.599998 80.763 166.1359
122.000000 80.755 166.1701
124.099998 80.733 166.1699
125.000000 80.722 166.0624
126.500000 80.710 166.0193
128.000000 80.689 165.8113
131.500000 80.677 165.4876
132.000000 80.677 165.4404
134.000000 80.646 165.1975
136.000000 80.620 164.9792
138.000000 80.577 164.7977
140.000000 80.543 164.6025
143.000000 80.489 164.3734
145.000000 80.459 164.2168
147.500000 80.402 164.0697
150.000000 80.362 163.8832
152.500000 80.329 163.8207
155.000000 80.289 163.8012
157.500000 80.241 163.6402
160.000000 80.206 163.5723
162.500000 80.178 163.5160
165.000000 80.137 163.4487
167.500000 80.107 163.3410
170.000000 80.074 163.2706
172.500000 80.041 163.1547
175.000000 80.007 163.0479
177.500000 79.972 162.9577
180.000000 79.942 162.8466
182.500000 79.905 162.8011
185.000000 79.874 162.7230
187.500000 79.837 162.6133
190.000000 79.808 162.5588
192.500000 79.779 162.4772
195.000000 79.749 162.4614
197.500000 79.719 162.4132
200.000000 79.689 162.3750
203.000000 79.644 162.3224
206.000000 79.606 162.2419
209.000000 79.574 162.1545
212.000000 79.533 162.1117
214.000000 79.512 162.1379
218.000000 79.470 162.0725
220.000000 79.445 162.0939
224.000000 79.402 162.0583
227.000000 79.365 161.9957
230.000000 79.338 161.9230
233.000000 79.309 161.9403
236.000000 79.284 161.9417
240.000000 79.240 161.8482
243.000000 79.209 161.8754
247.000000 79.172 161.8017
250.000000 79.132 161.8020
254.000000 79.099 161.8045
258.000000 79.060 161.8310
262.000000 79.016 161.7770
265.000000 78.998 161.7590
269.000000 78.957 161.7885
272.000000 78.934 161.7778
276.000000 78.895 161.7560
280.000000 78.852 161.7684
285.000000 78.822 161.7575
290.000000 78.779 161.7804
295.000000 78.729 161.7612
300.000000 78.689 161.7785
304.000000 78.654 161.8074
307.000000 78.635 161.8096
311.000000 78.590 161.8896
315.000000 78.565 161.8554
320.000000 78.527 162.0022
