* Measurement data measured by REW V5.20.13
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), R, volume: 0,250
* Format: 256k Log Swept Sine, 1 sweep at -12,0 dBFS with no timing reference
* Dated: 14:15:26 21-07-2024
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: MiM DM R
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 83.895 124.8938
1.015000 83.692 124.0798
1.030000 83.480 123.2663
1.044000 83.273 122.5073
1.060000 83.024 121.6403
1.075000 82.778 120.8280
1.090000 82.521 120.0161
1.106000 82.231 119.1142
1.120000 81.957 118.1008
1.138000 81.579 116.4792
1.150000 81.312 115.2284
1.172000 80.794 112.6551
1.180000 80.598 111.6482
1.206000 79.935 108.2053
1.220000 79.565 106.2936
1.241000 78.996 103.4334
1.250000 78.749 102.2324
1.265000 78.333 100.2939
1.280000 77.914 98.4670
1.315000 76.937 94.8493
1.320000 76.799 94.4267
1.340000 76.250 93.0275
1.360000 75.713 92.1611
1.380000 75.192 91.9169
1.400000 74.692 92.3839
1.430000 73.991 94.6134
1.450000 73.563 97.2490
1.475000 73.072 102.0571
1.500000 72.575 109.1029
1.525000 72.065 118.2062
1.550000 71.553 129.0205
1.575000 71.046 141.1988
1.600000 70.555 154.3942
1.625000 70.087 168.2601
1.650000 69.654 -177.5504
1.675000 69.262 -163.3840
1.700000 68.923 -149.5875
1.725000 68.644 -136.5079
1.750000 68.436 -124.4919
1.775000 68.306 -113.8862
1.800000 68.265 -105.0377
1.825000 68.322 -98.2930
1.850000 68.498 -93.7216
1.875000 68.819 -90.7401
1.900000 69.266 -89.1495
1.925000 69.820 -88.7740
1.950000 70.461 -89.4376
1.975000 71.168 -90.9646
2.000000 71.922 -93.1791
2.030000 72.861 -96.4966
2.060000 73.803 -100.2471
2.090000 74.715 -104.1268
2.120000 75.562 -107.8318
2.140000 76.074 -110.0547
2.180000 76.925 -113.5026
2.200000 77.243 -114.5526
2.240000 77.746 -116.2487
2.270000 78.044 -117.5089
2.300000 78.281 -118.7531
2.330000 78.466 -119.9760
2.360000 78.606 -121.1724
2.400000 78.735 -122.7170
2.430000 78.798 -123.8307
2.470000 78.851 -125.2461
2.500000 78.878 -126.2485
2.540000 78.909 -127.4962
2.580000 78.945 -128.6421
2.620000 78.945 -129.7662
2.650000 78.919 -130.5916
2.690000 78.851 -131.6426
2.720000 78.780 -132.3764
2.760000 78.661 -133.2565
2.800000 78.522 -133.9949
2.850000 78.328 -134.6701
2.900000 78.122 -135.0115
2.950000 77.908 -134.9678
3.000000 77.637 -134.6009
3.040000 77.384 -134.0961
3.070000 77.182 -133.5981
3.110000 76.907 -132.7797
3.150000 76.637 -131.7900
3.200000 76.327 -130.3210
3.250000 76.070 -128.6048
3.300000 75.892 -126.6512
3.350000 75.778 -124.2131
3.400000 75.705 -121.2487
3.450000 75.673 -117.9590
3.500000 75.681 -114.5450
3.550000 75.729 -111.2078
3.600000 75.816 -108.1483
3.650000 75.942 -105.5677
3.700000 76.121 -103.5143
3.750000 76.375 -101.7195
3.820000 76.818 -99.6103
3.870000 77.166 -98.3860
3.950000 77.718 -96.9042
4.000000 78.026 -96.2694
4.060000 78.334 -95.8293
4.120000 78.623 -95.8646
4.180000 78.894 -96.2870
4.250000 79.182 -97.1107
4.310000 79.396 -97.9645
4.370000 79.575 -98.8291
4.440000 79.730 -99.8063
4.500000 79.823 -100.8083
4.550000 79.874 -101.7258
4.620000 79.912 -103.0565
4.680000 79.916 -104.1657
4.750000 79.894 -105.3271
4.820000 79.837 -106.3530
4.870000 79.769 -107.0754
4.940000 79.643 -108.0284
5.000000 79.518 -108.7493
5.080000 79.340 -109.5030
5.150000 79.186 -109.9058
5.220000 79.010 -110.0761
5.300000 78.789 -110.0357
5.380000 78.573 -109.7912
5.450000 78.408 -109.4481
5.520000 78.283 -108.9996
5.600000 78.169 -108.2019
5.700000 78.066 -106.9511
5.800000 78.015 -105.7517
5.900000 78.029 -104.9082
6.000000 78.123 -104.2327
6.080000 78.236 -103.8376
6.150000 78.344 -103.6606
6.220000 78.449 -103.6925
6.300000 78.568 -104.0244
6.400000 78.734 -104.8107
6.500000 78.896 -105.8894
6.600000 79.027 -107.1329
6.700000 79.124 -108.6142
6.800000 79.198 -110.3218
6.900000 79.248 -112.0848
7.000000 79.272 -113.7634
7.100000 79.263 -115.4694
7.200000 79.232 -117.1469
7.300000 79.193 -118.6843
7.400000 79.150 -120.0183
7.500000 79.092 -121.2083
7.620000 79.028 -122.4435
7.750000 78.994 -123.5191
7.880000 78.986 -124.2780
8.000000 79.008 -124.8415
8.120000 79.074 -125.3925
8.250000 79.192 -125.8914
8.380000 79.342 -126.4186
8.500000 79.498 -127.0461
8.620000 79.680 -127.7658
8.750000 79.883 -128.6295
8.850000 80.029 -129.3570
9.000000 80.246 -130.5754
9.120000 80.408 -131.5626
9.250000 80.562 -132.5835
9.380000 80.699 -133.5908
9.500000 80.814 -134.4370
9.620000 80.917 -135.1618
9.750000 81.017 -135.8407
9.880000 81.113 -136.4061
10.000000 81.202 -136.8109
10.150000 81.312 -137.1805
10.300000 81.426 -137.4787
10.440000 81.540 -137.6796
10.600000 81.671 -137.8721
10.750000 81.793 -138.0671
10.900000 81.915 -138.2585
11.060000 82.034 -138.4760
11.200000 82.131 -138.6803
11.380000 82.242 -138.9290
11.500000 82.306 -139.0815
11.720000 82.408 -139.3289
11.800000 82.441 -139.4021
12.060000 82.536 -139.5979
12.200000 82.582 -139.6948
12.410000 82.644 -139.8370
12.500000 82.668 -139.9127
12.650000 82.705 -140.0543
12.800000 82.736 -140.2174
13.150000 82.780 -140.6941
13.200000 82.784 -140.7665
13.400000 82.789 -141.0677
13.600000 82.787 -141.3699
13.800000 82.779 -141.6620
14.000000 82.773 -141.9687
14.300000 82.770 -142.4787
14.500000 82.775 -142.8978
14.750000 82.782 -143.5305
15.000000 82.788 -144.2858
15.250000 82.788 -145.1259
15.500000 82.782 -145.9883
15.750000 82.775 -146.8378
16.000000 82.774 -147.6327
16.250000 82.786 -148.3887
16.500000 82.814 -149.1216
16.750000 82.858 -149.8637
17.000000 82.911 -150.6269
17.250000 82.970 -151.3994
17.500000 83.029 -152.1614
17.750000 83.086 -152.8695
18.000000 83.143 -153.5100
18.250000 83.200 -154.0690
18.500000 83.261 -154.5597
18.750000 83.322 -154.9973
19.000000 83.385 -155.3958
19.250000 83.443 -155.7656
19.500000 83.496 -156.1028
19.750000 83.543 -156.4054
20.000000 83.583 -156.6688
20.299999 83.623 -156.9432
20.600000 83.656 -157.1872
20.900000 83.682 -157.4193
21.200001 83.699 -157.6519
21.400000 83.705 -157.8076
21.799999 83.708 -158.1216
22.000000 83.706 -158.2844
22.400000 83.700 -158.6420
22.700001 83.693 -158.9600
23.000000 83.683 -159.3314
23.299999 83.670 -159.7436
23.600000 83.653 -160.1765
24.000000 83.633 -160.7589
24.299999 83.623 -161.1963
24.700001 83.622 -161.7999
25.000000 83.629 -162.2808
25.400000 83.643 -162.9510
25.799999 83.660 -163.6104
26.200001 83.681 -164.2146
26.500000 83.701 -164.6250
26.900000 83.733 -165.1281
27.200001 83.760 -165.4824
27.600000 83.794 -165.9242
28.000000 83.823 -166.3180
28.500000 83.853 -166.7342
29.000000 83.875 -167.0898
29.500000 83.887 -167.4124
30.000000 83.889 -167.7133
30.400000 83.886 -167.9507
30.700001 83.882 -168.1387
31.100000 83.872 -168.4152
31.500000 83.859 -168.7210
32.000000 83.839 -169.1308
32.500000 83.820 -169.5652
33.000000 83.804 -170.0332
33.500000 83.790 -170.5274
34.000000 83.779 -171.0155
34.500000 83.774 -171.4786
35.000000 83.775 -171.9242
35.500000 83.779 -172.3533
36.000000 83.783 -172.7476
36.500000 83.788 -173.0994
37.000000 83.792 -173.4218
37.500000 83.792 -173.7224
38.200001 83.786 -174.0939
38.700001 83.779 -174.3362
39.500000 83.761 -174.7332
40.000000 83.745 -174.9722
40.599998 83.728 -175.2412
41.200001 83.716 -175.5344
41.799999 83.706 -175.8671
42.500000 83.693 -176.2607
43.099998 83.686 -176.5963
43.700001 83.679 -176.9374
44.400002 83.669 -177.3036
45.000000 83.664 -177.5928
45.500000 83.660 -177.8489
46.200001 83.646 -178.2012
46.799999 83.631 -178.4346
47.500000 83.628 -178.6998
48.200001 83.625 -179.0886
48.700001 83.609 -179.3859
49.400002 83.576 -179.6669
50.000000 83.562 -179.8132
50.799999 83.560 179.9127
51.500000 83.550 179.6209
52.200001 83.536 179.3873
53.000000 83.524 179.1271
53.799999 83.507 178.8561
54.500000 83.494 178.6319
55.200001 83.480 178.3635
56.000000 83.458 178.0475
57.000000 83.435 177.6569
58.000000 83.402 177.2390
59.000000 83.379 177.0006
60.000000 83.377 176.6290
60.799999 83.353 176.3186
61.500000 83.332 176.1421
62.200001 83.317 175.9565
63.000000 83.293 175.7189
64.000000 83.263 175.4699
65.000000 83.239 175.1667
66.000000 83.206 174.8564
67.000000 83.179 174.6057
68.000000 83.156 174.3632
69.000000 83.136 174.1239
70.000000 83.110 173.8767
71.000000 83.084 173.6778
72.000000 83.058 173.4323
73.000000 83.023 173.2144
74.000000 82.998 173.0120
75.000000 82.968 172.7573
76.199997 82.930 172.5355
77.500000 82.898 172.2653
78.800003 82.857 172.0052
80.000000 82.819 171.8282
81.199997 82.787 171.6329
82.500000 82.746 171.4246
83.800003 82.705 171.2388
85.000000 82.664 171.0785
86.199997 82.616 170.9348
87.500000 82.569 170.8125
88.500000 82.528 170.7195
90.000000 82.481 170.6563
91.199997 82.438 170.5788
92.500000 82.394 170.6138
93.800003 82.354 170.6776
95.000000 82.321 170.7874
96.199997 82.302 170.9103
97.500000 82.287 171.0003
98.800003 82.296 171.0903
100.000000 82.290 171.0711
101.500000 82.318 171.1879
103.000000 82.329 171.0078
104.400002 82.336 170.8791
106.000000 82.332 170.6014
107.500000 82.319 170.3625
109.000000 82.302 170.0743
110.599998 82.283 169.8214
112.000000 82.250 169.6013
113.800003 82.216 169.3997
115.000000 82.185 169.3009
117.199997 82.136 169.1244
118.000000 82.113 169.1190
120.599998 82.066 169.0732
122.000000 82.053 169.1051
124.099998 82.037 169.0604
125.000000 82.034 169.0625
126.500000 82.033 168.9585
128.000000 82.023 168.7962
131.500000 81.982 168.4121
132.000000 81.977 168.3831
134.000000 81.954 168.1686
136.000000 81.912 168.0336
138.000000 81.882 167.8857
140.000000 81.851 167.7323
143.000000 81.805 167.5391
145.000000 81.772 167.4434
147.500000 81.741 167.3228
150.000000 81.694 167.2496
152.500000 81.651 167.1307
155.000000 81.611 167.0701
157.500000 81.582 166.9777
160.000000 81.546 166.9195
162.500000 81.499 166.8614
165.000000 81.467 166.8029
167.500000 81.434 166.7449
170.000000 81.399 166.7114
172.500000 81.369 166.6929
175.000000 81.332 166.6912
177.500000 81.302 166.6524
180.000000 81.269 166.6335
182.500000 81.248 166.5836
185.000000 81.218 166.5148
187.500000 81.188 166.5533
190.000000 81.167 166.5014
192.500000 81.134 166.4671
195.000000 81.105 166.4438
197.500000 81.078 166.4733
200.000000 81.050 166.4020
203.000000 81.020 166.3678
206.000000 80.983 166.3351
209.000000 80.947 166.3509
212.000000 80.920 166.3600
214.000000 80.901 166.3666
218.000000 80.856 166.3583
220.000000 80.840 166.4165
224.000000 80.797 166.4063
227.000000 80.773 166.4633
230.000000 80.742 166.4623
233.000000 80.718 166.4057
236.000000 80.688 166.4639
240.000000 80.645 166.5586
243.000000 80.620 166.5503
247.000000 80.591 166.5445
250.000000 80.555 166.5937
254.000000 80.530 166.6432
258.000000 80.492 166.6399
262.000000 80.456 166.6983
265.000000 80.430 166.6984
269.000000 80.398 166.7689
272.000000 80.376 166.8443
276.000000 80.338 166.9140
280.000000 80.311 166.9328
285.000000 80.272 167.0246
290.000000 80.232 167.1023
295.000000 80.193 167.1614
300.000000 80.155 167.2725
304.000000 80.134 167.3163
307.000000 80.112 167.3202
311.000000 80.082 167.5171
315.000000 80.052 167.4775
320.000000 80.021 167.6633
