* Measurement data measured by REW V5.20.13
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), R, volume: 0,250
* Format: 256k Log Swept Sine, 1 sweep at -12,0 dBFS with no timing reference
* Dated: 16:29:15 21-07-2024
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: MiM DM 3 300+300 Hana L
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 84.357 122.3203
1.015000 84.173 121.4597
1.030000 83.981 120.5991
1.044000 83.795 119.7956
1.060000 83.574 118.8771
1.075000 83.357 118.0157
1.090000 83.132 117.1541
1.106000 82.881 116.1979
1.120000 82.658 115.1321
1.138000 82.367 113.4367
1.150000 82.171 112.1332
1.172000 81.802 109.4572
1.180000 81.666 108.4113
1.206000 81.212 104.8378
1.220000 80.960 102.8540
1.241000 80.572 99.8851
1.250000 80.401 98.6376
1.265000 80.111 96.6224
1.280000 79.813 94.7204
1.315000 79.084 90.9375
1.320000 78.976 90.4928
1.340000 78.532 89.0100
1.360000 78.070 88.0692
1.380000 77.589 87.7610
1.400000 77.087 88.1765
1.430000 76.294 90.3552
1.450000 75.737 92.9771
1.475000 74.994 97.7960
1.500000 74.105 104.9027
1.525000 73.077 114.1135
1.550000 71.941 125.0724
1.575000 70.729 137.4234
1.600000 69.473 150.8104
1.625000 68.205 164.8774
1.650000 66.957 179.2683
1.675000 65.761 -166.3729
1.700000 64.650 -152.4022
1.725000 63.654 -139.1756
1.750000 62.807 -127.0493
1.775000 62.140 -116.3791
1.800000 61.686 -107.5212
1.825000 61.476 -100.8316
1.850000 61.544 -96.3850
1.875000 61.893 -93.5901
1.900000 62.486 -92.2401
1.925000 63.285 -92.1518
1.950000 64.254 -93.1418
1.975000 65.356 -95.0269
2.000000 66.553 -97.6236
2.030000 68.062 -101.4210
2.060000 69.590 -105.6625
2.090000 71.074 -110.0314
2.120000 72.448 -114.2109
2.140000 73.271 -116.7357
2.180000 74.611 -120.7348
2.200000 75.089 -122.0270
2.240000 75.813 -124.1607
2.270000 76.222 -125.7228
2.300000 76.531 -127.2519
2.330000 76.755 -128.7480
2.360000 76.905 -130.2111
2.400000 77.015 -132.1101
2.430000 77.047 -133.4955
2.470000 77.048 -135.2907
2.500000 77.034 -136.5980
2.540000 77.022 -138.2886
2.580000 77.036 -139.9308
2.620000 77.020 -141.6103
2.650000 76.978 -142.8835
2.690000 76.884 -144.5620
2.720000 76.787 -145.7809
2.760000 76.621 -147.3156
2.800000 76.418 -148.7040
2.850000 76.114 -150.1628
2.900000 75.758 -151.2291
2.950000 75.344 -151.8675
3.000000 74.807 -152.4519
3.040000 74.302 -152.8428
3.070000 73.894 -153.0275
3.110000 73.330 -153.0515
3.150000 72.763 -152.7326
3.200000 72.087 -151.7039
3.250000 71.487 -149.7984
3.300000 71.007 -146.8237
3.350000 70.593 -142.2402
3.400000 70.201 -136.1314
3.450000 69.854 -129.0475
3.500000 69.575 -121.5381
3.550000 69.387 -114.1531
3.600000 69.314 -107.4424
3.650000 69.379 -101.9558
3.700000 69.627 -97.8568
3.750000 70.086 -94.4599
3.820000 70.973 -90.7101
3.870000 71.694 -88.6662
3.950000 72.828 -86.3244
4.000000 73.427 -85.3448
4.060000 73.962 -84.6564
4.120000 74.410 -84.8636
4.180000 74.796 -85.7959
4.250000 75.171 -87.4603
4.310000 75.430 -89.0897
4.370000 75.634 -90.6373
4.440000 75.800 -92.2160
4.500000 75.872 -93.7425
4.550000 75.887 -95.0983
4.620000 75.847 -97.0120
4.680000 75.766 -98.5627
4.750000 75.624 -100.1319
4.820000 75.425 -101.4832
4.870000 75.235 -102.4326
4.940000 74.919 -103.6346
5.000000 74.616 -104.4494
5.080000 74.191 -105.0631
5.150000 73.817 -105.0117
5.220000 73.385 -104.4292
5.300000 72.846 -103.2281
5.380000 72.329 -101.5623
5.450000 71.948 -99.8106
5.520000 71.680 -97.8080
5.600000 71.473 -94.7613
5.700000 71.334 -90.3546
5.800000 71.314 -86.2930
5.900000 71.412 -83.5351
6.000000 71.689 -81.7037
6.080000 71.983 -80.7805
6.150000 72.240 -80.3815
6.220000 72.454 -80.3752
6.300000 72.650 -80.9581
6.400000 72.875 -82.5423
6.500000 73.054 -84.7032
6.600000 73.156 -87.0423
6.700000 73.174 -89.6679
6.800000 73.122 -92.6307
6.900000 73.015 -95.6396
7.000000 72.862 -98.4578
7.100000 72.641 -101.2830
7.200000 72.377 -104.0084
7.300000 72.104 -106.4284
7.400000 71.827 -108.4261
7.500000 71.521 -110.1097
7.620000 71.183 -111.7158
7.750000 70.928 -112.8859
7.880000 70.758 -113.3305
8.000000 70.696 -113.5220
8.120000 70.758 -113.8688
8.250000 70.970 -114.1976
8.380000 71.263 -114.7458
8.500000 71.563 -115.7181
8.620000 71.922 -117.0636
8.750000 72.316 -118.7584
8.850000 72.587 -120.1616
9.000000 72.975 -122.5536
9.120000 73.254 -124.4584
9.250000 73.509 -126.3345
9.380000 73.723 -128.1177
9.500000 73.896 -129.5422
9.620000 74.049 -130.6666
9.750000 74.188 -131.6093
9.880000 74.326 -132.2904
10.000000 74.459 -132.6572
10.150000 74.626 -132.8065
10.300000 74.810 -132.8264
10.440000 75.001 -132.7011
10.600000 75.226 -132.5059
10.750000 75.438 -132.3927
10.900000 75.650 -132.3007
11.060000 75.854 -132.2429
11.200000 76.017 -132.2353
11.380000 76.200 -132.1992
11.500000 76.303 -132.1442
11.720000 76.465 -131.9785
11.800000 76.518 -131.8841
12.060000 76.667 -131.4948
12.200000 76.742 -131.2783
12.410000 76.843 -130.9581
12.500000 76.881 -130.8534
12.650000 76.938 -130.7164
12.800000 76.984 -130.6206
13.150000 77.035 -130.5591
13.200000 77.036 -130.5536
13.400000 77.025 -130.5375
13.600000 77.002 -130.5067
13.800000 76.971 -130.4390
14.000000 76.945 -130.4225
14.300000 76.919 -130.4824
14.500000 76.913 -130.7214
14.750000 76.902 -131.2608
15.000000 76.883 -132.0646
15.250000 76.844 -133.0376
15.500000 76.794 -134.0569
15.750000 76.741 -135.0584
16.000000 76.704 -135.9781
16.250000 76.698 -136.8707
16.500000 76.725 -137.7745
16.750000 76.786 -138.7592
17.000000 76.863 -139.8251
17.250000 76.950 -140.9339
17.500000 77.037 -142.0257
17.750000 77.123 -143.0044
18.000000 77.212 -143.8461
18.250000 77.309 -144.5271
18.500000 77.415 -145.0846
18.750000 77.528 -145.5496
19.000000 77.644 -145.9506
19.250000 77.755 -146.3011
19.500000 77.857 -146.5899
19.750000 77.949 -146.8105
20.000000 78.031 -146.9565
20.299999 78.118 -147.0590
20.600000 78.192 -147.1142
20.900000 78.252 -147.1559
21.200001 78.294 -147.1980
21.400000 78.311 -147.2191
21.799999 78.327 -147.2393
22.000000 78.329 -147.2473
22.400000 78.328 -147.3068
22.700001 78.325 -147.4448
23.000000 78.316 -147.6945
23.299999 78.298 -148.0378
23.600000 78.273 -148.4400
24.000000 78.237 -149.0199
24.299999 78.217 -149.4805
24.700001 78.208 -150.1585
25.000000 78.212 -150.7312
25.400000 78.226 -151.5572
25.799999 78.248 -152.3748
26.200001 78.280 -153.1108
26.500000 78.314 -153.5982
26.900000 78.373 -154.1773
27.200001 78.424 -154.5680
27.600000 78.496 -155.0274
28.000000 78.566 -155.4069
28.500000 78.650 -155.7852
29.000000 78.720 -156.0975
29.500000 78.769 -156.3425
30.000000 78.799 -156.5047
30.400000 78.817 -156.6118
30.700001 78.827 -156.7134
31.100000 78.832 -156.9000
31.500000 78.826 -157.1271
32.000000 78.807 -157.4161
32.500000 78.793 -157.7148
33.000000 78.790 -158.0965
33.500000 78.792 -158.5821
34.000000 78.794 -159.1013
34.500000 78.803 -159.5946
35.000000 78.822 -160.0703
35.500000 78.848 -160.5373
36.000000 78.874 -160.9599
36.500000 78.902 -161.3108
37.000000 78.931 -161.6082
37.500000 78.958 -161.8759
38.200001 78.988 -162.1977
38.700001 79.004 -162.4030
39.500000 79.019 -162.7595
40.000000 79.020 -162.9941
40.599998 79.017 -163.2750
41.200001 79.014 -163.5769
41.799999 79.008 -163.8888
42.500000 79.005 -164.2197
43.099998 79.010 -164.4914
43.700001 79.019 -164.7724
44.400002 79.029 -165.0712
45.000000 79.038 -165.2712
45.500000 79.049 -165.4074
46.200001 79.072 -165.6029
46.799999 79.091 -165.8237
47.500000 79.102 -166.0965
48.200001 79.113 -166.2919
48.700001 79.133 -166.4446
49.400002 79.167 -166.8265
50.000000 79.176 -167.2410
50.799999 79.164 -167.6346
51.500000 79.167 -167.8325
52.200001 79.182 -168.0510
53.000000 79.196 -168.3392
53.799999 79.202 -168.6140
54.500000 79.205 -168.8559
55.200001 79.203 -169.0970
56.000000 79.202 -169.3677
57.000000 79.202 -169.7479
58.000000 79.204 -170.1107
59.000000 79.216 -170.4996
60.000000 79.214 -170.8716
60.799999 79.218 -171.0461
61.500000 79.228 -171.2324
62.200001 79.228 -171.4416
63.000000 79.224 -171.6116
64.000000 79.228 -171.8817
65.000000 79.212 -172.2202
66.000000 79.192 -172.4560
67.000000 79.183 -172.6656
68.000000 79.180 -172.9140
69.000000 79.163 -173.1446
70.000000 79.148 -173.2579
71.000000 79.123 -173.3586
72.000000 79.109 -173.1334
73.000000 79.157 -173.0891
74.000000 79.168 -173.2738
75.000000 79.195 -173.2352
76.199997 79.253 -173.5352
77.500000 79.275 -174.0594
78.800003 79.261 -174.3853
80.000000 79.280 -174.6974
81.199997 79.278 -174.9971
82.500000 79.296 -175.3350
83.800003 79.298 -175.5942
85.000000 79.301 -175.8904
86.199997 79.287 -176.0837
87.500000 79.279 -176.3338
88.500000 79.274 -176.5326
90.000000 79.260 -176.8716
91.199997 79.270 -177.0728
92.500000 79.258 -177.3556
93.800003 79.265 -177.4497
95.000000 79.257 -177.6902
96.199997 79.250 -177.8674
97.500000 79.228 -178.0764
98.800003 79.241 -178.3656
100.000000 79.196 -178.6788
101.500000 79.208 -178.6402
103.000000 79.210 -178.9483
104.400002 79.196 -179.1343
106.000000 79.185 -179.2976
107.500000 79.163 -179.5108
109.000000 79.153 -179.7188
110.599998 79.130 -179.8204
112.000000 79.117 179.9296
113.800003 79.083 179.8525
115.000000 79.059 179.8607
117.199997 79.035 179.8725
118.000000 79.047 179.9147
120.599998 79.090 179.8009
122.000000 79.090 179.6194
124.099998 79.100 179.2247
125.000000 79.104 179.2822
126.500000 79.105 179.0021
128.000000 79.100 178.9215
131.500000 79.067 178.4233
132.000000 79.057 178.4189
134.000000 79.047 178.3631
136.000000 79.069 178.3105
138.000000 79.056 178.0674
140.000000 79.056 177.8945
143.000000 79.050 177.5266
145.000000 79.032 177.3197
147.500000 79.046 177.2631
150.000000 79.026 176.9739
152.500000 79.003 176.6652
155.000000 78.991 176.4237
157.500000 78.979 176.3069
160.000000 78.966 176.0710
162.500000 78.951 176.0044
165.000000 78.931 175.8433
167.500000 78.917 175.6634
170.000000 78.910 175.5228
172.500000 78.906 175.3573
175.000000 78.884 175.2365
177.500000 78.872 175.1120
180.000000 78.857 174.9770
182.500000 78.849 174.9147
185.000000 78.831 174.6788
187.500000 78.831 174.5057
190.000000 78.814 174.4072
192.500000 78.805 174.2204
195.000000 78.788 174.1075
197.500000 78.769 174.0388
200.000000 78.747 173.8634
203.000000 78.734 173.6694
206.000000 78.709 173.5165
209.000000 78.695 173.3734
212.000000 78.662 173.2471
214.000000 78.654 173.1792
218.000000 78.620 173.0306
220.000000 78.603 173.0615
224.000000 78.581 173.0800
227.000000 78.594 173.0122
230.000000 78.594 172.8001
233.000000 78.577 172.6759
236.000000 78.554 172.5058
240.000000 78.531 172.3714
243.000000 78.508 172.2562
247.000000 78.484 172.1311
250.000000 78.463 171.9568
254.000000 78.454 171.9115
258.000000 78.424 171.8130
262.000000 78.392 171.6416
265.000000 78.373 171.5640
269.000000 78.360 171.5557
272.000000 78.329 171.5094
276.000000 78.307 171.3902
280.000000 78.289 171.2864
285.000000 78.252 171.1493
290.000000 78.225 171.1015
295.000000 78.197 171.0093
300.000000 78.166 171.0068
304.000000 78.141 170.9084
