* Measurement data measured by REW V5.20.13
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), R, volume: 0,250
* Format: 256k Log Swept Sine, 1 sweep at -12,0 dBFS with no timing reference
* Dated: 13:55:21 21-07-2024
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: MiM DM R
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 84.474 122.7554
1.015000 84.285 121.8969
1.030000 84.088 121.0373
1.044000 83.896 120.2338
1.060000 83.667 119.3142
1.075000 83.443 118.4504
1.090000 83.208 117.5851
1.106000 82.947 116.6226
1.120000 82.709 115.5447
1.138000 82.392 113.8244
1.150000 82.173 112.4992
1.172000 81.758 109.7748
1.180000 81.603 108.7091
1.206000 81.083 105.0652
1.220000 80.794 103.0410
1.241000 80.349 100.0104
1.250000 80.155 98.7367
1.265000 79.825 96.6788
1.280000 79.490 94.7361
1.315000 78.687 90.8723
1.320000 78.570 90.4182
1.340000 78.096 88.9044
1.360000 77.615 87.9449
1.380000 77.128 87.6330
1.400000 76.634 88.0619
1.430000 75.885 90.2979
1.450000 75.380 92.9863
1.475000 74.734 97.9256
1.500000 73.995 105.2078
1.525000 73.161 114.6448
1.550000 72.258 125.8715
1.575000 71.309 138.5234
1.600000 70.337 152.2354
1.625000 69.365 166.6428
1.650000 68.418 -178.6191
1.675000 67.518 -163.9152
1.700000 66.690 -149.6102
1.725000 65.956 -136.0691
1.750000 65.340 -123.6566
1.775000 64.865 -112.7374
1.800000 64.556 -103.6764
1.825000 64.435 -96.8383
1.850000 64.532 -92.3022
1.875000 64.856 -89.4672
1.900000 65.378 -88.1198
1.925000 66.068 -88.0702
1.950000 66.894 -89.1289
1.975000 67.828 -91.1062
2.000000 68.838 -93.8124
2.030000 70.108 -97.7549
2.060000 71.392 -102.1463
2.090000 72.638 -106.6587
2.120000 73.793 -110.9645
2.140000 74.487 -113.5583
2.180000 75.622 -117.6451
2.200000 76.032 -118.9492
2.240000 76.662 -121.0728
2.270000 77.024 -122.6093
2.300000 77.304 -124.0990
2.330000 77.512 -125.5430
2.360000 77.659 -126.9425
2.400000 77.779 -128.7412
2.430000 77.824 -130.0413
2.470000 77.847 -131.7115
2.500000 77.849 -132.9185
2.540000 77.852 -134.4687
2.580000 77.871 -135.9643
2.620000 77.855 -137.4820
2.650000 77.814 -138.6235
2.690000 77.723 -140.1141
2.720000 77.629 -141.1843
2.760000 77.473 -142.5119
2.800000 77.285 -143.6852
2.850000 77.012 -144.8675
2.900000 76.701 -145.6528
2.950000 76.352 -145.9904
3.000000 75.902 -146.1156
3.040000 75.479 -146.0563
3.070000 75.140 -145.8877
3.110000 74.672 -145.4593
3.150000 74.207 -144.7549
3.200000 73.657 -143.4140
3.250000 73.182 -141.4751
3.300000 72.818 -138.8432
3.350000 72.529 -135.1009
3.400000 72.279 -130.2688
3.450000 72.078 -124.7444
3.500000 71.937 -118.9250
3.550000 71.865 -113.2083
3.600000 71.875 -107.9915
3.650000 71.975 -103.6721
3.700000 72.197 -100.3593
3.750000 72.568 -97.5435
3.820000 73.262 -94.3364
3.870000 73.820 -92.5294
3.950000 74.702 -90.3928
4.000000 75.177 -89.4817
4.060000 75.620 -88.8372
4.120000 76.009 -88.9367
4.180000 76.358 -89.6381
4.250000 76.710 -90.9473
4.310000 76.962 -92.2590
4.370000 77.165 -93.5320
4.440000 77.334 -94.8761
4.500000 77.419 -96.2085
4.550000 77.452 -97.4082
4.620000 77.447 -99.1222
4.680000 77.403 -100.5287
4.750000 77.313 -101.9737
4.820000 77.175 -103.2302
4.870000 77.037 -104.1119
4.940000 76.801 -105.2491
5.000000 76.573 -106.0633
5.080000 76.251 -106.8005
5.150000 75.968 -107.0145
5.220000 75.645 -106.8436
5.300000 75.242 -106.2561
5.380000 74.850 -105.3205
5.450000 74.554 -104.2737
5.520000 74.333 -103.0292
5.600000 74.140 -101.0646
5.700000 73.975 -98.1551
5.800000 73.901 -95.4147
5.900000 73.933 -93.4712
6.000000 74.105 -92.0112
6.080000 74.304 -91.1718
6.150000 74.486 -90.7430
6.220000 74.646 -90.6536
6.300000 74.810 -91.0478
6.400000 75.020 -92.2045
6.500000 75.207 -93.8365
6.600000 75.337 -95.6645
6.700000 75.404 -97.7898
6.800000 75.424 -100.2296
6.900000 75.402 -102.7283
7.000000 75.343 -105.0766
7.100000 75.232 -107.4415
7.200000 75.087 -109.7402
7.300000 74.933 -111.8057
7.400000 74.777 -113.5430
7.500000 74.599 -115.0396
7.620000 74.402 -116.5199
7.750000 74.261 -117.6968
7.880000 74.176 -118.3419
8.000000 74.159 -118.7451
8.120000 74.224 -119.2003
8.250000 74.390 -119.5981
8.380000 74.612 -120.1083
8.500000 74.844 -120.8795
8.620000 75.118 -121.8749
8.750000 75.421 -123.1172
8.850000 75.634 -124.1650
9.000000 75.943 -125.9566
9.120000 76.168 -127.3968
9.250000 76.376 -128.8419
9.380000 76.554 -130.2386
9.500000 76.699 -131.3726
9.620000 76.829 -132.2897
9.750000 76.949 -133.0880
9.880000 77.066 -133.6935
10.000000 77.178 -134.0568
10.150000 77.318 -134.2814
10.300000 77.470 -134.3727
10.440000 77.625 -134.3649
10.600000 77.808 -134.3569
10.750000 77.980 -134.3601
10.900000 78.151 -134.3734
11.060000 78.317 -134.4175
11.200000 78.450 -134.4875
11.380000 78.601 -134.5582
11.500000 78.686 -134.5834
11.720000 78.821 -134.5801
11.800000 78.865 -134.5524
12.060000 78.987 -134.3976
12.200000 79.048 -134.3056
12.410000 79.129 -134.1675
12.500000 79.160 -134.1326
12.650000 79.207 -134.1016
12.800000 79.244 -134.1029
13.150000 79.287 -134.2396
13.200000 79.289 -134.2630
13.400000 79.282 -134.3654
13.600000 79.266 -134.4606
13.800000 79.243 -134.5312
14.000000 79.224 -134.6290
14.300000 79.206 -134.8675
14.500000 79.203 -135.1680
14.750000 79.199 -135.7271
15.000000 79.191 -136.4888
15.250000 79.168 -137.3814
15.500000 79.138 -138.3066
15.750000 79.106 -139.2125
16.000000 79.086 -140.0449
16.250000 79.091 -140.8444
16.500000 79.123 -141.6412
16.750000 79.180 -142.4918
17.000000 79.250 -143.4023
17.250000 79.328 -144.3452
17.500000 79.405 -145.2762
17.750000 79.479 -146.1181
18.000000 79.554 -146.8491
18.250000 79.632 -147.4470
18.500000 79.717 -147.9377
18.750000 79.807 -148.3462
19.000000 79.900 -148.6960
19.250000 79.989 -149.0025
19.500000 80.072 -149.2607
19.750000 80.147 -149.4685
20.000000 80.215 -149.6235
20.299999 80.286 -149.7603
20.600000 80.346 -149.8669
20.900000 80.394 -149.9668
21.200001 80.425 -150.0666
21.400000 80.437 -150.1250
21.799999 80.445 -150.2180
22.000000 80.445 -150.2603
22.400000 80.442 -150.3798
22.700001 80.440 -150.5496
23.000000 80.433 -150.8163
23.299999 80.419 -151.1617
23.600000 80.398 -151.5513
24.000000 80.369 -152.0903
24.299999 80.354 -152.5007
24.700001 80.351 -153.0884
25.000000 80.360 -153.5844
25.400000 80.381 -154.3130
25.799999 80.406 -155.0527
26.200001 80.436 -155.7271
26.500000 80.464 -156.1712
26.900000 80.512 -156.6902
27.200001 80.554 -157.0368
27.600000 80.611 -157.4474
28.000000 80.666 -157.7924
28.500000 80.730 -158.1342
29.000000 80.783 -158.4036
29.500000 80.821 -158.6149
30.000000 80.845 -158.7709
30.400000 80.857 -158.8824
30.700001 80.864 -158.9820
31.100000 80.867 -159.1552
31.500000 80.863 -159.3682
32.000000 80.849 -159.6594
32.500000 80.836 -159.9724
33.000000 80.831 -160.3430
33.500000 80.830 -160.7822
34.000000 80.831 -161.2471
34.500000 80.838 -161.6944
35.000000 80.854 -162.1166
35.500000 80.876 -162.5149
36.000000 80.901 -162.8807
36.500000 80.929 -163.2120
37.000000 80.954 -163.5107
37.500000 80.973 -163.7639
38.200001 80.995 -164.0285
38.700001 81.011 -164.1973
39.500000 81.026 -164.5113
40.000000 81.027 -164.7027
40.599998 81.029 -164.9254
41.200001 81.034 -165.2058
41.799999 81.033 -165.5355
42.500000 81.027 -165.8806
43.099998 81.032 -166.1425
43.700001 81.042 -166.4280
44.400002 81.054 -166.7753
45.000000 81.061 -167.0465
45.500000 81.068 -167.2527
46.200001 81.077 -167.5224
46.799999 81.086 -167.7480
47.500000 81.092 -168.0186
48.200001 81.095 -168.2711
48.700001 81.097 -168.4261
49.400002 81.107 -168.6372
50.000000 81.119 -168.8538
50.799999 81.128 -169.1838
51.500000 81.127 -169.4302
52.200001 81.128 -169.6135
53.000000 81.133 -169.8340
53.799999 81.132 -170.0707
54.500000 81.129 -170.2430
55.200001 81.131 -170.4324
56.000000 81.131 -170.7007
57.000000 81.128 -171.0393
58.000000 81.127 -171.3444
59.000000 81.135 -171.6132
60.000000 81.144 -171.9129
60.799999 81.144 -172.1157
61.500000 81.144 -172.2664
62.200001 81.142 -172.4302
63.000000 81.133 -172.6006
64.000000 81.130 -172.7666
65.000000 81.135 -173.0520
66.000000 81.126 -173.3481
67.000000 81.127 -173.5674
68.000000 81.131 -173.8262
69.000000 81.131 -174.0626
70.000000 81.122 -174.2678
71.000000 81.118 -174.3830
72.000000 81.121 -174.6190
73.000000 81.106 -174.8668
74.000000 81.096 -175.0639
75.000000 81.087 -175.2884
76.199997 81.077 -175.5316
77.500000 81.064 -175.7691
78.800003 81.048 -176.0221
80.000000 81.025 -176.1829
81.199997 81.008 -176.3653
82.500000 80.992 -176.4609
83.800003 80.988 -176.6474
85.000000 80.979 -176.7429
86.199997 80.974 -176.9458
87.500000 80.953 -177.1554
88.500000 80.923 -177.3453
90.000000 80.886 -177.4651
91.199997 80.833 -177.5746
92.500000 80.822 -177.2794
93.800003 80.793 -177.3796
95.000000 80.748 -176.7890
96.199997 80.803 -176.2670
97.500000 80.877 -176.0686
98.800003 80.967 -176.2635
100.000000 80.973 -176.6803
101.500000 81.023 -176.5809
103.000000 81.070 -177.0552
104.400002 81.087 -177.4189
106.000000 81.075 -177.4323
107.500000 81.111 -177.9059
109.000000 81.073 -178.2336
110.599998 81.065 -178.3275
112.000000 81.070 -178.6588
113.800003 81.065 -178.8190
115.000000 81.073 -179.0281
117.199997 81.068 -179.3301
118.000000 81.060 -179.4384
120.599998 81.052 -179.7328
122.000000 81.047 -179.8473
124.099998 81.020 -179.7797
125.000000 81.067 -179.8246
126.500000 81.044 179.5939
128.000000 81.018 179.5376
131.500000 80.989 179.1891
132.000000 80.987 179.1451
134.000000 80.975 178.9535
136.000000 80.966 178.8298
138.000000 80.944 178.7297
140.000000 80.928 178.5053
143.000000 80.937 178.4579
145.000000 80.917 178.2611
147.500000 80.907 177.9964
150.000000 80.888 177.8758
152.500000 80.877 177.7136
155.000000 80.864 177.5139
157.500000 80.856 177.3769
160.000000 80.841 177.2703
162.500000 80.819 177.1540
165.000000 80.809 176.9908
167.500000 80.788 176.8213
170.000000 80.782 176.7439
172.500000 80.763 176.5799
175.000000 80.750 176.4422
177.500000 80.736 176.3629
180.000000 80.720 176.2517
182.500000 80.704 176.1466
185.000000 80.686 176.0734
187.500000 80.672 175.9758
190.000000 80.658 175.8631
192.500000 80.645 175.7841
195.000000 80.627 175.7232
197.500000 80.618 175.6079
200.000000 80.602 175.5324
203.000000 80.591 175.3985
206.000000 80.570 175.3051
209.000000 80.550 175.2540
212.000000 80.534 175.1950
214.000000 80.522 175.1288
218.000000 80.503 174.9885
220.000000 80.482 174.9113
224.000000 80.467 174.9113
227.000000 80.450 174.8140
230.000000 80.426 174.7197
233.000000 80.407 174.6664
236.000000 80.393 174.6043
240.000000 80.375 174.5143
243.000000 80.359 174.4963
247.000000 80.336 174.4194
250.000000 80.321 174.3557
254.000000 80.289 174.2655
258.000000 80.273 174.2450
262.000000 80.252 174.2252
265.000000 80.238 174.1597
269.000000 80.214 174.1623
272.000000 80.200 174.1143
276.000000 80.175 173.9906
280.000000 80.151 174.0504
285.000000 80.124 173.9898
290.000000 80.095 173.9776
295.000000 80.076 173.9401
300.000000 80.047 173.8770
304.000000 80.027 173.9144
