* Measurement data measured by REW V5.20.13
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), R, volume: 0,250
* Format: 256k Log Swept Sine, 1 sweep at -12,0 dBFS with no timing reference
* Dated: 11:27:37 21-07-2024
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: MiM DM L
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 82.917 132.2774
1.015000 82.709 131.6848
1.030000 82.491 131.1131
1.044000 82.277 130.6001
1.060000 82.019 130.0398
1.075000 81.765 129.5415
1.090000 81.498 129.0710
1.106000 81.196 128.5757
1.120000 80.907 128.0092
1.138000 80.500 127.0885
1.150000 80.209 126.3741
1.172000 79.642 124.9038
1.180000 79.425 124.3302
1.206000 78.692 122.3842
1.220000 78.282 121.3180
1.241000 77.653 119.7506
1.250000 77.380 119.1053
1.265000 76.922 118.0853
1.280000 76.464 117.1565
1.315000 75.407 115.4858
1.320000 75.258 115.3176
1.340000 74.677 114.8581
1.360000 74.118 114.7850
1.380000 73.589 115.1581
1.400000 73.096 116.0372
1.430000 72.437 118.4353
1.450000 72.062 120.8409
1.475000 71.670 124.9098
1.500000 71.323 130.5827
1.525000 71.009 137.7371
1.550000 70.730 146.1242
1.575000 70.487 155.4954
1.600000 70.281 165.6018
1.625000 70.112 176.1947
1.650000 69.982 -172.9748
1.675000 69.891 -162.1552
1.700000 69.841 -151.5955
1.725000 69.833 -141.5444
1.750000 69.867 -132.2506
1.775000 69.944 -123.9629
1.800000 70.066 -116.9301
1.825000 70.233 -111.4009
1.850000 70.463 -110.3293
1.875000 70.791 -110.3842
1.900000 71.203 -110.4754
1.925000 71.687 -110.5966
1.950000 72.228 -110.7410
1.975000 72.813 -110.9023
2.000000 73.428 -111.0739
2.030000 74.185 -111.2840
2.060000 74.941 -111.4882
2.090000 75.673 -111.6750
2.120000 76.355 -111.8334
2.140000 76.772 -111.9174
2.180000 77.479 -112.0190
2.200000 77.756 -112.0670
2.240000 78.210 -112.7108
2.270000 78.489 -113.3032
2.300000 78.721 -113.9689
2.330000 78.913 -114.6891
2.360000 79.070 -115.4452
2.400000 79.234 -116.4767
2.430000 79.332 -117.2437
2.470000 79.439 -118.2219
2.500000 79.508 -118.8979
2.540000 79.598 -119.6871
2.580000 79.693 -120.3231
2.620000 79.757 -120.9097
2.650000 79.783 -121.3279
2.690000 79.792 -121.8441
2.720000 79.782 -122.1917
2.760000 79.754 -122.5903
2.800000 79.712 -122.9004
2.850000 79.650 -123.1402
2.900000 79.589 -123.1876
2.950000 79.534 -123.0128
3.000000 79.456 -122.6091
3.040000 79.378 -122.1407
3.070000 79.313 -121.7154
3.110000 79.224 -121.0624
3.150000 79.138 -120.3265
3.200000 79.044 -119.3148
3.250000 78.975 -118.2308
3.300000 78.942 -117.1056
3.350000 78.942 -115.8247
3.400000 78.962 -114.3469
3.450000 79.001 -112.7515
3.500000 79.060 -111.1182
3.550000 79.135 -109.5263
3.600000 79.227 -108.0553
3.650000 79.334 -106.7846
3.700000 79.461 -105.7275
3.750000 79.618 -104.7686
3.820000 79.875 -103.5956
3.870000 80.072 -102.8892
3.950000 80.385 -102.0080
4.000000 80.567 -101.6248
4.060000 80.761 -101.3579
4.120000 80.952 -101.3401
4.180000 81.138 -101.5277
4.250000 81.342 -101.9345
4.310000 81.499 -102.3826
4.370000 81.635 -102.8656
4.440000 81.761 -103.4592
4.500000 81.846 -104.0917
4.550000 81.902 -104.6823
4.620000 81.961 -105.5550
4.680000 81.994 -106.2978
4.750000 82.015 -107.0965
4.820000 82.015 -107.8244
4.870000 81.997 -108.3465
4.940000 81.954 -109.0555
5.000000 81.906 -109.6193
5.080000 81.835 -110.2686
5.150000 81.773 -110.7054
5.220000 81.699 -111.0250
5.300000 81.603 -111.2737
5.380000 81.507 -111.4227
5.450000 81.434 -111.4914
5.520000 81.379 -111.5117
5.600000 81.329 -111.4041
5.700000 81.283 -111.1491
5.800000 81.263 -110.9082
5.900000 81.276 -110.8145
6.000000 81.326 -110.7736
6.080000 81.385 -110.8010
6.150000 81.444 -110.9067
6.220000 81.504 -111.1197
6.300000 81.577 -111.5093
6.400000 81.683 -112.1737
6.500000 81.790 -112.9937
6.600000 81.884 -113.9256
6.700000 81.965 -115.0108
6.800000 82.037 -116.2335
6.900000 82.097 -117.5013
7.000000 82.142 -118.7393
7.100000 82.171 -120.0116
7.200000 82.188 -121.2822
7.300000 82.201 -122.4827
7.400000 82.209 -123.5767
7.500000 82.209 -124.6012
7.620000 82.211 -125.7281
7.750000 82.229 -126.7986
7.880000 82.258 -127.6969
8.000000 82.300 -128.4381
8.120000 82.363 -129.1456
8.250000 82.454 -129.8344
8.380000 82.563 -130.5116
8.500000 82.674 -131.1846
8.620000 82.800 -131.8792
8.750000 82.941 -132.6595
8.850000 83.046 -133.2886
9.000000 83.205 -134.2844
9.120000 83.327 -135.0821
9.250000 83.448 -135.9221
9.380000 83.561 -136.7532
9.500000 83.657 -137.4728
9.620000 83.746 -138.1253
9.750000 83.835 -138.7727
9.880000 83.919 -139.3508
10.000000 83.996 -139.8124
10.150000 84.087 -140.3051
10.300000 84.179 -140.7401
10.440000 84.266 -141.0863
10.600000 84.363 -141.4430
10.750000 84.454 -141.7661
10.900000 84.542 -142.0707
11.060000 84.630 -142.3930
11.200000 84.701 -142.6728
11.380000 84.785 -143.0197
11.500000 84.834 -143.2420
11.720000 84.913 -143.6290
11.800000 84.939 -143.7605
12.060000 85.012 -144.1633
12.200000 85.046 -144.3738
12.410000 85.091 -144.6860
12.500000 85.108 -144.8274
12.650000 85.133 -145.0700
12.800000 85.155 -145.3254
13.150000 85.186 -145.9829
13.200000 85.189 -146.0812
13.400000 85.194 -146.4863
13.600000 85.194 -146.9019
13.800000 85.190 -147.3232
14.000000 85.185 -147.7606
14.300000 85.180 -148.4574
14.500000 85.179 -148.9702
14.750000 85.179 -149.6743
15.000000 85.180 -150.4489
15.250000 85.177 -151.2736
15.500000 85.174 -152.1133
15.750000 85.171 -152.9475
16.000000 85.172 -153.7505
16.250000 85.183 -154.5269
16.500000 85.203 -155.2829
16.750000 85.233 -156.0338
17.000000 85.269 -156.7853
17.250000 85.309 -157.5306
17.500000 85.349 -158.2584
17.750000 85.389 -158.9421
18.000000 85.427 -159.5726
18.250000 85.466 -160.1397
18.500000 85.505 -160.6494
18.750000 85.545 -161.1116
19.000000 85.585 -161.5355
19.250000 85.622 -161.9319
19.500000 85.656 -162.3018
19.750000 85.685 -162.6466
20.000000 85.709 -162.9663
20.299999 85.732 -163.3231
20.600000 85.748 -163.6602
20.900000 85.757 -163.9894
21.200001 85.759 -164.3202
21.400000 85.756 -164.5428
21.799999 85.743 -164.9940
22.000000 85.734 -165.2249
22.400000 85.711 -165.7075
22.700001 85.693 -166.0996
23.000000 85.673 -166.5255
23.299999 85.652 -166.9811
23.600000 85.630 -167.4567
24.000000 85.603 -168.1061
24.299999 85.586 -168.5986
24.700001 85.572 -169.2657
25.000000 85.566 -169.7765
25.400000 85.562 -170.4638
25.799999 85.562 -171.1337
26.200001 85.565 -171.7596
26.500000 85.570 -172.1933
26.900000 85.580 -172.7261
27.200001 85.588 -173.0945
27.600000 85.600 -173.5449
28.000000 85.609 -173.9488
28.500000 85.619 -174.4020
29.000000 85.624 -174.8297
29.500000 85.618 -175.2479
30.000000 85.602 -175.6484
30.400000 85.584 -175.9558
30.700001 85.569 -176.1870
31.100000 85.547 -176.5107
31.500000 85.524 -176.8585
32.000000 85.492 -177.3201
32.500000 85.461 -177.7981
33.000000 85.432 -178.2902
33.500000 85.407 -178.7968
34.000000 85.386 -179.3046
34.500000 85.367 -179.7953
35.000000 85.352 179.7393
35.500000 85.339 179.3030
36.000000 85.328 178.8977
36.500000 85.318 178.5187
37.000000 85.306 178.1579
37.500000 85.291 177.8171
38.200001 85.264 177.3851
38.700001 85.243 177.0932
39.500000 85.205 176.6057
40.000000 85.177 176.3022
40.599998 85.144 175.9557
41.200001 85.115 175.5974
41.799999 85.087 175.2058
42.500000 85.051 174.7497
43.099998 85.022 174.3908
43.700001 84.995 174.0489
44.400002 84.965 173.6687
45.000000 84.940 173.3670
45.500000 84.921 173.1173
46.200001 84.893 172.7475
46.799999 84.862 172.4357
47.500000 84.823 172.1280
48.200001 84.791 171.8550
48.700001 84.772 171.6413
49.400002 84.746 171.3057
50.000000 84.720 171.0137
50.799999 84.682 170.6444
51.500000 84.647 170.3545
52.200001 84.614 170.1061
53.000000 84.581 169.8207
53.799999 84.544 169.5119
54.500000 84.509 169.2677
55.200001 84.477 169.0276
56.000000 84.442 168.7199
57.000000 84.392 168.3484
58.000000 84.348 168.0243
59.000000 84.309 167.7097
60.000000 84.268 167.4119
60.799999 84.235 167.2173
61.500000 84.209 167.0314
62.200001 84.178 166.8259
63.000000 84.138 166.6208
64.000000 84.091 166.3753
65.000000 84.045 166.1140
66.000000 84.003 165.8496
67.000000 83.960 165.5834
68.000000 83.918 165.3621
69.000000 83.877 165.1553
70.000000 83.837 164.9804
71.000000 83.798 164.7663
72.000000 83.746 164.5683
73.000000 83.702 164.4635
74.000000 83.669 164.2846
75.000000 83.627 164.0727
76.199997 83.575 163.8826
77.500000 83.519 163.6811
78.800003 83.460 163.5200
80.000000 83.406 163.4166
81.199997 83.359 163.2940
82.500000 83.297 163.2169
83.800003 83.252 163.2254
85.000000 83.221 163.2173
86.199997 83.195 163.1474
87.500000 83.170 163.0837
88.500000 83.156 162.9403
90.000000 83.122 162.7268
91.199997 83.093 162.4931
92.500000 83.046 162.3577
93.800003 83.010 162.1952
95.000000 82.965 162.0660
96.199997 82.922 161.9131
97.500000 82.871 161.8057
98.800003 82.830 161.6911
100.000000 82.789 161.5295
101.500000 82.718 161.5181
103.000000 82.682 161.4928
104.400002 82.632 161.4519
106.000000 82.569 161.4367
107.500000 82.527 161.4778
109.000000 82.473 161.4713
110.599998 82.417 161.5896
112.000000 82.390 161.6605
113.800003 82.342 161.8384
115.000000 82.342 161.9189
117.199997 82.323 161.9846
118.000000 82.323 161.9952
120.599998 82.307 161.8271
122.000000 82.281 161.6098
124.099998 82.242 161.5110
125.000000 82.222 161.4350
126.500000 82.189 161.3002
128.000000 82.138 161.2508
131.500000 82.035 161.1896
132.000000 82.022 161.2153
134.000000 81.968 161.2475
136.000000 81.919 161.3778
138.000000 81.885 161.5400
140.000000 81.859 161.7476
143.000000 81.833 161.9447
145.000000 81.830 161.9578
147.500000 81.825 161.8894
150.000000 81.815 161.7998
152.500000 81.793 161.6366
155.000000 81.749 161.5748
157.500000 81.711 161.5067
160.000000 81.672 161.4453
162.500000 81.633 161.4269
165.000000 81.600 161.4095
167.500000 81.568 161.3972
170.000000 81.536 161.3463
172.500000 81.505 161.2397
175.000000 81.467 161.2359
177.500000 81.429 161.1912
180.000000 81.387 161.1797
182.500000 81.360 161.1440
185.000000 81.322 161.1492
187.500000 81.289 161.1942
190.000000 81.248 161.2053
192.500000 81.216 161.1965
195.000000 81.189 161.2440
197.500000 81.151 161.2916
200.000000 81.118 161.3188
203.000000 81.083 161.3446
206.000000 81.043 161.3867
209.000000 81.015 161.4052
212.000000 80.980 161.4756
214.000000 80.955 161.5274
218.000000 80.911 161.5193
220.000000 80.897 161.5976
224.000000 80.851 161.6829
227.000000 80.825 161.7353
230.000000 80.791 161.7687
233.000000 80.759 161.8426
236.000000 80.724 161.8772
240.000000 80.688 161.9145
243.000000 80.661 161.9924
247.000000 80.623 162.0323
250.000000 80.599 162.1061
254.000000 80.555 162.2111
258.000000 80.525 162.2555
262.000000 80.493 162.3304
265.000000 80.463 162.4514
269.000000 80.423 162.5623
272.000000 80.409 162.6308
276.000000 80.375 162.7191
280.000000 80.344 162.7247
285.000000 80.301 162.8919
290.000000 80.269 163.0422
295.000000 80.227 163.1566
300.000000 80.189 163.2418
304.000000 80.154 163.3357
307.000000 80.142 163.4156
311.000000 80.101 163.5177
315.000000 80.073 163.6246
320.000000 80.055 163.7427
325.000000 80.017 163.9013
330.000000 79.987 164.0023
