* Measurement data measured by REW V5.20.13
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), R, volume: 0,250
* Format: 256k Log Swept Sine, 1 sweep at -12,0 dBFS with no timing reference
* Dated: 18:16:15 21-07-2024
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: MiM DM v1 set 2 R
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 84.210 122.6043
1.015000 84.021 121.7406
1.030000 83.824 120.8753
1.044000 83.633 120.0660
1.060000 83.405 119.1392
1.075000 83.181 118.2680
1.090000 82.947 117.3947
1.106000 82.687 116.4222
1.120000 82.451 115.3315
1.138000 82.135 113.5890
1.150000 81.918 112.2458
1.172000 81.507 109.4833
1.180000 81.353 108.4023
1.206000 80.839 104.7050
1.220000 80.552 102.6507
1.241000 80.112 99.5743
1.250000 79.919 98.2811
1.265000 79.593 96.1916
1.280000 79.261 94.2187
1.315000 78.463 90.2935
1.320000 78.347 89.8320
1.340000 77.876 88.2931
1.360000 77.398 87.3167
1.380000 76.911 86.9974
1.400000 76.418 87.4300
1.430000 75.666 89.6956
1.450000 75.158 92.4220
1.475000 74.507 97.4331
1.500000 73.758 104.8257
1.525000 72.913 114.4084
1.550000 71.995 125.8100
1.575000 71.030 138.6591
1.600000 70.040 152.5846
1.625000 69.050 167.2151
1.650000 68.083 -177.8205
1.675000 67.165 -162.8935
1.700000 66.318 -148.3751
1.725000 65.567 -134.6367
1.750000 64.936 -122.0495
1.775000 64.449 -110.9847
1.800000 64.130 -101.8135
1.825000 64.003 -94.9071
1.850000 64.097 -90.3485
1.875000 64.422 -87.5305
1.900000 64.947 -86.2345
1.925000 65.641 -86.2657
1.950000 66.475 -87.4292
1.975000 67.417 -89.5305
2.000000 68.436 -92.3746
2.030000 69.719 -96.4940
2.060000 71.016 -101.0662
2.090000 72.275 -105.7546
2.120000 73.442 -110.2227
2.140000 74.143 -112.9129
2.180000 75.288 -117.1518
2.200000 75.702 -118.5068
2.240000 76.336 -120.7012
2.270000 76.701 -122.2737
2.300000 76.983 -123.7869
2.330000 77.192 -125.2438
2.360000 77.339 -126.6476
2.400000 77.458 -128.4421
2.430000 77.504 -129.7341
2.470000 77.526 -131.3908
2.500000 77.527 -132.5879
2.540000 77.530 -134.1294
2.580000 77.548 -135.6243
2.620000 77.532 -137.1422
2.650000 77.491 -138.2829
2.690000 77.399 -139.7706
2.720000 77.304 -140.8372
2.760000 77.147 -142.1575
2.800000 76.959 -143.3205
2.850000 76.684 -144.4847
2.900000 76.374 -145.2455
2.950000 76.025 -145.5505
3.000000 75.575 -145.6282
3.040000 75.152 -145.5224
3.070000 74.812 -145.3157
3.110000 74.345 -144.8348
3.150000 73.880 -144.0784
3.200000 73.334 -142.6775
3.250000 72.863 -140.6895
3.300000 72.507 -138.0249
3.350000 72.231 -134.2627
3.400000 71.998 -129.4185
3.450000 71.816 -123.8900
3.500000 71.694 -118.0745
3.550000 71.642 -112.3696
3.600000 71.668 -107.1728
3.650000 71.781 -102.8816
3.700000 72.011 -99.6089
3.750000 72.387 -96.8515
3.820000 73.081 -93.7453
3.870000 73.639 -92.0158
3.950000 74.518 -89.9951
4.000000 74.991 -89.1418
4.060000 75.433 -88.5438
4.120000 75.820 -88.6731
4.180000 76.167 -89.3926
4.250000 76.516 -90.7122
4.310000 76.766 -92.0272
4.370000 76.966 -93.3018
4.440000 77.134 -94.6475
4.500000 77.218 -95.9766
4.550000 77.251 -97.1705
4.620000 77.246 -98.8727
4.680000 77.203 -100.2664
4.750000 77.114 -101.6943
4.820000 76.978 -102.9308
4.870000 76.841 -103.7950
4.940000 76.608 -104.9050
5.000000 76.382 -105.6948
5.080000 76.066 -106.4006
5.150000 75.789 -106.5896
5.220000 75.474 -106.3904
5.300000 75.081 -105.7693
5.380000 74.701 -104.8060
5.450000 74.416 -103.7453
5.520000 74.205 -102.5016
5.600000 74.025 -100.5561
5.700000 73.877 -97.6883
5.800000 73.819 -94.9989
5.900000 73.862 -93.1062
6.000000 74.042 -91.7078
6.080000 74.245 -90.9198
6.150000 74.429 -90.5312
6.220000 74.592 -90.4727
6.300000 74.758 -90.8894
6.400000 74.970 -92.0616
6.500000 75.157 -93.6979
6.600000 75.289 -95.5218
6.700000 75.359 -97.6328
6.800000 75.381 -100.0484
6.900000 75.363 -102.5171
7.000000 75.307 -104.8329
7.100000 75.200 -107.1594
7.200000 75.059 -109.4162
7.300000 74.910 -111.4407
7.400000 74.759 -113.1394
7.500000 74.587 -114.5969
7.620000 74.396 -116.0347
7.750000 74.262 -117.1772
7.880000 74.183 -117.7990
8.000000 74.170 -118.1880
8.120000 74.238 -118.6350
8.250000 74.405 -119.0327
8.380000 74.627 -119.5460
8.500000 74.856 -120.3182
8.620000 75.128 -121.3146
8.750000 75.428 -122.5583
8.850000 75.638 -123.6071
9.000000 75.943 -125.3993
9.120000 76.165 -126.8419
9.250000 76.371 -128.2929
9.380000 76.546 -129.6982
9.500000 76.689 -130.8436
9.620000 76.817 -131.7759
9.750000 76.936 -132.5948
9.880000 77.052 -133.2236
10.000000 77.163 -133.6108
10.150000 77.301 -133.8683
10.300000 77.451 -134.0225
10.440000 77.605 -134.0525
10.600000 77.786 -134.0416
10.750000 77.957 -134.0753
10.900000 78.128 -134.1191
11.060000 78.295 -134.1981
11.200000 78.429 -134.3001
11.380000 78.581 -134.4159
11.500000 78.668 -134.4744
11.720000 78.805 -134.5362
11.800000 78.849 -134.5332
12.060000 78.972 -134.4602
12.200000 79.033 -134.4089
12.410000 79.113 -134.3270
12.500000 79.144 -134.3129
12.650000 79.190 -134.3122
12.800000 79.228 -134.3397
13.150000 79.274 -134.5242
13.200000 79.276 -134.5543
13.400000 79.274 -134.6828
13.600000 79.262 -134.8068
13.800000 79.244 -134.9112
14.000000 79.230 -135.0451
14.300000 79.219 -135.3400
14.500000 79.219 -135.6740
14.750000 79.220 -136.2674
15.000000 79.216 -137.0544
15.250000 79.199 -137.9669
15.500000 79.175 -138.9130
15.750000 79.149 -139.8445
16.000000 79.135 -140.7111
16.250000 79.143 -141.5496
16.500000 79.175 -142.3864
16.750000 79.231 -143.2711
17.000000 79.298 -144.2047
17.250000 79.371 -145.1595
17.500000 79.444 -146.0925
17.750000 79.516 -146.9334
18.000000 79.589 -147.6656
18.250000 79.667 -148.2726
18.500000 79.752 -148.7850
18.750000 79.842 -149.2271
19.000000 79.933 -149.6214
19.250000 80.019 -149.9779
19.500000 80.098 -150.2864
19.750000 80.168 -150.5405
20.000000 80.230 -150.7327
20.299999 80.295 -150.9017
20.600000 80.351 -151.0305
20.900000 80.397 -151.1498
21.200001 80.430 -151.2767
21.400000 80.445 -151.3625
21.799999 80.458 -151.5338
22.000000 80.460 -151.6252
22.400000 80.458 -151.8519
22.700001 80.454 -152.0965
23.000000 80.443 -152.4229
23.299999 80.425 -152.8104
23.600000 80.402 -153.2270
24.000000 80.371 -153.7873
24.299999 80.356 -154.2109
24.700001 80.355 -154.8200
25.000000 80.365 -155.3362
25.400000 80.386 -156.0943
25.799999 80.410 -156.8606
26.200001 80.437 -157.5552
26.500000 80.464 -158.0112
26.900000 80.509 -158.5461
27.200001 80.549 -158.9088
27.600000 80.605 -159.3495
28.000000 80.657 -159.7333
28.500000 80.716 -160.1268
29.000000 80.765 -160.4445
29.500000 80.799 -160.7046
30.000000 80.821 -160.9203
30.400000 80.832 -161.0878
30.700001 80.838 -161.2309
31.100000 80.840 -161.4596
31.500000 80.834 -161.7251
32.000000 80.820 -162.0837
32.500000 80.806 -162.4708
33.000000 80.797 -162.9096
33.500000 80.790 -163.3907
34.000000 80.786 -163.8691
34.500000 80.792 -164.3267
35.000000 80.807 -164.7799
35.500000 80.825 -165.2231
36.000000 80.844 -165.6204
36.500000 80.865 -165.9628
37.000000 80.887 -166.2793
37.500000 80.904 -166.5785
38.200001 80.917 -166.9187
38.700001 80.925 -167.1108
39.500000 80.939 -167.4610
40.000000 80.942 -167.7233
40.599998 80.940 -168.0488
41.200001 80.937 -168.3813
41.799999 80.934 -168.7260
42.500000 80.932 -169.1289
43.099998 80.934 -169.4695
43.700001 80.936 -169.7912
44.400002 80.942 -170.1268
45.000000 80.952 -170.4136
45.500000 80.958 -170.6685
46.200001 80.959 -171.0066
46.799999 80.958 -171.2584
47.500000 80.960 -171.5639
48.200001 80.956 -171.8979
48.700001 80.949 -172.1214
49.400002 80.942 -172.3910
50.000000 80.943 -172.6070
50.799999 80.950 -172.9295
51.500000 80.953 -173.2427
52.200001 80.950 -173.5312
53.000000 80.945 -173.8145
53.799999 80.940 -174.0809
54.500000 80.935 -174.3090
55.200001 80.932 -174.5547
56.000000 80.925 -174.8617
57.000000 80.915 -175.2358
58.000000 80.908 -175.6093
59.000000 80.899 -175.9496
60.000000 80.894 -176.2209
60.799999 80.893 -176.4510
61.500000 80.885 -176.6617
62.200001 80.873 -176.8260
63.000000 80.865 -177.0000
64.000000 80.854 -177.2950
65.000000 80.840 -177.5659
66.000000 80.836 -177.8700
67.000000 80.826 -178.1822
68.000000 80.822 -178.4151
69.000000 80.822 -178.6826
70.000000 80.810 -178.9191
71.000000 80.800 -179.1353
72.000000 80.784 -179.3659
73.000000 80.772 -179.6180
74.000000 80.752 -179.9188
75.000000 80.732 179.8561
76.199997 80.722 179.5364
77.500000 80.693 179.2064
78.800003 80.673 178.9871
80.000000 80.649 178.7030
81.199997 80.616 178.4964
82.500000 80.583 178.2549
83.800003 80.540 178.0443
85.000000 80.495 177.9441
86.199997 80.462 177.9409
87.500000 80.431 177.9195
88.500000 80.404 177.9809
90.000000 80.403 178.1627
91.199997 80.413 178.1058
92.500000 80.410 178.0761
93.800003 80.412 178.0729
95.000000 80.421 178.0718
96.199997 80.435 178.0242
97.500000 80.456 177.9620
98.800003 80.486 177.7649
100.000000 80.496 177.5566
101.500000 80.515 177.2716
103.000000 80.507 176.9661
104.400002 80.506 176.6985
106.000000 80.489 176.3895
107.500000 80.488 176.1582
109.000000 80.468 175.8932
110.599998 80.461 175.6512
112.000000 80.439 175.4671
113.800003 80.419 175.3176
115.000000 80.418 175.1890
117.199997 80.417 174.9518
118.000000 80.407 174.8169
120.599998 80.391 174.4734
122.000000 80.378 174.2869
124.099998 80.361 174.0016
125.000000 80.349 173.8877
126.500000 80.337 173.7267
128.000000 80.319 173.5651
131.500000 80.279 173.1500
132.000000 80.273 173.1160
134.000000 80.240 172.9111
136.000000 80.224 172.7899
138.000000 80.202 172.5908
140.000000 80.179 172.4297
143.000000 80.151 172.1326
145.000000 80.133 172.0545
147.500000 80.105 171.8139
150.000000 80.076 171.6282
152.500000 80.050 171.5233
155.000000 80.034 171.3791
157.500000 80.006 171.1905
160.000000 79.972 171.1065
162.500000 79.953 170.9140
165.000000 79.926 170.7599
167.500000 79.900 170.6090
170.000000 79.872 170.4853
172.500000 79.855 170.3708
175.000000 79.830 170.2466
177.500000 79.799 170.1115
180.000000 79.783 170.0045
182.500000 79.759 169.9221
185.000000 79.738 169.8653
187.500000 79.709 169.7522
190.000000 79.690 169.6149
192.500000 79.670 169.5819
195.000000 79.656 169.4770
197.500000 79.620 169.3817
200.000000 79.594 169.2769
203.000000 79.573 169.1428
206.000000 79.544 169.0903
209.000000 79.526 169.0082
212.000000 79.498 168.8798
214.000000 79.483 168.8576
218.000000 79.451 168.7166
220.000000 79.425 168.6590
224.000000 79.395 168.5519
227.000000 79.372 168.5251
230.000000 79.345 168.4838
233.000000 79.325 168.4044
236.000000 79.291 168.4214
240.000000 79.267 168.2593
243.000000 79.248 168.1632
247.000000 79.225 168.2029
250.000000 79.204 168.1785
254.000000 79.167 168.0181
258.000000 79.130 167.9453
262.000000 79.111 167.8770
265.000000 79.087 167.8665
269.000000 79.056 167.8587
272.000000 79.034 167.7797
276.000000 79.008 167.6878
280.000000 78.980 167.6350
285.000000 78.946 167.5909
290.000000 78.912 167.5467
295.000000 78.878 167.5937
300.000000 78.835 167.5004
304.000000 78.817 167.5024
307.000000 78.790 167.4157
311.000000 78.771 167.4609
