* Measurement data measured by REW V5.20.13
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), R, volume: 0,250
* Format: 256k Log Swept Sine, 1 sweep at -12,0 dBFS with no timing reference
* Dated: 06:01:41 23-07-2024
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: MiM DM v1 set 2 Tanya L
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 84.284 121.7426
1.015000 84.102 120.8657
1.030000 83.913 119.9874
1.044000 83.729 119.1664
1.060000 83.511 118.2264
1.075000 83.297 117.3435
1.090000 83.075 116.4587
1.106000 82.829 115.4741
1.120000 82.612 114.3700
1.138000 82.331 112.6061
1.150000 82.143 111.2467
1.172000 81.792 108.4508
1.180000 81.663 107.3568
1.206000 81.234 103.6156
1.220000 80.996 101.5371
1.241000 80.630 98.4249
1.250000 80.468 97.1169
1.265000 80.193 95.0035
1.280000 79.909 93.0086
1.315000 79.208 89.0416
1.320000 79.103 88.5754
1.340000 78.671 87.0222
1.360000 78.216 86.0391
1.380000 77.737 85.7220
1.400000 77.233 86.1667
1.430000 76.423 88.4719
1.450000 75.845 91.2406
1.475000 75.065 96.3273
1.500000 74.121 103.8412
1.525000 73.018 113.5880
1.550000 71.793 125.1876
1.575000 70.481 138.2600
1.600000 69.116 152.4250
1.625000 67.735 167.3027
1.650000 66.373 -177.4872
1.675000 65.065 -162.3247
1.700000 63.846 -147.5898
1.725000 62.751 -133.6626
1.750000 61.817 -120.9233
1.775000 61.078 -109.7518
1.800000 60.569 -100.5284
1.825000 60.327 -93.6329
1.850000 60.386 -89.1560
1.875000 60.747 -86.4876
1.900000 61.370 -85.4002
1.925000 62.214 -85.6899
1.950000 63.241 -87.1532
1.975000 64.411 -89.5863
2.000000 65.682 -92.7854
2.030000 67.287 -97.3488
2.060000 68.914 -102.3699
2.090000 70.492 -107.4967
2.120000 71.955 -112.3773
2.140000 72.831 -115.3204
2.180000 74.254 -119.9915
2.200000 74.761 -121.5168
2.240000 75.525 -123.9841
2.270000 75.955 -125.7190
2.300000 76.278 -127.3654
2.330000 76.510 -128.9331
2.360000 76.665 -130.4317
2.400000 76.775 -132.3389
2.430000 76.805 -133.7135
2.470000 76.802 -135.4904
2.500000 76.786 -136.7935
2.540000 76.774 -138.5100
2.580000 76.794 -140.2278
2.620000 76.785 -141.9876
2.650000 76.748 -143.3174
2.690000 76.661 -145.0691
2.720000 76.568 -146.3431
2.760000 76.408 -147.9539
2.800000 76.209 -149.4247
2.850000 75.908 -151.0002
2.900000 75.552 -152.2044
2.950000 75.136 -153.0123
3.000000 74.598 -153.8289
3.040000 74.091 -154.4394
3.070000 73.682 -154.7990
3.110000 73.114 -155.0582
3.150000 72.541 -154.9635
3.200000 71.850 -154.1774
3.250000 71.227 -152.4464
3.300000 70.714 -149.5497
3.350000 70.246 -144.9421
3.400000 69.782 -138.7298
3.450000 69.352 -131.4820
3.500000 68.988 -123.7677
3.550000 68.722 -116.1561
3.600000 68.584 -109.2162
3.650000 68.608 -103.5173
3.700000 68.841 -99.2166
3.750000 69.310 -95.5868
3.820000 70.236 -91.4851
3.870000 70.997 -89.1937
3.950000 72.197 -86.5080
4.000000 72.829 -85.3715
4.060000 73.390 -84.5776
4.120000 73.859 -84.7584
4.180000 74.262 -85.7227
4.250000 74.654 -87.4720
4.310000 74.926 -89.1926
4.370000 75.140 -90.8275
4.440000 75.315 -92.4903
4.500000 75.393 -94.0964
4.550000 75.411 -95.5252
4.620000 75.373 -97.5504
4.680000 75.291 -99.2043
4.750000 75.145 -100.9021
4.820000 74.939 -102.3956
4.870000 74.744 -103.4586
4.940000 74.418 -104.8286
5.000000 74.103 -105.7882
5.080000 73.655 -106.5839
5.150000 73.251 -106.6736
5.220000 72.780 -106.2485
5.300000 72.189 -105.2292
5.380000 71.613 -103.7043
5.450000 71.183 -102.0073
5.520000 70.867 -99.9630
5.600000 70.602 -96.7364
5.700000 70.388 -91.9823
5.800000 70.306 -87.5450
5.900000 70.369 -84.4801
6.000000 70.640 -82.3458
6.080000 70.941 -81.1953
6.150000 71.206 -80.6328
6.220000 71.426 -80.5157
6.300000 71.625 -81.0469
6.400000 71.858 -82.6519
6.500000 72.042 -84.8993
6.600000 72.145 -87.3588
6.700000 72.157 -90.1440
6.800000 72.095 -93.3120
6.900000 71.975 -96.5558
7.000000 71.804 -99.6265
7.100000 71.563 -102.7380
7.200000 71.273 -105.7693
7.300000 70.972 -108.4916
7.400000 70.663 -110.7841
7.500000 70.321 -112.7722
7.620000 69.938 -114.7115
7.750000 69.638 -116.1467
7.880000 69.425 -116.7655
8.000000 69.330 -117.0600
8.120000 69.377 -117.4617
8.250000 69.590 -117.7754
8.380000 69.896 -118.2946
8.500000 70.218 -119.2780
8.620000 70.609 -120.6505
8.750000 71.040 -122.3920
8.850000 71.338 -123.8469
9.000000 71.764 -126.3452
9.120000 72.072 -128.3398
9.250000 72.351 -130.3058
9.380000 72.582 -132.1787
9.500000 72.768 -133.6709
9.620000 72.929 -134.8408
9.750000 73.072 -135.8138
9.880000 73.210 -136.4989
10.000000 73.341 -136.8400
10.150000 73.504 -136.9244
10.300000 73.684 -136.8598
10.440000 73.872 -136.6326
10.600000 74.096 -136.3140
10.750000 74.307 -136.0948
10.900000 74.519 -135.9011
11.060000 74.722 -135.7481
11.200000 74.881 -135.6694
11.380000 75.058 -135.5461
11.500000 75.155 -135.4346
11.720000 75.302 -135.1625
11.800000 75.349 -135.0250
12.060000 75.477 -134.4858
12.200000 75.541 -134.1850
12.410000 75.626 -133.7375
12.500000 75.658 -133.5840
12.650000 75.706 -133.3712
12.800000 75.742 -133.2098
13.150000 75.765 -133.0463
13.200000 75.762 -133.0298
13.400000 75.731 -132.9805
13.600000 75.685 -132.9208
13.800000 75.629 -132.8239
14.000000 75.578 -132.7608
14.300000 75.515 -132.7881
14.500000 75.486 -133.0041
14.750000 75.450 -133.5357
15.000000 75.408 -134.3593
15.250000 75.346 -135.3782
15.500000 75.275 -136.4579
15.750000 75.202 -137.5277
16.000000 75.149 -138.5138
16.250000 75.132 -139.4729
16.500000 75.154 -140.4453
16.750000 75.214 -141.5061
17.000000 75.293 -142.6541
17.250000 75.384 -143.8456
17.500000 75.475 -145.0132
17.750000 75.566 -146.0495
18.000000 75.659 -146.9279
18.250000 75.758 -147.6213
18.500000 75.867 -148.1700
18.750000 75.982 -148.6069
19.000000 76.099 -148.9623
19.250000 76.209 -149.2493
19.500000 76.310 -149.4582
19.750000 76.400 -149.5843
20.000000 76.481 -149.6293
20.299999 76.566 -149.6163
20.600000 76.638 -149.5725
20.900000 76.690 -149.5350
21.200001 76.719 -149.5056
21.400000 76.724 -149.4700
21.799999 76.711 -149.3397
22.000000 76.699 -149.2528
22.400000 76.676 -149.1053
22.700001 76.664 -149.1084
23.000000 76.650 -149.2701
23.299999 76.627 -149.5740
23.600000 76.594 -149.9694
24.000000 76.543 -150.5560
24.299999 76.512 -151.0133
24.700001 76.493 -151.6773
25.000000 76.496 -152.2484
25.400000 76.514 -153.1046
25.799999 76.542 -153.9893
26.200001 76.578 -154.8065
26.500000 76.614 -155.3488
26.900000 76.674 -155.9815
27.200001 76.724 -156.3945
27.600000 76.791 -156.8563
28.000000 76.855 -157.1994
28.500000 76.930 -157.4712
29.000000 76.996 -157.6293
29.500000 77.044 -157.7178
30.000000 77.076 -157.7637
30.400000 77.092 -157.8132
30.700001 77.097 -157.8854
31.100000 77.093 -158.0367
31.500000 77.074 -158.2242
32.000000 77.041 -158.4627
32.500000 77.015 -158.7328
33.000000 76.999 -159.1133
33.500000 76.985 -159.5923
34.000000 76.974 -160.0674
34.500000 76.979 -160.4981
35.000000 77.004 -160.9382
35.500000 77.034 -161.4036
36.000000 77.062 -161.8180
36.500000 77.091 -162.1332
37.000000 77.125 -162.3972
37.500000 77.154 -162.6544
38.200001 77.171 -162.9140
38.700001 77.180 -162.9860
39.500000 77.209 -163.1416
40.000000 77.221 -163.3616
40.599998 77.218 -163.6774
41.200001 77.208 -163.9644
41.799999 77.203 -164.2410
42.500000 77.204 -164.5849
43.099998 77.209 -164.8806
43.700001 77.219 -165.1741
44.400002 77.227 -165.4936
45.000000 77.232 -165.6929
45.500000 77.241 -165.8246
46.200001 77.255 -166.0674
46.799999 77.244 -166.2675
47.500000 77.232 -166.2347
48.200001 77.284 -166.2161
48.700001 77.333 -166.5670
49.400002 77.325 -167.3754
50.000000 77.255 -167.7063
50.799999 77.223 -167.5762
51.500000 77.259 -167.7255
52.200001 77.262 -168.0845
53.000000 77.251 -168.2527
53.799999 77.266 -168.4398
54.500000 77.264 -168.6945
55.200001 77.256 -168.8529
56.000000 77.261 -169.0363
57.000000 77.260 -169.3585
58.000000 77.257 -169.5950
59.000000 77.262 -169.7805
60.000000 77.282 -169.9460
60.799999 77.293 -170.2187
61.500000 77.273 -170.4485
62.200001 77.246 -170.4956
63.000000 77.241 -170.4960
64.000000 77.240 -170.7197
65.000000 77.228 -170.9213
66.000000 77.241 -171.1709
67.000000 77.239 -171.5516
68.000000 77.223 -171.6988
69.000000 77.241 -171.7126
70.000000 77.270 -171.8611
71.000000 77.283 -172.0836
72.000000 77.282 -172.3093
73.000000 77.271 -172.5424
74.000000 77.250 -172.6959
75.000000 77.247 -172.7874
76.199997 77.245 -172.9473
77.500000 77.256 -173.1393
78.800003 77.247 -173.2994
80.000000 77.255 -173.6158
81.199997 77.204 -173.7979
82.500000 77.213 -173.8693
83.800003 77.191 -174.1331
85.000000 77.190 -174.2137
86.199997 77.191 -174.4200
87.500000 77.171 -174.6479
88.500000 77.164 -174.6671
90.000000 77.168 -174.9838
91.199997 77.150 -175.0624
92.500000 77.154 -175.2367
93.800003 77.140 -175.3552
95.000000 77.133 -175.4618
96.199997 77.124 -175.5716
97.500000 77.106 -175.7340
98.800003 77.099 -175.7605
100.000000 77.097 -175.9714
101.500000 77.074 -176.0402
103.000000 77.070 -176.1933
104.400002 77.051 -176.3455
106.000000 77.043 -176.4068
107.500000 77.025 -176.6559
109.000000 77.007 -176.6277
110.599998 77.009 -176.7977
112.000000 76.977 -176.8915
113.800003 76.971 -177.0103
115.000000 76.954 -177.0141
117.199997 76.951 -177.2154
118.000000 76.945 -177.2614
120.599998 76.908 -177.3805
122.000000 76.903 -177.5152
124.099998 76.889 -177.6243
125.000000 76.872 -177.7305
126.500000 76.856 -177.5891
128.000000 76.868 -177.7865
131.500000 76.804 -177.9444
132.000000 76.803 -177.9347
134.000000 76.785 -178.0835
136.000000 76.762 -178.0999
138.000000 76.745 -178.2146
140.000000 76.712 -178.1030
143.000000 76.700 -178.0954
145.000000 76.676 -178.1517
147.500000 76.671 -178.1745
150.000000 76.665 -178.1881
152.500000 76.657 -178.3001
155.000000 76.652 -178.4067
157.500000 76.627 -178.4475
160.000000 76.596 -178.5424
162.500000 76.574 -178.6093
165.000000 76.546 -178.6193
167.500000 76.525 -178.6380
170.000000 76.485 -178.6799
172.500000 76.442 -178.5521
175.000000 76.416 -178.3598
177.500000 76.418 -178.0188
180.000000 76.443 -177.8348
182.500000 76.475 -177.9161
185.000000 76.489 -178.1461
187.500000 76.489 -178.3346
190.000000 76.488 -178.4374
192.500000 76.470 -178.5559
195.000000 76.455 -178.7591
197.500000 76.421 -178.6937
200.000000 76.404 -178.7679
203.000000 76.380 -178.8311
206.000000 76.354 -178.8563
209.000000 76.324 -178.8890
212.000000 76.300 -178.9319
214.000000 76.293 -178.9366
218.000000 76.259 -178.9757
220.000000 76.243 -178.9727
224.000000 76.211 -179.0043
227.000000 76.179 -178.9680
230.000000 76.164 -178.9405
233.000000 76.146 -178.7849
236.000000 76.138 -178.8560
240.000000 76.098 -178.8221
243.000000 76.079 -178.8713
247.000000 76.052 -178.7778
250.000000 76.039 -178.6807
254.000000 76.006 -178.6880
258.000000 75.991 -178.6837
262.000000 75.957 -178.6516
265.000000 75.932 -178.6171
269.000000 75.904 -178.5961
272.000000 75.896 -178.5727
276.000000 75.853 -178.5293
280.000000 75.842 -178.4547
