* Measurement data measured by REW V5.20.13
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), R, volume: 0,250
* Format: 256k Log Swept Sine, 1 sweep at -12,0 dBFS with no timing reference
* Dated: 18:13:14 21-07-2024
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: MiM DM v1 set 2 hana L
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 84.249 122.3977
1.015000 84.061 121.5293
1.030000 83.865 120.6590
1.044000 83.674 119.8450
1.060000 83.447 118.9123
1.075000 83.224 118.0356
1.090000 82.992 117.1563
1.106000 82.733 116.1770
1.120000 82.499 115.0782
1.138000 82.187 113.3224
1.150000 81.973 111.9689
1.172000 81.567 109.1847
1.180000 81.416 108.0951
1.206000 80.909 104.3683
1.220000 80.628 102.2974
1.241000 80.194 99.1959
1.250000 80.004 97.8921
1.265000 79.683 95.7851
1.280000 79.355 93.7956
1.315000 78.568 89.8363
1.320000 78.452 89.3706
1.340000 77.986 87.8172
1.360000 77.510 86.8304
1.380000 77.025 86.5056
1.400000 76.531 86.9382
1.430000 75.775 89.2160
1.450000 75.262 91.9596
1.475000 74.600 97.0045
1.500000 73.835 104.4513
1.525000 72.969 114.1069
1.550000 72.025 125.5965
1.575000 71.031 138.5456
1.600000 70.009 152.5791
1.625000 68.986 167.3225
1.650000 67.987 -177.5991
1.675000 67.035 -162.5603
1.700000 66.157 -147.9359
1.725000 65.377 -134.1006
1.750000 64.720 -121.4293
1.775000 64.211 -110.2967
1.800000 63.875 -101.0774
1.825000 63.737 -94.1462
1.850000 63.828 -89.5881
1.875000 64.154 -86.7929
1.900000 64.685 -85.5392
1.925000 65.390 -85.6291
1.950000 66.238 -86.8652
1.975000 67.197 -89.0499
2.000000 68.235 -91.9855
2.030000 69.542 -96.2211
2.060000 70.864 -100.9120
2.090000 72.147 -105.7168
2.120000 73.336 -110.2939
2.140000 74.050 -113.0501
2.180000 75.217 -117.3992
2.200000 75.638 -118.7952
2.240000 76.282 -121.0537
2.270000 76.651 -122.6639
2.300000 76.936 -124.2075
2.330000 77.147 -125.6890
2.360000 77.295 -127.1129
2.400000 77.413 -128.9299
2.430000 77.458 -130.2373
2.470000 77.477 -131.9155
2.500000 77.477 -133.1311
2.540000 77.478 -134.7035
2.580000 77.495 -136.2384
2.620000 77.479 -137.8000
2.650000 77.438 -138.9745
2.690000 77.345 -140.5091
2.720000 77.250 -141.6118
2.760000 77.092 -142.9817
2.800000 76.900 -144.1957
2.850000 76.621 -145.4256
2.900000 76.302 -146.2538
2.950000 75.941 -146.6310
3.000000 75.474 -146.8104
3.040000 75.037 -146.8011
3.070000 74.684 -146.6700
3.110000 74.199 -146.2867
3.150000 73.716 -145.6162
3.200000 73.145 -144.2924
3.250000 72.650 -142.3317
3.300000 72.271 -139.6270
3.350000 71.969 -135.7394
3.400000 71.705 -130.6963
3.450000 71.492 -124.9195
3.500000 71.340 -118.8304
3.550000 71.261 -112.8509
3.600000 71.267 -107.4023
3.650000 71.370 -102.9064
3.700000 71.600 -99.4825
3.750000 71.988 -96.5955
3.820000 72.712 -93.3396
3.870000 73.296 -91.5241
3.950000 74.216 -89.3985
4.000000 74.710 -88.4982
4.060000 75.168 -87.8639
4.120000 75.567 -87.9916
4.180000 75.922 -88.7365
4.250000 76.278 -90.1059
4.310000 76.531 -91.4687
4.370000 76.734 -92.7846
4.440000 76.903 -94.1641
4.500000 76.986 -95.5237
4.550000 77.017 -96.7438
4.620000 77.007 -98.4810
4.680000 76.958 -99.9009
4.750000 76.862 -101.3519
4.820000 76.716 -102.6059
4.870000 76.571 -103.4829
4.940000 76.325 -104.6063
5.000000 76.087 -105.3989
5.080000 75.753 -106.0882
5.150000 75.462 -106.2376
5.220000 75.128 -105.9761
5.300000 74.712 -105.2614
5.380000 74.311 -104.1845
5.450000 74.011 -103.0121
5.520000 73.791 -101.6454
5.600000 73.606 -99.5223
5.700000 73.459 -96.4064
5.800000 73.406 -93.4929
5.900000 73.458 -91.4514
6.000000 73.654 -89.9657
6.080000 73.873 -89.1396
6.150000 74.071 -88.7360
6.220000 74.244 -88.6757
6.300000 74.416 -89.1120
6.400000 74.634 -90.3455
6.500000 74.824 -92.0639
6.600000 74.955 -93.9695
6.700000 75.019 -96.1639
6.800000 75.032 -98.6702
6.900000 75.002 -101.2282
7.000000 74.933 -103.6253
7.100000 74.810 -106.0315
7.200000 74.652 -108.3621
7.300000 74.485 -110.4469
7.400000 74.316 -112.1881
7.500000 74.124 -113.6747
7.620000 73.911 -115.1286
7.750000 73.758 -116.2607
7.880000 73.665 -116.8363
8.000000 73.645 -117.1747
8.120000 73.713 -117.5840
8.250000 73.887 -117.9427
8.380000 74.120 -118.4345
8.500000 74.362 -119.2182
8.620000 74.650 -120.2518
8.750000 74.967 -121.5538
8.850000 75.189 -122.6558
9.000000 75.509 -124.5486
9.120000 75.743 -126.0765
9.250000 75.958 -127.6161
9.380000 76.140 -129.1109
9.500000 76.288 -130.3311
9.620000 76.419 -131.3269
9.750000 76.538 -132.2051
9.880000 76.654 -132.8776
10.000000 76.763 -133.2886
10.150000 76.899 -133.5565
10.300000 77.047 -133.6662
10.440000 77.200 -133.6547
10.600000 77.380 -133.6429
10.750000 77.553 -133.6262
10.900000 77.728 -133.6086
11.060000 77.900 -133.6241
11.200000 78.040 -133.6706
11.380000 78.201 -133.7227
11.500000 78.295 -133.7451
11.720000 78.446 -133.7556
11.800000 78.495 -133.7402
12.060000 78.634 -133.6481
12.200000 78.702 -133.5993
12.410000 78.790 -133.5356
12.500000 78.823 -133.5311
12.650000 78.872 -133.5509
12.800000 78.910 -133.5980
13.150000 78.950 -133.8087
13.200000 78.951 -133.8390
13.400000 78.942 -133.9579
13.600000 78.924 -134.0577
13.800000 78.900 -134.1219
14.000000 78.882 -134.2094
14.300000 78.868 -134.4303
14.500000 78.869 -134.7236
14.750000 78.870 -135.2811
15.000000 78.867 -136.0509
15.250000 78.851 -136.9608
15.500000 78.826 -137.9112
15.750000 78.798 -138.8488
16.000000 78.782 -139.7167
16.250000 78.788 -140.5510
16.500000 78.821 -141.3798
16.750000 78.879 -142.2560
17.000000 78.950 -143.1868
17.250000 79.030 -144.1472
17.500000 79.110 -145.0975
17.750000 79.188 -145.9666
18.000000 79.267 -146.7343
18.250000 79.348 -147.3797
18.500000 79.435 -147.9228
18.750000 79.525 -148.3825
19.000000 79.616 -148.7762
19.250000 79.702 -149.1136
19.500000 79.784 -149.3918
19.750000 79.859 -149.6108
20.000000 79.928 -149.7774
20.299999 80.003 -149.9372
20.600000 80.068 -150.0822
20.900000 80.119 -150.2347
21.200001 80.151 -150.3927
21.400000 80.163 -150.4865
21.799999 80.169 -150.6359
22.000000 80.169 -150.6989
22.400000 80.169 -150.8534
22.700001 80.169 -151.0551
23.000000 80.166 -151.3663
23.299999 80.154 -151.7668
23.600000 80.134 -152.2145
24.000000 80.102 -152.8209
24.299999 80.084 -153.2656
24.700001 80.079 -153.8785
25.000000 80.088 -154.3866
25.400000 80.112 -155.1367
25.799999 80.141 -155.9143
26.200001 80.173 -156.6420
26.500000 80.202 -157.1301
26.900000 80.248 -157.7043
27.200001 80.287 -158.0854
27.600000 80.341 -158.5302
28.000000 80.394 -158.8999
28.500000 80.458 -159.2728
29.000000 80.514 -159.5929
29.500000 80.553 -159.8829
30.000000 80.574 -160.1338
30.400000 80.582 -160.3167
30.700001 80.585 -160.4605
31.100000 80.582 -160.6779
31.500000 80.573 -160.9214
32.000000 80.558 -161.2439
32.500000 80.546 -161.5969
33.000000 80.543 -162.0261
33.500000 80.541 -162.5344
34.000000 80.539 -163.0557
34.500000 80.542 -163.5314
35.000000 80.556 -163.9656
35.500000 80.580 -164.3866
36.000000 80.608 -164.7938
36.500000 80.634 -165.1679
37.000000 80.658 -165.4995
37.500000 80.679 -165.7921
38.200001 80.701 -166.1539
38.700001 80.711 -166.3975
39.500000 80.715 -166.7741
40.000000 80.714 -166.9995
40.599998 80.713 -167.2892
41.200001 80.711 -167.6187
41.799999 80.706 -167.9484
42.500000 80.709 -168.3199
43.099998 80.717 -168.6818
43.700001 80.720 -169.0565
44.400002 80.722 -169.4219
45.000000 80.730 -169.7044
45.500000 80.737 -169.9567
46.200001 80.738 -170.2866
46.799999 80.741 -170.5228
47.500000 80.749 -170.8395
48.200001 80.744 -171.1991
48.700001 80.734 -171.4034
49.400002 80.731 -171.6040
50.000000 80.744 -171.8159
50.799999 80.755 -172.2318
51.500000 80.746 -172.5554
52.200001 80.741 -172.7652
53.000000 80.748 -173.0503
53.799999 80.740 -173.3949
54.500000 80.727 -173.6091
55.200001 80.724 -173.8207
56.000000 80.720 -174.1448
57.000000 80.710 -174.5229
58.000000 80.706 -174.9203
59.000000 80.695 -175.2583
60.000000 80.699 -175.5180
60.799999 80.702 -175.7699
61.500000 80.698 -175.9785
62.200001 80.691 -176.1635
63.000000 80.683 -176.3865
64.000000 80.666 -176.6550
65.000000 80.658 -176.9276
66.000000 80.650 -177.2840
67.000000 80.634 -177.6079
68.000000 80.624 -177.8632
69.000000 80.614 -178.1289
70.000000 80.596 -178.3301
71.000000 80.583 -178.4995
72.000000 80.564 -178.6927
73.000000 80.543 -178.8453
74.000000 80.524 -178.9814
75.000000 80.511 -179.1102
76.199997 80.495 -179.2846
77.500000 80.480 -179.4118
78.800003 80.479 -179.4950
80.000000 80.487 -179.6655
81.199997 80.503 -179.8340
82.500000 80.516 179.8115
83.800003 80.526 179.5829
85.000000 80.531 179.2583
86.199997 80.523 179.0369
87.500000 80.518 178.8051
88.500000 80.518 178.5820
90.000000 80.490 178.2126
91.199997 80.480 178.0645
92.500000 80.469 177.8054
93.800003 80.462 177.6350
95.000000 80.445 177.3442
96.199997 80.419 177.2282
97.500000 80.409 177.0285
98.800003 80.397 176.7635
100.000000 80.361 176.5641
101.500000 80.364 176.4872
103.000000 80.342 176.2548
104.400002 80.333 176.0788
106.000000 80.313 175.9621
107.500000 80.290 175.7818
109.000000 80.287 175.6470
110.599998 80.261 175.4142
112.000000 80.258 175.3114
113.800003 80.244 174.9810
115.000000 80.237 174.9116
117.199997 80.219 174.6343
118.000000 80.219 174.5570
120.599998 80.192 174.2401
122.000000 80.174 174.0021
124.099998 80.155 173.8054
125.000000 80.140 173.7486
126.500000 80.130 173.5763
128.000000 80.098 173.5099
131.500000 80.063 173.1568
132.000000 80.061 173.1258
134.000000 80.031 172.8791
136.000000 80.005 172.7684
138.000000 79.984 172.6441
140.000000 79.959 172.5791
143.000000 79.927 172.3802
145.000000 79.911 172.3311
147.500000 79.904 172.1855
150.000000 79.894 171.9444
152.500000 79.869 171.7780
155.000000 79.851 171.6096
157.500000 79.828 171.4087
160.000000 79.798 171.1728
162.500000 79.764 171.0226
165.000000 79.732 170.9456
167.500000 79.685 170.7999
170.000000 79.649 170.7827
172.500000 79.632 170.7699
175.000000 79.614 170.9523
177.500000 79.620 170.8831
180.000000 79.631 170.7760
182.500000 79.632 170.5679
185.000000 79.620 170.4131
187.500000 79.594 170.1979
190.000000 79.585 170.0810
192.500000 79.558 169.8971
195.000000 79.533 169.8143
197.500000 79.526 169.6908
200.000000 79.498 169.5495
203.000000 79.478 169.4196
206.000000 79.446 169.2254
209.000000 79.422 169.1212
212.000000 79.395 169.0152
214.000000 79.383 168.9658
218.000000 79.348 168.8309
220.000000 79.329 168.7319
224.000000 79.298 168.6306
227.000000 79.274 168.4926
230.000000 79.251 168.4408
233.000000 79.228 168.4671
236.000000 79.194 168.3432
240.000000 79.162 168.2403
243.000000 79.141 168.2715
247.000000 79.104 168.1630
250.000000 79.088 168.0821
254.000000 79.073 168.0234
258.000000 79.041 167.9124
262.000000 79.017 167.8517
265.000000 79.005 167.8433
269.000000 78.968 167.6852
272.000000 78.955 167.6300
276.000000 78.914 167.6115
280.000000 78.889 167.4902
285.000000 78.865 167.4718
290.000000 78.820 167.4149
295.000000 78.806 167.3388
300.000000 78.769 167.2674
304.000000 78.727 167.2153
307.000000 78.717 167.2386
