* Measurement data measured by REW V5.20.13
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), R, volume: 0,250
* Format: 256k Log Swept Sine, 1 sweep at -12,0 dBFS with no timing reference
* Dated: 13:30:24 21-07-2024
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: MiM DM v2 set 2 L
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 86.384 127.6335
1.015000 86.184 126.9126
1.030000 85.974 126.2015
1.044000 85.769 125.5474
1.060000 85.523 124.8120
1.075000 85.281 124.1350
1.090000 85.028 123.4708
1.106000 84.742 122.7473
1.120000 84.474 121.9399
1.138000 84.103 120.6527
1.150000 83.841 119.6628
1.172000 83.334 117.6327
1.180000 83.142 116.8407
1.206000 82.495 114.1431
1.220000 82.133 112.6530
1.241000 81.578 110.4360
1.250000 81.336 109.5105
1.265000 80.930 108.0254
1.280000 80.521 106.6384
1.315000 79.565 103.9555
1.320000 79.430 103.6520
1.340000 78.892 102.6833
1.360000 78.366 102.1607
1.380000 77.855 102.1568
1.400000 77.363 102.7441
1.430000 76.671 104.8919
1.450000 76.247 107.2740
1.475000 75.758 111.5014
1.500000 75.260 117.5806
1.525000 74.747 125.3651
1.550000 74.228 134.5694
1.575000 73.714 144.9081
1.600000 73.213 156.0957
1.625000 72.735 167.8469
1.650000 72.289 179.8761
1.675000 71.886 -168.1021
1.700000 71.535 -156.3730
1.725000 71.244 -145.2223
1.750000 71.024 -134.9351
1.775000 70.884 -125.7971
1.800000 70.834 -118.0936
1.825000 70.883 -112.1101
1.850000 71.053 -107.8901
1.875000 71.368 -104.9268
1.900000 71.809 -103.0650
1.925000 72.357 -102.1702
1.950000 72.992 -102.1075
1.975000 73.694 -102.7426
2.000000 74.444 -103.9406
2.030000 75.377 -105.9319
2.060000 76.315 -108.3074
2.090000 77.224 -110.8345
2.120000 78.069 -113.2807
2.140000 78.580 -114.7516
2.180000 79.430 -116.9995
2.200000 79.749 -117.6429
2.240000 80.255 -118.7391
2.270000 80.557 -119.6571
2.300000 80.800 -120.6377
2.330000 80.991 -121.6633
2.360000 81.138 -122.7166
2.400000 81.278 -124.1335
2.430000 81.350 -125.1829
2.470000 81.416 -126.5311
2.500000 81.452 -127.4813
2.540000 81.497 -128.6335
2.580000 81.547 -129.6355
2.620000 81.563 -130.6133
2.650000 81.548 -131.3372
2.690000 81.497 -132.2652
2.720000 81.439 -132.9170
2.760000 81.339 -133.7026
2.800000 81.219 -134.3651
2.850000 81.049 -134.9739
2.900000 80.868 -135.2840
2.950000 80.681 -135.2473
3.000000 80.443 -134.9268
3.040000 80.219 -134.4854
3.070000 80.040 -134.0491
3.110000 79.796 -133.3298
3.150000 79.554 -132.4569
3.200000 79.274 -131.1555
3.250000 79.038 -129.6275
3.300000 78.870 -127.8788
3.350000 78.753 -125.6987
3.400000 78.666 -123.0533
3.450000 78.613 -120.1154
3.500000 78.593 -117.0575
3.550000 78.610 -114.0523
3.600000 78.665 -111.2723
3.650000 78.759 -108.8903
3.700000 78.905 -106.9385
3.750000 79.119 -105.1719
3.820000 79.501 -103.0095
3.870000 79.804 -101.7015
3.950000 80.291 -100.0493
4.000000 80.564 -99.3090
4.060000 80.842 -98.7576
4.120000 81.108 -98.6587
4.180000 81.363 -98.9274
4.250000 81.637 -99.5622
4.310000 81.843 -100.2592
4.370000 82.014 -100.9843
4.440000 82.163 -101.8272
4.500000 82.253 -102.7247
4.550000 82.304 -103.5623
4.620000 82.343 -104.7934
4.680000 82.351 -105.8301
4.750000 82.332 -106.9235
4.820000 82.280 -107.8993
4.870000 82.216 -108.5956
4.940000 82.098 -109.5263
5.000000 81.979 -110.2419
5.080000 81.809 -111.0092
5.150000 81.661 -111.4448
5.220000 81.490 -111.6734
5.300000 81.274 -111.7251
5.380000 81.061 -111.5893
5.450000 80.896 -111.3460
5.520000 80.767 -110.9962
5.600000 80.643 -110.3282
5.700000 80.522 -109.2513
5.800000 80.451 -108.2087
5.900000 80.443 -107.4751
6.000000 80.511 -106.8692
6.080000 80.601 -106.5095
6.150000 80.691 -106.3529
6.220000 80.780 -106.3989
6.300000 80.884 -106.7341
6.400000 81.036 -107.5016
6.500000 81.186 -108.5542
6.600000 81.309 -109.7832
6.700000 81.403 -111.2598
6.800000 81.478 -112.9678
6.900000 81.531 -114.7430
7.000000 81.559 -116.4517
7.100000 81.556 -118.2041
7.200000 81.534 -119.9421
7.300000 81.504 -121.5520
7.400000 81.469 -122.9724
7.500000 81.419 -124.2650
7.620000 81.364 -125.6317
7.750000 81.336 -126.8456
7.880000 81.330 -127.7487
8.000000 81.354 -128.4349
8.120000 81.418 -129.0815
8.250000 81.534 -129.6602
8.380000 81.680 -130.2437
8.500000 81.835 -130.8997
8.620000 82.017 -131.6234
8.750000 82.220 -132.4789
8.850000 82.369 -133.1986
9.000000 82.593 -134.3943
9.120000 82.761 -135.3642
9.250000 82.923 -136.3759
9.380000 83.068 -137.3798
9.500000 83.190 -138.2287
9.620000 83.299 -138.9644
9.750000 83.404 -139.6627
9.880000 83.504 -140.2488
10.000000 83.595 -140.6725
10.150000 83.703 -141.0661
10.300000 83.815 -141.3785
10.440000 83.924 -141.5832
10.600000 84.050 -141.7706
10.750000 84.167 -141.9504
10.900000 84.283 -142.1187
11.060000 84.398 -142.3123
11.200000 84.491 -142.4948
11.380000 84.598 -142.7223
11.500000 84.659 -142.8669
11.720000 84.757 -143.1109
11.800000 84.788 -143.1870
12.060000 84.874 -143.4036
12.200000 84.914 -143.5147
12.410000 84.965 -143.6815
12.500000 84.984 -143.7668
12.650000 85.013 -143.9236
12.800000 85.035 -144.1018
13.150000 85.060 -144.6148
13.200000 85.060 -144.6937
13.400000 85.055 -145.0235
13.600000 85.043 -145.3614
13.800000 85.026 -145.6975
14.000000 85.010 -146.0539
14.300000 84.993 -146.6466
14.500000 84.988 -147.1223
14.750000 84.984 -147.8264
15.000000 84.981 -148.6540
15.250000 84.974 -149.5701
15.500000 84.963 -150.5141
15.750000 84.952 -151.4514
16.000000 84.948 -152.3387
16.250000 84.958 -153.1870
16.500000 84.984 -154.0094
16.750000 85.026 -154.8344
17.000000 85.078 -155.6727
17.250000 85.135 -156.5128
17.500000 85.192 -157.3352
17.750000 85.247 -158.0960
18.000000 85.301 -158.7807
18.250000 85.355 -159.3737
18.500000 85.411 -159.8868
18.750000 85.468 -160.3364
19.000000 85.525 -160.7372
19.250000 85.578 -161.1042
19.500000 85.627 -161.4370
19.750000 85.669 -161.7363
20.000000 85.704 -162.0014
20.299999 85.739 -162.2865
20.600000 85.764 -162.5520
20.900000 85.781 -162.8165
21.200001 85.787 -163.0910
21.400000 85.785 -163.2775
21.799999 85.769 -163.6547
22.000000 85.757 -163.8479
22.400000 85.731 -164.2626
22.700001 85.712 -164.6252
23.000000 85.691 -165.0505
23.299999 85.667 -165.5316
23.600000 85.640 -166.0475
24.000000 85.605 -166.7526
24.299999 85.583 -167.2790
24.700001 85.566 -167.9850
25.000000 85.563 -168.5310
25.400000 85.568 -169.2839
25.799999 85.579 -170.0358
26.200001 85.592 -170.7432
26.500000 85.605 -171.2288
26.900000 85.625 -171.8143
27.200001 85.642 -172.2108
27.600000 85.663 -172.6849
28.000000 85.681 -173.0968
28.500000 85.699 -173.5358
29.000000 85.708 -173.9211
29.500000 85.706 -174.2738
30.000000 85.693 -174.6061
30.400000 85.678 -174.8791
30.700001 85.664 -175.1039
31.100000 85.640 -175.4387
31.500000 85.609 -175.7996
32.000000 85.565 -176.2510
32.500000 85.526 -176.7018
33.000000 85.497 -177.2051
33.500000 85.469 -177.7842
34.000000 85.437 -178.3779
34.500000 85.402 -178.9063
35.000000 85.373 -179.3572
35.500000 85.348 -179.7629
36.000000 85.320 179.8867
36.500000 85.284 179.6643
37.000000 85.254 179.6318
37.500000 85.247 179.7458
38.200001 85.292 179.8448
38.700001 85.343 179.6664
39.500000 85.389 178.9655
40.000000 85.385 178.4604
40.599998 85.363 177.9144
41.200001 85.337 177.4086
41.799999 85.310 176.9139
42.500000 85.278 176.3774
43.099998 85.254 175.9478
43.700001 85.231 175.5280
44.400002 85.202 175.0739
45.000000 85.178 174.7231
45.500000 85.157 174.4443
46.200001 85.126 174.0752
46.799999 85.099 173.7787
47.500000 85.068 173.4254
48.200001 85.034 173.0695
48.700001 85.009 172.8344
49.400002 84.980 172.5206
50.000000 84.959 172.2346
50.799999 84.928 171.8293
51.500000 84.895 171.5008
52.200001 84.863 171.2238
53.000000 84.830 170.9206
53.799999 84.794 170.5902
54.500000 84.756 170.3215
55.200001 84.721 170.0777
56.000000 84.684 169.7820
57.000000 84.637 169.3962
58.000000 84.593 169.0237
59.000000 84.549 168.6887
60.000000 84.510 168.4057
60.799999 84.477 168.1654
61.500000 84.440 167.9731
62.200001 84.404 167.8354
63.000000 84.371 167.6597
64.000000 84.322 167.3423
65.000000 84.264 167.0844
66.000000 84.218 166.8446
67.000000 84.169 166.6020
68.000000 84.120 166.4667
69.000000 84.081 166.3778
70.000000 84.040 166.3174
71.000000 84.009 166.3476
72.000000 83.997 166.3085
73.000000 83.989 166.1561
74.000000 83.976 165.8808
75.000000 83.949 165.5972
76.199997 83.918 165.3030
77.500000 83.878 164.9483
78.800003 83.826 164.6826
80.000000 83.785 164.4546
81.199997 83.732 164.2234
82.500000 83.682 164.0578
83.800003 83.633 163.8509
85.000000 83.587 163.6889
86.199997 83.543 163.5419
87.500000 83.499 163.3475
88.500000 83.460 163.2353
90.000000 83.415 163.1040
91.199997 83.382 162.9828
92.500000 83.337 162.8704
93.800003 83.305 162.7937
95.000000 83.266 162.6291
96.199997 83.226 162.5122
97.500000 83.186 162.3661
98.800003 83.144 162.2296
100.000000 83.111 162.1639
101.500000 83.064 161.9923
103.000000 83.016 161.9705
104.400002 82.970 161.8481
106.000000 82.924 161.7517
107.500000 82.876 161.7026
109.000000 82.845 161.6080
110.599998 82.798 161.5195
112.000000 82.757 161.4440
113.800003 82.709 161.4114
115.000000 82.674 161.3468
117.199997 82.622 161.3007
118.000000 82.597 161.2914
120.599998 82.535 161.2428
122.000000 82.501 161.1953
124.099998 82.469 161.1466
125.000000 82.435 161.0210
126.500000 82.388 161.1696
128.000000 82.362 161.0626
131.500000 82.267 161.0643
132.000000 82.255 161.1161
134.000000 82.223 161.1011
136.000000 82.175 161.1651
138.000000 82.135 161.2351
140.000000 82.110 161.2769
143.000000 82.071 161.3652
145.000000 82.036 161.3358
147.500000 82.015 161.2526
150.000000 81.988 161.2235
152.500000 81.945 161.1338
155.000000 81.898 161.1031
157.500000 81.854 161.0305
160.000000 81.812 161.0197
162.500000 81.771 160.9744
165.000000 81.731 160.9711
167.500000 81.689 160.9852
170.000000 81.648 161.0148
172.500000 81.609 161.0055
175.000000 81.568 161.0064
177.500000 81.531 161.0152
180.000000 81.497 161.0579
182.500000 81.457 161.0867
185.000000 81.421 161.0901
187.500000 81.393 161.1573
190.000000 81.358 161.1688
192.500000 81.317 161.2316
195.000000 81.281 161.2594
197.500000 81.251 161.3443
200.000000 81.223 161.3501
203.000000 81.186 161.4469
206.000000 81.148 161.5210
209.000000 81.121 161.5760
212.000000 81.090 161.6552
214.000000 81.067 161.6548
218.000000 81.030 161.6956
220.000000 81.012 161.7668
224.000000 80.969 161.7943
227.000000 80.932 161.8378
230.000000 80.903 161.8730
233.000000 80.878 161.9350
236.000000 80.845 162.0144
240.000000 80.789 162.0956
243.000000 80.777 162.1489
247.000000 80.733 162.2307
250.000000 80.713 162.3406
254.000000 80.660 162.3960
258.000000 80.625 162.5271
262.000000 80.593 162.6556
265.000000 80.566 162.7516
269.000000 80.546 162.8430
272.000000 80.520 162.9413
276.000000 80.488 163.0127
280.000000 80.456 163.1359
285.000000 80.425 163.1642
290.000000 80.388 163.3507
295.000000 80.359 163.4328
300.000000 80.318 163.5579
304.000000 80.294 163.6903
307.000000 80.267 163.7402
311.000000 80.250 163.7851
315.000000 80.216 163.8484
320.000000 80.180 163.9344
325.000000 80.147 164.1195
