* Measurement data measured by REW V5.20.13
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), R, volume: 0,250
* Format: 256k Log Swept Sine, 1 sweep at -12,0 dBFS with no timing reference
* Dated: 13:32:59 21-07-2024
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: MiM DM v2 set 2 R
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 83.250 128.7862
1.015000 83.034 128.0888
1.030000 82.805 127.4032
1.044000 82.580 126.7748
1.060000 82.309 126.0711
1.075000 82.039 125.4264
1.090000 81.755 124.7973
1.106000 81.432 124.1133
1.120000 81.119 123.3370
1.138000 80.676 122.0843
1.150000 80.357 121.1146
1.172000 79.732 119.1179
1.180000 79.493 118.3372
1.206000 78.681 115.6755
1.220000 78.226 114.2052
1.241000 77.528 112.0205
1.250000 77.225 111.1104
1.265000 76.718 109.6534
1.280000 76.210 108.2986
1.315000 75.044 105.7114
1.320000 74.881 105.4245
1.340000 74.245 104.5300
1.360000 73.638 104.0965
1.380000 73.068 104.1986
1.400000 72.543 104.9107
1.430000 71.858 107.2857
1.450000 71.481 109.8489
1.475000 71.107 114.3433
1.500000 70.803 120.7673
1.525000 70.555 128.9694
1.550000 70.362 138.6500
1.575000 70.220 149.5096
1.600000 70.127 161.2485
1.625000 70.080 173.5670
1.650000 70.077 -173.8344
1.675000 70.114 -161.2552
1.700000 70.189 -148.9952
1.725000 70.300 -137.3540
1.750000 70.444 -126.6311
1.775000 70.617 -117.1262
1.800000 70.818 -109.1389
1.825000 71.043 -102.9688
1.850000 71.311 -98.6707
1.875000 71.662 -95.7312
1.900000 72.086 -93.9814
1.925000 72.571 -93.2731
1.950000 73.103 -93.4579
1.975000 73.672 -94.3877
2.000000 74.265 -95.9142
2.030000 74.989 -98.3249
2.060000 75.709 -101.1252
2.090000 76.403 -104.0590
2.120000 77.049 -106.8701
2.140000 77.443 -108.5494
2.180000 78.114 -111.0994
2.200000 78.379 -111.8227
2.240000 78.811 -112.9848
2.270000 79.074 -113.8959
2.300000 79.292 -114.8287
2.330000 79.468 -115.7722
2.360000 79.610 -116.7156
2.400000 79.754 -117.9543
2.430000 79.835 -118.8546
2.470000 79.920 -119.9960
2.500000 79.972 -120.7936
2.540000 80.037 -121.7584
2.580000 80.105 -122.5980
2.620000 80.142 -123.3902
2.650000 80.146 -123.9572
2.690000 80.125 -124.6626
2.720000 80.093 -125.1436
2.760000 80.033 -125.7062
2.800000 79.959 -126.1622
2.850000 79.855 -126.5544
2.900000 79.750 -126.7158
2.950000 79.649 -126.6123
3.000000 79.518 -126.2444
3.040000 79.394 -125.7806
3.070000 79.294 -125.3445
3.110000 79.158 -124.6584
3.150000 79.026 -123.8674
3.200000 78.877 -122.7559
3.250000 78.761 -121.5375
3.300000 78.691 -120.2428
3.350000 78.661 -118.7280
3.400000 78.657 -116.9482
3.450000 78.678 -115.0077
3.500000 78.723 -113.0104
3.550000 78.790 -111.0604
3.600000 78.879 -109.2617
3.650000 78.989 -107.7185
3.700000 79.125 -106.4494
3.750000 79.303 -105.3060
3.820000 79.598 -103.9178
3.870000 79.827 -103.0882
3.950000 80.193 -102.0625
4.000000 80.403 -101.6217
4.060000 80.625 -101.3225
4.120000 80.841 -101.3269
4.180000 81.051 -101.5804
4.250000 81.281 -102.0999
4.310000 81.456 -102.6589
4.370000 81.607 -103.2506
4.440000 81.745 -103.9622
4.500000 81.836 -104.7104
4.550000 81.895 -105.4046
4.620000 81.954 -106.4247
4.680000 81.985 -107.2888
4.750000 82.002 -108.2130
4.820000 81.993 -109.0501
4.870000 81.967 -109.6477
4.940000 81.909 -110.4545
5.000000 81.847 -111.0901
5.080000 81.756 -111.8101
5.150000 81.678 -112.2790
5.220000 81.584 -112.6041
5.300000 81.464 -112.8315
5.380000 81.345 -112.9335
5.450000 81.255 -112.9433
5.520000 81.188 -112.8888
5.600000 81.126 -112.6600
5.700000 81.070 -112.2194
5.800000 81.046 -111.7918
5.900000 81.063 -111.5436
6.000000 81.126 -111.3592
6.080000 81.200 -111.2831
6.150000 81.274 -111.3141
6.220000 81.347 -111.4736
6.300000 81.436 -111.8325
6.400000 81.564 -112.4953
6.500000 81.692 -113.3413
6.600000 81.803 -114.3124
6.700000 81.897 -115.4579
6.800000 81.979 -116.7609
6.900000 82.047 -118.1110
7.000000 82.096 -119.4184
7.100000 82.125 -120.7584
7.200000 82.140 -122.0900
7.300000 82.148 -123.3348
7.400000 82.152 -124.4499
7.500000 82.145 -125.4775
7.620000 82.138 -126.5867
7.750000 82.150 -127.6118
7.880000 82.175 -128.4310
8.000000 82.215 -129.0874
8.120000 82.281 -129.7141
8.250000 82.380 -130.3093
8.380000 82.497 -130.9025
8.500000 82.619 -131.5203
8.620000 82.757 -132.1762
8.750000 82.911 -132.9304
8.850000 83.025 -133.5507
9.000000 83.195 -134.5550
9.120000 83.324 -135.3663
9.250000 83.451 -136.2204
9.380000 83.565 -137.0694
9.500000 83.663 -137.8002
9.620000 83.752 -138.4539
9.750000 83.839 -139.0951
9.880000 83.922 -139.6585
10.000000 83.998 -140.0973
10.150000 84.089 -140.5513
10.300000 84.181 -140.9460
10.440000 84.270 -141.2515
10.600000 84.372 -141.5645
10.750000 84.466 -141.8555
10.900000 84.560 -142.1343
11.060000 84.653 -142.4375
11.200000 84.729 -142.7084
11.380000 84.817 -143.0485
11.500000 84.869 -143.2687
11.720000 84.953 -143.6542
11.800000 84.980 -143.7846
12.060000 85.056 -144.1834
12.200000 85.093 -144.3916
12.410000 85.140 -144.7007
12.500000 85.159 -144.8417
12.650000 85.186 -145.0853
12.800000 85.209 -145.3427
13.150000 85.244 -146.0087
13.200000 85.246 -146.1076
13.400000 85.252 -146.5136
13.600000 85.251 -146.9241
13.800000 85.247 -147.3325
14.000000 85.243 -147.7510
14.300000 85.240 -148.4103
14.500000 85.242 -148.8976
14.750000 85.247 -149.5748
15.000000 85.254 -150.3303
15.250000 85.257 -151.1443
15.500000 85.259 -151.9777
15.750000 85.261 -152.8076
16.000000 85.267 -153.6046
16.250000 85.281 -154.3730
16.500000 85.304 -155.1196
16.750000 85.338 -155.8611
17.000000 85.378 -156.6040
17.250000 85.422 -157.3414
17.500000 85.465 -158.0611
17.750000 85.507 -158.7359
18.000000 85.549 -159.3566
18.250000 85.590 -159.9135
18.500000 85.632 -160.4142
18.750000 85.675 -160.8688
19.000000 85.717 -161.2867
19.250000 85.757 -161.6770
19.500000 85.793 -162.0400
19.750000 85.824 -162.3762
20.000000 85.850 -162.6862
20.299999 85.876 -163.0323
20.600000 85.895 -163.3622
20.900000 85.908 -163.6888
21.200001 85.913 -164.0195
21.400000 85.911 -164.2410
21.799999 85.901 -164.6844
22.000000 85.892 -164.9081
22.400000 85.874 -165.3728
22.700001 85.859 -165.7543
23.000000 85.844 -166.1761
23.299999 85.827 -166.6331
23.600000 85.808 -167.1120
24.000000 85.782 -167.7616
24.299999 85.767 -168.2480
24.700001 85.754 -168.9001
25.000000 85.750 -169.3981
25.400000 85.750 -170.0697
25.799999 85.753 -170.7250
26.200001 85.759 -171.3365
26.500000 85.767 -171.7612
26.900000 85.781 -172.2889
27.200001 85.793 -172.6616
27.600000 85.808 -173.1284
28.000000 85.820 -173.5547
28.500000 85.829 -174.0303
29.000000 85.831 -174.4620
29.500000 85.824 -174.8652
30.000000 85.809 -175.2419
30.400000 85.794 -175.5347
30.700001 85.782 -175.7623
31.100000 85.764 -176.0923
31.500000 85.744 -176.4539
32.000000 85.713 -176.9284
32.500000 85.681 -177.4044
33.000000 85.654 -177.8860
33.500000 85.632 -178.3865
34.000000 85.613 -178.8942
34.500000 85.596 -179.3828
35.000000 85.583 -179.8418
35.500000 85.574 179.7227
36.000000 85.566 179.3066
36.500000 85.557 178.9139
37.000000 85.544 178.5511
37.500000 85.529 178.2216
38.200001 85.505 177.8029
38.700001 85.488 177.5082
39.500000 85.453 177.0120
40.000000 85.427 176.7021
40.599998 85.395 176.3382
41.200001 85.365 175.9649
41.799999 85.335 175.5851
42.500000 85.304 175.1556
43.099998 85.281 174.7827
43.700001 85.258 174.3979
44.400002 85.226 173.9843
45.000000 85.200 173.6797
45.500000 85.182 173.4309
46.200001 85.156 173.0610
46.799999 85.128 172.7510
47.500000 85.094 172.4350
48.200001 85.066 172.1314
48.700001 85.047 171.8907
49.400002 85.016 171.5343
50.000000 84.985 171.2566
50.799999 84.947 170.9289
51.500000 84.916 170.6414
52.200001 84.881 170.3696
53.000000 84.844 170.0852
53.799999 84.808 169.7776
54.500000 84.772 169.5053
55.200001 84.736 169.2515
56.000000 84.698 168.9549
57.000000 84.650 168.5700
58.000000 84.604 168.2151
59.000000 84.562 167.8767
60.000000 84.517 167.5638
60.799999 84.481 167.3616
61.500000 84.453 167.1762
62.200001 84.422 166.9624
63.000000 84.378 166.7349
64.000000 84.326 166.4956
65.000000 84.278 166.2242
66.000000 84.228 165.9555
67.000000 84.182 165.7147
68.000000 84.136 165.4748
69.000000 84.088 165.2605
70.000000 84.038 165.0408
71.000000 83.979 164.8561
72.000000 83.923 164.7204
73.000000 83.870 164.5626
74.000000 83.809 164.4293
75.000000 83.753 164.3792
76.199997 83.691 164.3270
77.500000 83.623 164.4227
78.800003 83.584 164.5603
80.000000 83.554 164.6765
81.199997 83.552 164.7730
82.500000 83.552 164.6464
83.800003 83.536 164.4911
85.000000 83.522 164.3462
86.199997 83.499 164.1224
87.500000 83.462 163.9817
88.500000 83.447 163.8440
90.000000 83.412 163.6243
91.199997 83.396 163.4603
92.500000 83.373 163.2470
93.800003 83.343 162.9943
95.000000 83.303 162.8006
96.199997 83.260 162.5885
97.500000 83.212 162.4075
98.800003 83.157 162.1972
100.000000 83.114 162.1358
101.500000 83.059 162.0178
103.000000 83.020 161.9580
104.400002 82.966 161.9298
106.000000 82.928 161.7712
107.500000 82.882 161.6618
109.000000 82.815 161.5963
110.599998 82.793 161.6189
112.000000 82.746 161.5335
113.800003 82.686 161.5982
115.000000 82.656 161.6093
117.199997 82.596 161.7175
118.000000 82.588 161.7215
120.599998 82.542 161.8628
122.000000 82.527 161.9986
124.099998 82.493 162.0057
125.000000 82.499 161.9691
126.500000 82.470 161.8246
128.000000 82.476 161.5408
131.500000 82.426 161.2071
132.000000 82.419 161.1653
134.000000 82.378 161.0293
136.000000 82.324 161.0013
138.000000 82.279 160.8327
140.000000 82.241 160.6940
143.000000 82.173 160.6487
145.000000 82.134 160.5916
147.500000 82.077 160.4739
150.000000 82.029 160.4598
152.500000 81.979 160.4671
155.000000 81.931 160.4286
157.500000 81.889 160.4109
160.000000 81.842 160.3947
162.500000 81.804 160.4293
165.000000 81.753 160.4462
167.500000 81.710 160.4352
170.000000 81.662 160.4349
172.500000 81.630 160.4608
175.000000 81.585 160.4886
177.500000 81.546 160.5132
180.000000 81.511 160.5077
182.500000 81.477 160.4677
185.000000 81.443 160.5433
187.500000 81.402 160.5346
190.000000 81.367 160.6039
192.500000 81.331 160.6259
195.000000 81.298 160.6043
197.500000 81.263 160.6627
200.000000 81.239 160.6931
203.000000 81.191 160.7694
206.000000 81.153 160.7980
209.000000 81.120 160.8466
212.000000 81.079 160.8483
214.000000 81.051 160.9084
218.000000 81.009 160.9549
220.000000 80.987 161.0139
224.000000 80.934 161.0881
227.000000 80.901 161.1262
230.000000 80.869 161.1884
233.000000 80.839 161.2420
236.000000 80.804 161.2891
240.000000 80.767 161.4672
243.000000 80.724 161.4439
247.000000 80.683 161.5838
250.000000 80.664 161.6517
254.000000 80.621 161.7374
258.000000 80.583 161.8467
262.000000 80.550 161.9688
265.000000 80.517 162.0708
269.000000 80.491 162.1292
272.000000 80.471 162.2210
276.000000 80.430 162.3496
280.000000 80.403 162.3988
285.000000 80.361 162.5091
290.000000 80.322 162.6729
295.000000 80.284 162.7387
300.000000 80.245 162.8300
304.000000 80.208 162.9640
307.000000 80.194 163.0240
311.000000 80.165 163.1511
315.000000 80.125 163.2186
320.000000 80.097 163.3220
325.000000 80.052 163.4481
