* Measurement data measured by REW V5.20.13
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), R, volume: 0,250
* Format: 256k Log Swept Sine, 1 sweep at -12,0 dBFS with no timing reference
* Dated: 16:38:58 05-04-2024
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: MiM Dark Magician V2 R
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 84.742 120.3192
1.015000 84.570 119.3815
1.030000 84.393 118.4369
1.044000 84.222 117.5486
1.060000 84.019 116.5247
1.075000 83.822 115.5559
1.090000 83.617 114.5780
1.106000 83.392 113.5406
1.120000 83.196 112.7251
1.138000 82.947 111.8090
1.150000 82.783 111.2680
1.172000 82.481 110.3898
1.180000 82.370 110.0987
1.206000 82.006 109.2163
1.220000 81.805 108.7598
1.241000 81.494 108.0630
1.250000 81.357 107.7504
1.265000 81.122 107.1974
1.280000 80.879 106.5904
1.315000 80.270 104.8713
1.320000 80.178 104.5822
1.340000 79.794 103.2926
1.360000 79.384 101.7608
1.380000 78.945 99.9478
1.400000 78.475 97.8146
1.430000 77.704 93.9293
1.450000 77.143 90.8252
1.475000 76.372 86.2909
1.500000 75.429 80.9495
1.525000 74.323 74.8743
1.550000 73.088 68.1650
1.575000 71.761 60.9213
1.600000 70.375 53.2431
1.625000 68.966 45.2302
1.650000 67.570 36.9824
1.675000 66.221 28.5994
1.700000 64.956 20.1810
1.725000 63.808 11.8271
1.750000 62.813 3.6373
1.775000 62.007 -4.2885
1.800000 61.425 -11.8505
1.825000 61.101 -18.9490
1.850000 61.068 -25.6886
1.875000 61.315 -32.4857
1.900000 61.806 -39.3173
1.925000 62.505 -46.1404
1.950000 63.376 -52.9118
1.975000 64.382 -59.5882
2.000000 65.486 -66.1267
2.030000 66.891 -73.7298
2.060000 68.324 -80.9975
2.090000 69.720 -87.8552
2.120000 71.018 -94.2282
2.140000 71.797 -98.1709
2.180000 73.066 -105.2222
2.200000 73.520 -108.2864
2.240000 74.219 -113.3863
2.270000 74.631 -116.3889
2.300000 74.959 -118.7901
2.330000 75.213 -120.6835
2.360000 75.403 -122.1621
2.400000 75.574 -123.6500
2.430000 75.655 -124.5240
2.470000 75.718 -125.5444
2.500000 75.745 -126.3218
2.540000 75.774 -127.5521
2.580000 75.809 -129.1599
2.620000 75.799 -130.8695
2.650000 75.755 -132.1344
2.690000 75.651 -133.7536
2.720000 75.544 -134.8875
2.760000 75.365 -136.2479
2.800000 75.151 -137.3851
2.850000 74.841 -138.4087
2.900000 74.496 -138.8904
2.950000 74.112 -138.7494
3.000000 73.598 -138.1473
3.040000 73.109 -137.3572
3.070000 72.716 -136.5778
3.110000 72.181 -135.2809
3.150000 71.659 -133.6799
3.200000 71.070 -131.2349
3.250000 70.604 -128.2776
3.300000 70.319 -124.7836
3.350000 70.199 -120.2150
3.400000 70.197 -114.5175
3.450000 70.295 -108.1527
3.500000 70.475 -101.5819
3.550000 70.721 -95.2667
3.600000 71.014 -89.6685
3.650000 71.338 -85.2488
3.700000 71.711 -82.2053
3.750000 72.195 -80.0575
3.820000 72.993 -78.2377
3.870000 73.598 -77.5843
3.950000 74.524 -77.2478
4.000000 75.019 -77.2494
4.060000 75.483 -77.3418
4.120000 75.870 -77.9750
4.180000 76.198 -79.0735
4.250000 76.511 -80.7154
4.310000 76.726 -82.2362
4.370000 76.897 -83.6814
4.440000 77.041 -85.1956
4.500000 77.104 -86.6030
4.550000 77.119 -87.8192
4.620000 77.090 -89.4986
4.680000 77.029 -90.8334
4.750000 76.924 -92.1608
4.820000 76.775 -93.2557
4.870000 76.629 -93.9803
4.940000 76.386 -94.8554
5.000000 76.158 -95.4204
5.080000 75.847 -95.8148
5.150000 75.589 -95.7351
5.220000 75.305 -95.2148
5.300000 74.960 -94.1915
5.380000 74.637 -92.8593
5.450000 74.407 -91.5621
5.520000 74.254 -90.2099
5.600000 74.155 -88.2746
5.700000 74.119 -85.5646
5.800000 74.160 -83.1380
5.900000 74.265 -81.5709
6.000000 74.476 -80.6374
6.080000 74.689 -80.2709
6.150000 74.874 -80.2348
6.220000 75.032 -80.4704
6.300000 75.183 -81.1456
6.400000 75.362 -82.5805
6.500000 75.507 -84.4210
6.600000 75.598 -86.3999
6.700000 75.627 -88.6035
6.800000 75.607 -91.0558
6.900000 75.548 -93.5338
7.000000 75.455 -95.8537
7.100000 75.314 -98.1565
7.200000 75.143 -100.3777
7.300000 74.967 -102.3821
7.400000 74.795 -104.0852
7.500000 74.607 -105.5541
7.620000 74.403 -107.0453
7.750000 74.258 -108.3344
7.880000 74.175 -109.1898
8.000000 74.159 -109.8528
8.120000 74.218 -110.6231
8.250000 74.372 -111.4444
8.380000 74.577 -112.4020
8.500000 74.788 -113.5625
8.620000 75.036 -114.9465
8.750000 75.310 -116.5889
8.850000 75.503 -117.9148
9.000000 75.781 -120.0844
9.120000 75.985 -121.8020
9.250000 76.176 -123.5258
9.380000 76.339 -125.1757
9.500000 76.475 -126.5336
9.620000 76.599 -127.6708
9.750000 76.716 -128.6987
9.880000 76.833 -129.5329
10.000000 76.946 -130.1108
10.150000 77.090 -130.6042
10.300000 77.244 -130.9926
10.440000 77.401 -131.2413
10.600000 77.586 -131.4741
10.750000 77.758 -131.7261
10.900000 77.930 -131.9795
11.060000 78.096 -132.2687
11.200000 78.228 -132.5432
11.380000 78.379 -132.8697
11.500000 78.464 -133.0617
11.720000 78.597 -133.3588
11.800000 78.640 -133.4400
12.060000 78.758 -133.6351
12.200000 78.815 -133.7277
12.410000 78.889 -133.8609
12.500000 78.916 -133.9389
12.650000 78.955 -134.0916
12.800000 78.985 -134.2718
13.150000 79.010 -134.8086
13.200000 79.009 -134.8882
13.400000 78.991 -135.2132
13.600000 78.964 -135.5293
13.800000 78.928 -135.8206
14.000000 78.896 -136.1361
14.300000 78.858 -136.6945
14.500000 78.842 -137.2009
14.750000 78.824 -138.0117
15.000000 78.802 -139.0207
15.250000 78.768 -140.1626
15.500000 78.728 -141.3411
15.750000 78.687 -142.5040
16.000000 78.659 -143.5934
16.250000 78.654 -144.6415
16.500000 78.677 -145.6747
16.750000 78.725 -146.7446
17.000000 78.788 -147.8588
17.250000 78.859 -148.9914
17.500000 78.929 -150.1014
17.750000 78.998 -151.1133
18.000000 79.066 -152.0062
18.250000 79.137 -152.7582
18.500000 79.215 -153.3969
18.750000 79.296 -153.9497
19.000000 79.379 -154.4423
19.250000 79.458 -154.8929
19.500000 79.528 -155.2947
19.750000 79.588 -155.6440
20.000000 79.639 -155.9338
20.299999 79.689 -156.2211
20.600000 79.729 -156.4691
20.900000 79.757 -156.7101
21.200001 79.771 -156.9643
21.400000 79.771 -157.1393
21.799999 79.757 -157.4967
22.000000 79.743 -157.6827
22.400000 79.712 -158.0970
22.700001 79.687 -158.4816
23.000000 79.658 -158.9531
23.299999 79.625 -159.4985
23.600000 79.588 -160.0891
24.000000 79.540 -160.9040
24.299999 79.513 -161.5264
24.700001 79.495 -162.3959
25.000000 79.493 -163.0953
25.400000 79.499 -164.0760
25.799999 79.508 -165.0378
26.200001 79.522 -165.8994
26.500000 79.539 -166.4624
26.900000 79.574 -167.1205
27.200001 79.606 -167.5675
27.600000 79.650 -168.1184
28.000000 79.689 -168.6144
28.500000 79.727 -169.1465
29.000000 79.748 -169.5924
29.500000 79.754 -169.9740
30.000000 79.746 -170.3212
30.400000 79.733 -170.6101
30.700001 79.720 -170.8529
31.100000 79.694 -171.2181
31.500000 79.661 -171.6141
32.000000 79.617 -172.1226
32.500000 79.580 -172.6647
33.000000 79.554 -173.2928
33.500000 79.530 -173.9958
34.000000 79.507 -174.6927
34.500000 79.492 -175.3352
35.000000 79.488 -175.9433
35.500000 79.487 -176.5245
36.000000 79.484 -177.0347
36.500000 79.484 -177.4507
37.000000 79.488 -177.8188
37.500000 79.490 -178.1906
38.200001 79.478 -178.7061
38.700001 79.459 -179.0467
39.500000 79.419 -179.5834
40.000000 79.390 -179.9216
40.599998 79.356 179.6690
41.200001 79.327 179.2121
41.799999 79.298 178.7021
42.500000 79.260 178.1267
43.099998 79.233 177.6827
43.700001 79.214 177.2476
44.400002 79.194 176.7409
45.000000 79.174 176.3213
45.500000 79.155 175.9836
46.200001 79.121 175.5482
46.799999 79.090 175.2282
47.500000 79.061 174.8713
48.200001 79.037 174.4422
48.700001 79.012 174.0935
49.400002 78.965 173.6582
50.000000 78.928 173.3971
50.799999 78.902 173.0624
51.500000 78.881 172.6728
52.200001 78.849 172.3092
53.000000 78.817 171.9442
53.799999 78.780 171.5074
54.500000 78.733 171.1544
55.200001 78.689 170.8741
56.000000 78.650 170.5455
57.000000 78.608 170.0736
58.000000 78.564 169.5587
59.000000 78.515 169.1483
60.000000 78.479 168.7804
60.799999 78.442 168.4751
61.500000 78.405 168.2529
62.200001 78.368 168.0461
63.000000 78.323 167.7966
64.000000 78.269 167.5224
65.000000 78.230 167.1468
66.000000 78.170 166.7295
67.000000 78.123 166.5258
68.000000 78.101 166.2078
69.000000 78.059 165.8520
70.000000 78.009 165.5779
71.000000 77.959 165.3518
72.000000 77.910 165.0765
73.000000 77.849 164.8162
74.000000 77.798 164.5802
75.000000 77.734 164.3337
76.199997 77.689 164.2597
77.500000 77.650 163.7597
78.800003 77.562 163.4728
80.000000 77.509 163.2617
81.199997 77.459 162.9596
82.500000 77.393 162.6374
83.800003 77.329 162.4111
85.000000 77.270 162.2633
86.199997 77.218 162.1425
87.500000 77.159 161.9392
88.500000 77.104 161.7973
90.000000 77.032 161.6515
91.199997 76.978 161.5246
92.500000 76.923 161.4686
93.800003 76.884 161.3500
95.000000 76.833 161.2405
96.199997 76.788 161.1332
97.500000 76.738 160.9833
98.800003 76.682 160.9113
100.000000 76.661 160.7941
101.500000 76.606 160.5686
103.000000 76.539 160.2772
104.400002 76.489 160.3200
106.000000 76.424 160.0330
107.500000 76.376 159.9283
109.000000 76.312 159.7750
110.599998 76.246 159.6228
112.000000 76.193 159.5776
113.800003 76.122 159.4021
115.000000 76.081 159.3837
117.199997 76.001 159.3764
118.000000 75.979 159.2894
120.599998 75.874 159.2722
122.000000 75.826 159.1492
124.099998 75.740 159.0837
125.000000 75.711 159.1027
126.500000 75.665 159.0047
128.000000 75.601 159.0197
131.500000 75.486 158.9319
132.000000 75.469 158.9388
134.000000 75.402 158.9662
136.000000 75.340 158.9810
138.000000 75.268 158.9641
140.000000 75.182 158.9115
143.000000 75.083 159.1113
145.000000 75.011 159.0840
147.500000 74.914 159.0991
150.000000 74.811 159.3010
152.500000 74.727 159.3993
155.000000 74.657 159.6027
157.500000 74.548 160.1418
160.000000 74.498 160.9079
162.500000 74.516 161.5169
165.000000 74.557 161.7178
167.500000 74.563 161.3894
170.000000 74.548 161.1729
172.500000 74.500 160.8164
175.000000 74.443 160.7393
177.500000 74.384 160.7238
180.000000 74.305 160.7776
182.500000 74.218 160.8455
185.000000 74.168 160.7784
187.500000 74.117 160.8668
190.000000 74.045 160.9825
192.500000 73.986 161.1260
195.000000 73.930 161.2376
197.500000 73.872 161.3909
200.000000 73.810 161.6338
203.000000 73.768 161.6700
206.000000 73.699 161.8745
209.000000 73.614 162.0325
212.000000 73.546 162.1564
214.000000 73.511 162.2740
218.000000 73.418 162.6009
220.000000 73.371 162.8592
224.000000 73.263 163.1809
227.000000 73.218 163.6403
230.000000 73.170 164.1317
233.000000 73.135 164.6320
236.000000 73.088 165.2515
240.000000 73.077 165.8517
243.000000 73.121 166.1737
247.000000 73.163 166.3702
250.000000 73.175 166.2753
254.000000 73.131 166.3453
258.000000 73.101 166.2513
262.000000 73.054 166.3112
265.000000 73.030 166.4135
269.000000 72.967 166.6471
272.000000 72.933 166.4941
276.000000 72.865 166.8332
280.000000 72.801 167.1345
285.000000 72.778 167.2549
290.000000 72.724 167.7090
295.000000 72.649 167.7438
300.000000 72.611 168.0854
304.000000 72.547 168.3144
307.000000 72.541 168.5364
311.000000 72.486 168.7855
315.000000 72.436 169.0579
320.000000 72.382 169.3036
325.000000 72.345 169.5898
