* Measurement data measured by REW V5.20.13
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), R, volume: 0,250
* Format: 256k Log Swept Sine, 1 sweep at -12,0 dBFS with no timing reference
* Dated: 22:15:39 05-04-2024
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: MiM Dark Magician modded L
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 84.713 120.5866
1.015000 84.541 119.6843
1.030000 84.362 118.7800
1.044000 84.190 117.9338
1.060000 83.986 116.9642
1.075000 83.786 116.0525
1.090000 83.580 115.1380
1.106000 83.354 114.1808
1.120000 83.169 113.4746
1.138000 82.949 112.7534
1.150000 82.812 112.3719
1.172000 82.574 111.8361
1.180000 82.490 111.6827
1.206000 82.220 111.2820
1.220000 82.073 111.0987
1.241000 81.843 110.8171
1.250000 81.739 110.6810
1.265000 81.556 110.4154
1.280000 81.359 110.0825
1.315000 80.826 108.9180
1.320000 80.740 108.6952
1.340000 80.367 107.6303
1.360000 79.942 106.2473
1.380000 79.457 104.4935
1.400000 78.906 102.3161
1.430000 77.938 98.1402
1.450000 77.190 94.6727
1.475000 76.107 89.4596
1.500000 74.711 83.1089
1.525000 73.019 75.7215
1.550000 71.094 67.4495
1.575000 68.995 58.4447
1.600000 66.784 48.8592
1.625000 64.522 38.8450
1.650000 62.270 28.5540
1.675000 60.088 18.1382
1.700000 58.039 7.7494
1.725000 56.182 -2.4602
1.750000 54.579 -12.3387
1.775000 53.290 -21.7343
1.800000 52.378 -30.4948
1.825000 51.902 -38.4684
1.850000 51.917 -45.7413
1.875000 52.402 -52.8017
1.900000 53.295 -59.6619
1.925000 54.536 -66.3110
1.950000 56.060 -72.7386
1.975000 57.807 -78.9337
2.000000 59.715 -84.8857
2.030000 62.128 -91.6922
2.060000 64.576 -98.1148
2.090000 66.951 -104.1350
2.120000 69.146 -109.7343
2.140000 70.457 -113.2243
2.180000 72.567 -119.5963
2.200000 73.305 -122.4663
2.240000 74.386 -127.2954
2.270000 74.969 -130.1347
2.300000 75.386 -132.4077
2.330000 75.660 -134.2083
2.360000 75.815 -135.6306
2.400000 75.879 -137.1009
2.430000 75.853 -138.0058
2.470000 75.764 -139.1273
2.500000 75.689 -140.0265
2.540000 75.624 -141.4815
2.580000 75.637 -143.3835
2.620000 75.631 -145.4326
2.650000 75.597 -146.9839
2.690000 75.509 -149.0371
2.720000 75.410 -150.5419
2.760000 75.234 -152.4669
2.800000 75.005 -154.2594
2.850000 74.643 -156.2480
2.900000 74.193 -157.8777
2.950000 73.640 -159.1756
3.000000 72.899 -160.9231
3.040000 72.193 -162.5036
3.070000 71.620 -163.6304
3.110000 70.824 -164.8533
3.150000 70.022 -165.5265
3.200000 69.062 -165.2122
3.250000 68.210 -163.1557
3.300000 67.532 -158.8611
3.350000 66.939 -151.2795
3.400000 66.368 -140.6740
3.450000 65.857 -128.1765
3.500000 65.445 -114.9186
3.550000 65.172 -102.0322
3.600000 65.076 -90.6490
3.650000 65.196 -81.9009
3.700000 65.607 -76.2727
3.750000 66.360 -72.5860
3.820000 67.794 -69.9074
3.870000 68.949 -69.2730
3.950000 70.733 -69.4662
4.000000 71.644 -69.7748
4.060000 72.405 -69.9925
4.120000 72.971 -70.9867
4.180000 73.400 -72.6814
4.250000 73.763 -75.1780
4.310000 73.987 -77.4492
4.370000 74.159 -79.5520
4.440000 74.308 -81.6563
4.500000 74.352 -83.5511
4.550000 74.334 -85.1572
4.620000 74.237 -87.3340
4.680000 74.095 -89.0282
4.750000 73.876 -90.6683
4.820000 73.585 -92.0175
4.870000 73.316 -92.9378
4.940000 72.880 -94.0151
5.000000 72.472 -94.6039
5.080000 71.915 -94.6763
5.150000 71.442 -93.8537
5.220000 70.900 -92.1182
5.300000 70.234 -89.2735
5.380000 69.621 -85.8414
5.450000 69.208 -82.6282
5.520000 68.980 -79.3718
5.600000 68.925 -74.8879
5.700000 69.069 -68.7795
5.800000 69.340 -63.4375
5.900000 69.645 -60.1614
6.000000 70.089 -58.6761
6.080000 70.492 -58.3851
6.150000 70.820 -58.6001
6.220000 71.073 -59.1017
6.300000 71.270 -60.1385
6.400000 71.441 -62.3087
6.500000 71.523 -65.0140
6.600000 71.508 -67.7874
6.700000 71.384 -70.7291
6.800000 71.163 -73.9179
6.900000 70.866 -77.0669
7.000000 70.508 -79.9448
7.100000 70.059 -82.7544
7.200000 69.552 -85.3772
7.300000 69.038 -87.5927
7.400000 68.526 -89.2446
7.500000 67.976 -90.4326
7.620000 67.373 -91.3978
7.750000 66.918 -91.9635
7.880000 66.630 -91.7476
8.000000 66.514 -91.5747
8.120000 66.572 -92.1119
8.250000 66.852 -93.1996
8.380000 67.236 -94.8687
8.500000 67.604 -97.1081
8.620000 68.029 -100.0368
8.750000 68.489 -103.5112
8.850000 68.802 -106.1657
9.000000 69.237 -110.3988
9.120000 69.548 -113.6445
9.250000 69.833 -116.7491
9.380000 70.070 -119.5743
9.500000 70.265 -121.7903
9.620000 70.442 -123.5237
9.750000 70.609 -124.9303
9.880000 70.781 -125.9402
10.000000 70.955 -126.4941
10.150000 71.185 -126.7262
10.300000 71.441 -126.8028
10.440000 71.711 -126.7009
10.600000 72.029 -126.5307
10.750000 72.322 -126.4904
10.900000 72.612 -126.4937
11.060000 72.886 -126.5371
11.200000 73.099 -126.6244
11.380000 73.335 -126.6761
11.500000 73.465 -126.6480
11.720000 73.666 -126.4767
11.800000 73.732 -126.3592
12.060000 73.915 -125.8354
12.200000 74.007 -125.5344
12.410000 74.132 -125.0760
12.500000 74.178 -124.9202
12.650000 74.248 -124.7071
12.800000 74.303 -124.5429
13.150000 74.352 -124.3500
13.200000 74.352 -124.3245
13.400000 74.327 -124.2230
13.600000 74.285 -124.0992
13.800000 74.232 -123.9267
14.000000 74.184 -123.8085
14.300000 74.123 -123.8077
14.500000 74.090 -124.0632
14.750000 74.040 -124.6929
15.000000 73.973 -125.6580
15.250000 73.877 -126.8260
15.500000 73.767 -128.0510
15.750000 73.658 -129.2627
16.000000 73.578 -130.4058
16.250000 73.544 -131.5740
16.500000 73.558 -132.8203
16.750000 73.614 -134.2328
17.000000 73.691 -135.7739
17.250000 73.779 -137.3703
17.500000 73.867 -138.9140
17.750000 73.957 -140.2639
18.000000 74.056 -141.3945
18.250000 74.171 -142.2818
18.500000 74.306 -143.0016
18.750000 74.454 -143.6059
19.000000 74.608 -144.1423
19.250000 74.752 -144.6258
19.500000 74.883 -145.0311
19.750000 74.997 -145.3416
20.000000 75.094 -145.5375
20.299999 75.195 -145.6562
20.600000 75.279 -145.6948
20.900000 75.345 -145.7079
21.200001 75.385 -145.7220
21.400000 75.398 -145.7224
21.799999 75.395 -145.6875
22.000000 75.384 -145.6604
22.400000 75.358 -145.6485
22.700001 75.336 -145.7575
23.000000 75.308 -146.0233
23.299999 75.270 -146.4326
23.600000 75.221 -146.9416
24.000000 75.150 -147.7057
24.299999 75.105 -148.3206
24.700001 75.067 -149.2207
25.000000 75.057 -149.9755
25.400000 75.060 -151.0692
25.799999 75.079 -152.1786
26.200001 75.114 -153.2176
26.500000 75.153 -153.9262
26.900000 75.216 -154.7670
27.200001 75.269 -155.3077
27.600000 75.344 -155.8868
28.000000 75.425 -156.3069
28.500000 75.532 -156.7072
29.000000 75.624 -157.1003
29.500000 75.676 -157.4662
30.000000 75.690 -157.6877
30.400000 75.690 -157.7718
30.700001 75.690 -157.8406
31.100000 75.687 -158.0189
31.500000 75.671 -158.3096
32.000000 75.631 -158.7555
32.500000 75.585 -159.2189
33.000000 75.552 -159.7332
33.500000 75.533 -160.3559
34.000000 75.523 -161.0622
34.500000 75.521 -161.7831
35.000000 75.528 -162.4780
35.500000 75.542 -163.1157
36.000000 75.560 -163.6618
36.500000 75.584 -164.1117
37.000000 75.610 -164.4976
37.500000 75.631 -164.8408
38.200001 75.646 -165.2452
38.700001 75.647 -165.4924
39.500000 75.633 -165.8557
40.000000 75.620 -166.0811
40.599998 75.608 -166.4289
41.200001 75.587 -166.9142
41.799999 75.548 -167.4355
42.500000 75.496 -167.9543
43.099998 75.457 -168.3575
43.700001 75.415 -168.7059
44.400002 75.368 -168.9441
45.000000 75.339 -169.0385
45.500000 75.315 -169.0524
46.200001 75.287 -168.8221
46.799999 75.307 -168.3825
47.500000 75.410 -168.0051
48.200001 75.550 -168.1446
48.700001 75.635 -168.5333
49.400002 75.713 -169.2798
50.000000 75.737 -169.9495
50.799999 75.718 -170.6230
51.500000 75.694 -170.8344
52.200001 75.712 -170.9548
53.000000 75.730 -171.4532
53.799999 75.672 -171.8587
54.500000 75.647 -171.7965
55.200001 75.689 -172.0234
56.000000 75.690 -172.8756
57.000000 75.611 -173.5204
58.000000 75.607 -173.9650
59.000000 75.597 -174.5958
60.000000 75.586 -174.9852
60.799999 75.586 -175.2460
61.500000 75.586 -175.4561
62.200001 75.583 -175.7121
63.000000 75.558 -176.0096
64.000000 75.527 -176.2617
65.000000 75.509 -176.6470
66.000000 75.475 -177.0727
67.000000 75.452 -177.3822
68.000000 75.450 -177.6698
69.000000 75.449 -178.0481
70.000000 75.421 -178.3401
71.000000 75.407 -178.4968
72.000000 75.386 -178.7889
73.000000 75.351 -179.0201
74.000000 75.322 -179.2674
75.000000 75.292 -179.5010
76.199997 75.266 -179.8246
77.500000 75.225 179.9399
78.800003 75.215 179.6368
80.000000 75.157 179.3701
81.199997 75.133 179.4351
82.500000 75.130 179.3290
83.800003 75.137 179.2248
85.000000 75.140 178.9495
86.199997 75.122 178.7000
87.500000 75.112 178.4073
88.500000 75.095 178.1234
90.000000 75.073 177.7712
91.199997 75.060 177.5101
92.500000 75.043 177.2432
93.800003 75.007 177.0435
95.000000 74.982 176.9288
96.199997 74.942 176.7018
97.500000 74.909 176.6245
98.800003 74.889 176.3278
100.000000 74.856 176.1925
101.500000 74.840 176.0502
103.000000 74.812 175.8539
104.400002 74.780 175.7496
106.000000 74.731 175.5770
107.500000 74.702 175.5059
109.000000 74.667 175.4610
110.599998 74.647 175.4229
112.000000 74.633 175.3711
113.800003 74.640 175.3690
115.000000 74.630 175.1399
117.199997 74.623 174.8576
118.000000 74.605 174.7209
120.599998 74.566 174.4709
122.000000 74.547 174.2734
124.099998 74.513 174.0495
125.000000 74.495 173.9762
126.500000 74.476 173.8506
128.000000 74.434 173.7115
131.500000 74.388 173.5177
132.000000 74.389 173.4166
134.000000 74.336 173.3897
136.000000 74.306 173.1656
138.000000 74.277 173.0599
140.000000 74.239 173.0311
143.000000 74.196 172.9205
145.000000 74.168 172.8263
147.500000 74.118 172.5811
150.000000 74.061 172.3765
152.500000 74.054 172.5656
155.000000 74.008 172.5671
157.500000 73.973 172.5797
160.000000 73.956 172.5267
162.500000 73.945 172.4547
165.000000 73.921 172.3558
167.500000 73.880 172.3325
170.000000 73.860 172.1535
172.500000 73.840 172.1055
175.000000 73.804 172.1505
177.500000 73.783 172.0277
180.000000 73.736 171.8569
182.500000 73.706 171.7832
185.000000 73.684 171.7566
187.500000 73.645 171.7131
190.000000 73.626 171.6504
192.500000 73.592 171.6458
195.000000 73.555 171.5115
197.500000 73.531 171.4709
200.000000 73.509 171.2658
203.000000 73.475 171.3776
206.000000 73.429 171.4315
209.000000 73.390 171.5289
212.000000 73.360 171.4060
214.000000 73.330 171.4133
218.000000 73.293 171.5646
220.000000 73.290 171.5387
224.000000 73.237 171.5468
227.000000 73.197 171.5401
230.000000 73.183 171.5399
233.000000 73.155 171.5481
236.000000 73.134 171.5773
240.000000 73.094 171.5875
243.000000 73.060 171.5760
247.000000 73.029 171.6112
250.000000 73.025 171.5670
254.000000 72.959 171.6854
258.000000 72.917 171.6426
262.000000 72.872 171.6229
265.000000 72.861 171.6086
269.000000 72.820 171.7451
272.000000 72.792 171.7488
276.000000 72.763 171.9268
280.000000 72.719 171.7610
285.000000 72.685 171.8423
290.000000 72.643 171.9399
295.000000 72.609 172.2229
300.000000 72.554 172.0331
304.000000 72.524 172.1488
307.000000 72.503 172.1353
311.000000 72.458 172.4075
