* Measurement data measured by REW V5.20.13
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), R, volume: 0,250
* Format: 256k Log Swept Sine, 1 sweep at -12,0 dBFS with no timing reference
* Dated: 22:14:09 05-04-2024
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: MiM Dark Magician modded R
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 84.716 120.7360
1.015000 84.544 119.8388
1.030000 84.366 118.9399
1.044000 84.194 118.0993
1.060000 83.990 117.1365
1.075000 83.792 116.2318
1.090000 83.585 115.3247
1.106000 83.360 114.3763
1.120000 83.178 113.6789
1.138000 82.965 112.9704
1.150000 82.834 112.5983
1.172000 82.609 112.0811
1.180000 82.531 111.9349
1.206000 82.281 111.5588
1.220000 82.145 111.3894
1.241000 81.932 111.1292
1.250000 81.835 111.0022
1.265000 81.663 110.7522
1.280000 81.476 110.4347
1.315000 80.962 109.3056
1.320000 80.877 109.0877
1.340000 80.508 108.0417
1.360000 80.082 106.6765
1.380000 79.590 104.9390
1.400000 79.026 102.7762
1.430000 78.026 98.6181
1.450000 77.244 95.1594
1.475000 76.106 89.9539
1.500000 74.628 83.6105
1.525000 72.832 76.2305
1.550000 70.782 67.9655
1.575000 68.544 58.9667
1.600000 66.185 49.3856
1.625000 63.768 39.3735
1.650000 61.361 29.0819
1.675000 59.028 18.6621
1.700000 56.836 8.2654
1.725000 54.850 -1.9566
1.750000 53.136 -11.8527
1.775000 51.759 -21.2714
1.800000 50.785 -30.0614
1.825000 50.280 -38.0714
1.850000 50.300 -45.3902
1.875000 50.825 -52.5101
1.900000 51.787 -59.4413
1.925000 53.120 -66.1709
1.950000 54.758 -72.6861
1.975000 56.634 -78.9738
2.000000 58.682 -85.0214
2.030000 61.271 -91.9431
2.060000 63.896 -98.4779
2.090000 66.442 -104.6037
2.120000 68.794 -110.2980
2.140000 70.197 -113.8435
2.180000 72.454 -120.3032
2.200000 73.242 -123.2029
2.240000 74.389 -128.0656
2.270000 75.003 -130.9116
2.300000 75.435 -133.1783
2.330000 75.713 -134.9623
2.360000 75.862 -136.3602
2.400000 75.909 -137.7905
2.430000 75.865 -138.6632
2.470000 75.751 -139.7439
2.500000 75.659 -140.6175
2.540000 75.580 -142.0500
2.580000 75.591 -143.9466
2.620000 75.587 -145.9947
2.650000 75.554 -147.5466
2.690000 75.467 -149.6029
2.720000 75.370 -151.1124
2.760000 75.194 -153.0479
2.800000 74.966 -154.8564
2.850000 74.602 -156.8745
2.900000 74.150 -158.5463
2.950000 73.593 -159.9055
3.000000 72.847 -161.7690
3.040000 72.137 -163.4716
3.070000 71.560 -164.6981
3.110000 70.757 -166.0533
3.150000 69.948 -166.8452
3.200000 68.977 -166.6389
3.250000 68.112 -164.6200
3.300000 67.416 -160.2651
3.350000 66.799 -152.4924
3.400000 66.194 -141.5828
3.450000 65.646 -128.7101
3.500000 65.198 -115.0478
3.550000 64.892 -101.7694
3.600000 64.771 -90.0484
3.650000 64.878 -81.0584
3.700000 65.293 -75.3055
3.750000 66.062 -71.5731
3.820000 67.537 -68.9250
3.870000 68.726 -68.3543
3.950000 70.564 -68.6699
4.000000 71.501 -69.0384
4.060000 72.279 -69.2903
4.120000 72.854 -70.3143
4.180000 73.287 -72.0398
4.250000 73.650 -74.5708
4.310000 73.872 -76.8681
4.370000 74.042 -78.9920
4.440000 74.191 -81.1133
4.500000 74.234 -83.0190
4.550000 74.214 -84.6315
4.620000 74.113 -86.8120
4.680000 73.968 -88.5038
4.750000 73.745 -90.1338
4.820000 73.448 -91.4673
4.870000 73.174 -92.3747
4.940000 72.730 -93.4282
5.000000 72.315 -93.9878
5.080000 71.751 -94.0032
5.150000 71.272 -93.1075
5.220000 70.725 -91.2658
5.300000 70.055 -88.2731
5.380000 69.438 -84.6878
5.450000 69.027 -81.3553
5.520000 68.806 -78.0077
5.600000 68.767 -73.4380
5.700000 68.938 -67.2447
5.800000 69.234 -61.8480
5.900000 69.556 -58.5554
6.000000 70.011 -57.1060
6.080000 70.419 -56.8641
6.150000 70.749 -57.1218
6.220000 71.003 -57.6537
6.300000 71.199 -58.7090
6.400000 71.366 -60.8943
6.500000 71.440 -63.6044
6.600000 71.416 -66.3708
6.700000 71.283 -69.2940
6.800000 71.050 -72.4531
6.900000 70.741 -75.5601
7.000000 70.370 -78.3826
7.100000 69.905 -81.1239
7.200000 69.382 -83.6656
7.300000 68.854 -85.7870
7.400000 68.328 -87.3258
7.500000 67.765 -88.3786
7.620000 67.148 -89.1816
7.750000 66.688 -89.6033
7.880000 66.403 -89.2576
8.000000 66.293 -89.0031
8.120000 66.357 -89.5281
8.250000 66.645 -90.6784
8.380000 67.037 -92.4487
8.500000 67.408 -94.7922
8.620000 67.834 -97.8500
8.750000 68.293 -101.4663
8.850000 68.605 -104.2161
9.000000 69.040 -108.5829
9.120000 69.350 -111.9225
9.250000 69.636 -115.1101
9.380000 69.875 -118.0014
9.500000 70.072 -120.2664
9.620000 70.253 -122.0374
9.750000 70.425 -123.4710
9.880000 70.603 -124.5017
10.000000 70.784 -125.0711
10.150000 71.023 -125.3161
10.300000 71.288 -125.4053
10.440000 71.566 -125.3158
10.600000 71.894 -125.1578
10.750000 72.195 -125.1265
10.900000 72.493 -125.1361
11.060000 72.775 -125.1804
11.200000 72.993 -125.2634
11.380000 73.238 -125.3056
11.500000 73.374 -125.2684
11.720000 73.586 -125.0797
11.800000 73.656 -124.9572
12.060000 73.853 -124.4211
12.200000 73.952 -124.1188
12.410000 74.086 -123.6630
12.500000 74.136 -123.5083
12.650000 74.211 -123.2983
12.800000 74.269 -123.1347
13.150000 74.327 -122.9236
13.200000 74.327 -122.8930
13.400000 74.306 -122.7635
13.600000 74.270 -122.6052
13.800000 74.223 -122.3923
14.000000 74.182 -122.2371
14.300000 74.135 -122.1926
14.500000 74.112 -122.4333
14.750000 74.074 -123.0597
15.000000 74.016 -124.0372
15.250000 73.926 -125.2273
15.500000 73.821 -126.4778
15.750000 73.713 -127.7134
16.000000 73.632 -128.8711
16.250000 73.595 -130.0395
16.500000 73.606 -131.2711
16.750000 73.662 -132.6550
17.000000 73.741 -134.1647
17.250000 73.834 -135.7349
17.500000 73.930 -137.2682
17.750000 74.029 -138.6327
18.000000 74.137 -139.8011
18.250000 74.258 -140.7473
18.500000 74.396 -141.5298
18.750000 74.542 -142.1882
19.000000 74.692 -142.7586
19.250000 74.833 -143.2483
19.500000 74.962 -143.6385
19.750000 75.077 -143.9178
20.000000 75.179 -144.0822
20.299999 75.289 -144.1752
20.600000 75.383 -144.2091
20.900000 75.458 -144.2374
21.200001 75.507 -144.2776
21.400000 75.524 -144.2960
21.799999 75.529 -144.2970
22.000000 75.522 -144.2893
22.400000 75.501 -144.3220
22.700001 75.481 -144.4728
23.000000 75.454 -144.7812
23.299999 75.412 -145.2233
23.600000 75.360 -145.7486
24.000000 75.285 -146.5075
24.299999 75.239 -147.1082
24.700001 75.203 -147.9944
25.000000 75.195 -148.7492
25.400000 75.202 -149.8495
25.799999 75.225 -150.9542
26.200001 75.269 -151.9750
26.500000 75.319 -152.6813
26.900000 75.403 -153.5714
27.200001 75.471 -154.2037
27.600000 75.554 -154.9592
28.000000 75.625 -155.5417
28.500000 75.706 -155.9920
29.000000 75.784 -156.2436
29.500000 75.851 -156.4361
30.000000 75.895 -156.6338
30.400000 75.911 -156.8077
30.700001 75.911 -156.9542
31.100000 75.899 -157.1743
31.500000 75.874 -157.4165
32.000000 75.838 -157.7511
32.500000 75.808 -158.1717
33.000000 75.785 -158.7363
33.500000 75.765 -159.4162
34.000000 75.750 -160.1252
34.500000 75.749 -160.8254
35.000000 75.760 -161.5202
35.500000 75.777 -162.1669
36.000000 75.801 -162.7085
36.500000 75.837 -163.1730
37.000000 75.875 -163.6395
37.500000 75.896 -164.0954
38.200001 75.897 -164.5366
38.700001 75.898 -164.7123
39.500000 75.906 -165.0757
40.000000 75.899 -165.4061
40.599998 75.874 -165.8375
41.200001 75.842 -166.2936
41.799999 75.804 -166.7785
42.500000 75.752 -167.3334
43.099998 75.702 -167.7461
43.700001 75.651 -167.9942
44.400002 75.623 -168.0458
45.000000 75.636 -168.1211
45.500000 75.641 -168.2890
46.200001 75.620 -168.3219
46.799999 75.642 -167.9764
47.500000 75.770 -167.9005
48.200001 75.864 -168.6904
48.700001 75.844 -169.2499
49.400002 75.801 -169.2239
50.000000 75.880 -169.0047
50.799999 76.037 -169.8632
51.500000 76.018 -171.0546
52.200001 75.927 -171.4264
53.000000 75.932 -171.3557
53.799999 75.984 -171.9069
54.500000 75.965 -172.6334
55.200001 75.905 -173.1088
56.000000 75.862 -173.3240
57.000000 75.875 -173.7517
58.000000 75.859 -174.3921
59.000000 75.854 -174.7186
60.000000 75.868 -175.2009
60.799999 75.849 -175.5390
61.500000 75.831 -175.7160
62.200001 75.820 -175.8909
63.000000 75.807 -176.1515
64.000000 75.782 -176.5840
65.000000 75.747 -177.0503
66.000000 75.710 -177.4832
67.000000 75.689 -177.8020
68.000000 75.683 -178.1643
69.000000 75.672 -178.4498
70.000000 75.671 -178.7751
71.000000 75.640 -179.1442
72.000000 75.609 -179.3468
73.000000 75.588 -179.6825
74.000000 75.550 179.9909
75.000000 75.530 179.7055
76.199997 75.499 179.2418
77.500000 75.450 178.8853
78.800003 75.406 178.6257
80.000000 75.372 178.3987
81.199997 75.327 178.0712
82.500000 75.260 177.8791
83.800003 75.196 177.7517
85.000000 75.133 177.8219
86.199997 75.087 178.0220
87.500000 75.072 178.3495
88.500000 75.092 178.5634
90.000000 75.173 178.5746
91.199997 75.220 178.2518
92.500000 75.256 177.8813
93.800003 75.260 177.3798
95.000000 75.253 177.0622
96.199997 75.240 176.5929
97.500000 75.207 176.1882
98.800003 75.164 175.8513
100.000000 75.155 175.7034
101.500000 75.121 175.2829
103.000000 75.081 175.0370
104.400002 75.041 174.9296
106.000000 75.020 174.5466
107.500000 74.986 174.3647
109.000000 74.961 174.0535
110.599998 74.924 173.8502
112.000000 74.884 173.6310
113.800003 74.835 173.4788
115.000000 74.810 173.3218
117.199997 74.764 172.9895
118.000000 74.741 172.8832
120.599998 74.694 172.6880
122.000000 74.660 172.5298
124.099998 74.600 172.3253
125.000000 74.582 172.3332
126.500000 74.557 172.1438
128.000000 74.521 171.9833
131.500000 74.445 171.7487
132.000000 74.433 171.7019
134.000000 74.372 171.5192
136.000000 74.320 171.4643
138.000000 74.258 171.3690
140.000000 74.235 171.1154
143.000000 74.152 170.9667
145.000000 74.082 171.1042
147.500000 74.031 171.1558
150.000000 74.010 171.4826
152.500000 73.943 171.8047
155.000000 73.936 172.0197
157.500000 73.954 171.9854
160.000000 73.965 171.7409
162.500000 73.938 171.4753
165.000000 73.913 171.2499
167.500000 73.879 171.0137
170.000000 73.852 170.8341
172.500000 73.803 170.7842
175.000000 73.760 170.7984
177.500000 73.713 170.6290
180.000000 73.662 170.5869
182.500000 73.629 170.6024
185.000000 73.580 170.5303
187.500000 73.560 170.4902
190.000000 73.510 170.4088
192.500000 73.484 170.4326
195.000000 73.444 170.4163
197.500000 73.381 170.4201
200.000000 73.363 170.2667
203.000000 73.319 170.3362
206.000000 73.283 170.3720
209.000000 73.219 170.3690
212.000000 73.181 170.3428
214.000000 73.152 170.4263
218.000000 73.097 170.4546
220.000000 73.078 170.5851
224.000000 73.027 170.5423
227.000000 72.970 170.6714
230.000000 72.950 170.6742
233.000000 72.902 170.6853
236.000000 72.868 170.8369
240.000000 72.828 170.8362
243.000000 72.810 170.9136
247.000000 72.757 171.1111
250.000000 72.684 171.4421
254.000000 72.656 171.2865
258.000000 72.618 171.5052
262.000000 72.575 171.5468
265.000000 72.546 171.6389
269.000000 72.508 171.7995
272.000000 72.489 171.8671
276.000000 72.453 172.0608
280.000000 72.411 172.1973
285.000000 72.371 172.3667
290.000000 72.311 172.4709
295.000000 72.288 172.5427
300.000000 72.225 172.9098
304.000000 72.196 172.9225
307.000000 72.176 172.8989
311.000000 72.149 173.1897
