* Measurement data measured by REW V5.20.13
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0,250
* Format: 256k Log Swept Sine, 1 sweep at -12,0 dBFS with no timing reference
* Dated: 10:32:07 06-01-2024
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Moondrop KXXS L
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 79.711 78.0292
1.015000 79.432 77.6382
1.030000 79.153 77.2200
1.044000 78.893 76.8034
1.060000 78.596 76.2940
1.075000 78.319 75.7820
1.090000 78.044 75.2346
1.106000 77.752 74.6214
1.120000 77.496 74.1245
1.138000 77.165 73.5461
1.150000 76.943 73.1902
1.172000 76.533 72.5793
1.180000 76.383 72.3652
1.206000 75.891 71.6741
1.220000 75.625 71.2909
1.241000 75.222 70.6784
1.250000 75.048 70.3960
1.265000 74.757 69.8903
1.280000 74.464 69.3319
1.315000 73.773 67.7650
1.320000 73.673 67.5053
1.340000 73.273 66.3616
1.360000 72.869 65.0313
1.380000 72.461 63.4896
1.400000 72.050 61.7117
1.430000 71.427 58.5479
1.450000 71.007 56.0712
1.475000 70.471 52.5044
1.500000 69.875 48.2875
1.525000 69.222 43.4697
1.550000 68.526 38.1384
1.575000 67.803 32.3809
1.600000 67.067 26.2849
1.625000 66.333 19.9376
1.650000 65.617 13.4265
1.675000 64.933 6.8391
1.700000 64.297 0.2627
1.725000 63.723 -6.2152
1.750000 63.226 -12.5071
1.775000 62.822 -18.5257
1.800000 62.526 -24.1835
1.825000 62.351 -29.3931
1.850000 62.315 -34.2217
1.875000 62.418 -38.9852
1.900000 62.643 -43.6795
1.925000 62.972 -48.2850
1.950000 63.389 -52.7824
1.975000 63.876 -57.1523
2.000000 64.415 -61.3753
2.030000 65.107 -66.2217
2.060000 65.820 -70.7952
2.090000 66.524 -75.0623
2.120000 67.189 -78.9895
2.140000 67.596 -81.4022
2.180000 68.283 -85.6899
2.200000 68.545 -87.5447
2.240000 68.986 -90.5644
2.270000 69.276 -92.2591
2.300000 69.537 -93.5318
2.330000 69.770 -94.4425
2.360000 69.981 -95.0511
2.400000 70.233 -95.4963
2.430000 70.404 -95.6331
2.470000 70.618 -95.6669
2.500000 70.770 -95.6584
2.540000 70.972 -95.7161
2.580000 71.175 -95.9373
2.620000 71.352 -96.0303
2.650000 71.467 -95.9765
2.690000 71.601 -95.7620
2.720000 71.692 -95.5089
2.760000 71.803 -95.0704
2.800000 71.911 -94.5415
2.850000 72.049 -93.7948
2.900000 72.205 -93.0029
2.950000 72.387 -92.1954
3.000000 72.579 -91.2155
3.040000 72.736 -90.3144
3.070000 72.857 -89.5923
3.110000 73.021 -88.5947
3.150000 73.189 -87.5881
3.200000 73.406 -86.3683
3.250000 73.632 -85.2526
3.300000 73.866 -84.3057
3.350000 74.116 -83.4755
3.400000 74.380 -82.7016
3.450000 74.654 -81.9937
3.500000 74.933 -81.3618
3.550000 75.211 -80.8158
3.600000 75.483 -80.3657
3.650000 75.744 -80.0213
3.700000 75.993 -79.7971
3.750000 76.241 -79.6986
3.820000 76.581 -79.7362
3.870000 76.817 -79.8621
3.950000 77.175 -80.1820
4.000000 77.385 -80.4258
4.060000 77.619 -80.7480
4.120000 77.837 -81.1654
4.180000 78.040 -81.6643
4.250000 78.260 -82.3121
4.310000 78.434 -82.8921
4.370000 78.594 -83.4658
4.440000 78.763 -84.1167
4.500000 78.890 -84.7036
4.550000 78.984 -85.2052
4.620000 79.103 -85.9076
4.680000 79.195 -86.4922
4.750000 79.298 -87.1309
4.820000 79.393 -87.7174
4.870000 79.453 -88.1177
4.940000 79.528 -88.6524
5.000000 79.587 -89.0865
5.080000 79.664 -89.6304
5.150000 79.733 -90.0717
5.220000 79.798 -90.4652
5.300000 79.869 -90.8695
5.380000 79.940 -91.2506
5.450000 80.005 -91.5857
5.520000 80.075 -91.9365
5.600000 80.161 -92.3241
5.700000 80.272 -92.8051
5.800000 80.388 -93.3269
5.900000 80.507 -93.9313
6.000000 80.632 -94.6004
6.080000 80.733 -95.1781
6.150000 80.821 -95.7164
6.220000 80.906 -96.2868
6.300000 81.000 -96.9850
6.400000 81.115 -97.9240
6.500000 81.225 -98.9135
6.600000 81.326 -99.9284
6.700000 81.419 -100.9849
6.800000 81.505 -102.0793
6.900000 81.584 -103.1744
7.000000 81.657 -104.2389
7.100000 81.722 -105.2937
7.200000 81.781 -106.3324
7.300000 81.838 -107.3379
7.400000 81.894 -108.2994
7.500000 81.948 -109.2257
7.620000 82.012 -110.2948
7.750000 82.088 -111.4022
7.880000 82.168 -112.4482
8.000000 82.246 -113.3818
8.120000 82.331 -114.3041
8.250000 82.430 -115.2774
8.380000 82.534 -116.2428
8.500000 82.631 -117.1439
8.620000 82.732 -118.0485
8.750000 82.841 -119.0279
8.850000 82.924 -119.7810
9.000000 83.046 -120.9150
9.120000 83.142 -121.8075
9.250000 83.240 -122.7473
9.380000 83.334 -123.6660
9.500000 83.417 -124.4842
9.620000 83.498 -125.2673
9.750000 83.583 -126.0810
9.880000 83.665 -126.8567
10.000000 83.739 -127.5357
10.150000 83.829 -128.3387
10.300000 83.917 -129.1039
10.440000 83.999 -129.7812
10.600000 84.091 -130.5234
10.750000 84.175 -131.1969
10.900000 84.258 -131.8475
11.060000 84.340 -132.5282
11.200000 84.409 -133.1123
11.380000 84.492 -133.8432
11.500000 84.543 -134.3169
11.720000 84.632 -135.1601
11.800000 84.662 -135.4585
12.060000 84.751 -136.4026
12.200000 84.794 -136.9032
12.410000 84.852 -137.6418
12.500000 84.875 -137.9532
12.650000 84.911 -138.4637
12.800000 84.944 -138.9705
13.150000 85.009 -140.1531
13.200000 85.017 -140.3218
13.400000 85.046 -140.9968
13.600000 85.071 -141.6659
13.800000 85.093 -142.3240
14.000000 85.114 -142.9897
14.300000 85.142 -144.0065
14.500000 85.160 -144.6939
14.750000 85.181 -145.5635
15.000000 85.200 -146.4458
15.250000 85.218 -147.3551
15.500000 85.235 -148.2642
15.750000 85.251 -149.1621
16.000000 85.268 -150.0433
16.250000 85.287 -150.9083
16.500000 85.308 -151.7575
16.750000 85.332 -152.5913
17.000000 85.358 -153.4117
17.250000 85.385 -154.2177
17.500000 85.412 -155.0079
17.750000 85.438 -155.7774
18.000000 85.463 -156.5192
18.250000 85.487 -157.2252
18.500000 85.509 -157.8954
18.750000 85.529 -158.5273
19.000000 85.547 -159.1188
19.250000 85.563 -159.6665
19.500000 85.579 -160.1758
19.750000 85.595 -160.6514
20.000000 85.612 -161.1039
20.299999 85.632 -161.6317
20.600000 85.652 -162.1576
20.900000 85.670 -162.6929
21.200001 85.683 -163.2436
21.400000 85.689 -163.6136
21.799999 85.696 -164.3509
22.000000 85.698 -164.7196
22.400000 85.700 -165.4744
22.700001 85.700 -166.0616
23.000000 85.699 -166.6784
23.299999 85.693 -167.3270
23.600000 85.682 -167.9838
24.000000 85.661 -168.8363
24.299999 85.644 -169.4422
24.700001 85.626 -170.2023
25.000000 85.619 -170.7522
25.400000 85.616 -171.4926
25.799999 85.617 -172.2593
26.200001 85.616 -173.0366
26.500000 85.611 -173.6040
26.900000 85.601 -174.3165
27.200001 85.593 -174.8119
27.600000 85.583 -175.4293
28.000000 85.573 -176.0154
28.500000 85.559 -176.7135
29.000000 85.541 -177.3783
29.500000 85.518 -178.0125
30.000000 85.494 -178.6326
30.400000 85.473 -179.1370
30.700001 85.455 -179.5198
31.100000 85.428 179.9689
31.500000 85.399 179.4623
32.000000 85.363 178.8444
32.500000 85.329 178.2236
33.000000 85.296 177.5928
33.500000 85.264 176.9637
34.000000 85.232 176.3568
34.500000 85.204 175.7694
35.000000 85.177 175.1912
35.500000 85.150 174.6232
36.000000 85.121 174.0828
36.500000 85.091 173.5752
37.000000 85.062 173.0887
37.500000 85.031 172.6161
38.200001 84.984 171.9763
38.700001 84.948 171.5421
39.500000 84.893 170.8603
40.000000 84.857 170.4294
40.599998 84.812 169.9139
41.200001 84.767 169.4157
41.799999 84.724 168.9237
42.500000 84.675 168.3513
43.099998 84.633 167.8745
43.700001 84.590 167.4161
44.400002 84.539 166.8963
45.000000 84.494 166.4712
45.500000 84.456 166.1388
46.200001 84.405 165.6963
46.799999 84.365 165.3026
47.500000 84.311 164.8194
48.200001 84.250 164.3817
48.700001 84.211 164.1039
49.400002 84.164 163.6966
50.000000 84.119 163.3079
50.799999 84.052 162.8629
51.500000 84.003 162.5529
52.200001 83.964 162.1791
53.000000 83.905 161.7136
53.799999 83.842 161.3514
54.500000 83.800 161.0161
55.200001 83.749 160.5970
56.000000 83.671 160.2182
57.000000 83.599 159.9275
58.000000 83.548 159.4707
59.000000 83.473 158.9866
60.000000 83.397 158.6550
60.799999 83.345 158.3898
61.500000 83.298 158.1519
62.200001 83.251 157.9133
63.000000 83.195 157.6082
64.000000 83.117 157.2553
65.000000 83.048 156.9376
66.000000 82.977 156.5943
67.000000 82.908 156.2888
68.000000 82.845 155.9674
69.000000 82.776 155.7165
70.000000 82.724 155.5040
71.000000 82.673 155.1665
72.000000 82.604 154.8352
73.000000 82.535 154.5904
74.000000 82.468 154.3066
75.000000 82.396 154.0753
76.199997 82.321 153.7952
77.500000 82.236 153.4891
78.800003 82.148 153.1960
80.000000 82.067 152.9702
81.199997 81.992 152.7537
82.500000 81.907 152.4955
83.800003 81.817 152.3129
85.000000 81.749 152.1333
86.199997 81.662 151.9335
87.500000 81.588 151.7836
88.500000 81.520 151.5922
90.000000 81.420 151.4407
91.199997 81.344 151.3353
92.500000 81.270 151.1994
93.800003 81.180 151.0934
95.000000 81.106 151.0104
96.199997 81.023 150.9428
97.500000 80.941 150.8611
98.800003 80.848 150.8486
100.000000 80.777 150.8752
101.500000 80.672 150.9349
103.000000 80.577 151.1237
104.400002 80.492 151.4020
106.000000 80.421 151.7502
107.500000 80.370 152.1518
109.000000 80.354 152.4299
110.599998 80.344 152.6421
112.000000 80.341 152.6729
113.800003 80.333 152.6243
115.000000 80.328 152.5207
117.199997 80.306 152.1748
118.000000 80.295 151.9930
120.599998 80.219 151.4661
122.000000 80.165 151.1781
124.099998 80.072 150.9301
125.000000 80.032 150.8068
126.500000 79.958 150.6478
128.000000 79.890 150.5667
131.500000 79.730 150.3159
132.000000 79.705 150.3192
134.000000 79.619 150.2733
136.000000 79.525 150.2855
138.000000 79.445 150.3080
140.000000 79.364 150.2787
143.000000 79.242 150.3397
145.000000 79.168 150.3782
147.500000 79.070 150.5114
150.000000 78.983 150.5054
152.500000 78.892 150.6171
155.000000 78.800 150.7755
157.500000 78.716 150.8479
160.000000 78.621 151.0240
162.500000 78.551 151.0957
165.000000 78.465 151.2779
167.500000 78.385 151.4038
170.000000 78.322 151.5294
172.500000 78.234 151.6579
175.000000 78.176 151.8858
177.500000 78.091 152.0608
180.000000 78.019 152.2211
182.500000 77.957 152.3554
185.000000 77.899 152.5746
187.500000 77.826 152.8889
190.000000 77.767 153.0742
192.500000 77.718 153.2916
195.000000 77.662 153.3962
197.500000 77.622 153.5795
200.000000 77.571 153.7432
203.000000 77.495 153.9362
206.000000 77.434 154.0583
209.000000 77.367 154.2902
212.000000 77.308 154.4423
214.000000 77.251 154.5863
218.000000 77.170 154.9354
220.000000 77.140 155.0326
224.000000 77.053 155.3414
227.000000 76.998 155.6406
230.000000 76.941 155.8716
233.000000 76.874 156.0839
236.000000 76.829 156.2835
240.000000 76.747 156.6263
243.000000 76.712 156.8453
247.000000 76.637 157.2363
250.000000 76.588 157.5355
254.000000 76.525 157.7752
258.000000 76.463 158.0676
262.000000 76.406 158.3944
265.000000 76.358 158.7057
269.000000 76.296 159.0348
272.000000 76.264 159.2906
276.000000 76.215 159.6058
280.000000 76.152 159.9208
285.000000 76.093 160.3616
290.000000 76.031 160.7234
295.000000 75.961 161.1833
300.000000 75.925 161.4600
304.000000 75.873 161.8716
307.000000 75.852 162.1297
311.000000 75.790 162.5043
315.000000 75.744 162.7839
320.000000 75.701 163.1235
325.000000 75.659 163.6048
330.000000 75.600 164.0218
