* Measurement data measured by REW V5.20.13
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), R, volume: 0,250
* Format: 256k Log Swept Sine, 1 sweep at -12,0 dBFS with no timing reference
* Dated: 10:25:50 06-01-2024
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Moondrop KXXS R
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 89.090 75.2983
1.015000 88.811 74.9216
1.030000 88.532 74.5268
1.044000 88.271 74.1406
1.060000 87.973 73.6771
1.075000 87.695 73.2196
1.090000 87.418 72.7386
1.106000 87.125 72.2113
1.120000 86.876 71.8091
1.138000 86.564 71.3791
1.150000 86.360 71.1369
1.172000 85.993 70.7617
1.180000 85.861 70.6410
1.206000 85.435 70.2768
1.220000 85.204 70.0816
1.241000 84.855 69.7627
1.250000 84.704 69.6090
1.265000 84.447 69.3203
1.280000 84.185 68.9800
1.315000 83.542 67.9152
1.320000 83.446 67.7254
1.340000 83.050 66.8534
1.360000 82.632 65.7787
1.380000 82.188 64.4718
1.400000 81.716 62.9031
1.430000 80.948 59.9946
1.450000 80.391 57.6421
1.475000 79.630 54.1824
1.500000 78.717 50.1168
1.525000 77.662 45.4997
1.550000 76.494 40.3970
1.575000 75.245 34.8741
1.600000 73.946 28.9970
1.625000 72.628 22.8313
1.650000 71.322 16.4427
1.675000 70.059 9.8968
1.700000 68.870 3.2594
1.725000 67.786 -3.4037
1.750000 66.838 -10.0270
1.775000 66.057 -16.5447
1.800000 65.474 -22.8911
1.825000 65.119 -29.0005
1.850000 65.021 -34.9998
1.875000 65.167 -41.2789
1.900000 65.526 -47.7852
1.925000 66.068 -54.4469
1.950000 66.761 -61.1919
1.975000 67.574 -67.9481
2.000000 68.476 -74.6434
2.030000 69.632 -82.4959
2.060000 70.816 -90.0326
2.090000 71.976 -97.1290
2.120000 73.058 -103.6604
2.140000 73.708 -107.6394
2.180000 74.769 -114.5306
2.200000 75.148 -117.3695
2.240000 75.739 -121.8547
2.270000 76.096 -124.3083
2.300000 76.389 -126.0932
2.330000 76.624 -127.3099
2.360000 76.810 -128.0589
2.400000 76.995 -128.5036
2.430000 77.097 -128.5519
2.470000 77.198 -128.4270
2.500000 77.259 -128.3217
2.540000 77.333 -128.3566
2.580000 77.410 -128.7495
2.620000 77.434 -129.1242
2.650000 77.414 -129.3127
2.690000 77.347 -129.4280
2.720000 77.273 -129.4037
2.760000 77.155 -129.2111
2.800000 77.025 -128.8208
2.850000 76.867 -128.0308
2.900000 76.737 -126.8763
2.950000 76.652 -125.3017
3.000000 76.556 -123.1192
3.040000 76.469 -120.9995
3.070000 76.405 -119.2469
3.110000 76.327 -116.7602
3.150000 76.267 -114.1791
3.200000 76.231 -110.9481
3.250000 76.254 -107.8647
3.300000 76.356 -105.0908
3.350000 76.548 -102.4197
3.400000 76.818 -99.6900
3.450000 77.146 -96.9903
3.500000 77.511 -94.4093
3.550000 77.894 -92.0356
3.600000 78.274 -89.9579
3.650000 78.632 -88.2649
3.700000 78.969 -87.0177
3.750000 79.319 -86.1605
3.820000 79.820 -85.4886
3.870000 80.174 -85.2969
3.950000 80.708 -85.3078
4.000000 81.008 -85.4111
4.060000 81.324 -85.5771
4.120000 81.606 -85.9814
4.180000 81.858 -86.5928
4.250000 82.118 -87.4714
4.310000 82.312 -88.2833
4.370000 82.483 -89.0730
4.440000 82.649 -89.9355
4.500000 82.756 -90.7362
4.550000 82.825 -91.4301
4.620000 82.897 -92.4007
4.680000 82.941 -93.1930
4.750000 82.980 -94.0208
4.820000 83.004 -94.7365
4.870000 83.003 -95.2109
4.940000 82.986 -95.8177
5.000000 82.962 -96.2783
5.080000 82.928 -96.7963
5.150000 82.904 -97.1472
5.220000 82.874 -97.3739
5.300000 82.834 -97.5132
5.380000 82.798 -97.5794
5.450000 82.777 -97.6224
5.520000 82.773 -97.6809
5.600000 82.783 -97.6858
5.700000 82.815 -97.6505
5.800000 82.864 -97.6928
5.900000 82.928 -97.9286
6.000000 83.015 -98.3036
6.080000 83.094 -98.6969
6.150000 83.164 -99.1182
6.220000 83.229 -99.6190
6.300000 83.300 -100.3065
6.400000 83.388 -101.3265
6.500000 83.469 -102.4660
6.600000 83.536 -103.6623
6.700000 83.586 -104.9495
6.800000 83.624 -106.3233
6.900000 83.652 -107.7032
7.000000 83.671 -109.0220
7.100000 83.676 -110.3248
7.200000 83.673 -111.5975
7.300000 83.672 -112.8031
7.400000 83.675 -113.9161
7.500000 83.676 -114.9537
7.620000 83.686 -116.1209
7.750000 83.719 -117.3061
7.880000 83.771 -118.3823
8.000000 83.837 -119.3394
8.120000 83.920 -120.3175
8.250000 84.033 -121.3696
8.380000 84.159 -122.4445
8.500000 84.279 -123.4910
8.620000 84.408 -124.5817
8.750000 84.548 -125.7823
8.850000 84.651 -126.7082
9.000000 84.801 -128.1240
9.120000 84.915 -129.2273
9.250000 85.028 -130.3559
9.380000 85.132 -131.4363
9.500000 85.224 -132.3649
9.620000 85.312 -133.2101
9.750000 85.403 -134.0440
9.880000 85.493 -134.8037
10.000000 85.577 -135.4347
10.150000 85.681 -136.1363
10.300000 85.786 -136.7898
10.440000 85.887 -137.3511
10.600000 86.000 -137.9585
10.750000 86.103 -138.5191
10.900000 86.202 -139.0625
11.060000 86.298 -139.6312
11.200000 86.375 -140.1211
11.380000 86.462 -140.7216
11.500000 86.514 -141.0989
11.720000 86.597 -141.7509
11.800000 86.624 -141.9738
12.060000 86.701 -142.6591
12.200000 86.736 -143.0252
12.410000 86.781 -143.5712
12.500000 86.798 -143.8106
12.650000 86.822 -144.2142
12.800000 86.841 -144.6283
13.150000 86.861 -145.6504
13.200000 86.861 -145.7983
13.400000 86.856 -146.3964
13.600000 86.845 -146.9865
13.800000 86.829 -147.5574
14.000000 86.813 -148.1387
14.300000 86.794 -149.0454
14.500000 86.785 -149.6933
14.750000 86.777 -150.5652
15.000000 86.769 -151.5107
15.250000 86.761 -152.5311
15.500000 86.751 -153.5703
15.750000 86.740 -154.6005
16.000000 86.733 -155.5937
16.250000 86.734 -156.5526
16.500000 86.747 -157.4821
16.750000 86.769 -158.3943
17.000000 86.798 -159.2981
17.250000 86.833 -160.1889
17.500000 86.870 -161.0593
17.750000 86.906 -161.8883
18.000000 86.942 -162.6650
18.250000 86.978 -163.3770
18.500000 87.014 -164.0334
18.750000 87.049 -164.6413
19.000000 87.082 -165.2072
19.250000 87.112 -165.7355
19.500000 87.137 -166.2292
19.750000 87.158 -166.6908
20.000000 87.173 -167.1234
20.299999 87.185 -167.6146
20.600000 87.190 -168.0880
20.900000 87.187 -168.5565
21.200001 87.176 -169.0303
21.400000 87.163 -169.3455
21.799999 87.130 -169.9696
22.000000 87.111 -170.2826
22.400000 87.071 -170.9351
22.700001 87.041 -171.4584
23.000000 87.011 -172.0250
23.299999 86.979 -172.6371
23.600000 86.945 -173.2725
24.000000 86.901 -174.1276
24.299999 86.872 -174.7667
24.700001 86.842 -175.6141
25.000000 86.825 -176.2475
25.400000 86.809 -177.0863
25.799999 86.798 -177.8961
26.200001 86.792 -178.6545
26.500000 86.792 -179.1881
26.900000 86.795 -179.8618
27.200001 86.797 179.6570
27.600000 86.797 179.0506
28.000000 86.792 178.4966
28.500000 86.778 177.8874
29.000000 86.757 177.3348
29.500000 86.726 176.8090
30.000000 86.687 176.3099
30.400000 86.652 175.9175
30.700001 86.626 175.6142
31.100000 86.591 175.1740
31.500000 86.552 174.6869
32.000000 86.497 174.0512
32.500000 86.440 173.4261
33.000000 86.389 172.8200
33.500000 86.350 172.2020
34.000000 86.316 171.5626
34.500000 86.284 170.9251
35.000000 86.253 170.3195
35.500000 86.224 169.7573
36.000000 86.195 169.2411
36.500000 86.165 168.7684
37.000000 86.136 168.3326
37.500000 86.105 167.9232
38.200001 86.057 167.3540
38.700001 86.018 166.9392
39.500000 85.946 166.2777
40.000000 85.898 165.8780
40.599998 85.842 165.3981
41.200001 85.790 164.8990
41.799999 85.740 164.3764
42.500000 85.681 163.7645
43.099998 85.632 163.2632
43.700001 85.584 162.7966
44.400002 85.532 162.2780
45.000000 85.487 161.8294
45.500000 85.444 161.4665
46.200001 85.378 161.0357
46.799999 85.327 160.7222
47.500000 85.270 160.3222
48.200001 85.205 159.9056
48.700001 85.160 159.6369
49.400002 85.103 159.2598
50.000000 85.055 158.8727
50.799999 84.976 158.3587
51.500000 84.907 158.0038
52.200001 84.849 157.6621
53.000000 84.780 157.2212
53.799999 84.702 156.8091
54.500000 84.635 156.4974
55.200001 84.567 156.2034
56.000000 84.486 155.9517
57.000000 84.405 155.6685
58.000000 84.312 155.3102
59.000000 84.219 155.1379
60.000000 84.143 154.7612
60.799999 84.033 154.4458
61.500000 83.936 154.5046
62.200001 83.891 154.6319
63.000000 83.859 154.4355
64.000000 83.764 154.1564
65.000000 83.694 154.3504
66.000000 83.679 154.4885
67.000000 83.673 154.5676
68.000000 83.693 154.5071
69.000000 83.679 154.1813
70.000000 83.641 153.9158
71.000000 83.597 153.4357
72.000000 83.509 152.9948
73.000000 83.444 152.6212
74.000000 83.344 152.1477
75.000000 83.271 152.2012
76.199997 83.256 151.7916
77.500000 83.160 151.4872
78.800003 83.099 151.2494
80.000000 83.032 151.0551
81.199997 82.982 150.6770
82.500000 82.902 150.2386
83.800003 82.828 149.8617
85.000000 82.759 149.5684
86.199997 82.687 149.3612
87.500000 82.618 149.1475
88.500000 82.553 148.9450
90.000000 82.444 148.7779
91.199997 82.372 148.5967
92.500000 82.278 148.4777
93.800003 82.212 148.3715
95.000000 82.149 148.2076
96.199997 82.075 148.0147
97.500000 81.999 148.0158
98.800003 81.940 147.8402
100.000000 81.859 147.8239
101.500000 81.799 147.7961
103.000000 81.722 147.6559
104.400002 81.649 147.5732
106.000000 81.570 147.4271
107.500000 81.506 147.4319
109.000000 81.427 147.2361
110.599998 81.354 147.2316
112.000000 81.295 147.1908
113.800003 81.221 146.8661
115.000000 81.140 146.8713
117.199997 81.050 146.9093
118.000000 81.020 146.9434
120.599998 80.887 146.7932
122.000000 80.825 146.8083
124.099998 80.728 146.6724
125.000000 80.688 146.6953
126.500000 80.631 146.6413
128.000000 80.558 146.5627
131.500000 80.402 146.6967
132.000000 80.385 146.6897
134.000000 80.292 146.6544
136.000000 80.215 146.6868
138.000000 80.114 146.7428
140.000000 80.049 146.7643
143.000000 79.929 146.8268
145.000000 79.839 146.8886
147.500000 79.751 146.9328
150.000000 79.668 147.0235
152.500000 79.565 147.2101
155.000000 79.480 147.3152
157.500000 79.390 147.3908
160.000000 79.306 147.5440
162.500000 79.220 147.6467
165.000000 79.140 147.8138
167.500000 79.051 147.9867
170.000000 78.973 148.1418
172.500000 78.897 148.3181
175.000000 78.824 148.4799
177.500000 78.751 148.7144
180.000000 78.680 148.9507
182.500000 78.619 149.1147
185.000000 78.558 149.3708
187.500000 78.486 149.5876
190.000000 78.436 149.7303
192.500000 78.381 149.8441
195.000000 78.318 149.9892
197.500000 78.253 150.1481
200.000000 78.197 150.3059
203.000000 78.119 150.4727
206.000000 78.044 150.7438
209.000000 77.978 150.9340
212.000000 77.902 151.0995
214.000000 77.862 151.3220
218.000000 77.770 151.6237
220.000000 77.732 151.7678
224.000000 77.649 152.1218
227.000000 77.579 152.3437
230.000000 77.524 152.5278
233.000000 77.466 152.7773
236.000000 77.405 153.0640
240.000000 77.336 153.3947
243.000000 77.283 153.6389
247.000000 77.205 153.9929
250.000000 77.145 154.2464
254.000000 77.076 154.5563
258.000000 77.021 154.9809
262.000000 76.965 155.2470
265.000000 76.908 155.5214
269.000000 76.853 155.8119
272.000000 76.804 155.9925
276.000000 76.746 156.4276
280.000000 76.693 156.8349
285.000000 76.610 157.2457
290.000000 76.545 157.6500
295.000000 76.486 158.1378
300.000000 76.428 158.5449
304.000000 76.373 158.7996
307.000000 76.336 159.1408
311.000000 76.300 159.4604
315.000000 76.247 159.7645
320.000000 76.193 160.2018
325.000000 76.156 160.6249
330.000000 76.105 161.0389
335.000000 76.053 161.4751
