* Measurement data measured by REW V5.20.13
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0,250
* Format: 256k Log Swept Sine, 1 sweep at -12,0 dBFS with no timing reference
* Dated: 14:35:52 16-10-2023
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Moondrop SSR L
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 74.920 -125.0579
20.600000 75.013 -125.5111
20.900000 75.096 -125.8892
21.200001 75.173 -126.2607
21.400000 75.221 -126.5146
21.799999 75.310 -127.0420
22.000000 75.351 -127.3155
22.400000 75.428 -127.8758
22.700001 75.482 -128.3034
23.000000 75.536 -128.7376
23.299999 75.591 -129.1818
23.600000 75.646 -129.6377
24.000000 75.720 -130.2617
24.299999 75.776 -130.7359
24.700001 75.853 -131.3683
25.000000 75.911 -131.8403
25.400000 75.990 -132.4686
25.799999 76.069 -133.0979
26.200001 76.145 -133.7210
26.500000 76.199 -134.1730
26.900000 76.266 -134.7402
27.200001 76.315 -135.1335
27.600000 76.379 -135.6188
28.000000 76.444 -136.0771
28.500000 76.525 -136.6449
29.000000 76.602 -137.2288
29.500000 76.670 -137.8245
30.000000 76.730 -138.4121
30.400000 76.773 -138.8660
30.700001 76.805 -139.1967
31.100000 76.847 -139.6324
31.500000 76.890 -140.0738
32.000000 76.944 -140.6473
32.500000 76.996 -141.2391
33.000000 77.044 -141.8233
33.500000 77.091 -142.3832
34.000000 77.141 -142.9296
34.500000 77.191 -143.4821
35.000000 77.237 -144.0348
35.500000 77.278 -144.5544
36.000000 77.316 -145.0170
36.500000 77.358 -145.4362
37.000000 77.404 -145.8525
37.500000 77.450 -146.2932
38.200001 77.506 -146.9379
38.700001 77.540 -147.3842
39.500000 77.592 -148.0568
40.000000 77.626 -148.4915
40.599998 77.663 -149.0516
41.200001 77.689 -149.5885
41.799999 77.714 -150.0349
42.500000 77.762 -150.5298
43.099998 77.806 -151.0566
43.700001 77.832 -151.5968
44.400002 77.855 -152.0780
45.000000 77.892 -152.4567
45.500000 77.922 -152.8576
46.200001 77.940 -153.4114
46.799999 77.956 -153.7127
47.500000 78.013 -154.1322
48.200001 78.055 -154.9154
48.700001 78.041 -155.4695
49.400002 78.006 -155.8189
50.000000 78.026 -155.9168
50.799999 78.099 -156.4209
51.500000 78.122 -157.0836
52.200001 78.122 -157.5308
53.000000 78.151 -157.8880
53.799999 78.194 -158.3790
54.500000 78.218 -158.8649
55.200001 78.231 -159.3137
56.000000 78.240 -159.7470
57.000000 78.264 -160.2283
58.000000 78.291 -160.8250
59.000000 78.296 -161.4050
60.000000 78.311 -161.8815
60.799999 78.327 -162.3406
61.500000 78.328 -162.7259
62.200001 78.332 -163.0107
63.000000 78.354 -163.3576
64.000000 78.369 -163.9442
65.000000 78.364 -164.4218
66.000000 78.366 -164.8278
67.000000 78.372 -165.1923
68.000000 78.398 -165.6286
69.000000 78.406 -166.2555
70.000000 78.379 -166.7618
71.000000 78.363 -166.9968
72.000000 78.392 -167.2655
73.000000 78.413 -167.7839
74.000000 78.409 -168.2294
75.000000 78.415 -168.6143
76.199997 78.413 -169.1350
77.500000 78.400 -169.6062
78.800003 78.397 -169.9636
80.000000 78.415 -170.4418
81.199997 78.397 -170.9711
82.500000 78.390 -171.3347
83.800003 78.392 -171.7847
85.000000 78.390 -172.1938
86.199997 78.380 -172.5716
87.500000 78.376 -172.9416
88.500000 78.372 -173.2658
90.000000 78.360 -173.7745
91.199997 78.339 -174.1847
92.500000 78.326 -174.5163
93.800003 78.303 -174.9898
95.000000 78.284 -175.2240
96.199997 78.253 -175.5824
97.500000 78.237 -175.6718
98.800003 78.206 -175.9956
100.000000 78.203 -175.9193
101.500000 78.219 -176.3020
103.000000 78.205 -176.5694
104.400002 78.211 -176.6836
106.000000 78.244 -177.0441
107.500000 78.241 -177.5521
109.000000 78.233 -177.8991
110.599998 78.225 -178.2751
112.000000 78.224 -178.6893
113.800003 78.203 -179.1306
115.000000 78.188 -179.4039
117.199997 78.170 -179.9297
118.000000 78.150 179.8632
120.599998 78.122 179.3637
122.000000 78.101 179.0679
124.099998 78.076 178.7038
125.000000 78.068 178.5247
126.500000 78.054 178.2462
128.000000 78.029 177.9440
131.500000 77.979 177.3628
132.000000 77.978 177.2564
134.000000 77.950 176.8620
136.000000 77.927 176.5876
138.000000 77.897 176.2202
140.000000 77.868 175.8816
143.000000 77.818 175.3930
145.000000 77.804 175.1413
147.500000 77.743 174.6145
150.000000 77.709 174.4953
152.500000 77.670 174.0608
155.000000 77.627 173.6616
157.500000 77.584 173.4016
160.000000 77.538 173.0663
162.500000 77.500 172.7477
165.000000 77.452 172.4705
167.500000 77.400 172.1678
170.000000 77.352 172.0174
172.500000 77.291 171.7751
175.000000 77.245 171.6533
177.500000 77.201 171.6110
180.000000 77.174 171.5339
182.500000 77.151 171.4945
185.000000 77.124 171.2819
187.500000 77.104 170.9970
190.000000 77.066 170.7721
192.500000 77.041 170.6118
195.000000 77.010 170.3978
197.500000 76.958 170.1634
200.000000 76.910 170.0413
203.000000 76.879 169.7307
206.000000 76.837 169.4906
209.000000 76.782 169.3849
212.000000 76.724 169.1367
214.000000 76.694 169.0715
218.000000 76.636 168.8253
220.000000 76.605 168.7823
224.000000 76.539 168.5858
227.000000 76.486 168.4257
230.000000 76.443 168.3162
233.000000 76.390 168.3359
236.000000 76.346 168.2191
240.000000 76.281 167.9330
243.000000 76.232 167.9113
247.000000 76.166 167.7029
250.000000 76.150 167.5342
254.000000 76.062 167.6130
258.000000 75.993 167.4743
262.000000 75.942 167.4594
265.000000 75.901 167.4546
269.000000 75.835 167.3631
272.000000 75.787 167.3714
276.000000 75.716 167.3105
280.000000 75.671 167.3958
285.000000 75.598 167.3122
290.000000 75.539 167.3066
295.000000 75.447 167.3343
300.000000 75.385 167.2595
304.000000 75.335 167.3331
307.000000 75.276 167.4152
311.000000 75.229 167.4258
315.000000 75.179 167.4777
320.000000 75.117 167.4294
325.000000 75.033 167.5674
330.000000 74.975 167.6263
335.000000 74.928 167.7307
340.000000 74.851 167.9092
345.000000 74.782 167.8629
350.000000 74.740 168.0002
355.000000 74.674 168.1855
360.000000 74.603 168.2556
365.000000 74.541 168.5034
370.000000 74.468 168.6091
375.000000 74.411 168.7356
382.000000 74.334 168.9387
387.000000 74.283 169.0055
395.000000 74.190 169.3085
400.000000 74.236 169.7920
406.000000 74.074 169.7897
412.000000 74.031 170.1697
418.000000 73.972 170.1889
425.000000 73.895 170.5786
431.000000 73.814 170.8415
437.000000 73.759 171.1140
444.000000 73.694 171.3502
450.000000 73.626 171.6341
455.000000 73.587 171.7907
462.000000 73.521 172.2186
468.000000 73.481 172.4719
475.000000 73.428 172.8901
482.000000 73.368 173.1091
487.000000 73.312 173.4911
494.000000 73.250 173.9075
500.000000 73.225 174.0585
508.000000 73.133 174.5508
515.000000 73.098 175.0152
522.000000 73.039 175.3006
530.000000 72.957 175.6682
538.000000 72.904 176.2154
545.000000 72.852 176.6325
552.000000 72.808 177.1276
560.000000 72.749 177.7059
570.000000 72.694 178.2619
580.000000 72.618 178.8857
590.000000 72.574 179.5510
600.000000 72.484 -179.7929
608.000000 72.468 -179.1429
615.000000 72.438 -178.6072
622.000000 72.386 -178.3395
630.000000 72.362 -177.7482
640.000000 72.304 -176.9684
650.000000 72.273 -176.2894
660.000000 72.235 -175.5443
670.000000 72.180 -174.8540
680.000000 72.146 -174.0489
690.000000 72.112 -173.5623
700.000000 72.099 -172.6260
710.000000 72.045 -171.8834
720.000000 72.037 -171.1946
730.000000 72.007 -170.5190
740.000000 71.981 -169.6682
750.000000 71.971 -169.0509
762.000000 71.943 -168.0235
775.000000 71.937 -167.1203
788.000000 71.939 -165.9836
800.000000 71.922 -165.2573
812.000000 71.937 -164.0655
825.000000 71.955 -162.9783
838.000000 71.993 -161.9364
850.000000 71.974 -161.0804
862.000000 72.047 -160.2475
875.000000 72.080 -159.0105
885.000000 72.092 -158.2112
900.000000 72.163 -157.1751
912.000000 72.211 -156.2765
925.000000 72.279 -155.4636
938.000000 72.318 -154.6453
950.000000 72.405 -153.6178
962.000000 72.473 -153.1819
975.000000 72.555 -152.2882
988.000000 72.619 -151.6907
1000.000000 72.670 -151.5108
1015.000000 72.778 -150.3351
1030.000000 72.824 -149.5675
1044.000000 72.924 -149.0084
1060.000000 72.986 -148.2298
1075.000000 73.077 -147.4950
1090.000000 73.153 -146.7538
1106.000000 73.246 -146.0566
1120.000000 73.334 -145.3320
1138.000000 73.453 -144.5486
1150.000000 73.525 -144.1935
1172.000000 73.696 -143.2913
1180.000000 73.741 -143.0189
1206.000000 73.925 -142.2217
1220.000000 74.027 -141.9097
1241.000000 74.156 -141.4108
1250.000000 74.215 -141.2329
1265.000000 74.292 -140.8573
1280.000000 74.373 -140.5058
1315.000000 74.574 -139.9051
1320.000000 74.594 -139.6901
1340.000000 74.703 -139.3718
1360.000000 74.798 -139.0036
1380.000000 74.901 -138.7206
1400.000000 74.991 -138.3482
1430.000000 75.135 -137.6905
1450.000000 75.245 -137.4549
1475.000000 75.328 -136.8581
1500.000000 75.457 -136.5196
1525.000000 75.549 -136.1043
1550.000000 75.673 -135.6500
1575.000000 75.751 -135.2162
1600.000000 75.881 -134.5946
1625.000000 76.010 -134.2757
1650.000000 76.095 -133.6998
1675.000000 76.228 -133.2620
1700.000000 76.351 -132.8723
1725.000000 76.476 -132.3186
1750.000000 76.592 -131.8758
1775.000000 76.725 -131.3987
1800.000000 76.849 -131.1738
1825.000000 76.974 -130.7345
1850.000000 77.108 -130.2576
1875.000000 77.241 -129.8971
1900.000000 77.376 -129.6100
1925.000000 77.536 -129.1673
1950.000000 77.670 -128.8517
1975.000000 77.826 -128.4554
2000.000000 78.003 -127.9127
2030.000000 78.167 -127.9251
2060.000000 78.349 -127.6159
2090.000000 78.545 -127.4134
2120.000000 78.747 -127.2808
2140.000000 78.868 -127.1225
2180.000000 79.133 -127.0561
2200.000000 79.265 -126.9587
2240.000000 79.523 -126.8794
2270.000000 79.713 -126.8401
2300.000000 79.892 -126.7761
2330.000000 80.100 -126.7104
2360.000000 80.311 -126.4497
2400.000000 80.664 -126.1947
2430.000000 80.987 -126.2468
2470.000000 81.433 -127.0689
2500.000000 81.732 -128.0616
2540.000000 82.065 -129.7817
2580.000000 82.338 -131.4525
2620.000000 82.567 -133.1162
2650.000000 82.718 -134.3930
2690.000000 82.920 -135.8301
2720.000000 83.072 -137.1468
2760.000000 83.251 -138.7996
2800.000000 83.431 -140.5320
2850.000000 83.625 -142.9173
2900.000000 83.772 -145.3596
2950.000000 83.886 -147.8814
3000.000000 83.949 -150.5094
3040.000000 83.999 -152.2996
3070.000000 84.013 -153.7240
3110.000000 84.003 -155.6267
3150.000000 83.981 -157.4611
3200.000000 83.933 -159.7050
3250.000000 83.857 -161.7321
3300.000000 83.759 -163.6830
3350.000000 83.628 -165.5970
3400.000000 83.497 -167.1479
3450.000000 83.353 -168.5482
3500.000000 83.202 -169.7914
3550.000000 83.060 -170.9101
3600.000000 82.908 -171.9418
3650.000000 82.775 -172.8117
3700.000000 82.657 -173.6179
3750.000000 82.515 -174.4162
3820.000000 82.321 -175.4570
3870.000000 82.147 -176.0034
3950.000000 81.918 -176.6241
4000.000000 81.770 -176.6592
4060.000000 81.652 -176.8398
4120.000000 81.555 -177.0852
4180.000000 81.442 -177.2183
4250.000000 81.335 -177.5424
4310.000000 81.227 -177.7628
4370.000000 81.135 -177.8841
4440.000000 81.022 -177.9152
4500.000000 80.935 -178.0275
4550.000000 80.875 -178.1272
4620.000000 80.790 -178.0679
4680.000000 80.732 -178.1240
4750.000000 80.665 -178.0793
4820.000000 80.594 -178.2240
4870.000000 80.547 -178.1768
4940.000000 80.493 -178.1877
5000.000000 80.477 -178.2740
5080.000000 80.394 -178.1625
5150.000000 80.346 -178.2250
5220.000000 80.290 -178.2461
5300.000000 80.275 -178.3187
5380.000000 80.216 -178.3457
5450.000000 80.160 -178.4714
