* Measurement data measured by REW V5.20.13
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), R, volume: 0,250
* Format: 256k Log Swept Sine, 1 sweep at -12,0 dBFS with no timing reference
* Dated: 14:38:14 16-10-2023
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Moondrop SSR R
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 75.050 -121.6603
20.600000 75.153 -122.1052
20.900000 75.244 -122.4709
21.200001 75.329 -122.8228
21.400000 75.383 -123.0621
21.799999 75.485 -123.5639
22.000000 75.533 -123.8296
22.400000 75.622 -124.3859
22.700001 75.685 -124.8158
23.000000 75.747 -125.2501
23.299999 75.809 -125.6904
23.600000 75.872 -126.1423
24.000000 75.959 -126.7723
24.299999 76.023 -127.2663
24.700001 76.107 -127.9409
25.000000 76.168 -128.4413
25.400000 76.246 -129.0788
25.799999 76.325 -129.6719
26.200001 76.406 -130.2304
26.500000 76.468 -130.6378
26.900000 76.551 -131.1738
27.200001 76.610 -131.5677
27.600000 76.686 -132.0718
28.000000 76.759 -132.5445
28.500000 76.850 -133.1065
29.000000 76.938 -133.6776
29.500000 77.019 -134.2759
30.000000 77.089 -134.8743
30.400000 77.140 -135.3300
30.700001 77.177 -135.6584
31.100000 77.228 -136.0945
31.500000 77.280 -136.5463
32.000000 77.341 -137.1382
32.500000 77.399 -137.7335
33.000000 77.456 -138.3100
33.500000 77.515 -138.8839
34.000000 77.575 -139.4789
34.500000 77.627 -140.0733
35.000000 77.673 -140.6132
35.500000 77.722 -141.0748
36.000000 77.778 -141.5010
36.500000 77.841 -141.9540
37.000000 77.901 -142.4521
37.500000 77.952 -142.9630
38.200001 78.012 -143.6379
38.700001 78.052 -144.0887
39.500000 78.113 -144.7883
40.000000 78.151 -145.2228
40.599998 78.195 -145.7501
41.200001 78.238 -146.2801
41.799999 78.281 -146.8056
42.500000 78.333 -147.4348
43.099998 78.373 -147.9930
43.700001 78.407 -148.5133
44.400002 78.450 -149.0506
45.000000 78.492 -149.5228
45.500000 78.522 -149.9385
46.200001 78.554 -150.4641
46.799999 78.586 -150.8512
47.500000 78.627 -151.3594
48.200001 78.651 -151.8746
48.700001 78.666 -152.1448
49.400002 78.713 -152.4877
50.000000 78.766 -152.9672
50.799999 78.798 -153.7758
51.500000 78.802 -154.3109
52.200001 78.823 -154.7326
53.000000 78.858 -155.3027
53.799999 78.880 -155.8689
54.500000 78.903 -156.3078
55.200001 78.929 -156.7552
56.000000 78.955 -157.2714
57.000000 78.983 -157.8969
58.000000 79.007 -158.4696
59.000000 79.039 -159.0451
60.000000 79.062 -159.6998
60.799999 79.068 -160.1688
61.500000 79.077 -160.5194
62.200001 79.093 -160.8734
63.000000 79.113 -161.3282
64.000000 79.126 -161.8797
65.000000 79.146 -162.3825
66.000000 79.162 -162.9666
67.000000 79.162 -163.4471
68.000000 79.182 -163.9038
69.000000 79.188 -164.4720
70.000000 79.186 -164.8795
71.000000 79.210 -165.3301
72.000000 79.216 -165.9065
73.000000 79.211 -166.3485
74.000000 79.220 -166.7596
75.000000 79.227 -167.2105
76.199997 79.229 -167.7424
77.500000 79.226 -168.2543
78.800003 79.232 -168.8120
80.000000 79.223 -169.3429
81.199997 79.215 -169.8332
82.500000 79.204 -170.2758
83.800003 79.208 -170.7635
85.000000 79.202 -171.1338
86.199997 79.211 -171.5670
87.500000 79.202 -172.0292
88.500000 79.199 -172.3737
90.000000 79.189 -172.8731
91.199997 79.180 -173.3103
92.500000 79.164 -173.6748
93.800003 79.160 -174.0972
95.000000 79.137 -174.4395
96.199997 79.134 -174.7258
97.500000 79.118 -175.1104
98.800003 79.120 -175.3809
100.000000 79.120 -175.8005
101.500000 79.112 -176.1544
103.000000 79.112 -176.6330
104.400002 79.106 -176.9589
106.000000 79.097 -177.4774
107.500000 79.086 -177.8664
109.000000 79.063 -178.3121
110.599998 79.047 -178.7078
112.000000 79.025 -179.0845
113.800003 79.005 -179.4859
115.000000 78.988 -179.8200
117.199997 78.950 179.6514
118.000000 78.935 179.5231
120.599998 78.910 178.9547
122.000000 78.896 178.6877
124.099998 78.875 178.2449
125.000000 78.863 178.0689
126.500000 78.848 177.7798
128.000000 78.830 177.4758
131.500000 78.796 176.7239
132.000000 78.789 176.6237
134.000000 78.761 176.2137
136.000000 78.725 175.8318
138.000000 78.693 175.4265
140.000000 78.657 175.0805
143.000000 78.613 174.5352
145.000000 78.581 174.2170
147.500000 78.548 173.8413
150.000000 78.479 173.4521
152.500000 78.448 173.0012
155.000000 78.404 172.6754
157.500000 78.365 172.2645
160.000000 78.319 171.9870
162.500000 78.271 171.6147
165.000000 78.232 171.3548
167.500000 78.190 171.0447
170.000000 78.140 170.7481
172.500000 78.087 170.4528
175.000000 78.047 170.2099
177.500000 78.010 169.8586
180.000000 77.958 169.6703
182.500000 77.911 169.3715
185.000000 77.867 169.1385
187.500000 77.821 168.9364
190.000000 77.771 168.7153
192.500000 77.733 168.5042
195.000000 77.682 168.3941
197.500000 77.640 168.1313
200.000000 77.575 167.9737
203.000000 77.532 167.6992
206.000000 77.480 167.5421
209.000000 77.423 167.3094
212.000000 77.369 167.1273
214.000000 77.325 166.9903
218.000000 77.260 166.8346
220.000000 77.225 166.7158
224.000000 77.161 166.5244
227.000000 77.101 166.3139
230.000000 77.050 166.2268
233.000000 76.998 166.1075
236.000000 76.937 165.9672
240.000000 76.874 165.8617
243.000000 76.820 165.7345
247.000000 76.755 165.5766
250.000000 76.688 165.3718
254.000000 76.643 165.4435
258.000000 76.567 165.2810
262.000000 76.501 165.2587
265.000000 76.455 165.1908
269.000000 76.390 165.1300
272.000000 76.339 165.1565
276.000000 76.286 165.0668
280.000000 76.212 164.9898
285.000000 76.121 164.9760
290.000000 76.056 164.9105
295.000000 75.970 164.9631
300.000000 75.892 165.0038
304.000000 75.841 164.9855
307.000000 75.796 164.9877
311.000000 75.737 165.0482
315.000000 75.672 165.0458
320.000000 75.602 165.0656
325.000000 75.515 165.2380
330.000000 75.454 165.2523
335.000000 75.378 165.3139
340.000000 75.306 165.4191
345.000000 75.241 165.4977
350.000000 75.169 165.6664
355.000000 75.121 165.7838
360.000000 75.040 165.9074
365.000000 74.970 166.0159
370.000000 74.913 166.1422
375.000000 74.837 166.2597
382.000000 74.778 166.5402
387.000000 74.708 166.6768
395.000000 74.609 166.9115
400.000000 74.516 167.4794
406.000000 74.484 167.2909
412.000000 74.420 167.5433
418.000000 74.335 167.8581
425.000000 74.250 168.1924
431.000000 74.190 168.4072
437.000000 74.159 168.6956
444.000000 74.060 168.9484
450.000000 74.003 169.1871
455.000000 73.956 169.4761
462.000000 73.881 169.8800
468.000000 73.836 170.1538
475.000000 73.770 170.4671
482.000000 73.695 170.8812
487.000000 73.646 170.9714
494.000000 73.585 171.3354
500.000000 73.524 171.5756
508.000000 73.461 172.1758
515.000000 73.423 172.4561
522.000000 73.352 172.8798
530.000000 73.282 173.4027
538.000000 73.218 173.8576
545.000000 73.170 174.3095
552.000000 73.096 174.6497
560.000000 73.045 175.2864
570.000000 72.996 175.8113
580.000000 72.907 176.4499
590.000000 72.859 177.1212
600.000000 72.773 177.8391
608.000000 72.737 178.1984
615.000000 72.665 178.7267
622.000000 72.656 179.1511
630.000000 72.585 179.6411
640.000000 72.548 -179.5410
650.000000 72.482 -178.9484
660.000000 72.438 -178.1978
670.000000 72.411 -177.3665
680.000000 72.352 -176.7341
690.000000 72.324 -176.0733
700.000000 72.308 -175.3768
710.000000 72.239 -174.4076
720.000000 72.213 -173.6907
730.000000 72.176 -172.9962
740.000000 72.153 -172.1778
750.000000 72.132 -171.4110
762.000000 72.111 -170.5475
775.000000 72.114 -169.5016
788.000000 72.081 -168.3624
800.000000 72.073 -167.6321
812.000000 72.061 -166.5715
825.000000 72.025 -165.4970
838.000000 72.075 -164.4352
850.000000 72.074 -163.6420
862.000000 72.100 -162.6597
875.000000 72.119 -161.6807
885.000000 72.121 -160.7315
900.000000 72.161 -159.7183
912.000000 72.189 -158.7674
925.000000 72.251 -157.8181
938.000000 72.286 -156.9090
950.000000 72.347 -156.0063
962.000000 72.393 -155.1167
975.000000 72.467 -154.1937
988.000000 72.550 -153.5246
1000.000000 72.635 -153.1150
1015.000000 72.711 -151.8703
1030.000000 72.782 -151.0088
1044.000000 72.875 -150.3241
1060.000000 72.985 -149.7678
1075.000000 73.084 -148.8826
1090.000000 73.166 -148.2190
1106.000000 73.237 -147.7422
1120.000000 73.345 -147.2705
1138.000000 73.438 -146.8421
1150.000000 73.497 -146.2209
1172.000000 73.591 -145.6340
1180.000000 73.624 -145.3859
1206.000000 73.738 -144.5360
1220.000000 73.786 -144.1178
1241.000000 73.847 -143.2579
1250.000000 73.884 -142.8395
1265.000000 73.951 -142.2561
1280.000000 74.019 -141.6009
1315.000000 74.203 -139.7486
1320.000000 74.250 -139.6989
1340.000000 74.396 -138.8298
1360.000000 74.554 -138.2247
1380.000000 74.733 -137.7086
1400.000000 74.866 -137.4016
1430.000000 75.071 -137.0283
1450.000000 75.199 -136.7446
1475.000000 75.335 -136.6936
1500.000000 75.447 -136.2628
1525.000000 75.562 -136.0641
1550.000000 75.649 -135.7933
1575.000000 75.764 -135.4447
1600.000000 75.862 -135.0165
1625.000000 75.952 -134.6981
1650.000000 76.056 -134.3951
1675.000000 76.170 -133.9656
1700.000000 76.255 -133.5889
1725.000000 76.354 -133.1681
1750.000000 76.441 -132.8871
1775.000000 76.583 -132.3474
1800.000000 76.666 -132.0074
1825.000000 76.766 -131.5805
1850.000000 76.877 -131.1269
1875.000000 76.998 -130.7624
1900.000000 77.079 -130.4138
1925.000000 77.217 -129.9483
1950.000000 77.318 -129.4346
1975.000000 77.445 -129.1595
2000.000000 77.602 -128.4538
2030.000000 77.711 -128.4029
2060.000000 77.857 -127.9559
2090.000000 77.995 -127.5422
2120.000000 78.148 -127.0489
2140.000000 78.259 -126.7918
2180.000000 78.448 -126.0979
2200.000000 78.554 -125.7866
2240.000000 78.764 -124.9649
2270.000000 78.971 -124.1912
2300.000000 79.216 -123.5375
2330.000000 79.489 -123.0933
2360.000000 79.782 -122.9789
2400.000000 80.129 -123.3613
2430.000000 80.368 -123.6690
2470.000000 80.664 -124.0523
2500.000000 80.876 -124.3245
2540.000000 81.166 -124.6112
2580.000000 81.482 -124.9985
2620.000000 81.814 -125.7556
2650.000000 82.060 -126.4823
2690.000000 82.375 -127.6741
2720.000000 82.579 -128.6509
2760.000000 82.825 -130.0531
2800.000000 83.056 -131.5286
2850.000000 83.329 -133.3292
2900.000000 83.566 -135.2928
2950.000000 83.785 -137.3965
3000.000000 83.977 -139.7123
3040.000000 84.116 -141.3374
3070.000000 84.203 -142.6783
3110.000000 84.288 -144.5645
3150.000000 84.368 -146.3572
3200.000000 84.435 -148.5933
3250.000000 84.478 -150.8177
3300.000000 84.473 -153.0343
3350.000000 84.449 -155.1735
3400.000000 84.413 -157.0943
3450.000000 84.351 -158.9853
3500.000000 84.288 -160.6725
3550.000000 84.191 -162.3720
3600.000000 84.087 -163.8909
3650.000000 83.979 -165.2830
3700.000000 83.840 -166.6660
3750.000000 83.713 -167.8092
3820.000000 83.487 -169.0962
3870.000000 83.359 -169.8468
3950.000000 83.157 -170.7385
4000.000000 83.081 -171.0085
4060.000000 82.930 -171.9133
4120.000000 82.802 -172.3404
4180.000000 82.678 -172.8699
4250.000000 82.542 -173.2376
4310.000000 82.439 -173.4812
4370.000000 82.346 -173.7304
4440.000000 82.237 -174.0357
4500.000000 82.141 -174.1612
4550.000000 82.080 -174.1979
4620.000000 82.003 -174.3406
4680.000000 81.946 -174.2508
4750.000000 81.877 -174.3110
4820.000000 81.830 -174.3834
4870.000000 81.806 -174.4322
4940.000000 81.788 -174.4799
5000.000000 81.773 -174.6135
5080.000000 81.729 -174.7339
5150.000000 81.696 -174.8156
5220.000000 81.690 -174.9638
5300.000000 81.677 -175.1573
5380.000000 81.663 -175.5651
5450.000000 81.646 -175.7759
5520.000000 81.648 -176.1198
